context: Hey, have you heard the phrase a sea of flames? response:	It's saying that the fire is like the sea, right?
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze response:	Honestly!
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Honestly! response:	What made you think that I'm the one getting married?
context: Freeze\Freeze\Freeze\Freeze\Freeze\Freeze\Honestly!\What made you think that I'm the one getting married? response:	You're not, Nanami?
context: Freeze\Freeze\Freeze\Freeze\Freeze\Honestly!\What made you think that I'm the one getting married?\You're not, Nanami? response:	No, I'm not!
context: Freeze\Freeze\Freeze\Freeze\Honestly!\What made you think that I'm the one getting married?\You're not, Nanami?\No, I'm not! response:	I only received a proposal asking to hold a wedding at the shrine.
context: Freeze\Freeze\Freeze\Honestly!\What made you think that I'm the one getting married?\You're not, Nanami?\No, I'm not!\I only received a proposal asking to hold a wedding at the shrine. response:	Oh-ho. From whom?
context: Freeze\Freeze\Honestly!\What made you think that I'm the one getting married?\You're not, Nanami?\No, I'm not!\I only received a proposal asking to hold a wedding at the shrine.\Oh-ho. From whom? response:	Himemiko of the Swamp!
context: Freeze\Honestly!\What made you think that I'm the one getting married?\You're not, Nanami?\No, I'm not!\I only received a proposal asking to hold a wedding at the shrine.\Oh-ho. From whom?\Himemiko of the Swamp! response:	Himemiko of the Swamp
context: Honestly!\What made you think that I'm the one getting married?\You're not, Nanami?\No, I'm not!\I only received a proposal asking to hold a wedding at the shrine.\Oh-ho. From whom?\Himemiko of the Swamp!\Himemiko of the Swamp response:	Like hell a catfish can marry a human!
context: What made you think that I'm the one getting married?\You're not, Nanami?\No, I'm not!\I only received a proposal asking to hold a wedding at the shrine.\Oh-ho. From whom?\Himemiko of the Swamp!\Himemiko of the Swamp\Like hell a catfish can marry a human! response:	Y-You can't know that unless you give it a try!
context: You're not, Nanami?\No, I'm not!\I only received a proposal asking to hold a wedding at the shrine.\Oh-ho. From whom?\Himemiko of the Swamp!\Himemiko of the Swamp\Like hell a catfish can marry a human!\Y-You can't know that unless you give it a try! response:	Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!
context: No, I'm not!\I only received a proposal asking to hold a wedding at the shrine.\Oh-ho. From whom?\Himemiko of the Swamp!\Himemiko of the Swamp\Like hell a catfish can marry a human!\Y-You can't know that unless you give it a try!\Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here! response:	Getting to be there from when they met up to when they get married would be so amazing!
context: I only received a proposal asking to hold a wedding at the shrine.\Oh-ho. From whom?\Himemiko of the Swamp!\Himemiko of the Swamp\Like hell a catfish can marry a human!\Y-You can't know that unless you give it a try!\Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!\Getting to be there from when they met up to when they get married would be so amazing! response:	They are playing house, but this is marriage we're talking about.
context: Oh-ho. From whom?\Himemiko of the Swamp!\Himemiko of the Swamp\Like hell a catfish can marry a human!\Y-You can't know that unless you give it a try!\Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!\Getting to be there from when they met up to when they get married would be so amazing!\They are playing house, but this is marriage we're talking about. response:	An interspecies one at that.
context: Himemiko of the Swamp!\Himemiko of the Swamp\Like hell a catfish can marry a human!\Y-You can't know that unless you give it a try!\Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!\Getting to be there from when they met up to when they get married would be so amazing!\They are playing house, but this is marriage we're talking about.\An interspecies one at that. response:	And you are not qualified for this task.
context: Himemiko of the Swamp\Like hell a catfish can marry a human!\Y-You can't know that unless you give it a try!\Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!\Getting to be there from when they met up to when they get married would be so amazing!\They are playing house, but this is marriage we're talking about.\An interspecies one at that.\And you are not qualified for this task. response:	I can do it, and I will!
context: Like hell a catfish can marry a human!\Y-You can't know that unless you give it a try!\Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!\Getting to be there from when they met up to when they get married would be so amazing!\They are playing house, but this is marriage we're talking about.\An interspecies one at that.\And you are not qualified for this task.\I can do it, and I will! response:	I'm making really good progress as a god in case you hadn't noticed!
context: Y-You can't know that unless you give it a try!\Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!\Getting to be there from when they met up to when they get married would be so amazing!\They are playing house, but this is marriage we're talking about.\An interspecies one at that.\And you are not qualified for this task.\I can do it, and I will!\I'm making really good progress as a god in case you hadn't noticed! response:	Yeah, I have faith that you can totally pull it off!
context: Himemiko said that when she and Kotarou are ready, they'd love to hold the ceremony here!\Getting to be there from when they met up to when they get married would be so amazing!\They are playing house, but this is marriage we're talking about.\An interspecies one at that.\And you are not qualified for this task.\I can do it, and I will!\I'm making really good progress as a god in case you hadn't noticed!\Yeah, I have faith that you can totally pull it off! response:	And even if Tomoe won't cooperate, you can always count on me.
context: Getting to be there from when they met up to when they get married would be so amazing!\They are playing house, but this is marriage we're talking about.\An interspecies one at that.\And you are not qualified for this task.\I can do it, and I will!\I'm making really good progress as a god in case you hadn't noticed!\Yeah, I have faith that you can totally pull it off!\And even if Tomoe won't cooperate, you can always count on me. response:	Thank you, Mizuki.
context: They are playing house, but this is marriage we're talking about.\An interspecies one at that.\And you are not qualified for this task.\I can do it, and I will!\I'm making really good progress as a god in case you hadn't noticed!\Yeah, I have faith that you can totally pull it off!\And even if Tomoe won't cooperate, you can always count on me.\Thank you, Mizuki. response:	Damn snake!
context: An interspecies one at that.\And you are not qualified for this task.\I can do it, and I will!\I'm making really good progress as a god in case you hadn't noticed!\Yeah, I have faith that you can totally pull it off!\And even if Tomoe won't cooperate, you can always count on me.\Thank you, Mizuki.\Damn snake! response:	Whew. I'm so relieved.
context: And you are not qualified for this task.\I can do it, and I will!\I'm making really good progress as a god in case you hadn't noticed!\Yeah, I have faith that you can totally pull it off!\And even if Tomoe won't cooperate, you can always count on me.\Thank you, Mizuki.\Damn snake!\Whew. I'm so relieved. response:	I totally thought that you were going to relinquish your position to get married.
context: I can do it, and I will!\I'm making really good progress as a god in case you hadn't noticed!\Yeah, I have faith that you can totally pull it off!\And even if Tomoe won't cooperate, you can always count on me.\Thank you, Mizuki.\Damn snake!\Whew. I'm so relieved.\I totally thought that you were going to relinquish your position to get married. response:	Oh.
context: I'm making really good progress as a god in case you hadn't noticed!\Yeah, I have faith that you can totally pull it off!\And even if Tomoe won't cooperate, you can always count on me.\Thank you, Mizuki.\Damn snake!\Whew. I'm so relieved.\I totally thought that you were going to relinquish your position to get married.\Oh. response:	I'm not getting married.
context: Yeah, I have faith that you can totally pull it off!\And even if Tomoe won't cooperate, you can always count on me.\Thank you, Mizuki.\Damn snake!\Whew. I'm so relieved.\I totally thought that you were going to relinquish your position to get married.\Oh.\I'm not getting married. response:	Ever.
context: And even if Tomoe won't cooperate, you can always count on me.\Thank you, Mizuki.\Damn snake!\Whew. I'm so relieved.\I totally thought that you were going to relinquish your position to get married.\Oh.\I'm not getting married.\Ever. response:	Master Tomoe, you must get ready soon.
context: Thank you, Mizuki.\Damn snake!\Whew. I'm so relieved.\I totally thought that you were going to relinquish your position to get married.\Oh.\I'm not getting married.\Ever.\Master Tomoe, you must get ready soon. response:	If you do not hurry to the Lord Year God's shrine, the gates will close.
context: Damn snake!\Whew. I'm so relieved.\I totally thought that you were going to relinquish your position to get married.\Oh.\I'm not getting married.\Ever.\Master Tomoe, you must get ready soon.\If you do not hurry to the Lord Year God's shrine, the gates will close. response:	Ah, yes, that is right.
context: Whew. I'm so relieved.\I totally thought that you were going to relinquish your position to get married.\Oh.\I'm not getting married.\Ever.\Master Tomoe, you must get ready soon.\If you do not hurry to the Lord Year God's shrine, the gates will close.\Ah, yes, that is right. response:	The Year God?
context: I totally thought that you were going to relinquish your position to get married.\Oh.\I'm not getting married.\Ever.\Master Tomoe, you must get ready soon.\If you do not hurry to the Lord Year God's shrine, the gates will close.\Ah, yes, that is right.\The Year God? response:	That god that comes to your house every year on New Year's Day?
context: Oh.\I'm not getting married.\Ever.\Master Tomoe, you must get ready soon.\If you do not hurry to the Lord Year God's shrine, the gates will close.\Ah, yes, that is right.\The Year God?\That god that comes to your house every year on New Year's Day? response:	Yes, the god that visits to bring fruitfulness to the new year.
context: I'm not getting married.\Ever.\Master Tomoe, you must get ready soon.\If you do not hurry to the Lord Year God's shrine, the gates will close.\Ah, yes, that is right.\The Year God?\That god that comes to your house every year on New Year's Day?\Yes, the god that visits to bring fruitfulness to the new year. response:	There was originally one god who visited every house, but...
context: Ever.\Master Tomoe, you must get ready soon.\If you do not hurry to the Lord Year God's shrine, the gates will close.\Ah, yes, that is right.\The Year God?\That god that comes to your house every year on New Year's Day?\Yes, the god that visits to bring fruitfulness to the new year.\There was originally one god who visited every house, but... response:	My back hurts
context: Master Tomoe, you must get ready soon.\If you do not hurry to the Lord Year God's shrine, the gates will close.\Ah, yes, that is right.\The Year God?\That god that comes to your house every year on New Year's Day?\Yes, the god that visits to bring fruitfulness to the new year.\There was originally one god who visited every house, but...\My back hurts response:	Being overworked took its toll, and he hurt his back.
context: If you do not hurry to the Lord Year God's shrine, the gates will close.\Ah, yes, that is right.\The Year God?\That god that comes to your house every year on New Year's Day?\Yes, the god that visits to bring fruitfulness to the new year.\There was originally one god who visited every house, but...\My back hurts\Being overworked took its toll, and he hurt his back. response:	Now, twelve different gods take turns each year to serve as the Year God.
context: Ah, yes, that is right.\The Year God?\That god that comes to your house every year on New Year's Day?\Yes, the god that visits to bring fruitfulness to the new year.\There was originally one god who visited every house, but...\My back hurts\Being overworked took its toll, and he hurt his back.\Now, twelve different gods take turns each year to serve as the Year God. response:	Therefore, it has become customary to go to the Year God's shrine each year
context: The Year God?\That god that comes to your house every year on New Year's Day?\Yes, the god that visits to bring fruitfulness to the new year.\There was originally one god who visited every house, but...\My back hurts\Being overworked took its toll, and he hurt his back.\Now, twelve different gods take turns each year to serve as the Year God.\Therefore, it has become customary to go to the Year God's shrine each year response:	to receive a talisman from the next Year God.
context: That god that comes to your house every year on New Year's Day?\Yes, the god that visits to bring fruitfulness to the new year.\There was originally one god who visited every house, but...\My back hurts\Being overworked took its toll, and he hurt his back.\Now, twelve different gods take turns each year to serve as the Year God.\Therefore, it has become customary to go to the Year God's shrine each year\to receive a talisman from the next Year God. response:	And so, the two of us will now go to the Year God's shrine.
context: Yes, the god that visits to bring fruitfulness to the new year.\There was originally one god who visited every house, but...\My back hurts\Being overworked took its toll, and he hurt his back.\Now, twelve different gods take turns each year to serve as the Year God.\Therefore, it has become customary to go to the Year God's shrine each year\to receive a talisman from the next Year God.\And so, the two of us will now go to the Year God's shrine. response:	Oh? When you say the two of us, are you referring to you and me?
context: There was originally one god who visited every house, but...\My back hurts\Being overworked took its toll, and he hurt his back.\Now, twelve different gods take turns each year to serve as the Year God.\Therefore, it has become customary to go to the Year God's shrine each year\to receive a talisman from the next Year God.\And so, the two of us will now go to the Year God's shrine.\Oh? When you say the two of us, are you referring to you and me? response:	How sharp you are.
context: My back hurts\Being overworked took its toll, and he hurt his back.\Now, twelve different gods take turns each year to serve as the Year God.\Therefore, it has become customary to go to the Year God's shrine each year\to receive a talisman from the next Year God.\And so, the two of us will now go to the Year God's shrine.\Oh? When you say the two of us, are you referring to you and me?\How sharp you are. response:	That's right.
context: Being overworked took its toll, and he hurt his back.\Now, twelve different gods take turns each year to serve as the Year God.\Therefore, it has become customary to go to the Year God's shrine each year\to receive a talisman from the next Year God.\And so, the two of us will now go to the Year God's shrine.\Oh? When you say the two of us, are you referring to you and me?\How sharp you are.\That's right. response:	What do you say we tend to unfinished business with some rare privacy?
context: Now, twelve different gods take turns each year to serve as the Year God.\Therefore, it has become customary to go to the Year God's shrine each year\to receive a talisman from the next Year God.\And so, the two of us will now go to the Year God's shrine.\Oh? When you say the two of us, are you referring to you and me?\How sharp you are.\That's right.\What do you say we tend to unfinished business with some rare privacy? response:	Just a couple of old familiars.
context: Therefore, it has become customary to go to the Year God's shrine each year\to receive a talisman from the next Year God.\And so, the two of us will now go to the Year God's shrine.\Oh? When you say the two of us, are you referring to you and me?\How sharp you are.\That's right.\What do you say we tend to unfinished business with some rare privacy?\Just a couple of old familiars. response:	You guys are going alone?
context: to receive a talisman from the next Year God.\And so, the two of us will now go to the Year God's shrine.\Oh? When you say the two of us, are you referring to you and me?\How sharp you are.\That's right.\What do you say we tend to unfinished business with some rare privacy?\Just a couple of old familiars.\You guys are going alone? response:	When will you be back?
context: And so, the two of us will now go to the Year God's shrine.\Oh? When you say the two of us, are you referring to you and me?\How sharp you are.\That's right.\What do you say we tend to unfinished business with some rare privacy?\Just a couple of old familiars.\You guys are going alone?\When will you be back? response:	Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.
context: Oh? When you say the two of us, are you referring to you and me?\How sharp you are.\That's right.\What do you say we tend to unfinished business with some rare privacy?\Just a couple of old familiars.\You guys are going alone?\When will you be back?\Gee, there is a chance that Mizuki may not be able to return, and I do mean forever. response:	No, no, it's Tomoe who...
context: How sharp you are.\That's right.\What do you say we tend to unfinished business with some rare privacy?\Just a couple of old familiars.\You guys are going alone?\When will you be back?\Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.\No, no, it's Tomoe who... response:	I-I'm coming too.
context: That's right.\What do you say we tend to unfinished business with some rare privacy?\Just a couple of old familiars.\You guys are going alone?\When will you be back?\Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.\No, no, it's Tomoe who...\I-I'm coming too. response:	No!
context: What do you say we tend to unfinished business with some rare privacy?\Just a couple of old familiars.\You guys are going alone?\When will you be back?\Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.\No, no, it's Tomoe who...\I-I'm coming too.\No! response:	You'll only make things worse.
context: Just a couple of old familiars.\You guys are going alone?\When will you be back?\Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.\No, no, it's Tomoe who...\I-I'm coming too.\No!\You'll only make things worse. response:	I'm coming too!
context: You guys are going alone?\When will you be back?\Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.\No, no, it's Tomoe who...\I-I'm coming too.\No!\You'll only make things worse.\I'm coming too! response:	Sounds good.
context: When will you be back?\Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.\No, no, it's Tomoe who...\I-I'm coming too.\No!\You'll only make things worse.\I'm coming too!\Sounds good. response:	Good grief.
context: Gee, there is a chance that Mizuki may not be able to return, and I do mean forever.\No, no, it's Tomoe who...\I-I'm coming too.\No!\You'll only make things worse.\I'm coming too!\Sounds good.\Good grief. response:	It is always like this with her.
context: No, no, it's Tomoe who...\I-I'm coming too.\No!\You'll only make things worse.\I'm coming too!\Sounds good.\Good grief.\It is always like this with her. response:	Oblivious to her limits, she wants to stick her nose in everything.
context: I-I'm coming too.\No!\You'll only make things worse.\I'm coming too!\Sounds good.\Good grief.\It is always like this with her.\Oblivious to her limits, she wants to stick her nose in everything. response:	Wow...
context: No!\You'll only make things worse.\I'm coming too!\Sounds good.\Good grief.\It is always like this with her.\Oblivious to her limits, she wants to stick her nose in everything.\Wow... response:	This is the Year God's shrine?
context: You'll only make things worse.\I'm coming too!\Sounds good.\Good grief.\It is always like this with her.\Oblivious to her limits, she wants to stick her nose in everything.\Wow...\This is the Year God's shrine? response:	Well, the entrance at least.
context: I'm coming too!\Sounds good.\Good grief.\It is always like this with her.\Oblivious to her limits, she wants to stick her nose in everything.\Wow...\This is the Year God's shrine?\Well, the entrance at least. response:	There are so many torii gates.
context: Sounds good.\Good grief.\It is always like this with her.\Oblivious to her limits, she wants to stick her nose in everything.\Wow...\This is the Year God's shrine?\Well, the entrance at least.\There are so many torii gates. response:	We just have to pass through these, right?
context: Good grief.\It is always like this with her.\Oblivious to her limits, she wants to stick her nose in everything.\Wow...\This is the Year God's shrine?\Well, the entrance at least.\There are so many torii gates.\We just have to pass through these, right? response:	Nanami
context: It is always like this with her.\Oblivious to her limits, she wants to stick her nose in everything.\Wow...\This is the Year God's shrine?\Well, the entrance at least.\There are so many torii gates.\We just have to pass through these, right?\Nanami response:	Huh? It has my name written on it.
context: Oblivious to her limits, she wants to stick her nose in everything.\Wow...\This is the Year God's shrine?\Well, the entrance at least.\There are so many torii gates.\We just have to pass through these, right?\Nanami\Huh? It has my name written on it. response:	Nanami
context: Wow...\This is the Year God's shrine?\Well, the entrance at least.\There are so many torii gates.\We just have to pass through these, right?\Nanami\Huh? It has my name written on it.\Nanami response:	Why?
context: This is the Year God's shrine?\Well, the entrance at least.\There are so many torii gates.\We just have to pass through these, right?\Nanami\Huh? It has my name written on it.\Nanami\Why? response:	These are the Torii Gates of Twelve.
context: Well, the entrance at least.\There are so many torii gates.\We just have to pass through these, right?\Nanami\Huh? It has my name written on it.\Nanami\Why?\These are the Torii Gates of Twelve. response:	It has been twelve years for this Year God, and to show your last twelve years to the god,
context: There are so many torii gates.\We just have to pass through these, right?\Nanami\Huh? It has my name written on it.\Nanami\Why?\These are the Torii Gates of Twelve.\It has been twelve years for this Year God, and to show your last twelve years to the god, response:	those who go to the Year God's shrine must pass through these to look back upon their twelve years.
context: We just have to pass through these, right?\Nanami\Huh? It has my name written on it.\Nanami\Why?\These are the Torii Gates of Twelve.\It has been twelve years for this Year God, and to show your last twelve years to the god,\those who go to the Year God's shrine must pass through these to look back upon their twelve years. response:	I hate this part, you know.
context: Nanami\Huh? It has my name written on it.\Nanami\Why?\These are the Torii Gates of Twelve.\It has been twelve years for this Year God, and to show your last twelve years to the god,\those who go to the Year God's shrine must pass through these to look back upon their twelve years.\I hate this part, you know. response:	It makes my head spin.
context: Huh? It has my name written on it.\Nanami\Why?\These are the Torii Gates of Twelve.\It has been twelve years for this Year God, and to show your last twelve years to the god,\those who go to the Year God's shrine must pass through these to look back upon their twelve years.\I hate this part, you know.\It makes my head spin. response:	Makes your head spin?
context: Nanami\Why?\These are the Torii Gates of Twelve.\It has been twelve years for this Year God, and to show your last twelve years to the god,\those who go to the Year God's shrine must pass through these to look back upon their twelve years.\I hate this part, you know.\It makes my head spin.\Makes your head spin? response:	Call it the twelve-year hangover.
context: Why?\These are the Torii Gates of Twelve.\It has been twelve years for this Year God, and to show your last twelve years to the god,\those who go to the Year God's shrine must pass through these to look back upon their twelve years.\I hate this part, you know.\It makes my head spin.\Makes your head spin?\Call it the twelve-year hangover. response:	You wait here, Nanami.
context: These are the Torii Gates of Twelve.\It has been twelve years for this Year God, and to show your last twelve years to the god,\those who go to the Year God's shrine must pass through these to look back upon their twelve years.\I hate this part, you know.\It makes my head spin.\Makes your head spin?\Call it the twelve-year hangover.\You wait here, Nanami. response:	The snake and I will go, finish our business, and come right back.
context: It has been twelve years for this Year God, and to show your last twelve years to the god,\those who go to the Year God's shrine must pass through these to look back upon their twelve years.\I hate this part, you know.\It makes my head spin.\Makes your head spin?\Call it the twelve-year hangover.\You wait here, Nanami.\The snake and I will go, finish our business, and come right back. response:	An abrupt shift of the consciousness is not safe for humans.
context: those who go to the Year God's shrine must pass through these to look back upon their twelve years.\I hate this part, you know.\It makes my head spin.\Makes your head spin?\Call it the twelve-year hangover.\You wait here, Nanami.\The snake and I will go, finish our business, and come right back.\An abrupt shift of the consciousness is not safe for humans. response:	I'll be fine! It sounds kinda fun anyway!
context: I hate this part, you know.\It makes my head spin.\Makes your head spin?\Call it the twelve-year hangover.\You wait here, Nanami.\The snake and I will go, finish our business, and come right back.\An abrupt shift of the consciousness is not safe for humans.\I'll be fine! It sounds kinda fun anyway! response:	You just have to go through the torii gate with your name on it, right?
context: It makes my head spin.\Makes your head spin?\Call it the twelve-year hangover.\You wait here, Nanami.\The snake and I will go, finish our business, and come right back.\An abrupt shift of the consciousness is not safe for humans.\I'll be fine! It sounds kinda fun anyway!\You just have to go through the torii gate with your name on it, right? response:	Not again...
context: Makes your head spin?\Call it the twelve-year hangover.\You wait here, Nanami.\The snake and I will go, finish our business, and come right back.\An abrupt shift of the consciousness is not safe for humans.\I'll be fine! It sounds kinda fun anyway!\You just have to go through the torii gate with your name on it, right?\Not again... response:	And off she goes...
context: Call it the twelve-year hangover.\You wait here, Nanami.\The snake and I will go, finish our business, and come right back.\An abrupt shift of the consciousness is not safe for humans.\I'll be fine! It sounds kinda fun anyway!\You just have to go through the torii gate with your name on it, right?\Not again...\And off she goes... response:	Twelve years...
context: You wait here, Nanami.\The snake and I will go, finish our business, and come right back.\An abrupt shift of the consciousness is not safe for humans.\I'll be fine! It sounds kinda fun anyway!\You just have to go through the torii gate with your name on it, right?\Not again...\And off she goes...\Twelve years... response:	I envy Nanami for her unburdened soul.
context: The snake and I will go, finish our business, and come right back.\An abrupt shift of the consciousness is not safe for humans.\I'll be fine! It sounds kinda fun anyway!\You just have to go through the torii gate with your name on it, right?\Not again...\And off she goes...\Twelve years...\I envy Nanami for her unburdened soul. response:	I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.
context: An abrupt shift of the consciousness is not safe for humans.\I'll be fine! It sounds kinda fun anyway!\You just have to go through the torii gate with your name on it, right?\Not again...\And off she goes...\Twelve years...\I envy Nanami for her unburdened soul.\I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away. response:	Nanami does define devil-may-care.
context: I'll be fine! It sounds kinda fun anyway!\You just have to go through the torii gate with your name on it, right?\Not again...\And off she goes...\Twelve years...\I envy Nanami for her unburdened soul.\I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.\Nanami does define devil-may-care. response:	That's not entirely true.
context: You just have to go through the torii gate with your name on it, right?\Not again...\And off she goes...\Twelve years...\I envy Nanami for her unburdened soul.\I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.\Nanami does define devil-may-care.\That's not entirely true. response:	She may say she loves you, but she knows full well that you're not someone she can marry.
context: Not again...\And off she goes...\Twelve years...\I envy Nanami for her unburdened soul.\I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.\Nanami does define devil-may-care.\That's not entirely true.\She may say she loves you, but she knows full well that you're not someone she can marry. response:	Smart girl.
context: And off she goes...\Twelve years...\I envy Nanami for her unburdened soul.\I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.\Nanami does define devil-may-care.\That's not entirely true.\She may say she loves you, but she knows full well that you're not someone she can marry.\Smart girl. response:	Unfortunately, she is not nearly as conniving as you are.
context: Twelve years...\I envy Nanami for her unburdened soul.\I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.\Nanami does define devil-may-care.\That's not entirely true.\She may say she loves you, but she knows full well that you're not someone she can marry.\Smart girl.\Unfortunately, she is not nearly as conniving as you are. response:	You're amazing, Tomoe! You know Nanami so well!
context: I envy Nanami for her unburdened soul.\I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.\Nanami does define devil-may-care.\That's not entirely true.\She may say she loves you, but she knows full well that you're not someone she can marry.\Smart girl.\Unfortunately, she is not nearly as conniving as you are.\You're amazing, Tomoe! You know Nanami so well! response:	The vibe here is getting toxic, so I'm going too.
context: I'm scared of reliving the years after I had lost Lady Yonomori and shut myself away.\Nanami does define devil-may-care.\That's not entirely true.\She may say she loves you, but she knows full well that you're not someone she can marry.\Smart girl.\Unfortunately, she is not nearly as conniving as you are.\You're amazing, Tomoe! You know Nanami so well!\The vibe here is getting toxic, so I'm going too. response:	Of course.
context: Nanami does define devil-may-care.\That's not entirely true.\She may say she loves you, but she knows full well that you're not someone she can marry.\Smart girl.\Unfortunately, she is not nearly as conniving as you are.\You're amazing, Tomoe! You know Nanami so well!\The vibe here is getting toxic, so I'm going too.\Of course. response:	I know Nanami better than anyone.
context: That's not entirely true.\She may say she loves you, but she knows full well that you're not someone she can marry.\Smart girl.\Unfortunately, she is not nearly as conniving as you are.\You're amazing, Tomoe! You know Nanami so well!\The vibe here is getting toxic, so I'm going too.\Of course.\I know Nanami better than anyone. response:	Her habits. Her mannerisms.
context: She may say she loves you, but she knows full well that you're not someone she can marry.\Smart girl.\Unfortunately, she is not nearly as conniving as you are.\You're amazing, Tomoe! You know Nanami so well!\The vibe here is getting toxic, so I'm going too.\Of course.\I know Nanami better than anyone.\Her habits. Her mannerisms. response:	Even her sweet smell...
context: Smart girl.\Unfortunately, she is not nearly as conniving as you are.\You're amazing, Tomoe! You know Nanami so well!\The vibe here is getting toxic, so I'm going too.\Of course.\I know Nanami better than anyone.\Her habits. Her mannerisms.\Even her sweet smell... response:	Yes...
context: Unfortunately, she is not nearly as conniving as you are.\You're amazing, Tomoe! You know Nanami so well!\The vibe here is getting toxic, so I'm going too.\Of course.\I know Nanami better than anyone.\Her habits. Her mannerisms.\Even her sweet smell...\Yes... response:	Tomoe...
context: You're amazing, Tomoe! You know Nanami so well!\The vibe here is getting toxic, so I'm going too.\Of course.\I know Nanami better than anyone.\Her habits. Her mannerisms.\Even her sweet smell...\Yes...\Tomoe... response:	Nanami went in first, but she still hasn't come out.
context: The vibe here is getting toxic, so I'm going too.\Of course.\I know Nanami better than anyone.\Her habits. Her mannerisms.\Even her sweet smell...\Yes...\Tomoe...\Nanami went in first, but she still hasn't come out. response:	Even if some trouble were to crop up, it would not be entirely unexpected.
context: Of course.\I know Nanami better than anyone.\Her habits. Her mannerisms.\Even her sweet smell...\Yes...\Tomoe...\Nanami went in first, but she still hasn't come out.\Even if some trouble were to crop up, it would not be entirely unexpected. response:	Don't yell at her, okay?
context: I know Nanami better than anyone.\Her habits. Her mannerisms.\Even her sweet smell...\Yes...\Tomoe...\Nanami went in first, but she still hasn't come out.\Even if some trouble were to crop up, it would not be entirely unexpected.\Don't yell at her, okay? response:	In all likelihood, her consciousness is probably hung up somewhere.
context: Her habits. Her mannerisms.\Even her sweet smell...\Yes...\Tomoe...\Nanami went in first, but she still hasn't come out.\Even if some trouble were to crop up, it would not be entirely unexpected.\Don't yell at her, okay?\In all likelihood, her consciousness is probably hung up somewhere. response:	You do know it's forbidden to pass through someone else's gate, right?
context: Even her sweet smell...\Yes...\Tomoe...\Nanami went in first, but she still hasn't come out.\Even if some trouble were to crop up, it would not be entirely unexpected.\Don't yell at her, okay?\In all likelihood, her consciousness is probably hung up somewhere.\You do know it's forbidden to pass through someone else's gate, right? response:	That doesn't matter now.
context: Yes...\Tomoe...\Nanami went in first, but she still hasn't come out.\Even if some trouble were to crop up, it would not be entirely unexpected.\Don't yell at her, okay?\In all likelihood, her consciousness is probably hung up somewhere.\You do know it's forbidden to pass through someone else's gate, right?\That doesn't matter now. response:	Where is Nanami's consciousness?
context: Tomoe...\Nanami went in first, but she still hasn't come out.\Even if some trouble were to crop up, it would not be entirely unexpected.\Don't yell at her, okay?\In all likelihood, her consciousness is probably hung up somewhere.\You do know it's forbidden to pass through someone else's gate, right?\That doesn't matter now.\Where is Nanami's consciousness? response:	I couldn't even begin to guess.
context: Nanami went in first, but she still hasn't come out.\Even if some trouble were to crop up, it would not be entirely unexpected.\Don't yell at her, okay?\In all likelihood, her consciousness is probably hung up somewhere.\You do know it's forbidden to pass through someone else's gate, right?\That doesn't matter now.\Where is Nanami's consciousness?\I couldn't even begin to guess. response:	Tomoe!
context: Even if some trouble were to crop up, it would not be entirely unexpected.\Don't yell at her, okay?\In all likelihood, her consciousness is probably hung up somewhere.\You do know it's forbidden to pass through someone else's gate, right?\That doesn't matter now.\Where is Nanami's consciousness?\I couldn't even begin to guess.\Tomoe! response:	What're you just standing there for?! That was Nanami!
context: Don't yell at her, okay?\In all likelihood, her consciousness is probably hung up somewhere.\You do know it's forbidden to pass through someone else's gate, right?\That doesn't matter now.\Where is Nanami's consciousness?\I couldn't even begin to guess.\Tomoe!\What're you just standing there for?! That was Nanami! response:	Huh?
context: In all likelihood, her consciousness is probably hung up somewhere.\You do know it's forbidden to pass through someone else's gate, right?\That doesn't matter now.\Where is Nanami's consciousness?\I couldn't even begin to guess.\Tomoe!\What're you just standing there for?! That was Nanami!\Huh? response:	Nanami's consciousness has gone back twelve years in time!
