context: We kissed, held hands, response:	and walked to the convenience store without saying a word.
context: there are many things that I don't know about Nobu yet.\I want to learn everything about him.\But I'll bet his blood type is A.\Since he's basically a serious person.\Darn it. I'm feeling restless.\Hi there!\Stop startling me!\Hey Nobu, are you hungry? response:	I came directly after work, so I haven't eaten anything either.
context: I want to learn everything about him.\But I'll bet his blood type is A.\Since he's basically a serious person.\Darn it. I'm feeling restless.\Hi there!\Stop startling me!\Hey Nobu, are you hungry?\I came directly after work, so I haven't eaten anything either. response:	Oh? Then let's have dinner somewhere.
context: But I'll bet his blood type is A.\Since he's basically a serious person.\Darn it. I'm feeling restless.\Hi there!\Stop startling me!\Hey Nobu, are you hungry?\I came directly after work, so I haven't eaten anything either.\Oh? Then let's have dinner somewhere. response:	Actually, I wanna go to your place and make something!
context: Since he's basically a serious person.\Darn it. I'm feeling restless.\Hi there!\Stop startling me!\Hey Nobu, are you hungry?\I came directly after work, so I haven't eaten anything either.\Oh? Then let's have dinner somewhere.\Actually, I wanna go to your place and make something! response:	Huh? My place?
context: Darn it. I'm feeling restless.\Hi there!\Stop startling me!\Hey Nobu, are you hungry?\I came directly after work, so I haven't eaten anything either.\Oh? Then let's have dinner somewhere.\Actually, I wanna go to your place and make something!\Huh? My place? response:	- No good! - Why not?
context: Hi there!\Stop startling me!\Hey Nobu, are you hungry?\I came directly after work, so I haven't eaten anything either.\Oh? Then let's have dinner somewhere.\Actually, I wanna go to your place and make something!\Huh? My place?\- No good! - Why not? response:	I told you yesterday.
context: Stop startling me!\Hey Nobu, are you hungry?\I came directly after work, so I haven't eaten anything either.\Oh? Then let's have dinner somewhere.\Actually, I wanna go to your place and make something!\Huh? My place?\- No good! - Why not?\I told you yesterday. response:	Put an end to things first, and then come to me.
context: Hey Nobu, are you hungry?\I came directly after work, so I haven't eaten anything either.\Oh? Then let's have dinner somewhere.\Actually, I wanna go to your place and make something!\Huh? My place?\- No good! - Why not?\I told you yesterday.\Put an end to things first, and then come to me. response:	But I did. That's why I came.
context: I came directly after work, so I haven't eaten anything either.\Oh? Then let's have dinner somewhere.\Actually, I wanna go to your place and make something!\Huh? My place?\- No good! - Why not?\I told you yesterday.\Put an end to things first, and then come to me.\But I did. That's why I came. response:	Too fast!
context: Oh? Then let's have dinner somewhere.\Actually, I wanna go to your place and make something!\Huh? My place?\- No good! - Why not?\I told you yesterday.\Put an end to things first, and then come to me.\But I did. That's why I came.\Too fast! response:	I'm sorry. But I was holding back all day today.
context: Actually, I wanna go to your place and make something!\Huh? My place?\- No good! - Why not?\I told you yesterday.\Put an end to things first, and then come to me.\But I did. That's why I came.\Too fast!\I'm sorry. But I was holding back all day today. response:	The day seemed like a year to me.
context: Huh? My place?\- No good! - Why not?\I told you yesterday.\Put an end to things first, and then come to me.\But I did. That's why I came.\Too fast!\I'm sorry. But I was holding back all day today.\The day seemed like a year to me. response:	It might've felt like a year to you, but one day is still one day.
context: - No good! - Why not?\I told you yesterday.\Put an end to things first, and then come to me.\But I did. That's why I came.\Too fast!\I'm sorry. But I was holding back all day today.\The day seemed like a year to me.\It might've felt like a year to you, but one day is still one day. response:	Then I'll try and wait for one more day.
context: I told you yesterday.\Put an end to things first, and then come to me.\But I did. That's why I came.\Too fast!\I'm sorry. But I was holding back all day today.\The day seemed like a year to me.\It might've felt like a year to you, but one day is still one day.\Then I'll try and wait for one more day. response:	Do you know how to make nikujaga?
context: Put an end to things first, and then come to me.\But I did. That's why I came.\Too fast!\I'm sorry. But I was holding back all day today.\The day seemed like a year to me.\It might've felt like a year to you, but one day is still one day.\Then I'll try and wait for one more day.\Do you know how to make nikujaga? response:	It's my specialty!
context: But I did. That's why I came.\Too fast!\I'm sorry. But I was holding back all day today.\The day seemed like a year to me.\It might've felt like a year to you, but one day is still one day.\Then I'll try and wait for one more day.\Do you know how to make nikujaga?\It's my specialty! response:	She's so cute! Let's just pretend that a year has passed.
context: Too fast!\I'm sorry. But I was holding back all day today.\The day seemed like a year to me.\It might've felt like a year to you, but one day is still one day.\Then I'll try and wait for one more day.\Do you know how to make nikujaga?\It's my specialty!\She's so cute! Let's just pretend that a year has passed. response:	Where's Hachiko?
context: I'm sorry. But I was holding back all day today.\The day seemed like a year to me.\It might've felt like a year to you, but one day is still one day.\Then I'll try and wait for one more day.\Do you know how to make nikujaga?\It's my specialty!\She's so cute! Let's just pretend that a year has passed.\Where's Hachiko? response:	She said she may not be coming home today.
context: The day seemed like a year to me.\It might've felt like a year to you, but one day is still one day.\Then I'll try and wait for one more day.\Do you know how to make nikujaga?\It's my specialty!\She's so cute! Let's just pretend that a year has passed.\Where's Hachiko?\She said she may not be coming home today. response:	I got an email from her.
context: It might've felt like a year to you, but one day is still one day.\Then I'll try and wait for one more day.\Do you know how to make nikujaga?\It's my specialty!\She's so cute! Let's just pretend that a year has passed.\Where's Hachiko?\She said she may not be coming home today.\I got an email from her. response:	You think she's at her boyfriend's place again?
context: Then I'll try and wait for one more day.\Do you know how to make nikujaga?\It's my specialty!\She's so cute! Let's just pretend that a year has passed.\Where's Hachiko?\She said she may not be coming home today.\I got an email from her.\You think she's at her boyfriend's place again? response:	What? But I thought they're filming until midnight.
context: Do you know how to make nikujaga?\It's my specialty!\She's so cute! Let's just pretend that a year has passed.\Where's Hachiko?\She said she may not be coming home today.\I got an email from her.\You think she's at her boyfriend's place again?\What? But I thought they're filming until midnight. response:	TELL ME WHERE NOBU WORKS! HACHIKO
context: It's my specialty!\She's so cute! Let's just pretend that a year has passed.\Where's Hachiko?\She said she may not be coming home today.\I got an email from her.\You think she's at her boyfriend's place again?\What? But I thought they're filming until midnight.\TELL ME WHERE NOBU WORKS! HACHIKO response:	Hey, Nana...
context: She's so cute! Let's just pretend that a year has passed.\Where's Hachiko?\She said she may not be coming home today.\I got an email from her.\You think she's at her boyfriend's place again?\What? But I thought they're filming until midnight.\TELL ME WHERE NOBU WORKS! HACHIKO\Hey, Nana... response:	What words of love has Ren given you?
context: Where's Hachiko?\She said she may not be coming home today.\I got an email from her.\You think she's at her boyfriend's place again?\What? But I thought they're filming until midnight.\TELL ME WHERE NOBU WORKS! HACHIKO\Hey, Nana...\What words of love has Ren given you? response:	I should've asked you then. I should've found out.
context: She said she may not be coming home today.\I got an email from her.\You think she's at her boyfriend's place again?\What? But I thought they're filming until midnight.\TELL ME WHERE NOBU WORKS! HACHIKO\Hey, Nana...\What words of love has Ren given you?\I should've asked you then. I should've found out. response:	That claw-foot bathtub isn't here anymore.
context: I got an email from her.\You think she's at her boyfriend's place again?\What? But I thought they're filming until midnight.\TELL ME WHERE NOBU WORKS! HACHIKO\Hey, Nana...\What words of love has Ren given you?\I should've asked you then. I should've found out.\That claw-foot bathtub isn't here anymore. response:	I reached into the sky
context: You think she's at her boyfriend's place again?\What? But I thought they're filming until midnight.\TELL ME WHERE NOBU WORKS! HACHIKO\Hey, Nana...\What words of love has Ren given you?\I should've asked you then. I should've found out.\That claw-foot bathtub isn't here anymore.\I reached into the sky response:	But I couldn't reach what I wanted
context: What? But I thought they're filming until midnight.\TELL ME WHERE NOBU WORKS! HACHIKO\Hey, Nana...\What words of love has Ren given you?\I should've asked you then. I should've found out.\That claw-foot bathtub isn't here anymore.\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: TELL ME WHERE NOBU WORKS! HACHIKO\Hey, Nana...\What words of love has Ren given you?\I should've asked you then. I should've found out.\That claw-foot bathtub isn't here anymore.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: Hey, Nana...\What words of love has Ren given you?\I should've asked you then. I should've found out.\That claw-foot bathtub isn't here anymore.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: What words of love has Ren given you?\I should've asked you then. I should've found out.\That claw-foot bathtub isn't here anymore.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: I should've asked you then. I should've found out.\That claw-foot bathtub isn't here anymore.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: That claw-foot bathtub isn't here anymore.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
