context: I'm such a loser! response:	Leader, my ass!
context: but everyone used to run around carefree like that before.\Well, I'm only half human,\so I only understand half of it all.\Compared to other animals, humans have a longer childhood.\So I think that time leaves a long lasting impression,\even after becoming adults.\We get really nostalgic.\True, humans are very sentimental. response:	Here, names and titles don't mean anything.
context: Well, I'm only half human,\so I only understand half of it all.\Compared to other animals, humans have a longer childhood.\So I think that time leaves a long lasting impression,\even after becoming adults.\We get really nostalgic.\True, humans are very sentimental.\Here, names and titles don't mean anything. response:	But that's how it used to be for everyone.
context: so I only understand half of it all.\Compared to other animals, humans have a longer childhood.\So I think that time leaves a long lasting impression,\even after becoming adults.\We get really nostalgic.\True, humans are very sentimental.\Here, names and titles don't mean anything.\But that's how it used to be for everyone. response:	There were many different kinds of people all jostling for space,
context: Compared to other animals, humans have a longer childhood.\So I think that time leaves a long lasting impression,\even after becoming adults.\We get really nostalgic.\True, humans are very sentimental.\Here, names and titles don't mean anything.\But that's how it used to be for everyone.\There were many different kinds of people all jostling for space, response:	but things somehow worked out...
context: So I think that time leaves a long lasting impression,\even after becoming adults.\We get really nostalgic.\True, humans are very sentimental.\Here, names and titles don't mean anything.\But that's how it used to be for everyone.\There were many different kinds of people all jostling for space,\but things somehow worked out... response:	I'm kind of glad we came.
context: even after becoming adults.\We get really nostalgic.\True, humans are very sentimental.\Here, names and titles don't mean anything.\But that's how it used to be for everyone.\There were many different kinds of people all jostling for space,\but things somehow worked out...\I'm kind of glad we came. response:	Sugane-chan, you've changed.
context: We get really nostalgic.\True, humans are very sentimental.\Here, names and titles don't mean anything.\But that's how it used to be for everyone.\There were many different kinds of people all jostling for space,\but things somehow worked out...\I'm kind of glad we came.\Sugane-chan, you've changed. response:	What? Not really.
context: True, humans are very sentimental.\Here, names and titles don't mean anything.\But that's how it used to be for everyone.\There were many different kinds of people all jostling for space,\but things somehow worked out...\I'm kind of glad we came.\Sugane-chan, you've changed.\What? Not really. response:	She totally fits right in, doesn't she?
context: Here, names and titles don't mean anything.\But that's how it used to be for everyone.\There were many different kinds of people all jostling for space,\but things somehow worked out...\I'm kind of glad we came.\Sugane-chan, you've changed.\What? Not really.\She totally fits right in, doesn't she? response:	I can't tell who's the kid and who's the grown-up.
context: But that's how it used to be for everyone.\There were many different kinds of people all jostling for space,\but things somehow worked out...\I'm kind of glad we came.\Sugane-chan, you've changed.\What? Not really.\She totally fits right in, doesn't she?\I can't tell who's the kid and who's the grown-up. response:	You're right.
context: There were many different kinds of people all jostling for space,\but things somehow worked out...\I'm kind of glad we came.\Sugane-chan, you've changed.\What? Not really.\She totally fits right in, doesn't she?\I can't tell who's the kid and who's the grown-up.\You're right. response:	Maybe Katze is like that, too.
context: but things somehow worked out...\I'm kind of glad we came.\Sugane-chan, you've changed.\What? Not really.\She totally fits right in, doesn't she?\I can't tell who's the kid and who's the grown-up.\You're right.\Maybe Katze is like that, too. response:	Huh?
context: I'm kind of glad we came.\Sugane-chan, you've changed.\What? Not really.\She totally fits right in, doesn't she?\I can't tell who's the kid and who's the grown-up.\You're right.\Maybe Katze is like that, too.\Huh? response:	Maybe it's like a troublesome child.
context: Sugane-chan, you've changed.\What? Not really.\She totally fits right in, doesn't she?\I can't tell who's the kid and who's the grown-up.\You're right.\Maybe Katze is like that, too.\Huh?\Maybe it's like a troublesome child. response:	Oh, just listen to me go on and on!
context: What? Not really.\She totally fits right in, doesn't she?\I can't tell who's the kid and who's the grown-up.\You're right.\Maybe Katze is like that, too.\Huh?\Maybe it's like a troublesome child.\Oh, just listen to me go on and on! response:	Forget what I said just now.
context: She totally fits right in, doesn't she?\I can't tell who's the kid and who's the grown-up.\You're right.\Maybe Katze is like that, too.\Huh?\Maybe it's like a troublesome child.\Oh, just listen to me go on and on!\Forget what I said just now. response:	I'm going to run!
context: I can't tell who's the kid and who's the grown-up.\You're right.\Maybe Katze is like that, too.\Huh?\Maybe it's like a troublesome child.\Oh, just listen to me go on and on!\Forget what I said just now.\I'm going to run! response:	I'm going to run the best I can!
context: You're right.\Maybe Katze is like that, too.\Huh?\Maybe it's like a troublesome child.\Oh, just listen to me go on and on!\Forget what I said just now.\I'm going to run!\I'm going to run the best I can! response:	Hey, catch me if you can!
context: Maybe Katze is like that, too.\Huh?\Maybe it's like a troublesome child.\Oh, just listen to me go on and on!\Forget what I said just now.\I'm going to run!\I'm going to run the best I can!\Hey, catch me if you can! response:	Wow, he's super fast!
context: Huh?\Maybe it's like a troublesome child.\Oh, just listen to me go on and on!\Forget what I said just now.\I'm going to run!\I'm going to run the best I can!\Hey, catch me if you can!\Wow, he's super fast! response:	The panda man's awesome!
context: Maybe it's like a troublesome child.\Oh, just listen to me go on and on!\Forget what I said just now.\I'm going to run!\I'm going to run the best I can!\Hey, catch me if you can!\Wow, he's super fast!\The panda man's awesome! response:	See?!
context: Oh, just listen to me go on and on!\Forget what I said just now.\I'm going to run!\I'm going to run the best I can!\Hey, catch me if you can!\Wow, he's super fast!\The panda man's awesome!\See?! response:	Aren't I amazing?!
context: Forget what I said just now.\I'm going to run!\I'm going to run the best I can!\Hey, catch me if you can!\Wow, he's super fast!\The panda man's awesome!\See?!\Aren't I amazing?! response:	What are you doing?
context: I'm going to run!\I'm going to run the best I can!\Hey, catch me if you can!\Wow, he's super fast!\The panda man's awesome!\See?!\Aren't I amazing?!\What are you doing? response:	Hey, can you write grave on this?
context: I'm going to run the best I can!\Hey, catch me if you can!\Wow, he's super fast!\The panda man's awesome!\See?!\Aren't I amazing?!\What are you doing?\Hey, can you write grave on this? response:	What? Grave?
context: Hey, catch me if you can!\Wow, he's super fast!\The panda man's awesome!\See?!\Aren't I amazing?!\What are you doing?\Hey, can you write grave on this?\What? Grave? response:	Why?
context: Wow, he's super fast!\The panda man's awesome!\See?!\Aren't I amazing?!\What are you doing?\Hey, can you write grave on this?\What? Grave?\Why? response:	Because Papa might die soon.
context: The panda man's awesome!\See?!\Aren't I amazing?!\What are you doing?\Hey, can you write grave on this?\What? Grave?\Why?\Because Papa might die soon. response:	Is your Papa sick?
context: See?!\Aren't I amazing?!\What are you doing?\Hey, can you write grave on this?\What? Grave?\Why?\Because Papa might die soon.\Is your Papa sick? response:	No.
context: Aren't I amazing?!\What are you doing?\Hey, can you write grave on this?\What? Grave?\Why?\Because Papa might die soon.\Is your Papa sick?\No. response:	It's because of GALAX.
context: What are you doing?\Hey, can you write grave on this?\What? Grave?\Why?\Because Papa might die soon.\Is your Papa sick?\No.\It's because of GALAX. response:	Papa fell down when he was on GALAX.
context: Hey, can you write grave on this?\What? Grave?\Why?\Because Papa might die soon.\Is your Papa sick?\No.\It's because of GALAX.\Papa fell down when he was on GALAX. response:	He's been sleeping in the hospital ever since.
