context: On the wall discolored by the sun, the poster mark remained. response:	Blinking eyes call the wind
context: So if and when Nobu cheats on her,\I sure hope she shows enough passion to go crying to him and not let him go.\Then if I cheat on you,\will you come crying to me and not let me go?\No, I'll beat you to death.\I'm relieved, Junko.\THERE'S STILL HOPE FOR US I'm relieved, Junko.\THERE'S STILL HOPE FOR US response:	THERE'S STILL HOPE FOR US Why?
context: I sure hope she shows enough passion to go crying to him and not let him go.\Then if I cheat on you,\will you come crying to me and not let me go?\No, I'll beat you to death.\I'm relieved, Junko.\THERE'S STILL HOPE FOR US I'm relieved, Junko.\THERE'S STILL HOPE FOR US\THERE'S STILL HOPE FOR US Why? response:	THERE'S STILL HOPE FOR US
context: Then if I cheat on you,\will you come crying to me and not let me go?\No, I'll beat you to death.\I'm relieved, Junko.\THERE'S STILL HOPE FOR US I'm relieved, Junko.\THERE'S STILL HOPE FOR US\THERE'S STILL HOPE FOR US Why?\THERE'S STILL HOPE FOR US response:	It's all about how you express your feelings, right?
context: will you come crying to me and not let me go?\No, I'll beat you to death.\I'm relieved, Junko.\THERE'S STILL HOPE FOR US I'm relieved, Junko.\THERE'S STILL HOPE FOR US\THERE'S STILL HOPE FOR US Why?\THERE'S STILL HOPE FOR US\It's all about how you express your feelings, right? response:	NANA
context: No, I'll beat you to death.\I'm relieved, Junko.\THERE'S STILL HOPE FOR US I'm relieved, Junko.\THERE'S STILL HOPE FOR US\THERE'S STILL HOPE FOR US Why?\THERE'S STILL HOPE FOR US\It's all about how you express your feelings, right?\NANA response:	This is the call center.
context: I'm relieved, Junko.\THERE'S STILL HOPE FOR US I'm relieved, Junko.\THERE'S STILL HOPE FOR US\THERE'S STILL HOPE FOR US Why?\THERE'S STILL HOPE FOR US\It's all about how you express your feelings, right?\NANA\This is the call center. response:	Please call again without withholding your phone number.
context: THERE'S STILL HOPE FOR US I'm relieved, Junko.\THERE'S STILL HOPE FOR US\THERE'S STILL HOPE FOR US Why?\THERE'S STILL HOPE FOR US\It's all about how you express your feelings, right?\NANA\This is the call center.\Please call again without withholding your phone number. response:	So she suddenly doesn't accept calls from unidentified numbers! Why?!
context: THERE'S STILL HOPE FOR US\THERE'S STILL HOPE FOR US Why?\THERE'S STILL HOPE FOR US\It's all about how you express your feelings, right?\NANA\This is the call center.\Please call again without withholding your phone number.\So she suddenly doesn't accept calls from unidentified numbers! Why?! response:	I hate Takumi.
context: THERE'S STILL HOPE FOR US Why?\THERE'S STILL HOPE FOR US\It's all about how you express your feelings, right?\NANA\This is the call center.\Please call again without withholding your phone number.\So she suddenly doesn't accept calls from unidentified numbers! Why?!\I hate Takumi. response:	Ren, the next page.
context: THERE'S STILL HOPE FOR US\It's all about how you express your feelings, right?\NANA\This is the call center.\Please call again without withholding your phone number.\So she suddenly doesn't accept calls from unidentified numbers! Why?!\I hate Takumi.\Ren, the next page. response:	Nobuo and Hachiko are together!
context: It's all about how you express your feelings, right?\NANA\This is the call center.\Please call again without withholding your phone number.\So she suddenly doesn't accept calls from unidentified numbers! Why?!\I hate Takumi.\Ren, the next page.\Nobuo and Hachiko are together! response:	Huh? Then she's going out with two guys?
context: NANA\This is the call center.\Please call again without withholding your phone number.\So she suddenly doesn't accept calls from unidentified numbers! Why?!\I hate Takumi.\Ren, the next page.\Nobuo and Hachiko are together!\Huh? Then she's going out with two guys? response:	Way to go, Hachiko.
context: This is the call center.\Please call again without withholding your phone number.\So she suddenly doesn't accept calls from unidentified numbers! Why?!\I hate Takumi.\Ren, the next page.\Nobuo and Hachiko are together!\Huh? Then she's going out with two guys?\Way to go, Hachiko. response:	What are you saying?
context: Please call again without withholding your phone number.\So she suddenly doesn't accept calls from unidentified numbers! Why?!\I hate Takumi.\Ren, the next page.\Nobuo and Hachiko are together!\Huh? Then she's going out with two guys?\Way to go, Hachiko.\What are you saying? response:	There's no way Hachiko could manage two guys at once.
context: So she suddenly doesn't accept calls from unidentified numbers! Why?!\I hate Takumi.\Ren, the next page.\Nobuo and Hachiko are together!\Huh? Then she's going out with two guys?\Way to go, Hachiko.\What are you saying?\There's no way Hachiko could manage two guys at once. response:	She broke up with Takumi, right?
context: I hate Takumi.\Ren, the next page.\Nobuo and Hachiko are together!\Huh? Then she's going out with two guys?\Way to go, Hachiko.\What are you saying?\There's no way Hachiko could manage two guys at once.\She broke up with Takumi, right? response:	Really? Well, she has good reason to dump that guy.
context: Ren, the next page.\Nobuo and Hachiko are together!\Huh? Then she's going out with two guys?\Way to go, Hachiko.\What are you saying?\There's no way Hachiko could manage two guys at once.\She broke up with Takumi, right?\Really? Well, she has good reason to dump that guy. response:	All he thinks about is sex.
context: Nobuo and Hachiko are together!\Huh? Then she's going out with two guys?\Way to go, Hachiko.\What are you saying?\There's no way Hachiko could manage two guys at once.\She broke up with Takumi, right?\Really? Well, she has good reason to dump that guy.\All he thinks about is sex. response:	The same with you!
context: Huh? Then she's going out with two guys?\Way to go, Hachiko.\What are you saying?\There's no way Hachiko could manage two guys at once.\She broke up with Takumi, right?\Really? Well, she has good reason to dump that guy.\All he thinks about is sex.\The same with you! response:	Just call her without hiding your number.
context: Way to go, Hachiko.\What are you saying?\There's no way Hachiko could manage two guys at once.\She broke up with Takumi, right?\Really? Well, she has good reason to dump that guy.\All he thinks about is sex.\The same with you!\Just call her without hiding your number. response:	She'll just know even more not to pick up if she knows it's me.
context: What are you saying?\There's no way Hachiko could manage two guys at once.\She broke up with Takumi, right?\Really? Well, she has good reason to dump that guy.\All he thinks about is sex.\The same with you!\Just call her without hiding your number.\She'll just know even more not to pick up if she knows it's me. response:	Oh, right.
context: There's no way Hachiko could manage two guys at once.\She broke up with Takumi, right?\Really? Well, she has good reason to dump that guy.\All he thinks about is sex.\The same with you!\Just call her without hiding your number.\She'll just know even more not to pick up if she knows it's me.\Oh, right. response:	Hachiko? I thought you two broke up.
context: She broke up with Takumi, right?\Really? Well, she has good reason to dump that guy.\All he thinks about is sex.\The same with you!\Just call her without hiding your number.\She'll just know even more not to pick up if she knows it's me.\Oh, right.\Hachiko? I thought you two broke up. response:	Not really. She's just pissed off at me.
context: Really? Well, she has good reason to dump that guy.\All he thinks about is sex.\The same with you!\Just call her without hiding your number.\She'll just know even more not to pick up if she knows it's me.\Oh, right.\Hachiko? I thought you two broke up.\Not really. She's just pissed off at me. response:	By the way, where the hell is the crew?
context: All he thinks about is sex.\The same with you!\Just call her without hiding your number.\She'll just know even more not to pick up if she knows it's me.\Oh, right.\Hachiko? I thought you two broke up.\Not really. She's just pissed off at me.\By the way, where the hell is the crew? response:	They're late! What do they take us for?!
context: The same with you!\Just call her without hiding your number.\She'll just know even more not to pick up if she knows it's me.\Oh, right.\Hachiko? I thought you two broke up.\Not really. She's just pissed off at me.\By the way, where the hell is the crew?\They're late! What do they take us for?! response:	Takumi. We still have 10 minutes.
context: Just call her without hiding your number.\She'll just know even more not to pick up if she knows it's me.\Oh, right.\Hachiko? I thought you two broke up.\Not really. She's just pissed off at me.\By the way, where the hell is the crew?\They're late! What do they take us for?!\Takumi. We still have 10 minutes. response:	I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.
context: She'll just know even more not to pick up if she knows it's me.\Oh, right.\Hachiko? I thought you two broke up.\Not really. She's just pissed off at me.\By the way, where the hell is the crew?\They're late! What do they take us for?!\Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS Takumi. We still have 10 minutes. response:	I'M STAYING OUT OF THIS
context: Oh, right.\Hachiko? I thought you two broke up.\Not really. She's just pissed off at me.\By the way, where the hell is the crew?\They're late! What do they take us for?!\Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS response:	Stop reading erotic comics.
context: Hachiko? I thought you two broke up.\Not really. She's just pissed off at me.\By the way, where the hell is the crew?\They're late! What do they take us for?!\Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS\Stop reading erotic comics. response:	THINKING ABOUT SEX? Stop reading erotic comics.
context: Not really. She's just pissed off at me.\By the way, where the hell is the crew?\They're late! What do they take us for?!\Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS\Stop reading erotic comics.\THINKING ABOUT SEX? Stop reading erotic comics. response:	THINKING ABOUT SEX?
context: By the way, where the hell is the crew?\They're late! What do they take us for?!\Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS\Stop reading erotic comics.\THINKING ABOUT SEX? Stop reading erotic comics.\THINKING ABOUT SEX? response:	THINKING ABOUT SEX? I just happened to be reading that scene!
context: They're late! What do they take us for?!\Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS\Stop reading erotic comics.\THINKING ABOUT SEX? Stop reading erotic comics.\THINKING ABOUT SEX?\THINKING ABOUT SEX? I just happened to be reading that scene! response:	I just happened to be reading that scene!
context: Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS\Stop reading erotic comics.\THINKING ABOUT SEX? Stop reading erotic comics.\THINKING ABOUT SEX?\THINKING ABOUT SEX? I just happened to be reading that scene!\I just happened to be reading that scene! response:	Is Hachiko not enough to satisfy you?
context: I'M STAYING OUT OF THIS Takumi. We still have 10 minutes.\I'M STAYING OUT OF THIS\Stop reading erotic comics.\THINKING ABOUT SEX? Stop reading erotic comics.\THINKING ABOUT SEX?\THINKING ABOUT SEX? I just happened to be reading that scene!\I just happened to be reading that scene!\Is Hachiko not enough to satisfy you? response:	No, I am more than satisfied.
context: I'M STAYING OUT OF THIS\Stop reading erotic comics.\THINKING ABOUT SEX? Stop reading erotic comics.\THINKING ABOUT SEX?\THINKING ABOUT SEX? I just happened to be reading that scene!\I just happened to be reading that scene!\Is Hachiko not enough to satisfy you?\No, I am more than satisfied. response:	Is she that good?!
context: Stop reading erotic comics.\THINKING ABOUT SEX? Stop reading erotic comics.\THINKING ABOUT SEX?\THINKING ABOUT SEX? I just happened to be reading that scene!\I just happened to be reading that scene!\Is Hachiko not enough to satisfy you?\No, I am more than satisfied.\Is she that good?! response:	IN WHAT WAY?! Is she that good?!
context: THINKING ABOUT SEX? Stop reading erotic comics.\THINKING ABOUT SEX?\THINKING ABOUT SEX? I just happened to be reading that scene!\I just happened to be reading that scene!\Is Hachiko not enough to satisfy you?\No, I am more than satisfied.\Is she that good?!\IN WHAT WAY?! Is she that good?! response:	IN WHAT WAY?!
context: THINKING ABOUT SEX?\THINKING ABOUT SEX? I just happened to be reading that scene!\I just happened to be reading that scene!\Is Hachiko not enough to satisfy you?\No, I am more than satisfied.\Is she that good?!\IN WHAT WAY?! Is she that good?!\IN WHAT WAY?! response:	IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.
context: THINKING ABOUT SEX? I just happened to be reading that scene!\I just happened to be reading that scene!\Is Hachiko not enough to satisfy you?\No, I am more than satisfied.\Is she that good?!\IN WHAT WAY?! Is she that good?!\IN WHAT WAY?!\IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman. response:	When I talk to you, I don't feel like I'm talking to a woman.
context: I just happened to be reading that scene!\Is Hachiko not enough to satisfy you?\No, I am more than satisfied.\Is she that good?!\IN WHAT WAY?! Is she that good?!\IN WHAT WAY?!\IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.\When I talk to you, I don't feel like I'm talking to a woman. response:	But I'm glad, Nobuo.
context: Is Hachiko not enough to satisfy you?\No, I am more than satisfied.\Is she that good?!\IN WHAT WAY?! Is she that good?!\IN WHAT WAY?!\IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.\When I talk to you, I don't feel like I'm talking to a woman.\But I'm glad, Nobuo. response:	You succeeded in making Hachiko yours.
context: No, I am more than satisfied.\Is she that good?!\IN WHAT WAY?! Is she that good?!\IN WHAT WAY?!\IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.\When I talk to you, I don't feel like I'm talking to a woman.\But I'm glad, Nobuo.\You succeeded in making Hachiko yours. response:	I am very grateful to you.
context: Is she that good?!\IN WHAT WAY?! Is she that good?!\IN WHAT WAY?!\IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.\When I talk to you, I don't feel like I'm talking to a woman.\But I'm glad, Nobuo.\You succeeded in making Hachiko yours.\I am very grateful to you. response:	Huh?
context: IN WHAT WAY?! Is she that good?!\IN WHAT WAY?!\IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.\When I talk to you, I don't feel like I'm talking to a woman.\But I'm glad, Nobuo.\You succeeded in making Hachiko yours.\I am very grateful to you.\Huh? response:	I know that you were rooting for me.
context: IN WHAT WAY?!\IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.\When I talk to you, I don't feel like I'm talking to a woman.\But I'm glad, Nobuo.\You succeeded in making Hachiko yours.\I am very grateful to you.\Huh?\I know that you were rooting for me. response:	I got this really warm feeling of friendship from you.
context: IN WHAT WAY?! When I talk to you, I don't feel like I'm talking to a woman.\When I talk to you, I don't feel like I'm talking to a woman.\But I'm glad, Nobuo.\You succeeded in making Hachiko yours.\I am very grateful to you.\Huh?\I know that you were rooting for me.\I got this really warm feeling of friendship from you. response:	So annoying. It wasn't for your sake.
context: When I talk to you, I don't feel like I'm talking to a woman.\But I'm glad, Nobuo.\You succeeded in making Hachiko yours.\I am very grateful to you.\Huh?\I know that you were rooting for me.\I got this really warm feeling of friendship from you.\So annoying. It wasn't for your sake. response:	Of course! It was for Hachi then!
context: But I'm glad, Nobuo.\You succeeded in making Hachiko yours.\I am very grateful to you.\Huh?\I know that you were rooting for me.\I got this really warm feeling of friendship from you.\So annoying. It wasn't for your sake.\Of course! It was for Hachi then! response:	You thought that, of all people, I could make Hachiko happy, right?
context: You succeeded in making Hachiko yours.\I am very grateful to you.\Huh?\I know that you were rooting for me.\I got this really warm feeling of friendship from you.\So annoying. It wasn't for your sake.\Of course! It was for Hachi then!\You thought that, of all people, I could make Hachiko happy, right? response:	I sure will make her happy!
context: I am very grateful to you.\Huh?\I know that you were rooting for me.\I got this really warm feeling of friendship from you.\So annoying. It wasn't for your sake.\Of course! It was for Hachi then!\You thought that, of all people, I could make Hachiko happy, right?\I sure will make her happy! response:	It's not like that.
context: Huh?\I know that you were rooting for me.\I got this really warm feeling of friendship from you.\So annoying. It wasn't for your sake.\Of course! It was for Hachi then!\You thought that, of all people, I could make Hachiko happy, right?\I sure will make her happy!\It's not like that. response:	I hate to say this, but I just used you.
context: I know that you were rooting for me.\I got this really warm feeling of friendship from you.\So annoying. It wasn't for your sake.\Of course! It was for Hachi then!\You thought that, of all people, I could make Hachiko happy, right?\I sure will make her happy!\It's not like that.\I hate to say this, but I just used you. response:	As a way to get revenge against Takumi?
context: I got this really warm feeling of friendship from you.\So annoying. It wasn't for your sake.\Of course! It was for Hachi then!\You thought that, of all people, I could make Hachiko happy, right?\I sure will make her happy!\It's not like that.\I hate to say this, but I just used you.\As a way to get revenge against Takumi? response:	- It's not that. - Then what?
context: So annoying. It wasn't for your sake.\Of course! It was for Hachi then!\You thought that, of all people, I could make Hachiko happy, right?\I sure will make her happy!\It's not like that.\I hate to say this, but I just used you.\As a way to get revenge against Takumi?\- It's not that. - Then what? response:	So that Hachiko can run freely without a leash in my yard.
context: Of course! It was for Hachi then!\You thought that, of all people, I could make Hachiko happy, right?\I sure will make her happy!\It's not like that.\I hate to say this, but I just used you.\As a way to get revenge against Takumi?\- It's not that. - Then what?\So that Hachiko can run freely without a leash in my yard. response:	So, keep an eye on her
context: You thought that, of all people, I could make Hachiko happy, right?\I sure will make her happy!\It's not like that.\I hate to say this, but I just used you.\As a way to get revenge against Takumi?\- It's not that. - Then what?\So that Hachiko can run freely without a leash in my yard.\So, keep an eye on her response:	so that she doesn't ever escape to some other place.
context: I sure will make her happy!\It's not like that.\I hate to say this, but I just used you.\As a way to get revenge against Takumi?\- It's not that. - Then what?\So that Hachiko can run freely without a leash in my yard.\So, keep an eye on her\so that she doesn't ever escape to some other place. response:	Nobu!
context: It's not like that.\I hate to say this, but I just used you.\As a way to get revenge against Takumi?\- It's not that. - Then what?\So that Hachiko can run freely without a leash in my yard.\So, keep an eye on her\so that she doesn't ever escape to some other place.\Nobu! response:	Nana!
context: I hate to say this, but I just used you.\As a way to get revenge against Takumi?\- It's not that. - Then what?\So that Hachiko can run freely without a leash in my yard.\So, keep an eye on her\so that she doesn't ever escape to some other place.\Nobu!\Nana! response:	I guess a person's true nature will never change.
context: As a way to get revenge against Takumi?\- It's not that. - Then what?\So that Hachiko can run freely without a leash in my yard.\So, keep an eye on her\so that she doesn't ever escape to some other place.\Nobu!\Nana!\I guess a person's true nature will never change. response:	She's still the same girl with the same warped way of thinking.
context: - It's not that. - Then what?\So that Hachiko can run freely without a leash in my yard.\So, keep an eye on her\so that she doesn't ever escape to some other place.\Nobu!\Nana!\I guess a person's true nature will never change.\She's still the same girl with the same warped way of thinking. response:	I'd thought she became softer because of Ren.
context: So that Hachiko can run freely without a leash in my yard.\So, keep an eye on her\so that she doesn't ever escape to some other place.\Nobu!\Nana!\I guess a person's true nature will never change.\She's still the same girl with the same warped way of thinking.\I'd thought she became softer because of Ren. response:	But Nana's desire to possess is abnormally strong.
context: So, keep an eye on her\so that she doesn't ever escape to some other place.\Nobu!\Nana!\I guess a person's true nature will never change.\She's still the same girl with the same warped way of thinking.\I'd thought she became softer because of Ren.\But Nana's desire to possess is abnormally strong. response:	Even with regards to Ren.
context: so that she doesn't ever escape to some other place.\Nobu!\Nana!\I guess a person's true nature will never change.\She's still the same girl with the same warped way of thinking.\I'd thought she became softer because of Ren.\But Nana's desire to possess is abnormally strong.\Even with regards to Ren. response:	I mean, with that padlock and all.
context: Nobu!\Nana!\I guess a person's true nature will never change.\She's still the same girl with the same warped way of thinking.\I'd thought she became softer because of Ren.\But Nana's desire to possess is abnormally strong.\Even with regards to Ren.\I mean, with that padlock and all. response:	Huh? But that's because she's a fan of Sid Vicious.
context: Nana!\I guess a person's true nature will never change.\She's still the same girl with the same warped way of thinking.\I'd thought she became softer because of Ren.\But Nana's desire to possess is abnormally strong.\Even with regards to Ren.\I mean, with that padlock and all.\Huh? But that's because she's a fan of Sid Vicious. response:	It's just a copy of that. It's nothing more.
context: I guess a person's true nature will never change.\She's still the same girl with the same warped way of thinking.\I'd thought she became softer because of Ren.\But Nana's desire to possess is abnormally strong.\Even with regards to Ren.\I mean, with that padlock and all.\Huh? But that's because she's a fan of Sid Vicious.\It's just a copy of that. It's nothing more. response:	I think there is.
context: She's still the same girl with the same warped way of thinking.\I'd thought she became softer because of Ren.\But Nana's desire to possess is abnormally strong.\Even with regards to Ren.\I mean, with that padlock and all.\Huh? But that's because she's a fan of Sid Vicious.\It's just a copy of that. It's nothing more.\I think there is. response:	And she's even got a tattoo
context: I'd thought she became softer because of Ren.\But Nana's desire to possess is abnormally strong.\Even with regards to Ren.\I mean, with that padlock and all.\Huh? But that's because she's a fan of Sid Vicious.\It's just a copy of that. It's nothing more.\I think there is.\And she's even got a tattoo response:	that's a symbol of Ren's name on her body.
context: But Nana's desire to possess is abnormally strong.\Even with regards to Ren.\I mean, with that padlock and all.\Huh? But that's because she's a fan of Sid Vicious.\It's just a copy of that. It's nothing more.\I think there is.\And she's even got a tattoo\that's a symbol of Ren's name on her body. response:	No matter how much she loves him,
context: Even with regards to Ren.\I mean, with that padlock and all.\Huh? But that's because she's a fan of Sid Vicious.\It's just a copy of that. It's nothing more.\I think there is.\And she's even got a tattoo\that's a symbol of Ren's name on her body.\No matter how much she loves him, response:	don't you find that scary for her to go that far?
context: I mean, with that padlock and all.\Huh? But that's because she's a fan of Sid Vicious.\It's just a copy of that. It's nothing more.\I think there is.\And she's even got a tattoo\that's a symbol of Ren's name on her body.\No matter how much she loves him,\don't you find that scary for her to go that far? response:	And then for Ren to gladly accept that
context: Huh? But that's because she's a fan of Sid Vicious.\It's just a copy of that. It's nothing more.\I think there is.\And she's even got a tattoo\that's a symbol of Ren's name on her body.\No matter how much she loves him,\don't you find that scary for her to go that far?\And then for Ren to gladly accept that response:	and continue wearing that for two years after they broke up?
context: It's just a copy of that. It's nothing more.\I think there is.\And she's even got a tattoo\that's a symbol of Ren's name on her body.\No matter how much she loves him,\don't you find that scary for her to go that far?\And then for Ren to gladly accept that\and continue wearing that for two years after they broke up? response:	I find him quite eccentric, as well.
context: I think there is.\And she's even got a tattoo\that's a symbol of Ren's name on her body.\No matter how much she loves him,\don't you find that scary for her to go that far?\And then for Ren to gladly accept that\and continue wearing that for two years after they broke up?\I find him quite eccentric, as well. response:	But Hachi talks of them as the ideal couple.
context: And she's even got a tattoo\that's a symbol of Ren's name on her body.\No matter how much she loves him,\don't you find that scary for her to go that far?\And then for Ren to gladly accept that\and continue wearing that for two years after they broke up?\I find him quite eccentric, as well.\But Hachi talks of them as the ideal couple. response:	Perhaps I'm the one who has a warped way of thinking.
context: that's a symbol of Ren's name on her body.\No matter how much she loves him,\don't you find that scary for her to go that far?\And then for Ren to gladly accept that\and continue wearing that for two years after they broke up?\I find him quite eccentric, as well.\But Hachi talks of them as the ideal couple.\Perhaps I'm the one who has a warped way of thinking. response:	So you're saying Nana's met her soul mate?
context: No matter how much she loves him,\don't you find that scary for her to go that far?\And then for Ren to gladly accept that\and continue wearing that for two years after they broke up?\I find him quite eccentric, as well.\But Hachi talks of them as the ideal couple.\Perhaps I'm the one who has a warped way of thinking.\So you're saying Nana's met her soul mate? response:	Oh, I love such stories.
context: don't you find that scary for her to go that far?\And then for Ren to gladly accept that\and continue wearing that for two years after they broke up?\I find him quite eccentric, as well.\But Hachi talks of them as the ideal couple.\Perhaps I'm the one who has a warped way of thinking.\So you're saying Nana's met her soul mate?\Oh, I love such stories. response:	Keiko? Oh boy. She can be a real sadist.
context: And then for Ren to gladly accept that\and continue wearing that for two years after they broke up?\I find him quite eccentric, as well.\But Hachi talks of them as the ideal couple.\Perhaps I'm the one who has a warped way of thinking.\So you're saying Nana's met her soul mate?\Oh, I love such stories.\Keiko? Oh boy. She can be a real sadist. response:	Huh?! Real sadist?!
context: and continue wearing that for two years after they broke up?\I find him quite eccentric, as well.\But Hachi talks of them as the ideal couple.\Perhaps I'm the one who has a warped way of thinking.\So you're saying Nana's met her soul mate?\Oh, I love such stories.\Keiko? Oh boy. She can be a real sadist.\Huh?! Real sadist?! response:	I won't be coming back tonight. Why not have Hachi come over again?
context: I find him quite eccentric, as well.\But Hachi talks of them as the ideal couple.\Perhaps I'm the one who has a warped way of thinking.\So you're saying Nana's met her soul mate?\Oh, I love such stories.\Keiko? Oh boy. She can be a real sadist.\Huh?! Real sadist?!\I won't be coming back tonight. Why not have Hachi come over again? response:	I am really happy that you and Hachi are together.
context: But Hachi talks of them as the ideal couple.\Perhaps I'm the one who has a warped way of thinking.\So you're saying Nana's met her soul mate?\Oh, I love such stories.\Keiko? Oh boy. She can be a real sadist.\Huh?! Real sadist?!\I won't be coming back tonight. Why not have Hachi come over again?\I am really happy that you and Hachi are together. response:	But weren't you supporting us
context: Perhaps I'm the one who has a warped way of thinking.\So you're saying Nana's met her soul mate?\Oh, I love such stories.\Keiko? Oh boy. She can be a real sadist.\Huh?! Real sadist?!\I won't be coming back tonight. Why not have Hachi come over again?\I am really happy that you and Hachi are together.\But weren't you supporting us response:	because you wanted to keep her in your yard as your pet?
context: So you're saying Nana's met her soul mate?\Oh, I love such stories.\Keiko? Oh boy. She can be a real sadist.\Huh?! Real sadist?!\I won't be coming back tonight. Why not have Hachi come over again?\I am really happy that you and Hachi are together.\But weren't you supporting us\because you wanted to keep her in your yard as your pet? response:	You talked of me getting her back as if she were a dog.
context: Oh, I love such stories.\Keiko? Oh boy. She can be a real sadist.\Huh?! Real sadist?!\I won't be coming back tonight. Why not have Hachi come over again?\I am really happy that you and Hachi are together.\But weren't you supporting us\because you wanted to keep her in your yard as your pet?\You talked of me getting her back as if she were a dog. response:	But you're wrong. I just wanted you to show me the answer.
context: Keiko? Oh boy. She can be a real sadist.\Huh?! Real sadist?!\I won't be coming back tonight. Why not have Hachi come over again?\I am really happy that you and Hachi are together.\But weren't you supporting us\because you wanted to keep her in your yard as your pet?\You talked of me getting her back as if she were a dog.\But you're wrong. I just wanted you to show me the answer. response:	The answer?
context: Huh?! Real sadist?!\I won't be coming back tonight. Why not have Hachi come over again?\I am really happy that you and Hachi are together.\But weren't you supporting us\because you wanted to keep her in your yard as your pet?\You talked of me getting her back as if she were a dog.\But you're wrong. I just wanted you to show me the answer.\The answer? response:	Men and women are simply opposing creatures
context: I won't be coming back tonight. Why not have Hachi come over again?\I am really happy that you and Hachi are together.\But weren't you supporting us\because you wanted to keep her in your yard as your pet?\You talked of me getting her back as if she were a dog.\But you're wrong. I just wanted you to show me the answer.\The answer?\Men and women are simply opposing creatures response:	driven toward each other by lust.
context: I am really happy that you and Hachi are together.\But weren't you supporting us\because you wanted to keep her in your yard as your pet?\You talked of me getting her back as if she were a dog.\But you're wrong. I just wanted you to show me the answer.\The answer?\Men and women are simply opposing creatures\driven toward each other by lust. response:	BY NOBU driven toward each other by lust.
context: But weren't you supporting us\because you wanted to keep her in your yard as your pet?\You talked of me getting her back as if she were a dog.\But you're wrong. I just wanted you to show me the answer.\The answer?\Men and women are simply opposing creatures\driven toward each other by lust.\BY NOBU driven toward each other by lust. response:	BY NOBU
context: because you wanted to keep her in your yard as your pet?\You talked of me getting her back as if she were a dog.\But you're wrong. I just wanted you to show me the answer.\The answer?\Men and women are simply opposing creatures\driven toward each other by lust.\BY NOBU driven toward each other by lust.\BY NOBU response:	BY NOBU Can they be connected by love?
context: You talked of me getting her back as if she were a dog.\But you're wrong. I just wanted you to show me the answer.\The answer?\Men and women are simply opposing creatures\driven toward each other by lust.\BY NOBU driven toward each other by lust.\BY NOBU\BY NOBU Can they be connected by love? response:	But you two connected, didn't you?
context: But you're wrong. I just wanted you to show me the answer.\The answer?\Men and women are simply opposing creatures\driven toward each other by lust.\BY NOBU driven toward each other by lust.\BY NOBU\BY NOBU Can they be connected by love?\But you two connected, didn't you? response:	Well, you're already having sex,
context: The answer?\Men and women are simply opposing creatures\driven toward each other by lust.\BY NOBU driven toward each other by lust.\BY NOBU\BY NOBU Can they be connected by love?\But you two connected, didn't you?\Well, you're already having sex, response:	but that's natural between two people that love each other.
context: Men and women are simply opposing creatures\driven toward each other by lust.\BY NOBU driven toward each other by lust.\BY NOBU\BY NOBU Can they be connected by love?\But you two connected, didn't you?\Well, you're already having sex,\but that's natural between two people that love each other. response:	So love does tie you together, right?
context: driven toward each other by lust.\BY NOBU driven toward each other by lust.\BY NOBU\BY NOBU Can they be connected by love?\But you two connected, didn't you?\Well, you're already having sex,\but that's natural between two people that love each other.\So love does tie you together, right? response:	Try it yourself if you wanna find out.
context: BY NOBU driven toward each other by lust.\BY NOBU\BY NOBU Can they be connected by love?\But you two connected, didn't you?\Well, you're already having sex,\but that's natural between two people that love each other.\So love does tie you together, right?\Try it yourself if you wanna find out. response:	It's impossible for me.
context: BY NOBU\BY NOBU Can they be connected by love?\But you two connected, didn't you?\Well, you're already having sex,\but that's natural between two people that love each other.\So love does tie you together, right?\Try it yourself if you wanna find out.\It's impossible for me. response:	We will first have them sign a temporary contract,
context: BY NOBU Can they be connected by love?\But you two connected, didn't you?\Well, you're already having sex,\but that's natural between two people that love each other.\So love does tie you together, right?\Try it yourself if you wanna find out.\It's impossible for me.\We will first have them sign a temporary contract, response:	and once details of their first CD release have been determined,
