context: Grand Prix Final Final Competition response:	Barcelona, Spain
context: No problem!\The triple axel turned into a single...\Oops.\JJ...\Damn it.\He let himself be swallowed by the Grand Prix Final pressure.\Once I win the World Championship, let's get married.\JJ! response:	I bet you can win every single title.
context: The triple axel turned into a single...\Oops.\JJ...\Damn it.\He let himself be swallowed by the Grand Prix Final pressure.\Once I win the World Championship, let's get married.\JJ!\I bet you can win every single title. response:	Yes, JJ... You can do it.
context: Oops.\JJ...\Damn it.\He let himself be swallowed by the Grand Prix Final pressure.\Once I win the World Championship, let's get married.\JJ!\I bet you can win every single title.\Yes, JJ... You can do it. response:	JJ, you can win the grand slam.
context: JJ...\Damn it.\He let himself be swallowed by the Grand Prix Final pressure.\Once I win the World Championship, let's get married.\JJ!\I bet you can win every single title.\Yes, JJ... You can do it.\JJ, you can win the grand slam. response:	So this is... the pressure of the Grand Prix Final...
context: Damn it.\He let himself be swallowed by the Grand Prix Final pressure.\Once I win the World Championship, let's get married.\JJ!\I bet you can win every single title.\Yes, JJ... You can do it.\JJ, you can win the grand slam.\So this is... the pressure of the Grand Prix Final... response:	JJ...
context: He let himself be swallowed by the Grand Prix Final pressure.\Once I win the World Championship, let's get married.\JJ!\I bet you can win every single title.\Yes, JJ... You can do it.\JJ, you can win the grand slam.\So this is... the pressure of the Grand Prix Final...\JJ... response:	never...
context: Once I win the World Championship, let's get married.\JJ!\I bet you can win every single title.\Yes, JJ... You can do it.\JJ, you can win the grand slam.\So this is... the pressure of the Grand Prix Final...\JJ...\never... response:	gives up!
context: JJ!\I bet you can win every single title.\Yes, JJ... You can do it.\JJ, you can win the grand slam.\So this is... the pressure of the Grand Prix Final...\JJ...\never...\gives up! response:	Thank you.
context: I bet you can win every single title.\Yes, JJ... You can do it.\JJ, you can win the grand slam.\So this is... the pressure of the Grand Prix Final...\JJ...\never...\gives up!\Thank you. response:	I can hear all of you!
context: Yes, JJ... You can do it.\JJ, you can win the grand slam.\So this is... the pressure of the Grand Prix Final...\JJ...\never...\gives up!\Thank you.\I can hear all of you! response:	Last up is his giant quadruple Lutz.
context: JJ, you can win the grand slam.\So this is... the pressure of the Grand Prix Final...\JJ...\never...\gives up!\Thank you.\I can hear all of you!\Last up is his giant quadruple Lutz. response:	How will it go?
context: So this is... the pressure of the Grand Prix Final...\JJ...\never...\gives up!\Thank you.\I can hear all of you!\Last up is his giant quadruple Lutz.\How will it go? response:	Of course I'll choose to take risks!
context: JJ...\never...\gives up!\Thank you.\I can hear all of you!\Last up is his giant quadruple Lutz.\How will it go?\Of course I'll choose to take risks! response:	It turned into a single.
context: never...\gives up!\Thank you.\I can hear all of you!\Last up is his giant quadruple Lutz.\How will it go?\Of course I'll choose to take risks!\It turned into a single. response:	It's like seeing myself from last year.
context: gives up!\Thank you.\I can hear all of you!\Last up is his giant quadruple Lutz.\How will it go?\Of course I'll choose to take risks!\It turned into a single.\It's like seeing myself from last year. response:	No, this is different.
context: Thank you.\I can hear all of you!\Last up is his giant quadruple Lutz.\How will it go?\Of course I'll choose to take risks!\It turned into a single.\It's like seeing myself from last year.\No, this is different. response:	JJ just can't stay stuck in one place.
context: I can hear all of you!\Last up is his giant quadruple Lutz.\How will it go?\Of course I'll choose to take risks!\It turned into a single.\It's like seeing myself from last year.\No, this is different.\JJ just can't stay stuck in one place. response:	No one has the right to mock the challenge he's taken on.
context: Last up is his giant quadruple Lutz.\How will it go?\Of course I'll choose to take risks!\It turned into a single.\It's like seeing myself from last year.\No, this is different.\JJ just can't stay stuck in one place.\No one has the right to mock the challenge he's taken on. response:	I have no regrets for taking on my own challenge this time, either!
context: How will it go?\Of course I'll choose to take risks!\It turned into a single.\It's like seeing myself from last year.\No, this is different.\JJ just can't stay stuck in one place.\No one has the right to mock the challenge he's taken on.\I have no regrets for taking on my own challenge this time, either! response:	After all, I've managed to become one of the final six.
context: Of course I'll choose to take risks!\It turned into a single.\It's like seeing myself from last year.\No, this is different.\JJ just can't stay stuck in one place.\No one has the right to mock the challenge he's taken on.\I have no regrets for taking on my own challenge this time, either!\After all, I've managed to become one of the final six. response:	We have Jean-Jacques Leroy's score.
context: It turned into a single.\It's like seeing myself from last year.\No, this is different.\JJ just can't stay stuck in one place.\No one has the right to mock the challenge he's taken on.\I have no regrets for taking on my own challenge this time, either!\After all, I've managed to become one of the final six.\We have Jean-Jacques Leroy's score. response:	RK: 6 Jean-Jacques Leroy Total
context: It's like seeing myself from last year.\No, this is different.\JJ just can't stay stuck in one place.\No one has the right to mock the challenge he's taken on.\I have no regrets for taking on my own challenge this time, either!\After all, I've managed to become one of the final six.\We have Jean-Jacques Leroy's score.\RK: 6 Jean-Jacques Leroy Total response:	It's 86.71, his lowest score thus far in his senior division career.
context: No, this is different.\JJ just can't stay stuck in one place.\No one has the right to mock the challenge he's taken on.\I have no regrets for taking on my own challenge this time, either!\After all, I've managed to become one of the final six.\We have Jean-Jacques Leroy's score.\RK: 6 Jean-Jacques Leroy Total\It's 86.71, his lowest score thus far in his senior division career. response:	I don't understand what's happening.
context: JJ just can't stay stuck in one place.\No one has the right to mock the challenge he's taken on.\I have no regrets for taking on my own challenge this time, either!\After all, I've managed to become one of the final six.\We have Jean-Jacques Leroy's score.\RK: 6 Jean-Jacques Leroy Total\It's 86.71, his lowest score thus far in his senior division career.\I don't understand what's happening. response:	JJ! JJ! JJ!
context: No one has the right to mock the challenge he's taken on.\I have no regrets for taking on my own challenge this time, either!\After all, I've managed to become one of the final six.\We have Jean-Jacques Leroy's score.\RK: 6 Jean-Jacques Leroy Total\It's 86.71, his lowest score thus far in his senior division career.\I don't understand what's happening.\JJ! JJ! JJ! response:	JJ! JJ! JJ!
context: I have no regrets for taking on my own challenge this time, either!\After all, I've managed to become one of the final six.\We have Jean-Jacques Leroy's score.\RK: 6 Jean-Jacques Leroy Total\It's 86.71, his lowest score thus far in his senior division career.\I don't understand what's happening.\JJ! JJ! JJ!\JJ! JJ! JJ! response:	Stop!
context: After all, I've managed to become one of the final six.\We have Jean-Jacques Leroy's score.\RK: 6 Jean-Jacques Leroy Total\It's 86.71, his lowest score thus far in his senior division career.\I don't understand what's happening.\JJ! JJ! JJ!\JJ! JJ! JJ!\Stop! response:	It's JJ Style!
context: We have Jean-Jacques Leroy's score.\RK: 6 Jean-Jacques Leroy Total\It's 86.71, his lowest score thus far in his senior division career.\I don't understand what's happening.\JJ! JJ! JJ!\JJ! JJ! JJ!\Stop!\It's JJ Style! response:	Shut up! Shut up! Shut up!
context: RK: 6 Jean-Jacques Leroy Total\It's 86.71, his lowest score thus far in his senior division career.\I don't understand what's happening.\JJ! JJ! JJ!\JJ! JJ! JJ!\Stop!\It's JJ Style!\Shut up! Shut up! Shut up! response:	To Be Continued!!!
context: It's 86.71, his lowest score thus far in his senior division career.\I don't understand what's happening.\JJ! JJ! JJ!\JJ! JJ! JJ!\Stop!\It's JJ Style!\Shut up! Shut up! Shut up!\To Be Continued!!! response:	Yuri Plisetsky in first place,
context: I don't understand what's happening.\JJ! JJ! JJ!\JJ! JJ! JJ!\Stop!\It's JJ Style!\Shut up! Shut up! Shut up!\To Be Continued!!!\Yuri Plisetsky in first place, response:	Otabek Altin in second place,
context: JJ! JJ! JJ!\JJ! JJ! JJ!\Stop!\It's JJ Style!\Shut up! Shut up! Shut up!\To Be Continued!!!\Yuri Plisetsky in first place,\Otabek Altin in second place, response:	and Christophe Giacometti in third place,
context: JJ! JJ! JJ!\Stop!\It's JJ Style!\Shut up! Shut up! Shut up!\To Be Continued!!!\Yuri Plisetsky in first place,\Otabek Altin in second place,\and Christophe Giacometti in third place, response:	with the remaining rankings as seen.
context: Stop!\It's JJ Style!\Shut up! Shut up! Shut up!\To Be Continued!!!\Yuri Plisetsky in first place,\Otabek Altin in second place,\and Christophe Giacometti in third place,\with the remaining rankings as seen. response:	Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables
context: It's JJ Style!\Shut up! Shut up! Shut up!\To Be Continued!!!\Yuri Plisetsky in first place,\Otabek Altin in second place,\and Christophe Giacometti in third place,\with the remaining rankings as seen.\Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables response:	Grand Prix Final Tomorrow: The Free Skate
context: Shut up! Shut up! Shut up!\To Be Continued!!!\Yuri Plisetsky in first place,\Otabek Altin in second place,\and Christophe Giacometti in third place,\with the remaining rankings as seen.\Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables\Grand Prix Final Tomorrow: The Free Skate response:	I'll go for the gold in my free skate.
context: To Be Continued!!!\Yuri Plisetsky in first place,\Otabek Altin in second place,\and Christophe Giacometti in third place,\with the remaining rankings as seen.\Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables\Grand Prix Final Tomorrow: The Free Skate\I'll go for the gold in my free skate. response:	Katsuki Yuri will enter the free skate in fourth place.
context: Yuri Plisetsky in first place,\Otabek Altin in second place,\and Christophe Giacometti in third place,\with the remaining rankings as seen.\Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables\Grand Prix Final Tomorrow: The Free Skate\I'll go for the gold in my free skate.\Katsuki Yuri will enter the free skate in fourth place. response:	Apparently, Minako-sensei's drinking with Celestino at a bar.
context: Otabek Altin in second place,\and Christophe Giacometti in third place,\with the remaining rankings as seen.\Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables\Grand Prix Final Tomorrow: The Free Skate\I'll go for the gold in my free skate.\Katsuki Yuri will enter the free skate in fourth place.\Apparently, Minako-sensei's drinking with Celestino at a bar. response:	Wow, best to keep our distance.
context: and Christophe Giacometti in third place,\with the remaining rankings as seen.\Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables\Grand Prix Final Tomorrow: The Free Skate\I'll go for the gold in my free skate.\Katsuki Yuri will enter the free skate in fourth place.\Apparently, Minako-sensei's drinking with Celestino at a bar.\Wow, best to keep our distance. response:	By the way, Yuri... What did you want to talk to me about?
context: with the remaining rankings as seen.\Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables\Grand Prix Final Tomorrow: The Free Skate\I'll go for the gold in my free skate.\Katsuki Yuri will enter the free skate in fourth place.\Apparently, Minako-sensei's drinking with Celestino at a bar.\Wow, best to keep our distance.\By the way, Yuri... What did you want to talk to me about? response:	Right.
context: Yuri of Russia earns a world record score! Japan's Katsuki Yuri vows to turn the tables\Grand Prix Final Tomorrow: The Free Skate\I'll go for the gold in my free skate.\Katsuki Yuri will enter the free skate in fourth place.\Apparently, Minako-sensei's drinking with Celestino at a bar.\Wow, best to keep our distance.\By the way, Yuri... What did you want to talk to me about?\Right. response:	After the Final, let's end this.
context: Grand Prix Final Tomorrow: The Free Skate\I'll go for the gold in my free skate.\Katsuki Yuri will enter the free skate in fourth place.\Apparently, Minako-sensei's drinking with Celestino at a bar.\Wow, best to keep our distance.\By the way, Yuri... What did you want to talk to me about?\Right.\After the Final, let's end this. response:	The final event Victor and I will face together is about to begin.
context: I'll go for the gold in my free skate.\Katsuki Yuri will enter the free skate in fourth place.\Apparently, Minako-sensei's drinking with Celestino at a bar.\Wow, best to keep our distance.\By the way, Yuri... What did you want to talk to me about?\Right.\After the Final, let's end this.\The final event Victor and I will face together is about to begin. response:	The eight months I spent with Victor
context: Katsuki Yuri will enter the free skate in fourth place.\Apparently, Minako-sensei's drinking with Celestino at a bar.\Wow, best to keep our distance.\By the way, Yuri... What did you want to talk to me about?\Right.\After the Final, let's end this.\The final event Victor and I will face together is about to begin.\The eight months I spent with Victor response:	was the most intense time in my competitive figure skating career.
context: Apparently, Minako-sensei's drinking with Celestino at a bar.\Wow, best to keep our distance.\By the way, Yuri... What did you want to talk to me about?\Right.\After the Final, let's end this.\The final event Victor and I will face together is about to begin.\The eight months I spent with Victor\was the most intense time in my competitive figure skating career. response:	I'll be sure to skate my and Victor's love, laid bare to the world!
context: Wow, best to keep our distance.\By the way, Yuri... What did you want to talk to me about?\Right.\After the Final, let's end this.\The final event Victor and I will face together is about to begin.\The eight months I spent with Victor\was the most intense time in my competitive figure skating career.\I'll be sure to skate my and Victor's love, laid bare to the world! response:	Final Skate Gotta Super-Super-Supercharge It!! Grand Prix Final Free Skate
context: By the way, Yuri... What did you want to talk to me about?\Right.\After the Final, let's end this.\The final event Victor and I will face together is about to begin.\The eight months I spent with Victor\was the most intense time in my competitive figure skating career.\I'll be sure to skate my and Victor's love, laid bare to the world!\Final Skate Gotta Super-Super-Supercharge It!! Grand Prix Final Free Skate response:	Gotta Super-Super-Supercharge It!!!
context: Right.\After the Final, let's end this.\The final event Victor and I will face together is about to begin.\The eight months I spent with Victor\was the most intense time in my competitive figure skating career.\I'll be sure to skate my and Victor's love, laid bare to the world!\Final Skate Gotta Super-Super-Supercharge It!! Grand Prix Final Free Skate\Gotta Super-Super-Supercharge It!!! response:	Grand Prix Final Free Skate.
