context: Rule the Court response:	Go, go, let's go! Let's go, Date Tech!
context: He's really pumped about going to the bathroom.\He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\I don't think he actually went to the bathroom.\Hey, Takeru. It's meeting time.\You know...\Huh?\That last bit was in slow motion. response:	I met eyes with their 10 at that moment,
context: He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\I don't think he actually went to the bathroom.\Hey, Takeru. It's meeting time.\You know...\Huh?\That last bit was in slow motion.\I met eyes with their 10 at that moment, response:	and I could tell that he figured out
context: Say poop! You're so vulgar, Kageyama-kun!\I don't think he actually went to the bathroom.\Hey, Takeru. It's meeting time.\You know...\Huh?\That last bit was in slow motion.\I met eyes with their 10 at that moment,\and I could tell that he figured out response:	where I was aiming for the wipe.
context: I don't think he actually went to the bathroom.\Hey, Takeru. It's meeting time.\You know...\Huh?\That last bit was in slow motion.\I met eyes with their 10 at that moment,\and I could tell that he figured out\where I was aiming for the wipe. response:	That was the first time I was able to see that much.
context: Hey, Takeru. It's meeting time.\You know...\Huh?\That last bit was in slow motion.\I met eyes with their 10 at that moment,\and I could tell that he figured out\where I was aiming for the wipe.\That was the first time I was able to see that much. response:	It gave me chills.
context: You know...\Huh?\That last bit was in slow motion.\I met eyes with their 10 at that moment,\and I could tell that he figured out\where I was aiming for the wipe.\That was the first time I was able to see that much.\It gave me chills. response:	Once more...
context: Huh?\That last bit was in slow motion.\I met eyes with their 10 at that moment,\and I could tell that he figured out\where I was aiming for the wipe.\That was the first time I was able to see that much.\It gave me chills.\Once more... response:	Let me do it once more.
context: That last bit was in slow motion.\I met eyes with their 10 at that moment,\and I could tell that he figured out\where I was aiming for the wipe.\That was the first time I was able to see that much.\It gave me chills.\Once more...\Let me do it once more. response:	Aoba Johsai
context: I met eyes with their 10 at that moment,\and I could tell that he figured out\where I was aiming for the wipe.\That was the first time I was able to see that much.\It gave me chills.\Once more...\Let me do it once more.\Aoba Johsai response:	Push it, push it, push it, push it! Push it, push it, push it, Seijoh!
context: and I could tell that he figured out\where I was aiming for the wipe.\That was the first time I was able to see that much.\It gave me chills.\Once more...\Let me do it once more.\Aoba Johsai\Push it, push it, push it, push it! Push it, push it, push it, Seijoh! response:	Rule the Court
context: where I was aiming for the wipe.\That was the first time I was able to see that much.\It gave me chills.\Once more...\Let me do it once more.\Aoba Johsai\Push it, push it, push it, push it! Push it, push it, push it, Seijoh!\Rule the Court response:	Go, go, let's go! Let's go, Date Tech!
context: That was the first time I was able to see that much.\It gave me chills.\Once more...\Let me do it once more.\Aoba Johsai\Push it, push it, push it, push it! Push it, push it, push it, Seijoh!\Rule the Court\Go, go, let's go! Let's go, Date Tech! response:	The Iron Wall of Date
context: It gave me chills.\Once more...\Let me do it once more.\Aoba Johsai\Push it, push it, push it, push it! Push it, push it, push it, Seijoh!\Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date response:	Hey, don't eat too much.
context: Once more...\Let me do it once more.\Aoba Johsai\Push it, push it, push it, push it! Push it, push it, push it, Seijoh!\Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Hey, don't eat too much. response:	Now...
context: Let me do it once more.\Aoba Johsai\Push it, push it, push it, push it! Push it, push it, push it, Seijoh!\Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Hey, don't eat too much.\Now... response:	I wonder who our next opponent is.
context: Aoba Johsai\Push it, push it, push it, push it! Push it, push it, push it, Seijoh!\Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Hey, don't eat too much.\Now...\I wonder who our next opponent is. response:	Lately, I've been conflicted as coach because everyone's doing so well.
context: Push it, push it, push it, push it! Push it, push it, push it, Seijoh!\Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Hey, don't eat too much.\Now...\I wonder who our next opponent is.\Lately, I've been conflicted as coach because everyone's doing so well. response:	And Nishinoya keeps scolding me, too.
context: Rule the Court\Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Hey, don't eat too much.\Now...\I wonder who our next opponent is.\Lately, I've been conflicted as coach because everyone's doing so well.\And Nishinoya keeps scolding me, too. response:	Want to join me?
context: Go, go, let's go! Let's go, Date Tech!\The Iron Wall of Date\Hey, don't eat too much.\Now...\I wonder who our next opponent is.\Lately, I've been conflicted as coach because everyone's doing so well.\And Nishinoya keeps scolding me, too.\Want to join me? response:	Uh, I'm a minor!
context: The Iron Wall of Date\Hey, don't eat too much.\Now...\I wonder who our next opponent is.\Lately, I've been conflicted as coach because everyone's doing so well.\And Nishinoya keeps scolding me, too.\Want to join me?\Uh, I'm a minor! response:	Episode 19: The Iron Wall Can Be Rebuilt Again and Again
context: Hey, don't eat too much.\Now...\I wonder who our next opponent is.\Lately, I've been conflicted as coach because everyone's doing so well.\And Nishinoya keeps scolding me, too.\Want to join me?\Uh, I'm a minor!\Episode 19: The Iron Wall Can Be Rebuilt Again and Again response:	The Iron Wall Can Be Rebuilt Again and Again.
