context: This world is filled with dungeons. response:	It is said that some of them even have perilous labyrinths that thwart adventurers.
context: I guess so. He never said you had to actually defeat any monsters, so...\Let's split up.\Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.\I guess the rich definitely have the upper hand.\Yeah...\What are you going to do, Noir?\If you're going to hunt for your materials, I'll come with you.\No, you wait here, Emma. response:	I have an idea.
context: Let's split up.\Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.\I guess the rich definitely have the upper hand.\Yeah...\What are you going to do, Noir?\If you're going to hunt for your materials, I'll come with you.\No, you wait here, Emma.\I have an idea. response:	I was sure there'd be plenty of rare monsters in a hidden dungeon.
context: Don't drag us down, Mr. Bottom of the Aristocratic Food Chain.\I guess the rich definitely have the upper hand.\Yeah...\What are you going to do, Noir?\If you're going to hunt for your materials, I'll come with you.\No, you wait here, Emma.\I have an idea.\I was sure there'd be plenty of rare monsters in a hidden dungeon. response:	And that's why I came to the third floor, but...
context: I guess the rich definitely have the upper hand.\Yeah...\What are you going to do, Noir?\If you're going to hunt for your materials, I'll come with you.\No, you wait here, Emma.\I have an idea.\I was sure there'd be plenty of rare monsters in a hidden dungeon.\And that's why I came to the third floor, but... response:	Are you serious right now?!
context: Yeah...\What are you going to do, Noir?\If you're going to hunt for your materials, I'll come with you.\No, you wait here, Emma.\I have an idea.\I was sure there'd be plenty of rare monsters in a hidden dungeon.\And that's why I came to the third floor, but...\Are you serious right now?! response:	I'm still level 23...
context: What are you going to do, Noir?\If you're going to hunt for your materials, I'll come with you.\No, you wait here, Emma.\I have an idea.\I was sure there'd be plenty of rare monsters in a hidden dungeon.\And that's why I came to the third floor, but...\Are you serious right now?!\I'm still level 23... response:	Dead Reaper Lv. 99
context: If you're going to hunt for your materials, I'll come with you.\No, you wait here, Emma.\I have an idea.\I was sure there'd be plenty of rare monsters in a hidden dungeon.\And that's why I came to the third floor, but...\Are you serious right now?!\I'm still level 23...\Dead Reaper Lv. 99 response:	Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.
context: No, you wait here, Emma.\I have an idea.\I was sure there'd be plenty of rare monsters in a hidden dungeon.\And that's why I came to the third floor, but...\Are you serious right now?!\I'm still level 23...\Dead Reaper Lv. 99\Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance. response:	Not to mention, if that Scythe hits me, it's an insta-death for me.
context: I have an idea.\I was sure there'd be plenty of rare monsters in a hidden dungeon.\And that's why I came to the third floor, but...\Are you serious right now?!\I'm still level 23...\Dead Reaper Lv. 99\Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.\Not to mention, if that Scythe hits me, it's an insta-death for me. response:	I-If I use my Editor skill and delete its Instant Death attack...
context: I was sure there'd be plenty of rare monsters in a hidden dungeon.\And that's why I came to the third floor, but...\Are you serious right now?!\I'm still level 23...\Dead Reaper Lv. 99\Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.\Not to mention, if that Scythe hits me, it's an insta-death for me.\I-If I use my Editor skill and delete its Instant Death attack... response:	Skill
context: And that's why I came to the third floor, but...\Are you serious right now?!\I'm still level 23...\Dead Reaper Lv. 99\Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.\Not to mention, if that Scythe hits me, it's an insta-death for me.\I-If I use my Editor skill and delete its Instant Death attack...\Skill response:	LP needed to delete: 4000
context: Are you serious right now?!\I'm still level 23...\Dead Reaper Lv. 99\Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.\Not to mention, if that Scythe hits me, it's an insta-death for me.\I-If I use my Editor skill and delete its Instant Death attack...\Skill\LP needed to delete: 4000 response:	Nope! I'd literally die eight times!
context: I'm still level 23...\Dead Reaper Lv. 99\Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.\Not to mention, if that Scythe hits me, it's an insta-death for me.\I-If I use my Editor skill and delete its Instant Death attack...\Skill\LP needed to delete: 4000\Nope! I'd literally die eight times! response:	Noir Stardia
context: Dead Reaper Lv. 99\Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.\Not to mention, if that Scythe hits me, it's an insta-death for me.\I-If I use my Editor skill and delete its Instant Death attack...\Skill\LP needed to delete: 4000\Nope! I'd literally die eight times!\Noir Stardia response:	I created the skill Heavy and Bestowed it on the Reaper.
context: Skill Skill Any damage dealt to its enemy with the Skill Scythe means Instant Death. Effect cannot Skill be avoided without specific resistance.\Not to mention, if that Scythe hits me, it's an insta-death for me.\I-If I use my Editor skill and delete its Instant Death attack...\Skill\LP needed to delete: 4000\Nope! I'd literally die eight times!\Noir Stardia\I created the skill Heavy and Bestowed it on the Reaper. response:	I managed to stop it for now,
context: Not to mention, if that Scythe hits me, it's an insta-death for me.\I-If I use my Editor skill and delete its Instant Death attack...\Skill\LP needed to delete: 4000\Nope! I'd literally die eight times!\Noir Stardia\I created the skill Heavy and Bestowed it on the Reaper.\I managed to stop it for now, response:	but that instantly cost me 200 LP...
context: I-If I use my Editor skill and delete its Instant Death attack...\Skill\LP needed to delete: 4000\Nope! I'd literally die eight times!\Noir Stardia\I created the skill Heavy and Bestowed it on the Reaper.\I managed to stop it for now,\but that instantly cost me 200 LP... response:	I feel so weak...
context: Skill\LP needed to delete: 4000\Nope! I'd literally die eight times!\Noir Stardia\I created the skill Heavy and Bestowed it on the Reaper.\I managed to stop it for now,\but that instantly cost me 200 LP...\I feel so weak... response:	I lost so much LP, I can actually feel my life draining away...
context: LP needed to delete: 4000\Nope! I'd literally die eight times!\Noir Stardia\I created the skill Heavy and Bestowed it on the Reaper.\I managed to stop it for now,\but that instantly cost me 200 LP...\I feel so weak...\I lost so much LP, I can actually feel my life draining away... response:	But... I have to do this...
context: Nope! I'd literally die eight times!\Noir Stardia\I created the skill Heavy and Bestowed it on the Reaper.\I managed to stop it for now,\but that instantly cost me 200 LP...\I feel so weak...\I lost so much LP, I can actually feel my life draining away...\But... I have to do this... response:	There's no other way!
context: Noir Stardia\I created the skill Heavy and Bestowed it on the Reaper.\I managed to stop it for now,\but that instantly cost me 200 LP...\I feel so weak...\I lost so much LP, I can actually feel my life draining away...\But... I have to do this...\There's no other way! response:	I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!
context: I created the skill Heavy and Bestowed it on the Reaper.\I managed to stop it for now,\but that instantly cost me 200 LP...\I feel so weak...\I lost so much LP, I can actually feel my life draining away...\But... I have to do this...\There's no other way!\I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters! response:	Noir Stardia
context: I managed to stop it for now,\but that instantly cost me 200 LP...\I feel so weak...\I lost so much LP, I can actually feel my life draining away...\But... I have to do this...\There's no other way!\I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!\Noir Stardia response:	Stone Bullet
context: but that instantly cost me 200 LP...\I feel so weak...\I lost so much LP, I can actually feel my life draining away...\But... I have to do this...\There's no other way!\I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!\Noir Stardia\Stone Bullet response:	You know, you seem a bit thin. Have you been eating properly?
context: I feel so weak...\I lost so much LP, I can actually feel my life draining away...\But... I have to do this...\There's no other way!\I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!\Noir Stardia\Stone Bullet\You know, you seem a bit thin. Have you been eating properly? response:	Here. This should fill you up!
context: I lost so much LP, I can actually feel my life draining away...\But... I have to do this...\There's no other way!\I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!\Noir Stardia\Stone Bullet\You know, you seem a bit thin. Have you been eating properly?\Here. This should fill you up! response:	Stone Bullet 100!
context: But... I have to do this...\There's no other way!\I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!\Noir Stardia\Stone Bullet\You know, you seem a bit thin. Have you been eating properly?\Here. This should fill you up!\Stone Bullet 100! response:	Noir Stardia
context: There's no other way!\I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!\Noir Stardia\Stone Bullet\You know, you seem a bit thin. Have you been eating properly?\Here. This should fill you up!\Stone Bullet 100!\Noir Stardia response:	I-I'm exhausted...
context: I'll use 100 LP and my Editor skill to make the Stone Bullet size 100 centimeters!\Noir Stardia\Stone Bullet\You know, you seem a bit thin. Have you been eating properly?\Here. This should fill you up!\Stone Bullet 100!\Noir Stardia\I-I'm exhausted... response:	And now I will announce the top three teams from the entrance exam results.
context: Noir Stardia\Stone Bullet\You know, you seem a bit thin. Have you been eating properly?\Here. This should fill you up!\Stone Bullet 100!\Noir Stardia\I-I'm exhausted...\And now I will announce the top three teams from the entrance exam results. response:	He hasn't called our team at all.
context: Stone Bullet\You know, you seem a bit thin. Have you been eating properly?\Here. This should fill you up!\Stone Bullet 100!\Noir Stardia\I-I'm exhausted...\And now I will announce the top three teams from the entrance exam results.\He hasn't called our team at all. response:	Y-Yeah...
context: You know, you seem a bit thin. Have you been eating properly?\Here. This should fill you up!\Stone Bullet 100!\Noir Stardia\I-I'm exhausted...\And now I will announce the top three teams from the entrance exam results.\He hasn't called our team at all.\Y-Yeah... response:	In third place, Team Genos with 5,890 points.
context: Here. This should fill you up!\Stone Bullet 100!\Noir Stardia\I-I'm exhausted...\And now I will announce the top three teams from the entrance exam results.\He hasn't called our team at all.\Y-Yeah...\In third place, Team Genos with 5,890 points. response:	In second place, Team Elizabeth with 11,550 points.
context: Stone Bullet 100!\Noir Stardia\I-I'm exhausted...\And now I will announce the top three teams from the entrance exam results.\He hasn't called our team at all.\Y-Yeah...\In third place, Team Genos with 5,890 points.\In second place, Team Elizabeth with 11,550 points. response:	H-He still hasn't called us.
context: Noir Stardia\I-I'm exhausted...\And now I will announce the top three teams from the entrance exam results.\He hasn't called our team at all.\Y-Yeah...\In third place, Team Genos with 5,890 points.\In second place, Team Elizabeth with 11,550 points.\H-He still hasn't called us. response:	Maybe we didn't even rank...
context: I-I'm exhausted...\And now I will announce the top three teams from the entrance exam results.\He hasn't called our team at all.\Y-Yeah...\In third place, Team Genos with 5,890 points.\In second place, Team Elizabeth with 11,550 points.\H-He still hasn't called us.\Maybe we didn't even rank... response:	W-We should be okay.
context: And now I will announce the top three teams from the entrance exam results.\He hasn't called our team at all.\Y-Yeah...\In third place, Team Genos with 5,890 points.\In second place, Team Elizabeth with 11,550 points.\H-He still hasn't called us.\Maybe we didn't even rank...\W-We should be okay. response:	I mean, Master said...
context: He hasn't called our team at all.\Y-Yeah...\In third place, Team Genos with 5,890 points.\In second place, Team Elizabeth with 11,550 points.\H-He still hasn't called us.\Maybe we didn't even rank...\W-We should be okay.\I mean, Master said... response:	It wouldn't be weird if I brought this to the exam, right?
context: Y-Yeah...\In third place, Team Genos with 5,890 points.\In second place, Team Elizabeth with 11,550 points.\H-He still hasn't called us.\Maybe we didn't even rank...\W-We should be okay.\I mean, Master said...\It wouldn't be weird if I brought this to the exam, right? response:	Nah.
context: In third place, Team Genos with 5,890 points.\In second place, Team Elizabeth with 11,550 points.\H-He still hasn't called us.\Maybe we didn't even rank...\W-We should be okay.\I mean, Master said...\It wouldn't be weird if I brought this to the exam, right?\Nah. response:	It's better than bringing a golden slime, which doesn't exist on this continent.
context: In second place, Team Elizabeth with 11,550 points.\H-He still hasn't called us.\Maybe we didn't even rank...\W-We should be okay.\I mean, Master said...\It wouldn't be weird if I brought this to the exam, right?\Nah.\It's better than bringing a golden slime, which doesn't exist on this continent. response:	They're grunts anyway, so you'll be fine.
context: H-He still hasn't called us.\Maybe we didn't even rank...\W-We should be okay.\I mean, Master said...\It wouldn't be weird if I brought this to the exam, right?\Nah.\It's better than bringing a golden slime, which doesn't exist on this continent.\They're grunts anyway, so you'll be fine. response:	B-But... if he doesn't call us...
context: Maybe we didn't even rank...\W-We should be okay.\I mean, Master said...\It wouldn't be weird if I brought this to the exam, right?\Nah.\It's better than bringing a golden slime, which doesn't exist on this continent.\They're grunts anyway, so you'll be fine.\B-But... if he doesn't call us... response:	And in first place...
context: W-We should be okay.\I mean, Master said...\It wouldn't be weird if I brought this to the exam, right?\Nah.\It's better than bringing a golden slime, which doesn't exist on this continent.\They're grunts anyway, so you'll be fine.\B-But... if he doesn't call us...\And in first place... response:	Team Lenore with 128,000 points!
context: I mean, Master said...\It wouldn't be weird if I brought this to the exam, right?\Nah.\It's better than bringing a golden slime, which doesn't exist on this continent.\They're grunts anyway, so you'll be fine.\B-But... if he doesn't call us...\And in first place...\Team Lenore with 128,000 points! response:	O-One hundred and twenty...
context: It wouldn't be weird if I brought this to the exam, right?\Nah.\It's better than bringing a golden slime, which doesn't exist on this continent.\They're grunts anyway, so you'll be fine.\B-But... if he doesn't call us...\And in first place...\Team Lenore with 128,000 points!\O-One hundred and twenty... response:	They had the skull of the extremely diabolical Dead Reaper among their materials.
context: Nah.\It's better than bringing a golden slime, which doesn't exist on this continent.\They're grunts anyway, so you'll be fine.\B-But... if he doesn't call us...\And in first place...\Team Lenore with 128,000 points!\O-One hundred and twenty...\They had the skull of the extremely diabolical Dead Reaper among their materials. response:	This means they pass and rewrite history with that score.
context: It's better than bringing a golden slime, which doesn't exist on this continent.\They're grunts anyway, so you'll be fine.\B-But... if he doesn't call us...\And in first place...\Team Lenore with 128,000 points!\O-One hundred and twenty...\They had the skull of the extremely diabolical Dead Reaper among their materials.\This means they pass and rewrite history with that score. response:	Wh-What were you saying about this being a grunt, Master?
context: They're grunts anyway, so you'll be fine.\B-But... if he doesn't call us...\And in first place...\Team Lenore with 128,000 points!\O-One hundred and twenty...\They had the skull of the extremely diabolical Dead Reaper among their materials.\This means they pass and rewrite history with that score.\Wh-What were you saying about this being a grunt, Master? response:	Whoops, my bad.
context: B-But... if he doesn't call us...\And in first place...\Team Lenore with 128,000 points!\O-One hundred and twenty...\They had the skull of the extremely diabolical Dead Reaper among their materials.\This means they pass and rewrite history with that score.\Wh-What were you saying about this being a grunt, Master?\Whoops, my bad. response:	A Dead Reaper is nothing to me,
context: And in first place...\Team Lenore with 128,000 points!\O-One hundred and twenty...\They had the skull of the extremely diabolical Dead Reaper among their materials.\This means they pass and rewrite history with that score.\Wh-What were you saying about this being a grunt, Master?\Whoops, my bad.\A Dead Reaper is nothing to me, response:	but I guess a student hunting them would be a miracle.
context: Team Lenore with 128,000 points!\O-One hundred and twenty...\They had the skull of the extremely diabolical Dead Reaper among their materials.\This means they pass and rewrite history with that score.\Wh-What were you saying about this being a grunt, Master?\Whoops, my bad.\A Dead Reaper is nothing to me,\but I guess a student hunting them would be a miracle. response:	Well, whatever.
context: O-One hundred and twenty...\They had the skull of the extremely diabolical Dead Reaper among their materials.\This means they pass and rewrite history with that score.\Wh-What were you saying about this being a grunt, Master?\Whoops, my bad.\A Dead Reaper is nothing to me,\but I guess a student hunting them would be a miracle.\Well, whatever. response:	And so, I safely passed the exam for the Hero Academy.
context: They had the skull of the extremely diabolical Dead Reaper among their materials.\This means they pass and rewrite history with that score.\Wh-What were you saying about this being a grunt, Master?\Whoops, my bad.\A Dead Reaper is nothing to me,\but I guess a student hunting them would be a miracle.\Well, whatever.\And so, I safely passed the exam for the Hero Academy. response:	My family was ecstatic, and this brightened everyone's moods.
context: This means they pass and rewrite history with that score.\Wh-What were you saying about this being a grunt, Master?\Whoops, my bad.\A Dead Reaper is nothing to me,\but I guess a student hunting them would be a miracle.\Well, whatever.\And so, I safely passed the exam for the Hero Academy.\My family was ecstatic, and this brightened everyone's moods. response:	That is, until we saw the enrollment fee.
context: Wh-What were you saying about this being a grunt, Master?\Whoops, my bad.\A Dead Reaper is nothing to me,\but I guess a student hunting them would be a miracle.\Well, whatever.\And so, I safely passed the exam for the Hero Academy.\My family was ecstatic, and this brightened everyone's moods.\That is, until we saw the enrollment fee. response:	Three hundred thousand rels?
context: Whoops, my bad.\A Dead Reaper is nothing to me,\but I guess a student hunting them would be a miracle.\Well, whatever.\And so, I safely passed the exam for the Hero Academy.\My family was ecstatic, and this brightened everyone's moods.\That is, until we saw the enrollment fee.\Three hundred thousand rels? response:	How am I supposed to get that kind of money?
context: A Dead Reaper is nothing to me,\but I guess a student hunting them would be a miracle.\Well, whatever.\And so, I safely passed the exam for the Hero Academy.\My family was ecstatic, and this brightened everyone's moods.\That is, until we saw the enrollment fee.\Three hundred thousand rels?\How am I supposed to get that kind of money? response:	Next time, The Guild and the Receptionist.
context: but I guess a student hunting them would be a miracle.\Well, whatever.\And so, I safely passed the exam for the Hero Academy.\My family was ecstatic, and this brightened everyone's moods.\That is, until we saw the enrollment fee.\Three hundred thousand rels?\How am I supposed to get that kind of money?\Next time, The Guild and the Receptionist. response:	Illustration: Shiratama
