context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: The more the merrier and it's good to have somebody to talk with.\Well, what about that girl who keeps following you?\Don't forget about my bike, Ash Ketchum!\I'm going to follow you till you pay me back!\I know, I know!\-Pikachu, let's try to lose her. -Chu!\-Wait up, Ash! -You won't get away!\And so with a new friend and ally and Misty close behind response:	Ash continues on his quest to become a Pokemon master.
context: Well, what about that girl who keeps following you?\Don't forget about my bike, Ash Ketchum!\I'm going to follow you till you pay me back!\I know, I know!\-Pikachu, let's try to lose her. -Chu!\-Wait up, Ash! -You won't get away!\And so with a new friend and ally and Misty close behind\Ash continues on his quest to become a Pokemon master. response:	-I told you I'd get us out of this! -This was all...
context: Don't forget about my bike, Ash Ketchum!\I'm going to follow you till you pay me back!\I know, I know!\-Pikachu, let's try to lose her. -Chu!\-Wait up, Ash! -You won't get away!\And so with a new friend and ally and Misty close behind\Ash continues on his quest to become a Pokemon master.\-I told you I'd get us out of this! -This was all... response:	- Hey, Ash! -
context: I'm going to follow you till you pay me back!\I know, I know!\-Pikachu, let's try to lose her. -Chu!\-Wait up, Ash! -You won't get away!\And so with a new friend and ally and Misty close behind\Ash continues on his quest to become a Pokemon master.\-I told you I'd get us out of this! -This was all...\- Hey, Ash! - response:	Come back here! Ash, come on!
context: I know, I know!\-Pikachu, let's try to lose her. -Chu!\-Wait up, Ash! -You won't get away!\And so with a new friend and ally and Misty close behind\Ash continues on his quest to become a Pokemon master.\-I told you I'd get us out of this! -This was all...\- Hey, Ash! -\Come back here! Ash, come on! response:	Buried alive, then trampled.
context: -Pikachu, let's try to lose her. -Chu!\-Wait up, Ash! -You won't get away!\And so with a new friend and ally and Misty close behind\Ash continues on his quest to become a Pokemon master.\-I told you I'd get us out of this! -This was all...\- Hey, Ash! -\Come back here! Ash, come on!\Buried alive, then trampled. response:	- We've hit rock bottom! -Meowth!
context: -Wait up, Ash! -You won't get away!\And so with a new friend and ally and Misty close behind\Ash continues on his quest to become a Pokemon master.\-I told you I'd get us out of this! -This was all...\- Hey, Ash! -\Come back here! Ash, come on!\Buried alive, then trampled.\- We've hit rock bottom! -Meowth! response:	J Pokemon! J
context: And so with a new friend and ally and Misty close behind\Ash continues on his quest to become a Pokemon master.\-I told you I'd get us out of this! -This was all...\- Hey, Ash! -\Come back here! Ash, come on!\Buried alive, then trampled.\- We've hit rock bottom! -Meowth!\J Pokemon! J response:	Get those lips loose It's time to Pokerap!
context: Ash continues on his quest to become a Pokemon master.\-I told you I'd get us out of this! -This was all...\- Hey, Ash! -\Come back here! Ash, come on!\Buried alive, then trampled.\- We've hit rock bottom! -Meowth!\J Pokemon! J\Get those lips loose It's time to Pokerap! response:	Come on, sing'em with me! That's the game!
context: -I told you I'd get us out of this! -This was all...\- Hey, Ash! -\Come back here! Ash, come on!\Buried alive, then trampled.\- We've hit rock bottom! -Meowth!\J Pokemon! J\Get those lips loose It's time to Pokerap!\Come on, sing'em with me! That's the game! response:	There's 150 Pokemon. How many can you name?
context: - Hey, Ash! -\Come back here! Ash, come on!\Buried alive, then trampled.\- We've hit rock bottom! -Meowth!\J Pokemon! J\Get those lips loose It's time to Pokerap!\Come on, sing'em with me! That's the game!\There's 150 Pokemon. How many can you name? response:	J Gotta catch'em all Gotta catch'em all, yeah! J
context: Come back here! Ash, come on!\Buried alive, then trampled.\- We've hit rock bottom! -Meowth!\J Pokemon! J\Get those lips loose It's time to Pokerap!\Come on, sing'em with me! That's the game!\There's 150 Pokemon. How many can you name?\J Gotta catch'em all Gotta catch'em all, yeah! J response:	J Gotta catch'em all Gotta catch'em all, ow! J
context: Buried alive, then trampled.\- We've hit rock bottom! -Meowth!\J Pokemon! J\Get those lips loose It's time to Pokerap!\Come on, sing'em with me! That's the game!\There's 150 Pokemon. How many can you name?\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all, ow! J response:	J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J
context: - We've hit rock bottom! -Meowth!\J Pokemon! J\Get those lips loose It's time to Pokerap!\Come on, sing'em with me! That's the game!\There's 150 Pokemon. How many can you name?\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all, ow! J\J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J response:	J Dratini, Growlithe, Mr. Mime, Cubone
context: J Pokemon! J\Get those lips loose It's time to Pokerap!\Come on, sing'em with me! That's the game!\There's 150 Pokemon. How many can you name?\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all, ow! J\J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J\J Dratini, Growlithe, Mr. Mime, Cubone response:	J Graveler, Voltorb, Gloom J We're almost home! J
context: Get those lips loose It's time to Pokerap!\Come on, sing'em with me! That's the game!\There's 150 Pokemon. How many can you name?\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all, ow! J\J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J\J Dratini, Growlithe, Mr. Mime, Cubone\J Graveler, Voltorb, Gloom J We're almost home! J response:	J Gotta catch'em all Gotta catch'em all, yeah! J
context: Come on, sing'em with me! That's the game!\There's 150 Pokemon. How many can you name?\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all, ow! J\J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J\J Dratini, Growlithe, Mr. Mime, Cubone\J Graveler, Voltorb, Gloom J We're almost home! J\J Gotta catch'em all Gotta catch'em all, yeah! J response:	J Gotta catch'em all Gotta catch'em all! J
context: There's 150 Pokemon. How many can you name?\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all, ow! J\J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J\J Dratini, Growlithe, Mr. Mime, Cubone\J Graveler, Voltorb, Gloom J We're almost home! J\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all! J response:	J Gotta catch'em all, Pokemon! J
context: J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all, ow! J\J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J\J Dratini, Growlithe, Mr. Mime, Cubone\J Graveler, Voltorb, Gloom J We're almost home! J\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all! J\J Gotta catch'em all, Pokemon! J response:	J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J
context: J Gotta catch'em all Gotta catch'em all, ow! J\J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J\J Dratini, Growlithe, Mr. Mime, Cubone\J Graveler, Voltorb, Gloom J We're almost home! J\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all! J\J Gotta catch'em all, Pokemon! J\J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J response:	J Omanyte, Slowpoke Pidgeot, Arbok J
context: J Sandslash, Hitmonlee, Psyduck, Arcanine Eevee, Exeggutor, Kabutops, Zapdos J\J Dratini, Growlithe, Mr. Mime, Cubone\J Graveler, Voltorb, Gloom J We're almost home! J\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all! J\J Gotta catch'em all, Pokemon! J\J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J\J Omanyte, Slowpoke Pidgeot, Arbok J response:	J That's all, folks! J
context: J Dratini, Growlithe, Mr. Mime, Cubone\J Graveler, Voltorb, Gloom J We're almost home! J\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all! J\J Gotta catch'em all, Pokemon! J\J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J\J Omanyte, Slowpoke Pidgeot, Arbok J\J That's all, folks! J response:	Can you name all the Pokemon?
context: J Graveler, Voltorb, Gloom J We're almost home! J\J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all! J\J Gotta catch'em all, Pokemon! J\J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J\J Omanyte, Slowpoke Pidgeot, Arbok J\J That's all, folks! J\Can you name all the Pokemon? response:	Just put today's song together with the other days of the week.
context: J Gotta catch'em all Gotta catch'em all, yeah! J\J Gotta catch'em all Gotta catch'em all! J\J Gotta catch'em all, Pokemon! J\J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J\J Omanyte, Slowpoke Pidgeot, Arbok J\J That's all, folks! J\Can you name all the Pokemon?\Just put today's song together with the other days of the week. response:	That's why you can't miss a show.
context: J Gotta catch'em all Gotta catch'em all! J\J Gotta catch'em all, Pokemon! J\J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J\J Omanyte, Slowpoke Pidgeot, Arbok J\J That's all, folks! J\Can you name all the Pokemon?\Just put today's song together with the other days of the week.\That's why you can't miss a show. response:	You gotta catch'em all!
context: J Gotta catch'em all, Pokemon! J\J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J\J Omanyte, Slowpoke Pidgeot, Arbok J\J That's all, folks! J\Can you name all the Pokemon?\Just put today's song together with the other days of the week.\That's why you can't miss a show.\You gotta catch'em all! response:	J Catch'em, catch'em Gotta catch'em all J
context: J Charmeleon, Wartortle Mewtwo, Tentacruel, Aerodactyl J\J Omanyte, Slowpoke Pidgeot, Arbok J\J That's all, folks! J\Can you name all the Pokemon?\Just put today's song together with the other days of the week.\That's why you can't miss a show.\You gotta catch'em all!\J Catch'em, catch'em Gotta catch'em all J response:	J Gotta catch'em all, Pokemon J
context: J Omanyte, Slowpoke Pidgeot, Arbok J\J That's all, folks! J\Can you name all the Pokemon?\Just put today's song together with the other days of the week.\That's why you can't miss a show.\You gotta catch'em all!\J Catch'em, catch'em Gotta catch'em all J\J Gotta catch'em all, Pokemon J response:	J Catch'em, catch'em Gotta catch'em all J
context: J That's all, folks! J\Can you name all the Pokemon?\Just put today's song together with the other days of the week.\That's why you can't miss a show.\You gotta catch'em all!\J Catch'em, catch'em Gotta catch'em all J\J Gotta catch'em all, Pokemon J\J Catch'em, catch'em Gotta catch'em all J response:	J Gotta catch'em all, Pokemon J
context: Can you name all the Pokemon?\Just put today's song together with the other days of the week.\That's why you can't miss a show.\You gotta catch'em all!\J Catch'em, catch'em Gotta catch'em all J\J Gotta catch'em all, Pokemon J\J Catch'em, catch'em Gotta catch'em all J\J Gotta catch'em all, Pokemon J response:	J Catch'em, catch'em Gotta catch'em all J
context: Just put today's song together with the other days of the week.\That's why you can't miss a show.\You gotta catch'em all!\J Catch'em, catch'em Gotta catch'em all J\J Gotta catch'em all, Pokemon J\J Catch'em, catch'em Gotta catch'em all J\J Gotta catch'em all, Pokemon J\J Catch'em, catch'em Gotta catch'em all J response:	J Gotta catch'em all... Pokemon! J
