context: I hear they're back. response:	What are you talking about?
context: Hey!\You're gonna leave your friends here?\You suck!\What do you expect from a Dark Guild?\You blew things up really good again, huh, Sting-kun?\Lecter and Frosch, where were you guys?\Oh, just doing a little reconnoitering...\Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance. response:	You've got it goin' on, oh yeah!
context: You're gonna leave your friends here?\You suck!\What do you expect from a Dark Guild?\You blew things up really good again, huh, Sting-kun?\Lecter and Frosch, where were you guys?\Oh, just doing a little reconnoitering...\Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.\You've got it goin' on, oh yeah! response:	Fro thinks so, too!
context: You suck!\What do you expect from a Dark Guild?\You blew things up really good again, huh, Sting-kun?\Lecter and Frosch, where were you guys?\Oh, just doing a little reconnoitering...\Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.\You've got it goin' on, oh yeah!\Fro thinks so, too! response:	I know, right?
context: What do you expect from a Dark Guild?\You blew things up really good again, huh, Sting-kun?\Lecter and Frosch, where were you guys?\Oh, just doing a little reconnoitering...\Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.\You've got it goin' on, oh yeah!\Fro thinks so, too!\I know, right? response:	Sting-kun, you're the strongest Dragon Slayer, oh yeah!
context: You blew things up really good again, huh, Sting-kun?\Lecter and Frosch, where were you guys?\Oh, just doing a little reconnoitering...\Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.\You've got it goin' on, oh yeah!\Fro thinks so, too!\I know, right?\Sting-kun, you're the strongest Dragon Slayer, oh yeah! response:	The way I am now, I'm positive I could beat Natsu-san.
context: Lecter and Frosch, where were you guys?\Oh, just doing a little reconnoitering...\Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.\You've got it goin' on, oh yeah!\Fro thinks so, too!\I know, right?\Sting-kun, you're the strongest Dragon Slayer, oh yeah!\The way I am now, I'm positive I could beat Natsu-san. response:	Well, yeah, of course!
context: Oh, just doing a little reconnoitering...\Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.\You've got it goin' on, oh yeah!\Fro thinks so, too!\I know, right?\Sting-kun, you're the strongest Dragon Slayer, oh yeah!\The way I am now, I'm positive I could beat Natsu-san.\Well, yeah, of course! response:	What do you say we challenge them, Rogue?
context: Y'know, the Fire Dragon, Iron Dragon, heck, even the Sky Dragon don't stand a chance.\You've got it goin' on, oh yeah!\Fro thinks so, too!\I know, right?\Sting-kun, you're the strongest Dragon Slayer, oh yeah!\The way I am now, I'm positive I could beat Natsu-san.\Well, yeah, of course!\What do you say we challenge them, Rogue? response:	Not interested.
context: You've got it goin' on, oh yeah!\Fro thinks so, too!\I know, right?\Sting-kun, you're the strongest Dragon Slayer, oh yeah!\The way I am now, I'm positive I could beat Natsu-san.\Well, yeah, of course!\What do you say we challenge them, Rogue?\Not interested. response:	Fro neither.
context: Fro thinks so, too!\I know, right?\Sting-kun, you're the strongest Dragon Slayer, oh yeah!\The way I am now, I'm positive I could beat Natsu-san.\Well, yeah, of course!\What do you say we challenge them, Rogue?\Not interested.\Fro neither. response:	Natsu, did you hear?
context: I know, right?\Sting-kun, you're the strongest Dragon Slayer, oh yeah!\The way I am now, I'm positive I could beat Natsu-san.\Well, yeah, of course!\What do you say we challenge them, Rogue?\Not interested.\Fro neither.\Natsu, did you hear? response:	There's a festival to decide the 1 guild in Fiore!
context: Sting-kun, you're the strongest Dragon Slayer, oh yeah!\The way I am now, I'm positive I could beat Natsu-san.\Well, yeah, of course!\What do you say we challenge them, Rogue?\Not interested.\Fro neither.\Natsu, did you hear?\There's a festival to decide the 1 guild in Fiore! response:	The Grand Magic Games, right? We're gonna win for sure!
context: The way I am now, I'm positive I could beat Natsu-san.\Well, yeah, of course!\What do you say we challenge them, Rogue?\Not interested.\Fro neither.\Natsu, did you hear?\There's a festival to decide the 1 guild in Fiore!\The Grand Magic Games, right? We're gonna win for sure! response:	When even fighting Max is a hard battle...? Are you gonna be okay?
context: Well, yeah, of course!\What do you say we challenge them, Rogue?\Not interested.\Fro neither.\Natsu, did you hear?\There's a festival to decide the 1 guild in Fiore!\The Grand Magic Games, right? We're gonna win for sure!\When even fighting Max is a hard battle...? Are you gonna be okay? response:	I'll build myself up by the time the tournament starts!
context: What do you say we challenge them, Rogue?\Not interested.\Fro neither.\Natsu, did you hear?\There's a festival to decide the 1 guild in Fiore!\The Grand Magic Games, right? We're gonna win for sure!\When even fighting Max is a hard battle...? Are you gonna be okay?\I'll build myself up by the time the tournament starts! response:	I'm fired up!
context: Not interested.\Fro neither.\Natsu, did you hear?\There's a festival to decide the 1 guild in Fiore!\The Grand Magic Games, right? We're gonna win for sure!\When even fighting Max is a hard battle...? Are you gonna be okay?\I'll build myself up by the time the tournament starts!\I'm fired up! response:	Next time: And So, We Aim for the Top!
context: Fro neither.\Natsu, did you hear?\There's a festival to decide the 1 guild in Fiore!\The Grand Magic Games, right? We're gonna win for sure!\When even fighting Max is a hard battle...? Are you gonna be okay?\I'll build myself up by the time the tournament starts!\I'm fired up!\Next time: And So, We Aim for the Top! response:	What are you gonna do if it's not a battle but a quiz that takes brains?
context: Natsu, did you hear?\There's a festival to decide the 1 guild in Fiore!\The Grand Magic Games, right? We're gonna win for sure!\When even fighting Max is a hard battle...? Are you gonna be okay?\I'll build myself up by the time the tournament starts!\I'm fired up!\Next time: And So, We Aim for the Top!\What are you gonna do if it's not a battle but a quiz that takes brains? response:	W-Well, I'll get by somehow!
