context: Okay, class! Find a partner and hold hands! response:	Friends Work Together!
context: Yeah.\So you beat the crap out of each other?\No, not really...\I dodged everything'cept that first punch.\ashamed\Then I beat Ishikawa-kun to a pulp...\Then I beat Ishikawa-kun to a pulp...\You're kinda scary, Miyamura. response:	Why were you fighting?
context: So you beat the crap out of each other?\No, not really...\I dodged everything'cept that first punch.\ashamed\Then I beat Ishikawa-kun to a pulp...\Then I beat Ishikawa-kun to a pulp...\You're kinda scary, Miyamura.\Why were you fighting? response:	It's none of your business, Hori.
context: No, not really...\I dodged everything'cept that first punch.\ashamed\Then I beat Ishikawa-kun to a pulp...\Then I beat Ishikawa-kun to a pulp...\You're kinda scary, Miyamura.\Why were you fighting?\It's none of your business, Hori. response:	Okay, fine. I still can't believe you two got into an actual fight.
context: I dodged everything'cept that first punch.\ashamed\Then I beat Ishikawa-kun to a pulp...\Then I beat Ishikawa-kun to a pulp...\You're kinda scary, Miyamura.\Why were you fighting?\It's none of your business, Hori.\Okay, fine. I still can't believe you two got into an actual fight. response:	So, Toru, who won? You or him?
context: ashamed\Then I beat Ishikawa-kun to a pulp...\Then I beat Ishikawa-kun to a pulp...\You're kinda scary, Miyamura.\Why were you fighting?\It's none of your business, Hori.\Okay, fine. I still can't believe you two got into an actual fight.\So, Toru, who won? You or him? response:	What's that look for?
context: Then I beat Ishikawa-kun to a pulp...\Then I beat Ishikawa-kun to a pulp...\You're kinda scary, Miyamura.\Why were you fighting?\It's none of your business, Hori.\Okay, fine. I still can't believe you two got into an actual fight.\So, Toru, who won? You or him?\What's that look for? response:	Oh, nothing.
context: Then I beat Ishikawa-kun to a pulp...\You're kinda scary, Miyamura.\Why were you fighting?\It's none of your business, Hori.\Okay, fine. I still can't believe you two got into an actual fight.\So, Toru, who won? You or him?\What's that look for?\Oh, nothing. response:	Pretty sure I lost.
context: You're kinda scary, Miyamura.\Why were you fighting?\It's none of your business, Hori.\Okay, fine. I still can't believe you two got into an actual fight.\So, Toru, who won? You or him?\What's that look for?\Oh, nothing.\Pretty sure I lost. response:	Look, I know it's not happening, okay?
context: Why were you fighting?\It's none of your business, Hori.\Okay, fine. I still can't believe you two got into an actual fight.\So, Toru, who won? You or him?\What's that look for?\Oh, nothing.\Pretty sure I lost.\Look, I know it's not happening, okay? response:	Okay.
context: It's none of your business, Hori.\Okay, fine. I still can't believe you two got into an actual fight.\So, Toru, who won? You or him?\What's that look for?\Oh, nothing.\Pretty sure I lost.\Look, I know it's not happening, okay?\Okay. response:	Seriously, dude, listen!
context: Okay, fine. I still can't believe you two got into an actual fight.\So, Toru, who won? You or him?\What's that look for?\Oh, nothing.\Pretty sure I lost.\Look, I know it's not happening, okay?\Okay.\Seriously, dude, listen! response:	I'm listening! I swear!
context: So, Toru, who won? You or him?\What's that look for?\Oh, nothing.\Pretty sure I lost.\Look, I know it's not happening, okay?\Okay.\Seriously, dude, listen!\I'm listening! I swear! response:	Hori's in love with you, Miyamura.
context: What's that look for?\Oh, nothing.\Pretty sure I lost.\Look, I know it's not happening, okay?\Okay.\Seriously, dude, listen!\I'm listening! I swear!\Hori's in love with you, Miyamura. response:	You mentioned that before, but I still think you're wrong.
context: Oh, nothing.\Pretty sure I lost.\Look, I know it's not happening, okay?\Okay.\Seriously, dude, listen!\I'm listening! I swear!\Hori's in love with you, Miyamura.\You mentioned that before, but I still think you're wrong. response:	You're just imagining things-
context: Pretty sure I lost.\Look, I know it's not happening, okay?\Okay.\Seriously, dude, listen!\I'm listening! I swear!\Hori's in love with you, Miyamura.\You mentioned that before, but I still think you're wrong.\You're just imagining things- response:	I am not!
context: Look, I know it's not happening, okay?\Okay.\Seriously, dude, listen!\I'm listening! I swear!\Hori's in love with you, Miyamura.\You mentioned that before, but I still think you're wrong.\You're just imagining things-\I am not! response:	How would you react if I said I wasn't?
context: Okay.\Seriously, dude, listen!\I'm listening! I swear!\Hori's in love with you, Miyamura.\You mentioned that before, but I still think you're wrong.\You're just imagining things-\I am not!\How would you react if I said I wasn't? response:	Are you trying to psych me out?
context: Seriously, dude, listen!\I'm listening! I swear!\Hori's in love with you, Miyamura.\You mentioned that before, but I still think you're wrong.\You're just imagining things-\I am not!\How would you react if I said I wasn't?\Are you trying to psych me out? response:	If Hori said, to your face, that she loves you, what would you say?
context: I'm listening! I swear!\Hori's in love with you, Miyamura.\You mentioned that before, but I still think you're wrong.\You're just imagining things-\I am not!\How would you react if I said I wasn't?\Are you trying to psych me out?\If Hori said, to your face, that she loves you, what would you say? response:	Would you just brush it off like that?
context: Hori's in love with you, Miyamura.\You mentioned that before, but I still think you're wrong.\You're just imagining things-\I am not!\How would you react if I said I wasn't?\Are you trying to psych me out?\If Hori said, to your face, that she loves you, what would you say?\Would you just brush it off like that? response:	Hori-san just sees me as a friend.
context: You mentioned that before, but I still think you're wrong.\You're just imagining things-\I am not!\How would you react if I said I wasn't?\Are you trying to psych me out?\If Hori said, to your face, that she loves you, what would you say?\Would you just brush it off like that?\Hori-san just sees me as a friend. response:	Why do you keep going back to that?
context: You're just imagining things-\I am not!\How would you react if I said I wasn't?\Are you trying to psych me out?\If Hori said, to your face, that she loves you, what would you say?\Would you just brush it off like that?\Hori-san just sees me as a friend.\Why do you keep going back to that? response:	Because if I don't, you'll keep asking me the same question.
context: I am not!\How would you react if I said I wasn't?\Are you trying to psych me out?\If Hori said, to your face, that she loves you, what would you say?\Would you just brush it off like that?\Hori-san just sees me as a friend.\Why do you keep going back to that?\Because if I don't, you'll keep asking me the same question. response:	Well, yeah, but...
context: How would you react if I said I wasn't?\Are you trying to psych me out?\If Hori said, to your face, that she loves you, what would you say?\Would you just brush it off like that?\Hori-san just sees me as a friend.\Why do you keep going back to that?\Because if I don't, you'll keep asking me the same question.\Well, yeah, but... response:	Besides, it's obvious she doesn't like me like that.
context: Are you trying to psych me out?\If Hori said, to your face, that she loves you, what would you say?\Would you just brush it off like that?\Hori-san just sees me as a friend.\Why do you keep going back to that?\Because if I don't, you'll keep asking me the same question.\Well, yeah, but...\Besides, it's obvious she doesn't like me like that. response:	I'd like to know why you think you're right.
context: If Hori said, to your face, that she loves you, what would you say?\Would you just brush it off like that?\Hori-san just sees me as a friend.\Why do you keep going back to that?\Because if I don't, you'll keep asking me the same question.\Well, yeah, but...\Besides, it's obvious she doesn't like me like that.\I'd like to know why you think you're right. response:	Well-!
context: Would you just brush it off like that?\Hori-san just sees me as a friend.\Why do you keep going back to that?\Because if I don't, you'll keep asking me the same question.\Well, yeah, but...\Besides, it's obvious she doesn't like me like that.\I'd like to know why you think you're right.\Well-! response:	I know your own feelings probably influence your perception,
context: Hori-san just sees me as a friend.\Why do you keep going back to that?\Because if I don't, you'll keep asking me the same question.\Well, yeah, but...\Besides, it's obvious she doesn't like me like that.\I'd like to know why you think you're right.\Well-!\I know your own feelings probably influence your perception, response:	but you can't assume how Hori-san feels without asking her.
context: Why do you keep going back to that?\Because if I don't, you'll keep asking me the same question.\Well, yeah, but...\Besides, it's obvious she doesn't like me like that.\I'd like to know why you think you're right.\Well-!\I know your own feelings probably influence your perception,\but you can't assume how Hori-san feels without asking her. response:	Look!
context: Because if I don't, you'll keep asking me the same question.\Well, yeah, but...\Besides, it's obvious she doesn't like me like that.\I'd like to know why you think you're right.\Well-!\I know your own feelings probably influence your perception,\but you can't assume how Hori-san feels without asking her.\Look! response:	WHACK
context: Well, yeah, but...\Besides, it's obvious she doesn't like me like that.\I'd like to know why you think you're right.\Well-!\I know your own feelings probably influence your perception,\but you can't assume how Hori-san feels without asking her.\Look!\WHACK response:	Look!
context: Besides, it's obvious she doesn't like me like that.\I'd like to know why you think you're right.\Well-!\I know your own feelings probably influence your perception,\but you can't assume how Hori-san feels without asking her.\Look!\WHACK\Look! response:	Y-You startled me, okay?!
context: I'd like to know why you think you're right.\Well-!\I know your own feelings probably influence your perception,\but you can't assume how Hori-san feels without asking her.\Look!\WHACK\Look!\Y-You startled me, okay?! response:	You moron!
context: Well-!\I know your own feelings probably influence your perception,\but you can't assume how Hori-san feels without asking her.\Look!\WHACK\Look!\Y-You startled me, okay?!\You moron! response:	Moron?! You're insulting me now? What gives, Ishikawa-kun?!
context: I know your own feelings probably influence your perception,\but you can't assume how Hori-san feels without asking her.\Look!\WHACK\Look!\Y-You startled me, okay?!\You moron!\Moron?! You're insulting me now? What gives, Ishikawa-kun?! response:	You're not gonna listen otherwise!
context: but you can't assume how Hori-san feels without asking her.\Look!\WHACK\Look!\Y-You startled me, okay?!\You moron!\Moron?! You're insulting me now? What gives, Ishikawa-kun?!\You're not gonna listen otherwise! response:	-The hell does that mean?!
context: Look!\WHACK\Look!\Y-You startled me, okay?!\You moron!\Moron?! You're insulting me now? What gives, Ishikawa-kun?!\You're not gonna listen otherwise!\-The hell does that mean?! response:	-It means- -The hell does that mean?!
context: WHACK\Look!\Y-You startled me, okay?!\You moron!\Moron?! You're insulting me now? What gives, Ishikawa-kun?!\You're not gonna listen otherwise!\-The hell does that mean?!\-It means- -The hell does that mean?! response:	Shit, sorry!
context: Look!\Y-You startled me, okay?!\You moron!\Moron?! You're insulting me now? What gives, Ishikawa-kun?!\You're not gonna listen otherwise!\-The hell does that mean?!\-It means- -The hell does that mean?!\Shit, sorry! response:	That hurt.
context: Y-You startled me, okay?!\You moron!\Moron?! You're insulting me now? What gives, Ishikawa-kun?!\You're not gonna listen otherwise!\-The hell does that mean?!\-It means- -The hell does that mean?!\Shit, sorry!\That hurt. response:	Yo, your eyes are scary!
context: You moron!\Moron?! You're insulting me now? What gives, Ishikawa-kun?!\You're not gonna listen otherwise!\-The hell does that mean?!\-It means- -The hell does that mean?!\Shit, sorry!\That hurt.\Yo, your eyes are scary! response:	Miyamura! Time out, time out!
context: Moron?! You're insulting me now? What gives, Ishikawa-kun?!\You're not gonna listen otherwise!\-The hell does that mean?!\-It means- -The hell does that mean?!\Shit, sorry!\That hurt.\Yo, your eyes are scary!\Miyamura! Time out, time out! response:	It... It was self-defense!
context: You're not gonna listen otherwise!\-The hell does that mean?!\-It means- -The hell does that mean?!\Shit, sorry!\That hurt.\Yo, your eyes are scary!\Miyamura! Time out, time out!\It... It was self-defense! response:	You beat the shit out of me!
context: -The hell does that mean?!\-It means- -The hell does that mean?!\Shit, sorry!\That hurt.\Yo, your eyes are scary!\Miyamura! Time out, time out!\It... It was self-defense!\You beat the shit out of me! response:	That was uncalled for and has nothing to do with Hori!
context: -It means- -The hell does that mean?!\Shit, sorry!\That hurt.\Yo, your eyes are scary!\Miyamura! Time out, time out!\It... It was self-defense!\You beat the shit out of me!\That was uncalled for and has nothing to do with Hori! response:	It was just'cause I startled you, then?
context: Shit, sorry!\That hurt.\Yo, your eyes are scary!\Miyamura! Time out, time out!\It... It was self-defense!\You beat the shit out of me!\That was uncalled for and has nothing to do with Hori!\It was just'cause I startled you, then? response:	No, I was also kind of pissed at you.
context: That hurt.\Yo, your eyes are scary!\Miyamura! Time out, time out!\It... It was self-defense!\You beat the shit out of me!\That was uncalled for and has nothing to do with Hori!\It was just'cause I startled you, then?\No, I was also kind of pissed at you. response:	You're not supposed to admit that! You're freakin' me out, man!
context: Yo, your eyes are scary!\Miyamura! Time out, time out!\It... It was self-defense!\You beat the shit out of me!\That was uncalled for and has nothing to do with Hori!\It was just'cause I startled you, then?\No, I was also kind of pissed at you.\You're not supposed to admit that! You're freakin' me out, man! response:	I pushed Miyamura too far. It's my fault.
context: Miyamura! Time out, time out!\It... It was self-defense!\You beat the shit out of me!\That was uncalled for and has nothing to do with Hori!\It was just'cause I startled you, then?\No, I was also kind of pissed at you.\You're not supposed to admit that! You're freakin' me out, man!\I pushed Miyamura too far. It's my fault. response:	I'm so sorry, Miyamura.
context: It... It was self-defense!\You beat the shit out of me!\That was uncalled for and has nothing to do with Hori!\It was just'cause I startled you, then?\No, I was also kind of pissed at you.\You're not supposed to admit that! You're freakin' me out, man!\I pushed Miyamura too far. It's my fault.\I'm so sorry, Miyamura. response:	C'mon, go apologize to him and make up.
context: You beat the shit out of me!\That was uncalled for and has nothing to do with Hori!\It was just'cause I startled you, then?\No, I was also kind of pissed at you.\You're not supposed to admit that! You're freakin' me out, man!\I pushed Miyamura too far. It's my fault.\I'm so sorry, Miyamura.\C'mon, go apologize to him and make up. response:	Wow, Miyamura said it was all his fault.
context: That was uncalled for and has nothing to do with Hori!\It was just'cause I startled you, then?\No, I was also kind of pissed at you.\You're not supposed to admit that! You're freakin' me out, man!\I pushed Miyamura too far. It's my fault.\I'm so sorry, Miyamura.\C'mon, go apologize to him and make up.\Wow, Miyamura said it was all his fault. response:	That's not what Toru said.
context: It was just'cause I startled you, then?\No, I was also kind of pissed at you.\You're not supposed to admit that! You're freakin' me out, man!\I pushed Miyamura too far. It's my fault.\I'm so sorry, Miyamura.\C'mon, go apologize to him and make up.\Wow, Miyamura said it was all his fault.\That's not what Toru said. response:	First they beat each other up, now they both take the blame?
context: No, I was also kind of pissed at you.\You're not supposed to admit that! You're freakin' me out, man!\I pushed Miyamura too far. It's my fault.\I'm so sorry, Miyamura.\C'mon, go apologize to him and make up.\Wow, Miyamura said it was all his fault.\That's not what Toru said.\First they beat each other up, now they both take the blame? response:	They're so weird.
context: You're not supposed to admit that! You're freakin' me out, man!\I pushed Miyamura too far. It's my fault.\I'm so sorry, Miyamura.\C'mon, go apologize to him and make up.\Wow, Miyamura said it was all his fault.\That's not what Toru said.\First they beat each other up, now they both take the blame?\They're so weird. response:	I know!
context: I pushed Miyamura too far. It's my fault.\I'm so sorry, Miyamura.\C'mon, go apologize to him and make up.\Wow, Miyamura said it was all his fault.\That's not what Toru said.\First they beat each other up, now they both take the blame?\They're so weird.\I know! response:	Man, what were they even fighting about?
context: I'm so sorry, Miyamura.\C'mon, go apologize to him and make up.\Wow, Miyamura said it was all his fault.\That's not what Toru said.\First they beat each other up, now they both take the blame?\They're so weird.\I know!\Man, what were they even fighting about? response:	We were fighting about Hori-san.
context: C'mon, go apologize to him and make up.\Wow, Miyamura said it was all his fault.\That's not what Toru said.\First they beat each other up, now they both take the blame?\They're so weird.\I know!\Man, what were they even fighting about?\We were fighting about Hori-san. response:	Please don't tell anyone.
context: Wow, Miyamura said it was all his fault.\That's not what Toru said.\First they beat each other up, now they both take the blame?\They're so weird.\I know!\Man, what were they even fighting about?\We were fighting about Hori-san.\Please don't tell anyone. response:	What? What is it?
context: That's not what Toru said.\First they beat each other up, now they both take the blame?\They're so weird.\I know!\Man, what were they even fighting about?\We were fighting about Hori-san.\Please don't tell anyone.\What? What is it? response:	It's so cool that guys can just duke it out with each other.
context: First they beat each other up, now they both take the blame?\They're so weird.\I know!\Man, what were they even fighting about?\We were fighting about Hori-san.\Please don't tell anyone.\What? What is it?\It's so cool that guys can just duke it out with each other. response:	Yeah, it sure is.
context: They're so weird.\I know!\Man, what were they even fighting about?\We were fighting about Hori-san.\Please don't tell anyone.\What? What is it?\It's so cool that guys can just duke it out with each other.\Yeah, it sure is. response:	Everybody Loves Somebody
