context: Oh, right... response:	I'm in love with someone now.
context: Um...\Hey! Have you gained a little weight?\Look, you!\M-M-M-M-My bad! I was just kidding!\Um... Did you cut your bangs?\No, I didn't!\Are you wearing mascara?\These are natural, I'll have you know! response:	Did you grow taller?
context: Hey! Have you gained a little weight?\Look, you!\M-M-M-M-My bad! I was just kidding!\Um... Did you cut your bangs?\No, I didn't!\Are you wearing mascara?\These are natural, I'll have you know!\Did you grow taller? response:	Who grows that fast?!
context: Look, you!\M-M-M-M-My bad! I was just kidding!\Um... Did you cut your bangs?\No, I didn't!\Are you wearing mascara?\These are natural, I'll have you know!\Did you grow taller?\Who grows that fast?! response:	Is it your new diet...?
context: M-M-M-M-My bad! I was just kidding!\Um... Did you cut your bangs?\No, I didn't!\Are you wearing mascara?\These are natural, I'll have you know!\Did you grow taller?\Who grows that fast?!\Is it your new diet...? response:	Want me to clock you again?
context: Um... Did you cut your bangs?\No, I didn't!\Are you wearing mascara?\These are natural, I'll have you know!\Did you grow taller?\Who grows that fast?!\Is it your new diet...?\Want me to clock you again? response:	But I don't know about any other changes.
context: No, I didn't!\Are you wearing mascara?\These are natural, I'll have you know!\Did you grow taller?\Who grows that fast?!\Is it your new diet...?\Want me to clock you again?\But I don't know about any other changes. response:	Seriously, why did I have to go and fall for a guy like this?
context: Are you wearing mascara?\These are natural, I'll have you know!\Did you grow taller?\Who grows that fast?!\Is it your new diet...?\Want me to clock you again?\But I don't know about any other changes.\Seriously, why did I have to go and fall for a guy like this? response:	No way...
context: These are natural, I'll have you know!\Did you grow taller?\Who grows that fast?!\Is it your new diet...?\Want me to clock you again?\But I don't know about any other changes.\Seriously, why did I have to go and fall for a guy like this?\No way... response:	This isn't about you wearing lip gloss for the last three days, right?
context: Did you grow taller?\Who grows that fast?!\Is it your new diet...?\Want me to clock you again?\But I don't know about any other changes.\Seriously, why did I have to go and fall for a guy like this?\No way...\This isn't about you wearing lip gloss for the last three days, right? response:	You mean you noticed that?
context: Who grows that fast?!\Is it your new diet...?\Want me to clock you again?\But I don't know about any other changes.\Seriously, why did I have to go and fall for a guy like this?\No way...\This isn't about you wearing lip gloss for the last three days, right?\You mean you noticed that? response:	What? Is that the change you're talking about?
context: Is it your new diet...?\Want me to clock you again?\But I don't know about any other changes.\Seriously, why did I have to go and fall for a guy like this?\No way...\This isn't about you wearing lip gloss for the last three days, right?\You mean you noticed that?\What? Is that the change you're talking about? response:	Then... what about the shampoo?
context: Want me to clock you again?\But I don't know about any other changes.\Seriously, why did I have to go and fall for a guy like this?\No way...\This isn't about you wearing lip gloss for the last three days, right?\You mean you noticed that?\What? Is that the change you're talking about?\Then... what about the shampoo? response:	Oh, so you did change it.
context: But I don't know about any other changes.\Seriously, why did I have to go and fall for a guy like this?\No way...\This isn't about you wearing lip gloss for the last three days, right?\You mean you noticed that?\What? Is that the change you're talking about?\Then... what about the shampoo?\Oh, so you did change it. response:	And my nails?
context: Seriously, why did I have to go and fall for a guy like this?\No way...\This isn't about you wearing lip gloss for the last three days, right?\You mean you noticed that?\What? Is that the change you're talking about?\Then... what about the shampoo?\Oh, so you did change it.\And my nails? response:	Well... I guess I did.
context: No way...\This isn't about you wearing lip gloss for the last three days, right?\You mean you noticed that?\What? Is that the change you're talking about?\Then... what about the shampoo?\Oh, so you did change it.\And my nails?\Well... I guess I did. response:	Why didn't you say anything when you noticed?
context: This isn't about you wearing lip gloss for the last three days, right?\You mean you noticed that?\What? Is that the change you're talking about?\Then... what about the shampoo?\Oh, so you did change it.\And my nails?\Well... I guess I did.\Why didn't you say anything when you noticed? response:	Why should I have to say stuff like that?
context: You mean you noticed that?\What? Is that the change you're talking about?\Then... what about the shampoo?\Oh, so you did change it.\And my nails?\Well... I guess I did.\Why didn't you say anything when you noticed?\Why should I have to say stuff like that? response:	I mean, even if I did notice,
context: What? Is that the change you're talking about?\Then... what about the shampoo?\Oh, so you did change it.\And my nails?\Well... I guess I did.\Why didn't you say anything when you noticed?\Why should I have to say stuff like that?\I mean, even if I did notice, response:	guys normally don't go around saying, Hey, looking good, right?
context: Then... what about the shampoo?\Oh, so you did change it.\And my nails?\Well... I guess I did.\Why didn't you say anything when you noticed?\Why should I have to say stuff like that?\I mean, even if I did notice,\guys normally don't go around saying, Hey, looking good, right? response:	Hey!
context: Oh, so you did change it.\And my nails?\Well... I guess I did.\Why didn't you say anything when you noticed?\Why should I have to say stuff like that?\I mean, even if I did notice,\guys normally don't go around saying, Hey, looking good, right?\Hey! response:	H-Hold up, forget I just said that!
context: And my nails?\Well... I guess I did.\Why didn't you say anything when you noticed?\Why should I have to say stuff like that?\I mean, even if I did notice,\guys normally don't go around saying, Hey, looking good, right?\Hey!\H-Hold up, forget I just said that! response:	What do you mean, forget it?
context: Well... I guess I did.\Why didn't you say anything when you noticed?\Why should I have to say stuff like that?\I mean, even if I did notice,\guys normally don't go around saying, Hey, looking good, right?\Hey!\H-Hold up, forget I just said that!\What do you mean, forget it? response:	Because it would be weird!
context: Why didn't you say anything when you noticed?\Why should I have to say stuff like that?\I mean, even if I did notice,\guys normally don't go around saying, Hey, looking good, right?\Hey!\H-Hold up, forget I just said that!\What do you mean, forget it?\Because it would be weird! response:	Why should I say stuff like that to you?
context: Why should I have to say stuff like that?\I mean, even if I did notice,\guys normally don't go around saying, Hey, looking good, right?\Hey!\H-Hold up, forget I just said that!\What do you mean, forget it?\Because it would be weird!\Why should I say stuff like that to you? response:	It's not weird!
context: I mean, even if I did notice,\guys normally don't go around saying, Hey, looking good, right?\Hey!\H-Hold up, forget I just said that!\What do you mean, forget it?\Because it would be weird!\Why should I say stuff like that to you?\It's not weird! response:	For a girl, whether or not you notice that kind of thing is so crucial!
context: guys normally don't go around saying, Hey, looking good, right?\Hey!\H-Hold up, forget I just said that!\What do you mean, forget it?\Because it would be weird!\Why should I say stuff like that to you?\It's not weird!\For a girl, whether or not you notice that kind of thing is so crucial! response:	If you want to be popular with girls, why don't you put some thought into that?
context: Hey!\H-Hold up, forget I just said that!\What do you mean, forget it?\Because it would be weird!\Why should I say stuff like that to you?\It's not weird!\For a girl, whether or not you notice that kind of thing is so crucial!\If you want to be popular with girls, why don't you put some thought into that? response:	Or what is this?
context: H-Hold up, forget I just said that!\What do you mean, forget it?\Because it would be weird!\Why should I say stuff like that to you?\It's not weird!\For a girl, whether or not you notice that kind of thing is so crucial!\If you want to be popular with girls, why don't you put some thought into that?\Or what is this? response:	Is it because you didn't think I looked good?
context: What do you mean, forget it?\Because it would be weird!\Why should I say stuff like that to you?\It's not weird!\For a girl, whether or not you notice that kind of thing is so crucial!\If you want to be popular with girls, why don't you put some thought into that?\Or what is this?\Is it because you didn't think I looked good? response:	Are you saying that I didn't look cute?
context: Because it would be weird!\Why should I say stuff like that to you?\It's not weird!\For a girl, whether or not you notice that kind of thing is so crucial!\If you want to be popular with girls, why don't you put some thought into that?\Or what is this?\Is it because you didn't think I looked good?\Are you saying that I didn't look cute? response:	I wouldn't go that far, but...
context: Why should I say stuff like that to you?\It's not weird!\For a girl, whether or not you notice that kind of thing is so crucial!\If you want to be popular with girls, why don't you put some thought into that?\Or what is this?\Is it because you didn't think I looked good?\Are you saying that I didn't look cute?\I wouldn't go that far, but... response:	Well, I suppose you were rather cute, young lady.
context: It's not weird!\For a girl, whether or not you notice that kind of thing is so crucial!\If you want to be popular with girls, why don't you put some thought into that?\Or what is this?\Is it because you didn't think I looked good?\Are you saying that I didn't look cute?\I wouldn't go that far, but...\Well, I suppose you were rather cute, young lady. response:	In that case, it's all right.
context: For a girl, whether or not you notice that kind of thing is so crucial!\If you want to be popular with girls, why don't you put some thought into that?\Or what is this?\Is it because you didn't think I looked good?\Are you saying that I didn't look cute?\I wouldn't go that far, but...\Well, I suppose you were rather cute, young lady.\In that case, it's all right. response:	By the way, what do you think of this ribbon?
context: If you want to be popular with girls, why don't you put some thought into that?\Or what is this?\Is it because you didn't think I looked good?\Are you saying that I didn't look cute?\I wouldn't go that far, but...\Well, I suppose you were rather cute, young lady.\In that case, it's all right.\By the way, what do you think of this ribbon? response:	Ribbon?
context: Or what is this?\Is it because you didn't think I looked good?\Are you saying that I didn't look cute?\I wouldn't go that far, but...\Well, I suppose you were rather cute, young lady.\In that case, it's all right.\By the way, what do you think of this ribbon?\Ribbon? response:	It's not your usual one!
context: Is it because you didn't think I looked good?\Are you saying that I didn't look cute?\I wouldn't go that far, but...\Well, I suppose you were rather cute, young lady.\In that case, it's all right.\By the way, what do you think of this ribbon?\Ribbon?\It's not your usual one! response:	What? You mean you never noticed it?
