context: In the great ocean, Ignora, lies a conspicuously large landform. response:	It is surrounded by continents on all four cardinal directions in the shape of a cross.
context: This isn't the time for jokes!\What should I do?\If this isn't fixed, we won't be able to get the most sales!\Should I use what little magic I have left?\Save your powers for when you really need them.\What's wrong?\It's all over.\It's not your fault. response:	They even said it could be fixed tonight.
context: What should I do?\If this isn't fixed, we won't be able to get the most sales!\Should I use what little magic I have left?\Save your powers for when you really need them.\What's wrong?\It's all over.\It's not your fault.\They even said it could be fixed tonight. response:	Maou, we need to talk.
context: If this isn't fixed, we won't be able to get the most sales!\Should I use what little magic I have left?\Save your powers for when you really need them.\What's wrong?\It's all over.\It's not your fault.\They even said it could be fixed tonight.\Maou, we need to talk. response:	Yes, ma'am.
context: Should I use what little magic I have left?\Save your powers for when you really need them.\What's wrong?\It's all over.\It's not your fault.\They even said it could be fixed tonight.\Maou, we need to talk.\Yes, ma'am. response:	Oh shit, what now?
context: Save your powers for when you really need them.\What's wrong?\It's all over.\It's not your fault.\They even said it could be fixed tonight.\Maou, we need to talk.\Yes, ma'am.\Oh shit, what now? response:	Is she going to blame me for us not making the most sales or something?
context: What's wrong?\It's all over.\It's not your fault.\They even said it could be fixed tonight.\Maou, we need to talk.\Yes, ma'am.\Oh shit, what now?\Is she going to blame me for us not making the most sales or something? response:	Wait, it's not like I broke that thing!
context: It's all over.\It's not your fault.\They even said it could be fixed tonight.\Maou, we need to talk.\Yes, ma'am.\Oh shit, what now?\Is she going to blame me for us not making the most sales or something?\Wait, it's not like I broke that thing! response:	Was I acting too suspicious when I was going to use my powers?
context: It's not your fault.\They even said it could be fixed tonight.\Maou, we need to talk.\Yes, ma'am.\Oh shit, what now?\Is she going to blame me for us not making the most sales or something?\Wait, it's not like I broke that thing!\Was I acting too suspicious when I was going to use my powers? response:	Sorry I kept you waiting.
context: They even said it could be fixed tonight.\Maou, we need to talk.\Yes, ma'am.\Oh shit, what now?\Is she going to blame me for us not making the most sales or something?\Wait, it's not like I broke that thing!\Was I acting too suspicious when I was going to use my powers?\Sorry I kept you waiting. response:	Relax.
context: Maou, we need to talk.\Yes, ma'am.\Oh shit, what now?\Is she going to blame me for us not making the most sales or something?\Wait, it's not like I broke that thing!\Was I acting too suspicious when I was going to use my powers?\Sorry I kept you waiting.\Relax. response:	It's not bad news.
context: Yes, ma'am.\Oh shit, what now?\Is she going to blame me for us not making the most sales or something?\Wait, it's not like I broke that thing!\Was I acting too suspicious when I was going to use my powers?\Sorry I kept you waiting.\Relax.\It's not bad news. response:	I just got approval from the main office.
context: Oh shit, what now?\Is she going to blame me for us not making the most sales or something?\Wait, it's not like I broke that thing!\Was I acting too suspicious when I was going to use my powers?\Sorry I kept you waiting.\Relax.\It's not bad news.\I just got approval from the main office. response:	And?
context: Is she going to blame me for us not making the most sales or something?\Wait, it's not like I broke that thing!\Was I acting too suspicious when I was going to use my powers?\Sorry I kept you waiting.\Relax.\It's not bad news.\I just got approval from the main office.\And? response:	Maou Sadao,
context: Wait, it's not like I broke that thing!\Was I acting too suspicious when I was going to use my powers?\Sorry I kept you waiting.\Relax.\It's not bad news.\I just got approval from the main office.\And?\Maou Sadao, response:	from today on, you're a full-time employee.
context: Was I acting too suspicious when I was going to use my powers?\Sorry I kept you waiting.\Relax.\It's not bad news.\I just got approval from the main office.\And?\Maou Sadao,\from today on, you're a full-time employee. response:	All
context: Sorry I kept you waiting.\Relax.\It's not bad news.\I just got approval from the main office.\And?\Maou Sadao,\from today on, you're a full-time employee.\All response:	right!
context: Relax.\It's not bad news.\I just got approval from the main office.\And?\Maou Sadao,\from today on, you're a full-time employee.\All\right! response:	I'm a full-time employee, Ashiya!
context: It's not bad news.\I just got approval from the main office.\And?\Maou Sadao,\from today on, you're a full-time employee.\All\right!\I'm a full-time employee, Ashiya! response:	I'm getting a raise!
context: I just got approval from the main office.\And?\Maou Sadao,\from today on, you're a full-time employee.\All\right!\I'm a full-time employee, Ashiya!\I'm getting a raise! response:	Hey.
context: And?\Maou Sadao,\from today on, you're a full-time employee.\All\right!\I'm a full-time employee, Ashiya!\I'm getting a raise!\Hey. response:	Oh, you're the girl from this morning.
context: Maou Sadao,\from today on, you're a full-time employee.\All\right!\I'm a full-time employee, Ashiya!\I'm getting a raise!\Hey.\Oh, you're the girl from this morning. response:	I went to your restaurant afterward.
context: from today on, you're a full-time employee.\All\right!\I'm a full-time employee, Ashiya!\I'm getting a raise!\Hey.\Oh, you're the girl from this morning.\I went to your restaurant afterward. response:	What, really?
context: All\right!\I'm a full-time employee, Ashiya!\I'm getting a raise!\Hey.\Oh, you're the girl from this morning.\I went to your restaurant afterward.\What, really? response:	I didn't notice at all.
context: right!\I'm a full-time employee, Ashiya!\I'm getting a raise!\Hey.\Oh, you're the girl from this morning.\I went to your restaurant afterward.\What, really?\I didn't notice at all. response:	You should've said hi.
context: I'm a full-time employee, Ashiya!\I'm getting a raise!\Hey.\Oh, you're the girl from this morning.\I went to your restaurant afterward.\What, really?\I didn't notice at all.\You should've said hi. response:	I was watching you from the bookstore across the street.
context: I'm getting a raise!\Hey.\Oh, you're the girl from this morning.\I went to your restaurant afterward.\What, really?\I didn't notice at all.\You should've said hi.\I was watching you from the bookstore across the street. response:	Huh?
context: Hey.\Oh, you're the girl from this morning.\I went to your restaurant afterward.\What, really?\I didn't notice at all.\You should've said hi.\I was watching you from the bookstore across the street.\Huh? response:	It's just that you look so different, I thought I was mistaken.
context: Oh, you're the girl from this morning.\I went to your restaurant afterward.\What, really?\I didn't notice at all.\You should've said hi.\I was watching you from the bookstore across the street.\Huh?\It's just that you look so different, I thought I was mistaken. response:	You tried to use your magic, didn't you?
context: I went to your restaurant afterward.\What, really?\I didn't notice at all.\You should've said hi.\I was watching you from the bookstore across the street.\Huh?\It's just that you look so different, I thought I was mistaken.\You tried to use your magic, didn't you? response:	Magic?
context: What, really?\I didn't notice at all.\You should've said hi.\I was watching you from the bookstore across the street.\Huh?\It's just that you look so different, I thought I was mistaken.\You tried to use your magic, didn't you?\Magic? response:	You...
context: I didn't notice at all.\You should've said hi.\I was watching you from the bookstore across the street.\Huh?\It's just that you look so different, I thought I was mistaken.\You tried to use your magic, didn't you?\Magic?\You... response:	Are you...
context: You should've said hi.\I was watching you from the bookstore across the street.\Huh?\It's just that you look so different, I thought I was mistaken.\You tried to use your magic, didn't you?\Magic?\You...\Are you... response:	Why are you working part-time at MgRonald's,
context: I was watching you from the bookstore across the street.\Huh?\It's just that you look so different, I thought I was mistaken.\You tried to use your magic, didn't you?\Magic?\You...\Are you...\Why are you working part-time at MgRonald's, response:	Overlord Satan?!
context: Huh?\It's just that you look so different, I thought I was mistaken.\You tried to use your magic, didn't you?\Magic?\You...\Are you...\Why are you working part-time at MgRonald's,\Overlord Satan?! response:	Hero Emilia?!
context: It's just that you look so different, I thought I was mistaken.\You tried to use your magic, didn't you?\Magic?\You...\Are you...\Why are you working part-time at MgRonald's,\Overlord Satan?!\Hero Emilia?! response:	Where in this silent sky does the sun rise?
context: You tried to use your magic, didn't you?\Magic?\You...\Are you...\Why are you working part-time at MgRonald's,\Overlord Satan?!\Hero Emilia?!\Where in this silent sky does the sun rise? response:	A promise I made while pretending to not see it
context: Magic?\You...\Are you...\Why are you working part-time at MgRonald's,\Overlord Satan?!\Hero Emilia?!\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it response:	The moon that got ridiculed
context: You...\Are you...\Why are you working part-time at MgRonald's,\Overlord Satan?!\Hero Emilia?!\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed response:	Will disappear towards the past
context: Are you...\Why are you working part-time at MgRonald's,\Overlord Satan?!\Hero Emilia?!\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past response:	Being a liar and a coward
context: Why are you working part-time at MgRonald's,\Overlord Satan?!\Hero Emilia?!\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward response:	If I was at fault for everything
context: Overlord Satan?!\Hero Emilia?!\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything response:	Then our promise might only have been a fleeting dream
context: Hero Emilia?!\Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream response:	I managed to hide it in the shadow of the moonlight
context: Where in this silent sky does the sun rise?\A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight response:	But I was actually crying
context: A promise I made while pretending to not see it\The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying response:	My tears won't flow anymore
context: The moon that got ridiculed\Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore response:	They've dried up
context: Will disappear towards the past\Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up response:	If I was able to let everything go
context: Being a liar and a coward\If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up\If I was able to let everything go response:	I might be able to cry again
context: If I was at fault for everything\Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up\If I was able to let everything go\I might be able to cry again response:	But this world is too full of things I want to protect
context: Then our promise might only have been a fleeting dream\I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up\If I was able to let everything go\I might be able to cry again\But this world is too full of things I want to protect response:	The Hero
context: I managed to hide it in the shadow of the moonlight\But I was actually crying\My tears won't flow anymore\They've dried up\If I was able to let everything go\I might be able to cry again\But this world is too full of things I want to protect\The Hero response:	The Hero
context: But I was actually crying\My tears won't flow anymore\They've dried up\If I was able to let everything go\I might be able to cry again\But this world is too full of things I want to protect\The Hero\The Hero response:	Puts Work First
context: My tears won't flow anymore\They've dried up\If I was able to let everything go\I might be able to cry again\But this world is too full of things I want to protect\The Hero\The Hero\Puts Work First response:	Puts Work First
context: They've dried up\If I was able to let everything go\I might be able to cry again\But this world is too full of things I want to protect\The Hero\The Hero\Puts Work First\Puts Work First response:	and Stays Over at the
context: If I was able to let everything go\I might be able to cry again\But this world is too full of things I want to protect\The Hero\The Hero\Puts Work First\Puts Work First\and Stays Over at the response:	and Stays Over at the
context: I might be able to cry again\But this world is too full of things I want to protect\The Hero\The Hero\Puts Work First\Puts Work First\and Stays Over at the\and Stays Over at the response:	Castle Overlord
context: But this world is too full of things I want to protect\The Hero\The Hero\Puts Work First\Puts Work First\and Stays Over at the\and Stays Over at the\Castle Overlord response:	Castle Overlord
