context: Kyousuke! response:	Could you go out shopping for me?
context: sekai koukei ha karafuru\nousaibou shigekiteki do-pamin ha koborechatta\donichi no ofu taiki de uzu uzu\shousoukan komiageru\hayaku aitai yo\minna issho ni sukumizu tabeyouka-\me wo tojietemo nioi de wakaru\rui ha rui wo yobu response:	akihabara dansu nau!!
context: nousaibou shigekiteki do-pamin ha koborechatta\donichi no ofu taiki de uzu uzu\shousoukan komiageru\hayaku aitai yo\minna issho ni sukumizu tabeyouka-\me wo tojietemo nioi de wakaru\rui ha rui wo yobu\akihabara dansu nau!! response:	jidai no kage de furoa wo wakashiteiru no yo
context: donichi no ofu taiki de uzu uzu\shousoukan komiageru\hayaku aitai yo\minna issho ni sukumizu tabeyouka-\me wo tojietemo nioi de wakaru\rui ha rui wo yobu\akihabara dansu nau!!\jidai no kage de furoa wo wakashiteiru no yo response:	gyutto gyutto dakishimete
context: shousoukan komiageru\hayaku aitai yo\minna issho ni sukumizu tabeyouka-\me wo tojietemo nioi de wakaru\rui ha rui wo yobu\akihabara dansu nau!!\jidai no kage de furoa wo wakashiteiru no yo\gyutto gyutto dakishimete response:	kamatte kunnakya ekishou he DIVE
context: hayaku aitai yo\minna issho ni sukumizu tabeyouka-\me wo tojietemo nioi de wakaru\rui ha rui wo yobu\akihabara dansu nau!!\jidai no kage de furoa wo wakashiteiru no yo\gyutto gyutto dakishimete\kamatte kunnakya ekishou he DIVE response:	Into LOVE!
context: minna issho ni sukumizu tabeyouka-\me wo tojietemo nioi de wakaru\rui ha rui wo yobu\akihabara dansu nau!!\jidai no kage de furoa wo wakashiteiru no yo\gyutto gyutto dakishimete\kamatte kunnakya ekishou he DIVE\Into LOVE! response:	yuganda ai wo tsutsundeku
context: me wo tojietemo nioi de wakaru\rui ha rui wo yobu\akihabara dansu nau!!\jidai no kage de furoa wo wakashiteiru no yo\gyutto gyutto dakishimete\kamatte kunnakya ekishou he DIVE\Into LOVE!\yuganda ai wo tsutsundeku response:	kono chikara ha
context: rui ha rui wo yobu\akihabara dansu nau!!\jidai no kage de furoa wo wakashiteiru no yo\gyutto gyutto dakishimete\kamatte kunnakya ekishou he DIVE\Into LOVE!\yuganda ai wo tsutsundeku\kono chikara ha response:	yuitsu muni dakara kuse ni naru no
context: akihabara dansu nau!!\jidai no kage de furoa wo wakashiteiru no yo\gyutto gyutto dakishimete\kamatte kunnakya ekishou he DIVE\Into LOVE!\yuganda ai wo tsutsundeku\kono chikara ha\yuitsu muni dakara kuse ni naru no response:	suki na mono darake no
context: jidai no kage de furoa wo wakashiteiru no yo\gyutto gyutto dakishimete\kamatte kunnakya ekishou he DIVE\Into LOVE!\yuganda ai wo tsutsundeku\kono chikara ha\yuitsu muni dakara kuse ni naru no\suki na mono darake no response:	mainichi ni Jump! nagekissu!!
context: gyutto gyutto dakishimete\kamatte kunnakya ekishou he DIVE\Into LOVE!\yuganda ai wo tsutsundeku\kono chikara ha\yuitsu muni dakara kuse ni naru no\suki na mono darake no\mainichi ni Jump! nagekissu!! response:	suki na hito to mae-!!
context: kamatte kunnakya ekishou he DIVE\Into LOVE!\yuganda ai wo tsutsundeku\kono chikara ha\yuitsu muni dakara kuse ni naru no\suki na mono darake no\mainichi ni Jump! nagekissu!!\suki na hito to mae-!! response:	My head is spinning like a top
context: Into LOVE!\yuganda ai wo tsutsundeku\kono chikara ha\yuitsu muni dakara kuse ni naru no\suki na mono darake no\mainichi ni Jump! nagekissu!!\suki na hito to mae-!!\My head is spinning like a top response:	The world is just so colorful
context: yuganda ai wo tsutsundeku\kono chikara ha\yuitsu muni dakara kuse ni naru no\suki na mono darake no\mainichi ni Jump! nagekissu!!\suki na hito to mae-!!\My head is spinning like a top\The world is just so colorful response:	Brain cells, all excited, dopamine overflowing
context: kono chikara ha\yuitsu muni dakara kuse ni naru no\suki na mono darake no\mainichi ni Jump! nagekissu!!\suki na hito to mae-!!\My head is spinning like a top\The world is just so colorful\Brain cells, all excited, dopamine overflowing response:	Waiting, twitching, on my weekends off
context: yuitsu muni dakara kuse ni naru no\suki na mono darake no\mainichi ni Jump! nagekissu!!\suki na hito to mae-!!\My head is spinning like a top\The world is just so colorful\Brain cells, all excited, dopamine overflowing\Waiting, twitching, on my weekends off response:	Impatience growing
context: suki na mono darake no\mainichi ni Jump! nagekissu!!\suki na hito to mae-!!\My head is spinning like a top\The world is just so colorful\Brain cells, all excited, dopamine overflowing\Waiting, twitching, on my weekends off\Impatience growing response:	I want to see you now
context: mainichi ni Jump! nagekissu!!\suki na hito to mae-!!\My head is spinning like a top\The world is just so colorful\Brain cells, all excited, dopamine overflowing\Waiting, twitching, on my weekends off\Impatience growing\I want to see you now response:	Let's all eat some school swimsuits!
context: suki na hito to mae-!!\My head is spinning like a top\The world is just so colorful\Brain cells, all excited, dopamine overflowing\Waiting, twitching, on my weekends off\Impatience growing\I want to see you now\Let's all eat some school swimsuits! response:	Even with my eyes closed, I can smell it
context: My head is spinning like a top\The world is just so colorful\Brain cells, all excited, dopamine overflowing\Waiting, twitching, on my weekends off\Impatience growing\I want to see you now\Let's all eat some school swimsuits!\Even with my eyes closed, I can smell it response:	Birds of a feather flock together!
context: The world is just so colorful\Brain cells, all excited, dopamine overflowing\Waiting, twitching, on my weekends off\Impatience growing\I want to see you now\Let's all eat some school swimsuits!\Even with my eyes closed, I can smell it\Birds of a feather flock together! response:	Akihabara Dance Now!!
context: Brain cells, all excited, dopamine overflowing\Waiting, twitching, on my weekends off\Impatience growing\I want to see you now\Let's all eat some school swimsuits!\Even with my eyes closed, I can smell it\Birds of a feather flock together!\Akihabara Dance Now!! response:	The floor's boiling with the shadow of the age
context: Waiting, twitching, on my weekends off\Impatience growing\I want to see you now\Let's all eat some school swimsuits!\Even with my eyes closed, I can smell it\Birds of a feather flock together!\Akihabara Dance Now!!\The floor's boiling with the shadow of the age response:	Hold me, hold me, hold me tight
context: Impatience growing\I want to see you now\Let's all eat some school swimsuits!\Even with my eyes closed, I can smell it\Birds of a feather flock together!\Akihabara Dance Now!!\The floor's boiling with the shadow of the age\Hold me, hold me, hold me tight response:	If you don't watch, I'll dive into the LCD!
context: I want to see you now\Let's all eat some school swimsuits!\Even with my eyes closed, I can smell it\Birds of a feather flock together!\Akihabara Dance Now!!\The floor's boiling with the shadow of the age\Hold me, hold me, hold me tight\If you don't watch, I'll dive into the LCD! response:	Into love!
context: Let's all eat some school swimsuits!\Even with my eyes closed, I can smell it\Birds of a feather flock together!\Akihabara Dance Now!!\The floor's boiling with the shadow of the age\Hold me, hold me, hold me tight\If you don't watch, I'll dive into the LCD!\Into love! response:	Into this messed-up love!
context: Even with my eyes closed, I can smell it\Birds of a feather flock together!\Akihabara Dance Now!!\The floor's boiling with the shadow of the age\Hold me, hold me, hold me tight\If you don't watch, I'll dive into the LCD!\Into love!\Into this messed-up love! response:	This strange power is
context: Birds of a feather flock together!\Akihabara Dance Now!!\The floor's boiling with the shadow of the age\Hold me, hold me, hold me tight\If you don't watch, I'll dive into the LCD!\Into love!\Into this messed-up love!\This strange power is response:	Unstoppable, that's why I love it
context: Akihabara Dance Now!!\The floor's boiling with the shadow of the age\Hold me, hold me, hold me tight\If you don't watch, I'll dive into the LCD!\Into love!\Into this messed-up love!\This strange power is\Unstoppable, that's why I love it response:	Jump into life
context: The floor's boiling with the shadow of the age\Hold me, hold me, hold me tight\If you don't watch, I'll dive into the LCD!\Into love!\Into this messed-up love!\This strange power is\Unstoppable, that's why I love it\Jump into life response:	Full of what you love! Blow a kiss!!
context: Hold me, hold me, hold me tight\If you don't watch, I'll dive into the LCD!\Into love!\Into this messed-up love!\This strange power is\Unstoppable, that's why I love it\Jump into life\Full of what you love! Blow a kiss!! response:	Go with the ones you love!!
context: If you don't watch, I'll dive into the LCD!\Into love!\Into this messed-up love!\This strange power is\Unstoppable, that's why I love it\Jump into life\Full of what you love! Blow a kiss!!\Go with the ones you love!! response:	TS
context: Into love!\Into this messed-up love!\This strange power is\Unstoppable, that's why I love it\Jump into life\Full of what you love! Blow a kiss!!\Go with the ones you love!!\TS response:	H HO
context: Into this messed-up love!\This strange power is\Unstoppable, that's why I love it\Jump into life\Full of what you love! Blow a kiss!!\Go with the ones you love!!\TS\H HO response:	HO O
context: This strange power is\Unstoppable, that's why I love it\Jump into life\Full of what you love! Blow a kiss!!\Go with the ones you love!!\TS\H HO\HO O response:	H O!
context: Unstoppable, that's why I love it\Jump into life\Full of what you love! Blow a kiss!!\Go with the ones you love!!\TS\H HO\HO O\H O! response:	OS
context: Jump into life\Full of what you love! Blow a kiss!!\Go with the ones you love!!\TS\H HO\HO O\H O!\OS response:	sonna yasashiku shinai de donna kao sureba ii no?
context: Full of what you love! Blow a kiss!!\Go with the ones you love!!\TS\H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no? response:	tsumikasaneta kotoba de
context: Go with the ones you love!!\TS\H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de response:	mienai yo kimi no yokogao
context: TS\H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao response:	dokodakke? nakushita kagi ha mitsukaranai mama de
context: H HO\HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de response:	tameiki... surechigai ni iji hatte tsukarechau
context: HO O\H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau response:	hon no sukoshi chikaku kimi to no kyori ga
context: H O!\OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga response:	umaku tsukamenainda ato chotto na no ni
context: OS\sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni response:	sonna yasashikushinaide hora mata kizutsukeatte
context: sonna yasashiku shinai de donna kao sureba ii no?\tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte response:	tsumikasaneta uso de mou ugokenakunatteru
context: tsumikasaneta kotoba de\mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru response:	sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi
context: mienai yo kimi no yokogao\dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi response:	saigo no ichi pe-ji kurai kimi ni ha egao misetai
context: dokodakke? nakushita kagi ha mitsukaranai mama de\tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai response:	Don't be so nice to me, I just don't know how to react
context: tameiki... surechigai ni iji hatte tsukarechau\hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react response:	With all these words piling up,
context: hon no sukoshi chikaku kimi to no kyori ga\umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up, response:	I can't even see your face
context: umaku tsukamenainda ato chotto na no ni\sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face response:	Where is it? I lost my key, now I can't find it
context: sonna yasashikushinaide hora mata kizutsukeatte\tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it response:	Sigh, I'll burn out if I keep acting like this whenever we fight
context: tsumikasaneta uso de mou ugokenakunatteru\sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight response:	Maybe we're close? I just can't figure out
context: sugu ni ai ni ikitai kedo kotoba ha mitsukaranai shi\saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out response:	Just how far away I am, even though you're right there
context: saigo no ichi pe-ji kurai kimi ni ha egao misetai\Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there response:	Don't be so nice to me, see? We hurt each other again
context: Don't be so nice to me, I just don't know how to react\With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again response:	With all these lies piling up, I can't even move
context: With all these words piling up,\I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move response:	I want to see you now, but I don't know what to say
context: I can't even see your face\Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say response:	If this is the end for our story, I want you to see my smile
context: Where is it? I lost my key, now I can't find it\Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile response:	TS
context: Sigh, I'll burn out if I keep acting like this whenever we fight\Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\TS response:	Mazui Presents
context: Maybe we're close? I just can't figure out\Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\TS\Mazui Presents response:	There's No Way My Little Sister 0000 can be This Cute
context: Just how far away I am, even though you're right there\Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute response:	There's No Way My Little Sister Can Be A Maid
context: Don't be so nice to me, see? We hurt each other again\With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Be A Maid response:	There's No Way My Little Sister's Life Counseling Can End Like This
context: With all these lies piling up, I can't even move\I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Be A Maid\There's No Way My Little Sister's Life Counseling Can End Like This response:	Take off her glasses
context: I want to see you now, but I don't know what to say\If this is the end for our story, I want you to see my smile\TS\Mazui Presents\There's No Way My Little Sister 0000 can be This Cute\There's No Way My Little Sister Can Be A Maid\There's No Way My Little Sister's Life Counseling Can End Like This\Take off her glasses response:	Don't take off her glasses
