context: I'm sorry. response:	I'm sorry, Tanaka-san.
context: to make that self-centered and prideful\Wanna drink? Oh, sorry. Your face is lower than I thought...\Kageyama do what he's been doing.\What's amazing is that he jumps believing in Kageyama 100.\He believes that's where the ball will come.\If they get past your block, receive solidly.\You're all the best members of our team.\Show your pride. response:	Yes.
context: Wanna drink? Oh, sorry. Your face is lower than I thought...\Kageyama do what he's been doing.\What's amazing is that he jumps believing in Kageyama 100.\He believes that's where the ball will come.\If they get past your block, receive solidly.\You're all the best members of our team.\Show your pride.\Yes. response:	Kageyama is amazing.
context: Kageyama do what he's been doing.\What's amazing is that he jumps believing in Kageyama 100.\He believes that's where the ball will come.\If they get past your block, receive solidly.\You're all the best members of our team.\Show your pride.\Yes.\Kageyama is amazing. response:	It's a shame we couldn't have him on our team.
context: What's amazing is that he jumps believing in Kageyama 100.\He believes that's where the ball will come.\If they get past your block, receive solidly.\You're all the best members of our team.\Show your pride.\Yes.\Kageyama is amazing.\It's a shame we couldn't have him on our team. response:	He did get invited, didn't he?
context: He believes that's where the ball will come.\If they get past your block, receive solidly.\You're all the best members of our team.\Show your pride.\Yes.\Kageyama is amazing.\It's a shame we couldn't have him on our team.\He did get invited, didn't he? response:	Yeah, but even if Kageyama had come to our team,
context: If they get past your block, receive solidly.\You're all the best members of our team.\Show your pride.\Yes.\Kageyama is amazing.\It's a shame we couldn't have him on our team.\He did get invited, didn't he?\Yeah, but even if Kageyama had come to our team, response:	that doesn't mean he would've played like that.
context: You're all the best members of our team.\Show your pride.\Yes.\Kageyama is amazing.\It's a shame we couldn't have him on our team.\He did get invited, didn't he?\Yeah, but even if Kageyama had come to our team,\that doesn't mean he would've played like that. response:	Huh?
context: Show your pride.\Yes.\Kageyama is amazing.\It's a shame we couldn't have him on our team.\He did get invited, didn't he?\Yeah, but even if Kageyama had come to our team,\that doesn't mean he would've played like that.\Huh? response:	Maybe Kageyama is how he is now because of Karasuno,
context: Yes.\Kageyama is amazing.\It's a shame we couldn't have him on our team.\He did get invited, didn't he?\Yeah, but even if Kageyama had come to our team,\that doesn't mean he would've played like that.\Huh?\Maybe Kageyama is how he is now because of Karasuno, response:	All right. Let's win this set.
context: Kageyama is amazing.\It's a shame we couldn't have him on our team.\He did get invited, didn't he?\Yeah, but even if Kageyama had come to our team,\that doesn't mean he would've played like that.\Huh?\Maybe Kageyama is how he is now because of Karasuno,\All right. Let's win this set. response:	Ouch. That hurt, Kageyama.
context: It's a shame we couldn't have him on our team.\He did get invited, didn't he?\Yeah, but even if Kageyama had come to our team,\that doesn't mean he would've played like that.\Huh?\Maybe Kageyama is how he is now because of Karasuno,\All right. Let's win this set.\Ouch. That hurt, Kageyama. response:	and because of 5.
context: He did get invited, didn't he?\Yeah, but even if Kageyama had come to our team,\that doesn't mean he would've played like that.\Huh?\Maybe Kageyama is how he is now because of Karasuno,\All right. Let's win this set.\Ouch. That hurt, Kageyama.\and because of 5. response:	A shot in the arm, a shot in the arm.
context: Yeah, but even if Kageyama had come to our team,\that doesn't mean he would've played like that.\Huh?\Maybe Kageyama is how he is now because of Karasuno,\All right. Let's win this set.\Ouch. That hurt, Kageyama.\and because of 5.\A shot in the arm, a shot in the arm. response:	All right. It's starting.
context: that doesn't mean he would've played like that.\Huh?\Maybe Kageyama is how he is now because of Karasuno,\All right. Let's win this set.\Ouch. That hurt, Kageyama.\and because of 5.\A shot in the arm, a shot in the arm.\All right. It's starting. response:	Karasuno Aoba Johsai
context: Huh?\Maybe Kageyama is how he is now because of Karasuno,\All right. Let's win this set.\Ouch. That hurt, Kageyama.\and because of 5.\A shot in the arm, a shot in the arm.\All right. It's starting.\Karasuno Aoba Johsai response:	Chance ball.
context: Maybe Kageyama is how he is now because of Karasuno,\All right. Let's win this set.\Ouch. That hurt, Kageyama.\and because of 5.\A shot in the arm, a shot in the arm.\All right. It's starting.\Karasuno Aoba Johsai\Chance ball. response:	Tsukishima.
context: All right. Let's win this set.\Ouch. That hurt, Kageyama.\and because of 5.\A shot in the arm, a shot in the arm.\All right. It's starting.\Karasuno Aoba Johsai\Chance ball.\Tsukishima. response:	All right.
context: Ouch. That hurt, Kageyama.\and because of 5.\A shot in the arm, a shot in the arm.\All right. It's starting.\Karasuno Aoba Johsai\Chance ball.\Tsukishima.\All right. response:	Tsukki, nice!
context: and because of 5.\A shot in the arm, a shot in the arm.\All right. It's starting.\Karasuno Aoba Johsai\Chance ball.\Tsukishima.\All right.\Tsukki, nice! response:	Nice, Tsukishima.
context: A shot in the arm, a shot in the arm.\All right. It's starting.\Karasuno Aoba Johsai\Chance ball.\Tsukishima.\All right.\Tsukki, nice!\Nice, Tsukishima. response:	Your tosses are too accurate. It gives me the creeps.
context: All right. It's starting.\Karasuno Aoba Johsai\Chance ball.\Tsukishima.\All right.\Tsukki, nice!\Nice, Tsukishima.\Your tosses are too accurate. It gives me the creeps. response:	What?
context: Karasuno Aoba Johsai\Chance ball.\Tsukishima.\All right.\Tsukki, nice!\Nice, Tsukishima.\Your tosses are too accurate. It gives me the creeps.\What? response:	I wouldn't have put it that way,
context: Chance ball.\Tsukishima.\All right.\Tsukki, nice!\Nice, Tsukishima.\Your tosses are too accurate. It gives me the creeps.\What?\I wouldn't have put it that way, response:	I can just aim at your glasses, if you like.
context: Tsukishima.\All right.\Tsukki, nice!\Nice, Tsukishima.\Your tosses are too accurate. It gives me the creeps.\What?\I wouldn't have put it that way,\I can just aim at your glasses, if you like. response:	but I can sort of understand what Tsukishima means.
context: All right.\Tsukki, nice!\Nice, Tsukishima.\Your tosses are too accurate. It gives me the creeps.\What?\I wouldn't have put it that way,\I can just aim at your glasses, if you like.\but I can sort of understand what Tsukishima means. response:	Try it. You'll get banished from the gym again.
context: Tsukki, nice!\Nice, Tsukishima.\Your tosses are too accurate. It gives me the creeps.\What?\I wouldn't have put it that way,\I can just aim at your glasses, if you like.\but I can sort of understand what Tsukishima means.\Try it. You'll get banished from the gym again. response:	It's like you're wishing the ball would go somewhere,
context: Nice, Tsukishima.\Your tosses are too accurate. It gives me the creeps.\What?\I wouldn't have put it that way,\I can just aim at your glasses, if you like.\but I can sort of understand what Tsukishima means.\Try it. You'll get banished from the gym again.\It's like you're wishing the ball would go somewhere, response:	and then it just appears there.
context: Your tosses are too accurate. It gives me the creeps.\What?\I wouldn't have put it that way,\I can just aim at your glasses, if you like.\but I can sort of understand what Tsukishima means.\Try it. You'll get banished from the gym again.\It's like you're wishing the ball would go somewhere,\and then it just appears there. response:	I'll do it so no one will notice.
context: What?\I wouldn't have put it that way,\I can just aim at your glasses, if you like.\but I can sort of understand what Tsukishima means.\Try it. You'll get banished from the gym again.\It's like you're wishing the ball would go somewhere,\and then it just appears there.\I'll do it so no one will notice. response:	You obviously can't do that. Are you stupid?
context: I wouldn't have put it that way,\I can just aim at your glasses, if you like.\but I can sort of understand what Tsukishima means.\Try it. You'll get banished from the gym again.\It's like you're wishing the ball would go somewhere,\and then it just appears there.\I'll do it so no one will notice.\You obviously can't do that. Are you stupid? response:	It's totally amazing. But...
context: I can just aim at your glasses, if you like.\but I can sort of understand what Tsukishima means.\Try it. You'll get banished from the gym again.\It's like you're wishing the ball would go somewhere,\and then it just appears there.\I'll do it so no one will notice.\You obviously can't do that. Are you stupid?\It's totally amazing. But... response:	We're in a match. That's about enough.
context: but I can sort of understand what Tsukishima means.\Try it. You'll get banished from the gym again.\It's like you're wishing the ball would go somewhere,\and then it just appears there.\I'll do it so no one will notice.\You obviously can't do that. Are you stupid?\It's totally amazing. But...\We're in a match. That's about enough. response:	Tanaka, nice serve.
context: Try it. You'll get banished from the gym again.\It's like you're wishing the ball would go somewhere,\and then it just appears there.\I'll do it so no one will notice.\You obviously can't do that. Are you stupid?\It's totally amazing. But...\We're in a match. That's about enough.\Tanaka, nice serve. response:	Nice serve.
context: It's like you're wishing the ball would go somewhere,\and then it just appears there.\I'll do it so no one will notice.\You obviously can't do that. Are you stupid?\It's totally amazing. But...\We're in a match. That's about enough.\Tanaka, nice serve.\Nice serve. response:	I see...
context: and then it just appears there.\I'll do it so no one will notice.\You obviously can't do that. Are you stupid?\It's totally amazing. But...\We're in a match. That's about enough.\Tanaka, nice serve.\Nice serve.\I see... response:	WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka
context: I'll do it so no one will notice.\You obviously can't do that. Are you stupid?\It's totally amazing. But...\We're in a match. That's about enough.\Tanaka, nice serve.\Nice serve.\I see...\WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka response:	S Sugawara MB Yamaguchi WS Kinoshita MB Narita
context: You obviously can't do that. Are you stupid?\It's totally amazing. But...\We're in a match. That's about enough.\Tanaka, nice serve.\Nice serve.\I see...\WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka\S Sugawara MB Yamaguchi WS Kinoshita MB Narita response:	The rotation moves every time we score and we get to serve.
context: It's totally amazing. But...\We're in a match. That's about enough.\Tanaka, nice serve.\Nice serve.\I see...\WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\The rotation moves every time we score and we get to serve. response:	So now it's Kageyama-kun and Ennoshita-kun in front position.
context: We're in a match. That's about enough.\Tanaka, nice serve.\Nice serve.\I see...\WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\The rotation moves every time we score and we get to serve.\So now it's Kageyama-kun and Ennoshita-kun in front position. response:	Yes, it's the exact opposite positioning from the start of the match.
context: Tanaka, nice serve.\Nice serve.\I see...\WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\The rotation moves every time we score and we get to serve.\So now it's Kageyama-kun and Ennoshita-kun in front position.\Yes, it's the exact opposite positioning from the start of the match. response:	When Hinata-kun is in front position, his being a decoy
context: Nice serve.\I see...\WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\The rotation moves every time we score and we get to serve.\So now it's Kageyama-kun and Ennoshita-kun in front position.\Yes, it's the exact opposite positioning from the start of the match.\When Hinata-kun is in front position, his being a decoy response:	raises the level of the entire team's offense.
context: I see...\WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\The rotation moves every time we score and we get to serve.\So now it's Kageyama-kun and Ennoshita-kun in front position.\Yes, it's the exact opposite positioning from the start of the match.\When Hinata-kun is in front position, his being a decoy\raises the level of the entire team's offense. response:	On the other hand, if Tsukishima-kun is in front...
context: WS Ennoshita MB Tsukishima S Kageyama WS Sawamura MB Hinata WS Tanaka\S Sugawara MB Yamaguchi WS Kinoshita MB Narita\The rotation moves every time we score and we get to serve.\So now it's Kageyama-kun and Ennoshita-kun in front position.\Yes, it's the exact opposite positioning from the start of the match.\When Hinata-kun is in front position, his being a decoy\raises the level of the entire team's offense.\On the other hand, if Tsukishima-kun is in front... response:	we'll have a powerful block equal to the Seijo team's.
context: S Sugawara MB Yamaguchi WS Kinoshita MB Narita\The rotation moves every time we score and we get to serve.\So now it's Kageyama-kun and Ennoshita-kun in front position.\Yes, it's the exact opposite positioning from the start of the match.\When Hinata-kun is in front position, his being a decoy\raises the level of the entire team's offense.\On the other hand, if Tsukishima-kun is in front...\we'll have a powerful block equal to the Seijo team's. response:	You're good at blocking, too, huh?
context: The rotation moves every time we score and we get to serve.\So now it's Kageyama-kun and Ennoshita-kun in front position.\Yes, it's the exact opposite positioning from the start of the match.\When Hinata-kun is in front position, his being a decoy\raises the level of the entire team's offense.\On the other hand, if Tsukishima-kun is in front...\we'll have a powerful block equal to the Seijo team's.\You're good at blocking, too, huh? response:	But don't get too carried away.
context: So now it's Kageyama-kun and Ennoshita-kun in front position.\Yes, it's the exact opposite positioning from the start of the match.\When Hinata-kun is in front position, his being a decoy\raises the level of the entire team's offense.\On the other hand, if Tsukishima-kun is in front...\we'll have a powerful block equal to the Seijo team's.\You're good at blocking, too, huh?\But don't get too carried away. response:	Don't get too full of yourself, being all gangly like that.
context: Yes, it's the exact opposite positioning from the start of the match.\When Hinata-kun is in front position, his being a decoy\raises the level of the entire team's offense.\On the other hand, if Tsukishima-kun is in front...\we'll have a powerful block equal to the Seijo team's.\You're good at blocking, too, huh?\But don't get too carried away.\Don't get too full of yourself, being all gangly like that. response:	Don't fight, guys. Okay?
context: When Hinata-kun is in front position, his being a decoy\raises the level of the entire team's offense.\On the other hand, if Tsukishima-kun is in front...\we'll have a powerful block equal to the Seijo team's.\You're good at blocking, too, huh?\But don't get too carried away.\Don't get too full of yourself, being all gangly like that.\Don't fight, guys. Okay? response:	Your opponents are on the other side of the net!
context: raises the level of the entire team's offense.\On the other hand, if Tsukishima-kun is in front...\we'll have a powerful block equal to the Seijo team's.\You're good at blocking, too, huh?\But don't get too carried away.\Don't get too full of yourself, being all gangly like that.\Don't fight, guys. Okay?\Your opponents are on the other side of the net! response:	Hey, here it comes.
context: On the other hand, if Tsukishima-kun is in front...\we'll have a powerful block equal to the Seijo team's.\You're good at blocking, too, huh?\But don't get too carried away.\Don't get too full of yourself, being all gangly like that.\Don't fight, guys. Okay?\Your opponents are on the other side of the net!\Hey, here it comes. response:	All right.
context: we'll have a powerful block equal to the Seijo team's.\You're good at blocking, too, huh?\But don't get too carried away.\Don't get too full of yourself, being all gangly like that.\Don't fight, guys. Okay?\Your opponents are on the other side of the net!\Hey, here it comes.\All right. response:	Hey. I'm the one that blocked it.
context: You're good at blocking, too, huh?\But don't get too carried away.\Don't get too full of yourself, being all gangly like that.\Don't fight, guys. Okay?\Your opponents are on the other side of the net!\Hey, here it comes.\All right.\Hey. I'm the one that blocked it. response:	What? It hit my hand, too.
context: But don't get too carried away.\Don't get too full of yourself, being all gangly like that.\Don't fight, guys. Okay?\Your opponents are on the other side of the net!\Hey, here it comes.\All right.\Hey. I'm the one that blocked it.\What? It hit my hand, too. response:	That's enough you two!
context: Don't get too full of yourself, being all gangly like that.\Don't fight, guys. Okay?\Your opponents are on the other side of the net!\Hey, here it comes.\All right.\Hey. I'm the one that blocked it.\What? It hit my hand, too.\That's enough you two! response:	Serves those guys right.
context: Don't fight, guys. Okay?\Your opponents are on the other side of the net!\Hey, here it comes.\All right.\Hey. I'm the one that blocked it.\What? It hit my hand, too.\That's enough you two!\Serves those guys right. response:	What are you grinning at?
context: Your opponents are on the other side of the net!\Hey, here it comes.\All right.\Hey. I'm the one that blocked it.\What? It hit my hand, too.\That's enough you two!\Serves those guys right.\What are you grinning at? response:	Kageyama, stop it.
context: Hey, here it comes.\All right.\Hey. I'm the one that blocked it.\What? It hit my hand, too.\That's enough you two!\Serves those guys right.\What are you grinning at?\Kageyama, stop it. response:	Damn. Now I'm getting worried.
context: All right.\Hey. I'm the one that blocked it.\What? It hit my hand, too.\That's enough you two!\Serves those guys right.\What are you grinning at?\Kageyama, stop it.\Damn. Now I'm getting worried. response:	Karasuno Aoba Johsai
context: Hey. I'm the one that blocked it.\What? It hit my hand, too.\That's enough you two!\Serves those guys right.\What are you grinning at?\Kageyama, stop it.\Damn. Now I'm getting worried.\Karasuno Aoba Johsai response:	Hey, that was covered for you Kunimi, you idiot.
context: What? It hit my hand, too.\That's enough you two!\Serves those guys right.\What are you grinning at?\Kageyama, stop it.\Damn. Now I'm getting worried.\Karasuno Aoba Johsai\Hey, that was covered for you Kunimi, you idiot. response:	We have to stop 5 somehow.
context: That's enough you two!\Serves those guys right.\What are you grinning at?\Kageyama, stop it.\Damn. Now I'm getting worried.\Karasuno Aoba Johsai\Hey, that was covered for you Kunimi, you idiot.\We have to stop 5 somehow. response:	True, the combo of 5 and Kageyama is formidable.
context: Serves those guys right.\What are you grinning at?\Kageyama, stop it.\Damn. Now I'm getting worried.\Karasuno Aoba Johsai\Hey, that was covered for you Kunimi, you idiot.\We have to stop 5 somehow.\True, the combo of 5 and Kageyama is formidable. response:	But then again, though he has no calm,
context: What are you grinning at?\Kageyama, stop it.\Damn. Now I'm getting worried.\Karasuno Aoba Johsai\Hey, that was covered for you Kunimi, you idiot.\We have to stop 5 somehow.\True, the combo of 5 and Kageyama is formidable.\But then again, though he has no calm, response:	that spiker, Tanaka-kun, is an overwhelming force.
context: Kageyama, stop it.\Damn. Now I'm getting worried.\Karasuno Aoba Johsai\Hey, that was covered for you Kunimi, you idiot.\We have to stop 5 somehow.\True, the combo of 5 and Kageyama is formidable.\But then again, though he has no calm,\that spiker, Tanaka-kun, is an overwhelming force. response:	Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.
context: Damn. Now I'm getting worried.\Karasuno Aoba Johsai\Hey, that was covered for you Kunimi, you idiot.\We have to stop 5 somehow.\True, the combo of 5 and Kageyama is formidable.\But then again, though he has no calm,\that spiker, Tanaka-kun, is an overwhelming force.\Then there's that somewhat uninspired but clever blocker, Tsukishima-kun. response:	And the captain, Sawamura-kun, who covers all his team's holes.
context: Karasuno Aoba Johsai\Hey, that was covered for you Kunimi, you idiot.\We have to stop 5 somehow.\True, the combo of 5 and Kageyama is formidable.\But then again, though he has no calm,\that spiker, Tanaka-kun, is an overwhelming force.\Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.\And the captain, Sawamura-kun, who covers all his team's holes. response:	Bring it on.
context: Hey, that was covered for you Kunimi, you idiot.\We have to stop 5 somehow.\True, the combo of 5 and Kageyama is formidable.\But then again, though he has no calm,\that spiker, Tanaka-kun, is an overwhelming force.\Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.\And the captain, Sawamura-kun, who covers all his team's holes.\Bring it on. response:	There are those who are inexperienced,
context: We have to stop 5 somehow.\True, the combo of 5 and Kageyama is formidable.\But then again, though he has no calm,\that spiker, Tanaka-kun, is an overwhelming force.\Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.\And the captain, Sawamura-kun, who covers all his team's holes.\Bring it on.\There are those who are inexperienced, response:	and their defense is full of holes,
context: True, the combo of 5 and Kageyama is formidable.\But then again, though he has no calm,\that spiker, Tanaka-kun, is an overwhelming force.\Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.\And the captain, Sawamura-kun, who covers all his team's holes.\Bring it on.\There are those who are inexperienced,\and their defense is full of holes, response:	but their offense is freely flexible,
context: But then again, though he has no calm,\that spiker, Tanaka-kun, is an overwhelming force.\Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.\And the captain, Sawamura-kun, who covers all his team's holes.\Bring it on.\There are those who are inexperienced,\and their defense is full of holes,\but their offense is freely flexible, response:	and makes full use of the inexperienced.
context: that spiker, Tanaka-kun, is an overwhelming force.\Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.\And the captain, Sawamura-kun, who covers all his team's holes.\Bring it on.\There are those who are inexperienced,\and their defense is full of holes,\but their offense is freely flexible,\and makes full use of the inexperienced. response:	They made a fool of us...
context: Then there's that somewhat uninspired but clever blocker, Tsukishima-kun.\And the captain, Sawamura-kun, who covers all his team's holes.\Bring it on.\There are those who are inexperienced,\and their defense is full of holes,\but their offense is freely flexible,\and makes full use of the inexperienced.\They made a fool of us... response:	So this is Karasuno.
context: And the captain, Sawamura-kun, who covers all his team's holes.\Bring it on.\There are those who are inexperienced,\and their defense is full of holes,\but their offense is freely flexible,\and makes full use of the inexperienced.\They made a fool of us...\So this is Karasuno. response:	They are odd.
context: Bring it on.\There are those who are inexperienced,\and their defense is full of holes,\but their offense is freely flexible,\and makes full use of the inexperienced.\They made a fool of us...\So this is Karasuno.\They are odd. response:	They are dangerous.
context: There are those who are inexperienced,\and their defense is full of holes,\but their offense is freely flexible,\and makes full use of the inexperienced.\They made a fool of us...\So this is Karasuno.\They are odd.\They are dangerous. response:	They are an interesting team.
context: and their defense is full of holes,\but their offense is freely flexible,\and makes full use of the inexperienced.\They made a fool of us...\So this is Karasuno.\They are odd.\They are dangerous.\They are an interesting team. response:	Karasuno Aoba Johsai
context: but their offense is freely flexible,\and makes full use of the inexperienced.\They made a fool of us...\So this is Karasuno.\They are odd.\They are dangerous.\They are an interesting team.\Karasuno Aoba Johsai response:	They won the set.
context: and makes full use of the inexperienced.\They made a fool of us...\So this is Karasuno.\They are odd.\They are dangerous.\They are an interesting team.\Karasuno Aoba Johsai\They won the set. response:	Damn.
context: They made a fool of us...\So this is Karasuno.\They are odd.\They are dangerous.\They are an interesting team.\Karasuno Aoba Johsai\They won the set.\Damn. response:	Nice toss, Kageyama.
context: So this is Karasuno.\They are odd.\They are dangerous.\They are an interesting team.\Karasuno Aoba Johsai\They won the set.\Damn.\Nice toss, Kageyama. response:	Oh, thanks.
context: They are odd.\They are dangerous.\They are an interesting team.\Karasuno Aoba Johsai\They won the set.\Damn.\Nice toss, Kageyama.\Oh, thanks. response:	On to winning the final set!
context: They are dangerous.\They are an interesting team.\Karasuno Aoba Johsai\They won the set.\Damn.\Nice toss, Kageyama.\Oh, thanks.\On to winning the final set! response:	I'm glad they don't have another serve-hitter like Kageyama.
context: They are an interesting team.\Karasuno Aoba Johsai\They won the set.\Damn.\Nice toss, Kageyama.\Oh, thanks.\On to winning the final set!\I'm glad they don't have another serve-hitter like Kageyama. response:	A comeback victory.
context: Karasuno Aoba Johsai\They won the set.\Damn.\Nice toss, Kageyama.\Oh, thanks.\On to winning the final set!\I'm glad they don't have another serve-hitter like Kageyama.\A comeback victory. response:	Victory.
context: They won the set.\Damn.\Nice toss, Kageyama.\Oh, thanks.\On to winning the final set!\I'm glad they don't have another serve-hitter like Kageyama.\A comeback victory.\Victory. response:	Yeah, because I must admit our team is not good at receiving.
context: Damn.\Nice toss, Kageyama.\Oh, thanks.\On to winning the final set!\I'm glad they don't have another serve-hitter like Kageyama.\A comeback victory.\Victory.\Yeah, because I must admit our team is not good at receiving. response:	Victory.
context: Nice toss, Kageyama.\Oh, thanks.\On to winning the final set!\I'm glad they don't have another serve-hitter like Kageyama.\A comeback victory.\Victory.\Yeah, because I must admit our team is not good at receiving.\Victory. response:	Thank you.
context: Oh, thanks.\On to winning the final set!\I'm glad they don't have another serve-hitter like Kageyama.\A comeback victory.\Victory.\Yeah, because I must admit our team is not good at receiving.\Victory.\Thank you. response:	We mustn't let our guard down.
context: On to winning the final set!\I'm glad they don't have another serve-hitter like Kageyama.\A comeback victory.\Victory.\Yeah, because I must admit our team is not good at receiving.\Victory.\Thank you.\We mustn't let our guard down. response:	I'm thinking that maybe
context: I'm glad they don't have another serve-hitter like Kageyama.\A comeback victory.\Victory.\Yeah, because I must admit our team is not good at receiving.\Victory.\Thank you.\We mustn't let our guard down.\I'm thinking that maybe response:	their setter wasn't the main setter...
context: A comeback victory.\Victory.\Yeah, because I must admit our team is not good at receiving.\Victory.\Thank you.\We mustn't let our guard down.\I'm thinking that maybe\their setter wasn't the main setter... response:	Oikawa, you're back.
context: Victory.\Yeah, because I must admit our team is not good at receiving.\Victory.\Thank you.\We mustn't let our guard down.\I'm thinking that maybe\their setter wasn't the main setter...\Oikawa, you're back. response:	Next Episode Preview
context: Yeah, because I must admit our team is not good at receiving.\Victory.\Thank you.\We mustn't let our guard down.\I'm thinking that maybe\their setter wasn't the main setter...\Oikawa, you're back.\Next Episode Preview response:	What? Seijo's setter wasn't the main setter?
context: Victory.\Thank you.\We mustn't let our guard down.\I'm thinking that maybe\their setter wasn't the main setter...\Oikawa, you're back.\Next Episode Preview\What? Seijo's setter wasn't the main setter? response:	Who is that sneering dude, anyway?
context: Thank you.\We mustn't let our guard down.\I'm thinking that maybe\their setter wasn't the main setter...\Oikawa, you're back.\Next Episode Preview\What? Seijo's setter wasn't the main setter?\Who is that sneering dude, anyway? response:	Kageyama, you know him?
context: We mustn't let our guard down.\I'm thinking that maybe\their setter wasn't the main setter...\Oikawa, you're back.\Next Episode Preview\What? Seijo's setter wasn't the main setter?\Who is that sneering dude, anyway?\Kageyama, you know him? response:	Well, you'll have to wait and see.
context: I'm thinking that maybe\their setter wasn't the main setter...\Oikawa, you're back.\Next Episode Preview\What? Seijo's setter wasn't the main setter?\Who is that sneering dude, anyway?\Kageyama, you know him?\Well, you'll have to wait and see. response:	What?
context: their setter wasn't the main setter...\Oikawa, you're back.\Next Episode Preview\What? Seijo's setter wasn't the main setter?\Who is that sneering dude, anyway?\Kageyama, you know him?\Well, you'll have to wait and see.\What? response:	Episode 7: Versus the Great King
context: Oikawa, you're back.\Next Episode Preview\What? Seijo's setter wasn't the main setter?\Who is that sneering dude, anyway?\Kageyama, you know him?\Well, you'll have to wait and see.\What?\Episode 7: Versus the Great King response:	Next time on Haikyu!! Versus the Great King
