context: Apollon, do you remember the day the world began? response:	Due to a miracle, the sacred and formless void
context: Mr. Principal! I mean, Commander!\What is Aquarion?\We purposely separated the boys from the girls into Aquaria Type-M and Type-F.\But now male and female are together as one; a complete being.\But can a mortal use the weapon of a god?\What's the matter? Done already?\Come on, get up and fight me!\What are you doing, you moron? response:	You're not helping!
context: What is Aquarion?\We purposely separated the boys from the girls into Aquaria Type-M and Type-F.\But now male and female are together as one; a complete being.\But can a mortal use the weapon of a god?\What's the matter? Done already?\Come on, get up and fight me!\What are you doing, you moron?\You're not helping! response:	Stop! Please, stop!
context: We purposely separated the boys from the girls into Aquaria Type-M and Type-F.\But now male and female are together as one; a complete being.\But can a mortal use the weapon of a god?\What's the matter? Done already?\Come on, get up and fight me!\What are you doing, you moron?\You're not helping!\Stop! Please, stop! response:	Let's get out of here! We can't fight him!
context: But now male and female are together as one; a complete being.\But can a mortal use the weapon of a god?\What's the matter? Done already?\Come on, get up and fight me!\What are you doing, you moron?\You're not helping!\Stop! Please, stop!\Let's get out of here! We can't fight him! response:	Let's get out! You can get us out of here, right?
context: But can a mortal use the weapon of a god?\What's the matter? Done already?\Come on, get up and fight me!\What are you doing, you moron?\You're not helping!\Stop! Please, stop!\Let's get out of here! We can't fight him!\Let's get out! You can get us out of here, right? response:	Hey, you! What are you talking about?!
context: What's the matter? Done already?\Come on, get up and fight me!\What are you doing, you moron?\You're not helping!\Stop! Please, stop!\Let's get out of here! We can't fight him!\Let's get out! You can get us out of here, right?\Hey, you! What are you talking about?! response:	Amata! We have to escape!
context: Come on, get up and fight me!\What are you doing, you moron?\You're not helping!\Stop! Please, stop!\Let's get out of here! We can't fight him!\Let's get out! You can get us out of here, right?\Hey, you! What are you talking about?!\Amata! We have to escape! response:	What can a useless pair like us do?
context: What are you doing, you moron?\You're not helping!\Stop! Please, stop!\Let's get out of here! We can't fight him!\Let's get out! You can get us out of here, right?\Hey, you! What are you talking about?!\Amata! We have to escape!\What can a useless pair like us do? response:	Be quiet, Mikono!
context: You're not helping!\Stop! Please, stop!\Let's get out of here! We can't fight him!\Let's get out! You can get us out of here, right?\Hey, you! What are you talking about?!\Amata! We have to escape!\What can a useless pair like us do?\Be quiet, Mikono! response:	Mikono...
context: Stop! Please, stop!\Let's get out of here! We can't fight him!\Let's get out! You can get us out of here, right?\Hey, you! What are you talking about?!\Amata! We have to escape!\What can a useless pair like us do?\Be quiet, Mikono!\Mikono... response:	Enemy reinforcements!
context: Let's get out of here! We can't fight him!\Let's get out! You can get us out of here, right?\Hey, you! What are you talking about?!\Amata! We have to escape!\What can a useless pair like us do?\Be quiet, Mikono!\Mikono...\Enemy reinforcements! response:	They're not little ones either.
context: Let's get out! You can get us out of here, right?\Hey, you! What are you talking about?!\Amata! We have to escape!\What can a useless pair like us do?\Be quiet, Mikono!\Mikono...\Enemy reinforcements!\They're not little ones either. response:	Three large units confirmed!
context: Hey, you! What are you talking about?!\Amata! We have to escape!\What can a useless pair like us do?\Be quiet, Mikono!\Mikono...\Enemy reinforcements!\They're not little ones either.\Three large units confirmed! response:	What are you doing here?
context: Amata! We have to escape!\What can a useless pair like us do?\Be quiet, Mikono!\Mikono...\Enemy reinforcements!\They're not little ones either.\Three large units confirmed!\What are you doing here? response:	Master Kagura, we have official orders.
context: What can a useless pair like us do?\Be quiet, Mikono!\Mikono...\Enemy reinforcements!\They're not little ones either.\Three large units confirmed!\What are you doing here?\Master Kagura, we have official orders. response:	Please return to Altair with us immediately.
context: Be quiet, Mikono!\Mikono...\Enemy reinforcements!\They're not little ones either.\Three large units confirmed!\What are you doing here?\Master Kagura, we have official orders.\Please return to Altair with us immediately. response:	Did that geezer Izumo send you?
context: Mikono...\Enemy reinforcements!\They're not little ones either.\Three large units confirmed!\What are you doing here?\Master Kagura, we have official orders.\Please return to Altair with us immediately.\Did that geezer Izumo send you? response:	We've already found Rare Iguras.
context: Enemy reinforcements!\They're not little ones either.\Three large units confirmed!\What are you doing here?\Master Kagura, we have official orders.\Please return to Altair with us immediately.\Did that geezer Izumo send you?\We've already found Rare Iguras. response:	Further combat would be meaningless.
context: They're not little ones either.\Three large units confirmed!\What are you doing here?\Master Kagura, we have official orders.\Please return to Altair with us immediately.\Did that geezer Izumo send you?\We've already found Rare Iguras.\Further combat would be meaningless. response:	Combat isn't meaningless until I say it is!
context: Three large units confirmed!\What are you doing here?\Master Kagura, we have official orders.\Please return to Altair with us immediately.\Did that geezer Izumo send you?\We've already found Rare Iguras.\Further combat would be meaningless.\Combat isn't meaningless until I say it is! response:	Damn it! What do I do?
context: What are you doing here?\Master Kagura, we have official orders.\Please return to Altair with us immediately.\Did that geezer Izumo send you?\We've already found Rare Iguras.\Further combat would be meaningless.\Combat isn't meaningless until I say it is!\Damn it! What do I do? response:	Enough sitting around!
context: Master Kagura, we have official orders.\Please return to Altair with us immediately.\Did that geezer Izumo send you?\We've already found Rare Iguras.\Further combat would be meaningless.\Combat isn't meaningless until I say it is!\Damn it! What do I do?\Enough sitting around! response:	I'll show you how to fight!
context: Please return to Altair with us immediately.\Did that geezer Izumo send you?\We've already found Rare Iguras.\Further combat would be meaningless.\Combat isn't meaningless until I say it is!\Damn it! What do I do?\Enough sitting around!\I'll show you how to fight! response:	First, unlock the lever, like this.
context: Did that geezer Izumo send you?\We've already found Rare Iguras.\Further combat would be meaningless.\Combat isn't meaningless until I say it is!\Damn it! What do I do?\Enough sitting around!\I'll show you how to fight!\First, unlock the lever, like this. response:	Whoa!
context: We've already found Rare Iguras.\Further combat would be meaningless.\Combat isn't meaningless until I say it is!\Damn it! What do I do?\Enough sitting around!\I'll show you how to fight!\First, unlock the lever, like this.\Whoa! response:	Zessica's Element power was channeled through the machine!
context: Further combat would be meaningless.\Combat isn't meaningless until I say it is!\Damn it! What do I do?\Enough sitting around!\I'll show you how to fight!\First, unlock the lever, like this.\Whoa!\Zessica's Element power was channeled through the machine! response:	Her power is resonating with the boy's!
context: Combat isn't meaningless until I say it is!\Damn it! What do I do?\Enough sitting around!\I'll show you how to fight!\First, unlock the lever, like this.\Whoa!\Zessica's Element power was channeled through the machine!\Her power is resonating with the boy's! response:	So this is a mixed Union.
context: Damn it! What do I do?\Enough sitting around!\I'll show you how to fight!\First, unlock the lever, like this.\Whoa!\Zessica's Element power was channeled through the machine!\Her power is resonating with the boy's!\So this is a mixed Union. response:	Commander, the Aquaria has powers we've never seen before!
context: Enough sitting around!\I'll show you how to fight!\First, unlock the lever, like this.\Whoa!\Zessica's Element power was channeled through the machine!\Her power is resonating with the boy's!\So this is a mixed Union.\Commander, the Aquaria has powers we've never seen before! response:	Forbidden powers.
context: I'll show you how to fight!\First, unlock the lever, like this.\Whoa!\Zessica's Element power was channeled through the machine!\Her power is resonating with the boy's!\So this is a mixed Union.\Commander, the Aquaria has powers we've never seen before!\Forbidden powers. response:	Master Kagura!
context: First, unlock the lever, like this.\Whoa!\Zessica's Element power was channeled through the machine!\Her power is resonating with the boy's!\So this is a mixed Union.\Commander, the Aquaria has powers we've never seen before!\Forbidden powers.\Master Kagura! response:	You're holding me back!
context: Whoa!\Zessica's Element power was channeled through the machine!\Her power is resonating with the boy's!\So this is a mixed Union.\Commander, the Aquaria has powers we've never seen before!\Forbidden powers.\Master Kagura!\You're holding me back! response:	What?!
context: Zessica's Element power was channeled through the machine!\Her power is resonating with the boy's!\So this is a mixed Union.\Commander, the Aquaria has powers we've never seen before!\Forbidden powers.\Master Kagura!\You're holding me back!\What?! response:	You're not using this, are you?
context: Her power is resonating with the boy's!\So this is a mixed Union.\Commander, the Aquaria has powers we've never seen before!\Forbidden powers.\Master Kagura!\You're holding me back!\What?!\You're not using this, are you? response:	Please stop already!
context: So this is a mixed Union.\Commander, the Aquaria has powers we've never seen before!\Forbidden powers.\Master Kagura!\You're holding me back!\What?!\You're not using this, are you?\Please stop already! response:	The hell?
context: Commander, the Aquaria has powers we've never seen before!\Forbidden powers.\Master Kagura!\You're holding me back!\What?!\You're not using this, are you?\Please stop already!\The hell? response:	What is he?
context: Forbidden powers.\Master Kagura!\You're holding me back!\What?!\You're not using this, are you?\Please stop already!\The hell?\What is he? response:	I can smell you...
context: Master Kagura!\You're holding me back!\What?!\You're not using this, are you?\Please stop already!\The hell?\What is he?\I can smell you... response:	and I'm gonna stick my fangs into you.
context: You're holding me back!\What?!\You're not using this, are you?\Please stop already!\The hell?\What is he?\I can smell you...\and I'm gonna stick my fangs into you. response:	He stole a part from another machine!
context: What?!\You're not using this, are you?\Please stop already!\The hell?\What is he?\I can smell you...\and I'm gonna stick my fangs into you.\He stole a part from another machine! response:	He's moving like an animal... or a monster!
context: You're not using this, are you?\Please stop already!\The hell?\What is he?\I can smell you...\and I'm gonna stick my fangs into you.\He stole a part from another machine!\He's moving like an animal... or a monster! response:	No...
context: Please stop already!\The hell?\What is he?\I can smell you...\and I'm gonna stick my fangs into you.\He stole a part from another machine!\He's moving like an animal... or a monster!\No... response:	Mikono...
context: The hell?\What is he?\I can smell you...\and I'm gonna stick my fangs into you.\He stole a part from another machine!\He's moving like an animal... or a monster!\No...\Mikono... response:	No... no... no!
context: What is he?\I can smell you...\and I'm gonna stick my fangs into you.\He stole a part from another machine!\He's moving like an animal... or a monster!\No...\Mikono...\No... no... no! response:	What's with her?
context: I can smell you...\and I'm gonna stick my fangs into you.\He stole a part from another machine!\He's moving like an animal... or a monster!\No...\Mikono...\No... no... no!\What's with her? response:	She's done nothing but whine this whole time!
context: and I'm gonna stick my fangs into you.\He stole a part from another machine!\He's moving like an animal... or a monster!\No...\Mikono...\No... no... no!\What's with her?\She's done nothing but whine this whole time! response:	This is a battle! Suck it up!
context: He stole a part from another machine!\He's moving like an animal... or a monster!\No...\Mikono...\No... no... no!\What's with her?\She's done nothing but whine this whole time!\This is a battle! Suck it up! response:	Mikono's just a girl.
context: He's moving like an animal... or a monster!\No...\Mikono...\No... no... no!\What's with her?\She's done nothing but whine this whole time!\This is a battle! Suck it up!\Mikono's just a girl. response:	Can I even protect her?
context: No...\Mikono...\No... no... no!\What's with her?\She's done nothing but whine this whole time!\This is a battle! Suck it up!\Mikono's just a girl.\Can I even protect her? response:	Mikono!
context: Mikono...\No... no... no!\What's with her?\She's done nothing but whine this whole time!\This is a battle! Suck it up!\Mikono's just a girl.\Can I even protect her?\Mikono! response:	What just happened?
context: No... no... no!\What's with her?\She's done nothing but whine this whole time!\This is a battle! Suck it up!\Mikono's just a girl.\Can I even protect her?\Mikono!\What just happened? response:	Is that a funeral procession?
context: What's with her?\She's done nothing but whine this whole time!\This is a battle! Suck it up!\Mikono's just a girl.\Can I even protect her?\Mikono!\What just happened?\Is that a funeral procession? response:	The wedding in mourning clothes.
context: She's done nothing but whine this whole time!\This is a battle! Suck it up!\Mikono's just a girl.\Can I even protect her?\Mikono!\What just happened?\Is that a funeral procession?\The wedding in mourning clothes. response:	This is the dark vision I had.
context: This is a battle! Suck it up!\Mikono's just a girl.\Can I even protect her?\Mikono!\What just happened?\Is that a funeral procession?\The wedding in mourning clothes.\This is the dark vision I had. response:	A wedding?
context: Mikono's just a girl.\Can I even protect her?\Mikono!\What just happened?\Is that a funeral procession?\The wedding in mourning clothes.\This is the dark vision I had.\A wedding? response:	That's his Element power, the prophecy of despair.
context: Can I even protect her?\Mikono!\What just happened?\Is that a funeral procession?\The wedding in mourning clothes.\This is the dark vision I had.\A wedding?\That's his Element power, the prophecy of despair. response:	He foresees terrible things that will happen to those around him.
context: Mikono!\What just happened?\Is that a funeral procession?\The wedding in mourning clothes.\This is the dark vision I had.\A wedding?\That's his Element power, the prophecy of despair.\He foresees terrible things that will happen to those around him. response:	How come we can see his vision?
context: What just happened?\Is that a funeral procession?\The wedding in mourning clothes.\This is the dark vision I had.\A wedding?\That's his Element power, the prophecy of despair.\He foresees terrible things that will happen to those around him.\How come we can see his vision? response:	It's Aquarion.
context: Is that a funeral procession?\The wedding in mourning clothes.\This is the dark vision I had.\A wedding?\That's his Element power, the prophecy of despair.\He foresees terrible things that will happen to those around him.\How come we can see his vision?\It's Aquarion. response:	It has reclaimed its terrible, forbidden name,
context: The wedding in mourning clothes.\This is the dark vision I had.\A wedding?\That's his Element power, the prophecy of despair.\He foresees terrible things that will happen to those around him.\How come we can see his vision?\It's Aquarion.\It has reclaimed its terrible, forbidden name, response:	and is showing us the prophecy.
context: This is the dark vision I had.\A wedding?\That's his Element power, the prophecy of despair.\He foresees terrible things that will happen to those around him.\How come we can see his vision?\It's Aquarion.\It has reclaimed its terrible, forbidden name,\and is showing us the prophecy. response:	This is the disaster foretold in the prophecy.
context: A wedding?\That's his Element power, the prophecy of despair.\He foresees terrible things that will happen to those around him.\How come we can see his vision?\It's Aquarion.\It has reclaimed its terrible, forbidden name,\and is showing us the prophecy.\This is the disaster foretold in the prophecy. response:	The terrible Union of despair!
context: That's his Element power, the prophecy of despair.\He foresees terrible things that will happen to those around him.\How come we can see his vision?\It's Aquarion.\It has reclaimed its terrible, forbidden name,\and is showing us the prophecy.\This is the disaster foretold in the prophecy.\The terrible Union of despair! response:	Mikono?
context: He foresees terrible things that will happen to those around him.\How come we can see his vision?\It's Aquarion.\It has reclaimed its terrible, forbidden name,\and is showing us the prophecy.\This is the disaster foretold in the prophecy.\The terrible Union of despair!\Mikono? response:	Why me?
context: How come we can see his vision?\It's Aquarion.\It has reclaimed its terrible, forbidden name,\and is showing us the prophecy.\This is the disaster foretold in the prophecy.\The terrible Union of despair!\Mikono?\Why me? response:	Who is that guy? Show us your face!
context: It's Aquarion.\It has reclaimed its terrible, forbidden name,\and is showing us the prophecy.\This is the disaster foretold in the prophecy.\The terrible Union of despair!\Mikono?\Why me?\Who is that guy? Show us your face! response:	Who are you?
context: It has reclaimed its terrible, forbidden name,\and is showing us the prophecy.\This is the disaster foretold in the prophecy.\The terrible Union of despair!\Mikono?\Why me?\Who is that guy? Show us your face!\Who are you? response:	Master Kagura!
context: and is showing us the prophecy.\This is the disaster foretold in the prophecy.\The terrible Union of despair!\Mikono?\Why me?\Who is that guy? Show us your face!\Who are you?\Master Kagura! response:	I know you're in there!
context: This is the disaster foretold in the prophecy.\The terrible Union of despair!\Mikono?\Why me?\Who is that guy? Show us your face!\Who are you?\Master Kagura!\I know you're in there! response:	You smelly wench!
context: The terrible Union of despair!\Mikono?\Why me?\Who is that guy? Show us your face!\Who are you?\Master Kagura!\I know you're in there!\You smelly wench! response:	I'm going to get you!
context: Mikono?\Why me?\Who is that guy? Show us your face!\Who are you?\Master Kagura!\I know you're in there!\You smelly wench!\I'm going to get you! response:	Watch out!
context: Why me?\Who is that guy? Show us your face!\Who are you?\Master Kagura!\I know you're in there!\You smelly wench!\I'm going to get you!\Watch out! response:	This is your fault, kid!
context: Who is that guy? Show us your face!\Who are you?\Master Kagura!\I know you're in there!\You smelly wench!\I'm going to get you!\Watch out!\This is your fault, kid! response:	You caused this worthless Union!
context: Who are you?\Master Kagura!\I know you're in there!\You smelly wench!\I'm going to get you!\Watch out!\This is your fault, kid!\You caused this worthless Union! response:	You dragged Mikono in with you!
context: Master Kagura!\I know you're in there!\You smelly wench!\I'm going to get you!\Watch out!\This is your fault, kid!\You caused this worthless Union!\You dragged Mikono in with you! response:	This entire disaster is your damn fault!
context: I know you're in there!\You smelly wench!\I'm going to get you!\Watch out!\This is your fault, kid!\You caused this worthless Union!\You dragged Mikono in with you!\This entire disaster is your damn fault! response:	You're right.
context: You smelly wench!\I'm going to get you!\Watch out!\This is your fault, kid!\You caused this worthless Union!\You dragged Mikono in with you!\This entire disaster is your damn fault!\You're right. response:	It is my fault.
context: I'm going to get you!\Watch out!\This is your fault, kid!\You caused this worthless Union!\You dragged Mikono in with you!\This entire disaster is your damn fault!\You're right.\It is my fault. response:	Whenever I get excited, I fly.
context: Watch out!\This is your fault, kid!\You caused this worthless Union!\You dragged Mikono in with you!\This entire disaster is your damn fault!\You're right.\It is my fault.\Whenever I get excited, I fly. response:	This has happened ever since childhood.
context: This is your fault, kid!\You caused this worthless Union!\You dragged Mikono in with you!\This entire disaster is your damn fault!\You're right.\It is my fault.\Whenever I get excited, I fly.\This has happened ever since childhood. response:	Everyone else hates me for it.
context: You caused this worthless Union!\You dragged Mikono in with you!\This entire disaster is your damn fault!\You're right.\It is my fault.\Whenever I get excited, I fly.\This has happened ever since childhood.\Everyone else hates me for it. response:	It even took her away from me.
context: You dragged Mikono in with you!\This entire disaster is your damn fault!\You're right.\It is my fault.\Whenever I get excited, I fly.\This has happened ever since childhood.\Everyone else hates me for it.\It even took her away from me. response:	I never wanted to use my power again.
context: This entire disaster is your damn fault!\You're right.\It is my fault.\Whenever I get excited, I fly.\This has happened ever since childhood.\Everyone else hates me for it.\It even took her away from me.\I never wanted to use my power again. response:	But I wanted to protect Mikono, so...
context: You're right.\It is my fault.\Whenever I get excited, I fly.\This has happened ever since childhood.\Everyone else hates me for it.\It even took her away from me.\I never wanted to use my power again.\But I wanted to protect Mikono, so... response:	But...
context: It is my fault.\Whenever I get excited, I fly.\This has happened ever since childhood.\Everyone else hates me for it.\It even took her away from me.\I never wanted to use my power again.\But I wanted to protect Mikono, so...\But... response:	I just put her into even more danger.
context: Whenever I get excited, I fly.\This has happened ever since childhood.\Everyone else hates me for it.\It even took her away from me.\I never wanted to use my power again.\But I wanted to protect Mikono, so...\But...\I just put her into even more danger. response:	I should have known that I can't protect her.
context: This has happened ever since childhood.\Everyone else hates me for it.\It even took her away from me.\I never wanted to use my power again.\But I wanted to protect Mikono, so...\But...\I just put her into even more danger.\I should have known that I can't protect her. response:	I'm just useless.
context: Everyone else hates me for it.\It even took her away from me.\I never wanted to use my power again.\But I wanted to protect Mikono, so...\But...\I just put her into even more danger.\I should have known that I can't protect her.\I'm just useless. response:	Amata...
context: It even took her away from me.\I never wanted to use my power again.\But I wanted to protect Mikono, so...\But...\I just put her into even more danger.\I should have known that I can't protect her.\I'm just useless.\Amata... response:	Come out, you smelly wench!
context: I never wanted to use my power again.\But I wanted to protect Mikono, so...\But...\I just put her into even more danger.\I should have known that I can't protect her.\I'm just useless.\Amata...\Come out, you smelly wench! response:	Shields falling! Aquarion's not going to last much longer!
context: But I wanted to protect Mikono, so...\But...\I just put her into even more danger.\I should have known that I can't protect her.\I'm just useless.\Amata...\Come out, you smelly wench!\Shields falling! Aquarion's not going to last much longer! response:	To inherit a legend is to become a legend.
context: But...\I just put her into even more danger.\I should have known that I can't protect her.\I'm just useless.\Amata...\Come out, you smelly wench!\Shields falling! Aquarion's not going to last much longer!\To inherit a legend is to become a legend. response:	Are you prepared to do that, Amata Sora?
context: I just put her into even more danger.\I should have known that I can't protect her.\I'm just useless.\Amata...\Come out, you smelly wench!\Shields falling! Aquarion's not going to last much longer!\To inherit a legend is to become a legend.\Are you prepared to do that, Amata Sora? response:	I'm sorry.
context: I should have known that I can't protect her.\I'm just useless.\Amata...\Come out, you smelly wench!\Shields falling! Aquarion's not going to last much longer!\To inherit a legend is to become a legend.\Are you prepared to do that, Amata Sora?\I'm sorry. response:	I called us a useless pair, and said that you're like me.
context: I'm just useless.\Amata...\Come out, you smelly wench!\Shields falling! Aquarion's not going to last much longer!\To inherit a legend is to become a legend.\Are you prepared to do that, Amata Sora?\I'm sorry.\I called us a useless pair, and said that you're like me. response:	But you're amazing, Amata.
context: Amata...\Come out, you smelly wench!\Shields falling! Aquarion's not going to last much longer!\To inherit a legend is to become a legend.\Are you prepared to do that, Amata Sora?\I'm sorry.\I called us a useless pair, and said that you're like me.\But you're amazing, Amata. response:	We've only just met, but you're willing to protect me.
context: Come out, you smelly wench!\Shields falling! Aquarion's not going to last much longer!\To inherit a legend is to become a legend.\Are you prepared to do that, Amata Sora?\I'm sorry.\I called us a useless pair, and said that you're like me.\But you're amazing, Amata.\We've only just met, but you're willing to protect me. response:	Even though I'm weak, and all I ever do is cry.
context: Shields falling! Aquarion's not going to last much longer!\To inherit a legend is to become a legend.\Are you prepared to do that, Amata Sora?\I'm sorry.\I called us a useless pair, and said that you're like me.\But you're amazing, Amata.\We've only just met, but you're willing to protect me.\Even though I'm weak, and all I ever do is cry. response:	Mikono...
context: To inherit a legend is to become a legend.\Are you prepared to do that, Amata Sora?\I'm sorry.\I called us a useless pair, and said that you're like me.\But you're amazing, Amata.\We've only just met, but you're willing to protect me.\Even though I'm weak, and all I ever do is cry.\Mikono... response:	Thank you.
context: Are you prepared to do that, Amata Sora?\I'm sorry.\I called us a useless pair, and said that you're like me.\But you're amazing, Amata.\We've only just met, but you're willing to protect me.\Even though I'm weak, and all I ever do is cry.\Mikono...\Thank you. response:	And I'm sorry.
context: I'm sorry.\I called us a useless pair, and said that you're like me.\But you're amazing, Amata.\We've only just met, but you're willing to protect me.\Even though I'm weak, and all I ever do is cry.\Mikono...\Thank you.\And I'm sorry. response:	Thank you.
context: I called us a useless pair, and said that you're like me.\But you're amazing, Amata.\We've only just met, but you're willing to protect me.\Even though I'm weak, and all I ever do is cry.\Mikono...\Thank you.\And I'm sorry.\Thank you. response:	Mikono's hand...
context: But you're amazing, Amata.\We've only just met, but you're willing to protect me.\Even though I'm weak, and all I ever do is cry.\Mikono...\Thank you.\And I'm sorry.\Thank you.\Mikono's hand... response:	It's small...
context: We've only just met, but you're willing to protect me.\Even though I'm weak, and all I ever do is cry.\Mikono...\Thank you.\And I'm sorry.\Thank you.\Mikono's hand...\It's small... response:	Smooth...
context: Even though I'm weak, and all I ever do is cry.\Mikono...\Thank you.\And I'm sorry.\Thank you.\Mikono's hand...\It's small...\Smooth... response:	Warm...
context: Mikono...\Thank you.\And I'm sorry.\Thank you.\Mikono's hand...\It's small...\Smooth...\Warm... response:	And soft!
context: Thank you.\And I'm sorry.\Thank you.\Mikono's hand...\It's small...\Smooth...\Warm...\And soft! response:	What the...
context: And I'm sorry.\Thank you.\Mikono's hand...\It's small...\Smooth...\Warm...\And soft!\What the... response:	No way!
context: Thank you.\Mikono's hand...\It's small...\Smooth...\Warm...\And soft!\What the...\No way! response:	Aquarion is... flying!
context: Mikono's hand...\It's small...\Smooth...\Warm...\And soft!\What the...\No way!\Aquarion is... flying! response:	That acceleration isn't all coming from Aquarion!
context: It's small...\Smooth...\Warm...\And soft!\What the...\No way!\Aquarion is... flying!\That acceleration isn't all coming from Aquarion! response:	They're almost into orbit!
context: Smooth...\Warm...\And soft!\What the...\No way!\Aquarion is... flying!\That acceleration isn't all coming from Aquarion!\They're almost into orbit! response:	It must be that boy's Element Power!
context: Warm...\And soft!\What the...\No way!\Aquarion is... flying!\That acceleration isn't all coming from Aquarion!\They're almost into orbit!\It must be that boy's Element Power! response:	Whoa!
context: And soft!\What the...\No way!\Aquarion is... flying!\That acceleration isn't all coming from Aquarion!\They're almost into orbit!\It must be that boy's Element Power!\Whoa! response:	Is he dead yet?
context: What the...\No way!\Aquarion is... flying!\That acceleration isn't all coming from Aquarion!\They're almost into orbit!\It must be that boy's Element Power!\Whoa!\Is he dead yet? response:	Damn you!
context: No way!\Aquarion is... flying!\That acceleration isn't all coming from Aquarion!\They're almost into orbit!\It must be that boy's Element Power!\Whoa!\Is he dead yet?\Damn you! response:	A Dimension Gate!
context: Aquarion is... flying!\That acceleration isn't all coming from Aquarion!\They're almost into orbit!\It must be that boy's Element Power!\Whoa!\Is he dead yet?\Damn you!\A Dimension Gate! response:	Kagura.
context: That acceleration isn't all coming from Aquarion!\They're almost into orbit!\It must be that boy's Element Power!\Whoa!\Is he dead yet?\Damn you!\A Dimension Gate!\Kagura. response:	I'm sorry, but you're out of time.
context: They're almost into orbit!\It must be that boy's Element Power!\Whoa!\Is he dead yet?\Damn you!\A Dimension Gate!\Kagura.\I'm sorry, but you're out of time. response:	Izumo! But I...
context: It must be that boy's Element Power!\Whoa!\Is he dead yet?\Damn you!\A Dimension Gate!\Kagura.\I'm sorry, but you're out of time.\Izumo! But I... response:	Can still fight? This is no time for jokes.
context: Whoa!\Is he dead yet?\Damn you!\A Dimension Gate!\Kagura.\I'm sorry, but you're out of time.\Izumo! But I...\Can still fight? This is no time for jokes. response:	Just admit you've lost and come back already.
context: Is he dead yet?\Damn you!\A Dimension Gate!\Kagura.\I'm sorry, but you're out of time.\Izumo! But I...\Can still fight? This is no time for jokes.\Just admit you've lost and come back already. response:	Fine!
context: Damn you!\A Dimension Gate!\Kagura.\I'm sorry, but you're out of time.\Izumo! But I...\Can still fight? This is no time for jokes.\Just admit you've lost and come back already.\Fine! response:	Hey!
context: A Dimension Gate!\Kagura.\I'm sorry, but you're out of time.\Izumo! But I...\Can still fight? This is no time for jokes.\Just admit you've lost and come back already.\Fine!\Hey! response:	Amata?
context: Kagura.\I'm sorry, but you're out of time.\Izumo! But I...\Can still fight? This is no time for jokes.\Just admit you've lost and come back already.\Fine!\Hey!\Amata? response:	Amata!
context: I'm sorry, but you're out of time.\Izumo! But I...\Can still fight? This is no time for jokes.\Just admit you've lost and come back already.\Fine!\Hey!\Amata?\Amata! response:	Cayenne!
context: Izumo! But I...\Can still fight? This is no time for jokes.\Just admit you've lost and come back already.\Fine!\Hey!\Amata?\Amata!\Cayenne! response:	Amata!
context: Can still fight? This is no time for jokes.\Just admit you've lost and come back already.\Fine!\Hey!\Amata?\Amata!\Cayenne!\Amata! response:	You're not nearly good enough for Mikono.
context: Just admit you've lost and come back already.\Fine!\Hey!\Amata?\Amata!\Cayenne!\Amata!\You're not nearly good enough for Mikono. response:	Cayenne. Zessica.
context: Fine!\Hey!\Amata?\Amata!\Cayenne!\Amata!\You're not nearly good enough for Mikono.\Cayenne. Zessica. response:	Bring the boy and girl back to base.
context: Hey!\Amata?\Amata!\Cayenne!\Amata!\You're not nearly good enough for Mikono.\Cayenne. Zessica.\Bring the boy and girl back to base. response:	Roger on the boy, but the girl's useless to us.
context: Amata?\Amata!\Cayenne!\Amata!\You're not nearly good enough for Mikono.\Cayenne. Zessica.\Bring the boy and girl back to base.\Roger on the boy, but the girl's useless to us. response:	We can't just let someone who has been inside Aquarion leave.
context: Amata!\Cayenne!\Amata!\You're not nearly good enough for Mikono.\Cayenne. Zessica.\Bring the boy and girl back to base.\Roger on the boy, but the girl's useless to us.\We can't just let someone who has been inside Aquarion leave. response:	Fine.
context: Cayenne!\Amata!\You're not nearly good enough for Mikono.\Cayenne. Zessica.\Bring the boy and girl back to base.\Roger on the boy, but the girl's useless to us.\We can't just let someone who has been inside Aquarion leave.\Fine. response:	I finally found...
context: Amata!\You're not nearly good enough for Mikono.\Cayenne. Zessica.\Bring the boy and girl back to base.\Roger on the boy, but the girl's useless to us.\We can't just let someone who has been inside Aquarion leave.\Fine.\I finally found... response:	the one person who'll wait for me.
context: You're not nearly good enough for Mikono.\Cayenne. Zessica.\Bring the boy and girl back to base.\Roger on the boy, but the girl's useless to us.\We can't just let someone who has been inside Aquarion leave.\Fine.\I finally found...\the one person who'll wait for me. response:	Perhaps that flying boy is...
context: Cayenne. Zessica.\Bring the boy and girl back to base.\Roger on the boy, but the girl's useless to us.\We can't just let someone who has been inside Aquarion leave.\Fine.\I finally found...\the one person who'll wait for me.\Perhaps that flying boy is... response:	No, he couldn't be.
context: Bring the boy and girl back to base.\Roger on the boy, but the girl's useless to us.\We can't just let someone who has been inside Aquarion leave.\Fine.\I finally found...\the one person who'll wait for me.\Perhaps that flying boy is...\No, he couldn't be. response:	The wild child's back.
context: Roger on the boy, but the girl's useless to us.\We can't just let someone who has been inside Aquarion leave.\Fine.\I finally found...\the one person who'll wait for me.\Perhaps that flying boy is...\No, he couldn't be.\The wild child's back. response:	Jin.
context: We can't just let someone who has been inside Aquarion leave.\Fine.\I finally found...\the one person who'll wait for me.\Perhaps that flying boy is...\No, he couldn't be.\The wild child's back.\Jin. response:	What did you do to my Gnis?
