context: I wonder if I'm useful to the Aria Company? response:	What's with you all of a sudden?
context: For some, it's a job to be proud of.\For some, it's a place to train.\All of them, moving forward along their chosen paths...\The path to becoming a Prima may be difficult,\but I'll continue to move forward, as well.\No matter how far it is, I'll keep moving forward.\I'm back!\I'm back, President Aria. response:	Alicia, I just got back!
context: For some, it's a place to train.\All of them, moving forward along their chosen paths...\The path to becoming a Prima may be difficult,\but I'll continue to move forward, as well.\No matter how far it is, I'll keep moving forward.\I'm back!\I'm back, President Aria.\Alicia, I just got back! response:	How was it?
context: All of them, moving forward along their chosen paths...\The path to becoming a Prima may be difficult,\but I'll continue to move forward, as well.\No matter how far it is, I'll keep moving forward.\I'm back!\I'm back, President Aria.\Alicia, I just got back!\How was it? response:	It was really fun!
context: The path to becoming a Prima may be difficult,\but I'll continue to move forward, as well.\No matter how far it is, I'll keep moving forward.\I'm back!\I'm back, President Aria.\Alicia, I just got back!\How was it?\It was really fun! response:	You sculled a traghetto, huh? I'd like to give it a ride.
context: but I'll continue to move forward, as well.\No matter how far it is, I'll keep moving forward.\I'm back!\I'm back, President Aria.\Alicia, I just got back!\How was it?\It was really fun!\You sculled a traghetto, huh? I'd like to give it a ride. response:	Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!
context: No matter how far it is, I'll keep moving forward.\I'm back!\I'm back, President Aria.\Alicia, I just got back!\How was it?\It was really fun!\You sculled a traghetto, huh? I'd like to give it a ride.\Ah, but I'm looking forward to riding in your gondola when you're a Prima, too! response:	A shore awash in golden waves Kin no nami kishibe ni
context: I'm back!\I'm back, President Aria.\Alicia, I just got back!\How was it?\It was really fun!\You sculled a traghetto, huh? I'd like to give it a ride.\Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: I'm back, President Aria.\Alicia, I just got back!\How was it?\It was really fun!\You sculled a traghetto, huh? I'd like to give it a ride.\Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki
context: Alicia, I just got back!\How was it?\It was really fun!\You sculled a traghetto, huh? I'd like to give it a ride.\Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki response:	Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru
context: How was it?\It was really fun!\You sculled a traghetto, huh? I'd like to give it a ride.\Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru response:	A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai
context: It was really fun!\You sculled a traghetto, huh? I'd like to give it a ride.\Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai response:	I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete
context: You sculled a traghetto, huh? I'd like to give it a ride.\Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete response:	The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima
context: Ah, but I'm looking forward to riding in your gondola when you're a Prima, too!\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima response:	A shore awash in golden waves Kin no nami kishibe ni
context: A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni response:	Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni
context: Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni\As my thoughts focus intently on someone, Dareka no koto o tsuyoku omou toki\Love rests on my palm, held high Kakageta te no hira ni ai ga tomaru\A future guided by the flow of water and wind Mizu no yukue to kaze ga shimesu mirai\I gaze at the hope that surrounds this world Kono hoshi o tsusumu kibou mitsumete\The distant clouds of light are beckoning now Tooi kumo hikari ga sasou you ni yureru ima\A shore awash in golden waves Kin no nami kishibe ni\Filled with yearning, I open my eyes and it's morning Akogare mezameru no asa ni response:	And my day begins Hajimaru
