context: I'm taking you off this case, Kougami. response:	The body was eroded by a special kind of chemical.
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	No service
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service response:	No service
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service response:	Una ble to access network
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network response:	Una ble to access network
context: No service\No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network response:	The hunt is up, the morn is bright and grey,
context: No service\Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\The hunt is up, the morn is bright and grey, response:	Uncouple here and let us make a bay.
context: Una ble to access network\Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\The hunt is up, the morn is bright and grey,\Uncouple here and let us make a bay. response:	They told me, here, at dead time of the night,
context: Una ble to access network\No service\No service\Una ble to access network\Una ble to access network\The hunt is up, the morn is bright and grey,\Uncouple here and let us make a bay.\They told me, here, at dead time of the night, response:	A thousand fiends, a thousand hissing snakes,
context: No service\No service\Una ble to access network\Una ble to access network\The hunt is up, the morn is bright and grey,\Uncouple here and let us make a bay.\They told me, here, at dead time of the night,\A thousand fiends, a thousand hissing snakes, response:	Ten thousand swelling toads, as many urchins,
context: No service\Una ble to access network\Una ble to access network\The hunt is up, the morn is bright and grey,\Uncouple here and let us make a bay.\They told me, here, at dead time of the night,\A thousand fiends, a thousand hissing snakes,\Ten thousand swelling toads, as many urchins, response:	Would make such fearful and confused cries.
context: Una ble to access network\Una ble to access network\The hunt is up, the morn is bright and grey,\Uncouple here and let us make a bay.\They told me, here, at dead time of the night,\A thousand fiends, a thousand hissing snakes,\Ten thousand swelling toads, as many urchins,\Would make such fearful and confused cries. response:	Listen, fair madam: let it be your glory
context: Una ble to access network\The hunt is up, the morn is bright and grey,\Uncouple here and let us make a bay.\They told me, here, at dead time of the night,\A thousand fiends, a thousand hissing snakes,\Ten thousand swelling toads, as many urchins,\Would make such fearful and confused cries.\Listen, fair madam: let it be your glory response:	To see her tears; but be your heart to them
context: The hunt is up, the morn is bright and grey,\Uncouple here and let us make a bay.\They told me, here, at dead time of the night,\A thousand fiends, a thousand hissing snakes,\Ten thousand swelling toads, as many urchins,\Would make such fearful and confused cries.\Listen, fair madam: let it be your glory\To see her tears; but be your heart to them response:	As unrelenting flint to drops of rain.
context: Uncouple here and let us make a bay.\They told me, here, at dead time of the night,\A thousand fiends, a thousand hissing snakes,\Ten thousand swelling toads, as many urchins,\Would make such fearful and confused cries.\Listen, fair madam: let it be your glory\To see her tears; but be your heart to them\As unrelenting flint to drops of rain. response:	Oryou Rouichi
context: They told me, here, at dead time of the night,\A thousand fiends, a thousand hissing snakes,\Ten thousand swelling toads, as many urchins,\Would make such fearful and confused cries.\Listen, fair madam: let it be your glory\To see her tears; but be your heart to them\As unrelenting flint to drops of rain.\Oryou Rouichi response:	Oryou Rouichi
context: A thousand fiends, a thousand hissing snakes,\Ten thousand swelling toads, as many urchins,\Would make such fearful and confused cries.\Listen, fair madam: let it be your glory\To see her tears; but be your heart to them\As unrelenting flint to drops of rain.\Oryou Rouichi\Oryou Rouichi response:	No service
context: Ten thousand swelling toads, as many urchins,\Would make such fearful and confused cries.\Listen, fair madam: let it be your glory\To see her tears; but be your heart to them\As unrelenting flint to drops of rain.\Oryou Rouichi\Oryou Rouichi\No service response:	No service
context: Would make such fearful and confused cries.\Listen, fair madam: let it be your glory\To see her tears; but be your heart to them\As unrelenting flint to drops of rain.\Oryou Rouichi\Oryou Rouichi\No service\No service response:	Oryou Rouichi
context: Listen, fair madam: let it be your glory\To see her tears; but be your heart to them\As unrelenting flint to drops of rain.\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi response:	Oryou Rouichi
context: To see her tears; but be your heart to them\As unrelenting flint to drops of rain.\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi response:	No service
context: As unrelenting flint to drops of rain.\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service response:	No service
context: Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service response:	Oryou Rouichi
context: Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi response:	Oryou Rouichi
context: No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi response:	No service
context: No service\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service response:	No service
context: Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service response:	Oryou Rouichi
context: Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi response:	Oryou Rouichi
context: No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi response:	No service
context: No service\Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service response:	No service
context: Oryou Rouichi\Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service response:	So, now go tell, an if thy tongue can speak,
context: Oryou Rouichi\No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service\So, now go tell, an if thy tongue can speak, response:	Who'twas that cut thy tongue and ravish'd thee.
context: No service\No service\Oryou Rouichi\Oryou Rouichi\No service\No service\So, now go tell, an if thy tongue can speak,\Who'twas that cut thy tongue and ravish'd thee. response:	Write down thy mind, bewray thy meaning so,
context: No service\Oryou Rouichi\Oryou Rouichi\No service\No service\So, now go tell, an if thy tongue can speak,\Who'twas that cut thy tongue and ravish'd thee.\Write down thy mind, bewray thy meaning so, response:	An if thy stumps will let thee play the scribe.
context: Oryou Rouichi\Oryou Rouichi\No service\No service\So, now go tell, an if thy tongue can speak,\Who'twas that cut thy tongue and ravish'd thee.\Write down thy mind, bewray thy meaning so,\An if thy stumps will let thee play the scribe. response:	You too will be discarded one day when Mr. Makishima gets bored of you.
context: Oryou Rouichi\No service\No service\So, now go tell, an if thy tongue can speak,\Who'twas that cut thy tongue and ravish'd thee.\Write down thy mind, bewray thy meaning so,\An if thy stumps will let thee play the scribe.\You too will be discarded one day when Mr. Makishima gets bored of you. response:	You don't have to worry about that.
context: No service\No service\So, now go tell, an if thy tongue can speak,\Who'twas that cut thy tongue and ravish'd thee.\Write down thy mind, bewray thy meaning so,\An if thy stumps will let thee play the scribe.\You too will be discarded one day when Mr. Makishima gets bored of you.\You don't have to worry about that. response:	It seems that you were a fox cub providing entertainment,
context: No service\So, now go tell, an if thy tongue can speak,\Who'twas that cut thy tongue and ravish'd thee.\Write down thy mind, bewray thy meaning so,\An if thy stumps will let thee play the scribe.\You too will be discarded one day when Mr. Makishima gets bored of you.\You don't have to worry about that.\It seems that you were a fox cub providing entertainment, response:	but just like him, I'm one of the players who enjoy the entertainment.
context: So, now go tell, an if thy tongue can speak,\Who'twas that cut thy tongue and ravish'd thee.\Write down thy mind, bewray thy meaning so,\An if thy stumps will let thee play the scribe.\You too will be discarded one day when Mr. Makishima gets bored of you.\You don't have to worry about that.\It seems that you were a fox cub providing entertainment,\but just like him, I'm one of the players who enjoy the entertainment. response:	Her life was beast-like, and devoid of pity;
context: Who'twas that cut thy tongue and ravish'd thee.\Write down thy mind, bewray thy meaning so,\An if thy stumps will let thee play the scribe.\You too will be discarded one day when Mr. Makishima gets bored of you.\You don't have to worry about that.\It seems that you were a fox cub providing entertainment,\but just like him, I'm one of the players who enjoy the entertainment.\Her life was beast-like, and devoid of pity; response:	And, being so, shall have like want of pity.
context: Write down thy mind, bewray thy meaning so,\An if thy stumps will let thee play the scribe.\You too will be discarded one day when Mr. Makishima gets bored of you.\You don't have to worry about that.\It seems that you were a fox cub providing entertainment,\but just like him, I'm one of the players who enjoy the entertainment.\Her life was beast-like, and devoid of pity;\And, being so, shall have like want of pity. response:	Was that okay? You really liked her, right?
context: An if thy stumps will let thee play the scribe.\You too will be discarded one day when Mr. Makishima gets bored of you.\You don't have to worry about that.\It seems that you were a fox cub providing entertainment,\but just like him, I'm one of the players who enjoy the entertainment.\Her life was beast-like, and devoid of pity;\And, being so, shall have like want of pity.\Was that okay? You really liked her, right? response:	Yeah... but I found a more interesting toy.
context: You too will be discarded one day when Mr. Makishima gets bored of you.\You don't have to worry about that.\It seems that you were a fox cub providing entertainment,\but just like him, I'm one of the players who enjoy the entertainment.\Her life was beast-like, and devoid of pity;\And, being so, shall have like want of pity.\Was that okay? You really liked her, right?\Yeah... but I found a more interesting toy. response:	I'd like you to gather some information.
context: You don't have to worry about that.\It seems that you were a fox cub providing entertainment,\but just like him, I'm one of the players who enjoy the entertainment.\Her life was beast-like, and devoid of pity;\And, being so, shall have like want of pity.\Was that okay? You really liked her, right?\Yeah... but I found a more interesting toy.\I'd like you to gather some information. response:	Look into the man from the Bureau who visited this afternoon.
context: It seems that you were a fox cub providing entertainment,\but just like him, I'm one of the players who enjoy the entertainment.\Her life was beast-like, and devoid of pity;\And, being so, shall have like want of pity.\Was that okay? You really liked her, right?\Yeah... but I found a more interesting toy.\I'd like you to gather some information.\Look into the man from the Bureau who visited this afternoon. response:	He's probably an Enforcer.
context: but just like him, I'm one of the players who enjoy the entertainment.\Her life was beast-like, and devoid of pity;\And, being so, shall have like want of pity.\Was that okay? You really liked her, right?\Yeah... but I found a more interesting toy.\I'd like you to gather some information.\Look into the man from the Bureau who visited this afternoon.\He's probably an Enforcer. response:	It seems his name is Kougami.
context: Her life was beast-like, and devoid of pity;\And, being so, shall have like want of pity.\Was that okay? You really liked her, right?\Yeah... but I found a more interesting toy.\I'd like you to gather some information.\Look into the man from the Bureau who visited this afternoon.\He's probably an Enforcer.\It seems his name is Kougami. response:	That's quite an unusual guy you've set your sights on.
context: And, being so, shall have like want of pity.\Was that okay? You really liked her, right?\Yeah... but I found a more interesting toy.\I'd like you to gather some information.\Look into the man from the Bureau who visited this afternoon.\He's probably an Enforcer.\It seems his name is Kougami.\That's quite an unusual guy you've set your sights on. response:	Yeah.
context: Was that okay? You really liked her, right?\Yeah... but I found a more interesting toy.\I'd like you to gather some information.\Look into the man from the Bureau who visited this afternoon.\He's probably an Enforcer.\It seems his name is Kougami.\That's quite an unusual guy you've set your sights on.\Yeah. response:	His insight and ability to grasp the truth is most fascinating.
context: Yeah... but I found a more interesting toy.\I'd like you to gather some information.\Look into the man from the Bureau who visited this afternoon.\He's probably an Enforcer.\It seems his name is Kougami.\That's quite an unusual guy you've set your sights on.\Yeah.\His insight and ability to grasp the truth is most fascinating. response:	I get the feeling he'll be very entertaining indeed.
context: I'd like you to gather some information.\Look into the man from the Bureau who visited this afternoon.\He's probably an Enforcer.\It seems his name is Kougami.\That's quite an unusual guy you've set your sights on.\Yeah.\His insight and ability to grasp the truth is most fascinating.\I get the feeling he'll be very entertaining indeed. response:	It seems all fairy tales are dead
context: Look into the man from the Bureau who visited this afternoon.\He's probably an Enforcer.\It seems his name is Kougami.\That's quite an unusual guy you've set your sights on.\Yeah.\His insight and ability to grasp the truth is most fascinating.\I get the feeling he'll be very entertaining indeed.\It seems all fairy tales are dead response:	It seems all fairy tales are dead
context: He's probably an Enforcer.\It seems his name is Kougami.\That's quite an unusual guy you've set your sights on.\Yeah.\His insight and ability to grasp the truth is most fascinating.\I get the feeling he'll be very entertaining indeed.\It seems all fairy tales are dead\It seems all fairy tales are dead response:	In a hospital ward of brick stones
context: It seems his name is Kougami.\That's quite an unusual guy you've set your sights on.\Yeah.\His insight and ability to grasp the truth is most fascinating.\I get the feeling he'll be very entertaining indeed.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones response:	my voice is too coarse to sing
context: That's quite an unusual guy you've set your sights on.\Yeah.\His insight and ability to grasp the truth is most fascinating.\I get the feeling he'll be very entertaining indeed.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing response:	Outside in the foggy haze
context: Yeah.\His insight and ability to grasp the truth is most fascinating.\I get the feeling he'll be very entertaining indeed.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze response:	a red moon glows
context: His insight and ability to grasp the truth is most fascinating.\I get the feeling he'll be very entertaining indeed.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows response:	Look at me
context: I get the feeling he'll be very entertaining indeed.\It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me response:	Do not avert your gaze
context: It seems all fairy tales are dead\It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze response:	Behind black bars
context: It seems all fairy tales are dead\In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars response:	I was born
context: In a hospital ward of brick stones\my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born response:	I wish there were a punishment for evil
context: my voice is too coarse to sing\Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil response:	Always I need you
context: Outside in the foggy haze\a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you response:	Now, grant us justice
context: a red moon glows\Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice response:	before chaos takes us all
context: Look at me\Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all response:	Pay the price of fate and be rewarded, nameless beast
context: Do not avert your gaze\Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast response:	Black rain falls from the sky
context: Behind black bars\I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky response:	and I remain forever unwanted
context: I was born\I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted response:	My crazed neurosis
context: I wish there were a punishment for evil\Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis response:	pulls me towards the sinful hellfire
context: Always I need you\Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis\pulls me towards the sinful hellfire response:	Now, mete out justice
context: Now, grant us justice\before chaos takes us all\Pay the price of fate and be rewarded, nameless beast\Black rain falls from the sky\and I remain forever unwanted\My crazed neurosis\pulls me towards the sinful hellfire\Now, mete out justice response:	Even my ever-bleeding wounds shall be my friend
