context: I think we should use the same members we've been using for the next match. response:	I think we should go without Desktomu-kun.
context: But...\They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun. response:	First Akashi Girls', Yuube-san.
context: They probably went with the same order every match\as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san. response:	Good, all according to plan!
context: as preparation for the strong teams they'll face from here on.\They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan! response:	Mizusawa High School, Oe-san.
context: They'll switch it up once they face a strong team.\So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san. response:	First Akashi Girls', Hayasaka-san.
context: So the question is whether Akashi thinks we're good enough.\I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san. response:	All according to plan!
context: I will begin reading the order for\Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan! response:	Mizusawa High School, Ayase-san.
context: Mizusawa High School versus First Akashi Girls' High School.\Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san. response:	First Akashi Girls', Ousaka-san.
context: Mizusawa High School, Nishida-kun.\First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san. response:	All according to plan!
context: First Akashi Girls', Yuube-san.\Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan! response:	Mizusawa High School, Mashima-kun.
context: Good, all according to plan!\Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun. response:	First Akashi Girls', Nanase-san.
context: Mizusawa High School, Oe-san.\First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san. response:	Mizusawa High School, Komano-kun.
context: First Akashi Girls', Hayasaka-san.\All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun. response:	First Akashi Girls', Tanimura-san.
context: All according to plan!\Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san. response:	It's so exactly according to our plan,
context: Mizusawa High School, Ayase-san.\First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan, response:	it's kind of sad...
context: First Akashi Girls', Ousaka-san.\All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad... response:	Are they looking ahead to the finals?
context: All according to plan!\Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals? response:	They don't respect us?
context: Mizusawa High School, Mashima-kun.\First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals?\They don't respect us? response:	Or perhaps...
context: First Akashi Girls', Nanase-san.\Mizusawa High School, Komano-kun.\First Akashi Girls', Tanimura-san.\It's so exactly according to our plan,\it's kind of sad...\Are they looking ahead to the finals?\They don't respect us?\Or perhaps... response:	they have absolute faith that their ace will win?
