context: Wow, their level's really going up... response:	That's just what I'd expect to see from the Black Sword Knights,
context: It's difficult.\There's a facility in Shibuya for that, though.\I'm aware.\The remains of the Shibuya TV station,\the one communications facility in Yamato.\I investigated it before, but it's nonfunctional, right?\But while I investigated the gates, there was a slight signal from it.\Do you suppose it may still be functioning? response:	A signal?
context: There's a facility in Shibuya for that, though.\I'm aware.\The remains of the Shibuya TV station,\the one communications facility in Yamato.\I investigated it before, but it's nonfunctional, right?\But while I investigated the gates, there was a slight signal from it.\Do you suppose it may still be functioning?\A signal? response:	Hey, villain!
context: I'm aware.\The remains of the Shibuya TV station,\the one communications facility in Yamato.\I investigated it before, but it's nonfunctional, right?\But while I investigated the gates, there was a slight signal from it.\Do you suppose it may still be functioning?\A signal?\Hey, villain! response:	What's going on?
context: The remains of the Shibuya TV station,\the one communications facility in Yamato.\I investigated it before, but it's nonfunctional, right?\But while I investigated the gates, there was a slight signal from it.\Do you suppose it may still be functioning?\A signal?\Hey, villain!\What's going on? response:	Everyone's collapsing!
context: the one communications facility in Yamato.\I investigated it before, but it's nonfunctional, right?\But while I investigated the gates, there was a slight signal from it.\Do you suppose it may still be functioning?\A signal?\Hey, villain!\What's going on?\Everyone's collapsing! response:	What's this about?
context: I investigated it before, but it's nonfunctional, right?\But while I investigated the gates, there was a slight signal from it.\Do you suppose it may still be functioning?\A signal?\Hey, villain!\What's going on?\Everyone's collapsing!\What's this about? response:	What do you mean?
context: But while I investigated the gates, there was a slight signal from it.\Do you suppose it may still be functioning?\A signal?\Hey, villain!\What's going on?\Everyone's collapsing!\What's this about?\What do you mean? response:	Explain
context: Do you suppose it may still be functioning?\A signal?\Hey, villain!\What's going on?\Everyone's collapsing!\What's this about?\What do you mean?\Explain response:	Shiroe! Trouble!
context: A signal?\Hey, villain!\What's going on?\Everyone's collapsing!\What's this about?\What do you mean?\Explain\Shiroe! Trouble! response:	The city of Akihabara...
context: Hey, villain!\What's going on?\Everyone's collapsing!\What's this about?\What do you mean?\Explain\Shiroe! Trouble!\The city of Akihabara... response:	The people fall asleep and will not wake.
context: What's going on?\Everyone's collapsing!\What's this about?\What do you mean?\Explain\Shiroe! Trouble!\The city of Akihabara...\The people fall asleep and will not wake. response:	At night, a black shadow covers the moon.
context: Everyone's collapsing!\What's this about?\What do you mean?\Explain\Shiroe! Trouble!\The city of Akihabara...\The people fall asleep and will not wake.\At night, a black shadow covers the moon. response:	The town of Shibuya has become a raid zone, filled with monsters.
context: What's this about?\What do you mean?\Explain\Shiroe! Trouble!\The city of Akihabara...\The people fall asleep and will not wake.\At night, a black shadow covers the moon.\The town of Shibuya has become a raid zone, filled with monsters. response:	Is someone preventing them from returning to the real world?
context: What do you mean?\Explain\Shiroe! Trouble!\The city of Akihabara...\The people fall asleep and will not wake.\At night, a black shadow covers the moon.\The town of Shibuya has become a raid zone, filled with monsters.\Is someone preventing them from returning to the real world? response:	Shiroe begins the battle.
context: Explain\Shiroe! Trouble!\The city of Akihabara...\The people fall asleep and will not wake.\At night, a black shadow covers the moon.\The town of Shibuya has become a raid zone, filled with monsters.\Is someone preventing them from returning to the real world?\Shiroe begins the battle. response:	But there is an uncertainty within him.
context: Shiroe! Trouble!\The city of Akihabara...\The people fall asleep and will not wake.\At night, a black shadow covers the moon.\The town of Shibuya has become a raid zone, filled with monsters.\Is someone preventing them from returning to the real world?\Shiroe begins the battle.\But there is an uncertainty within him. response:	Next time: Sleep of the Eternal Moth.
context: The city of Akihabara...\The people fall asleep and will not wake.\At night, a black shadow covers the moon.\The town of Shibuya has become a raid zone, filled with monsters.\Is someone preventing them from returning to the real world?\Shiroe begins the battle.\But there is an uncertainty within him.\Next time: Sleep of the Eternal Moth. response:	Sleep of the Eternal Moth
context: The people fall asleep and will not wake.\At night, a black shadow covers the moon.\The town of Shibuya has become a raid zone, filled with monsters.\Is someone preventing them from returning to the real world?\Shiroe begins the battle.\But there is an uncertainty within him.\Next time: Sleep of the Eternal Moth.\Sleep of the Eternal Moth response:	I have friends to run with me.
