context: STAFF ROOM response:	A meeting of delegates?
context: This world of sleep belongs to us.\Leave here at once!\Avalon Smasher!\Mjolnir Hammer!\Disqualified!\I am the Dark Flame Master.\Be enveloped in the flames of darkness...\Disqualified! response:	Why does it always have to be me?!
context: Leave here at once!\Avalon Smasher!\Mjolnir Hammer!\Disqualified!\I am the Dark Flame Master.\Be enveloped in the flames of darkness...\Disqualified!\Why does it always have to be me?! response:	I got a cramp in my leg!
context: Avalon Smasher!\Mjolnir Hammer!\Disqualified!\I am the Dark Flame Master.\Be enveloped in the flames of darkness...\Disqualified!\Why does it always have to be me?!\I got a cramp in my leg! response:	Disqualified!
context: Mjolnir Hammer!\Disqualified!\I am the Dark Flame Master.\Be enveloped in the flames of darkness...\Disqualified!\Why does it always have to be me?!\I got a cramp in my leg!\Disqualified! response:	Who's left?
context: Disqualified!\I am the Dark Flame Master.\Be enveloped in the flames of darkness...\Disqualified!\Why does it always have to be me?!\I got a cramp in my leg!\Disqualified!\Who's left? response:	Just those two.
context: I am the Dark Flame Master.\Be enveloped in the flames of darkness...\Disqualified!\Why does it always have to be me?!\I got a cramp in my leg!\Disqualified!\Who's left?\Just those two. response:	The Non-REM killer technique: Circadian Rhythm Destroyer!
context: Be enveloped in the flames of darkness...\Disqualified!\Why does it always have to be me?!\I got a cramp in my leg!\Disqualified!\Who's left?\Just those two.\The Non-REM killer technique: Circadian Rhythm Destroyer! response:	The Non-REM Killer Technique: Circadian Rhythm Destroyer
context: Disqualified!\Why does it always have to be me?!\I got a cramp in my leg!\Disqualified!\Who's left?\Just those two.\The Non-REM killer technique: Circadian Rhythm Destroyer!\The Non-REM Killer Technique: Circadian Rhythm Destroyer response:	Destiny Ring!
context: Why does it always have to be me?!\I got a cramp in my leg!\Disqualified!\Who's left?\Just those two.\The Non-REM killer technique: Circadian Rhythm Destroyer!\The Non-REM Killer Technique: Circadian Rhythm Destroyer\Destiny Ring! response:	Destiny Ring
context: I got a cramp in my leg!\Disqualified!\Who's left?\Just those two.\The Non-REM killer technique: Circadian Rhythm Destroyer!\The Non-REM Killer Technique: Circadian Rhythm Destroyer\Destiny Ring!\Destiny Ring response:	But why?
context: Disqualified!\Who's left?\Just those two.\The Non-REM killer technique: Circadian Rhythm Destroyer!\The Non-REM Killer Technique: Circadian Rhythm Destroyer\Destiny Ring!\Destiny Ring\But why? response:	You could take that incredible power
context: Who's left?\Just those two.\The Non-REM killer technique: Circadian Rhythm Destroyer!\The Non-REM Killer Technique: Circadian Rhythm Destroyer\Destiny Ring!\Destiny Ring\But why?\You could take that incredible power response:	and aim for the world title if you were serious!
context: Just those two.\The Non-REM killer technique: Circadian Rhythm Destroyer!\The Non-REM Killer Technique: Circadian Rhythm Destroyer\Destiny Ring!\Destiny Ring\But why?\You could take that incredible power\and aim for the world title if you were serious! response:	The truth is, I like that place.
context: The Non-REM killer technique: Circadian Rhythm Destroyer!\The Non-REM Killer Technique: Circadian Rhythm Destroyer\Destiny Ring!\Destiny Ring\But why?\You could take that incredible power\and aim for the world title if you were serious!\The truth is, I like that place. response:	What is this?
context: The Non-REM Killer Technique: Circadian Rhythm Destroyer\Destiny Ring!\Destiny Ring\But why?\You could take that incredible power\and aim for the world title if you were serious!\The truth is, I like that place.\What is this? response:	That is why I must protect it.
context: Destiny Ring!\Destiny Ring\But why?\You could take that incredible power\and aim for the world title if you were serious!\The truth is, I like that place.\What is this?\That is why I must protect it. response:	Sleeper's Wake.
context: Destiny Ring\But why?\You could take that incredible power\and aim for the world title if you were serious!\The truth is, I like that place.\What is this?\That is why I must protect it.\Sleeper's Wake. response:	Kumin-senpai. Kumin-senpai.
context: But why?\You could take that incredible power\and aim for the world title if you were serious!\The truth is, I like that place.\What is this?\That is why I must protect it.\Sleeper's Wake.\Kumin-senpai. Kumin-senpai. response:	Togashi, you're all here.
context: You could take that incredible power\and aim for the world title if you were serious!\The truth is, I like that place.\What is this?\That is why I must protect it.\Sleeper's Wake.\Kumin-senpai. Kumin-senpai.\Togashi, you're all here. response:	We did it. We won.
context: and aim for the world title if you were serious!\The truth is, I like that place.\What is this?\That is why I must protect it.\Sleeper's Wake.\Kumin-senpai. Kumin-senpai.\Togashi, you're all here.\We did it. We won. response:	Kumin, I am grateful.
context: The truth is, I like that place.\What is this?\That is why I must protect it.\Sleeper's Wake.\Kumin-senpai. Kumin-senpai.\Togashi, you're all here.\We did it. We won.\Kumin, I am grateful. response:	Really? What happened to Sui and her friends?
context: What is this?\That is why I must protect it.\Sleeper's Wake.\Kumin-senpai. Kumin-senpai.\Togashi, you're all here.\We did it. We won.\Kumin, I am grateful.\Really? What happened to Sui and her friends? response:	They went home. They said they accept defeat.
context: That is why I must protect it.\Sleeper's Wake.\Kumin-senpai. Kumin-senpai.\Togashi, you're all here.\We did it. We won.\Kumin, I am grateful.\Really? What happened to Sui and her friends?\They went home. They said they accept defeat. response:	That means we don't have to disband.
context: Sleeper's Wake.\Kumin-senpai. Kumin-senpai.\Togashi, you're all here.\We did it. We won.\Kumin, I am grateful.\Really? What happened to Sui and her friends?\They went home. They said they accept defeat.\That means we don't have to disband. response:	But of course!
context: Kumin-senpai. Kumin-senpai.\Togashi, you're all here.\We did it. We won.\Kumin, I am grateful.\Really? What happened to Sui and her friends?\They went home. They said they accept defeat.\That means we don't have to disband.\But of course! response:	I will battle Fake Summer once again tomorrow!
context: Togashi, you're all here.\We did it. We won.\Kumin, I am grateful.\Really? What happened to Sui and her friends?\They went home. They said they accept defeat.\That means we don't have to disband.\But of course!\I will battle Fake Summer once again tomorrow! response:	Why is that?!
context: We did it. We won.\Kumin, I am grateful.\Really? What happened to Sui and her friends?\They went home. They said they accept defeat.\That means we don't have to disband.\But of course!\I will battle Fake Summer once again tomorrow!\Why is that?! response:	What?
context: Kumin, I am grateful.\Really? What happened to Sui and her friends?\They went home. They said they accept defeat.\That means we don't have to disband.\But of course!\I will battle Fake Summer once again tomorrow!\Why is that?!\What? response:	I had a funny dream while I was sleeping.
context: Really? What happened to Sui and her friends?\They went home. They said they accept defeat.\That means we don't have to disband.\But of course!\I will battle Fake Summer once again tomorrow!\Why is that?!\What?\I had a funny dream while I was sleeping. response:	What kind of dream?
context: They went home. They said they accept defeat.\That means we don't have to disband.\But of course!\I will battle Fake Summer once again tomorrow!\Why is that?!\What?\I had a funny dream while I was sleeping.\What kind of dream? response:	I was with all of you, and...
context: That means we don't have to disband.\But of course!\I will battle Fake Summer once again tomorrow!\Why is that?!\What?\I had a funny dream while I was sleeping.\What kind of dream?\I was with all of you, and... response:	Was that really a dream?
context: But of course!\I will battle Fake Summer once again tomorrow!\Why is that?!\What?\I had a funny dream while I was sleeping.\What kind of dream?\I was with all of you, and...\Was that really a dream? response:	I unleash this power.
context: I will battle Fake Summer once again tomorrow!\Why is that?!\What?\I had a funny dream while I was sleeping.\What kind of dream?\I was with all of you, and...\Was that really a dream?\I unleash this power. response:	Lightning Blast!
context: Why is that?!\What?\I had a funny dream while I was sleeping.\What kind of dream?\I was with all of you, and...\Was that really a dream?\I unleash this power.\Lightning Blast! response:	With this, the attributing thunder technique is flawless.
context: What?\I had a funny dream while I was sleeping.\What kind of dream?\I was with all of you, and...\Was that really a dream?\I unleash this power.\Lightning Blast!\With this, the attributing thunder technique is flawless. response:	I'll do it! Count me in!
context: I had a funny dream while I was sleeping.\What kind of dream?\I was with all of you, and...\Was that really a dream?\I unleash this power.\Lightning Blast!\With this, the attributing thunder technique is flawless.\I'll do it! Count me in! response:	Freshman, you messed with my costume again!
context: What kind of dream?\I was with all of you, and...\Was that really a dream?\I unleash this power.\Lightning Blast!\With this, the attributing thunder technique is flawless.\I'll do it! Count me in!\Freshman, you messed with my costume again! response:	FAKE
context: I was with all of you, and...\Was that really a dream?\I unleash this power.\Lightning Blast!\With this, the attributing thunder technique is flawless.\I'll do it! Count me in!\Freshman, you messed with my costume again!\FAKE response:	There you are, Fake Summer!
context: Was that really a dream?\I unleash this power.\Lightning Blast!\With this, the attributing thunder technique is flawless.\I'll do it! Count me in!\Freshman, you messed with my costume again!\FAKE\There you are, Fake Summer! response:	It's very versatile.
context: I unleash this power.\Lightning Blast!\With this, the attributing thunder technique is flawless.\I'll do it! Count me in!\Freshman, you messed with my costume again!\FAKE\There you are, Fake Summer!\It's very versatile. response:	Stay out of it!
context: Lightning Blast!\With this, the attributing thunder technique is flawless.\I'll do it! Count me in!\Freshman, you messed with my costume again!\FAKE\There you are, Fake Summer!\It's very versatile.\Stay out of it! response:	Do not look away!
context: With this, the attributing thunder technique is flawless.\I'll do it! Count me in!\Freshman, you messed with my costume again!\FAKE\There you are, Fake Summer!\It's very versatile.\Stay out of it!\Do not look away! response:	Ultimately nothing changed. We still don't nap at all.
context: I'll do it! Count me in!\Freshman, you messed with my costume again!\FAKE\There you are, Fake Summer!\It's very versatile.\Stay out of it!\Do not look away!\Ultimately nothing changed. We still don't nap at all. response:	Yeah, but I'm happiest when I sleep here.
context: Freshman, you messed with my costume again!\FAKE\There you are, Fake Summer!\It's very versatile.\Stay out of it!\Do not look away!\Ultimately nothing changed. We still don't nap at all.\Yeah, but I'm happiest when I sleep here. response:	So, good night.
context: FAKE\There you are, Fake Summer!\It's very versatile.\Stay out of it!\Do not look away!\Ultimately nothing changed. We still don't nap at all.\Yeah, but I'm happiest when I sleep here.\So, good night. response:	One more shot!
context: There you are, Fake Summer!\It's very versatile.\Stay out of it!\Do not look away!\Ultimately nothing changed. We still don't nap at all.\Yeah, but I'm happiest when I sleep here.\So, good night.\One more shot! response:	Yuta, watch out!
context: It's very versatile.\Stay out of it!\Do not look away!\Ultimately nothing changed. We still don't nap at all.\Yeah, but I'm happiest when I sleep here.\So, good night.\One more shot!\Yuta, watch out! response:	What was that for?!
context: Stay out of it!\Do not look away!\Ultimately nothing changed. We still don't nap at all.\Yeah, but I'm happiest when I sleep here.\So, good night.\One more shot!\Yuta, watch out!\What was that for?! response:	Dekomori, sound the lightning!
context: Do not look away!\Ultimately nothing changed. We still don't nap at all.\Yeah, but I'm happiest when I sleep here.\So, good night.\One more shot!\Yuta, watch out!\What was that for?!\Dekomori, sound the lightning! response:	To Be Continued
context: Ultimately nothing changed. We still don't nap at all.\Yeah, but I'm happiest when I sleep here.\So, good night.\One more shot!\Yuta, watch out!\What was that for?!\Dekomori, sound the lightning!\To Be Continued response:	Roger that!
context: Yeah, but I'm happiest when I sleep here.\So, good night.\One more shot!\Yuta, watch out!\What was that for?!\Dekomori, sound the lightning!\To Be Continued\Roger that! response:	Listen to me!
