context: I apologize for summoning you on such short notice. response:	To be frank, I'd like to ask you for a favor.
context: Oh, this\Don't kill me!\Please! Don't kill me!\Wh-What makes you think I would do that?\I-Izumi-san?\You must be exhausted.\What are you doing here?\Rest for just a little longer. response:	Thank you for riding with us.
context: Don't kill me!\Please! Don't kill me!\Wh-What makes you think I would do that?\I-Izumi-san?\You must be exhausted.\What are you doing here?\Rest for just a little longer.\Thank you for riding with us. response:	Hananodera. This is Hananodera.
context: Please! Don't kill me!\Wh-What makes you think I would do that?\I-Izumi-san?\You must be exhausted.\What are you doing here?\Rest for just a little longer.\Thank you for riding with us.\Hananodera. This is Hananodera. response:	Please make sure to take all of your belongings.
context: Wh-What makes you think I would do that?\I-Izumi-san?\You must be exhausted.\What are you doing here?\Rest for just a little longer.\Thank you for riding with us.\Hananodera. This is Hananodera.\Please make sure to take all of your belongings. response:	It's only natural to assume that the Calm had something to do with this.
context: I-Izumi-san?\You must be exhausted.\What are you doing here?\Rest for just a little longer.\Thank you for riding with us.\Hananodera. This is Hananodera.\Please make sure to take all of your belongings.\It's only natural to assume that the Calm had something to do with this. response:	However, I get the feeling that his human half has been greatly weakened along with his demon half.
context: You must be exhausted.\What are you doing here?\Rest for just a little longer.\Thank you for riding with us.\Hananodera. This is Hananodera.\Please make sure to take all of your belongings.\It's only natural to assume that the Calm had something to do with this.\However, I get the feeling that his human half has been greatly weakened along with his demon half. response:	Is there anything we can do to help him get better?
context: What are you doing here?\Rest for just a little longer.\Thank you for riding with us.\Hananodera. This is Hananodera.\Please make sure to take all of your belongings.\It's only natural to assume that the Calm had something to do with this.\However, I get the feeling that his human half has been greatly weakened along with his demon half.\Is there anything we can do to help him get better? response:	There are ways to help humans
context: Rest for just a little longer.\Thank you for riding with us.\Hananodera. This is Hananodera.\Please make sure to take all of your belongings.\It's only natural to assume that the Calm had something to do with this.\However, I get the feeling that his human half has been greatly weakened along with his demon half.\Is there anything we can do to help him get better?\There are ways to help humans response:	and ways to help demons to some extent,
context: Thank you for riding with us.\Hananodera. This is Hananodera.\Please make sure to take all of your belongings.\It's only natural to assume that the Calm had something to do with this.\However, I get the feeling that his human half has been greatly weakened along with his demon half.\Is there anything we can do to help him get better?\There are ways to help humans\and ways to help demons to some extent, response:	but Kanbara-kun is a half-demon.
context: Hananodera. This is Hananodera.\Please make sure to take all of your belongings.\It's only natural to assume that the Calm had something to do with this.\However, I get the feeling that his human half has been greatly weakened along with his demon half.\Is there anything we can do to help him get better?\There are ways to help humans\and ways to help demons to some extent,\but Kanbara-kun is a half-demon. response:	To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.
context: Please make sure to take all of your belongings.\It's only natural to assume that the Calm had something to do with this.\However, I get the feeling that his human half has been greatly weakened along with his demon half.\Is there anything we can do to help him get better?\There are ways to help humans\and ways to help demons to some extent,\but Kanbara-kun is a half-demon.\To be perfectly honest, half-demons are so rare, I don't really know what would help them recover. response:	Senpai...
context: It's only natural to assume that the Calm had something to do with this.\However, I get the feeling that his human half has been greatly weakened along with his demon half.\Is there anything we can do to help him get better?\There are ways to help humans\and ways to help demons to some extent,\but Kanbara-kun is a half-demon.\To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.\Senpai... response:	At any rate, he's suffering from a fever, so I brought some cool water.
context: However, I get the feeling that his human half has been greatly weakened along with his demon half.\Is there anything we can do to help him get better?\There are ways to help humans\and ways to help demons to some extent,\but Kanbara-kun is a half-demon.\To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.\Senpai...\At any rate, he's suffering from a fever, so I brought some cool water. response:	I can take care of that!
context: Is there anything we can do to help him get better?\There are ways to help humans\and ways to help demons to some extent,\but Kanbara-kun is a half-demon.\To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.\Senpai...\At any rate, he's suffering from a fever, so I brought some cool water.\I can take care of that! response:	You two should head home for now.
context: There are ways to help humans\and ways to help demons to some extent,\but Kanbara-kun is a half-demon.\To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.\Senpai...\At any rate, he's suffering from a fever, so I brought some cool water.\I can take care of that!\You two should head home for now. response:	But...
context: and ways to help demons to some extent,\but Kanbara-kun is a half-demon.\To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.\Senpai...\At any rate, he's suffering from a fever, so I brought some cool water.\I can take care of that!\You two should head home for now.\But... response:	For the duration of the Calm, we can't go out in the open anyway.
context: but Kanbara-kun is a half-demon.\To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.\Senpai...\At any rate, he's suffering from a fever, so I brought some cool water.\I can take care of that!\You two should head home for now.\But...\For the duration of the Calm, we can't go out in the open anyway. response:	Sitting and watching Kanbara-kun sleep won't help him get better, now will it?
context: To be perfectly honest, half-demons are so rare, I don't really know what would help them recover.\Senpai...\At any rate, he's suffering from a fever, so I brought some cool water.\I can take care of that!\You two should head home for now.\But...\For the duration of the Calm, we can't go out in the open anyway.\Sitting and watching Kanbara-kun sleep won't help him get better, now will it? response:	That may be true, but...
context: Senpai...\At any rate, he's suffering from a fever, so I brought some cool water.\I can take care of that!\You two should head home for now.\But...\For the duration of the Calm, we can't go out in the open anyway.\Sitting and watching Kanbara-kun sleep won't help him get better, now will it?\That may be true, but... response:	Don't you have school tomorrow as well?
context: At any rate, he's suffering from a fever, so I brought some cool water.\I can take care of that!\You two should head home for now.\But...\For the duration of the Calm, we can't go out in the open anyway.\Sitting and watching Kanbara-kun sleep won't help him get better, now will it?\That may be true, but...\Don't you have school tomorrow as well? response:	When did Kanbara-senpai and Mirai meet?
context: I can take care of that!\You two should head home for now.\But...\For the duration of the Calm, we can't go out in the open anyway.\Sitting and watching Kanbara-kun sleep won't help him get better, now will it?\That may be true, but...\Don't you have school tomorrow as well?\When did Kanbara-senpai and Mirai meet? response:	I'm not sure. I don't know the details,
context: You two should head home for now.\But...\For the duration of the Calm, we can't go out in the open anyway.\Sitting and watching Kanbara-kun sleep won't help him get better, now will it?\That may be true, but...\Don't you have school tomorrow as well?\When did Kanbara-senpai and Mirai meet?\I'm not sure. I don't know the details, response:	but I think they met shortly after Mirai-chan moved here.
context: But...\For the duration of the Calm, we can't go out in the open anyway.\Sitting and watching Kanbara-kun sleep won't help him get better, now will it?\That may be true, but...\Don't you have school tomorrow as well?\When did Kanbara-senpai and Mirai meet?\I'm not sure. I don't know the details,\but I think they met shortly after Mirai-chan moved here. response:	It's almost time.
context: For the duration of the Calm, we can't go out in the open anyway.\Sitting and watching Kanbara-kun sleep won't help him get better, now will it?\That may be true, but...\Don't you have school tomorrow as well?\When did Kanbara-senpai and Mirai meet?\I'm not sure. I don't know the details,\but I think they met shortly after Mirai-chan moved here.\It's almost time. response:	Ai, make sure to stay on your guard.
context: Sitting and watching Kanbara-kun sleep won't help him get better, now will it?\That may be true, but...\Don't you have school tomorrow as well?\When did Kanbara-senpai and Mirai meet?\I'm not sure. I don't know the details,\but I think they met shortly after Mirai-chan moved here.\It's almost time.\Ai, make sure to stay on your guard. response:	Yeah.
context: That may be true, but...\Don't you have school tomorrow as well?\When did Kanbara-senpai and Mirai meet?\I'm not sure. I don't know the details,\but I think they met shortly after Mirai-chan moved here.\It's almost time.\Ai, make sure to stay on your guard.\Yeah. response:	I planted the seeds.
context: Don't you have school tomorrow as well?\When did Kanbara-senpai and Mirai meet?\I'm not sure. I don't know the details,\but I think they met shortly after Mirai-chan moved here.\It's almost time.\Ai, make sure to stay on your guard.\Yeah.\I planted the seeds. response:	I suspect that they should be ripe by now.
context: When did Kanbara-senpai and Mirai meet?\I'm not sure. I don't know the details,\but I think they met shortly after Mirai-chan moved here.\It's almost time.\Ai, make sure to stay on your guard.\Yeah.\I planted the seeds.\I suspect that they should be ripe by now. response:	This is what I've been chasing after since everything started.
context: I'm not sure. I don't know the details,\but I think they met shortly after Mirai-chan moved here.\It's almost time.\Ai, make sure to stay on your guard.\Yeah.\I planted the seeds.\I suspect that they should be ripe by now.\This is what I've been chasing after since everything started. response:	I know. I won't let the Nase family claim it.
context: but I think they met shortly after Mirai-chan moved here.\It's almost time.\Ai, make sure to stay on your guard.\Yeah.\I planted the seeds.\I suspect that they should be ripe by now.\This is what I've been chasing after since everything started.\I know. I won't let the Nase family claim it. response:	Full
context: It's almost time.\Ai, make sure to stay on your guard.\Yeah.\I planted the seeds.\I suspect that they should be ripe by now.\This is what I've been chasing after since everything started.\I know. I won't let the Nase family claim it.\Full response:	Full
context: Ai, make sure to stay on your guard.\Yeah.\I planted the seeds.\I suspect that they should be ripe by now.\This is what I've been chasing after since everything started.\I know. I won't let the Nase family claim it.\Full\Full response:	Full
context: Yeah.\I planted the seeds.\I suspect that they should be ripe by now.\This is what I've been chasing after since everything started.\I know. I won't let the Nase family claim it.\Full\Full\Full response:	It's...
context: I planted the seeds.\I suspect that they should be ripe by now.\This is what I've been chasing after since everything started.\I know. I won't let the Nase family claim it.\Full\Full\Full\It's... response:	I never expected that to make so many pop out!
context: I suspect that they should be ripe by now.\This is what I've been chasing after since everything started.\I know. I won't let the Nase family claim it.\Full\Full\Full\It's...\I never expected that to make so many pop out! response:	Here I go!
context: This is what I've been chasing after since everything started.\I know. I won't let the Nase family claim it.\Full\Full\Full\It's...\I never expected that to make so many pop out!\Here I go! response:	You stole my prey!
context: I know. I won't let the Nase family claim it.\Full\Full\Full\It's...\I never expected that to make so many pop out!\Here I go!\You stole my prey! response:	I had my eye on that one!
context: Full\Full\Full\It's...\I never expected that to make so many pop out!\Here I go!\You stole my prey!\I had my eye on that one! response:	I screwed up!
context: Full\Full\It's...\I never expected that to make so many pop out!\Here I go!\You stole my prey!\I had my eye on that one!\I screwed up! response:	You may have it.
context: Full\It's...\I never expected that to make so many pop out!\Here I go!\You stole my prey!\I had my eye on that one!\I screwed up!\You may have it. response:	You're here, too?!
context: It's...\I never expected that to make so many pop out!\Here I go!\You stole my prey!\I had my eye on that one!\I screwed up!\You may have it.\You're here, too?! response:	That's Nase Izumi!
context: I never expected that to make so many pop out!\Here I go!\You stole my prey!\I had my eye on that one!\I screwed up!\You may have it.\You're here, too?!\That's Nase Izumi! response:	What a beast!
context: Here I go!\You stole my prey!\I had my eye on that one!\I screwed up!\You may have it.\You're here, too?!\That's Nase Izumi!\What a beast! response:	Do your best to stay out of her way.
context: You stole my prey!\I had my eye on that one!\I screwed up!\You may have it.\You're here, too?!\That's Nase Izumi!\What a beast!\Do your best to stay out of her way. response:	In this area, the Nase family's authority is absolute.
context: I had my eye on that one!\I screwed up!\You may have it.\You're here, too?!\That's Nase Izumi!\What a beast!\Do your best to stay out of her way.\In this area, the Nase family's authority is absolute. response:	In an attempt to create internal rifts,
context: I screwed up!\You may have it.\You're here, too?!\That's Nase Izumi!\What a beast!\Do your best to stay out of her way.\In this area, the Nase family's authority is absolute.\In an attempt to create internal rifts, response:	enemy powers have tried to stir up trouble more than once.
context: You may have it.\You're here, too?!\That's Nase Izumi!\What a beast!\Do your best to stay out of her way.\In this area, the Nase family's authority is absolute.\In an attempt to create internal rifts,\enemy powers have tried to stir up trouble more than once. response:	Then you're saying everything Fujima Miroku told me is a lie?
context: You're here, too?!\That's Nase Izumi!\What a beast!\Do your best to stay out of her way.\In this area, the Nase family's authority is absolute.\In an attempt to create internal rifts,\enemy powers have tried to stir up trouble more than once.\Then you're saying everything Fujima Miroku told me is a lie? response:	Shindou Photo Studio
context: That's Nase Izumi!\What a beast!\Do your best to stay out of her way.\In this area, the Nase family's authority is absolute.\In an attempt to create internal rifts,\enemy powers have tried to stir up trouble more than once.\Then you're saying everything Fujima Miroku told me is a lie?\Shindou Photo Studio response:	That's not what I said.
context: What a beast!\Do your best to stay out of her way.\In this area, the Nase family's authority is absolute.\In an attempt to create internal rifts,\enemy powers have tried to stir up trouble more than once.\Then you're saying everything Fujima Miroku told me is a lie?\Shindou Photo Studio\That's not what I said. response:	However, I cannot deny that is a distinct possibility.
context: Do your best to stay out of her way.\In this area, the Nase family's authority is absolute.\In an attempt to create internal rifts,\enemy powers have tried to stir up trouble more than once.\Then you're saying everything Fujima Miroku told me is a lie?\Shindou Photo Studio\That's not what I said.\However, I cannot deny that is a distinct possibility. response:	Izumi once warned me to be wary of the Exterminator's Society.
context: In this area, the Nase family's authority is absolute.\In an attempt to create internal rifts,\enemy powers have tried to stir up trouble more than once.\Then you're saying everything Fujima Miroku told me is a lie?\Shindou Photo Studio\That's not what I said.\However, I cannot deny that is a distinct possibility.\Izumi once warned me to be wary of the Exterminator's Society. response:	I suspect that the organization isn't on good terms with the Nase family.
context: In an attempt to create internal rifts,\enemy powers have tried to stir up trouble more than once.\Then you're saying everything Fujima Miroku told me is a lie?\Shindou Photo Studio\That's not what I said.\However, I cannot deny that is a distinct possibility.\Izumi once warned me to be wary of the Exterminator's Society.\I suspect that the organization isn't on good terms with the Nase family. response:	And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!
context: enemy powers have tried to stir up trouble more than once.\Then you're saying everything Fujima Miroku told me is a lie?\Shindou Photo Studio\That's not what I said.\However, I cannot deny that is a distinct possibility.\Izumi once warned me to be wary of the Exterminator's Society.\I suspect that the organization isn't on good terms with the Nase family.\And you didn't say anything when Kuriyama-san was gossiping about the Society a while back! response:	I can't just tell everyone about that!
context: Then you're saying everything Fujima Miroku told me is a lie?\Shindou Photo Studio\That's not what I said.\However, I cannot deny that is a distinct possibility.\Izumi once warned me to be wary of the Exterminator's Society.\I suspect that the organization isn't on good terms with the Nase family.\And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!\I can't just tell everyone about that! response:	Besides, I haven't been told the full story myself.
context: Shindou Photo Studio\That's not what I said.\However, I cannot deny that is a distinct possibility.\Izumi once warned me to be wary of the Exterminator's Society.\I suspect that the organization isn't on good terms with the Nase family.\And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!\I can't just tell everyone about that!\Besides, I haven't been told the full story myself. response:	I'm going to see Izumi-neesan!
context: That's not what I said.\However, I cannot deny that is a distinct possibility.\Izumi once warned me to be wary of the Exterminator's Society.\I suspect that the organization isn't on good terms with the Nase family.\And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!\I can't just tell everyone about that!\Besides, I haven't been told the full story myself.\I'm going to see Izumi-neesan! response:	She's going to play dumb, and that will be the end of it.
context: However, I cannot deny that is a distinct possibility.\Izumi once warned me to be wary of the Exterminator's Society.\I suspect that the organization isn't on good terms with the Nase family.\And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!\I can't just tell everyone about that!\Besides, I haven't been told the full story myself.\I'm going to see Izumi-neesan!\She's going to play dumb, and that will be the end of it. response:	Do something! She's your older sister, isn't she?
context: Izumi once warned me to be wary of the Exterminator's Society.\I suspect that the organization isn't on good terms with the Nase family.\And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!\I can't just tell everyone about that!\Besides, I haven't been told the full story myself.\I'm going to see Izumi-neesan!\She's going to play dumb, and that will be the end of it.\Do something! She's your older sister, isn't she? response:	I could say the exact same thing to you.
context: I suspect that the organization isn't on good terms with the Nase family.\And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!\I can't just tell everyone about that!\Besides, I haven't been told the full story myself.\I'm going to see Izumi-neesan!\She's going to play dumb, and that will be the end of it.\Do something! She's your older sister, isn't she?\I could say the exact same thing to you. response:	It's from Kuriyama-san.
context: And you didn't say anything when Kuriyama-san was gossiping about the Society a while back!\I can't just tell everyone about that!\Besides, I haven't been told the full story myself.\I'm going to see Izumi-neesan!\She's going to play dumb, and that will be the end of it.\Do something! She's your older sister, isn't she?\I could say the exact same thing to you.\It's from Kuriyama-san. response:	How about you, Big Bro?
context: I can't just tell everyone about that!\Besides, I haven't been told the full story myself.\I'm going to see Izumi-neesan!\She's going to play dumb, and that will be the end of it.\Do something! She's your older sister, isn't she?\I could say the exact same thing to you.\It's from Kuriyama-san.\How about you, Big Bro? response:	Akkey is...
context: Besides, I haven't been told the full story myself.\I'm going to see Izumi-neesan!\She's going to play dumb, and that will be the end of it.\Do something! She's your older sister, isn't she?\I could say the exact same thing to you.\It's from Kuriyama-san.\How about you, Big Bro?\Akkey is... response:	A demon?!
context: I'm going to see Izumi-neesan!\She's going to play dumb, and that will be the end of it.\Do something! She's your older sister, isn't she?\I could say the exact same thing to you.\It's from Kuriyama-san.\How about you, Big Bro?\Akkey is...\A demon?! response:	One item for 280 yen,
context: She's going to play dumb, and that will be the end of it.\Do something! She's your older sister, isn't she?\I could say the exact same thing to you.\It's from Kuriyama-san.\How about you, Big Bro?\Akkey is...\A demon?!\One item for 280 yen, response:	Message Sent
context: Do something! She's your older sister, isn't she?\I could say the exact same thing to you.\It's from Kuriyama-san.\How about you, Big Bro?\Akkey is...\A demon?!\One item for 280 yen,\Message Sent response:	one for 350 yen, and another for 10 yen.
context: I could say the exact same thing to you.\It's from Kuriyama-san.\How about you, Big Bro?\Akkey is...\A demon?!\One item for 280 yen,\Message Sent\one for 350 yen, and another for 10 yen. response:	Thank You Very Much
context: It's from Kuriyama-san.\How about you, Big Bro?\Akkey is...\A demon?!\One item for 280 yen,\Message Sent\one for 350 yen, and another for 10 yen.\Thank You Very Much response:	Thank You Very Much
context: How about you, Big Bro?\Akkey is...\A demon?!\One item for 280 yen,\Message Sent\one for 350 yen, and another for 10 yen.\Thank You Very Much\Thank You Very Much response:	Yen
context: Akkey is...\A demon?!\One item for 280 yen,\Message Sent\one for 350 yen, and another for 10 yen.\Thank You Very Much\Thank You Very Much\Yen response:	Your total comes out to 1,870 yen.
context: A demon?!\One item for 280 yen,\Message Sent\one for 350 yen, and another for 10 yen.\Thank You Very Much\Thank You Very Much\Yen\Your total comes out to 1,870 yen. response:	That much?!
context: One item for 280 yen,\Message Sent\one for 350 yen, and another for 10 yen.\Thank You Very Much\Thank You Very Much\Yen\Your total comes out to 1,870 yen.\That much?! response:	Thank you very much.
context: Message Sent\one for 350 yen, and another for 10 yen.\Thank You Very Much\Thank You Very Much\Yen\Your total comes out to 1,870 yen.\That much?!\Thank you very much. response:	I was lost in thought and wasn't paying attention.
context: one for 350 yen, and another for 10 yen.\Thank You Very Much\Thank You Very Much\Yen\Your total comes out to 1,870 yen.\That much?!\Thank you very much.\I was lost in thought and wasn't paying attention. response:	It's fine. More importantly, about Kanbara-senpai...
context: Thank You Very Much\Thank You Very Much\Yen\Your total comes out to 1,870 yen.\That much?!\Thank you very much.\I was lost in thought and wasn't paying attention.\It's fine. More importantly, about Kanbara-senpai... response:	If you ask again,
context: Thank You Very Much\Yen\Your total comes out to 1,870 yen.\That much?!\Thank you very much.\I was lost in thought and wasn't paying attention.\It's fine. More importantly, about Kanbara-senpai...\If you ask again, response:	I'm sure they'll let you stay with him.
context: Yen\Your total comes out to 1,870 yen.\That much?!\Thank you very much.\I was lost in thought and wasn't paying attention.\It's fine. More importantly, about Kanbara-senpai...\If you ask again,\I'm sure they'll let you stay with him. response:	But it's not like I could really do anything for him.
context: Your total comes out to 1,870 yen.\That much?!\Thank you very much.\I was lost in thought and wasn't paying attention.\It's fine. More importantly, about Kanbara-senpai...\If you ask again,\I'm sure they'll let you stay with him.\But it's not like I could really do anything for him. response:	Even so, you want to stay by his side.
context: That much?!\Thank you very much.\I was lost in thought and wasn't paying attention.\It's fine. More importantly, about Kanbara-senpai...\If you ask again,\I'm sure they'll let you stay with him.\But it's not like I could really do anything for him.\Even so, you want to stay by his side. response:	You're being unpleasant!
context: Thank you very much.\I was lost in thought and wasn't paying attention.\It's fine. More importantly, about Kanbara-senpai...\If you ask again,\I'm sure they'll let you stay with him.\But it's not like I could really do anything for him.\Even so, you want to stay by his side.\You're being unpleasant! response:	You don't mean it when you call someone unpleasant like that.
context: I was lost in thought and wasn't paying attention.\It's fine. More importantly, about Kanbara-senpai...\If you ask again,\I'm sure they'll let you stay with him.\But it's not like I could really do anything for him.\Even so, you want to stay by his side.\You're being unpleasant!\You don't mean it when you call someone unpleasant like that. response:	That's what my sister told me a long time ago.
context: It's fine. More importantly, about Kanbara-senpai...\If you ask again,\I'm sure they'll let you stay with him.\But it's not like I could really do anything for him.\Even so, you want to stay by his side.\You're being unpleasant!\You don't mean it when you call someone unpleasant like that.\That's what my sister told me a long time ago. response:	You're being unpleasant!
context: If you ask again,\I'm sure they'll let you stay with him.\But it's not like I could really do anything for him.\Even so, you want to stay by his side.\You're being unpleasant!\You don't mean it when you call someone unpleasant like that.\That's what my sister told me a long time ago.\You're being unpleasant! response:	This time you truly meant it.
context: I'm sure they'll let you stay with him.\But it's not like I could really do anything for him.\Even so, you want to stay by his side.\You're being unpleasant!\You don't mean it when you call someone unpleasant like that.\That's what my sister told me a long time ago.\You're being unpleasant!\This time you truly meant it. response:	How could you tell?
context: But it's not like I could really do anything for him.\Even so, you want to stay by his side.\You're being unpleasant!\You don't mean it when you call someone unpleasant like that.\That's what my sister told me a long time ago.\You're being unpleasant!\This time you truly meant it.\How could you tell? response:	No one would stop you.
context: Even so, you want to stay by his side.\You're being unpleasant!\You don't mean it when you call someone unpleasant like that.\That's what my sister told me a long time ago.\You're being unpleasant!\This time you truly meant it.\How could you tell?\No one would stop you. response:	Not if you want to be with Kanbara-senpai.
context: You're being unpleasant!\You don't mean it when you call someone unpleasant like that.\That's what my sister told me a long time ago.\You're being unpleasant!\This time you truly meant it.\How could you tell?\No one would stop you.\Not if you want to be with Kanbara-senpai. response:	I-I don't really want to be with him or anything like that.
context: You don't mean it when you call someone unpleasant like that.\That's what my sister told me a long time ago.\You're being unpleasant!\This time you truly meant it.\How could you tell?\No one would stop you.\Not if you want to be with Kanbara-senpai.\I-I don't really want to be with him or anything like that. response:	It's just, I...
context: That's what my sister told me a long time ago.\You're being unpleasant!\This time you truly meant it.\How could you tell?\No one would stop you.\Not if you want to be with Kanbara-senpai.\I-I don't really want to be with him or anything like that.\It's just, I... response:	Kanbara-senpai loves glasses.
context: You're being unpleasant!\This time you truly meant it.\How could you tell?\No one would stop you.\Not if you want to be with Kanbara-senpai.\I-I don't really want to be with him or anything like that.\It's just, I...\Kanbara-senpai loves glasses. response:	It doesn't have anything to do with that!
context: This time you truly meant it.\How could you tell?\No one would stop you.\Not if you want to be with Kanbara-senpai.\I-I don't really want to be with him or anything like that.\It's just, I...\Kanbara-senpai loves glasses.\It doesn't have anything to do with that! response:	It's just...
context: How could you tell?\No one would stop you.\Not if you want to be with Kanbara-senpai.\I-I don't really want to be with him or anything like that.\It's just, I...\Kanbara-senpai loves glasses.\It doesn't have anything to do with that!\It's just... response:	He's normal around me.
context: No one would stop you.\Not if you want to be with Kanbara-senpai.\I-I don't really want to be with him or anything like that.\It's just, I...\Kanbara-senpai loves glasses.\It doesn't have anything to do with that!\It's just...\He's normal around me. response:	Even though I'm from a cursed clan...
context: Not if you want to be with Kanbara-senpai.\I-I don't really want to be with him or anything like that.\It's just, I...\Kanbara-senpai loves glasses.\It doesn't have anything to do with that!\It's just...\He's normal around me.\Even though I'm from a cursed clan... response:	Even though I possess such abnormal powers...
context: I-I don't really want to be with him or anything like that.\It's just, I...\Kanbara-senpai loves glasses.\It doesn't have anything to do with that!\It's just...\He's normal around me.\Even though I'm from a cursed clan...\Even though I possess such abnormal powers... response:	He treats me like a normal person.
context: It's just, I...\Kanbara-senpai loves glasses.\It doesn't have anything to do with that!\It's just...\He's normal around me.\Even though I'm from a cursed clan...\Even though I possess such abnormal powers...\He treats me like a normal person. response:	And always he has...
context: Kanbara-senpai loves glasses.\It doesn't have anything to do with that!\It's just...\He's normal around me.\Even though I'm from a cursed clan...\Even though I possess such abnormal powers...\He treats me like a normal person.\And always he has... response:	It must make you happy...
context: It doesn't have anything to do with that!\It's just...\He's normal around me.\Even though I'm from a cursed clan...\Even though I possess such abnormal powers...\He treats me like a normal person.\And always he has...\It must make you happy... response:	that you two met.
context: It's just...\He's normal around me.\Even though I'm from a cursed clan...\Even though I possess such abnormal powers...\He treats me like a normal person.\And always he has...\It must make you happy...\that you two met. response:	You're being unpleasant!
context: He's normal around me.\Even though I'm from a cursed clan...\Even though I possess such abnormal powers...\He treats me like a normal person.\And always he has...\It must make you happy...\that you two met.\You're being unpleasant! response:	You didn't mean it that time, either.
context: Even though I'm from a cursed clan...\Even though I possess such abnormal powers...\He treats me like a normal person.\And always he has...\It must make you happy...\that you two met.\You're being unpleasant!\You didn't mean it that time, either. response:	Aya-chan...
context: Even though I possess such abnormal powers...\He treats me like a normal person.\And always he has...\It must make you happy...\that you two met.\You're being unpleasant!\You didn't mean it that time, either.\Aya-chan... response:	Ai, go inside.
context: He treats me like a normal person.\And always he has...\It must make you happy...\that you two met.\You're being unpleasant!\You didn't mean it that time, either.\Aya-chan...\Ai, go inside. response:	How may I help a member of the Exterminator's Society?
context: And always he has...\It must make you happy...\that you two met.\You're being unpleasant!\You didn't mean it that time, either.\Aya-chan...\Ai, go inside.\How may I help a member of the Exterminator's Society? response:	I never thought you'd find me.
context: It must make you happy...\that you two met.\You're being unpleasant!\You didn't mean it that time, either.\Aya-chan...\Ai, go inside.\How may I help a member of the Exterminator's Society?\I never thought you'd find me. response:	I guess I should've expected it from a demon that can stand amongst Exterminators.
context: that you two met.\You're being unpleasant!\You didn't mean it that time, either.\Aya-chan...\Ai, go inside.\How may I help a member of the Exterminator's Society?\I never thought you'd find me.\I guess I should've expected it from a demon that can stand amongst Exterminators. response:	You don't intend to subdue me, do you?
context: You're being unpleasant!\You didn't mean it that time, either.\Aya-chan...\Ai, go inside.\How may I help a member of the Exterminator's Society?\I never thought you'd find me.\I guess I should've expected it from a demon that can stand amongst Exterminators.\You don't intend to subdue me, do you? response:	Of course not!
context: You didn't mean it that time, either.\Aya-chan...\Ai, go inside.\How may I help a member of the Exterminator's Society?\I never thought you'd find me.\I guess I should've expected it from a demon that can stand amongst Exterminators.\You don't intend to subdue me, do you?\Of course not! response:	I simply came to check on the situation here.
context: Aya-chan...\Ai, go inside.\How may I help a member of the Exterminator's Society?\I never thought you'd find me.\I guess I should've expected it from a demon that can stand amongst Exterminators.\You don't intend to subdue me, do you?\Of course not!\I simply came to check on the situation here. response:	But now that it's come to this,
context: Ai, go inside.\How may I help a member of the Exterminator's Society?\I never thought you'd find me.\I guess I should've expected it from a demon that can stand amongst Exterminators.\You don't intend to subdue me, do you?\Of course not!\I simply came to check on the situation here.\But now that it's come to this, response:	I don't have a choice!
context: How may I help a member of the Exterminator's Society?\I never thought you'd find me.\I guess I should've expected it from a demon that can stand amongst Exterminators.\You don't intend to subdue me, do you?\Of course not!\I simply came to check on the situation here.\But now that it's come to this,\I don't have a choice! response:	I am taking custody of Kanbara Akihito.
context: I never thought you'd find me.\I guess I should've expected it from a demon that can stand amongst Exterminators.\You don't intend to subdue me, do you?\Of course not!\I simply came to check on the situation here.\But now that it's come to this,\I don't have a choice!\I am taking custody of Kanbara Akihito. response:	Please hand him over without any trouble.
context: I guess I should've expected it from a demon that can stand amongst Exterminators.\You don't intend to subdue me, do you?\Of course not!\I simply came to check on the situation here.\But now that it's come to this,\I don't have a choice!\I am taking custody of Kanbara Akihito.\Please hand him over without any trouble. response:	I'd like to hear your reason why first.
context: You don't intend to subdue me, do you?\Of course not!\I simply came to check on the situation here.\But now that it's come to this,\I don't have a choice!\I am taking custody of Kanbara Akihito.\Please hand him over without any trouble.\I'd like to hear your reason why first. response:	You see, I promised to look after Kanbara-kun.
context: Of course not!\I simply came to check on the situation here.\But now that it's come to this,\I don't have a choice!\I am taking custody of Kanbara Akihito.\Please hand him over without any trouble.\I'd like to hear your reason why first.\You see, I promised to look after Kanbara-kun. response:	I don't have time to explain myself.
context: I simply came to check on the situation here.\But now that it's come to this,\I don't have a choice!\I am taking custody of Kanbara Akihito.\Please hand him over without any trouble.\I'd like to hear your reason why first.\You see, I promised to look after Kanbara-kun.\I don't have time to explain myself. response:	Besides, I doubt you'd believe me even if I did.
