context: I can't take the sun... response:	Looks like we're in the Zuland Plains.
context: And there are fifteen of them!\They're a spirit-type monster.\Dark spirits have either evil poison,\or resistance to mind attacks and insta-kills.\Not only might we get hurt, but the People of the Land could, too!\I'll go!\I'm not even touching them!\Tohya! response:	Servant Summon...
context: They're a spirit-type monster.\Dark spirits have either evil poison,\or resistance to mind attacks and insta-kills.\Not only might we get hurt, but the People of the Land could, too!\I'll go!\I'm not even touching them!\Tohya!\Servant Summon... response:	Princess Wraith!
context: Dark spirits have either evil poison,\or resistance to mind attacks and insta-kills.\Not only might we get hurt, but the People of the Land could, too!\I'll go!\I'm not even touching them!\Tohya!\Servant Summon...\Princess Wraith! response:	Wow...
context: or resistance to mind attacks and insta-kills.\Not only might we get hurt, but the People of the Land could, too!\I'll go!\I'm not even touching them!\Tohya!\Servant Summon...\Princess Wraith!\Wow... response:	Um, who are you?
context: Not only might we get hurt, but the People of the Land could, too!\I'll go!\I'm not even touching them!\Tohya!\Servant Summon...\Princess Wraith!\Wow...\Um, who are you? response:	My name is Roe 2.
context: I'll go!\I'm not even touching them!\Tohya!\Servant Summon...\Princess Wraith!\Wow...\Um, who are you?\My name is Roe 2. response:	A summoner.
context: I'm not even touching them!\Tohya!\Servant Summon...\Princess Wraith!\Wow...\Um, who are you?\My name is Roe 2.\A summoner. response:	A traveling vampire, heading south, I suppose.
context: Tohya!\Servant Summon...\Princess Wraith!\Wow...\Um, who are you?\My name is Roe 2.\A summoner.\A traveling vampire, heading south, I suppose. response:	Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild
context: Servant Summon...\Princess Wraith!\Wow...\Um, who are you?\My name is Roe 2.\A summoner.\A traveling vampire, heading south, I suppose.\Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild response:	A new person with glasses...
context: Princess Wraith!\Wow...\Um, who are you?\My name is Roe 2.\A summoner.\A traveling vampire, heading south, I suppose.\Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild\A new person with glasses... response:	I can't take the sun...
context: Wow...\Um, who are you?\My name is Roe 2.\A summoner.\A traveling vampire, heading south, I suppose.\Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild\A new person with glasses...\I can't take the sun... response:	Call me'big sister.'
context: Um, who are you?\My name is Roe 2.\A summoner.\A traveling vampire, heading south, I suppose.\Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild\A new person with glasses...\I can't take the sun...\Call me'big sister.' response:	Roe 2, a mysterious big sister who takes joy in being called big sister.
context: My name is Roe 2.\A summoner.\A traveling vampire, heading south, I suppose.\Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild\A new person with glasses...\I can't take the sun...\Call me'big sister.'\Roe 2, a mysterious big sister who takes joy in being called big sister. response:	Tohya and the others enjoy their journey, even with the chaos she causes.
context: A summoner.\A traveling vampire, heading south, I suppose.\Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild\A new person with glasses...\I can't take the sun...\Call me'big sister.'\Roe 2, a mysterious big sister who takes joy in being called big sister.\Tohya and the others enjoy their journey, even with the chaos she causes. response:	They encounter a group of adventurers who fight
context: A traveling vampire, heading south, I suppose.\Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild\A new person with glasses...\I can't take the sun...\Call me'big sister.'\Roe 2, a mysterious big sister who takes joy in being called big sister.\Tohya and the others enjoy their journey, even with the chaos she causes.\They encounter a group of adventurers who fight response:	to protect People of the Land from monsters.
context: Roe 2 Race/ Half-Alv Summoner, Lv. 90 No Guild\A new person with glasses...\I can't take the sun...\Call me'big sister.'\Roe 2, a mysterious big sister who takes joy in being called big sister.\Tohya and the others enjoy their journey, even with the chaos she causes.\They encounter a group of adventurers who fight\to protect People of the Land from monsters. response:	Next time: Odyssey Knights.
context: A new person with glasses...\I can't take the sun...\Call me'big sister.'\Roe 2, a mysterious big sister who takes joy in being called big sister.\Tohya and the others enjoy their journey, even with the chaos she causes.\They encounter a group of adventurers who fight\to protect People of the Land from monsters.\Next time: Odyssey Knights. response:	Odyssey Knights
context: I can't take the sun...\Call me'big sister.'\Roe 2, a mysterious big sister who takes joy in being called big sister.\Tohya and the others enjoy their journey, even with the chaos she causes.\They encounter a group of adventurers who fight\to protect People of the Land from monsters.\Next time: Odyssey Knights.\Odyssey Knights response:	I have friends to run with me.
