context: Teach Me How to Play Shogi (Continued) response:	Next I'll introduce the characteristics of each type of cat.
context: Isn't that a downer?\It's like you're going over there to strangle an old, senile dog.\I understand. Nobody wants to be the one to do the job.\It kind of makes you worry.\I thought that in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\As she left, the sun shone through her hair, illuminating it for a moment.\And that light eventually brought on a pounding rain. response:	Distant Thunder (Part 1)
context: It's like you're going over there to strangle an old, senile dog.\I understand. Nobody wants to be the one to do the job.\It kind of makes you worry.\I thought that in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\As she left, the sun shone through her hair, illuminating it for a moment.\And that light eventually brought on a pounding rain.\Distant Thunder (Part 1) response:	Next Episode Preview
context: I understand. Nobody wants to be the one to do the job.\It kind of makes you worry.\I thought that in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\As she left, the sun shone through her hair, illuminating it for a moment.\And that light eventually brought on a pounding rain.\Distant Thunder (Part 1)\Next Episode Preview response:	Episode 9
context: It kind of makes you worry.\I thought that in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\As she left, the sun shone through her hair, illuminating it for a moment.\And that light eventually brought on a pounding rain.\Distant Thunder (Part 1)\Next Episode Preview\Episode 9 response:	Shouichi Matsunaga... 7th-dan. Sixty-five years old.
context: I thought that in a situation like this, maybe you're the type to throw the match.\Because you're such a nice guy.\As she left, the sun shone through her hair, illuminating it for a moment.\And that light eventually brought on a pounding rain.\Distant Thunder (Part 1)\Next Episode Preview\Episode 9\Shouichi Matsunaga... 7th-dan. Sixty-five years old. response:	From Fukushima Prefecture. A professional shogi player for forty years.
context: Because you're such a nice guy.\As she left, the sun shone through her hair, illuminating it for a moment.\And that light eventually brought on a pounding rain.\Distant Thunder (Part 1)\Next Episode Preview\Episode 9\Shouichi Matsunaga... 7th-dan. Sixty-five years old.\From Fukushima Prefecture. A professional shogi player for forty years. response:	Forty years in this world... I wonder how he feels right now.
context: As she left, the sun shone through her hair, illuminating it for a moment.\And that light eventually brought on a pounding rain.\Distant Thunder (Part 1)\Next Episode Preview\Episode 9\Shouichi Matsunaga... 7th-dan. Sixty-five years old.\From Fukushima Prefecture. A professional shogi player for forty years.\Forty years in this world... I wonder how he feels right now. response:	I'm beat, you know?
context: And that light eventually brought on a pounding rain.\Distant Thunder (Part 1)\Next Episode Preview\Episode 9\Shouichi Matsunaga... 7th-dan. Sixty-five years old.\From Fukushima Prefecture. A professional shogi player for forty years.\Forty years in this world... I wonder how he feels right now.\I'm beat, you know? response:	It's time.
context: Distant Thunder (Part 1)\Next Episode Preview\Episode 9\Shouichi Matsunaga... 7th-dan. Sixty-five years old.\From Fukushima Prefecture. A professional shogi player for forty years.\Forty years in this world... I wonder how he feels right now.\I'm beat, you know?\It's time. response:	Don't miss the next episode of March Comes in Like a Lion either!
context: Next Episode Preview\Episode 9\Shouichi Matsunaga... 7th-dan. Sixty-five years old.\From Fukushima Prefecture. A professional shogi player for forty years.\Forty years in this world... I wonder how he feels right now.\I'm beat, you know?\It's time.\Don't miss the next episode of March Comes in Like a Lion either! response:	Please get a copy of Harunobu Nikaidou's Shogi for Beginners Picture Book.
