context: Battle of Ceres response:	Initiate the tactical heavy laser system!
context: You scared me...\Hurry up!\I finished stocking up! Asagi, hurry up!\That won't be necessary. We'll send the supplies to you instead.\Huh? Don't tell me you're going to...!\We're firing the supplies, so catch them!\Wait a sec! I stink at this merging stuff!\Here I go! response:	Regrouping: Complete.
context: Hurry up!\I finished stocking up! Asagi, hurry up!\That won't be necessary. We'll send the supplies to you instead.\Huh? Don't tell me you're going to...!\We're firing the supplies, so catch them!\Wait a sec! I stink at this merging stuff!\Here I go!\Regrouping: Complete. response:	All squadrons, gather around the third line of defense!
context: I finished stocking up! Asagi, hurry up!\That won't be necessary. We'll send the supplies to you instead.\Huh? Don't tell me you're going to...!\We're firing the supplies, so catch them!\Wait a sec! I stink at this merging stuff!\Here I go!\Regrouping: Complete.\All squadrons, gather around the third line of defense! response:	Has it recharged yet?
context: That won't be necessary. We'll send the supplies to you instead.\Huh? Don't tell me you're going to...!\We're firing the supplies, so catch them!\Wait a sec! I stink at this merging stuff!\Here I go!\Regrouping: Complete.\All squadrons, gather around the third line of defense!\Has it recharged yet? response:	Just finished.
context: Huh? Don't tell me you're going to...!\We're firing the supplies, so catch them!\Wait a sec! I stink at this merging stuff!\Here I go!\Regrouping: Complete.\All squadrons, gather around the third line of defense!\Has it recharged yet?\Just finished. response:	I will begin the firing sequence.
context: We're firing the supplies, so catch them!\Wait a sec! I stink at this merging stuff!\Here I go!\Regrouping: Complete.\All squadrons, gather around the third line of defense!\Has it recharged yet?\Just finished.\I will begin the firing sequence. response:	60...
context: Wait a sec! I stink at this merging stuff!\Here I go!\Regrouping: Complete.\All squadrons, gather around the third line of defense!\Has it recharged yet?\Just finished.\I will begin the firing sequence.\60... response:	59...
context: Here I go!\Regrouping: Complete.\All squadrons, gather around the third line of defense!\Has it recharged yet?\Just finished.\I will begin the firing sequence.\60...\59... response:	58...
context: Regrouping: Complete.\All squadrons, gather around the third line of defense!\Has it recharged yet?\Just finished.\I will begin the firing sequence.\60...\59...\58... response:	Fire!
context: All squadrons, gather around the third line of defense!\Has it recharged yet?\Just finished.\I will begin the firing sequence.\60...\59...\58...\Fire! response:	Did we get them?!
context: Has it recharged yet?\Just finished.\I will begin the firing sequence.\60...\59...\58...\Fire!\Did we get them?! response:	What is it?!
context: Just finished.\I will begin the firing sequence.\60...\59...\58...\Fire!\Did we get them?!\What is it?! response:	There are enemy vessels above the beam cannon!
context: I will begin the firing sequence.\60...\59...\58...\Fire!\Did we get them?!\What is it?!\There are enemy vessels above the beam cannon! response:	What?!
context: 60...\59...\58...\Fire!\Did we get them?!\What is it?!\There are enemy vessels above the beam cannon!\What?! response:	They didn't appear on the radar earlier!
context: 59...\58...\Fire!\Did we get them?!\What is it?!\There are enemy vessels above the beam cannon!\What?!\They didn't appear on the radar earlier! response:	It's the enemy!
context: 58...\Fire!\Did we get them?!\What is it?!\There are enemy vessels above the beam cannon!\What?!\They didn't appear on the radar earlier!\It's the enemy! response:	<Now!>
context: Fire!\Did we get them?!\What is it?!\There are enemy vessels above the beam cannon!\What?!\They didn't appear on the radar earlier!\It's the enemy!\<Now!> response:	Crap! We're in a Catch-22!
context: Did we get them?!\What is it?!\There are enemy vessels above the beam cannon!\What?!\They didn't appear on the radar earlier!\It's the enemy!\<Now!>\Crap! We're in a Catch-22! response:	I'll plot a navigation route! Give me 10 seconds.
context: What is it?!\There are enemy vessels above the beam cannon!\What?!\They didn't appear on the radar earlier!\It's the enemy!\<Now!>\Crap! We're in a Catch-22!\I'll plot a navigation route! Give me 10 seconds. response:	I'll have it in five.
context: There are enemy vessels above the beam cannon!\What?!\They didn't appear on the radar earlier!\It's the enemy!\<Now!>\Crap! We're in a Catch-22!\I'll plot a navigation route! Give me 10 seconds.\I'll have it in five. response:	What?
context: What?!\They didn't appear on the radar earlier!\It's the enemy!\<Now!>\Crap! We're in a Catch-22!\I'll plot a navigation route! Give me 10 seconds.\I'll have it in five.\What? response:	I'm sending you the data.
context: They didn't appear on the radar earlier!\It's the enemy!\<Now!>\Crap! We're in a Catch-22!\I'll plot a navigation route! Give me 10 seconds.\I'll have it in five.\What?\I'm sending you the data. response:	All right, men! Charge!
context: It's the enemy!\<Now!>\Crap! We're in a Catch-22!\I'll plot a navigation route! Give me 10 seconds.\I'll have it in five.\What?\I'm sending you the data.\All right, men! Charge! response:	Amazing!
context: <Now!>\Crap! We're in a Catch-22!\I'll plot a navigation route! Give me 10 seconds.\I'll have it in five.\What?\I'm sending you the data.\All right, men! Charge!\Amazing! response:	Most impressive, my dears. Care to go on a date with me later?
context: Crap! We're in a Catch-22!\I'll plot a navigation route! Give me 10 seconds.\I'll have it in five.\What?\I'm sending you the data.\All right, men! Charge!\Amazing!\Most impressive, my dears. Care to go on a date with me later? response:	Huh?
context: I'll plot a navigation route! Give me 10 seconds.\I'll have it in five.\What?\I'm sending you the data.\All right, men! Charge!\Amazing!\Most impressive, my dears. Care to go on a date with me later?\Huh? response:	I'll have to pass.
context: I'll have it in five.\What?\I'm sending you the data.\All right, men! Charge!\Amazing!\Most impressive, my dears. Care to go on a date with me later?\Huh?\I'll have to pass. response:	Could you try to be serious every now and then?
context: What?\I'm sending you the data.\All right, men! Charge!\Amazing!\Most impressive, my dears. Care to go on a date with me later?\Huh?\I'll have to pass.\Could you try to be serious every now and then? response:	Um, is he always like this?
context: I'm sending you the data.\All right, men! Charge!\Amazing!\Most impressive, my dears. Care to go on a date with me later?\Huh?\I'll have to pass.\Could you try to be serious every now and then?\Um, is he always like this? response:	Of course not!
context: All right, men! Charge!\Amazing!\Most impressive, my dears. Care to go on a date with me later?\Huh?\I'll have to pass.\Could you try to be serious every now and then?\Um, is he always like this?\Of course not! response:	Yeah, he is.
context: Amazing!\Most impressive, my dears. Care to go on a date with me later?\Huh?\I'll have to pass.\Could you try to be serious every now and then?\Um, is he always like this?\Of course not!\Yeah, he is. response:	Why you little...!
context: Most impressive, my dears. Care to go on a date with me later?\Huh?\I'll have to pass.\Could you try to be serious every now and then?\Um, is he always like this?\Of course not!\Yeah, he is.\Why you little...! response:	I'll whack you!
context: Huh?\I'll have to pass.\Could you try to be serious every now and then?\Um, is he always like this?\Of course not!\Yeah, he is.\Why you little...!\I'll whack you! response:	Hey!
context: I'll have to pass.\Could you try to be serious every now and then?\Um, is he always like this?\Of course not!\Yeah, he is.\Why you little...!\I'll whack you!\Hey! response:	Our tactical heavy laser has been destroyed!
context: Could you try to be serious every now and then?\Um, is he always like this?\Of course not!\Yeah, he is.\Why you little...!\I'll whack you!\Hey!\Our tactical heavy laser has been destroyed! response:	Incompetent fools!
context: Um, is he always like this?\Of course not!\Yeah, he is.\Why you little...!\I'll whack you!\Hey!\Our tactical heavy laser has been destroyed!\Incompetent fools! response:	You've made a mess of my perfect plan!
context: Of course not!\Yeah, he is.\Why you little...!\I'll whack you!\Hey!\Our tactical heavy laser has been destroyed!\Incompetent fools!\You've made a mess of my perfect plan! response:	Arms and legs are supposed to do as the head tells them!
context: Yeah, he is.\Why you little...!\I'll whack you!\Hey!\Our tactical heavy laser has been destroyed!\Incompetent fools!\You've made a mess of my perfect plan!\Arms and legs are supposed to do as the head tells them! response:	<That's right. A hunt that lacks dignity and respect
context: Why you little...!\I'll whack you!\Hey!\Our tactical heavy laser has been destroyed!\Incompetent fools!\You've made a mess of my perfect plan!\Arms and legs are supposed to do as the head tells them!\<That's right. A hunt that lacks dignity and respect response:	is merely a massacre.>
context: I'll whack you!\Hey!\Our tactical heavy laser has been destroyed!\Incompetent fools!\You've made a mess of my perfect plan!\Arms and legs are supposed to do as the head tells them!\<That's right. A hunt that lacks dignity and respect\is merely a massacre.> response:	<It is without any sense of beauty!>
context: Hey!\Our tactical heavy laser has been destroyed!\Incompetent fools!\You've made a mess of my perfect plan!\Arms and legs are supposed to do as the head tells them!\<That's right. A hunt that lacks dignity and respect\is merely a massacre.>\<It is without any sense of beauty!> response:	<En garde!>
context: Our tactical heavy laser has been destroyed!\Incompetent fools!\You've made a mess of my perfect plan!\Arms and legs are supposed to do as the head tells them!\<That's right. A hunt that lacks dignity and respect\is merely a massacre.>\<It is without any sense of beauty!>\<En garde!> response:	<This duel was amusing. Let us fight again, primitive creature!>
context: Incompetent fools!\You've made a mess of my perfect plan!\Arms and legs are supposed to do as the head tells them!\<That's right. A hunt that lacks dignity and respect\is merely a massacre.>\<It is without any sense of beauty!>\<En garde!>\<This duel was amusing. Let us fight again, primitive creature!> response:	I'm sure he looked human...
context: You've made a mess of my perfect plan!\Arms and legs are supposed to do as the head tells them!\<That's right. A hunt that lacks dignity and respect\is merely a massacre.>\<It is without any sense of beauty!>\<En garde!>\<This duel was amusing. Let us fight again, primitive creature!>\I'm sure he looked human... response:	And he could even talk!
context: Arms and legs are supposed to do as the head tells them!\<That's right. A hunt that lacks dignity and respect\is merely a massacre.>\<It is without any sense of beauty!>\<En garde!>\<This duel was amusing. Let us fight again, primitive creature!>\I'm sure he looked human...\And he could even talk! response:	I never expected our enemy to be like this...
context: <That's right. A hunt that lacks dignity and respect\is merely a massacre.>\<It is without any sense of beauty!>\<En garde!>\<This duel was amusing. Let us fight again, primitive creature!>\I'm sure he looked human...\And he could even talk!\I never expected our enemy to be like this... response:	He resembled that girl.
context: is merely a massacre.>\<It is without any sense of beauty!>\<En garde!>\<This duel was amusing. Let us fight again, primitive creature!>\I'm sure he looked human...\And he could even talk!\I never expected our enemy to be like this...\He resembled that girl. response:	Disclosure
