context: Please... response:	Please become... our Goddess of Wisdom.
context: My Lady!\Calm down, Kuro-san. This is just the ghost of a fallen warrior\My Lady! I'm utterly powerless against the sheer violence of that thing!\That's quite enough.\The human world and the world of the ayakashi must maintain their balance.\I cannot allow those who disregard the\Nice job running your big mouth, but what do we do now?\This is unexpected. response:	What?!
context: Calm down, Kuro-san. This is just the ghost of a fallen warrior\My Lady! I'm utterly powerless against the sheer violence of that thing!\That's quite enough.\The human world and the world of the ayakashi must maintain their balance.\I cannot allow those who disregard the\Nice job running your big mouth, but what do we do now?\This is unexpected.\What?! response:	I should have been able
context: My Lady! I'm utterly powerless against the sheer violence of that thing!\That's quite enough.\The human world and the world of the ayakashi must maintain their balance.\I cannot allow those who disregard the\Nice job running your big mouth, but what do we do now?\This is unexpected.\What?!\I should have been able response:	to contain a yokai like that after it took one look at you, but...
context: That's quite enough.\The human world and the world of the ayakashi must maintain their balance.\I cannot allow those who disregard the\Nice job running your big mouth, but what do we do now?\This is unexpected.\What?!\I should have been able\to contain a yokai like that after it took one look at you, but... response:	It's in such a panic that it can't see what's going on around it.
context: The human world and the world of the ayakashi must maintain their balance.\I cannot allow those who disregard the\Nice job running your big mouth, but what do we do now?\This is unexpected.\What?!\I should have been able\to contain a yokai like that after it took one look at you, but...\It's in such a panic that it can't see what's going on around it. response:	So you only wanted me for my body?
context: I cannot allow those who disregard the\Nice job running your big mouth, but what do we do now?\This is unexpected.\What?!\I should have been able\to contain a yokai like that after it took one look at you, but...\It's in such a panic that it can't see what's going on around it.\So you only wanted me for my body? response:	I was serious when I asked you out.
context: Nice job running your big mouth, but what do we do now?\This is unexpected.\What?!\I should have been able\to contain a yokai like that after it took one look at you, but...\It's in such a panic that it can't see what's going on around it.\So you only wanted me for my body?\I was serious when I asked you out. response:	It hurt me deeply to go after your body like this on our first date.
context: This is unexpected.\What?!\I should have been able\to contain a yokai like that after it took one look at you, but...\It's in such a panic that it can't see what's going on around it.\So you only wanted me for my body?\I was serious when I asked you out.\It hurt me deeply to go after your body like this on our first date. response:	Do you have some kind of plan? Any talismans or sutras you can use?
context: What?!\I should have been able\to contain a yokai like that after it took one look at you, but...\It's in such a panic that it can't see what's going on around it.\So you only wanted me for my body?\I was serious when I asked you out.\It hurt me deeply to go after your body like this on our first date.\Do you have some kind of plan? Any talismans or sutras you can use? response:	If it won't listen to me, we'll just have to use force.
context: I should have been able\to contain a yokai like that after it took one look at you, but...\It's in such a panic that it can't see what's going on around it.\So you only wanted me for my body?\I was serious when I asked you out.\It hurt me deeply to go after your body like this on our first date.\Do you have some kind of plan? Any talismans or sutras you can use?\If it won't listen to me, we'll just have to use force. response:	Force?
context: to contain a yokai like that after it took one look at you, but...\It's in such a panic that it can't see what's going on around it.\So you only wanted me for my body?\I was serious when I asked you out.\It hurt me deeply to go after your body like this on our first date.\Do you have some kind of plan? Any talismans or sutras you can use?\If it won't listen to me, we'll just have to use force.\Force? response:	Ah, yes... I definitely prefer being held this way.
context: It's in such a panic that it can't see what's going on around it.\So you only wanted me for my body?\I was serious when I asked you out.\It hurt me deeply to go after your body like this on our first date.\Do you have some kind of plan? Any talismans or sutras you can use?\If it won't listen to me, we'll just have to use force.\Force?\Ah, yes... I definitely prefer being held this way. response:	I feel even closer to you now.
context: So you only wanted me for my body?\I was serious when I asked you out.\It hurt me deeply to go after your body like this on our first date.\Do you have some kind of plan? Any talismans or sutras you can use?\If it won't listen to me, we'll just have to use force.\Force?\Ah, yes... I definitely prefer being held this way.\I feel even closer to you now. response:	Now really isn't the time for that...
context: I was serious when I asked you out.\It hurt me deeply to go after your body like this on our first date.\Do you have some kind of plan? Any talismans or sutras you can use?\If it won't listen to me, we'll just have to use force.\Force?\Ah, yes... I definitely prefer being held this way.\I feel even closer to you now.\Now really isn't the time for that... response:	You have a point.
context: It hurt me deeply to go after your body like this on our first date.\Do you have some kind of plan? Any talismans or sutras you can use?\If it won't listen to me, we'll just have to use force.\Force?\Ah, yes... I definitely prefer being held this way.\I feel even closer to you now.\Now really isn't the time for that...\You have a point. response:	Let's flee for now.
context: Do you have some kind of plan? Any talismans or sutras you can use?\If it won't listen to me, we'll just have to use force.\Force?\Ah, yes... I definitely prefer being held this way.\I feel even closer to you now.\Now really isn't the time for that...\You have a point.\Let's flee for now. response:	Kuro-san, what are you doing?
context: If it won't listen to me, we'll just have to use force.\Force?\Ah, yes... I definitely prefer being held this way.\I feel even closer to you now.\Now really isn't the time for that...\You have a point.\Let's flee for now.\Kuro-san, what are you doing? response:	We can do all the naughty things you want later...
context: Force?\Ah, yes... I definitely prefer being held this way.\I feel even closer to you now.\Now really isn't the time for that...\You have a point.\Let's flee for now.\Kuro-san, what are you doing?\We can do all the naughty things you want later... response:	That's not it. I can't have you doing anything reckless again.
context: Ah, yes... I definitely prefer being held this way.\I feel even closer to you now.\Now really isn't the time for that...\You have a point.\Let's flee for now.\Kuro-san, what are you doing?\We can do all the naughty things you want later...\That's not it. I can't have you doing anything reckless again. response:	Kuro-san, run
context: I feel even closer to you now.\Now really isn't the time for that...\You have a point.\Let's flee for now.\Kuro-san, what are you doing?\We can do all the naughty things you want later...\That's not it. I can't have you doing anything reckless again.\Kuro-san, run response:	Two years ago, and again now...
context: Now really isn't the time for that...\You have a point.\Let's flee for now.\Kuro-san, what are you doing?\We can do all the naughty things you want later...\That's not it. I can't have you doing anything reckless again.\Kuro-san, run\Two years ago, and again now... response:	You have that same unfazed look on your face.
context: You have a point.\Let's flee for now.\Kuro-san, what are you doing?\We can do all the naughty things you want later...\That's not it. I can't have you doing anything reckless again.\Kuro-san, run\Two years ago, and again now...\You have that same unfazed look on your face. response:	How can you be so indifferent when you're in danger?!
context: Let's flee for now.\Kuro-san, what are you doing?\We can do all the naughty things you want later...\That's not it. I can't have you doing anything reckless again.\Kuro-san, run\Two years ago, and again now...\You have that same unfazed look on your face.\How can you be so indifferent when you're in danger?! response:	I don't appreciate hearing that from someone as reckless as you.
context: Kuro-san, what are you doing?\We can do all the naughty things you want later...\That's not it. I can't have you doing anything reckless again.\Kuro-san, run\Two years ago, and again now...\You have that same unfazed look on your face.\How can you be so indifferent when you're in danger?!\I don't appreciate hearing that from someone as reckless as you. response:	I thought you'd already figured it out.
context: We can do all the naughty things you want later...\That's not it. I can't have you doing anything reckless again.\Kuro-san, run\Two years ago, and again now...\You have that same unfazed look on your face.\How can you be so indifferent when you're in danger?!\I don't appreciate hearing that from someone as reckless as you.\I thought you'd already figured it out. response:	Huh?
context: That's not it. I can't have you doing anything reckless again.\Kuro-san, run\Two years ago, and again now...\You have that same unfazed look on your face.\How can you be so indifferent when you're in danger?!\I don't appreciate hearing that from someone as reckless as you.\I thought you'd already figured it out.\Huh? response:	I guess my flesh really is poison to them.
context: Kuro-san, run\Two years ago, and again now...\You have that same unfazed look on your face.\How can you be so indifferent when you're in danger?!\I don't appreciate hearing that from someone as reckless as you.\I thought you'd already figured it out.\Huh?\I guess my flesh really is poison to them. response:	Kuro-san... Who are you, really?
context: Two years ago, and again now...\You have that same unfazed look on your face.\How can you be so indifferent when you're in danger?!\I don't appreciate hearing that from someone as reckless as you.\I thought you'd already figured it out.\Huh?\I guess my flesh really is poison to them.\Kuro-san... Who are you, really? response:	The ones asking for your wisdom won't tell you?
context: You have that same unfazed look on your face.\How can you be so indifferent when you're in danger?!\I don't appreciate hearing that from someone as reckless as you.\I thought you'd already figured it out.\Huh?\I guess my flesh really is poison to them.\Kuro-san... Who are you, really?\The ones asking for your wisdom won't tell you? response:	Everyone avoids talking about things that terrify them.
context: How can you be so indifferent when you're in danger?!\I don't appreciate hearing that from someone as reckless as you.\I thought you'd already figured it out.\Huh?\I guess my flesh really is poison to them.\Kuro-san... Who are you, really?\The ones asking for your wisdom won't tell you?\Everyone avoids talking about things that terrify them. response:	You're right.
context: I don't appreciate hearing that from someone as reckless as you.\I thought you'd already figured it out.\Huh?\I guess my flesh really is poison to them.\Kuro-san... Who are you, really?\The ones asking for your wisdom won't tell you?\Everyone avoids talking about things that terrify them.\You're right. response:	If I were to use your words...
context: I thought you'd already figured it out.\Huh?\I guess my flesh really is poison to them.\Kuro-san... Who are you, really?\The ones asking for your wisdom won't tell you?\Everyone avoids talking about things that terrify them.\You're right.\If I were to use your words... response:	When I was eleven, I ate two different kinds of yokai flesh...
context: Huh?\I guess my flesh really is poison to them.\Kuro-san... Who are you, really?\The ones asking for your wisdom won't tell you?\Everyone avoids talking about things that terrify them.\You're right.\If I were to use your words...\When I was eleven, I ate two different kinds of yokai flesh... response:	As much as I could eat.
context: I guess my flesh really is poison to them.\Kuro-san... Who are you, really?\The ones asking for your wisdom won't tell you?\Everyone avoids talking about things that terrify them.\You're right.\If I were to use your words...\When I was eleven, I ate two different kinds of yokai flesh...\As much as I could eat. response:	To Be Continued
context: Kuro-san... Who are you, really?\The ones asking for your wisdom won't tell you?\Everyone avoids talking about things that terrify them.\You're right.\If I were to use your words...\When I was eleven, I ate two different kinds of yokai flesh...\As much as I could eat.\To Be Continued response:	Preview
context: The ones asking for your wisdom won't tell you?\Everyone avoids talking about things that terrify them.\You're right.\If I were to use your words...\When I was eleven, I ate two different kinds of yokai flesh...\As much as I could eat.\To Be Continued\Preview response:	The Guardian Serpent of Tsukuna Swamp
context: Everyone avoids talking about things that terrify them.\You're right.\If I were to use your words...\When I was eleven, I ate two different kinds of yokai flesh...\As much as I could eat.\To Be Continued\Preview\The Guardian Serpent of Tsukuna Swamp response:	asks me for help concerning a problem that's been keeping them up at night.
context: You're right.\If I were to use your words...\When I was eleven, I ate two different kinds of yokai flesh...\As much as I could eat.\To Be Continued\Preview\The Guardian Serpent of Tsukuna Swamp\asks me for help concerning a problem that's been keeping them up at night. response:	A murderer apparently disposed of a body in their swamp
context: If I were to use your words...\When I was eleven, I ate two different kinds of yokai flesh...\As much as I could eat.\To Be Continued\Preview\The Guardian Serpent of Tsukuna Swamp\asks me for help concerning a problem that's been keeping them up at night.\A murderer apparently disposed of a body in their swamp response:	but there's something about it that's bothering them.
context: When I was eleven, I ate two different kinds of yokai flesh...\As much as I could eat.\To Be Continued\Preview\The Guardian Serpent of Tsukuna Swamp\asks me for help concerning a problem that's been keeping them up at night.\A murderer apparently disposed of a body in their swamp\but there's something about it that's bothering them. response:	Next time, What the Guardian Serpent Heard.
