context: during my forlorn years in this world response:	Saitama Hundred Poets Tournament
context: When Ariwara no Narihira's card is read,\she looks for his brother, Yukihira.\Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut\Father and Daughter\When Lady Sei Shonagon is read,\Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu\Rivals\she looks for Kiyohara no Motosuke, response:	Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds
context: she looks for his brother, Yukihira.\Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut\Father and Daughter\When Lady Sei Shonagon is read,\Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu\Rivals\she looks for Kiyohara no Motosuke,\Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds response:	as well as Lady Murasaki Shibu.
context: Lady Sei Shonagon Said night was young when the false rooster's crow but the gates of Afusaka remained shut\Father and Daughter\When Lady Sei Shonagon is read,\Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu\Rivals\she looks for Kiyohara no Motosuke,\Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds\as well as Lady Murasaki Shibu. response:	Kana-chan values the meaning
context: Father and Daughter\When Lady Sei Shonagon is read,\Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu\Rivals\she looks for Kiyohara no Motosuke,\Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds\as well as Lady Murasaki Shibu.\Kana-chan values the meaning response:	and history behind every card,
context: When Lady Sei Shonagon is read,\Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu\Rivals\she looks for Kiyohara no Motosuke,\Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds\as well as Lady Murasaki Shibu.\Kana-chan values the meaning\and history behind every card, response:	but the syllables are what matter in competitive karuta.
context: Kiyohara no Motosuke Impassioned vows exchanged over many a tear shed to last until the day waves crash over Mount Suenomatsu\Rivals\she looks for Kiyohara no Motosuke,\Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds\as well as Lady Murasaki Shibu.\Kana-chan values the meaning\and history behind every card,\but the syllables are what matter in competitive karuta. response:	As I wait for someone...
context: Rivals\she looks for Kiyohara no Motosuke,\Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds\as well as Lady Murasaki Shibu.\Kana-chan values the meaning\and history behind every card,\but the syllables are what matter in competitive karuta.\As I wait for someone... response:	I screwed up!
context: she looks for Kiyohara no Motosuke,\Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds\as well as Lady Murasaki Shibu.\Kana-chan values the meaning\and history behind every card,\but the syllables are what matter in competitive karuta.\As I wait for someone...\I screwed up! response:	A fault!
context: Lady Murasaki Shikibu Long last we meet, only for me to leave hurriedly, for I could not recognize you, like the moon hidden behind the clouds\as well as Lady Murasaki Shibu.\Kana-chan values the meaning\and history behind every card,\but the syllables are what matter in competitive karuta.\As I wait for someone...\I screwed up!\A fault! response:	I have trouble differentiating between As I and As this.
context: as well as Lady Murasaki Shibu.\Kana-chan values the meaning\and history behind every card,\but the syllables are what matter in competitive karuta.\As I wait for someone...\I screwed up!\A fault!\I have trouble differentiating between As I and As this. response:	My focus is on the syllables,
context: Kana-chan values the meaning\and history behind every card,\but the syllables are what matter in competitive karuta.\As I wait for someone...\I screwed up!\A fault!\I have trouble differentiating between As I and As this.\My focus is on the syllables, response:	but my hearing isn't as good as Ayase's!
context: and history behind every card,\but the syllables are what matter in competitive karuta.\As I wait for someone...\I screwed up!\A fault!\I have trouble differentiating between As I and As this.\My focus is on the syllables,\but my hearing isn't as good as Ayase's! response:	Desktomu-kun reacted as soon as As was read.
context: but the syllables are what matter in competitive karuta.\As I wait for someone...\I screwed up!\A fault!\I have trouble differentiating between As I and As this.\My focus is on the syllables,\but my hearing isn't as good as Ayase's!\Desktomu-kun reacted as soon as As was read. response:	Which card will Kana-chan send?
context: As I wait for someone...\I screwed up!\A fault!\I have trouble differentiating between As I and As this.\My focus is on the syllables,\but my hearing isn't as good as Ayase's!\Desktomu-kun reacted as soon as As was read.\Which card will Kana-chan send? response:	Huh?
context: I screwed up!\A fault!\I have trouble differentiating between As I and As this.\My focus is on the syllables,\but my hearing isn't as good as Ayase's!\Desktomu-kun reacted as soon as As was read.\Which card will Kana-chan send?\Huh? response:	I can look up and see the snowy cap of Mt. Fuji
context: A fault!\I have trouble differentiating between As I and As this.\My focus is on the syllables,\but my hearing isn't as good as Ayase's!\Desktomu-kun reacted as soon as As was read.\Which card will Kana-chan send?\Huh?\I can look up and see the snowy cap of Mt. Fuji response:	Kana-chan, why is No matter always
context: I have trouble differentiating between As I and As this.\My focus is on the syllables,\but my hearing isn't as good as Ayase's!\Desktomu-kun reacted as soon as As was read.\Which card will Kana-chan send?\Huh?\I can look up and see the snowy cap of Mt. Fuji\Kana-chan, why is No matter always response:	the first No card you send?
context: My focus is on the syllables,\but my hearing isn't as good as Ayase's!\Desktomu-kun reacted as soon as As was read.\Which card will Kana-chan send?\Huh?\I can look up and see the snowy cap of Mt. Fuji\Kana-chan, why is No matter always\the first No card you send? response:	I would send Note that first,
context: but my hearing isn't as good as Ayase's!\Desktomu-kun reacted as soon as As was read.\Which card will Kana-chan send?\Huh?\I can look up and see the snowy cap of Mt. Fuji\Kana-chan, why is No matter always\the first No card you send?\I would send Note that first, response:	since it sounds different from the others.
context: Desktomu-kun reacted as soon as As was read.\Which card will Kana-chan send?\Huh?\I can look up and see the snowy cap of Mt. Fuji\Kana-chan, why is No matter always\the first No card you send?\I would send Note that first,\since it sounds different from the others. response:	My hearing isn't as good as yours,
context: Which card will Kana-chan send?\Huh?\I can look up and see the snowy cap of Mt. Fuji\Kana-chan, why is No matter always\the first No card you send?\I would send Note that first,\since it sounds different from the others.\My hearing isn't as good as yours, response:	so Nobody, No more, No matter,
context: Huh?\I can look up and see the snowy cap of Mt. Fuji\Kana-chan, why is No matter always\the first No card you send?\I would send Note that first,\since it sounds different from the others.\My hearing isn't as good as yours,\so Nobody, No more, No matter, response:	Note that, None are, and Nothing
context: I can look up and see the snowy cap of Mt. Fuji\Kana-chan, why is No matter always\the first No card you send?\I would send Note that first,\since it sounds different from the others.\My hearing isn't as good as yours,\so Nobody, No more, No matter,\Note that, None are, and Nothing response:	are all difficult for me.
context: Kana-chan, why is No matter always\the first No card you send?\I would send Note that first,\since it sounds different from the others.\My hearing isn't as good as yours,\so Nobody, No more, No matter,\Note that, None are, and Nothing\are all difficult for me. response:	But the bigger something is, the easier it is to notice.
context: the first No card you send?\I would send Note that first,\since it sounds different from the others.\My hearing isn't as good as yours,\so Nobody, No more, No matter,\Note that, None are, and Nothing\are all difficult for me.\But the bigger something is, the easier it is to notice. response:	No matter where I stand on the shores of Tago,
context: I would send Note that first,\since it sounds different from the others.\My hearing isn't as good as yours,\so Nobody, No more, No matter,\Note that, None are, and Nothing\are all difficult for me.\But the bigger something is, the easier it is to notice.\No matter where I stand on the shores of Tago, response:	I can look up and see the snowy cap of Mt. Fuji
context: since it sounds different from the others.\My hearing isn't as good as yours,\so Nobody, No more, No matter,\Note that, None are, and Nothing\are all difficult for me.\But the bigger something is, the easier it is to notice.\No matter where I stand on the shores of Tago,\I can look up and see the snowy cap of Mt. Fuji response:	She's drawn to the image
context: My hearing isn't as good as yours,\so Nobody, No more, No matter,\Note that, None are, and Nothing\are all difficult for me.\But the bigger something is, the easier it is to notice.\No matter where I stand on the shores of Tago,\I can look up and see the snowy cap of Mt. Fuji\She's drawn to the image response:	of Mt. Fuji!
context: so Nobody, No more, No matter,\Note that, None are, and Nothing\are all difficult for me.\But the bigger something is, the easier it is to notice.\No matter where I stand on the shores of Tago,\I can look up and see the snowy cap of Mt. Fuji\She's drawn to the image\of Mt. Fuji! response:	No matter where I stand on the shores of Tago,
context: Note that, None are, and Nothing\are all difficult for me.\But the bigger something is, the easier it is to notice.\No matter where I stand on the shores of Tago,\I can look up and see the snowy cap of Mt. Fuji\She's drawn to the image\of Mt. Fuji!\No matter where I stand on the shores of Tago, response:	I didn't hear a thing.
context: are all difficult for me.\But the bigger something is, the easier it is to notice.\No matter where I stand on the shores of Tago,\I can look up and see the snowy cap of Mt. Fuji\She's drawn to the image\of Mt. Fuji!\No matter where I stand on the shores of Tago,\I didn't hear a thing. response:	Her motion was flawless.
context: But the bigger something is, the easier it is to notice.\No matter where I stand on the shores of Tago,\I can look up and see the snowy cap of Mt. Fuji\She's drawn to the image\of Mt. Fuji!\No matter where I stand on the shores of Tago,\I didn't hear a thing.\Her motion was flawless. response:	Straight as an arrow...
context: No matter where I stand on the shores of Tago,\I can look up and see the snowy cap of Mt. Fuji\She's drawn to the image\of Mt. Fuji!\No matter where I stand on the shores of Tago,\I didn't hear a thing.\Her motion was flawless.\Straight as an arrow... response:	I'm not here to cheer them on.
context: I can look up and see the snowy cap of Mt. Fuji\She's drawn to the image\of Mt. Fuji!\No matter where I stand on the shores of Tago,\I didn't hear a thing.\Her motion was flawless.\Straight as an arrow...\I'm not here to cheer them on. response:	I'm not here as their captain.
context: She's drawn to the image\of Mt. Fuji!\No matter where I stand on the shores of Tago,\I didn't hear a thing.\Her motion was flawless.\Straight as an arrow...\I'm not here to cheer them on.\I'm not here as their captain. response:	I'm going to take whatever I can from them!
context: of Mt. Fuji!\No matter where I stand on the shores of Tago,\I didn't hear a thing.\Her motion was flawless.\Straight as an arrow...\I'm not here to cheer them on.\I'm not here as their captain.\I'm going to take whatever I can from them! response:	Meanwhile, there was another intense match going on,
context: No matter where I stand on the shores of Tago,\I didn't hear a thing.\Her motion was flawless.\Straight as an arrow...\I'm not here to cheer them on.\I'm not here as their captain.\I'm going to take whatever I can from them!\Meanwhile, there was another intense match going on, response:	but only Retro-kun was watching!
