context: Why don't you tell me what you're plotting? response:	Nothing at all.
context: Probably worth ten thousand points.\Suzumiya-san.\That's thirty-two thousand points.\It's a good thing we aren't playing for money.\Well, well.\You seem to be having fun.\Perhaps I can join in?\Go ahead. response:	Is transferring money between banks fraud?
context: Suzumiya-san.\That's thirty-two thousand points.\It's a good thing we aren't playing for money.\Well, well.\You seem to be having fun.\Perhaps I can join in?\Go ahead.\Is transferring money between banks fraud? response:	I have some work to finish up...
context: That's thirty-two thousand points.\It's a good thing we aren't playing for money.\Well, well.\You seem to be having fun.\Perhaps I can join in?\Go ahead.\Is transferring money between banks fraud?\I have some work to finish up... response:	Mr. Keiichi Tamaru and Yutaka-san...
context: It's a good thing we aren't playing for money.\Well, well.\You seem to be having fun.\Perhaps I can join in?\Go ahead.\Is transferring money between banks fraud?\I have some work to finish up...\Mr. Keiichi Tamaru and Yutaka-san... response:	And the Arakawa-san-Mori-san combo...
context: Well, well.\You seem to be having fun.\Perhaps I can join in?\Go ahead.\Is transferring money between banks fraud?\I have some work to finish up...\Mr. Keiichi Tamaru and Yutaka-san...\And the Arakawa-san-Mori-san combo... response:	They seem pretty normal for acquaintances of Koizumi.
context: You seem to be having fun.\Perhaps I can join in?\Go ahead.\Is transferring money between banks fraud?\I have some work to finish up...\Mr. Keiichi Tamaru and Yutaka-san...\And the Arakawa-san-Mori-san combo...\They seem pretty normal for acquaintances of Koizumi. response:	We seem to need a few more characters before a strange incident can occur.
context: Perhaps I can join in?\Go ahead.\Is transferring money between banks fraud?\I have some work to finish up...\Mr. Keiichi Tamaru and Yutaka-san...\And the Arakawa-san-Mori-san combo...\They seem pretty normal for acquaintances of Koizumi.\We seem to need a few more characters before a strange incident can occur. response:	One left!
context: Go ahead.\Is transferring money between banks fraud?\I have some work to finish up...\Mr. Keiichi Tamaru and Yutaka-san...\And the Arakawa-san-Mori-san combo...\They seem pretty normal for acquaintances of Koizumi.\We seem to need a few more characters before a strange incident can occur.\One left! response:	Who's the king?
context: Is transferring money between banks fraud?\I have some work to finish up...\Mr. Keiichi Tamaru and Yutaka-san...\And the Arakawa-san-Mori-san combo...\They seem pretty normal for acquaintances of Koizumi.\We seem to need a few more characters before a strange incident can occur.\One left!\Who's the king? response:	It's me!
context: I have some work to finish up...\Mr. Keiichi Tamaru and Yutaka-san...\And the Arakawa-san-Mori-san combo...\They seem pretty normal for acquaintances of Koizumi.\We seem to need a few more characters before a strange incident can occur.\One left!\Who's the king?\It's me! response:	Then number two!
context: Mr. Keiichi Tamaru and Yutaka-san...\And the Arakawa-san-Mori-san combo...\They seem pretty normal for acquaintances of Koizumi.\We seem to need a few more characters before a strange incident can occur.\One left!\Who's the king?\It's me!\Then number two! response:	Turn around then say I love you while looking backwards!
context: And the Arakawa-san-Mori-san combo...\They seem pretty normal for acquaintances of Koizumi.\We seem to need a few more characters before a strange incident can occur.\One left!\Who's the king?\It's me!\Then number two!\Turn around then say I love you while looking backwards! response:	Who's number two?
context: They seem pretty normal for acquaintances of Koizumi.\We seem to need a few more characters before a strange incident can occur.\One left!\Who's the king?\It's me!\Then number two!\Turn around then say I love you while looking backwards!\Who's number two? response:	I love you.
context: We seem to need a few more characters before a strange incident can occur.\One left!\Who's the king?\It's me!\Then number two!\Turn around then say I love you while looking backwards!\Who's number two?\I love you. response:	Not like that, Yuki!
context: One left!\Who's the king?\It's me!\Then number two!\Turn around then say I love you while looking backwards!\Who's number two?\I love you.\Not like that, Yuki! response:	Put more feeling into it!
context: Who's the king?\It's me!\Then number two!\Turn around then say I love you while looking backwards!\Who's number two?\I love you.\Not like that, Yuki!\Put more feeling into it! response:	I love you.
context: It's me!\Then number two!\Turn around then say I love you while looking backwards!\Who's number two?\I love you.\Not like that, Yuki!\Put more feeling into it!\I love you. response:	Hey, Kyon.
context: Then number two!\Turn around then say I love you while looking backwards!\Who's number two?\I love you.\Not like that, Yuki!\Put more feeling into it!\I love you.\Hey, Kyon. response:	You try it.
context: Turn around then say I love you while looking backwards!\Who's number two?\I love you.\Not like that, Yuki!\Put more feeling into it!\I love you.\Hey, Kyon.\You try it. response:	Why me?
context: Who's number two?\I love you.\Not like that, Yuki!\Put more feeling into it!\I love you.\Hey, Kyon.\You try it.\Why me? response:	Because!
context: I love you.\Not like that, Yuki!\Put more feeling into it!\I love you.\Hey, Kyon.\You try it.\Why me?\Because! response:	The king is ordering you to do it!
context: Not like that, Yuki!\Put more feeling into it!\I love you.\Hey, Kyon.\You try it.\Why me?\Because!\The king is ordering you to do it! response:	Forget it.
context: Put more feeling into it!\I love you.\Hey, Kyon.\You try it.\Why me?\Because!\The king is ordering you to do it!\Forget it. response:	What a capricious king.
context: I love you.\Hey, Kyon.\You try it.\Why me?\Because!\The king is ordering you to do it!\Forget it.\What a capricious king. response:	Or wait, isn't Haruhi always like this!?
context: Hey, Kyon.\You try it.\Why me?\Because!\The king is ordering you to do it!\Forget it.\What a capricious king.\Or wait, isn't Haruhi always like this!? response:	I was expecting to be able to just...
context: You try it.\Why me?\Because!\The king is ordering you to do it!\Forget it.\What a capricious king.\Or wait, isn't Haruhi always like this!?\I was expecting to be able to just... response:	I love you.
context: Why me?\Because!\The king is ordering you to do it!\Forget it.\What a capricious king.\Or wait, isn't Haruhi always like this!?\I was expecting to be able to just...\I love you. response:	I love you.
context: Because!\The king is ordering you to do it!\Forget it.\What a capricious king.\Or wait, isn't Haruhi always like this!?\I was expecting to be able to just...\I love you.\I love you. response:	I don't know exactly which fat lady is doing the singing...
context: The king is ordering you to do it!\Forget it.\What a capricious king.\Or wait, isn't Haruhi always like this!?\I was expecting to be able to just...\I love you.\I love you.\I don't know exactly which fat lady is doing the singing... response:	But if I find out where she is...
context: Forget it.\What a capricious king.\Or wait, isn't Haruhi always like this!?\I was expecting to be able to just...\I love you.\I love you.\I don't know exactly which fat lady is doing the singing...\But if I find out where she is... response:	Hey, Haruhi.
context: What a capricious king.\Or wait, isn't Haruhi always like this!?\I was expecting to be able to just...\I love you.\I love you.\I don't know exactly which fat lady is doing the singing...\But if I find out where she is...\Hey, Haruhi. response:	Too weak.
context: Or wait, isn't Haruhi always like this!?\I was expecting to be able to just...\I love you.\I love you.\I don't know exactly which fat lady is doing the singing...\But if I find out where she is...\Hey, Haruhi.\Too weak. response:	Overnight trips are all about pillow fights!
context: I was expecting to be able to just...\I love you.\I love you.\I don't know exactly which fat lady is doing the singing...\But if I find out where she is...\Hey, Haruhi.\Too weak.\Overnight trips are all about pillow fights! response:	How can you possibly have so much energy after staying up most of the night?
context: I love you.\I love you.\I don't know exactly which fat lady is doing the singing...\But if I find out where she is...\Hey, Haruhi.\Too weak.\Overnight trips are all about pillow fights!\How can you possibly have so much energy after staying up most of the night? response:	A pillow fight, is it?
context: I love you.\I don't know exactly which fat lady is doing the singing...\But if I find out where she is...\Hey, Haruhi.\Too weak.\Overnight trips are all about pillow fights!\How can you possibly have so much energy after staying up most of the night?\A pillow fight, is it? response:	That would explain why after breakfast...
context: I don't know exactly which fat lady is doing the singing...\But if I find out where she is...\Hey, Haruhi.\Too weak.\Overnight trips are all about pillow fights!\How can you possibly have so much energy after staying up most of the night?\A pillow fight, is it?\That would explain why after breakfast... response:	All you can throw!
context: But if I find out where she is...\Hey, Haruhi.\Too weak.\Overnight trips are all about pillow fights!\How can you possibly have so much energy after staying up most of the night?\A pillow fight, is it?\That would explain why after breakfast...\All you can throw! response:	So she confiscates our weapons before it even starts.
context: Hey, Haruhi.\Too weak.\Overnight trips are all about pillow fights!\How can you possibly have so much energy after staying up most of the night?\A pillow fight, is it?\That would explain why after breakfast...\All you can throw!\So she confiscates our weapons before it even starts. response:	Arakawa-san.
context: Too weak.\Overnight trips are all about pillow fights!\How can you possibly have so much energy after staying up most of the night?\A pillow fight, is it?\That would explain why after breakfast...\All you can throw!\So she confiscates our weapons before it even starts.\Arakawa-san. response:	Is there something wrong?
context: Overnight trips are all about pillow fights!\How can you possibly have so much energy after staying up most of the night?\A pillow fight, is it?\That would explain why after breakfast...\All you can throw!\So she confiscates our weapons before it even starts.\Arakawa-san.\Is there something wrong? response:	Yes.
context: How can you possibly have so much energy after staying up most of the night?\A pillow fight, is it?\That would explain why after breakfast...\All you can throw!\So she confiscates our weapons before it even starts.\Arakawa-san.\Is there something wrong?\Yes. response:	Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.
context: A pillow fight, is it?\That would explain why after breakfast...\All you can throw!\So she confiscates our weapons before it even starts.\Arakawa-san.\Is there something wrong?\Yes.\Actually, Mori went to Yutaka-sama's room just now, but he wasn't there. response:	Yutaka-san wasn't there?
context: That would explain why after breakfast...\All you can throw!\So she confiscates our weapons before it even starts.\Arakawa-san.\Is there something wrong?\Yes.\Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.\Yutaka-san wasn't there? response:	There were no signs that the bed had been slept in.
context: All you can throw!\So she confiscates our weapons before it even starts.\Arakawa-san.\Is there something wrong?\Yes.\Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.\Yutaka-san wasn't there?\There were no signs that the bed had been slept in. response:	Searching his usual spots yielded nothing.
context: So she confiscates our weapons before it even starts.\Arakawa-san.\Is there something wrong?\Yes.\Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.\Yutaka-san wasn't there?\There were no signs that the bed had been slept in.\Searching his usual spots yielded nothing. response:	How about asking Keiichi-san?
context: Arakawa-san.\Is there something wrong?\Yes.\Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.\Yutaka-san wasn't there?\There were no signs that the bed had been slept in.\Searching his usual spots yielded nothing.\How about asking Keiichi-san? response:	In fact...
context: Is there something wrong?\Yes.\Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.\Yutaka-san wasn't there?\There were no signs that the bed had been slept in.\Searching his usual spots yielded nothing.\How about asking Keiichi-san?\In fact... response:	We tried contacting the master's room through the intercom...
context: Yes.\Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.\Yutaka-san wasn't there?\There were no signs that the bed had been slept in.\Searching his usual spots yielded nothing.\How about asking Keiichi-san?\In fact...\We tried contacting the master's room through the intercom... response:	What's that?
context: Actually, Mori went to Yutaka-sama's room just now, but he wasn't there.\Yutaka-san wasn't there?\There were no signs that the bed had been slept in.\Searching his usual spots yielded nothing.\How about asking Keiichi-san?\In fact...\We tried contacting the master's room through the intercom...\What's that? response:	Yutaka-san is missing...
context: Yutaka-san wasn't there?\There were no signs that the bed had been slept in.\Searching his usual spots yielded nothing.\How about asking Keiichi-san?\In fact...\We tried contacting the master's room through the intercom...\What's that?\Yutaka-san is missing... response:	To put it directly, that would be the case.
context: There were no signs that the bed had been slept in.\Searching his usual spots yielded nothing.\How about asking Keiichi-san?\In fact...\We tried contacting the master's room through the intercom...\What's that?\Yutaka-san is missing...\To put it directly, that would be the case. response:	How about checking inside Keiichi-san's room?
context: Searching his usual spots yielded nothing.\How about asking Keiichi-san?\In fact...\We tried contacting the master's room through the intercom...\What's that?\Yutaka-san is missing...\To put it directly, that would be the case.\How about checking inside Keiichi-san's room? response:	Don't you have an extra key?
context: How about asking Keiichi-san?\In fact...\We tried contacting the master's room through the intercom...\What's that?\Yutaka-san is missing...\To put it directly, that would be the case.\How about checking inside Keiichi-san's room?\Don't you have an extra key? response:	The master's room is an exception.
context: In fact...\We tried contacting the master's room through the intercom...\What's that?\Yutaka-san is missing...\To put it directly, that would be the case.\How about checking inside Keiichi-san's room?\Don't you have an extra key?\The master's room is an exception. response:	The master holds the only spare key.
context: We tried contacting the master's room through the intercom...\What's that?\Yutaka-san is missing...\To put it directly, that would be the case.\How about checking inside Keiichi-san's room?\Don't you have an extra key?\The master's room is an exception.\The master holds the only spare key. response:	There are documents concerning his work inside so it's a precaution.
context: What's that?\Yutaka-san is missing...\To put it directly, that would be the case.\How about checking inside Keiichi-san's room?\Don't you have an extra key?\The master's room is an exception.\The master holds the only spare key.\There are documents concerning his work inside so it's a precaution. response:	We should go take a look.
context: Yutaka-san is missing...\To put it directly, that would be the case.\How about checking inside Keiichi-san's room?\Don't you have an extra key?\The master's room is an exception.\The master holds the only spare key.\There are documents concerning his work inside so it's a precaution.\We should go take a look. response:	Kyon.
context: To put it directly, that would be the case.\How about checking inside Keiichi-san's room?\Don't you have an extra key?\The master's room is an exception.\The master holds the only spare key.\There are documents concerning his work inside so it's a precaution.\We should go take a look.\Kyon. response:	Let's go!
context: How about checking inside Keiichi-san's room?\Don't you have an extra key?\The master's room is an exception.\The master holds the only spare key.\There are documents concerning his work inside so it's a precaution.\We should go take a look.\Kyon.\Let's go! response:	I've got a bad feeling about this.
context: Don't you have an extra key?\The master's room is an exception.\The master holds the only spare key.\There are documents concerning his work inside so it's a precaution.\We should go take a look.\Kyon.\Let's go!\I've got a bad feeling about this. response:	Come on! Yuki and Mikuru-chan, too!
context: The master's room is an exception.\The master holds the only spare key.\There are documents concerning his work inside so it's a precaution.\We should go take a look.\Kyon.\Let's go!\I've got a bad feeling about this.\Come on! Yuki and Mikuru-chan, too! response:	Little Sis stays here.
context: The master holds the only spare key.\There are documents concerning his work inside so it's a precaution.\We should go take a look.\Kyon.\Let's go!\I've got a bad feeling about this.\Come on! Yuki and Mikuru-chan, too!\Little Sis stays here. response:	Keiichi-san? Keiichi-san?
context: There are documents concerning his work inside so it's a precaution.\We should go take a look.\Kyon.\Let's go!\I've got a bad feeling about this.\Come on! Yuki and Mikuru-chan, too!\Little Sis stays here.\Keiichi-san? Keiichi-san? response:	Respond if you're there!
context: We should go take a look.\Kyon.\Let's go!\I've got a bad feeling about this.\Come on! Yuki and Mikuru-chan, too!\Little Sis stays here.\Keiichi-san? Keiichi-san?\Respond if you're there! response:	It's no good.
context: Kyon.\Let's go!\I've got a bad feeling about this.\Come on! Yuki and Mikuru-chan, too!\Little Sis stays here.\Keiichi-san? Keiichi-san?\Respond if you're there!\It's no good. response:	Our last option.
context: Let's go!\I've got a bad feeling about this.\Come on! Yuki and Mikuru-chan, too!\Little Sis stays here.\Keiichi-san? Keiichi-san?\Respond if you're there!\It's no good.\Our last option. response:	We must break the door down.
context: I've got a bad feeling about this.\Come on! Yuki and Mikuru-chan, too!\Little Sis stays here.\Keiichi-san? Keiichi-san?\Respond if you're there!\It's no good.\Our last option.\We must break the door down. response:	We cannot afford to lose any time.
context: Come on! Yuki and Mikuru-chan, too!\Little Sis stays here.\Keiichi-san? Keiichi-san?\Respond if you're there!\It's no good.\Our last option.\We must break the door down.\We cannot afford to lose any time. response:	Okay.
context: Little Sis stays here.\Keiichi-san? Keiichi-san?\Respond if you're there!\It's no good.\Our last option.\We must break the door down.\We cannot afford to lose any time.\Okay. response:	Let us proceed.
context: Keiichi-san? Keiichi-san?\Respond if you're there!\It's no good.\Our last option.\We must break the door down.\We cannot afford to lose any time.\Okay.\Let us proceed. response:	Is it only possible to break down doors in TV dramas?
context: Respond if you're there!\It's no good.\Our last option.\We must break the door down.\We cannot afford to lose any time.\Okay.\Let us proceed.\Is it only possible to break down doors in TV dramas? response:	It can't be...
context: It's no good.\Our last option.\We must break the door down.\We cannot afford to lose any time.\Okay.\Let us proceed.\Is it only possible to break down doors in TV dramas?\It can't be... response:	You've gotta be kidding...?
