context: Japanese Math Science Social Studies English response:	Ichika Nino Miku Yotsuba Itsuki
context: I just want it because everyone else is doing it.\I see.\Fine.\This is a perfect opportunity to get back at you for everything.\Here I go.\The handbook.\Five...\Four... response:	Three...
context: I see.\Fine.\This is a perfect opportunity to get back at you for everything.\Here I go.\The handbook.\Five...\Four...\Three... response:	Two...
context: Fine.\This is a perfect opportunity to get back at you for everything.\Here I go.\The handbook.\Five...\Four...\Three...\Two... response:	One...
context: This is a perfect opportunity to get back at you for everything.\Here I go.\The handbook.\Five...\Four...\Three...\Two...\One... response:	Zero!
context: Here I go.\The handbook.\Five...\Four...\Three...\Two...\One...\Zero! response:	Quit messing around!
context: The handbook.\Five...\Four...\Three...\Two...\One...\Zero!\Quit messing around! response:	Shit!
context: Five...\Four...\Three...\Two...\One...\Zero!\Quit messing around!\Shit! response:	Wait, this bad boy...
context: Four...\Three...\Two...\One...\Zero!\Quit messing around!\Shit!\Wait, this bad boy... response:	He's totally my type!
context: Three...\Two...\One...\Zero!\Quit messing around!\Shit!\Wait, this bad boy...\He's totally my type! response:	Who is it?
context: Two...\One...\Zero!\Quit messing around!\Shit!\Wait, this bad boy...\He's totally my type!\Who is it? response:	It's me!
context: One...\Zero!\Quit messing around!\Shit!\Wait, this bad boy...\He's totally my type!\Who is it?\It's me! response:	A-A relative.
context: Zero!\Quit messing around!\Shit!\Wait, this bad boy...\He's totally my type!\Who is it?\It's me!\A-A relative. response:	I didn't want you to see that.
context: Quit messing around!\Shit!\Wait, this bad boy...\He's totally my type!\Who is it?\It's me!\A-A relative.\I didn't want you to see that. response:	He's a lot hotter than you.
context: Shit!\Wait, this bad boy...\He's totally my type!\Who is it?\It's me!\A-A relative.\I didn't want you to see that.\He's a lot hotter than you. response:	Hook me up someday.
context: Wait, this bad boy...\He's totally my type!\Who is it?\It's me!\A-A relative.\I didn't want you to see that.\He's a lot hotter than you.\Hook me up someday. response:	Sure.
context: He's totally my type!\Who is it?\It's me!\A-A relative.\I didn't want you to see that.\He's a lot hotter than you.\Hook me up someday.\Sure. response:	Someday.
context: Who is it?\It's me!\A-A relative.\I didn't want you to see that.\He's a lot hotter than you.\Hook me up someday.\Sure.\Someday. response:	Oh, yeah.
context: It's me!\A-A relative.\I didn't want you to see that.\He's a lot hotter than you.\Hook me up someday.\Sure.\Someday.\Oh, yeah. response:	We used to be adorable little angels back then, too.
context: A-A relative.\I didn't want you to see that.\He's a lot hotter than you.\Hook me up someday.\Sure.\Someday.\Oh, yeah.\We used to be adorable little angels back then, too. response:	See?
context: I didn't want you to see that.\He's a lot hotter than you.\Hook me up someday.\Sure.\Someday.\Oh, yeah.\We used to be adorable little angels back then, too.\See? response:	Look.
context: He's a lot hotter than you.\Hook me up someday.\Sure.\Someday.\Oh, yeah.\We used to be adorable little angels back then, too.\See?\Look. response:	No interest?
context: Hook me up someday.\Sure.\Someday.\Oh, yeah.\We used to be adorable little angels back then, too.\See?\Look.\No interest? response:	I think I'll show the girls for old times' sake.
context: Sure.\Someday.\Oh, yeah.\We used to be adorable little angels back then, too.\See?\Look.\No interest?\I think I'll show the girls for old times' sake. response:	Thank goodness.
context: Someday.\Oh, yeah.\We used to be adorable little angels back then, too.\See?\Look.\No interest?\I think I'll show the girls for old times' sake.\Thank goodness. response:	Nino.
context: Oh, yeah.\We used to be adorable little angels back then, too.\See?\Look.\No interest?\I think I'll show the girls for old times' sake.\Thank goodness.\Nino. response:	Are you done?
context: We used to be adorable little angels back then, too.\See?\Look.\No interest?\I think I'll show the girls for old times' sake.\Thank goodness.\Nino.\Are you done? response:	I thought it over, and there's no reason to rush into it.
context: See?\Look.\No interest?\I think I'll show the girls for old times' sake.\Thank goodness.\Nino.\Are you done?\I thought it over, and there's no reason to rush into it. response:	As long as I can do it by the time I'm wearing my wedding dress.
context: Look.\No interest?\I think I'll show the girls for old times' sake.\Thank goodness.\Nino.\Are you done?\I thought it over, and there's no reason to rush into it.\As long as I can do it by the time I'm wearing my wedding dress. response:	Never mind that.
context: No interest?\I think I'll show the girls for old times' sake.\Thank goodness.\Nino.\Are you done?\I thought it over, and there's no reason to rush into it.\As long as I can do it by the time I'm wearing my wedding dress.\Never mind that. response:	Look at this picture.
context: I think I'll show the girls for old times' sake.\Thank goodness.\Nino.\Are you done?\I thought it over, and there's no reason to rush into it.\As long as I can do it by the time I'm wearing my wedding dress.\Never mind that.\Look at this picture. response:	It's the five of us.
context: Thank goodness.\Nino.\Are you done?\I thought it over, and there's no reason to rush into it.\As long as I can do it by the time I'm wearing my wedding dress.\Never mind that.\Look at this picture.\It's the five of us. response:	She saw my photo,
context: Nino.\Are you done?\I thought it over, and there's no reason to rush into it.\As long as I can do it by the time I'm wearing my wedding dress.\Never mind that.\Look at this picture.\It's the five of us.\She saw my photo, response:	but good thing she only saw half of it.
context: Are you done?\I thought it over, and there's no reason to rush into it.\As long as I can do it by the time I'm wearing my wedding dress.\Never mind that.\Look at this picture.\It's the five of us.\She saw my photo,\but good thing she only saw half of it. response:	We're all so cute.
context: I thought it over, and there's no reason to rush into it.\As long as I can do it by the time I'm wearing my wedding dress.\Never mind that.\Look at this picture.\It's the five of us.\She saw my photo,\but good thing she only saw half of it.\We're all so cute. response:	When was this again?
context: As long as I can do it by the time I'm wearing my wedding dress.\Never mind that.\Look at this picture.\It's the five of us.\She saw my photo,\but good thing she only saw half of it.\We're all so cute.\When was this again? response:	Sixth grade.
context: Never mind that.\Look at this picture.\It's the five of us.\She saw my photo,\but good thing she only saw half of it.\We're all so cute.\When was this again?\Sixth grade. response:	This was Kyoto, which means...
context: Look at this picture.\It's the five of us.\She saw my photo,\but good thing she only saw half of it.\We're all so cute.\When was this again?\Sixth grade.\This was Kyoto, which means... response:	It's from our school trip.
context: It's the five of us.\She saw my photo,\but good thing she only saw half of it.\We're all so cute.\When was this again?\Sixth grade.\This was Kyoto, which means...\It's from our school trip. response:	Five years ago, huh?
context: She saw my photo,\but good thing she only saw half of it.\We're all so cute.\When was this again?\Sixth grade.\This was Kyoto, which means...\It's from our school trip.\Five years ago, huh? response:	The color's fading a bit.
context: but good thing she only saw half of it.\We're all so cute.\When was this again?\Sixth grade.\This was Kyoto, which means...\It's from our school trip.\Five years ago, huh?\The color's fading a bit. response:	This really takes me back.
context: We're all so cute.\When was this again?\Sixth grade.\This was Kyoto, which means...\It's from our school trip.\Five years ago, huh?\The color's fading a bit.\This really takes me back. response:	We've changed a lot, huh?
context: When was this again?\Sixth grade.\This was Kyoto, which means...\It's from our school trip.\Five years ago, huh?\The color's fading a bit.\This really takes me back.\We've changed a lot, huh? response:	I hope I meet her again.
context: Sixth grade.\This was Kyoto, which means...\It's from our school trip.\Five years ago, huh?\The color's fading a bit.\This really takes me back.\We've changed a lot, huh?\I hope I meet her again. response:	Next Time on The Quintessential Quintuplets
context: This was Kyoto, which means...\It's from our school trip.\Five years ago, huh?\The color's fading a bit.\This really takes me back.\We've changed a lot, huh?\I hope I meet her again.\Next Time on The Quintessential Quintuplets response:	Quintuplet Trivia!
context: It's from our school trip.\Five years ago, huh?\The color's fading a bit.\This really takes me back.\We've changed a lot, huh?\I hope I meet her again.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia! response:	Yotsuba is really athletic.
context: Five years ago, huh?\The color's fading a bit.\This really takes me back.\We've changed a lot, huh?\I hope I meet her again.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Yotsuba is really athletic. response:	But can she memorize the rules?
context: The color's fading a bit.\This really takes me back.\We've changed a lot, huh?\I hope I meet her again.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Yotsuba is really athletic.\But can she memorize the rules? response:	Of course I can.
context: This really takes me back.\We've changed a lot, huh?\I hope I meet her again.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Yotsuba is really athletic.\But can she memorize the rules?\Of course I can. response:	Then what are the rules for basketball?
context: We've changed a lot, huh?\I hope I meet her again.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Yotsuba is really athletic.\But can she memorize the rules?\Of course I can.\Then what are the rules for basketball? response:	Put the ball in the basket, and you get two or three points!
context: I hope I meet her again.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Yotsuba is really athletic.\But can she memorize the rules?\Of course I can.\Then what are the rules for basketball?\Put the ball in the basket, and you get two or three points! response:	That's it?
context: Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Yotsuba is really athletic.\But can she memorize the rules?\Of course I can.\Then what are the rules for basketball?\Put the ball in the basket, and you get two or three points!\That's it? response:	Also, you tend to eat on the way home often.
context: Quintuplet Trivia!\Yotsuba is really athletic.\But can she memorize the rules?\Of course I can.\Then what are the rules for basketball?\Put the ball in the basket, and you get two or three points!\That's it?\Also, you tend to eat on the way home often. response:	That's just an after-practice trope!
