context: M-Mankanshoku! response:	Hey! How come the slacker's wearing a Goku Uniform?!
context: - Life Fiber Synchronize, Kamui Senketsu! - Life Fiber Override, Kamui Junketsu!\KAMUI SENKETSU KAMUI JUNKETSU\All right, let's take back\our academy!\Yeah!\Ryuko!\This world belongs to Life Fibers.\You cannot stop the advent of the Starseed Cocoon Sphere. response:	STARSEED COCOON SPHERE
context: KAMUI SENKETSU KAMUI JUNKETSU\All right, let's take back\our academy!\Yeah!\Ryuko!\This world belongs to Life Fibers.\You cannot stop the advent of the Starseed Cocoon Sphere.\STARSEED COCOON SPHERE response:	We will!
context: All right, let's take back\our academy!\Yeah!\Ryuko!\This world belongs to Life Fibers.\You cannot stop the advent of the Starseed Cocoon Sphere.\STARSEED COCOON SPHERE\We will! response:	Kiryuin blood flows in our veins, and for that very reason,
context: our academy!\Yeah!\Ryuko!\This world belongs to Life Fibers.\You cannot stop the advent of the Starseed Cocoon Sphere.\STARSEED COCOON SPHERE\We will!\Kiryuin blood flows in our veins, and for that very reason, response:	we will alter that fate!
context: Yeah!\Ryuko!\This world belongs to Life Fibers.\You cannot stop the advent of the Starseed Cocoon Sphere.\STARSEED COCOON SPHERE\We will!\Kiryuin blood flows in our veins, and for that very reason,\we will alter that fate! response:	We've already killed the Original Life Fiber.
context: Ryuko!\This world belongs to Life Fibers.\You cannot stop the advent of the Starseed Cocoon Sphere.\STARSEED COCOON SPHERE\We will!\Kiryuin blood flows in our veins, and for that very reason,\we will alter that fate!\We've already killed the Original Life Fiber. response:	Quit being a sore loser!
context: This world belongs to Life Fibers.\You cannot stop the advent of the Starseed Cocoon Sphere.\STARSEED COCOON SPHERE\We will!\Kiryuin blood flows in our veins, and for that very reason,\we will alter that fate!\We've already killed the Original Life Fiber.\Quit being a sore loser! response:	Be careful, Ryuko.
context: You cannot stop the advent of the Starseed Cocoon Sphere.\STARSEED COCOON SPHERE\We will!\Kiryuin blood flows in our veins, and for that very reason,\we will alter that fate!\We've already killed the Original Life Fiber.\Quit being a sore loser!\Be careful, Ryuko. response:	This woman is dangerous.
context: STARSEED COCOON SPHERE\We will!\Kiryuin blood flows in our veins, and for that very reason,\we will alter that fate!\We've already killed the Original Life Fiber.\Quit being a sore loser!\Be careful, Ryuko.\This woman is dangerous. response:	She's on a whole different level from before.
context: We will!\Kiryuin blood flows in our veins, and for that very reason,\we will alter that fate!\We've already killed the Original Life Fiber.\Quit being a sore loser!\Be careful, Ryuko.\This woman is dangerous.\She's on a whole different level from before. response:	Don't wimp out on me, Senketsu.
context: Kiryuin blood flows in our veins, and for that very reason,\we will alter that fate!\We've already killed the Original Life Fiber.\Quit being a sore loser!\Be careful, Ryuko.\This woman is dangerous.\She's on a whole different level from before.\Don't wimp out on me, Senketsu. response:	The Kamui speaks the truth.
context: we will alter that fate!\We've already killed the Original Life Fiber.\Quit being a sore loser!\Be careful, Ryuko.\This woman is dangerous.\She's on a whole different level from before.\Don't wimp out on me, Senketsu.\The Kamui speaks the truth. response:	Behold!
context: We've already killed the Original Life Fiber.\Quit being a sore loser!\Be careful, Ryuko.\This woman is dangerous.\She's on a whole different level from before.\Don't wimp out on me, Senketsu.\The Kamui speaks the truth.\Behold! response:	Shinra-Koketsu!
context: Quit being a sore loser!\Be careful, Ryuko.\This woman is dangerous.\She's on a whole different level from before.\Don't wimp out on me, Senketsu.\The Kamui speaks the truth.\Behold!\Shinra-Koketsu! response:	SHINRA-KOKETSU
context: Be careful, Ryuko.\This woman is dangerous.\She's on a whole different level from before.\Don't wimp out on me, Senketsu.\The Kamui speaks the truth.\Behold!\Shinra-Koketsu!\SHINRA-KOKETSU response:	Time for the finishing touches, Hououmaru.
context: This woman is dangerous.\She's on a whole different level from before.\Don't wimp out on me, Senketsu.\The Kamui speaks the truth.\Behold!\Shinra-Koketsu!\SHINRA-KOKETSU\Time for the finishing touches, Hououmaru. response:	I am ready.
context: She's on a whole different level from before.\Don't wimp out on me, Senketsu.\The Kamui speaks the truth.\Behold!\Shinra-Koketsu!\SHINRA-KOKETSU\Time for the finishing touches, Hououmaru.\I am ready. response:	Learn what true fear is,
context: Don't wimp out on me, Senketsu.\The Kamui speaks the truth.\Behold!\Shinra-Koketsu!\SHINRA-KOKETSU\Time for the finishing touches, Hououmaru.\I am ready.\Learn what true fear is, response:	my foolish daughters!
context: The Kamui speaks the truth.\Behold!\Shinra-Koketsu!\SHINRA-KOKETSU\Time for the finishing touches, Hououmaru.\I am ready.\Learn what true fear is,\my foolish daughters! response:	MANKIND FACES ITS GREATEST CRISIS
context: Behold!\Shinra-Koketsu!\SHINRA-KOKETSU\Time for the finishing touches, Hououmaru.\I am ready.\Learn what true fear is,\my foolish daughters!\MANKIND FACES ITS GREATEST CRISIS response:	As mankind faces its greatest crisis, so does TRIGGER!
context: Shinra-Koketsu!\SHINRA-KOKETSU\Time for the finishing touches, Hououmaru.\I am ready.\Learn what true fear is,\my foolish daughters!\MANKIND FACES ITS GREATEST CRISIS\As mankind faces its greatest crisis, so does TRIGGER! response:	SO DOES TRIGGER
context: SHINRA-KOKETSU\Time for the finishing touches, Hououmaru.\I am ready.\Learn what true fear is,\my foolish daughters!\MANKIND FACES ITS GREATEST CRISIS\As mankind faces its greatest crisis, so does TRIGGER!\SO DOES TRIGGER response:	FACE THEIR GREATEST CRISIS
context: Time for the finishing touches, Hououmaru.\I am ready.\Learn what true fear is,\my foolish daughters!\MANKIND FACES ITS GREATEST CRISIS\As mankind faces its greatest crisis, so does TRIGGER!\SO DOES TRIGGER\FACE THEIR GREATEST CRISIS response:	FATEFUL MOTHER AND DAUGHTERS
context: I am ready.\Learn what true fear is,\my foolish daughters!\MANKIND FACES ITS GREATEST CRISIS\As mankind faces its greatest crisis, so does TRIGGER!\SO DOES TRIGGER\FACE THEIR GREATEST CRISIS\FATEFUL MOTHER AND DAUGHTERS response:	Whether the fateful showdown between mother and daughters will be concluded
context: Learn what true fear is,\my foolish daughters!\MANKIND FACES ITS GREATEST CRISIS\As mankind faces its greatest crisis, so does TRIGGER!\SO DOES TRIGGER\FACE THEIR GREATEST CRISIS\FATEFUL MOTHER AND DAUGHTERS\Whether the fateful showdown between mother and daughters will be concluded response:	AND
context: my foolish daughters!\MANKIND FACES ITS GREATEST CRISIS\As mankind faces its greatest crisis, so does TRIGGER!\SO DOES TRIGGER\FACE THEIR GREATEST CRISIS\FATEFUL MOTHER AND DAUGHTERS\Whether the fateful showdown between mother and daughters will be concluded\AND response:	SHOWDOWN
context: MANKIND FACES ITS GREATEST CRISIS\As mankind faces its greatest crisis, so does TRIGGER!\SO DOES TRIGGER\FACE THEIR GREATEST CRISIS\FATEFUL MOTHER AND DAUGHTERS\Whether the fateful showdown between mother and daughters will be concluded\AND\SHOWDOWN response:	WHETHER IT WILL BE CONCLUDED OR NOT
context: As mankind faces its greatest crisis, so does TRIGGER!\SO DOES TRIGGER\FACE THEIR GREATEST CRISIS\FATEFUL MOTHER AND DAUGHTERS\Whether the fateful showdown between mother and daughters will be concluded\AND\SHOWDOWN\WHETHER IT WILL BE CONCLUDED OR NOT response:	STAFF
context: SO DOES TRIGGER\FACE THEIR GREATEST CRISIS\FATEFUL MOTHER AND DAUGHTERS\Whether the fateful showdown between mother and daughters will be concluded\AND\SHOWDOWN\WHETHER IT WILL BE CONCLUDED OR NOT\STAFF response:	is all up to the staff's hard work!
context: FACE THEIR GREATEST CRISIS\FATEFUL MOTHER AND DAUGHTERS\Whether the fateful showdown between mother and daughters will be concluded\AND\SHOWDOWN\WHETHER IT WILL BE CONCLUDED OR NOT\STAFF\is all up to the staff's hard work! response:	AND
context: FATEFUL MOTHER AND DAUGHTERS\Whether the fateful showdown between mother and daughters will be concluded\AND\SHOWDOWN\WHETHER IT WILL BE CONCLUDED OR NOT\STAFF\is all up to the staff's hard work!\AND response:	UP TO HARD WORK
context: Whether the fateful showdown between mother and daughters will be concluded\AND\SHOWDOWN\WHETHER IT WILL BE CONCLUDED OR NOT\STAFF\is all up to the staff's hard work!\AND\UP TO HARD WORK response:	FIGHT ON
context: AND\SHOWDOWN\WHETHER IT WILL BE CONCLUDED OR NOT\STAFF\is all up to the staff's hard work!\AND\UP TO HARD WORK\FIGHT ON response:	Fight on, TRIGGER! Don't lose, TRIGGER!
context: SHOWDOWN\WHETHER IT WILL BE CONCLUDED OR NOT\STAFF\is all up to the staff's hard work!\AND\UP TO HARD WORK\FIGHT ON\Fight on, TRIGGER! Don't lose, TRIGGER! response:	TRIGGER
context: WHETHER IT WILL BE CONCLUDED OR NOT\STAFF\is all up to the staff's hard work!\AND\UP TO HARD WORK\FIGHT ON\Fight on, TRIGGER! Don't lose, TRIGGER!\TRIGGER response:	DON'T LOSE
context: STAFF\is all up to the staff's hard work!\AND\UP TO HARD WORK\FIGHT ON\Fight on, TRIGGER! Don't lose, TRIGGER!\TRIGGER\DON'T LOSE response:	TRIGGER
context: is all up to the staff's hard work!\AND\UP TO HARD WORK\FIGHT ON\Fight on, TRIGGER! Don't lose, TRIGGER!\TRIGGER\DON'T LOSE\TRIGGER response:	KILL LA KILL
context: AND\UP TO HARD WORK\FIGHT ON\Fight on, TRIGGER! Don't lose, TRIGGER!\TRIGGER\DON'T LOSE\TRIGGER\KILL LA KILL response:	Kill la Kill, the finale! Past the Infinite Darkness!
context: UP TO HARD WORK\FIGHT ON\Fight on, TRIGGER! Don't lose, TRIGGER!\TRIGGER\DON'T LOSE\TRIGGER\KILL LA KILL\Kill la Kill, the finale! Past the Infinite Darkness! response:	FINALE
context: FIGHT ON\Fight on, TRIGGER! Don't lose, TRIGGER!\TRIGGER\DON'T LOSE\TRIGGER\KILL LA KILL\Kill la Kill, the finale! Past the Infinite Darkness!\FINALE response:	EPISODE 24 PAST THE INFINITE DARKNESS
