context: Bastard... response:	Son of a bitch, this ain't funny.
context: What the...?!\Gajeel!\Seriously?!\The hub of the magic power that flows through the Infinity Castle...\We should be close to it, but...\I don't smell Lucy's scent. Why not?!\Maybe it's because she's linked up to the Infinity Clock!\I'm picking up Michelle's scent! response:	If we follow that, it could lead us to Lucy!
context: Gajeel!\Seriously?!\The hub of the magic power that flows through the Infinity Castle...\We should be close to it, but...\I don't smell Lucy's scent. Why not?!\Maybe it's because she's linked up to the Infinity Clock!\I'm picking up Michelle's scent!\If we follow that, it could lead us to Lucy! response:	Alright!
context: Seriously?!\The hub of the magic power that flows through the Infinity Castle...\We should be close to it, but...\I don't smell Lucy's scent. Why not?!\Maybe it's because she's linked up to the Infinity Clock!\I'm picking up Michelle's scent!\If we follow that, it could lead us to Lucy!\Alright! response:	Lucy!
context: The hub of the magic power that flows through the Infinity Castle...\We should be close to it, but...\I don't smell Lucy's scent. Why not?!\Maybe it's because she's linked up to the Infinity Clock!\I'm picking up Michelle's scent!\If we follow that, it could lead us to Lucy!\Alright!\Lucy! response:	Natsu...
context: We should be close to it, but...\I don't smell Lucy's scent. Why not?!\Maybe it's because she's linked up to the Infinity Clock!\I'm picking up Michelle's scent!\If we follow that, it could lead us to Lucy!\Alright!\Lucy!\Natsu... response:	Elfman...
context: I don't smell Lucy's scent. Why not?!\Maybe it's because she's linked up to the Infinity Clock!\I'm picking up Michelle's scent!\If we follow that, it could lead us to Lucy!\Alright!\Lucy!\Natsu...\Elfman... response:	Coco...
context: Maybe it's because she's linked up to the Infinity Clock!\I'm picking up Michelle's scent!\If we follow that, it could lead us to Lucy!\Alright!\Lucy!\Natsu...\Elfman...\Coco... response:	Nee-san's never going back to you people.
context: I'm picking up Michelle's scent!\If we follow that, it could lead us to Lucy!\Alright!\Lucy!\Natsu...\Elfman...\Coco...\Nee-san's never going back to you people. response:	All Nee-san needs is me!
context: If we follow that, it could lead us to Lucy!\Alright!\Lucy!\Natsu...\Elfman...\Coco...\Nee-san's never going back to you people.\All Nee-san needs is me! response:	Michelle!
context: Alright!\Lucy!\Natsu...\Elfman...\Coco...\Nee-san's never going back to you people.\All Nee-san needs is me!\Michelle! response:	I won't let anyone have Nee-san!
context: Lucy!\Natsu...\Elfman...\Coco...\Nee-san's never going back to you people.\All Nee-san needs is me!\Michelle!\I won't let anyone have Nee-san! response:	Come to think of it, I guess an angel appeared this time.
context: Natsu...\Elfman...\Coco...\Nee-san's never going back to you people.\All Nee-san needs is me!\Michelle!\I won't let anyone have Nee-san!\Come to think of it, I guess an angel appeared this time. response:	An angel? Aren't angels creatures from fantasy stories?
context: Elfman...\Coco...\Nee-san's never going back to you people.\All Nee-san needs is me!\Michelle!\I won't let anyone have Nee-san!\Come to think of it, I guess an angel appeared this time.\An angel? Aren't angels creatures from fantasy stories? response:	I don't really know,
context: Coco...\Nee-san's never going back to you people.\All Nee-san needs is me!\Michelle!\I won't let anyone have Nee-san!\Come to think of it, I guess an angel appeared this time.\An angel? Aren't angels creatures from fantasy stories?\I don't really know, response:	but I saw with my own eyes, so what do you want me to say?
context: Nee-san's never going back to you people.\All Nee-san needs is me!\Michelle!\I won't let anyone have Nee-san!\Come to think of it, I guess an angel appeared this time.\An angel? Aren't angels creatures from fantasy stories?\I don't really know,\but I saw with my own eyes, so what do you want me to say? response:	Oh, maybe you're talking about me.
context: All Nee-san needs is me!\Michelle!\I won't let anyone have Nee-san!\Come to think of it, I guess an angel appeared this time.\An angel? Aren't angels creatures from fantasy stories?\I don't really know,\but I saw with my own eyes, so what do you want me to say?\Oh, maybe you're talking about me. response:	How the hell could you take what I said to mean that?
context: Michelle!\I won't let anyone have Nee-san!\Come to think of it, I guess an angel appeared this time.\An angel? Aren't angels creatures from fantasy stories?\I don't really know,\but I saw with my own eyes, so what do you want me to say?\Oh, maybe you're talking about me.\How the hell could you take what I said to mean that? response:	When you say Fairy Tail and angel together, you must be referring to me, right?
context: I won't let anyone have Nee-san!\Come to think of it, I guess an angel appeared this time.\An angel? Aren't angels creatures from fantasy stories?\I don't really know,\but I saw with my own eyes, so what do you want me to say?\Oh, maybe you're talking about me.\How the hell could you take what I said to mean that?\When you say Fairy Tail and angel together, you must be referring to me, right? response:	Next time: An Angel's Tears!
context: Come to think of it, I guess an angel appeared this time.\An angel? Aren't angels creatures from fantasy stories?\I don't really know,\but I saw with my own eyes, so what do you want me to say?\Oh, maybe you're talking about me.\How the hell could you take what I said to mean that?\When you say Fairy Tail and angel together, you must be referring to me, right?\Next time: An Angel's Tears! response:	Since when has anyone identified you as an angel?
context: An angel? Aren't angels creatures from fantasy stories?\I don't really know,\but I saw with my own eyes, so what do you want me to say?\Oh, maybe you're talking about me.\How the hell could you take what I said to mean that?\When you say Fairy Tail and angel together, you must be referring to me, right?\Next time: An Angel's Tears!\Since when has anyone identified you as an angel? response:	Maybe since the day I was born...
context: I don't really know,\but I saw with my own eyes, so what do you want me to say?\Oh, maybe you're talking about me.\How the hell could you take what I said to mean that?\When you say Fairy Tail and angel together, you must be referring to me, right?\Next time: An Angel's Tears!\Since when has anyone identified you as an angel?\Maybe since the day I was born... response:	I'm surprised you can say that with a straight face.
