context: The Grand Magic Games are held once a year. response:	Seeking to fill in the blank of the last seven years, Natsu and the rest of the Tenrou group
context: No.\What does this mean?\So midnight is the time the elimination round starts?\And it'll suddenly narrow down 113 guilds to eight?\113...\Huh? That's more than the number of guilds in Fiore...\They couldn't have notified everyone beforehand about an elimination round?\Peculiar behavior... response:	Too many guilds...
context: What does this mean?\So midnight is the time the elimination round starts?\And it'll suddenly narrow down 113 guilds to eight?\113...\Huh? That's more than the number of guilds in Fiore...\They couldn't have notified everyone beforehand about an elimination round?\Peculiar behavior...\Too many guilds... response:	Mysterious magic power...
context: So midnight is the time the elimination round starts?\And it'll suddenly narrow down 113 guilds to eight?\113...\Huh? That's more than the number of guilds in Fiore...\They couldn't have notified everyone beforehand about an elimination round?\Peculiar behavior...\Too many guilds...\Mysterious magic power... response:	Is the sponsor the one we should be suspicious of?
context: And it'll suddenly narrow down 113 guilds to eight?\113...\Huh? That's more than the number of guilds in Fiore...\They couldn't have notified everyone beforehand about an elimination round?\Peculiar behavior...\Too many guilds...\Mysterious magic power...\Is the sponsor the one we should be suspicious of? response:	Every year, the number of participating guilds increases
context: 113...\Huh? That's more than the number of guilds in Fiore...\They couldn't have notified everyone beforehand about an elimination round?\Peculiar behavior...\Too many guilds...\Mysterious magic power...\Is the sponsor the one we should be suspicious of?\Every year, the number of participating guilds increases response:	and it was pointed out that the events were getting stale.
context: Huh? That's more than the number of guilds in Fiore...\They couldn't have notified everyone beforehand about an elimination round?\Peculiar behavior...\Too many guilds...\Mysterious magic power...\Is the sponsor the one we should be suspicious of?\Every year, the number of participating guilds increases\and it was pointed out that the events were getting stale. response:	This year, there will be only eight teams competing in the official games.
context: They couldn't have notified everyone beforehand about an elimination round?\Peculiar behavior...\Too many guilds...\Mysterious magic power...\Is the sponsor the one we should be suspicious of?\Every year, the number of participating guilds increases\and it was pointed out that the events were getting stale.\This year, there will be only eight teams competing in the official games. response:	The elimination rules are simple!
context: Peculiar behavior...\Too many guilds...\Mysterious magic power...\Is the sponsor the one we should be suspicious of?\Every year, the number of participating guilds increases\and it was pointed out that the events were getting stale.\This year, there will be only eight teams competing in the official games.\The elimination rules are simple! response:	What the...?!
context: Too many guilds...\Mysterious magic power...\Is the sponsor the one we should be suspicious of?\Every year, the number of participating guilds increases\and it was pointed out that the events were getting stale.\This year, there will be only eight teams competing in the official games.\The elimination rules are simple!\What the...?! response:	What is this?!
context: Mysterious magic power...\Is the sponsor the one we should be suspicious of?\Every year, the number of participating guilds increases\and it was pointed out that the events were getting stale.\This year, there will be only eight teams competing in the official games.\The elimination rules are simple!\What the...?!\What is this?! response:	The inn is transforming!
context: Is the sponsor the one we should be suspicious of?\Every year, the number of participating guilds increases\and it was pointed out that the events were getting stale.\This year, there will be only eight teams competing in the official games.\The elimination rules are simple!\What the...?!\What is this?!\The inn is transforming! response:	Look! It's the same with the other inns!
context: Every year, the number of participating guilds increases\and it was pointed out that the events were getting stale.\This year, there will be only eight teams competing in the official games.\The elimination rules are simple!\What the...?!\What is this?!\The inn is transforming!\Look! It's the same with the other inns! response:	Transforming is a Man's romantic fantasy!
context: and it was pointed out that the events were getting stale.\This year, there will be only eight teams competing in the official games.\The elimination rules are simple!\What the...?!\What is this?!\The inn is transforming!\Look! It's the same with the other inns!\Transforming is a Man's romantic fantasy! response:	All of you are going to race each other.
context: This year, there will be only eight teams competing in the official games.\The elimination rules are simple!\What the...?!\What is this?!\The inn is transforming!\Look! It's the same with the other inns!\Transforming is a Man's romantic fantasy!\All of you are going to race each other. response:	The goal is the Games arena, Domus Flau.
context: The elimination rules are simple!\What the...?!\What is this?!\The inn is transforming!\Look! It's the same with the other inns!\Transforming is a Man's romantic fantasy!\All of you are going to race each other.\The goal is the Games arena, Domus Flau. response:	The first eight teams to arrive there will go on.
context: What the...?!\What is this?!\The inn is transforming!\Look! It's the same with the other inns!\Transforming is a Man's romantic fantasy!\All of you are going to race each other.\The goal is the Games arena, Domus Flau.\The first eight teams to arrive there will go on. response:	Paths!
context: What is this?!\The inn is transforming!\Look! It's the same with the other inns!\Transforming is a Man's romantic fantasy!\All of you are going to race each other.\The goal is the Games arena, Domus Flau.\The first eight teams to arrive there will go on.\Paths! response:	We have to take the path?
context: The inn is transforming!\Look! It's the same with the other inns!\Transforming is a Man's romantic fantasy!\All of you are going to race each other.\The goal is the Games arena, Domus Flau.\The first eight teams to arrive there will go on.\Paths!\We have to take the path? response:	You're free to use your magic.
context: Look! It's the same with the other inns!\Transforming is a Man's romantic fantasy!\All of you are going to race each other.\The goal is the Games arena, Domus Flau.\The first eight teams to arrive there will go on.\Paths!\We have to take the path?\You're free to use your magic. response:	There are no restrictions.
context: Transforming is a Man's romantic fantasy!\All of you are going to race each other.\The goal is the Games arena, Domus Flau.\The first eight teams to arrive there will go on.\Paths!\We have to take the path?\You're free to use your magic.\There are no restrictions. response:	But remember, only the first eight teams to get to the goal will survive this round.
context: All of you are going to race each other.\The goal is the Games arena, Domus Flau.\The first eight teams to arrive there will go on.\Paths!\We have to take the path?\You're free to use your magic.\There are no restrictions.\But remember, only the first eight teams to get to the goal will survive this round. response:	However, all five members must arrive together or it doesn't count!
context: The goal is the Games arena, Domus Flau.\The first eight teams to arrive there will go on.\Paths!\We have to take the path?\You're free to use your magic.\There are no restrictions.\But remember, only the first eight teams to get to the goal will survive this round.\However, all five members must arrive together or it doesn't count! response:	And one more thing!
context: The first eight teams to arrive there will go on.\Paths!\We have to take the path?\You're free to use your magic.\There are no restrictions.\But remember, only the first eight teams to get to the goal will survive this round.\However, all five members must arrive together or it doesn't count!\And one more thing! response:	We take no responsibility for any lives lost in the labyrinth.
context: Paths!\We have to take the path?\You're free to use your magic.\There are no restrictions.\But remember, only the first eight teams to get to the goal will survive this round.\However, all five members must arrive together or it doesn't count!\And one more thing!\We take no responsibility for any lives lost in the labyrinth. response:	Labyrinth?!
context: We have to take the path?\You're free to use your magic.\There are no restrictions.\But remember, only the first eight teams to get to the goal will survive this round.\However, all five members must arrive together or it doesn't count!\And one more thing!\We take no responsibility for any lives lost in the labyrinth.\Labyrinth?! response:	The Grand Magic Games elimination round!
context: You're free to use your magic.\There are no restrictions.\But remember, only the first eight teams to get to the goal will survive this round.\However, all five members must arrive together or it doesn't count!\And one more thing!\We take no responsibility for any lives lost in the labyrinth.\Labyrinth?!\The Grand Magic Games elimination round! response:	Sky Labyrinth... begin!
context: There are no restrictions.\But remember, only the first eight teams to get to the goal will survive this round.\However, all five members must arrive together or it doesn't count!\And one more thing!\We take no responsibility for any lives lost in the labyrinth.\Labyrinth?!\The Grand Magic Games elimination round!\Sky Labyrinth... begin! response:	Oh, man! What the hell is that?!
context: But remember, only the first eight teams to get to the goal will survive this round.\However, all five members must arrive together or it doesn't count!\And one more thing!\We take no responsibility for any lives lost in the labyrinth.\Labyrinth?!\The Grand Magic Games elimination round!\Sky Labyrinth... begin!\Oh, man! What the hell is that?! response:	A giant labyrinth in the sky?
context: However, all five members must arrive together or it doesn't count!\And one more thing!\We take no responsibility for any lives lost in the labyrinth.\Labyrinth?!\The Grand Magic Games elimination round!\Sky Labyrinth... begin!\Oh, man! What the hell is that?!\A giant labyrinth in the sky? response:	It looks like that's the venue for the elimination round.
context: And one more thing!\We take no responsibility for any lives lost in the labyrinth.\Labyrinth?!\The Grand Magic Games elimination round!\Sky Labyrinth... begin!\Oh, man! What the hell is that?!\A giant labyrinth in the sky?\It looks like that's the venue for the elimination round. response:	I suck at mazes!
context: We take no responsibility for any lives lost in the labyrinth.\Labyrinth?!\The Grand Magic Games elimination round!\Sky Labyrinth... begin!\Oh, man! What the hell is that?!\A giant labyrinth in the sky?\It looks like that's the venue for the elimination round.\I suck at mazes! response:	Like he said, the first eight teams to get to the goal will make it past this round.
context: Labyrinth?!\The Grand Magic Games elimination round!\Sky Labyrinth... begin!\Oh, man! What the hell is that?!\A giant labyrinth in the sky?\It looks like that's the venue for the elimination round.\I suck at mazes!\Like he said, the first eight teams to get to the goal will make it past this round. response:	So it's a competition!
context: The Grand Magic Games elimination round!\Sky Labyrinth... begin!\Oh, man! What the hell is that?!\A giant labyrinth in the sky?\It looks like that's the venue for the elimination round.\I suck at mazes!\Like he said, the first eight teams to get to the goal will make it past this round.\So it's a competition! response:	But I guess all five members of the team have to get to the goal together.
context: Sky Labyrinth... begin!\Oh, man! What the hell is that?!\A giant labyrinth in the sky?\It looks like that's the venue for the elimination round.\I suck at mazes!\Like he said, the first eight teams to get to the goal will make it past this round.\So it's a competition!\But I guess all five members of the team have to get to the goal together. response:	Crap! Wendy's not here!
context: Oh, man! What the hell is that?!\A giant labyrinth in the sky?\It looks like that's the venue for the elimination round.\I suck at mazes!\Like he said, the first eight teams to get to the goal will make it past this round.\So it's a competition!\But I guess all five members of the team have to get to the goal together.\Crap! Wendy's not here! response:	Next time: Sky Labyrinth!
context: A giant labyrinth in the sky?\It looks like that's the venue for the elimination round.\I suck at mazes!\Like he said, the first eight teams to get to the goal will make it past this round.\So it's a competition!\But I guess all five members of the team have to get to the goal together.\Crap! Wendy's not here!\Next time: Sky Labyrinth! response:	Hey, how about if I fill in for Wendy...?
context: It looks like that's the venue for the elimination round.\I suck at mazes!\Like he said, the first eight teams to get to the goal will make it past this round.\So it's a competition!\But I guess all five members of the team have to get to the goal together.\Crap! Wendy's not here!\Next time: Sky Labyrinth!\Hey, how about if I fill in for Wendy...? response:	Elfman says he'll join the team!
context: I suck at mazes!\Like he said, the first eight teams to get to the goal will make it past this round.\So it's a competition!\But I guess all five members of the team have to get to the goal together.\Crap! Wendy's not here!\Next time: Sky Labyrinth!\Hey, how about if I fill in for Wendy...?\Elfman says he'll join the team! response:	Figures...
