context: Hey Natsu, don't you think our guild has a whole lot of special events? response:	Yeah... There's the that big parade, the Fantasia...
context: The four of you will do a super-embarrassing photo spread for the issue two weeks from now!\A super-magnificent 20 pages, together with a one-week, all-access interview!\A super-embarrassing photo spread?\I'll go buy a display and preservation tools, Gray-sama!\Don't do that!\Now then, everyone... Let's go right ahead and start picking out clothes!\Wait!\Oh, hell no! response:	Wait! Cool!
context: A super-magnificent 20 pages, together with a one-week, all-access interview!\A super-embarrassing photo spread?\I'll go buy a display and preservation tools, Gray-sama!\Don't do that!\Now then, everyone... Let's go right ahead and start picking out clothes!\Wait!\Oh, hell no!\Wait! Cool! response:	They're running again?
context: A super-embarrassing photo spread?\I'll go buy a display and preservation tools, Gray-sama!\Don't do that!\Now then, everyone... Let's go right ahead and start picking out clothes!\Wait!\Oh, hell no!\Wait! Cool!\They're running again? response:	Seems they still have plenty of stamina.
context: I'll go buy a display and preservation tools, Gray-sama!\Don't do that!\Now then, everyone... Let's go right ahead and start picking out clothes!\Wait!\Oh, hell no!\Wait! Cool!\They're running again?\Seems they still have plenty of stamina. response:	As expected.
context: Don't do that!\Now then, everyone... Let's go right ahead and start picking out clothes!\Wait!\Oh, hell no!\Wait! Cool!\They're running again?\Seems they still have plenty of stamina.\As expected. response:	I don't think that's what it is.
context: Now then, everyone... Let's go right ahead and start picking out clothes!\Wait!\Oh, hell no!\Wait! Cool!\They're running again?\Seems they still have plenty of stamina.\As expected.\I don't think that's what it is. response:	Gray-sama's photo spread!
context: Wait!\Oh, hell no!\Wait! Cool!\They're running again?\Seems they still have plenty of stamina.\As expected.\I don't think that's what it is.\Gray-sama's photo spread! response:	By the way, Master...
context: Oh, hell no!\Wait! Cool!\They're running again?\Seems they still have plenty of stamina.\As expected.\I don't think that's what it is.\Gray-sama's photo spread!\By the way, Master... response:	I won, so do I get something nice?
context: Wait! Cool!\They're running again?\Seems they still have plenty of stamina.\As expected.\I don't think that's what it is.\Gray-sama's photo spread!\By the way, Master...\I won, so do I get something nice? response:	You already did!
context: They're running again?\Seems they still have plenty of stamina.\As expected.\I don't think that's what it is.\Gray-sama's photo spread!\By the way, Master...\I won, so do I get something nice?\You already did! response:	You got the joy of winning and everyone's cheers!
context: Seems they still have plenty of stamina.\As expected.\I don't think that's what it is.\Gray-sama's photo spread!\By the way, Master...\I won, so do I get something nice?\You already did!\You got the joy of winning and everyone's cheers! response:	There is no greater honor, am I right?
context: As expected.\I don't think that's what it is.\Gray-sama's photo spread!\By the way, Master...\I won, so do I get something nice?\You already did!\You got the joy of winning and everyone's cheers!\There is no greater honor, am I right? response:	Wait, seriously?
context: I don't think that's what it is.\Gray-sama's photo spread!\By the way, Master...\I won, so do I get something nice?\You already did!\You got the joy of winning and everyone's cheers!\There is no greater honor, am I right?\Wait, seriously? response:	That's it?
context: Gray-sama's photo spread!\By the way, Master...\I won, so do I get something nice?\You already did!\You got the joy of winning and everyone's cheers!\There is no greater honor, am I right?\Wait, seriously?\That's it? response:	Seriously...?
context: By the way, Master...\I won, so do I get something nice?\You already did!\You got the joy of winning and everyone's cheers!\There is no greater honor, am I right?\Wait, seriously?\That's it?\Seriously...? response:	Aww...
context: I won, so do I get something nice?\You already did!\You got the joy of winning and everyone's cheers!\There is no greater honor, am I right?\Wait, seriously?\That's it?\Seriously...?\Aww... response:	Gildarts has finally come back?!
context: You already did!\You got the joy of winning and everyone's cheers!\There is no greater honor, am I right?\Wait, seriously?\That's it?\Seriously...?\Aww...\Gildarts has finally come back?! response:	Aye! He's been away on a quest for who knows how many years.
context: You got the joy of winning and everyone's cheers!\There is no greater honor, am I right?\Wait, seriously?\That's it?\Seriously...?\Aww...\Gildarts has finally come back?!\Aye! He's been away on a quest for who knows how many years. response:	I can't wait to meet him!
context: There is no greater honor, am I right?\Wait, seriously?\That's it?\Seriously...?\Aww...\Gildarts has finally come back?!\Aye! He's been away on a quest for who knows how many years.\I can't wait to meet him! response:	Yeah!
context: Wait, seriously?\That's it?\Seriously...?\Aww...\Gildarts has finally come back?!\Aye! He's been away on a quest for who knows how many years.\I can't wait to meet him!\Yeah! response:	When he gets back, I'm challenging him right away!
context: That's it?\Seriously...?\Aww...\Gildarts has finally come back?!\Aye! He's been away on a quest for who knows how many years.\I can't wait to meet him!\Yeah!\When he gets back, I'm challenging him right away! response:	Even though you'll just lose?
context: Seriously...?\Aww...\Gildarts has finally come back?!\Aye! He's been away on a quest for who knows how many years.\I can't wait to meet him!\Yeah!\When he gets back, I'm challenging him right away!\Even though you'll just lose? response:	I'll win this time.
context: Aww...\Gildarts has finally come back?!\Aye! He's been away on a quest for who knows how many years.\I can't wait to meet him!\Yeah!\When he gets back, I'm challenging him right away!\Even though you'll just lose?\I'll win this time. response:	Definitely win!
context: Gildarts has finally come back?!\Aye! He's been away on a quest for who knows how many years.\I can't wait to meet him!\Yeah!\When he gets back, I'm challenging him right away!\Even though you'll just lose?\I'll win this time.\Definitely win! response:	Have you ever won after saying that?
context: Aye! He's been away on a quest for who knows how many years.\I can't wait to meet him!\Yeah!\When he gets back, I'm challenging him right away!\Even though you'll just lose?\I'll win this time.\Definitely win!\Have you ever won after saying that? response:	Next time: Gildarts.
context: I can't wait to meet him!\Yeah!\When he gets back, I'm challenging him right away!\Even though you'll just lose?\I'll win this time.\Definitely win!\Have you ever won after saying that?\Next time: Gildarts. response:	Happy, prepare a party to celebrate my first victory!
context: Yeah!\When he gets back, I'm challenging him right away!\Even though you'll just lose?\I'll win this time.\Definitely win!\Have you ever won after saying that?\Next time: Gildarts.\Happy, prepare a party to celebrate my first victory! response:	Aye!
context: When he gets back, I'm challenging him right away!\Even though you'll just lose?\I'll win this time.\Definitely win!\Have you ever won after saying that?\Next time: Gildarts.\Happy, prepare a party to celebrate my first victory!\Aye! response:	I'll prepare for a better luck next time party!
context: Even though you'll just lose?\I'll win this time.\Definitely win!\Have you ever won after saying that?\Next time: Gildarts.\Happy, prepare a party to celebrate my first victory!\Aye!\I'll prepare for a better luck next time party! response:	Were you even listening to me?!
