context: Rokuro, Saizo, Isanami. response:	The three of you will accompany me to the capitol.
context: Don't let Sanada escape!\Hey, what's wrong?\Why are we going back to Ueda now?\I didn't even get to buy souvenirs.\My apologies, Isanami. You can get them next time.\I heard he's headed towards Omi!\Follow him! Don't let him escape!\You can't get through here. response:	It's one of Sanada's men!
context: Hey, what's wrong?\Why are we going back to Ueda now?\I didn't even get to buy souvenirs.\My apologies, Isanami. You can get them next time.\I heard he's headed towards Omi!\Follow him! Don't let him escape!\You can't get through here.\It's one of Sanada's men! response:	Kill him!
context: Why are we going back to Ueda now?\I didn't even get to buy souvenirs.\My apologies, Isanami. You can get them next time.\I heard he's headed towards Omi!\Follow him! Don't let him escape!\You can't get through here.\It's one of Sanada's men!\Kill him! response:	Idiots!
context: I didn't even get to buy souvenirs.\My apologies, Isanami. You can get them next time.\I heard he's headed towards Omi!\Follow him! Don't let him escape!\You can't get through here.\It's one of Sanada's men!\Kill him!\Idiots! response:	Gotcha.
context: My apologies, Isanami. You can get them next time.\I heard he's headed towards Omi!\Follow him! Don't let him escape!\You can't get through here.\It's one of Sanada's men!\Kill him!\Idiots!\Gotcha. response:	Better safe than sorry.
context: I heard he's headed towards Omi!\Follow him! Don't let him escape!\You can't get through here.\It's one of Sanada's men!\Kill him!\Idiots!\Gotcha.\Better safe than sorry. response:	Taizan Meido!
context: Follow him! Don't let him escape!\You can't get through here.\It's one of Sanada's men!\Kill him!\Idiots!\Gotcha.\Better safe than sorry.\Taizan Meido! response:	Bastard...
context: You can't get through here.\It's one of Sanada's men!\Kill him!\Idiots!\Gotcha.\Better safe than sorry.\Taizan Meido!\Bastard... response:	They can't follow us now.
context: It's one of Sanada's men!\Kill him!\Idiots!\Gotcha.\Better safe than sorry.\Taizan Meido!\Bastard...\They can't follow us now. response:	Don't draw attention to us!
context: Kill him!\Idiots!\Gotcha.\Better safe than sorry.\Taizan Meido!\Bastard...\They can't follow us now.\Don't draw attention to us! response:	You see? I knew it'd be more fun to bring Isanami along.
context: Idiots!\Gotcha.\Better safe than sorry.\Taizan Meido!\Bastard...\They can't follow us now.\Don't draw attention to us!\You see? I knew it'd be more fun to bring Isanami along. response:	Lord.
context: Gotcha.\Better safe than sorry.\Taizan Meido!\Bastard...\They can't follow us now.\Don't draw attention to us!\You see? I knew it'd be more fun to bring Isanami along.\Lord. response:	Let's go!
context: Better safe than sorry.\Taizan Meido!\Bastard...\They can't follow us now.\Don't draw attention to us!\You see? I knew it'd be more fun to bring Isanami along.\Lord.\Let's go! response:	Huh? What's that kid doing hiding there?
context: Taizan Meido!\Bastard...\They can't follow us now.\Don't draw attention to us!\You see? I knew it'd be more fun to bring Isanami along.\Lord.\Let's go!\Huh? What's that kid doing hiding there? response:	Hey, Benmaru.
context: Bastard...\They can't follow us now.\Don't draw attention to us!\You see? I knew it'd be more fun to bring Isanami along.\Lord.\Let's go!\Huh? What's that kid doing hiding there?\Hey, Benmaru. response:	What?
context: They can't follow us now.\Don't draw attention to us!\You see? I knew it'd be more fun to bring Isanami along.\Lord.\Let's go!\Huh? What's that kid doing hiding there?\Hey, Benmaru.\What? response:	What are you doing here?
context: Don't draw attention to us!\You see? I knew it'd be more fun to bring Isanami along.\Lord.\Let's go!\Huh? What's that kid doing hiding there?\Hey, Benmaru.\What?\What are you doing here? response:	I was just out for a stroll in these woods.
context: You see? I knew it'd be more fun to bring Isanami along.\Lord.\Let's go!\Huh? What's that kid doing hiding there?\Hey, Benmaru.\What?\What are you doing here?\I was just out for a stroll in these woods. response:	I didn't expect rocks, spears, or fire to come my way.
context: Lord.\Let's go!\Huh? What's that kid doing hiding there?\Hey, Benmaru.\What?\What are you doing here?\I was just out for a stroll in these woods.\I didn't expect rocks, spears, or fire to come my way. response:	Gods, I gratefully accept your challenge.
context: Let's go!\Huh? What's that kid doing hiding there?\Hey, Benmaru.\What?\What are you doing here?\I was just out for a stroll in these woods.\I didn't expect rocks, spears, or fire to come my way.\Gods, I gratefully accept your challenge. response:	Damn it. The pit trap didn't go off.
context: Huh? What's that kid doing hiding there?\Hey, Benmaru.\What?\What are you doing here?\I was just out for a stroll in these woods.\I didn't expect rocks, spears, or fire to come my way.\Gods, I gratefully accept your challenge.\Damn it. The pit trap didn't go off. response:	Maybe I didn't use enough gunpowder.
context: Hey, Benmaru.\What?\What are you doing here?\I was just out for a stroll in these woods.\I didn't expect rocks, spears, or fire to come my way.\Gods, I gratefully accept your challenge.\Damn it. The pit trap didn't go off.\Maybe I didn't use enough gunpowder. response:	You're one terrifying kid.
context: What?\What are you doing here?\I was just out for a stroll in these woods.\I didn't expect rocks, spears, or fire to come my way.\Gods, I gratefully accept your challenge.\Damn it. The pit trap didn't go off.\Maybe I didn't use enough gunpowder.\You're one terrifying kid. response:	The next episode of Brave 10 is The Birth of a Warrior.
context: What are you doing here?\I was just out for a stroll in these woods.\I didn't expect rocks, spears, or fire to come my way.\Gods, I gratefully accept your challenge.\Damn it. The pit trap didn't go off.\Maybe I didn't use enough gunpowder.\You're one terrifying kid.\The next episode of Brave 10 is The Birth of a Warrior. response:	The Birth of a Warrior
context: I was just out for a stroll in these woods.\I didn't expect rocks, spears, or fire to come my way.\Gods, I gratefully accept your challenge.\Damn it. The pit trap didn't go off.\Maybe I didn't use enough gunpowder.\You're one terrifying kid.\The next episode of Brave 10 is The Birth of a Warrior.\The Birth of a Warrior response:	Bring it on!
