context: Operation: Infiltrate a Planetoid Base response:	They're fast! I can't process their data quick enough!
context: I wonder if everyone's okay...\Yeah...\They'll come back safe and sound.\Otherwise my stomach will kill me!\Hurry up, Suruga! Izuru is...!\It's all set! I'm a genius!\Great! Now let's withdraw.\It worked! response:	Sweet!
context: Yeah...\They'll come back safe and sound.\Otherwise my stomach will kill me!\Hurry up, Suruga! Izuru is...!\It's all set! I'm a genius!\Great! Now let's withdraw.\It worked!\Sweet! response:	The secondary explosions are going off fast!
context: They'll come back safe and sound.\Otherwise my stomach will kill me!\Hurry up, Suruga! Izuru is...!\It's all set! I'm a genius!\Great! Now let's withdraw.\It worked!\Sweet!\The secondary explosions are going off fast! response:	We'll get caught in the blast if we don't hurry!
context: Otherwise my stomach will kill me!\Hurry up, Suruga! Izuru is...!\It's all set! I'm a genius!\Great! Now let's withdraw.\It worked!\Sweet!\The secondary explosions are going off fast!\We'll get caught in the blast if we don't hurry! response:	Why?! What type of energy are they using?!
context: Hurry up, Suruga! Izuru is...!\It's all set! I'm a genius!\Great! Now let's withdraw.\It worked!\Sweet!\The secondary explosions are going off fast!\We'll get caught in the blast if we don't hurry!\Why?! What type of energy are they using?! response:	We won't make it...!
context: It's all set! I'm a genius!\Great! Now let's withdraw.\It worked!\Sweet!\The secondary explosions are going off fast!\We'll get caught in the blast if we don't hurry!\Why?! What type of energy are they using?!\We won't make it...! response:	I suddenly accelerated!
context: Great! Now let's withdraw.\It worked!\Sweet!\The secondary explosions are going off fast!\We'll get caught in the blast if we don't hurry!\Why?! What type of energy are they using?!\We won't make it...!\I suddenly accelerated! response:	The instinct to survive means serious business!
context: It worked!\Sweet!\The secondary explosions are going off fast!\We'll get caught in the blast if we don't hurry!\Why?! What type of energy are they using?!\We won't make it...!\I suddenly accelerated!\The instinct to survive means serious business! response:	Tamaki, thank you!
context: Sweet!\The secondary explosions are going off fast!\We'll get caught in the blast if we don't hurry!\Why?! What type of energy are they using?!\We won't make it...!\I suddenly accelerated!\The instinct to survive means serious business!\Tamaki, thank you! response:	Honestly, you three are lost without me.
context: The secondary explosions are going off fast!\We'll get caught in the blast if we don't hurry!\Why?! What type of energy are they using?!\We won't make it...!\I suddenly accelerated!\The instinct to survive means serious business!\Tamaki, thank you!\Honestly, you three are lost without me. response:	Is everyone okay?
context: We'll get caught in the blast if we don't hurry!\Why?! What type of energy are they using?!\We won't make it...!\I suddenly accelerated!\The instinct to survive means serious business!\Tamaki, thank you!\Honestly, you three are lost without me.\Is everyone okay? response:	Asagi!
context: Why?! What type of energy are they using?!\We won't make it...!\I suddenly accelerated!\The instinct to survive means serious business!\Tamaki, thank you!\Honestly, you three are lost without me.\Is everyone okay?\Asagi! response:	I was so sure I was gonna die this time...
context: We won't make it...!\I suddenly accelerated!\The instinct to survive means serious business!\Tamaki, thank you!\Honestly, you three are lost without me.\Is everyone okay?\Asagi!\I was so sure I was gonna die this time... response:	Lookin' good there...
context: I suddenly accelerated!\The instinct to survive means serious business!\Tamaki, thank you!\Honestly, you three are lost without me.\Is everyone okay?\Asagi!\I was so sure I was gonna die this time...\Lookin' good there... response:	Hero of the Day!
context: The instinct to survive means serious business!\Tamaki, thank you!\Honestly, you three are lost without me.\Is everyone okay?\Asagi!\I was so sure I was gonna die this time...\Lookin' good there...\Hero of the Day! response:	Graduation
