context: It truly is a lovely world. response:	No matter how many times I see it, it takes my breath away.
context: Princess...\Of the 37 Landing Castles remaining in orbit, we have confirmation of 19 coming down.\Projected landing points are New Orleans, Beijing, Mozambique, and Tokyo.\We believe one Landing Castle will come down somewhere within 20km of Ichigaya or Chiyoda Ward.\These guys aren't coordinating their efforts at all.\They're only interested in landing first. There's no command structure at all.\Estimated landing time is 0800, three hours from now.\Goes to show how little you know. response:	Although we're unable to estimate how much damage will be done when it comes down,
context: Of the 37 Landing Castles remaining in orbit, we have confirmation of 19 coming down.\Projected landing points are New Orleans, Beijing, Mozambique, and Tokyo.\We believe one Landing Castle will come down somewhere within 20km of Ichigaya or Chiyoda Ward.\These guys aren't coordinating their efforts at all.\They're only interested in landing first. There's no command structure at all.\Estimated landing time is 0800, three hours from now.\Goes to show how little you know.\Although we're unable to estimate how much damage will be done when it comes down, response:	Lieutenant...
context: Projected landing points are New Orleans, Beijing, Mozambique, and Tokyo.\We believe one Landing Castle will come down somewhere within 20km of Ichigaya or Chiyoda Ward.\These guys aren't coordinating their efforts at all.\They're only interested in landing first. There's no command structure at all.\Estimated landing time is 0800, three hours from now.\Goes to show how little you know.\Although we're unable to estimate how much damage will be done when it comes down,\Lieutenant... response:	They don't need a command structure.
context: We believe one Landing Castle will come down somewhere within 20km of Ichigaya or Chiyoda Ward.\These guys aren't coordinating their efforts at all.\They're only interested in landing first. There's no command structure at all.\Estimated landing time is 0800, three hours from now.\Goes to show how little you know.\Although we're unable to estimate how much damage will be done when it comes down,\Lieutenant...\They don't need a command structure. response:	it is believed that the Martian troops will launch their attack under the cover of that impact.
context: These guys aren't coordinating their efforts at all.\They're only interested in landing first. There's no command structure at all.\Estimated landing time is 0800, three hours from now.\Goes to show how little you know.\Although we're unable to estimate how much damage will be done when it comes down,\Lieutenant...\They don't need a command structure.\it is believed that the Martian troops will launch their attack under the cover of that impact. response:	Those are 37 distinct military forces led by 37 different knights.
context: They're only interested in landing first. There's no command structure at all.\Estimated landing time is 0800, three hours from now.\Goes to show how little you know.\Although we're unable to estimate how much damage will be done when it comes down,\Lieutenant...\They don't need a command structure.\it is believed that the Martian troops will launch their attack under the cover of that impact.\Those are 37 distinct military forces led by 37 different knights. response:	Therefore, we will deploy at a point 50km southwest of the projected impact point,
context: Estimated landing time is 0800, three hours from now.\Goes to show how little you know.\Although we're unable to estimate how much damage will be done when it comes down,\Lieutenant...\They don't need a command structure.\it is believed that the Martian troops will launch their attack under the cover of that impact.\Those are 37 distinct military forces led by 37 different knights.\Therefore, we will deploy at a point 50km southwest of the projected impact point, response:	They're each trying to land first in a race to be king of the hill.
context: Goes to show how little you know.\Although we're unable to estimate how much damage will be done when it comes down,\Lieutenant...\They don't need a command structure.\it is believed that the Martian troops will launch their attack under the cover of that impact.\Those are 37 distinct military forces led by 37 different knights.\Therefore, we will deploy at a point 50km southwest of the projected impact point,\They're each trying to land first in a race to be king of the hill. response:	and after the shockwave has passed, we will mount a counteroffensive before they can form up.
context: Although we're unable to estimate how much damage will be done when it comes down,\Lieutenant...\They don't need a command structure.\it is believed that the Martian troops will launch their attack under the cover of that impact.\Those are 37 distinct military forces led by 37 different knights.\Therefore, we will deploy at a point 50km southwest of the projected impact point,\They're each trying to land first in a race to be king of the hill.\and after the shockwave has passed, we will mount a counteroffensive before they can form up. response:	Their rivals are their fellow Mars Knights.
context: Lieutenant...\They don't need a command structure.\it is believed that the Martian troops will launch their attack under the cover of that impact.\Those are 37 distinct military forces led by 37 different knights.\Therefore, we will deploy at a point 50km southwest of the projected impact point,\They're each trying to land first in a race to be king of the hill.\and after the shockwave has passed, we will mount a counteroffensive before they can form up.\Their rivals are their fellow Mars Knights. response:	According to observations, the enemy Landing Castles are roughly 2km in length.
context: They don't need a command structure.\it is believed that the Martian troops will launch their attack under the cover of that impact.\Those are 37 distinct military forces led by 37 different knights.\Therefore, we will deploy at a point 50km southwest of the projected impact point,\They're each trying to land first in a race to be king of the hill.\and after the shockwave has passed, we will mount a counteroffensive before they can form up.\Their rivals are their fellow Mars Knights.\According to observations, the enemy Landing Castles are roughly 2km in length. response:	They were never concerned about counterattacks from the surface.
context: it is believed that the Martian troops will launch their attack under the cover of that impact.\Those are 37 distinct military forces led by 37 different knights.\Therefore, we will deploy at a point 50km southwest of the projected impact point,\They're each trying to land first in a race to be king of the hill.\and after the shockwave has passed, we will mount a counteroffensive before they can form up.\Their rivals are their fellow Mars Knights.\According to observations, the enemy Landing Castles are roughly 2km in length.\They were never concerned about counterattacks from the surface. response:	This is a...
context: Those are 37 distinct military forces led by 37 different knights.\Therefore, we will deploy at a point 50km southwest of the projected impact point,\They're each trying to land first in a race to be king of the hill.\and after the shockwave has passed, we will mount a counteroffensive before they can form up.\Their rivals are their fellow Mars Knights.\According to observations, the enemy Landing Castles are roughly 2km in length.\They were never concerned about counterattacks from the surface.\This is a... response:	They'd unilaterally break the cease-fire?
context: Therefore, we will deploy at a point 50km southwest of the projected impact point,\They're each trying to land first in a race to be king of the hill.\and after the shockwave has passed, we will mount a counteroffensive before they can form up.\Their rivals are their fellow Mars Knights.\According to observations, the enemy Landing Castles are roughly 2km in length.\They were never concerned about counterattacks from the surface.\This is a...\They'd unilaterally break the cease-fire? response:	Cease-fire?
context: They're each trying to land first in a race to be king of the hill.\and after the shockwave has passed, we will mount a counteroffensive before they can form up.\Their rivals are their fellow Mars Knights.\According to observations, the enemy Landing Castles are roughly 2km in length.\They were never concerned about counterattacks from the surface.\This is a...\They'd unilaterally break the cease-fire?\Cease-fire? response:	These past 15 years,
context: and after the shockwave has passed, we will mount a counteroffensive before they can form up.\Their rivals are their fellow Mars Knights.\According to observations, the enemy Landing Castles are roughly 2km in length.\They were never concerned about counterattacks from the surface.\This is a...\They'd unilaterally break the cease-fire?\Cease-fire?\These past 15 years, response:	they've been fighting a war up there in the wreckage of the Moon.
context: Their rivals are their fellow Mars Knights.\According to observations, the enemy Landing Castles are roughly 2km in length.\They were never concerned about counterattacks from the surface.\This is a...\They'd unilaterally break the cease-fire?\Cease-fire?\These past 15 years,\they've been fighting a war up there in the wreckage of the Moon. response:	A war to live to fight another day.
context: According to observations, the enemy Landing Castles are roughly 2km in length.\They were never concerned about counterattacks from the surface.\This is a...\They'd unilaterally break the cease-fire?\Cease-fire?\These past 15 years,\they've been fighting a war up there in the wreckage of the Moon.\A war to live to fight another day. response:	Get moving, jackass!
context: They were never concerned about counterattacks from the surface.\This is a...\They'd unilaterally break the cease-fire?\Cease-fire?\These past 15 years,\they've been fighting a war up there in the wreckage of the Moon.\A war to live to fight another day.\Get moving, jackass! response:	That's what I keep saying!
context: This is a...\They'd unilaterally break the cease-fire?\Cease-fire?\These past 15 years,\they've been fighting a war up there in the wreckage of the Moon.\A war to live to fight another day.\Get moving, jackass!\That's what I keep saying! response:	What's that?
context: They'd unilaterally break the cease-fire?\Cease-fire?\These past 15 years,\they've been fighting a war up there in the wreckage of the Moon.\A war to live to fight another day.\Get moving, jackass!\That's what I keep saying!\What's that? response:	Look, Sis! Shooting stars!
context: Cease-fire?\These past 15 years,\they've been fighting a war up there in the wreckage of the Moon.\A war to live to fight another day.\Get moving, jackass!\That's what I keep saying!\What's that?\Look, Sis! Shooting stars! response:	Oh, wow... There's so many...
context: These past 15 years,\they've been fighting a war up there in the wreckage of the Moon.\A war to live to fight another day.\Get moving, jackass!\That's what I keep saying!\What's that?\Look, Sis! Shooting stars!\Oh, wow... There's so many... response:	Did you make a wish?
context: they've been fighting a war up there in the wreckage of the Moon.\A war to live to fight another day.\Get moving, jackass!\That's what I keep saying!\What's that?\Look, Sis! Shooting stars!\Oh, wow... There's so many...\Did you make a wish? response:	Yep!
context: A war to live to fight another day.\Get moving, jackass!\That's what I keep saying!\What's that?\Look, Sis! Shooting stars!\Oh, wow... There's so many...\Did you make a wish?\Yep! response:	I wished that people all over the world would get along and live in peace!
