context: What? response:	Okay, I'll say it again.
context: Even you should know that will get you in trouble, Subaru-kun.\With me, for starters.\So the White Whale is coming here?\Honestly, I am opposed to\using the witch's scent to draw the White Whale here.\It's too dangerous.\I'll use whatever I can.\If it gives us even a slightly better chance of winning, it's worth it. response:	For a guy who lacks in every way,
context: With me, for starters.\So the White Whale is coming here?\Honestly, I am opposed to\using the witch's scent to draw the White Whale here.\It's too dangerous.\I'll use whatever I can.\If it gives us even a slightly better chance of winning, it's worth it.\For a guy who lacks in every way, response:	I can only compensate with this method.
context: So the White Whale is coming here?\Honestly, I am opposed to\using the witch's scent to draw the White Whale here.\It's too dangerous.\I'll use whatever I can.\If it gives us even a slightly better chance of winning, it's worth it.\For a guy who lacks in every way,\I can only compensate with this method. response:	You are wonderful, Subaru-kun.
context: Honestly, I am opposed to\using the witch's scent to draw the White Whale here.\It's too dangerous.\I'll use whatever I can.\If it gives us even a slightly better chance of winning, it's worth it.\For a guy who lacks in every way,\I can only compensate with this method.\You are wonderful, Subaru-kun. response:	That metia will tell you when the White Whale is coming?
context: using the witch's scent to draw the White Whale here.\It's too dangerous.\I'll use whatever I can.\If it gives us even a slightly better chance of winning, it's worth it.\For a guy who lacks in every way,\I can only compensate with this method.\You are wonderful, Subaru-kun.\That metia will tell you when the White Whale is coming? response:	Yeah, I set it to make noise when it's time.
context: It's too dangerous.\I'll use whatever I can.\If it gives us even a slightly better chance of winning, it's worth it.\For a guy who lacks in every way,\I can only compensate with this method.\You are wonderful, Subaru-kun.\That metia will tell you when the White Whale is coming?\Yeah, I set it to make noise when it's time. response:	To be honest, without this
context: I'll use whatever I can.\If it gives us even a slightly better chance of winning, it's worth it.\For a guy who lacks in every way,\I can only compensate with this method.\You are wonderful, Subaru-kun.\That metia will tell you when the White Whale is coming?\Yeah, I set it to make noise when it's time.\To be honest, without this response:	That's a lie.
context: If it gives us even a slightly better chance of winning, it's worth it.\For a guy who lacks in every way,\I can only compensate with this method.\You are wonderful, Subaru-kun.\That metia will tell you when the White Whale is coming?\Yeah, I set it to make noise when it's time.\To be honest, without this\That's a lie. response:	Wh-What are ya saying?
context: For a guy who lacks in every way,\I can only compensate with this method.\You are wonderful, Subaru-kun.\That metia will tell you when the White Whale is coming?\Yeah, I set it to make noise when it's time.\To be honest, without this\That's a lie.\Wh-What are ya saying? response:	If it's a lie, then how am I gonna...
context: I can only compensate with this method.\You are wonderful, Subaru-kun.\That metia will tell you when the White Whale is coming?\Yeah, I set it to make noise when it's time.\To be honest, without this\That's a lie.\Wh-What are ya saying?\If it's a lie, then how am I gonna... response:	You're speaking in something like the Kararagi dialect.
context: You are wonderful, Subaru-kun.\That metia will tell you when the White Whale is coming?\Yeah, I set it to make noise when it's time.\To be honest, without this\That's a lie.\Wh-What are ya saying?\If it's a lie, then how am I gonna...\You're speaking in something like the Kararagi dialect. response:	It doesn't suit you at all.
context: That metia will tell you when the White Whale is coming?\Yeah, I set it to make noise when it's time.\To be honest, without this\That's a lie.\Wh-What are ya saying?\If it's a lie, then how am I gonna...\You're speaking in something like the Kararagi dialect.\It doesn't suit you at all. response:	No, no, no! I mean, there's no way I could be lying!
context: Yeah, I set it to make noise when it's time.\To be honest, without this\That's a lie.\Wh-What are ya saying?\If it's a lie, then how am I gonna...\You're speaking in something like the Kararagi dialect.\It doesn't suit you at all.\No, no, no! I mean, there's no way I could be lying! response:	Even Crusch-san said
context: To be honest, without this\That's a lie.\Wh-What are ya saying?\If it's a lie, then how am I gonna...\You're speaking in something like the Kararagi dialect.\It doesn't suit you at all.\No, no, no! I mean, there's no way I could be lying!\Even Crusch-san said response:	It's all right, Subaru-kun.
context: That's a lie.\Wh-What are ya saying?\If it's a lie, then how am I gonna...\You're speaking in something like the Kararagi dialect.\It doesn't suit you at all.\No, no, no! I mean, there's no way I could be lying!\Even Crusch-san said\It's all right, Subaru-kun. response:	I can always tell when you're lying.
context: Wh-What are ya saying?\If it's a lie, then how am I gonna...\You're speaking in something like the Kararagi dialect.\It doesn't suit you at all.\No, no, no! I mean, there's no way I could be lying!\Even Crusch-san said\It's all right, Subaru-kun.\I can always tell when you're lying. response:	I also know that you cannot tell me why you do so.
context: If it's a lie, then how am I gonna...\You're speaking in something like the Kararagi dialect.\It doesn't suit you at all.\No, no, no! I mean, there's no way I could be lying!\Even Crusch-san said\It's all right, Subaru-kun.\I can always tell when you're lying.\I also know that you cannot tell me why you do so. response:	So there is no need to convince me
context: You're speaking in something like the Kararagi dialect.\It doesn't suit you at all.\No, no, no! I mean, there's no way I could be lying!\Even Crusch-san said\It's all right, Subaru-kun.\I can always tell when you're lying.\I also know that you cannot tell me why you do so.\So there is no need to convince me response:	or wrap everything in lies,
context: It doesn't suit you at all.\No, no, no! I mean, there's no way I could be lying!\Even Crusch-san said\It's all right, Subaru-kun.\I can always tell when you're lying.\I also know that you cannot tell me why you do so.\So there is no need to convince me\or wrap everything in lies, response:	or try to take the blame on yourself like that.
context: No, no, no! I mean, there's no way I could be lying!\Even Crusch-san said\It's all right, Subaru-kun.\I can always tell when you're lying.\I also know that you cannot tell me why you do so.\So there is no need to convince me\or wrap everything in lies,\or try to take the blame on yourself like that. response:	Because I have complete faith in you, Subaru-kun.
context: Even Crusch-san said\It's all right, Subaru-kun.\I can always tell when you're lying.\I also know that you cannot tell me why you do so.\So there is no need to convince me\or wrap everything in lies,\or try to take the blame on yourself like that.\Because I have complete faith in you, Subaru-kun. response:	Man! Looking up at this huge tree really fires you up, huh?
context: It's all right, Subaru-kun.\I can always tell when you're lying.\I also know that you cannot tell me why you do so.\So there is no need to convince me\or wrap everything in lies,\or try to take the blame on yourself like that.\Because I have complete faith in you, Subaru-kun.\Man! Looking up at this huge tree really fires you up, huh? response:	Yes, it does.
context: I can always tell when you're lying.\I also know that you cannot tell me why you do so.\So there is no need to convince me\or wrap everything in lies,\or try to take the blame on yourself like that.\Because I have complete faith in you, Subaru-kun.\Man! Looking up at this huge tree really fires you up, huh?\Yes, it does. response:	If I don't look at it for a long time, I won't relax!
context: I also know that you cannot tell me why you do so.\So there is no need to convince me\or wrap everything in lies,\or try to take the blame on yourself like that.\Because I have complete faith in you, Subaru-kun.\Man! Looking up at this huge tree really fires you up, huh?\Yes, it does.\If I don't look at it for a long time, I won't relax! response:	I won't be able to look down for a while!
context: So there is no need to convince me\or wrap everything in lies,\or try to take the blame on yourself like that.\Because I have complete faith in you, Subaru-kun.\Man! Looking up at this huge tree really fires you up, huh?\Yes, it does.\If I don't look at it for a long time, I won't relax!\I won't be able to look down for a while! response:	Yes, you're right.
context: or wrap everything in lies,\or try to take the blame on yourself like that.\Because I have complete faith in you, Subaru-kun.\Man! Looking up at this huge tree really fires you up, huh?\Yes, it does.\If I don't look at it for a long time, I won't relax!\I won't be able to look down for a while!\Yes, you're right. response:	I should say thank you instead of sorry right now, huh?
context: or try to take the blame on yourself like that.\Because I have complete faith in you, Subaru-kun.\Man! Looking up at this huge tree really fires you up, huh?\Yes, it does.\If I don't look at it for a long time, I won't relax!\I won't be able to look down for a while!\Yes, you're right.\I should say thank you instead of sorry right now, huh? response:	Besides, I am far more grateful to you, Subaru-kun.
context: Because I have complete faith in you, Subaru-kun.\Man! Looking up at this huge tree really fires you up, huh?\Yes, it does.\If I don't look at it for a long time, I won't relax!\I won't be able to look down for a while!\Yes, you're right.\I should say thank you instead of sorry right now, huh?\Besides, I am far more grateful to you, Subaru-kun. response:	So we're even.
context: Man! Looking up at this huge tree really fires you up, huh?\Yes, it does.\If I don't look at it for a long time, I won't relax!\I won't be able to look down for a while!\Yes, you're right.\I should say thank you instead of sorry right now, huh?\Besides, I am far more grateful to you, Subaru-kun.\So we're even. response:	Uh... Wilhelm-san?
context: Yes, it does.\If I don't look at it for a long time, I won't relax!\I won't be able to look down for a while!\Yes, you're right.\I should say thank you instead of sorry right now, huh?\Besides, I am far more grateful to you, Subaru-kun.\So we're even.\Uh... Wilhelm-san? response:	I heard a bit of the story from Felis.
context: If I don't look at it for a long time, I won't relax!\I won't be able to look down for a while!\Yes, you're right.\I should say thank you instead of sorry right now, huh?\Besides, I am far more grateful to you, Subaru-kun.\So we're even.\Uh... Wilhelm-san?\I heard a bit of the story from Felis. response:	That you've been seeking revenge on the Whale ever since it took your wife.
context: I won't be able to look down for a while!\Yes, you're right.\I should say thank you instead of sorry right now, huh?\Besides, I am far more grateful to you, Subaru-kun.\So we're even.\Uh... Wilhelm-san?\I heard a bit of the story from Felis.\That you've been seeking revenge on the Whale ever since it took your wife. response:	Please forget that.
context: Yes, you're right.\I should say thank you instead of sorry right now, huh?\Besides, I am far more grateful to you, Subaru-kun.\So we're even.\Uh... Wilhelm-san?\I heard a bit of the story from Felis.\That you've been seeking revenge on the Whale ever since it took your wife.\Please forget that. response:	It was all time idly spent in an old man's delusions.
context: I should say thank you instead of sorry right now, huh?\Besides, I am far more grateful to you, Subaru-kun.\So we're even.\Uh... Wilhelm-san?\I heard a bit of the story from Felis.\That you've been seeking revenge on the Whale ever since it took your wife.\Please forget that.\It was all time idly spent in an old man's delusions. response:	You truly love your wife, do you not?
context: Besides, I am far more grateful to you, Subaru-kun.\So we're even.\Uh... Wilhelm-san?\I heard a bit of the story from Felis.\That you've been seeking revenge on the Whale ever since it took your wife.\Please forget that.\It was all time idly spent in an old man's delusions.\You truly love your wife, do you not? response:	Yes, I love my wife.
context: So we're even.\Uh... Wilhelm-san?\I heard a bit of the story from Felis.\That you've been seeking revenge on the Whale ever since it took your wife.\Please forget that.\It was all time idly spent in an old man's delusions.\You truly love your wife, do you not?\Yes, I love my wife. response:	More than anyone.
context: Uh... Wilhelm-san?\I heard a bit of the story from Felis.\That you've been seeking revenge on the Whale ever since it took your wife.\Please forget that.\It was all time idly spent in an old man's delusions.\You truly love your wife, do you not?\Yes, I love my wife.\More than anyone. response:	And no matter how much time passes.
context: I heard a bit of the story from Felis.\That you've been seeking revenge on the Whale ever since it took your wife.\Please forget that.\It was all time idly spent in an old man's delusions.\You truly love your wife, do you not?\Yes, I love my wife.\More than anyone.\And no matter how much time passes. response:	My wife was a woman who loved to look at flowers.
context: That you've been seeking revenge on the Whale ever since it took your wife.\Please forget that.\It was all time idly spent in an old man's delusions.\You truly love your wife, do you not?\Yes, I love my wife.\More than anyone.\And no matter how much time passes.\My wife was a woman who loved to look at flowers. response:	She never wished to wield a sword,
context: Please forget that.\It was all time idly spent in an old man's delusions.\You truly love your wife, do you not?\Yes, I love my wife.\More than anyone.\And no matter how much time passes.\My wife was a woman who loved to look at flowers.\She never wished to wield a sword, response:	but the sword loved her more than anyone.
context: It was all time idly spent in an old man's delusions.\You truly love your wife, do you not?\Yes, I love my wife.\More than anyone.\And no matter how much time passes.\My wife was a woman who loved to look at flowers.\She never wished to wield a sword,\but the sword loved her more than anyone. response:	With no choice but to live for the sword,
context: You truly love your wife, do you not?\Yes, I love my wife.\More than anyone.\And no matter how much time passes.\My wife was a woman who loved to look at flowers.\She never wished to wield a sword,\but the sword loved her more than anyone.\With no choice but to live for the sword, response:	my wife accepted her fate.
context: Yes, I love my wife.\More than anyone.\And no matter how much time passes.\My wife was a woman who loved to look at flowers.\She never wished to wield a sword,\but the sword loved her more than anyone.\With no choice but to live for the sword,\my wife accepted her fate. response:	When I married her, I took it from her,
context: More than anyone.\And no matter how much time passes.\My wife was a woman who loved to look at flowers.\She never wished to wield a sword,\but the sword loved her more than anyone.\With no choice but to live for the sword,\my wife accepted her fate.\When I married her, I took it from her, response:	forcing her to abandon the title of Master Swordsman.
context: And no matter how much time passes.\My wife was a woman who loved to look at flowers.\She never wished to wield a sword,\but the sword loved her more than anyone.\With no choice but to live for the sword,\my wife accepted her fate.\When I married her, I took it from her,\forcing her to abandon the title of Master Swordsman. response:	But the sword would not allow her to do that.
context: My wife was a woman who loved to look at flowers.\She never wished to wield a sword,\but the sword loved her more than anyone.\With no choice but to live for the sword,\my wife accepted her fate.\When I married her, I took it from her,\forcing her to abandon the title of Master Swordsman.\But the sword would not allow her to do that. response:	Subaru-dono, I thank you again.
context: She never wished to wield a sword,\but the sword loved her more than anyone.\With no choice but to live for the sword,\my wife accepted her fate.\When I married her, I took it from her,\forcing her to abandon the title of Master Swordsman.\But the sword would not allow her to do that.\Subaru-dono, I thank you again. response:	In this battle, I can find answers in my own sword.
context: but the sword loved her more than anyone.\With no choice but to live for the sword,\my wife accepted her fate.\When I married her, I took it from her,\forcing her to abandon the title of Master Swordsman.\But the sword would not allow her to do that.\Subaru-dono, I thank you again.\In this battle, I can find answers in my own sword. response:	And perhaps I shall finally be able to visit my wife's grave.
context: With no choice but to live for the sword,\my wife accepted her fate.\When I married her, I took it from her,\forcing her to abandon the title of Master Swordsman.\But the sword would not allow her to do that.\Subaru-dono, I thank you again.\In this battle, I can find answers in my own sword.\And perhaps I shall finally be able to visit my wife's grave. response:	At last, I can go and see her.
context: my wife accepted her fate.\When I married her, I took it from her,\forcing her to abandon the title of Master Swordsman.\But the sword would not allow her to do that.\Subaru-dono, I thank you again.\In this battle, I can find answers in my own sword.\And perhaps I shall finally be able to visit my wife's grave.\At last, I can go and see her. response:	Let's work together to beat the hell out of that damn whale.
context: When I married her, I took it from her,\forcing her to abandon the title of Master Swordsman.\But the sword would not allow her to do that.\Subaru-dono, I thank you again.\In this battle, I can find answers in my own sword.\And perhaps I shall finally be able to visit my wife's grave.\At last, I can go and see her.\Let's work together to beat the hell out of that damn whale. response:	I'll help with everything I have, too.
context: forcing her to abandon the title of Master Swordsman.\But the sword would not allow her to do that.\Subaru-dono, I thank you again.\In this battle, I can find answers in my own sword.\And perhaps I shall finally be able to visit my wife's grave.\At last, I can go and see her.\Let's work together to beat the hell out of that damn whale.\I'll help with everything I have, too. response:	Only a short time remains.
context: But the sword would not allow her to do that.\Subaru-dono, I thank you again.\In this battle, I can find answers in my own sword.\And perhaps I shall finally be able to visit my wife's grave.\At last, I can go and see her.\Let's work together to beat the hell out of that damn whale.\I'll help with everything I have, too.\Only a short time remains. response:	Troops, be on guard!
context: Subaru-dono, I thank you again.\In this battle, I can find answers in my own sword.\And perhaps I shall finally be able to visit my wife's grave.\At last, I can go and see her.\Let's work together to beat the hell out of that damn whale.\I'll help with everything I have, too.\Only a short time remains.\Troops, be on guard! response:	I don't see it...
context: In this battle, I can find answers in my own sword.\And perhaps I shall finally be able to visit my wife's grave.\At last, I can go and see her.\Let's work together to beat the hell out of that damn whale.\I'll help with everything I have, too.\Only a short time remains.\Troops, be on guard!\I don't see it... response:	It isn't coming?
context: And perhaps I shall finally be able to visit my wife's grave.\At last, I can go and see her.\Let's work together to beat the hell out of that damn whale.\I'll help with everything I have, too.\Only a short time remains.\Troops, be on guard!\I don't see it...\It isn't coming? response:	Is that...
context: At last, I can go and see her.\Let's work together to beat the hell out of that damn whale.\I'll help with everything I have, too.\Only a short time remains.\Troops, be on guard!\I don't see it...\It isn't coming?\Is that... response:	Troops
context: Let's work together to beat the hell out of that damn whale.\I'll help with everything I have, too.\Only a short time remains.\Troops, be on guard!\I don't see it...\It isn't coming?\Is that...\Troops response:	Let him have it!
context: I'll help with everything I have, too.\Only a short time remains.\Troops, be on guard!\I don't see it...\It isn't coming?\Is that...\Troops\Let him have it! response:	Al Huma!
context: Only a short time remains.\Troops, be on guard!\I don't see it...\It isn't coming?\Is that...\Troops\Let him have it!\Al Huma! response:	Troops! Follow those two fools!
context: Troops, be on guard!\I don't see it...\It isn't coming?\Is that...\Troops\Let him have it!\Al Huma!\Troops! Follow those two fools! response:	Battle Against the White Whale
