context: You know, we've got a lot of only children in our group, huh? response:	I've got a little brother.
context: What should I do, big bro? I don't know what to do!\I try, and I try, and I try,\but I can't make it happen.\The East High uniforms suck.\If you don't get in, you'll have to try a lower-ranked school,\but you could totally get into Katagiri.\Our uniforms are real cute. You'd look good in'em.\Just do the best you can. response:	Mmkay.
context: I try, and I try, and I try,\but I can't make it happen.\The East High uniforms suck.\If you don't get in, you'll have to try a lower-ranked school,\but you could totally get into Katagiri.\Our uniforms are real cute. You'd look good in'em.\Just do the best you can.\Mmkay. response:	And eat your fill of dinner.
context: but I can't make it happen.\The East High uniforms suck.\If you don't get in, you'll have to try a lower-ranked school,\but you could totally get into Katagiri.\Our uniforms are real cute. You'd look good in'em.\Just do the best you can.\Mmkay.\And eat your fill of dinner. response:	Hey, Hori-san, I've got a favor to ask.
context: The East High uniforms suck.\If you don't get in, you'll have to try a lower-ranked school,\but you could totally get into Katagiri.\Our uniforms are real cute. You'd look good in'em.\Just do the best you can.\Mmkay.\And eat your fill of dinner.\Hey, Hori-san, I've got a favor to ask. response:	Oh! Motoko-chan?
context: If you don't get in, you'll have to try a lower-ranked school,\but you could totally get into Katagiri.\Our uniforms are real cute. You'd look good in'em.\Just do the best you can.\Mmkay.\And eat your fill of dinner.\Hey, Hori-san, I've got a favor to ask.\Oh! Motoko-chan? response:	Iu... er, your brother sent you over, yeah?
context: but you could totally get into Katagiri.\Our uniforms are real cute. You'd look good in'em.\Just do the best you can.\Mmkay.\And eat your fill of dinner.\Hey, Hori-san, I've got a favor to ask.\Oh! Motoko-chan?\Iu... er, your brother sent you over, yeah? response:	Yes.
context: Our uniforms are real cute. You'd look good in'em.\Just do the best you can.\Mmkay.\And eat your fill of dinner.\Hey, Hori-san, I've got a favor to ask.\Oh! Motoko-chan?\Iu... er, your brother sent you over, yeah?\Yes. response:	Come on in!
context: Just do the best you can.\Mmkay.\And eat your fill of dinner.\Hey, Hori-san, I've got a favor to ask.\Oh! Motoko-chan?\Iu... er, your brother sent you over, yeah?\Yes.\Come on in! response:	Thank you for having me.
context: Mmkay.\And eat your fill of dinner.\Hey, Hori-san, I've got a favor to ask.\Oh! Motoko-chan?\Iu... er, your brother sent you over, yeah?\Yes.\Come on in!\Thank you for having me. response:	Head upstairs, the door right at the top is my room.
context: And eat your fill of dinner.\Hey, Hori-san, I've got a favor to ask.\Oh! Motoko-chan?\Iu... er, your brother sent you over, yeah?\Yes.\Come on in!\Thank you for having me.\Head upstairs, the door right at the top is my room. response:	Go on in and sit wherever.
context: Hey, Hori-san, I've got a favor to ask.\Oh! Motoko-chan?\Iu... er, your brother sent you over, yeah?\Yes.\Come on in!\Thank you for having me.\Head upstairs, the door right at the top is my room.\Go on in and sit wherever. response:	I'll go get us some drinks.
context: Oh! Motoko-chan?\Iu... er, your brother sent you over, yeah?\Yes.\Come on in!\Thank you for having me.\Head upstairs, the door right at the top is my room.\Go on in and sit wherever.\I'll go get us some drinks. response:	Oh, sure.
context: Iu... er, your brother sent you over, yeah?\Yes.\Come on in!\Thank you for having me.\Head upstairs, the door right at the top is my room.\Go on in and sit wherever.\I'll go get us some drinks.\Oh, sure. response:	Hello.
context: Yes.\Come on in!\Thank you for having me.\Head upstairs, the door right at the top is my room.\Go on in and sit wherever.\I'll go get us some drinks.\Oh, sure.\Hello. response:	H-Hello.
context: Come on in!\Thank you for having me.\Head upstairs, the door right at the top is my room.\Go on in and sit wherever.\I'll go get us some drinks.\Oh, sure.\Hello.\H-Hello. response:	Hello!
context: Thank you for having me.\Head upstairs, the door right at the top is my room.\Go on in and sit wherever.\I'll go get us some drinks.\Oh, sure.\Hello.\H-Hello.\Hello! response:	Hello.
context: Head upstairs, the door right at the top is my room.\Go on in and sit wherever.\I'll go get us some drinks.\Oh, sure.\Hello.\H-Hello.\Hello!\Hello. response:	Guess she's got two brothers...
context: Go on in and sit wherever.\I'll go get us some drinks.\Oh, sure.\Hello.\H-Hello.\Hello!\Hello.\Guess she's got two brothers... response:	You want me to tutor your little sister? Me? Really?
context: I'll go get us some drinks.\Oh, sure.\Hello.\H-Hello.\Hello!\Hello.\Guess she's got two brothers...\You want me to tutor your little sister? Me? Really? response:	Kind of. I just want you to see if she could test into East High.
context: Oh, sure.\Hello.\H-Hello.\Hello!\Hello.\Guess she's got two brothers...\You want me to tutor your little sister? Me? Really?\Kind of. I just want you to see if she could test into East High. response:	I mean, if that's all, then sure.
context: Hello.\H-Hello.\Hello!\Hello.\Guess she's got two brothers...\You want me to tutor your little sister? Me? Really?\Kind of. I just want you to see if she could test into East High.\I mean, if that's all, then sure. response:	And if there's no way she'll get in, I want you to tell her straight out.
context: H-Hello.\Hello!\Hello.\Guess she's got two brothers...\You want me to tutor your little sister? Me? Really?\Kind of. I just want you to see if she could test into East High.\I mean, if that's all, then sure.\And if there's no way she'll get in, I want you to tell her straight out. response:	Wait, really?!
context: Hello!\Hello.\Guess she's got two brothers...\You want me to tutor your little sister? Me? Really?\Kind of. I just want you to see if she could test into East High.\I mean, if that's all, then sure.\And if there's no way she'll get in, I want you to tell her straight out.\Wait, really?! response:	No, I'm kidding.
context: Hello.\Guess she's got two brothers...\You want me to tutor your little sister? Me? Really?\Kind of. I just want you to see if she could test into East High.\I mean, if that's all, then sure.\And if there's no way she'll get in, I want you to tell her straight out.\Wait, really?!\No, I'm kidding. response:	Just help her out a little, at least till the exam.
context: Guess she's got two brothers...\You want me to tutor your little sister? Me? Really?\Kind of. I just want you to see if she could test into East High.\I mean, if that's all, then sure.\And if there's no way she'll get in, I want you to tell her straight out.\Wait, really?!\No, I'm kidding.\Just help her out a little, at least till the exam. response:	You got it.
context: You want me to tutor your little sister? Me? Really?\Kind of. I just want you to see if she could test into East High.\I mean, if that's all, then sure.\And if there's no way she'll get in, I want you to tell her straight out.\Wait, really?!\No, I'm kidding.\Just help her out a little, at least till the exam.\You got it. response:	He looked like a big brother there.
context: Kind of. I just want you to see if she could test into East High.\I mean, if that's all, then sure.\And if there's no way she'll get in, I want you to tell her straight out.\Wait, really?!\No, I'm kidding.\Just help her out a little, at least till the exam.\You got it.\He looked like a big brother there. response:	Sorry for the wait.
context: I mean, if that's all, then sure.\And if there's no way she'll get in, I want you to tell her straight out.\Wait, really?!\No, I'm kidding.\Just help her out a little, at least till the exam.\You got it.\He looked like a big brother there.\Sorry for the wait. response:	You good with hot chocolate?
context: And if there's no way she'll get in, I want you to tell her straight out.\Wait, really?!\No, I'm kidding.\Just help her out a little, at least till the exam.\You got it.\He looked like a big brother there.\Sorry for the wait.\You good with hot chocolate? response:	Yes, thank you.
context: Wait, really?!\No, I'm kidding.\Just help her out a little, at least till the exam.\You got it.\He looked like a big brother there.\Sorry for the wait.\You good with hot chocolate?\Yes, thank you. response:	You look a lot like your brother. Has anyone ever told you that?
context: No, I'm kidding.\Just help her out a little, at least till the exam.\You got it.\He looked like a big brother there.\Sorry for the wait.\You good with hot chocolate?\Yes, thank you.\You look a lot like your brother. Has anyone ever told you that? response:	I suppose because both me and my brother are the quiet, brooding type.
context: Just help her out a little, at least till the exam.\You got it.\He looked like a big brother there.\Sorry for the wait.\You good with hot chocolate?\Yes, thank you.\You look a lot like your brother. Has anyone ever told you that?\I suppose because both me and my brother are the quiet, brooding type. response:	The quiet, brooding type?
context: You got it.\He looked like a big brother there.\Sorry for the wait.\You good with hot chocolate?\Yes, thank you.\You look a lot like your brother. Has anyone ever told you that?\I suppose because both me and my brother are the quiet, brooding type.\The quiet, brooding type? response:	The quiet, brooding type?
context: He looked like a big brother there.\Sorry for the wait.\You good with hot chocolate?\Yes, thank you.\You look a lot like your brother. Has anyone ever told you that?\I suppose because both me and my brother are the quiet, brooding type.\The quiet, brooding type?\The quiet, brooding type? response:	H-He is?
context: Sorry for the wait.\You good with hot chocolate?\Yes, thank you.\You look a lot like your brother. Has anyone ever told you that?\I suppose because both me and my brother are the quiet, brooding type.\The quiet, brooding type?\The quiet, brooding type?\H-He is? response:	H-He is?
context: You good with hot chocolate?\Yes, thank you.\You look a lot like your brother. Has anyone ever told you that?\I suppose because both me and my brother are the quiet, brooding type.\The quiet, brooding type?\The quiet, brooding type?\H-He is?\H-He is? response:	I, uh, brought my textbooks, and my notes and stuff, too.
context: Yes, thank you.\You look a lot like your brother. Has anyone ever told you that?\I suppose because both me and my brother are the quiet, brooding type.\The quiet, brooding type?\The quiet, brooding type?\H-He is?\H-He is?\I, uh, brought my textbooks, and my notes and stuff, too. response:	Oh, don't bother.
context: You look a lot like your brother. Has anyone ever told you that?\I suppose because both me and my brother are the quiet, brooding type.\The quiet, brooding type?\The quiet, brooding type?\H-He is?\H-He is?\I, uh, brought my textbooks, and my notes and stuff, too.\Oh, don't bother. response:	I know it's tough trying to study in a stranger's house right off the bat.
context: I suppose because both me and my brother are the quiet, brooding type.\The quiet, brooding type?\The quiet, brooding type?\H-He is?\H-He is?\I, uh, brought my textbooks, and my notes and stuff, too.\Oh, don't bother.\I know it's tough trying to study in a stranger's house right off the bat. response:	Let's just talk. You get the day off today!
context: The quiet, brooding type?\The quiet, brooding type?\H-He is?\H-He is?\I, uh, brought my textbooks, and my notes and stuff, too.\Oh, don't bother.\I know it's tough trying to study in a stranger's house right off the bat.\Let's just talk. You get the day off today! response:	A-Are you sure?
context: The quiet, brooding type?\H-He is?\H-He is?\I, uh, brought my textbooks, and my notes and stuff, too.\Oh, don't bother.\I know it's tough trying to study in a stranger's house right off the bat.\Let's just talk. You get the day off today!\A-Are you sure? response:	Once you've relaxed a little, we can get to studying.
context: H-He is?\H-He is?\I, uh, brought my textbooks, and my notes and stuff, too.\Oh, don't bother.\I know it's tough trying to study in a stranger's house right off the bat.\Let's just talk. You get the day off today!\A-Are you sure?\Once you've relaxed a little, we can get to studying. response:	If you want more people to talk to,
context: H-He is?\I, uh, brought my textbooks, and my notes and stuff, too.\Oh, don't bother.\I know it's tough trying to study in a stranger's house right off the bat.\Let's just talk. You get the day off today!\A-Are you sure?\Once you've relaxed a little, we can get to studying.\If you want more people to talk to, response:	I can call in our resident high-school and elementary-school boys.
context: I, uh, brought my textbooks, and my notes and stuff, too.\Oh, don't bother.\I know it's tough trying to study in a stranger's house right off the bat.\Let's just talk. You get the day off today!\A-Are you sure?\Once you've relaxed a little, we can get to studying.\If you want more people to talk to,\I can call in our resident high-school and elementary-school boys. response:	Hey, bro, who was that girl?
context: Oh, don't bother.\I know it's tough trying to study in a stranger's house right off the bat.\Let's just talk. You get the day off today!\A-Are you sure?\Once you've relaxed a little, we can get to studying.\If you want more people to talk to,\I can call in our resident high-school and elementary-school boys.\Hey, bro, who was that girl? response:	Our friend's little sister, Motoko-chan. She's here to study.
context: I know it's tough trying to study in a stranger's house right off the bat.\Let's just talk. You get the day off today!\A-Are you sure?\Once you've relaxed a little, we can get to studying.\If you want more people to talk to,\I can call in our resident high-school and elementary-school boys.\Hey, bro, who was that girl?\Our friend's little sister, Motoko-chan. She's here to study. response:	Huh.
context: Let's just talk. You get the day off today!\A-Are you sure?\Once you've relaxed a little, we can get to studying.\If you want more people to talk to,\I can call in our resident high-school and elementary-school boys.\Hey, bro, who was that girl?\Our friend's little sister, Motoko-chan. She's here to study.\Huh. response:	Today I've got banana cupcakes!
context: A-Are you sure?\Once you've relaxed a little, we can get to studying.\If you want more people to talk to,\I can call in our resident high-school and elementary-school boys.\Hey, bro, who was that girl?\Our friend's little sister, Motoko-chan. She's here to study.\Huh.\Today I've got banana cupcakes! response:	Banana!
context: Once you've relaxed a little, we can get to studying.\If you want more people to talk to,\I can call in our resident high-school and elementary-school boys.\Hey, bro, who was that girl?\Our friend's little sister, Motoko-chan. She's here to study.\Huh.\Today I've got banana cupcakes!\Banana! response:	Let's show her we're rooting for her.
context: If you want more people to talk to,\I can call in our resident high-school and elementary-school boys.\Hey, bro, who was that girl?\Our friend's little sister, Motoko-chan. She's here to study.\Huh.\Today I've got banana cupcakes!\Banana!\Let's show her we're rooting for her. response:	Yeah!
context: I can call in our resident high-school and elementary-school boys.\Hey, bro, who was that girl?\Our friend's little sister, Motoko-chan. She's here to study.\Huh.\Today I've got banana cupcakes!\Banana!\Let's show her we're rooting for her.\Yeah! response:	No way! Middle schoolers have cell phones, now?!
context: Hey, bro, who was that girl?\Our friend's little sister, Motoko-chan. She's here to study.\Huh.\Today I've got banana cupcakes!\Banana!\Let's show her we're rooting for her.\Yeah!\No way! Middle schoolers have cell phones, now?! response:	Yeah, everyone has one now.
context: Our friend's little sister, Motoko-chan. She's here to study.\Huh.\Today I've got banana cupcakes!\Banana!\Let's show her we're rooting for her.\Yeah!\No way! Middle schoolers have cell phones, now?!\Yeah, everyone has one now. response:	Damn.
context: Huh.\Today I've got banana cupcakes!\Banana!\Let's show her we're rooting for her.\Yeah!\No way! Middle schoolers have cell phones, now?!\Yeah, everyone has one now.\Damn. response:	Oh, but I don't have contact info for much of my class.
context: Today I've got banana cupcakes!\Banana!\Let's show her we're rooting for her.\Yeah!\No way! Middle schoolers have cell phones, now?!\Yeah, everyone has one now.\Damn.\Oh, but I don't have contact info for much of my class. response:	I basically only text my brother.
context: Banana!\Let's show her we're rooting for her.\Yeah!\No way! Middle schoolers have cell phones, now?!\Yeah, everyone has one now.\Damn.\Oh, but I don't have contact info for much of my class.\I basically only text my brother. response:	So you two are close.
context: Let's show her we're rooting for her.\Yeah!\No way! Middle schoolers have cell phones, now?!\Yeah, everyone has one now.\Damn.\Oh, but I don't have contact info for much of my class.\I basically only text my brother.\So you two are close. response:	Not at all!
context: Yeah!\No way! Middle schoolers have cell phones, now?!\Yeah, everyone has one now.\Damn.\Oh, but I don't have contact info for much of my class.\I basically only text my brother.\So you two are close.\Not at all! response:	We barely talk, and when I come home late, he just sends me an angry text. That's it!
context: No way! Middle schoolers have cell phones, now?!\Yeah, everyone has one now.\Damn.\Oh, but I don't have contact info for much of my class.\I basically only text my brother.\So you two are close.\Not at all!\We barely talk, and when I come home late, he just sends me an angry text. That's it! response:	We could be in the same house and he'll text me instead of talking!
context: Yeah, everyone has one now.\Damn.\Oh, but I don't have contact info for much of my class.\I basically only text my brother.\So you two are close.\Not at all!\We barely talk, and when I come home late, he just sends me an angry text. That's it!\We could be in the same house and he'll text me instead of talking! response:	So you are close.
context: Damn.\Oh, but I don't have contact info for much of my class.\I basically only text my brother.\So you two are close.\Not at all!\We barely talk, and when I come home late, he just sends me an angry text. That's it!\We could be in the same house and he'll text me instead of talking!\So you are close. response:	You don't think he hates me?
context: Oh, but I don't have contact info for much of my class.\I basically only text my brother.\So you two are close.\Not at all!\We barely talk, and when I come home late, he just sends me an angry text. That's it!\We could be in the same house and he'll text me instead of talking!\So you are close.\You don't think he hates me? response:	Lucky Charm
context: I basically only text my brother.\So you two are close.\Not at all!\We barely talk, and when I come home late, he just sends me an angry text. That's it!\We could be in the same house and he'll text me instead of talking!\So you are close.\You don't think he hates me?\Lucky Charm response:	Yo, Shu, what're you so worried about?
context: So you two are close.\Not at all!\We barely talk, and when I come home late, he just sends me an angry text. That's it!\We could be in the same house and he'll text me instead of talking!\So you are close.\You don't think he hates me?\Lucky Charm\Yo, Shu, what're you so worried about? response:	Which one will make her pass the test for sure?
context: Not at all!\We barely talk, and when I come home late, he just sends me an angry text. That's it!\We could be in the same house and he'll text me instead of talking!\So you are close.\You don't think he hates me?\Lucky Charm\Yo, Shu, what're you so worried about?\Which one will make her pass the test for sure? response:	Pick it yourself, moron!
context: We barely talk, and when I come home late, he just sends me an angry text. That's it!\We could be in the same house and he'll text me instead of talking!\So you are close.\You don't think he hates me?\Lucky Charm\Yo, Shu, what're you so worried about?\Which one will make her pass the test for sure?\Pick it yourself, moron! response:	I'll just go with the biggest one, then.
context: We could be in the same house and he'll text me instead of talking!\So you are close.\You don't think he hates me?\Lucky Charm\Yo, Shu, what're you so worried about?\Which one will make her pass the test for sure?\Pick it yourself, moron!\I'll just go with the biggest one, then. response:	Um, they're all the same size...
context: So you are close.\You don't think he hates me?\Lucky Charm\Yo, Shu, what're you so worried about?\Which one will make her pass the test for sure?\Pick it yourself, moron!\I'll just go with the biggest one, then.\Um, they're all the same size... response:	Then I'll take the most expensive one.
context: You don't think he hates me?\Lucky Charm\Yo, Shu, what're you so worried about?\Which one will make her pass the test for sure?\Pick it yourself, moron!\I'll just go with the biggest one, then.\Um, they're all the same size...\Then I'll take the most expensive one. response:	Guaranteed Exam Success
context: Lucky Charm\Yo, Shu, what're you so worried about?\Which one will make her pass the test for sure?\Pick it yourself, moron!\I'll just go with the biggest one, then.\Um, they're all the same size...\Then I'll take the most expensive one.\Guaranteed Exam Success response:	That for your sister?
context: Yo, Shu, what're you so worried about?\Which one will make her pass the test for sure?\Pick it yourself, moron!\I'll just go with the biggest one, then.\Um, they're all the same size...\Then I'll take the most expensive one.\Guaranteed Exam Success\That for your sister? response:	If she wants it, I guess.
context: Which one will make her pass the test for sure?\Pick it yourself, moron!\I'll just go with the biggest one, then.\Um, they're all the same size...\Then I'll take the most expensive one.\Guaranteed Exam Success\That for your sister?\If she wants it, I guess. response:	You bought it for her, right? I'm sure it'll be fine.
context: Pick it yourself, moron!\I'll just go with the biggest one, then.\Um, they're all the same size...\Then I'll take the most expensive one.\Guaranteed Exam Success\That for your sister?\If she wants it, I guess.\You bought it for her, right? I'm sure it'll be fine. response:	Hey, it's snowing.
context: I'll just go with the biggest one, then.\Um, they're all the same size...\Then I'll take the most expensive one.\Guaranteed Exam Success\That for your sister?\If she wants it, I guess.\You bought it for her, right? I'm sure it'll be fine.\Hey, it's snowing. response:	I hope...
context: Um, they're all the same size...\Then I'll take the most expensive one.\Guaranteed Exam Success\That for your sister?\If she wants it, I guess.\You bought it for her, right? I'm sure it'll be fine.\Hey, it's snowing.\I hope... response:	Next Time: Hitherto, and Forevermore
