context: Has there been any contact with Count Mazuurek since then? response:	No. However, his Landing Castle is still functional.
context: who is charged with safeguarding the moon base and Your Highness?\There is no cause for concern. I have taken over those duties.\Princess Asseylum, I have come to beg you to consider\giving me the honor of serving at your side.\But Count Marylcian, I have\I will thank you to keep your comments to yourself, Terran!\This is a fortress that flies the flag of the Vers Empire.\If that post were bestowed upon the previous Count Saazbaum, response:	a man of great merit who rescued Her Highness,
context: There is no cause for concern. I have taken over those duties.\Princess Asseylum, I have come to beg you to consider\giving me the honor of serving at your side.\But Count Marylcian, I have\I will thank you to keep your comments to yourself, Terran!\This is a fortress that flies the flag of the Vers Empire.\If that post were bestowed upon the previous Count Saazbaum,\a man of great merit who rescued Her Highness, response:	I would be disappointed, but would nonetheless approve.
context: Princess Asseylum, I have come to beg you to consider\giving me the honor of serving at your side.\But Count Marylcian, I have\I will thank you to keep your comments to yourself, Terran!\This is a fortress that flies the flag of the Vers Empire.\If that post were bestowed upon the previous Count Saazbaum,\a man of great merit who rescued Her Highness,\I would be disappointed, but would nonetheless approve. response:	Yet you, an Earthborn even if you are his adopted son, dare to think
context: giving me the honor of serving at your side.\But Count Marylcian, I have\I will thank you to keep your comments to yourself, Terran!\This is a fortress that flies the flag of the Vers Empire.\If that post were bestowed upon the previous Count Saazbaum,\a man of great merit who rescued Her Highness,\I would be disappointed, but would nonetheless approve.\Yet you, an Earthborn even if you are his adopted son, dare to think response:	you can inherit that post using this turmoil as a pretext?
context: But Count Marylcian, I have\I will thank you to keep your comments to yourself, Terran!\This is a fortress that flies the flag of the Vers Empire.\If that post were bestowed upon the previous Count Saazbaum,\a man of great merit who rescued Her Highness,\I would be disappointed, but would nonetheless approve.\Yet you, an Earthborn even if you are his adopted son, dare to think\you can inherit that post using this turmoil as a pretext? response:	To have one of low blood set foot inside the castle where a member
context: I will thank you to keep your comments to yourself, Terran!\This is a fortress that flies the flag of the Vers Empire.\If that post were bestowed upon the previous Count Saazbaum,\a man of great merit who rescued Her Highness,\I would be disappointed, but would nonetheless approve.\Yet you, an Earthborn even if you are his adopted son, dare to think\you can inherit that post using this turmoil as a pretext?\To have one of low blood set foot inside the castle where a member response:	of the venerable Vers imperial family dwells is a fact that cannot be tolerated!
context: This is a fortress that flies the flag of the Vers Empire.\If that post were bestowed upon the previous Count Saazbaum,\a man of great merit who rescued Her Highness,\I would be disappointed, but would nonetheless approve.\Yet you, an Earthborn even if you are his adopted son, dare to think\you can inherit that post using this turmoil as a pretext?\To have one of low blood set foot inside the castle where a member\of the venerable Vers imperial family dwells is a fact that cannot be tolerated! response:	One who does not possess a Landing Castle is unfit to call himself count.
context: If that post were bestowed upon the previous Count Saazbaum,\a man of great merit who rescued Her Highness,\I would be disappointed, but would nonetheless approve.\Yet you, an Earthborn even if you are his adopted son, dare to think\you can inherit that post using this turmoil as a pretext?\To have one of low blood set foot inside the castle where a member\of the venerable Vers imperial family dwells is a fact that cannot be tolerated!\One who does not possess a Landing Castle is unfit to call himself count. response:	You are not qualified to protect this place, not in the least!
context: a man of great merit who rescued Her Highness,\I would be disappointed, but would nonetheless approve.\Yet you, an Earthborn even if you are his adopted son, dare to think\you can inherit that post using this turmoil as a pretext?\To have one of low blood set foot inside the castle where a member\of the venerable Vers imperial family dwells is a fact that cannot be tolerated!\One who does not possess a Landing Castle is unfit to call himself count.\You are not qualified to protect this place, not in the least! response:	What are you suggesting, then?
context: I would be disappointed, but would nonetheless approve.\Yet you, an Earthborn even if you are his adopted son, dare to think\you can inherit that post using this turmoil as a pretext?\To have one of low blood set foot inside the castle where a member\of the venerable Vers imperial family dwells is a fact that cannot be tolerated!\One who does not possess a Landing Castle is unfit to call himself count.\You are not qualified to protect this place, not in the least!\What are you suggesting, then? response:	That we determine which is more fit to protect Her Highness,
context: Yet you, an Earthborn even if you are his adopted son, dare to think\you can inherit that post using this turmoil as a pretext?\To have one of low blood set foot inside the castle where a member\of the venerable Vers imperial family dwells is a fact that cannot be tolerated!\One who does not possess a Landing Castle is unfit to call himself count.\You are not qualified to protect this place, not in the least!\What are you suggesting, then?\That we determine which is more fit to protect Her Highness, response:	my Herschel or your Tharsis.
context: you can inherit that post using this turmoil as a pretext?\To have one of low blood set foot inside the castle where a member\of the venerable Vers imperial family dwells is a fact that cannot be tolerated!\One who does not possess a Landing Castle is unfit to call himself count.\You are not qualified to protect this place, not in the least!\What are you suggesting, then?\That we determine which is more fit to protect Her Highness,\my Herschel or your Tharsis. response:	Count Troyard, I hereby challenge you to a duel!
context: To have one of low blood set foot inside the castle where a member\of the venerable Vers imperial family dwells is a fact that cannot be tolerated!\One who does not possess a Landing Castle is unfit to call himself count.\You are not qualified to protect this place, not in the least!\What are you suggesting, then?\That we determine which is more fit to protect Her Highness,\my Herschel or your Tharsis.\Count Troyard, I hereby challenge you to a duel! response:	Dawn of Intrigue
