context: From One Year to the Next response:	Coffee Shop
context: I have a feeling I'll be able to talk with her even more tomorrow.\Hitotose\Mayu-chan's doll is all wet with my drool...\My goodness, Goro. You really love Mayu, don't you?\S-Stop!\New Year's is almost over...\It went by so fast.\In three months, I'll have been here for a year. response:	I wasn't sure how it would go at first,
context: Hitotose\Mayu-chan's doll is all wet with my drool...\My goodness, Goro. You really love Mayu, don't you?\S-Stop!\New Year's is almost over...\It went by so fast.\In three months, I'll have been here for a year.\I wasn't sure how it would go at first, response:	but then I met everyone, started our theater troupe,
context: Mayu-chan's doll is all wet with my drool...\My goodness, Goro. You really love Mayu, don't you?\S-Stop!\New Year's is almost over...\It went by so fast.\In three months, I'll have been here for a year.\I wasn't sure how it would go at first,\but then I met everyone, started our theater troupe, response:	became friends with Yua-chan...
context: My goodness, Goro. You really love Mayu, don't you?\S-Stop!\New Year's is almost over...\It went by so fast.\In three months, I'll have been here for a year.\I wasn't sure how it would go at first,\but then I met everyone, started our theater troupe,\became friends with Yua-chan... response:	I was in the play at our culture festival, too,
context: S-Stop!\New Year's is almost over...\It went by so fast.\In three months, I'll have been here for a year.\I wasn't sure how it would go at first,\but then I met everyone, started our theater troupe,\became friends with Yua-chan...\I was in the play at our culture festival, too, response:	and the Hitotose Troupe had its first performance.
context: New Year's is almost over...\It went by so fast.\In three months, I'll have been here for a year.\I wasn't sure how it would go at first,\but then I met everyone, started our theater troupe,\became friends with Yua-chan...\I was in the play at our culture festival, too,\and the Hitotose Troupe had its first performance. response:	So much has happened.
context: It went by so fast.\In three months, I'll have been here for a year.\I wasn't sure how it would go at first,\but then I met everyone, started our theater troupe,\became friends with Yua-chan...\I was in the play at our culture festival, too,\and the Hitotose Troupe had its first performance.\So much has happened. response:	But I think it's all helped me grow up a little bit...
context: In three months, I'll have been here for a year.\I wasn't sure how it would go at first,\but then I met everyone, started our theater troupe,\became friends with Yua-chan...\I was in the play at our culture festival, too,\and the Hitotose Troupe had its first performance.\So much has happened.\But I think it's all helped me grow up a little bit... response:	Or maybe not.
context: I wasn't sure how it would go at first,\but then I met everyone, started our theater troupe,\became friends with Yua-chan...\I was in the play at our culture festival, too,\and the Hitotose Troupe had its first performance.\So much has happened.\But I think it's all helped me grow up a little bit...\Or maybe not. response:	But...
context: but then I met everyone, started our theater troupe,\became friends with Yua-chan...\I was in the play at our culture festival, too,\and the Hitotose Troupe had its first performance.\So much has happened.\But I think it's all helped me grow up a little bit...\Or maybe not.\But... response:	I'll keep trying my best at everything!
context: became friends with Yua-chan...\I was in the play at our culture festival, too,\and the Hitotose Troupe had its first performance.\So much has happened.\But I think it's all helped me grow up a little bit...\Or maybe not.\But...\I'll keep trying my best at everything! response:	Yeah!
context: I was in the play at our culture festival, too,\and the Hitotose Troupe had its first performance.\So much has happened.\But I think it's all helped me grow up a little bit...\Or maybe not.\But...\I'll keep trying my best at everything!\Yeah! response:	I'm back.
context: and the Hitotose Troupe had its first performance.\So much has happened.\But I think it's all helped me grow up a little bit...\Or maybe not.\But...\I'll keep trying my best at everything!\Yeah!\I'm back. response:	I'm back!
context: So much has happened.\But I think it's all helped me grow up a little bit...\Or maybe not.\But...\I'll keep trying my best at everything!\Yeah!\I'm back.\I'm back! response:	Kuu-chan! Mayu-chan!
context: But I think it's all helped me grow up a little bit...\Or maybe not.\But...\I'll keep trying my best at everything!\Yeah!\I'm back.\I'm back!\Kuu-chan! Mayu-chan! response:	I bought lots of souvenirs.
context: Or maybe not.\But...\I'll keep trying my best at everything!\Yeah!\I'm back.\I'm back!\Kuu-chan! Mayu-chan!\I bought lots of souvenirs. response:	This is Tokyo's specialty, Ahiru!
context: But...\I'll keep trying my best at everything!\Yeah!\I'm back.\I'm back!\Kuu-chan! Mayu-chan!\I bought lots of souvenirs.\This is Tokyo's specialty, Ahiru! response:	Huh?! I got Ahiru, too...
context: I'll keep trying my best at everything!\Yeah!\I'm back.\I'm back!\Kuu-chan! Mayu-chan!\I bought lots of souvenirs.\This is Tokyo's specialty, Ahiru!\Huh?! I got Ahiru, too... response:	So we have lots!
context: Yeah!\I'm back.\I'm back!\Kuu-chan! Mayu-chan!\I bought lots of souvenirs.\This is Tokyo's specialty, Ahiru!\Huh?! I got Ahiru, too...\So we have lots! response:	Let's all eat them right now!
context: I'm back.\I'm back!\Kuu-chan! Mayu-chan!\I bought lots of souvenirs.\This is Tokyo's specialty, Ahiru!\Huh?! I got Ahiru, too...\So we have lots!\Let's all eat them right now! response:	Huh? Shouldn't we put our things away first?
context: I'm back!\Kuu-chan! Mayu-chan!\I bought lots of souvenirs.\This is Tokyo's specialty, Ahiru!\Huh?! I got Ahiru, too...\So we have lots!\Let's all eat them right now!\Huh? Shouldn't we put our things away first? response:	Eating the year's first souvenir takes priority!
context: Kuu-chan! Mayu-chan!\I bought lots of souvenirs.\This is Tokyo's specialty, Ahiru!\Huh?! I got Ahiru, too...\So we have lots!\Let's all eat them right now!\Huh? Shouldn't we put our things away first?\Eating the year's first souvenir takes priority! response:	Eating really is all you ever do, isn't it?
context: I bought lots of souvenirs.\This is Tokyo's specialty, Ahiru!\Huh?! I got Ahiru, too...\So we have lots!\Let's all eat them right now!\Huh? Shouldn't we put our things away first?\Eating the year's first souvenir takes priority!\Eating really is all you ever do, isn't it? response:	Yep!
context: This is Tokyo's specialty, Ahiru!\Huh?! I got Ahiru, too...\So we have lots!\Let's all eat them right now!\Huh? Shouldn't we put our things away first?\Eating the year's first souvenir takes priority!\Eating really is all you ever do, isn't it?\Yep! response:	Let's hurry and eat these!
context: Huh?! I got Ahiru, too...\So we have lots!\Let's all eat them right now!\Huh? Shouldn't we put our things away first?\Eating the year's first souvenir takes priority!\Eating really is all you ever do, isn't it?\Yep!\Let's hurry and eat these! response:	Yeah, let's eat!
context: So we have lots!\Let's all eat them right now!\Huh? Shouldn't we put our things away first?\Eating the year's first souvenir takes priority!\Eating really is all you ever do, isn't it?\Yep!\Let's hurry and eat these!\Yeah, let's eat! response:	The Place We Longed to Reach
context: Let's all eat them right now!\Huh? Shouldn't we put our things away first?\Eating the year's first souvenir takes priority!\Eating really is all you ever do, isn't it?\Yep!\Let's hurry and eat these!\Yeah, let's eat!\The Place We Longed to Reach response:	I came to Hitotose Manor because I wanted to change myself,
context: Huh? Shouldn't we put our things away first?\Eating the year's first souvenir takes priority!\Eating really is all you ever do, isn't it?\Yep!\Let's hurry and eat these!\Yeah, let's eat!\The Place We Longed to Reach\I came to Hitotose Manor because I wanted to change myself, response:	and I met precious friends there who can never be replaced.
context: Eating the year's first souvenir takes priority!\Eating really is all you ever do, isn't it?\Yep!\Let's hurry and eat these!\Yeah, let's eat!\The Place We Longed to Reach\I came to Hitotose Manor because I wanted to change myself,\and I met precious friends there who can never be replaced. response:	I'll keep working toward my goal along with all the people I love!
context: Eating really is all you ever do, isn't it?\Yep!\Let's hurry and eat these!\Yeah, let's eat!\The Place We Longed to Reach\I came to Hitotose Manor because I wanted to change myself,\and I met precious friends there who can never be replaced.\I'll keep working toward my goal along with all the people I love! response:	Next time, The Place We Longed to Reach.
