context: Hey, Izuna. response:	What, please?
context: 1. All murder, war, and robbery is forbidden in this world. 2. All conflict in this world will be resolved through games. 3. In games, each player will bet something that they agree is of equal value. 4. As long as it doesn't violate pledge three, anything may be bet, and any game may be played. 5. The challenged party has the right to decide the rules of the game.\have to be followed?\What do you mean?\6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.\10. Let's all have fun and play together!\Did you forget?\Pledge 10.\10. Let's all have fun and play together! response:	Let's all have fun and play together.
context: have to be followed?\What do you mean?\6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.\10. Let's all have fun and play together!\Did you forget?\Pledge 10.\10. Let's all have fun and play together!\Let's all have fun and play together. response:	In other words,
context: What do you mean?\6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.\10. Let's all have fun and play together!\Did you forget?\Pledge 10.\10. Let's all have fun and play together!\Let's all have fun and play together.\In other words, response:	if we're not all together, having fun, we can't beat the game.
context: 6. Any bets made in accordance with the pledges must be upheld. 7. Conflicts between groups will be conducted by designated representatives with absolute authority. 8. Being caught cheating during a game is grounds for an instant loss. 9. In the name of God, the previous rules may never be changed.\10. Let's all have fun and play together!\Did you forget?\Pledge 10.\10. Let's all have fun and play together!\Let's all have fun and play together.\In other words,\if we're not all together, having fun, we can't beat the game. response:	We don't steal each other's pieces.
context: 10. Let's all have fun and play together!\Did you forget?\Pledge 10.\10. Let's all have fun and play together!\Let's all have fun and play together.\In other words,\if we're not all together, having fun, we can't beat the game.\We don't steal each other's pieces. response:	Each of the races, the sixteen races who claim to be intelligent,
context: Did you forget?\Pledge 10.\10. Let's all have fun and play together!\Let's all have fun and play together.\In other words,\if we're not all together, having fun, we can't beat the game.\We don't steal each other's pieces.\Each of the races, the sixteen races who claim to be intelligent, response:	must use their wisdom and wit, their talents and resources,
context: Pledge 10.\10. Let's all have fun and play together!\Let's all have fun and play together.\In other words,\if we're not all together, having fun, we can't beat the game.\We don't steal each other's pieces.\Each of the races, the sixteen races who claim to be intelligent,\must use their wisdom and wit, their talents and resources, response:	to build a tower of wisdom on Disboard.
context: 10. Let's all have fun and play together!\Let's all have fun and play together.\In other words,\if we're not all together, having fun, we can't beat the game.\We don't steal each other's pieces.\Each of the races, the sixteen races who claim to be intelligent,\must use their wisdom and wit, their talents and resources,\to build a tower of wisdom on Disboard. response:	Prove to me that you have wisdom at all.
context: Let's all have fun and play together.\In other words,\if we're not all together, having fun, we can't beat the game.\We don't steal each other's pieces.\Each of the races, the sixteen races who claim to be intelligent,\must use their wisdom and wit, their talents and resources,\to build a tower of wisdom on Disboard.\Prove to me that you have wisdom at all. response:	That's great! Wonderful!
context: In other words,\if we're not all together, having fun, we can't beat the game.\We don't steal each other's pieces.\Each of the races, the sixteen races who claim to be intelligent,\must use their wisdom and wit, their talents and resources,\to build a tower of wisdom on Disboard.\Prove to me that you have wisdom at all.\That's great! Wonderful! response:	This really is getting fun.
context: if we're not all together, having fun, we can't beat the game.\We don't steal each other's pieces.\Each of the races, the sixteen races who claim to be intelligent,\must use their wisdom and wit, their talents and resources,\to build a tower of wisdom on Disboard.\Prove to me that you have wisdom at all.\That's great! Wonderful!\This really is getting fun. response:	I really was right to bring you here.
context: We don't steal each other's pieces.\Each of the races, the sixteen races who claim to be intelligent,\must use their wisdom and wit, their talents and resources,\to build a tower of wisdom on Disboard.\Prove to me that you have wisdom at all.\That's great! Wonderful!\This really is getting fun.\I really was right to bring you here. response:	I'm waiting.
context: Each of the races, the sixteen races who claim to be intelligent,\must use their wisdom and wit, their talents and resources,\to build a tower of wisdom on Disboard.\Prove to me that you have wisdom at all.\That's great! Wonderful!\This really is getting fun.\I really was right to bring you here.\I'm waiting. response:	Come to me, with all the races in tow.
context: must use their wisdom and wit, their talents and resources,\to build a tower of wisdom on Disboard.\Prove to me that you have wisdom at all.\That's great! Wonderful!\This really is getting fun.\I really was right to bring you here.\I'm waiting.\Come to me, with all the races in tow. response:	And then...
context: to build a tower of wisdom on Disboard.\Prove to me that you have wisdom at all.\That's great! Wonderful!\This really is getting fun.\I really was right to bring you here.\I'm waiting.\Come to me, with all the races in tow.\And then... response:	He sure made it sound easy, though...
context: Prove to me that you have wisdom at all.\That's great! Wonderful!\This really is getting fun.\I really was right to bring you here.\I'm waiting.\Come to me, with all the races in tow.\And then...\He sure made it sound easy, though... response:	Tearing apart the largest country in the world, Elven Garde, from within.
context: That's great! Wonderful!\This really is getting fun.\I really was right to bring you here.\I'm waiting.\Come to me, with all the races in tow.\And then...\He sure made it sound easy, though...\Tearing apart the largest country in the world, Elven Garde, from within. response:	What are you going to do?
context: This really is getting fun.\I really was right to bring you here.\I'm waiting.\Come to me, with all the races in tow.\And then...\He sure made it sound easy, though...\Tearing apart the largest country in the world, Elven Garde, from within.\What are you going to do? response:	If there's a way, I want to know it.
context: I really was right to bring you here.\I'm waiting.\Come to me, with all the races in tow.\And then...\He sure made it sound easy, though...\Tearing apart the largest country in the world, Elven Garde, from within.\What are you going to do?\If there's a way, I want to know it. response:	But we have to do it.
context: I'm waiting.\Come to me, with all the races in tow.\And then...\He sure made it sound easy, though...\Tearing apart the largest country in the world, Elven Garde, from within.\What are you going to do?\If there's a way, I want to know it.\But we have to do it. response:	That's the only way for Imanity to win.
context: Come to me, with all the races in tow.\And then...\He sure made it sound easy, though...\Tearing apart the largest country in the world, Elven Garde, from within.\What are you going to do?\If there's a way, I want to know it.\But we have to do it.\That's the only way for Imanity to win. response:	Kurami...
context: And then...\He sure made it sound easy, though...\Tearing apart the largest country in the world, Elven Garde, from within.\What are you going to do?\If there's a way, I want to know it.\But we have to do it.\That's the only way for Imanity to win.\Kurami... response:	A way for the weak to stay weak, but still defeat the strong.
context: He sure made it sound easy, though...\Tearing apart the largest country in the world, Elven Garde, from within.\What are you going to do?\If there's a way, I want to know it.\But we have to do it.\That's the only way for Imanity to win.\Kurami...\A way for the weak to stay weak, but still defeat the strong. response:	A way to stay who you are, but surpass your limits.
context: Tearing apart the largest country in the world, Elven Garde, from within.\What are you going to do?\If there's a way, I want to know it.\But we have to do it.\That's the only way for Imanity to win.\Kurami...\A way for the weak to stay weak, but still defeat the strong.\A way to stay who you are, but surpass your limits. response:	To soar through the sky, even if you can't fly...
context: What are you going to do?\If there's a way, I want to know it.\But we have to do it.\That's the only way for Imanity to win.\Kurami...\A way for the weak to stay weak, but still defeat the strong.\A way to stay who you are, but surpass your limits.\To soar through the sky, even if you can't fly... response:	He's always found a way,
context: If there's a way, I want to know it.\But we have to do it.\That's the only way for Imanity to win.\Kurami...\A way for the weak to stay weak, but still defeat the strong.\A way to stay who you are, but surpass your limits.\To soar through the sky, even if you can't fly...\He's always found a way, response:	inside despair, suffering, and darkness.
context: But we have to do it.\That's the only way for Imanity to win.\Kurami...\A way for the weak to stay weak, but still defeat the strong.\A way to stay who you are, but surpass your limits.\To soar through the sky, even if you can't fly...\He's always found a way,\inside despair, suffering, and darkness. response:	I'm not imagining it, am I?
context: That's the only way for Imanity to win.\Kurami...\A way for the weak to stay weak, but still defeat the strong.\A way to stay who you are, but surpass your limits.\To soar through the sky, even if you can't fly...\He's always found a way,\inside despair, suffering, and darkness.\I'm not imagining it, am I? response:	You've changed a little.
context: Kurami...\A way for the weak to stay weak, but still defeat the strong.\A way to stay who you are, but surpass your limits.\To soar through the sky, even if you can't fly...\He's always found a way,\inside despair, suffering, and darkness.\I'm not imagining it, am I?\You've changed a little. response:	Have I?
context: A way for the weak to stay weak, but still defeat the strong.\A way to stay who you are, but surpass your limits.\To soar through the sky, even if you can't fly...\He's always found a way,\inside despair, suffering, and darkness.\I'm not imagining it, am I?\You've changed a little.\Have I? response:	Maybe I feel like I can't lose now.
context: A way to stay who you are, but surpass your limits.\To soar through the sky, even if you can't fly...\He's always found a way,\inside despair, suffering, and darkness.\I'm not imagining it, am I?\You've changed a little.\Have I?\Maybe I feel like I can't lose now. response:	So...
context: To soar through the sky, even if you can't fly...\He's always found a way,\inside despair, suffering, and darkness.\I'm not imagining it, am I?\You've changed a little.\Have I?\Maybe I feel like I can't lose now.\So... response:	Will you help me?
context: He's always found a way,\inside despair, suffering, and darkness.\I'm not imagining it, am I?\You've changed a little.\Have I?\Maybe I feel like I can't lose now.\So...\Will you help me? response:	Of course!
context: inside despair, suffering, and darkness.\I'm not imagining it, am I?\You've changed a little.\Have I?\Maybe I feel like I can't lose now.\So...\Will you help me?\Of course! response:	I'd fight the whole world for you, Kurami!
context: I'm not imagining it, am I?\You've changed a little.\Have I?\Maybe I feel like I can't lose now.\So...\Will you help me?\Of course!\I'd fight the whole world for you, Kurami! response:	Let's do it!
context: You've changed a little.\Have I?\Maybe I feel like I can't lose now.\So...\Will you help me?\Of course!\I'd fight the whole world for you, Kurami!\Let's do it! response:	Just you watch, Sora!
context: Have I?\Maybe I feel like I can't lose now.\So...\Will you help me?\Of course!\I'd fight the whole world for you, Kurami!\Let's do it!\Just you watch, Sora! response:	Well, let's get going.
context: Maybe I feel like I can't lose now.\So...\Will you help me?\Of course!\I'd fight the whole world for you, Kurami!\Let's do it!\Just you watch, Sora!\Well, let's get going. response:	Yeah.
context: So...\Will you help me?\Of course!\I'd fight the whole world for you, Kurami!\Let's do it!\Just you watch, Sora!\Well, let's get going.\Yeah. response:	Brother, but there's still...
context: Will you help me?\Of course!\I'd fight the whole world for you, Kurami!\Let's do it!\Just you watch, Sora!\Well, let's get going.\Yeah.\Brother, but there's still... response:	Oh, I know.
context: Of course!\I'd fight the whole world for you, Kurami!\Let's do it!\Just you watch, Sora!\Well, let's get going.\Yeah.\Brother, but there's still...\Oh, I know. response:	Wh-What?
context: I'd fight the whole world for you, Kurami!\Let's do it!\Just you watch, Sora!\Well, let's get going.\Yeah.\Brother, but there's still...\Oh, I know.\Wh-What? response:	Is there still something you want from the Shrine Priestess,
context: Let's do it!\Just you watch, Sora!\Well, let's get going.\Yeah.\Brother, but there's still...\Oh, I know.\Wh-What?\Is there still something you want from the Shrine Priestess, response:	you bald monkey?
context: Just you watch, Sora!\Well, let's get going.\Yeah.\Brother, but there's still...\Oh, I know.\Wh-What?\Is there still something you want from the Shrine Priestess,\you bald monkey? response:	It's not really something we want, but...
context: Well, let's get going.\Yeah.\Brother, but there's still...\Oh, I know.\Wh-What?\Is there still something you want from the Shrine Priestess,\you bald monkey?\It's not really something we want, but... response:	If you're a shrine priestess, you must have one, right?
context: Yeah.\Brother, but there's still...\Oh, I know.\Wh-What?\Is there still something you want from the Shrine Priestess,\you bald monkey?\It's not really something we want, but...\If you're a shrine priestess, you must have one, right? response:	We've been wondering.
context: Brother, but there's still...\Oh, I know.\Wh-What?\Is there still something you want from the Shrine Priestess,\you bald monkey?\It's not really something we want, but...\If you're a shrine priestess, you must have one, right?\We've been wondering. response:	Wh-What is this?
context: Oh, I know.\Wh-What?\Is there still something you want from the Shrine Priestess,\you bald monkey?\It's not really something we want, but...\If you're a shrine priestess, you must have one, right?\We've been wondering.\Wh-What is this? response:	What power!
context: Wh-What?\Is there still something you want from the Shrine Priestess,\you bald monkey?\It's not really something we want, but...\If you're a shrine priestess, you must have one, right?\We've been wondering.\Wh-What is this?\What power! response:	Divine core manifestation.
context: Is there still something you want from the Shrine Priestess,\you bald monkey?\It's not really something we want, but...\If you're a shrine priestess, you must have one, right?\We've been wondering.\Wh-What is this?\What power!\Divine core manifestation. response:	Mind meld established.
context: you bald monkey?\It's not really something we want, but...\If you're a shrine priestess, you must have one, right?\We've been wondering.\Wh-What is this?\What power!\Divine core manifestation.\Mind meld established. response:	Power setting: minimal.
context: It's not really something we want, but...\If you're a shrine priestess, you must have one, right?\We've been wondering.\Wh-What is this?\What power!\Divine core manifestation.\Mind meld established.\Power setting: minimal. response:	Why have you summoned me, you with finite lifespans?
context: If you're a shrine priestess, you must have one, right?\We've been wondering.\Wh-What is this?\What power!\Divine core manifestation.\Mind meld established.\Power setting: minimal.\Why have you summoned me, you with finite lifespans? response:	Exceed Rank 1, Old Deus...
context: We've been wondering.\Wh-What is this?\What power!\Divine core manifestation.\Mind meld established.\Power setting: minimal.\Why have you summoned me, you with finite lifespans?\Exceed Rank 1, Old Deus... response:	Exceed Rank 1?
context: Wh-What is this?\What power!\Divine core manifestation.\Mind meld established.\Power setting: minimal.\Why have you summoned me, you with finite lifespans?\Exceed Rank 1, Old Deus...\Exceed Rank 1? response:	Old... Deus?!
context: What power!\Divine core manifestation.\Mind meld established.\Power setting: minimal.\Why have you summoned me, you with finite lifespans?\Exceed Rank 1, Old Deus...\Exceed Rank 1?\Old... Deus?! response:	Okay...
context: Divine core manifestation.\Mind meld established.\Power setting: minimal.\Why have you summoned me, you with finite lifespans?\Exceed Rank 1, Old Deus...\Exceed Rank 1?\Old... Deus?!\Okay... response:	Let's begin the game!
