context: Thanks for helping out today. response:	Sota's been eating me out of house and home, so shopping's been rough.
context: What would I give her?\Hey, do you think my bro will come here every day over break?\Not every day.\And remember, this won't last forever. He'll stop coming someday.\Okay... when will that be?\When you graduate high school?\When will Miyamura stop coming over?\I don't know. response:	You'd be sad if he stopped coming over, right?
context: Hey, do you think my bro will come here every day over break?\Not every day.\And remember, this won't last forever. He'll stop coming someday.\Okay... when will that be?\When you graduate high school?\When will Miyamura stop coming over?\I don't know.\You'd be sad if he stopped coming over, right? response:	I'd be really sad!
context: Not every day.\And remember, this won't last forever. He'll stop coming someday.\Okay... when will that be?\When you graduate high school?\When will Miyamura stop coming over?\I don't know.\You'd be sad if he stopped coming over, right?\I'd be really sad! response:	Hori-san.
context: And remember, this won't last forever. He'll stop coming someday.\Okay... when will that be?\When you graduate high school?\When will Miyamura stop coming over?\I don't know.\You'd be sad if he stopped coming over, right?\I'd be really sad!\Hori-san. response:	Yeah, I'd be sad!
context: Okay... when will that be?\When you graduate high school?\When will Miyamura stop coming over?\I don't know.\You'd be sad if he stopped coming over, right?\I'd be really sad!\Hori-san.\Yeah, I'd be sad! response:	C'mon, sis, be a little more honest with yourself.
context: When you graduate high school?\When will Miyamura stop coming over?\I don't know.\You'd be sad if he stopped coming over, right?\I'd be really sad!\Hori-san.\Yeah, I'd be sad!\C'mon, sis, be a little more honest with yourself. response:	Sh-Shut it!
context: When will Miyamura stop coming over?\I don't know.\You'd be sad if he stopped coming over, right?\I'd be really sad!\Hori-san.\Yeah, I'd be sad!\C'mon, sis, be a little more honest with yourself.\Sh-Shut it! response:	Happy birthday!
context: I don't know.\You'd be sad if he stopped coming over, right?\I'd be really sad!\Hori-san.\Yeah, I'd be sad!\C'mon, sis, be a little more honest with yourself.\Sh-Shut it!\Happy birthday! response:	Right, it's my birthday!
context: You'd be sad if he stopped coming over, right?\I'd be really sad!\Hori-san.\Yeah, I'd be sad!\C'mon, sis, be a little more honest with yourself.\Sh-Shut it!\Happy birthday!\Right, it's my birthday! response:	Spring break made me totally forget about it. Thanks!
context: I'd be really sad!\Hori-san.\Yeah, I'd be sad!\C'mon, sis, be a little more honest with yourself.\Sh-Shut it!\Happy birthday!\Right, it's my birthday!\Spring break made me totally forget about it. Thanks! response:	This is from me. Happy birthday.
context: Hori-san.\Yeah, I'd be sad!\C'mon, sis, be a little more honest with yourself.\Sh-Shut it!\Happy birthday!\Right, it's my birthday!\Spring break made me totally forget about it. Thanks!\This is from me. Happy birthday. response:	Whoa, what is this?
context: Yeah, I'd be sad!\C'mon, sis, be a little more honest with yourself.\Sh-Shut it!\Happy birthday!\Right, it's my birthday!\Spring break made me totally forget about it. Thanks!\This is from me. Happy birthday.\Whoa, what is this? response:	A CD of all the songs people our age are into? The popular ones?!
context: C'mon, sis, be a little more honest with yourself.\Sh-Shut it!\Happy birthday!\Right, it's my birthday!\Spring break made me totally forget about it. Thanks!\This is from me. Happy birthday.\Whoa, what is this?\A CD of all the songs people our age are into? The popular ones?! response:	Yeah. The ones I like, at least.
context: Sh-Shut it!\Happy birthday!\Right, it's my birthday!\Spring break made me totally forget about it. Thanks!\This is from me. Happy birthday.\Whoa, what is this?\A CD of all the songs people our age are into? The popular ones?!\Yeah. The ones I like, at least. response:	Thank you, Miyamura.
context: Happy birthday!\Right, it's my birthday!\Spring break made me totally forget about it. Thanks!\This is from me. Happy birthday.\Whoa, what is this?\A CD of all the songs people our age are into? The popular ones?!\Yeah. The ones I like, at least.\Thank you, Miyamura. response:	How strange.
context: Right, it's my birthday!\Spring break made me totally forget about it. Thanks!\This is from me. Happy birthday.\Whoa, what is this?\A CD of all the songs people our age are into? The popular ones?!\Yeah. The ones I like, at least.\Thank you, Miyamura.\How strange. response:	How'd he know that this was what I wanted?
context: Spring break made me totally forget about it. Thanks!\This is from me. Happy birthday.\Whoa, what is this?\A CD of all the songs people our age are into? The popular ones?!\Yeah. The ones I like, at least.\Thank you, Miyamura.\How strange.\How'd he know that this was what I wanted? response:	You're such a weirdo.
context: This is from me. Happy birthday.\Whoa, what is this?\A CD of all the songs people our age are into? The popular ones?!\Yeah. The ones I like, at least.\Thank you, Miyamura.\How strange.\How'd he know that this was what I wanted?\You're such a weirdo. response:	If it's my birthday, that means spring break's almost over.
context: Whoa, what is this?\A CD of all the songs people our age are into? The popular ones?!\Yeah. The ones I like, at least.\Thank you, Miyamura.\How strange.\How'd he know that this was what I wanted?\You're such a weirdo.\If it's my birthday, that means spring break's almost over. response:	Yeah.
context: A CD of all the songs people our age are into? The popular ones?!\Yeah. The ones I like, at least.\Thank you, Miyamura.\How strange.\How'd he know that this was what I wanted?\You're such a weirdo.\If it's my birthday, that means spring break's almost over.\Yeah. response:	We'll be third years soon, huh?
context: Yeah. The ones I like, at least.\Thank you, Miyamura.\How strange.\How'd he know that this was what I wanted?\You're such a weirdo.\If it's my birthday, that means spring break's almost over.\Yeah.\We'll be third years soon, huh? response:	That's Why It's Okay
