context: The wind is warm. response:	May. When I wake up and open the window, I don't recoil from the wind anymore.
context: Was that too much water?\Kiriyama, are you a little kid?\Why are both of your hands moving in the same direction?\I bet you can't draw a square with your right hand while drawing a triangle with your left hand.\I-I can do that!\Are you sure?\Don't worry, Kiriyama. All you have to do is add more glucose.\- What? - You can save it yet. response:	Huh?
context: Kiriyama, are you a little kid?\Why are both of your hands moving in the same direction?\I bet you can't draw a square with your right hand while drawing a triangle with your left hand.\I-I can do that!\Are you sure?\Don't worry, Kiriyama. All you have to do is add more glucose.\- What? - You can save it yet.\Huh? response:	What is this?
context: Why are both of your hands moving in the same direction?\I bet you can't draw a square with your right hand while drawing a triangle with your left hand.\I-I can do that!\Are you sure?\Don't worry, Kiriyama. All you have to do is add more glucose.\- What? - You can save it yet.\Huh?\What is this? response:	I'm participating in a club activity.
context: I bet you can't draw a square with your right hand while drawing a triangle with your left hand.\I-I can do that!\Are you sure?\Don't worry, Kiriyama. All you have to do is add more glucose.\- What? - You can save it yet.\Huh?\What is this?\I'm participating in a club activity. response:	I'm laughing and talking...
context: I-I can do that!\Are you sure?\Don't worry, Kiriyama. All you have to do is add more glucose.\- What? - You can save it yet.\Huh?\What is this?\I'm participating in a club activity.\I'm laughing and talking... response:	Now let's give it a taste test.
context: Are you sure?\Don't worry, Kiriyama. All you have to do is add more glucose.\- What? - You can save it yet.\Huh?\What is this?\I'm participating in a club activity.\I'm laughing and talking...\Now let's give it a taste test. response:	Kiriyama.
context: Don't worry, Kiriyama. All you have to do is add more glucose.\- What? - You can save it yet.\Huh?\What is this?\I'm participating in a club activity.\I'm laughing and talking...\Now let's give it a taste test.\Kiriyama. response:	The ramune is sweet...
context: - What? - You can save it yet.\Huh?\What is this?\I'm participating in a club activity.\I'm laughing and talking...\Now let's give it a taste test.\Kiriyama.\The ramune is sweet... response:	and when I put it in my mouth, it falls apart.
context: Huh?\What is this?\I'm participating in a club activity.\I'm laughing and talking...\Now let's give it a taste test.\Kiriyama.\The ramune is sweet...\and when I put it in my mouth, it falls apart. response:	As it melted, I felt a lump in my throat.
context: What is this?\I'm participating in a club activity.\I'm laughing and talking...\Now let's give it a taste test.\Kiriyama.\The ramune is sweet...\and when I put it in my mouth, it falls apart.\As it melted, I felt a lump in my throat. response:	Kiriyama, the ones with the baking soda are definitely the best.
context: I'm participating in a club activity.\I'm laughing and talking...\Now let's give it a taste test.\Kiriyama.\The ramune is sweet...\and when I put it in my mouth, it falls apart.\As it melted, I felt a lump in my throat.\Kiriyama, the ones with the baking soda are definitely the best. response:	As expected, these are more refreshing.
context: I'm laughing and talking...\Now let's give it a taste test.\Kiriyama.\The ramune is sweet...\and when I put it in my mouth, it falls apart.\As it melted, I felt a lump in my throat.\Kiriyama, the ones with the baking soda are definitely the best.\As expected, these are more refreshing. response:	If I wasn't careful, it felt like something was going to leak from my eyes,
context: Now let's give it a taste test.\Kiriyama.\The ramune is sweet...\and when I put it in my mouth, it falls apart.\As it melted, I felt a lump in my throat.\Kiriyama, the ones with the baking soda are definitely the best.\As expected, these are more refreshing.\If I wasn't careful, it felt like something was going to leak from my eyes, response:	so I used every ounce of will to hold it in.
context: Kiriyama.\The ramune is sweet...\and when I put it in my mouth, it falls apart.\As it melted, I felt a lump in my throat.\Kiriyama, the ones with the baking soda are definitely the best.\As expected, these are more refreshing.\If I wasn't careful, it felt like something was going to leak from my eyes,\so I used every ounce of will to hold it in. response:	Um, could I take this home?
context: The ramune is sweet...\and when I put it in my mouth, it falls apart.\As it melted, I felt a lump in my throat.\Kiriyama, the ones with the baking soda are definitely the best.\As expected, these are more refreshing.\If I wasn't careful, it felt like something was going to leak from my eyes,\so I used every ounce of will to hold it in.\Um, could I take this home? response:	I wrapped the remaining ramune in a scrap of notebook paper,
context: and when I put it in my mouth, it falls apart.\As it melted, I felt a lump in my throat.\Kiriyama, the ones with the baking soda are definitely the best.\As expected, these are more refreshing.\If I wasn't careful, it felt like something was going to leak from my eyes,\so I used every ounce of will to hold it in.\Um, could I take this home?\I wrapped the remaining ramune in a scrap of notebook paper, response:	and put it in my bag.
context: As it melted, I felt a lump in my throat.\Kiriyama, the ones with the baking soda are definitely the best.\As expected, these are more refreshing.\If I wasn't careful, it felt like something was going to leak from my eyes,\so I used every ounce of will to hold it in.\Um, could I take this home?\I wrapped the remaining ramune in a scrap of notebook paper,\and put it in my bag. response:	I thought Hina and Momo would enjoy it if I shared some with them.
context: Kiriyama, the ones with the baking soda are definitely the best.\As expected, these are more refreshing.\If I wasn't careful, it felt like something was going to leak from my eyes,\so I used every ounce of will to hold it in.\Um, could I take this home?\I wrapped the remaining ramune in a scrap of notebook paper,\and put it in my bag.\I thought Hina and Momo would enjoy it if I shared some with them. response:	I'll go visit them.
context: As expected, these are more refreshing.\If I wasn't careful, it felt like something was going to leak from my eyes,\so I used every ounce of will to hold it in.\Um, could I take this home?\I wrapped the remaining ramune in a scrap of notebook paper,\and put it in my bag.\I thought Hina and Momo would enjoy it if I shared some with them.\I'll go visit them. response:	I'll cross that bridge...
context: If I wasn't careful, it felt like something was going to leak from my eyes,\so I used every ounce of will to hold it in.\Um, could I take this home?\I wrapped the remaining ramune in a scrap of notebook paper,\and put it in my bag.\I thought Hina and Momo would enjoy it if I shared some with them.\I'll go visit them.\I'll cross that bridge... response:	It's Rei!
context: so I used every ounce of will to hold it in.\Um, could I take this home?\I wrapped the remaining ramune in a scrap of notebook paper,\and put it in my bag.\I thought Hina and Momo would enjoy it if I shared some with them.\I'll go visit them.\I'll cross that bridge...\It's Rei! response:	How to make ramune...
context: Um, could I take this home?\I wrapped the remaining ramune in a scrap of notebook paper,\and put it in my bag.\I thought Hina and Momo would enjoy it if I shared some with them.\I'll go visit them.\I'll cross that bridge...\It's Rei!\How to make ramune... response:	Oh, it's Rei!
context: I wrapped the remaining ramune in a scrap of notebook paper,\and put it in my bag.\I thought Hina and Momo would enjoy it if I shared some with them.\I'll go visit them.\I'll cross that bridge...\It's Rei!\How to make ramune...\Oh, it's Rei! response:	My club activities...
context: and put it in my bag.\I thought Hina and Momo would enjoy it if I shared some with them.\I'll go visit them.\I'll cross that bridge...\It's Rei!\How to make ramune...\Oh, it's Rei!\My club activities... response:	About Noguchi-senpai...
context: I thought Hina and Momo would enjoy it if I shared some with them.\I'll go visit them.\I'll cross that bridge...\It's Rei!\How to make ramune...\Oh, it's Rei!\My club activities...\About Noguchi-senpai... response:	About Mr. Hayashida...
context: I'll go visit them.\I'll cross that bridge...\It's Rei!\How to make ramune...\Oh, it's Rei!\My club activities...\About Noguchi-senpai...\About Mr. Hayashida... response:	I wanted to tell them...
context: I'll cross that bridge...\It's Rei!\How to make ramune...\Oh, it's Rei!\My club activities...\About Noguchi-senpai...\About Mr. Hayashida...\I wanted to tell them... response:	Oh, my.
context: It's Rei!\How to make ramune...\Oh, it's Rei!\My club activities...\About Noguchi-senpai...\About Mr. Hayashida...\I wanted to tell them...\Oh, my. response:	It's fizzy! How is it, Momo?
context: How to make ramune...\Oh, it's Rei!\My club activities...\About Noguchi-senpai...\About Mr. Hayashida...\I wanted to tell them...\Oh, my.\It's fizzy! How is it, Momo? response:	Rei and his friends made it.
context: Oh, it's Rei!\My club activities...\About Noguchi-senpai...\About Mr. Hayashida...\I wanted to tell them...\Oh, my.\It's fizzy! How is it, Momo?\Rei and his friends made it. response:	Wow! I want to try making it, too!
context: My club activities...\About Noguchi-senpai...\About Mr. Hayashida...\I wanted to tell them...\Oh, my.\It's fizzy! How is it, Momo?\Rei and his friends made it.\Wow! I want to try making it, too! response:	Rei, could you teach me how?
context: About Noguchi-senpai...\About Mr. Hayashida...\I wanted to tell them...\Oh, my.\It's fizzy! How is it, Momo?\Rei and his friends made it.\Wow! I want to try making it, too!\Rei, could you teach me how? response:	Sure, of course.
context: About Mr. Hayashida...\I wanted to tell them...\Oh, my.\It's fizzy! How is it, Momo?\Rei and his friends made it.\Wow! I want to try making it, too!\Rei, could you teach me how?\Sure, of course. response:	Fizzy!
context: I wanted to tell them...\Oh, my.\It's fizzy! How is it, Momo?\Rei and his friends made it.\Wow! I want to try making it, too!\Rei, could you teach me how?\Sure, of course.\Fizzy! response:	Ramune
context: Oh, my.\It's fizzy! How is it, Momo?\Rei and his friends made it.\Wow! I want to try making it, too!\Rei, could you teach me how?\Sure, of course.\Fizzy!\Ramune response:	Next Episode Preview
context: It's fizzy! How is it, Momo?\Rei and his friends made it.\Wow! I want to try making it, too!\Rei, could you teach me how?\Sure, of course.\Fizzy!\Ramune\Next Episode Preview response:	Episode 24
context: Rei and his friends made it.\Wow! I want to try making it, too!\Rei, could you teach me how?\Sure, of course.\Fizzy!\Ramune\Next Episode Preview\Episode 24 response:	Why! Unbelievable!
context: Wow! I want to try making it, too!\Rei, could you teach me how?\Sure, of course.\Fizzy!\Ramune\Next Episode Preview\Episode 24\Why! Unbelievable! response:	This is good. That's not good. Are you the one who decides that?
context: Rei, could you teach me how?\Sure, of course.\Fizzy!\Ramune\Next Episode Preview\Episode 24\Why! Unbelievable!\This is good. That's not good. Are you the one who decides that? response:	Humans are the embodiment of chaos.
context: Sure, of course.\Fizzy!\Ramune\Next Episode Preview\Episode 24\Why! Unbelievable!\This is good. That's not good. Are you the one who decides that?\Humans are the embodiment of chaos. response:	I wouldn't want neither of them.
context: Fizzy!\Ramune\Next Episode Preview\Episode 24\Why! Unbelievable!\This is good. That's not good. Are you the one who decides that?\Humans are the embodiment of chaos.\I wouldn't want neither of them. response:	I don't think even Souya knows what to do.
context: Ramune\Next Episode Preview\Episode 24\Why! Unbelievable!\This is good. That's not good. Are you the one who decides that?\Humans are the embodiment of chaos.\I wouldn't want neither of them.\I don't think even Souya knows what to do. response:	Ugh... Idiot.
context: Next Episode Preview\Episode 24\Why! Unbelievable!\This is good. That's not good. Are you the one who decides that?\Humans are the embodiment of chaos.\I wouldn't want neither of them.\I don't think even Souya knows what to do.\Ugh... Idiot. response:	Please look forward to the next March comes in like a lion.
context: Episode 24\Why! Unbelievable!\This is good. That's not good. Are you the one who decides that?\Humans are the embodiment of chaos.\I wouldn't want neither of them.\I don't think even Souya knows what to do.\Ugh... Idiot.\Please look forward to the next March comes in like a lion. response:	Rei, thank you! Ramune is really delicious, huh?
context: Why! Unbelievable!\This is good. That's not good. Are you the one who decides that?\Humans are the embodiment of chaos.\I wouldn't want neither of them.\I don't think even Souya knows what to do.\Ugh... Idiot.\Please look forward to the next March comes in like a lion.\Rei, thank you! Ramune is really delicious, huh? response:	Fizzy!
