context: Hey, isn't he super hot? response:	Oh, wow. He's so my type.
context: Takeo...\Hey, can you hear me?\Takeo-ku\Don't cry, Yamato.\Don't cry for me.\You don't need to worry about me.\Please laugh.\I hate it when you cry, more than anything. response:	Yamato...
context: Hey, can you hear me?\Takeo-ku\Don't cry, Yamato.\Don't cry for me.\You don't need to worry about me.\Please laugh.\I hate it when you cry, more than anything.\Yamato... response:	I'll...
context: Takeo-ku\Don't cry, Yamato.\Don't cry for me.\You don't need to worry about me.\Please laugh.\I hate it when you cry, more than anything.\Yamato...\I'll... response:	live...
context: Don't cry, Yamato.\Don't cry for me.\You don't need to worry about me.\Please laugh.\I hate it when you cry, more than anything.\Yamato...\I'll...\live... response:	I'll live,
context: Don't cry for me.\You don't need to worry about me.\Please laugh.\I hate it when you cry, more than anything.\Yamato...\I'll...\live...\I'll live, response:	and then...
context: You don't need to worry about me.\Please laugh.\I hate it when you cry, more than anything.\Yamato...\I'll...\live...\I'll live,\and then... response:	I'll make Yamato happy!
context: Please laugh.\I hate it when you cry, more than anything.\Yamato...\I'll...\live...\I'll live,\and then...\I'll make Yamato happy! response:	Takeo-kun!
context: I hate it when you cry, more than anything.\Yamato...\I'll...\live...\I'll live,\and then...\I'll make Yamato happy!\Takeo-kun! response:	Takeo-kun...
context: Yamato...\I'll...\live...\I'll live,\and then...\I'll make Yamato happy!\Takeo-kun!\Takeo-kun... response:	Takeo-kun!
context: I'll...\live...\I'll live,\and then...\I'll make Yamato happy!\Takeo-kun!\Takeo-kun...\Takeo-kun! response:	Yamato...
context: live...\I'll live,\and then...\I'll make Yamato happy!\Takeo-kun!\Takeo-kun...\Takeo-kun!\Yamato... response:	I swear that I will never make you cry again.
context: I'll live,\and then...\I'll make Yamato happy!\Takeo-kun!\Takeo-kun...\Takeo-kun!\Yamato...\I swear that I will never make you cry again. response:	Um...
context: and then...\I'll make Yamato happy!\Takeo-kun!\Takeo-kun...\Takeo-kun!\Yamato...\I swear that I will never make you cry again.\Um... response:	Thank you.
context: I'll make Yamato happy!\Takeo-kun!\Takeo-kun...\Takeo-kun!\Yamato...\I swear that I will never make you cry again.\Um...\Thank you. response:	Blush
context: Takeo-kun!\Takeo-kun...\Takeo-kun!\Yamato...\I swear that I will never make you cry again.\Um...\Thank you.\Blush response:	What was that just now?
context: Takeo-kun...\Takeo-kun!\Yamato...\I swear that I will never make you cry again.\Um...\Thank you.\Blush\What was that just now? response:	Is this the suspension bridge effect?
context: Takeo-kun!\Yamato...\I swear that I will never make you cry again.\Um...\Thank you.\Blush\What was that just now?\Is this the suspension bridge effect? response:	No way!
context: Yamato...\I swear that I will never make you cry again.\Um...\Thank you.\Blush\What was that just now?\Is this the suspension bridge effect?\No way! response:	He's not my type at all!
context: I swear that I will never make you cry again.\Um...\Thank you.\Blush\What was that just now?\Is this the suspension bridge effect?\No way!\He's not my type at all! response:	Hey, so I think I wasn't clear enough
context: Um...\Thank you.\Blush\What was that just now?\Is this the suspension bridge effect?\No way!\He's not my type at all!\Hey, so I think I wasn't clear enough response:	about how cool Takeo-kun is...
context: Thank you.\Blush\What was that just now?\Is this the suspension bridge effect?\No way!\He's not my type at all!\Hey, so I think I wasn't clear enough\about how cool Takeo-kun is... response:	So I'm going to try to explain in a way that's easier to understand
context: Blush\What was that just now?\Is this the suspension bridge effect?\No way!\He's not my type at all!\Hey, so I think I wasn't clear enough\about how cool Takeo-kun is...\So I'm going to try to explain in a way that's easier to understand response:	It's okay, Rinko. We got it.
context: What was that just now?\Is this the suspension bridge effect?\No way!\He's not my type at all!\Hey, so I think I wasn't clear enough\about how cool Takeo-kun is...\So I'm going to try to explain in a way that's easier to understand\It's okay, Rinko. We got it. response:	Actually, I'm really sorry.
context: Is this the suspension bridge effect?\No way!\He's not my type at all!\Hey, so I think I wasn't clear enough\about how cool Takeo-kun is...\So I'm going to try to explain in a way that's easier to understand\It's okay, Rinko. We got it.\Actually, I'm really sorry. response:	We were wrong.
context: No way!\He's not my type at all!\Hey, so I think I wasn't clear enough\about how cool Takeo-kun is...\So I'm going to try to explain in a way that's easier to understand\It's okay, Rinko. We got it.\Actually, I'm really sorry.\We were wrong. response:	Your boyfriend's awesome!
context: He's not my type at all!\Hey, so I think I wasn't clear enough\about how cool Takeo-kun is...\So I'm going to try to explain in a way that's easier to understand\It's okay, Rinko. We got it.\Actually, I'm really sorry.\We were wrong.\Your boyfriend's awesome! response:	And you're awesome.
context: Hey, so I think I wasn't clear enough\about how cool Takeo-kun is...\So I'm going to try to explain in a way that's easier to understand\It's okay, Rinko. We got it.\Actually, I'm really sorry.\We were wrong.\Your boyfriend's awesome!\And you're awesome. response:	Yeah, seriously.
context: about how cool Takeo-kun is...\So I'm going to try to explain in a way that's easier to understand\It's okay, Rinko. We got it.\Actually, I'm really sorry.\We were wrong.\Your boyfriend's awesome!\And you're awesome.\Yeah, seriously. response:	D-Don't steal him from me!
context: So I'm going to try to explain in a way that's easier to understand\It's okay, Rinko. We got it.\Actually, I'm really sorry.\We were wrong.\Your boyfriend's awesome!\And you're awesome.\Yeah, seriously.\D-Don't steal him from me! response:	No way we would!
context: It's okay, Rinko. We got it.\Actually, I'm really sorry.\We were wrong.\Your boyfriend's awesome!\And you're awesome.\Yeah, seriously.\D-Don't steal him from me!\No way we would! response:	I mean, there's no way we could.
context: Actually, I'm really sorry.\We were wrong.\Your boyfriend's awesome!\And you're awesome.\Yeah, seriously.\D-Don't steal him from me!\No way we would!\I mean, there's no way we could. response:	He only has eyes for you.
context: We were wrong.\Your boyfriend's awesome!\And you're awesome.\Yeah, seriously.\D-Don't steal him from me!\No way we would!\I mean, there's no way we could.\He only has eyes for you. response:	I have a feeling the only way you'd die is from old age.
context: Your boyfriend's awesome!\And you're awesome.\Yeah, seriously.\D-Don't steal him from me!\No way we would!\I mean, there's no way we could.\He only has eyes for you.\I have a feeling the only way you'd die is from old age. response:	Really?
context: And you're awesome.\Yeah, seriously.\D-Don't steal him from me!\No way we would!\I mean, there's no way we could.\He only has eyes for you.\I have a feeling the only way you'd die is from old age.\Really? response:	Yeah.
context: Yeah, seriously.\D-Don't steal him from me!\No way we would!\I mean, there's no way we could.\He only has eyes for you.\I have a feeling the only way you'd die is from old age.\Really?\Yeah. response:	Man, Takeo's really awesome!
context: D-Don't steal him from me!\No way we would!\I mean, there's no way we could.\He only has eyes for you.\I have a feeling the only way you'd die is from old age.\Really?\Yeah.\Man, Takeo's really awesome! response:	Feeling major respect all over again!
context: No way we would!\I mean, there's no way we could.\He only has eyes for you.\I have a feeling the only way you'd die is from old age.\Really?\Yeah.\Man, Takeo's really awesome!\Feeling major respect all over again! response:	Takeo's awesome!
context: I mean, there's no way we could.\He only has eyes for you.\I have a feeling the only way you'd die is from old age.\Really?\Yeah.\Man, Takeo's really awesome!\Feeling major respect all over again!\Takeo's awesome! response:	All right, toss him up!
context: He only has eyes for you.\I have a feeling the only way you'd die is from old age.\Really?\Yeah.\Man, Takeo's really awesome!\Feeling major respect all over again!\Takeo's awesome!\All right, toss him up! response:	Yeah, let's do it!
context: I have a feeling the only way you'd die is from old age.\Really?\Yeah.\Man, Takeo's really awesome!\Feeling major respect all over again!\Takeo's awesome!\All right, toss him up!\Yeah, let's do it! response:	Takeo-kun, thank you so much for today.
context: Really?\Yeah.\Man, Takeo's really awesome!\Feeling major respect all over again!\Takeo's awesome!\All right, toss him up!\Yeah, let's do it!\Takeo-kun, thank you so much for today. response:	Yamato Rinko Subject: Thank You
context: Yeah.\Man, Takeo's really awesome!\Feeling major respect all over again!\Takeo's awesome!\All right, toss him up!\Yeah, let's do it!\Takeo-kun, thank you so much for today.\Yamato Rinko Subject: Thank You response:	Everyone understands why you're a good person now.
context: Man, Takeo's really awesome!\Feeling major respect all over again!\Takeo's awesome!\All right, toss him up!\Yeah, let's do it!\Takeo-kun, thank you so much for today.\Yamato Rinko Subject: Thank You\Everyone understands why you're a good person now. response:	You were super cool today, too!
context: Feeling major respect all over again!\Takeo's awesome!\All right, toss him up!\Yeah, let's do it!\Takeo-kun, thank you so much for today.\Yamato Rinko Subject: Thank You\Everyone understands why you're a good person now.\You were super cool today, too! response:	If you became a firefighter or something,
context: Takeo's awesome!\All right, toss him up!\Yeah, let's do it!\Takeo-kun, thank you so much for today.\Yamato Rinko Subject: Thank You\Everyone understands why you're a good person now.\You were super cool today, too!\If you became a firefighter or something, response:	I think you'd do a lot of good work,
context: All right, toss him up!\Yeah, let's do it!\Takeo-kun, thank you so much for today.\Yamato Rinko Subject: Thank You\Everyone understands why you're a good person now.\You were super cool today, too!\If you became a firefighter or something,\I think you'd do a lot of good work, response:	even though I'd get worried...
context: Yeah, let's do it!\Takeo-kun, thank you so much for today.\Yamato Rinko Subject: Thank You\Everyone understands why you're a good person now.\You were super cool today, too!\If you became a firefighter or something,\I think you'd do a lot of good work,\even though I'd get worried... response:	Night, Takeo-kun.
context: Takeo-kun, thank you so much for today.\Yamato Rinko Subject: Thank You\Everyone understands why you're a good person now.\You were super cool today, too!\If you became a firefighter or something,\I think you'd do a lot of good work,\even though I'd get worried...\Night, Takeo-kun. response:	See you soon.
context: Yamato Rinko Subject: Thank You\Everyone understands why you're a good person now.\You were super cool today, too!\If you became a firefighter or something,\I think you'd do a lot of good work,\even though I'd get worried...\Night, Takeo-kun.\See you soon. response:	It's spring...
context: Everyone understands why you're a good person now.\You were super cool today, too!\If you became a firefighter or something,\I think you'd do a lot of good work,\even though I'd get worried...\Night, Takeo-kun.\See you soon.\It's spring... response:	Spring's great, Yamato.
context: You were super cool today, too!\If you became a firefighter or something,\I think you'd do a lot of good work,\even though I'd get worried...\Night, Takeo-kun.\See you soon.\It's spring...\Spring's great, Yamato. response:	I'm Dense
context: If you became a firefighter or something,\I think you'd do a lot of good work,\even though I'd get worried...\Night, Takeo-kun.\See you soon.\It's spring...\Spring's great, Yamato.\I'm Dense response:	Next time: I'm Dense.
