context: This world has one type of currency: gold. response:	The standard cost for the items in a single meal is around five gold.
context: Saki, too, but she wasn't logged in during the Apocalypse.\Hey, so, um...\Are you still as popular with girls as you used to be?\No, well...\It's nice to be young.\A-Anyway...\Why did you contact me?\Oh, you see... response:	I thought you didn't like me.
context: Hey, so, um...\Are you still as popular with girls as you used to be?\No, well...\It's nice to be young.\A-Anyway...\Why did you contact me?\Oh, you see...\I thought you didn't like me. response:	Hmm? Why?
context: Are you still as popular with girls as you used to be?\No, well...\It's nice to be young.\A-Anyway...\Why did you contact me?\Oh, you see...\I thought you didn't like me.\Hmm? Why? response:	Because, well...
context: No, well...\It's nice to be young.\A-Anyway...\Why did you contact me?\Oh, you see...\I thought you didn't like me.\Hmm? Why?\Because, well... response:	When I founded my guild, I invited you, but you didn't join.
context: It's nice to be young.\A-Anyway...\Why did you contact me?\Oh, you see...\I thought you didn't like me.\Hmm? Why?\Because, well...\When I founded my guild, I invited you, but you didn't join. response:	It wasn't like that.
context: A-Anyway...\Why did you contact me?\Oh, you see...\I thought you didn't like me.\Hmm? Why?\Because, well...\When I founded my guild, I invited you, but you didn't join.\It wasn't like that. response:	It wasn't that I didn't like you.
context: Why did you contact me?\Oh, you see...\I thought you didn't like me.\Hmm? Why?\Because, well...\When I founded my guild, I invited you, but you didn't join.\It wasn't like that.\It wasn't that I didn't like you. response:	Back then, I just didn't want anything to do with guilds.
context: Oh, you see...\I thought you didn't like me.\Hmm? Why?\Because, well...\When I founded my guild, I invited you, but you didn't join.\It wasn't like that.\It wasn't that I didn't like you.\Back then, I just didn't want anything to do with guilds. response:	But after the Apocalypse, I realized
context: I thought you didn't like me.\Hmm? Why?\Because, well...\When I founded my guild, I invited you, but you didn't join.\It wasn't like that.\It wasn't that I didn't like you.\Back then, I just didn't want anything to do with guilds.\But after the Apocalypse, I realized response:	that I had to make a place for myself...
context: Hmm? Why?\Because, well...\When I founded my guild, I invited you, but you didn't join.\It wasn't like that.\It wasn't that I didn't like you.\Back then, I just didn't want anything to do with guilds.\But after the Apocalypse, I realized\that I had to make a place for myself... response:	That I have to be one of those that protects others.
context: Because, well...\When I founded my guild, I invited you, but you didn't join.\It wasn't like that.\It wasn't that I didn't like you.\Back then, I just didn't want anything to do with guilds.\But after the Apocalypse, I realized\that I had to make a place for myself...\That I have to be one of those that protects others. response:	I made a guild.
context: When I founded my guild, I invited you, but you didn't join.\It wasn't like that.\It wasn't that I didn't like you.\Back then, I just didn't want anything to do with guilds.\But after the Apocalypse, I realized\that I had to make a place for myself...\That I have to be one of those that protects others.\I made a guild. response:	There aren't many in it yet, and it's just getting started...
context: It wasn't like that.\It wasn't that I didn't like you.\Back then, I just didn't want anything to do with guilds.\But after the Apocalypse, I realized\that I had to make a place for myself...\That I have to be one of those that protects others.\I made a guild.\There aren't many in it yet, and it's just getting started... response:	But I'll only have a place for myself
context: It wasn't that I didn't like you.\Back then, I just didn't want anything to do with guilds.\But after the Apocalypse, I realized\that I had to make a place for myself...\That I have to be one of those that protects others.\I made a guild.\There aren't many in it yet, and it's just getting started...\But I'll only have a place for myself response:	after I've made one for others.
context: Back then, I just didn't want anything to do with guilds.\But after the Apocalypse, I realized\that I had to make a place for myself...\That I have to be one of those that protects others.\I made a guild.\There aren't many in it yet, and it's just getting started...\But I'll only have a place for myself\after I've made one for others. response:	I finally realized that.
context: But after the Apocalypse, I realized\that I had to make a place for myself...\That I have to be one of those that protects others.\I made a guild.\There aren't many in it yet, and it's just getting started...\But I'll only have a place for myself\after I've made one for others.\I finally realized that. response:	So what did you want from me?
context: that I had to make a place for myself...\That I have to be one of those that protects others.\I made a guild.\There aren't many in it yet, and it's just getting started...\But I'll only have a place for myself\after I've made one for others.\I finally realized that.\So what did you want from me? response:	What do you think of Akihabara, as it is now?
context: That I have to be one of those that protects others.\I made a guild.\There aren't many in it yet, and it's just getting started...\But I'll only have a place for myself\after I've made one for others.\I finally realized that.\So what did you want from me?\What do you think of Akihabara, as it is now? response:	I think it's a prison...
context: I made a guild.\There aren't many in it yet, and it's just getting started...\But I'll only have a place for myself\after I've made one for others.\I finally realized that.\So what did you want from me?\What do you think of Akihabara, as it is now?\I think it's a prison... response:	A prison?
context: There aren't many in it yet, and it's just getting started...\But I'll only have a place for myself\after I've made one for others.\I finally realized that.\So what did you want from me?\What do you think of Akihabara, as it is now?\I think it's a prison...\A prison? response:	Not only Akihabara.
context: But I'll only have a place for myself\after I've made one for others.\I finally realized that.\So what did you want from me?\What do you think of Akihabara, as it is now?\I think it's a prison...\A prison?\Not only Akihabara. response:	Depending on your point of view,
context: after I've made one for others.\I finally realized that.\So what did you want from me?\What do you think of Akihabara, as it is now?\I think it's a prison...\A prison?\Not only Akihabara.\Depending on your point of view, response:	this whole world is currently a prison.
context: I finally realized that.\So what did you want from me?\What do you think of Akihabara, as it is now?\I think it's a prison...\A prison?\Not only Akihabara.\Depending on your point of view,\this whole world is currently a prison. response:	I have a way to improve it.
context: So what did you want from me?\What do you think of Akihabara, as it is now?\I think it's a prison...\A prison?\Not only Akihabara.\Depending on your point of view,\this whole world is currently a prison.\I have a way to improve it. response:	And I need your help.
context: What do you think of Akihabara, as it is now?\I think it's a prison...\A prison?\Not only Akihabara.\Depending on your point of view,\this whole world is currently a prison.\I have a way to improve it.\And I need your help. response:	All right!
context: I think it's a prison...\A prison?\Not only Akihabara.\Depending on your point of view,\this whole world is currently a prison.\I have a way to improve it.\And I need your help.\All right! response:	Huh? Are you sure?
context: A prison?\Not only Akihabara.\Depending on your point of view,\this whole world is currently a prison.\I have a way to improve it.\And I need your help.\All right!\Huh? Are you sure? response:	Don't you want to hear the plan?
context: Not only Akihabara.\Depending on your point of view,\this whole world is currently a prison.\I have a way to improve it.\And I need your help.\All right!\Huh? Are you sure?\Don't you want to hear the plan? response:	But you're busy, aren't you?
context: Depending on your point of view,\this whole world is currently a prison.\I have a way to improve it.\And I need your help.\All right!\Huh? Are you sure?\Don't you want to hear the plan?\But you're busy, aren't you? response:	I can't take up your time.
context: this whole world is currently a prison.\I have a way to improve it.\And I need your help.\All right!\Huh? Are you sure?\Don't you want to hear the plan?\But you're busy, aren't you?\I can't take up your time. response:	And I'm a moron whose place is in the front row.
context: I have a way to improve it.\And I need your help.\All right!\Huh? Are you sure?\Don't you want to hear the plan?\But you're busy, aren't you?\I can't take up your time.\And I'm a moron whose place is in the front row. response:	Even if the Tea Party's best strategist told me the plan,
context: And I need your help.\All right!\Huh? Are you sure?\Don't you want to hear the plan?\But you're busy, aren't you?\I can't take up your time.\And I'm a moron whose place is in the front row.\Even if the Tea Party's best strategist told me the plan, response:	I wouldn't understand half.
context: All right!\Huh? Are you sure?\Don't you want to hear the plan?\But you're busy, aren't you?\I can't take up your time.\And I'm a moron whose place is in the front row.\Even if the Tea Party's best strategist told me the plan,\I wouldn't understand half. response:	Soujirou...
context: Huh? Are you sure?\Don't you want to hear the plan?\But you're busy, aren't you?\I can't take up your time.\And I'm a moron whose place is in the front row.\Even if the Tea Party's best strategist told me the plan,\I wouldn't understand half.\Soujirou... response:	You're a good kid, Souji.
context: Don't you want to hear the plan?\But you're busy, aren't you?\I can't take up your time.\And I'm a moron whose place is in the front row.\Even if the Tea Party's best strategist told me the plan,\I wouldn't understand half.\Soujirou...\You're a good kid, Souji. response:	No...
context: But you're busy, aren't you?\I can't take up your time.\And I'm a moron whose place is in the front row.\Even if the Tea Party's best strategist told me the plan,\I wouldn't understand half.\Soujirou...\You're a good kid, Souji.\No... response:	I have more burgers!
context: I can't take up your time.\And I'm a moron whose place is in the front row.\Even if the Tea Party's best strategist told me the plan,\I wouldn't understand half.\Soujirou...\You're a good kid, Souji.\No...\I have more burgers! response:	I'll take three Crescent Burgers!
context: And I'm a moron whose place is in the front row.\Even if the Tea Party's best strategist told me the plan,\I wouldn't understand half.\Soujirou...\You're a good kid, Souji.\No...\I have more burgers!\I'll take three Crescent Burgers! response:	Five super Crescent Burgers!
context: Even if the Tea Party's best strategist told me the plan,\I wouldn't understand half.\Soujirou...\You're a good kid, Souji.\No...\I have more burgers!\I'll take three Crescent Burgers!\Five super Crescent Burgers! response:	While you wait, I'll take your orders!
context: I wouldn't understand half.\Soujirou...\You're a good kid, Souji.\No...\I have more burgers!\I'll take three Crescent Burgers!\Five super Crescent Burgers!\While you wait, I'll take your orders! response:	You're so cute...
context: Soujirou...\You're a good kid, Souji.\No...\I have more burgers!\I'll take three Crescent Burgers!\Five super Crescent Burgers!\While you wait, I'll take your orders!\You're so cute... response:	Please add me to your Friends List.
context: You're a good kid, Souji.\No...\I have more burgers!\I'll take three Crescent Burgers!\Five super Crescent Burgers!\While you wait, I'll take your orders!\You're so cute...\Please add me to your Friends List. response:	Hey, stay in line, and follow the rules!
context: No...\I have more burgers!\I'll take three Crescent Burgers!\Five super Crescent Burgers!\While you wait, I'll take your orders!\You're so cute...\Please add me to your Friends List.\Hey, stay in line, and follow the rules! response:	Oh, so this Shiro guy wanted you to help with the store?
context: I have more burgers!\I'll take three Crescent Burgers!\Five super Crescent Burgers!\While you wait, I'll take your orders!\You're so cute...\Please add me to your Friends List.\Hey, stay in line, and follow the rules!\Oh, so this Shiro guy wanted you to help with the store? response:	Of course not.
context: I'll take three Crescent Burgers!\Five super Crescent Burgers!\While you wait, I'll take your orders!\You're so cute...\Please add me to your Friends List.\Hey, stay in line, and follow the rules!\Oh, so this Shiro guy wanted you to help with the store?\Of course not. response:	It's far more than just this.
context: Five super Crescent Burgers!\While you wait, I'll take your orders!\You're so cute...\Please add me to your Friends List.\Hey, stay in line, and follow the rules!\Oh, so this Shiro guy wanted you to help with the store?\Of course not.\It's far more than just this. response:	There's no end
context: While you wait, I'll take your orders!\You're so cute...\Please add me to your Friends List.\Hey, stay in line, and follow the rules!\Oh, so this Shiro guy wanted you to help with the store?\Of course not.\It's far more than just this.\There's no end response:	to his plans.
context: You're so cute...\Please add me to your Friends List.\Hey, stay in line, and follow the rules!\Oh, so this Shiro guy wanted you to help with the store?\Of course not.\It's far more than just this.\There's no end\to his plans. response:	Now, then... Time for the plan's second stage.
context: Please add me to your Friends List.\Hey, stay in line, and follow the rules!\Oh, so this Shiro guy wanted you to help with the store?\Of course not.\It's far more than just this.\There's no end\to his plans.\Now, then... Time for the plan's second stage. response:	Michitaka, of the Marine Agency.
context: Hey, stay in line, and follow the rules!\Oh, so this Shiro guy wanted you to help with the store?\Of course not.\It's far more than just this.\There's no end\to his plans.\Now, then... Time for the plan's second stage.\Michitaka, of the Marine Agency. response:	Karashin, of Shopping Street 8.
context: Oh, so this Shiro guy wanted you to help with the store?\Of course not.\It's far more than just this.\There's no end\to his plans.\Now, then... Time for the plan's second stage.\Michitaka, of the Marine Agency.\Karashin, of Shopping Street 8. response:	Roderic, of the Roderic Merchant Guild.
context: Of course not.\It's far more than just this.\There's no end\to his plans.\Now, then... Time for the plan's second stage.\Michitaka, of the Marine Agency.\Karashin, of Shopping Street 8.\Roderic, of the Roderic Merchant Guild. response:	Masters of the largest crafting guilds gather in one place.
context: It's far more than just this.\There's no end\to his plans.\Now, then... Time for the plan's second stage.\Michitaka, of the Marine Agency.\Karashin, of Shopping Street 8.\Roderic, of the Roderic Merchant Guild.\Masters of the largest crafting guilds gather in one place. response:	Their trading partners are the Crescent Moon's sunflower and lily,
context: There's no end\to his plans.\Now, then... Time for the plan's second stage.\Michitaka, of the Marine Agency.\Karashin, of Shopping Street 8.\Roderic, of the Roderic Merchant Guild.\Masters of the largest crafting guilds gather in one place.\Their trading partners are the Crescent Moon's sunflower and lily, response:	Marielle and Henrietta.
context: to his plans.\Now, then... Time for the plan's second stage.\Michitaka, of the Marine Agency.\Karashin, of Shopping Street 8.\Roderic, of the Roderic Merchant Guild.\Masters of the largest crafting guilds gather in one place.\Their trading partners are the Crescent Moon's sunflower and lily,\Marielle and Henrietta. response:	And the shadow that manipulates them from behind...
context: Now, then... Time for the plan's second stage.\Michitaka, of the Marine Agency.\Karashin, of Shopping Street 8.\Roderic, of the Roderic Merchant Guild.\Masters of the largest crafting guilds gather in one place.\Their trading partners are the Crescent Moon's sunflower and lily,\Marielle and Henrietta.\And the shadow that manipulates them from behind... response:	Next time: Villain in Glasses.
context: Michitaka, of the Marine Agency.\Karashin, of Shopping Street 8.\Roderic, of the Roderic Merchant Guild.\Masters of the largest crafting guilds gather in one place.\Their trading partners are the Crescent Moon's sunflower and lily,\Marielle and Henrietta.\And the shadow that manipulates them from behind...\Next time: Villain in Glasses. response:	Villain in Glasses
context: Karashin, of Shopping Street 8.\Roderic, of the Roderic Merchant Guild.\Masters of the largest crafting guilds gather in one place.\Their trading partners are the Crescent Moon's sunflower and lily,\Marielle and Henrietta.\And the shadow that manipulates them from behind...\Next time: Villain in Glasses.\Villain in Glasses response:	This is our reality.
