context: With all my strength... response:	I'll do what I can right now!
context: If you keep going, I'll never forgive you!\Even though you're scared...\That's what I...\Midoriya, even if this is combat training,\I will give it my all,\so as not to embarrass the name of the hero family, Iida!\Iida, you're going to play a villain, huh?\I am extremely evil, you know. response:	H-He's completely in character!
context: Even though you're scared...\That's what I...\Midoriya, even if this is combat training,\I will give it my all,\so as not to embarrass the name of the hero family, Iida!\Iida, you're going to play a villain, huh?\I am extremely evil, you know.\H-He's completely in character! response:	Next time, Deku vs. Kacchan!
context: That's what I...\Midoriya, even if this is combat training,\I will give it my all,\so as not to embarrass the name of the hero family, Iida!\Iida, you're going to play a villain, huh?\I am extremely evil, you know.\H-He's completely in character!\Next time, Deku vs. Kacchan! response:	I didn't know Uraraka was a baseball player!
context: Midoriya, even if this is combat training,\I will give it my all,\so as not to embarrass the name of the hero family, Iida!\Iida, you're going to play a villain, huh?\I am extremely evil, you know.\H-He's completely in character!\Next time, Deku vs. Kacchan!\I didn't know Uraraka was a baseball player! response:	Go beyond!
context: I will give it my all,\so as not to embarrass the name of the hero family, Iida!\Iida, you're going to play a villain, huh?\I am extremely evil, you know.\H-He's completely in character!\Next time, Deku vs. Kacchan!\I didn't know Uraraka was a baseball player!\Go beyond! response:	Plus Ultra!
context: so as not to embarrass the name of the hero family, Iida!\Iida, you're going to play a villain, huh?\I am extremely evil, you know.\H-He's completely in character!\Next time, Deku vs. Kacchan!\I didn't know Uraraka was a baseball player!\Go beyond!\Plus Ultra! response:	Plus Ultra!
context: Iida, you're going to play a villain, huh?\I am extremely evil, you know.\H-He's completely in character!\Next time, Deku vs. Kacchan!\I didn't know Uraraka was a baseball player!\Go beyond!\Plus Ultra!\Plus Ultra! response:	Ai zawa Shouta
context: I am extremely evil, you know.\H-He's completely in character!\Next time, Deku vs. Kacchan!\I didn't know Uraraka was a baseball player!\Go beyond!\Plus Ultra!\Plus Ultra!\Ai zawa Shouta response:	Episode 6: Rage, You Damn Nerd
context: H-He's completely in character!\Next time, Deku vs. Kacchan!\I didn't know Uraraka was a baseball player!\Go beyond!\Plus Ultra!\Plus Ultra!\Ai zawa Shouta\Episode 6: Rage, You Damn Nerd response:	Sit-ups
context: Next time, Deku vs. Kacchan!\I didn't know Uraraka was a baseball player!\Go beyond!\Plus Ultra!\Plus Ultra!\Ai zawa Shouta\Episode 6: Rage, You Damn Nerd\Sit-ups response:	Seated toe-touch
context: I didn't know Uraraka was a baseball player!\Go beyond!\Plus Ultra!\Plus Ultra!\Ai zawa Shouta\Episode 6: Rage, You Damn Nerd\Sit-ups\Seated toe-touch response:	Long-distance run
context: Go beyond!\Plus Ultra!\Plus Ultra!\Ai zawa Shouta\Episode 6: Rage, You Damn Nerd\Sit-ups\Seated toe-touch\Long-distance run response:	1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage
context: Plus Ultra!\Plus Ultra!\Ai zawa Shouta\Episode 6: Rage, You Damn Nerd\Sit-ups\Seated toe-touch\Long-distance run\1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage response:	11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta
context: Plus Ultra!\Ai zawa Shouta\Episode 6: Rage, You Damn Nerd\Sit-ups\Seated toe-touch\Long-distance run\1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage\11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta response:	6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako
context: Ai zawa Shouta\Episode 6: Rage, You Damn Nerd\Sit-ups\Seated toe-touch\Long-distance run\1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage\11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta\6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako response:	16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku
context: Episode 6: Rage, You Damn Nerd\Sit-ups\Seated toe-touch\Long-distance run\1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage\11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta\6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako\16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku response:	20 Midoriya Izuku
context: Sit-ups\Seated toe-touch\Long-distance run\1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage\11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta\6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako\16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku\20 Midoriya Izuku response:	Teacher Directory
context: Seated toe-touch\Long-distance run\1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage\11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta\6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako\16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku\20 Midoriya Izuku\Teacher Directory response:	Nurse's Office
context: Long-distance run\1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage\11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta\6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako\16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku\20 Midoriya Izuku\Teacher Directory\Nurse's Office response:	Clothing Allowance
context: 1 Yaoyorozu Momo 2 Todoroki Shouto 3 Bakugou Katsuki 4 Iida Tenya 5 Tokoyami Fumikage\11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta\6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako\16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku\20 Midoriya Izuku\Teacher Directory\Nurse's Office\Clothing Allowance response:	I want a streamline and versatile suit of full armor.
context: 11 Kouda Kouji 12 Satou Rikidou 13 Asui Tsuyu 14 Aoyama Yuuga 15 Sero Hanta\6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako\16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku\20 Midoriya Izuku\Teacher Directory\Nurse's Office\Clothing Allowance\I want a streamline and versatile suit of full armor. response:	Something intimidating!!
context: 6 Shouji Mezou 7 Ojiro Mashirao 8 Kirishima Eijirou 9 Ashido Mina 10 Uraraka Ochako\16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku\20 Midoriya Izuku\Teacher Directory\Nurse's Office\Clothing Allowance\I want a streamline and versatile suit of full armor.\Something intimidating!! response:	Style for a man who can't stop sparkling.
context: 16 Kaminari Denki 17 Jirou Kyouka 18 Hagakure Tooru 19 Mineta Minoru 20 Midoriya Izuku\20 Midoriya Izuku\Teacher Directory\Nurse's Office\Clothing Allowance\I want a streamline and versatile suit of full armor.\Something intimidating!!\Style for a man who can't stop sparkling. response:	Three weeks ago
context: 20 Midoriya Izuku\Teacher Directory\Nurse's Office\Clothing Allowance\I want a streamline and versatile suit of full armor.\Something intimidating!!\Style for a man who can't stop sparkling.\Three weeks ago response:	Sends out the water from her body
context: Teacher Directory\Nurse's Office\Clothing Allowance\I want a streamline and versatile suit of full armor.\Something intimidating!!\Style for a man who can't stop sparkling.\Three weeks ago\Sends out the water from her body response:	Turns moisture in the air into water
context: Nurse's Office\Clothing Allowance\I want a streamline and versatile suit of full armor.\Something intimidating!!\Style for a man who can't stop sparkling.\Three weeks ago\Sends out the water from her body\Turns moisture in the air into water response:	Cool like All Might
context: Clothing Allowance\I want a streamline and versatile suit of full armor.\Something intimidating!!\Style for a man who can't stop sparkling.\Three weeks ago\Sends out the water from her body\Turns moisture in the air into water\Cool like All Might response:	Battle
context: I want a streamline and versatile suit of full armor.\Something intimidating!!\Style for a man who can't stop sparkling.\Three weeks ago\Sends out the water from her body\Turns moisture in the air into water\Cool like All Might\Battle response:	Talk
context: Something intimidating!!\Style for a man who can't stop sparkling.\Three weeks ago\Sends out the water from her body\Turns moisture in the air into water\Cool like All Might\Battle\Talk response:	Check
context: Style for a man who can't stop sparkling.\Three weeks ago\Sends out the water from her body\Turns moisture in the air into water\Cool like All Might\Battle\Talk\Check response:	Battle
context: Three weeks ago\Sends out the water from her body\Turns moisture in the air into water\Cool like All Might\Battle\Talk\Check\Battle response:	Talk
context: Sends out the water from her body\Turns moisture in the air into water\Cool like All Might\Battle\Talk\Check\Battle\Talk response:	Check
context: Turns moisture in the air into water\Cool like All Might\Battle\Talk\Check\Battle\Talk\Check response:	Team
context: Cool like All Might\Battle\Talk\Check\Battle\Talk\Check\Team response:	Team
context: Battle\Talk\Check\Battle\Talk\Check\Team\Team response:	Team
context: Talk\Check\Battle\Talk\Check\Team\Team\Team response:	Team
context: Check\Battle\Talk\Check\Team\Team\Team\Team response:	Team
context: Battle\Talk\Check\Team\Team\Team\Team\Team response:	Team
context: Talk\Check\Team\Team\Team\Team\Team\Team response:	Team
context: Check\Team\Team\Team\Team\Team\Team\Team response:	Team
context: Team\Team\Team\Team\Team\Team\Team\Team response:	Team
context: Team\Team\Team\Team\Team\Team\Team\Team response:	Team
context: Team\Team\Team\Team\Team\Team\Team\Team response:	Hero Analysis for the Future
context: Team\Team\Team\Team\Team\Team\Team\Hero Analysis for the Future response:	Next time
context: Team\Team\Team\Team\Team\Team\Hero Analysis for the Future\Next time response:	Next time: Deku vs. Kacchan
