context: The bath feels great! response:	It feels great to travel by ship once in a while.
context: It's fine.\Everything's fine. You don't need to worry.\This is my war, after all.\You... Why, after all this time...\Please, return to your slumber.\That is our wish as well.\Terrorists set off an explosion!?\What do you mean, missing? response:	Are you telling me that he was caught up in something like that!?
context: Everything's fine. You don't need to worry.\This is my war, after all.\You... Why, after all this time...\Please, return to your slumber.\That is our wish as well.\Terrorists set off an explosion!?\What do you mean, missing?\Are you telling me that he was caught up in something like that!? response:	Bro, are you serious?
context: This is my war, after all.\You... Why, after all this time...\Please, return to your slumber.\That is our wish as well.\Terrorists set off an explosion!?\What do you mean, missing?\Are you telling me that he was caught up in something like that!?\Bro, are you serious? response:	It's the truth.
context: You... Why, after all this time...\Please, return to your slumber.\That is our wish as well.\Terrorists set off an explosion!?\What do you mean, missing?\Are you telling me that he was caught up in something like that!?\Bro, are you serious?\It's the truth. response:	Things are still in a chaos over here, so I don't have any more information.
context: Please, return to your slumber.\That is our wish as well.\Terrorists set off an explosion!?\What do you mean, missing?\Are you telling me that he was caught up in something like that!?\Bro, are you serious?\It's the truth.\Things are still in a chaos over here, so I don't have any more information. response:	Let me help with the search!
context: That is our wish as well.\Terrorists set off an explosion!?\What do you mean, missing?\Are you telling me that he was caught up in something like that!?\Bro, are you serious?\It's the truth.\Things are still in a chaos over here, so I don't have any more information.\Let me help with the search! response:	With my power, I can...
context: Terrorists set off an explosion!?\What do you mean, missing?\Are you telling me that he was caught up in something like that!?\Bro, are you serious?\It's the truth.\Things are still in a chaos over here, so I don't have any more information.\Let me help with the search!\With my power, I can... response:	Brother!
context: What do you mean, missing?\Are you telling me that he was caught up in something like that!?\Bro, are you serious?\It's the truth.\Things are still in a chaos over here, so I don't have any more information.\Let me help with the search!\With my power, I can...\Brother! response:	Yaze...
context: Are you telling me that he was caught up in something like that!?\Bro, are you serious?\It's the truth.\Things are still in a chaos over here, so I don't have any more information.\Let me help with the search!\With my power, I can...\Brother!\Yaze... response:	This is an announcement to all students.
context: Bro, are you serious?\It's the truth.\Things are still in a chaos over here, so I don't have any more information.\Let me help with the search!\With my power, I can...\Brother!\Yaze...\This is an announcement to all students. response:	Today's lessons have been canceled.
context: It's the truth.\Things are still in a chaos over here, so I don't have any more information.\Let me help with the search!\With my power, I can...\Brother!\Yaze...\This is an announcement to all students.\Today's lessons have been canceled. response:	All students are to return home immediately.
context: Things are still in a chaos over here, so I don't have any more information.\Let me help with the search!\With my power, I can...\Brother!\Yaze...\This is an announcement to all students.\Today's lessons have been canceled.\All students are to return home immediately. response:	Repeat, today's lessons have been cancelled.
context: Let me help with the search!\With my power, I can...\Brother!\Yaze...\This is an announcement to all students.\Today's lessons have been canceled.\All students are to return home immediately.\Repeat, today's lessons have been cancelled. response:	Hey, Yaze!
context: With my power, I can...\Brother!\Yaze...\This is an announcement to all students.\Today's lessons have been canceled.\All students are to return home immediately.\Repeat, today's lessons have been cancelled.\Hey, Yaze! response:	See you later.
context: Brother!\Yaze...\This is an announcement to all students.\Today's lessons have been canceled.\All students are to return home immediately.\Repeat, today's lessons have been cancelled.\Hey, Yaze!\See you later. response:	He must be shocked after hearing about the explosion.
context: Yaze...\This is an announcement to all students.\Today's lessons have been canceled.\All students are to return home immediately.\Repeat, today's lessons have been cancelled.\Hey, Yaze!\See you later.\He must be shocked after hearing about the explosion. response:	Yaze's father is an important person in the island's administration after all.
context: This is an announcement to all students.\Today's lessons have been canceled.\All students are to return home immediately.\Repeat, today's lessons have been cancelled.\Hey, Yaze!\See you later.\He must be shocked after hearing about the explosion.\Yaze's father is an important person in the island's administration after all. response:	Tartaros Lapus, huh.
context: Today's lessons have been canceled.\All students are to return home immediately.\Repeat, today's lessons have been cancelled.\Hey, Yaze!\See you later.\He must be shocked after hearing about the explosion.\Yaze's father is an important person in the island's administration after all.\Tartaros Lapus, huh. response:	I guess I can't just sit back and watch.
context: All students are to return home immediately.\Repeat, today's lessons have been cancelled.\Hey, Yaze!\See you later.\He must be shocked after hearing about the explosion.\Yaze's father is an important person in the island's administration after all.\Tartaros Lapus, huh.\I guess I can't just sit back and watch. response:	Tartar sauce?
context: Repeat, today's lessons have been cancelled.\Hey, Yaze!\See you later.\He must be shocked after hearing about the explosion.\Yaze's father is an important person in the island's administration after all.\Tartaros Lapus, huh.\I guess I can't just sit back and watch.\Tartar sauce? response:	Kojou, do you know something?
context: Hey, Yaze!\See you later.\He must be shocked after hearing about the explosion.\Yaze's father is an important person in the island's administration after all.\Tartaros Lapus, huh.\I guess I can't just sit back and watch.\Tartar sauce?\Kojou, do you know something? response:	Umm...
context: See you later.\He must be shocked after hearing about the explosion.\Yaze's father is an important person in the island's administration after all.\Tartaros Lapus, huh.\I guess I can't just sit back and watch.\Tartar sauce?\Kojou, do you know something?\Umm... response:	You better not be hiding something from me again.
context: He must be shocked after hearing about the explosion.\Yaze's father is an important person in the island's administration after all.\Tartaros Lapus, huh.\I guess I can't just sit back and watch.\Tartar sauce?\Kojou, do you know something?\Umm...\You better not be hiding something from me again. response:	Okay, fine.
context: Yaze's father is an important person in the island's administration after all.\Tartaros Lapus, huh.\I guess I can't just sit back and watch.\Tartar sauce?\Kojou, do you know something?\Umm...\You better not be hiding something from me again.\Okay, fine. response:	So basically, the explosion that Motoki's father appears to have gotten mixed up in
context: Tartaros Lapus, huh.\I guess I can't just sit back and watch.\Tartar sauce?\Kojou, do you know something?\Umm...\You better not be hiding something from me again.\Okay, fine.\So basically, the explosion that Motoki's father appears to have gotten mixed up in response:	and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?
context: I guess I can't just sit back and watch.\Tartar sauce?\Kojou, do you know something?\Umm...\You better not be hiding something from me again.\Okay, fine.\So basically, the explosion that Motoki's father appears to have gotten mixed up in\and the reason why the ships have stopped arriving at the island are all the fault of this Tartar? response:	Tartaros Lapus.
context: Tartar sauce?\Kojou, do you know something?\Umm...\You better not be hiding something from me again.\Okay, fine.\So basically, the explosion that Motoki's father appears to have gotten mixed up in\and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?\Tartaros Lapus. response:	Natsuki-chan is after a Feng Shui practitioner called Senga.
context: Kojou, do you know something?\Umm...\You better not be hiding something from me again.\Okay, fine.\So basically, the explosion that Motoki's father appears to have gotten mixed up in\and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?\Tartaros Lapus.\Natsuki-chan is after a Feng Shui practitioner called Senga. response:	Right now, he's the only confirmed member that we know of.
context: Umm...\You better not be hiding something from me again.\Okay, fine.\So basically, the explosion that Motoki's father appears to have gotten mixed up in\and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?\Tartaros Lapus.\Natsuki-chan is after a Feng Shui practitioner called Senga.\Right now, he's the only confirmed member that we know of. response:	If you knew that, you should have told me earlier.
context: You better not be hiding something from me again.\Okay, fine.\So basically, the explosion that Motoki's father appears to have gotten mixed up in\and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?\Tartaros Lapus.\Natsuki-chan is after a Feng Shui practitioner called Senga.\Right now, he's the only confirmed member that we know of.\If you knew that, you should have told me earlier. response:	Do you think you can find him?
context: Okay, fine.\So basically, the explosion that Motoki's father appears to have gotten mixed up in\and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?\Tartaros Lapus.\Natsuki-chan is after a Feng Shui practitioner called Senga.\Right now, he's the only confirmed member that we know of.\If you knew that, you should have told me earlier.\Do you think you can find him? response:	I'll find him for sure.
context: So basically, the explosion that Motoki's father appears to have gotten mixed up in\and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?\Tartaros Lapus.\Natsuki-chan is after a Feng Shui practitioner called Senga.\Right now, he's the only confirmed member that we know of.\If you knew that, you should have told me earlier.\Do you think you can find him?\I'll find him for sure. response:	Senpai!
context: and the reason why the ships have stopped arriving at the island are all the fault of this Tartar?\Tartaros Lapus.\Natsuki-chan is after a Feng Shui practitioner called Senga.\Right now, he's the only confirmed member that we know of.\If you knew that, you should have told me earlier.\Do you think you can find him?\I'll find him for sure.\Senpai! response:	Himeragi? Why are you in the high school building?
context: Tartaros Lapus.\Natsuki-chan is after a Feng Shui practitioner called Senga.\Right now, he's the only confirmed member that we know of.\If you knew that, you should have told me earlier.\Do you think you can find him?\I'll find him for sure.\Senpai!\Himeragi? Why are you in the high school building? response:	It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.
context: Natsuki-chan is after a Feng Shui practitioner called Senga.\Right now, he's the only confirmed member that we know of.\If you knew that, you should have told me earlier.\Do you think you can find him?\I'll find him for sure.\Senpai!\Himeragi? Why are you in the high school building?\It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back. response:	She hasn't responded to my messages either.
context: Right now, he's the only confirmed member that we know of.\If you knew that, you should have told me earlier.\Do you think you can find him?\I'll find him for sure.\Senpai!\Himeragi? Why are you in the high school building?\It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.\She hasn't responded to my messages either. response:	Asagi.
context: If you knew that, you should have told me earlier.\Do you think you can find him?\I'll find him for sure.\Senpai!\Himeragi? Why are you in the high school building?\It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.\She hasn't responded to my messages either.\Asagi. response:	Alright, fine. Let me find her before we start searching for the terrorists.
context: Do you think you can find him?\I'll find him for sure.\Senpai!\Himeragi? Why are you in the high school building?\It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.\She hasn't responded to my messages either.\Asagi.\Alright, fine. Let me find her before we start searching for the terrorists. response:	No way... How can this be happening!?
context: I'll find him for sure.\Senpai!\Himeragi? Why are you in the high school building?\It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.\She hasn't responded to my messages either.\Asagi.\Alright, fine. Let me find her before we start searching for the terrorists.\No way... How can this be happening!? response:	Out of my way, Kojou!
context: Senpai!\Himeragi? Why are you in the high school building?\It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.\She hasn't responded to my messages either.\Asagi.\Alright, fine. Let me find her before we start searching for the terrorists.\No way... How can this be happening!?\Out of my way, Kojou! response:	Dammit, they got me. Now I'm pissed!
context: Himeragi? Why are you in the high school building?\It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.\She hasn't responded to my messages either.\Asagi.\Alright, fine. Let me find her before we start searching for the terrorists.\No way... How can this be happening!?\Out of my way, Kojou!\Dammit, they got me. Now I'm pissed! response:	A-Asagi?
context: It's Nagisa-chan. She ran off somewhere by herself during lunch and hasn't come back.\She hasn't responded to my messages either.\Asagi.\Alright, fine. Let me find her before we start searching for the terrorists.\No way... How can this be happening!?\Out of my way, Kojou!\Dammit, they got me. Now I'm pissed!\A-Asagi? response:	Someone was hacking into my system. The Island Guard's network has been infected with a virus.
context: She hasn't responded to my messages either.\Asagi.\Alright, fine. Let me find her before we start searching for the terrorists.\No way... How can this be happening!?\Out of my way, Kojou!\Dammit, they got me. Now I'm pissed!\A-Asagi?\Someone was hacking into my system. The Island Guard's network has been infected with a virus. response:	It's a powerful, military-grade virus.
context: Asagi.\Alright, fine. Let me find her before we start searching for the terrorists.\No way... How can this be happening!?\Out of my way, Kojou!\Dammit, they got me. Now I'm pissed!\A-Asagi?\Someone was hacking into my system. The Island Guard's network has been infected with a virus.\It's a powerful, military-grade virus. response:	Wait, isn't that pretty bad?
context: Alright, fine. Let me find her before we start searching for the terrorists.\No way... How can this be happening!?\Out of my way, Kojou!\Dammit, they got me. Now I'm pissed!\A-Asagi?\Someone was hacking into my system. The Island Guard's network has been infected with a virus.\It's a powerful, military-grade virus.\Wait, isn't that pretty bad? response:	Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.
context: No way... How can this be happening!?\Out of my way, Kojou!\Dammit, they got me. Now I'm pissed!\A-Asagi?\Someone was hacking into my system. The Island Guard's network has been infected with a virus.\It's a powerful, military-grade virus.\Wait, isn't that pretty bad?\Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos. response:	Senpai, maybe that is also...
context: Out of my way, Kojou!\Dammit, they got me. Now I'm pissed!\A-Asagi?\Someone was hacking into my system. The Island Guard's network has been infected with a virus.\It's a powerful, military-grade virus.\Wait, isn't that pretty bad?\Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.\Senpai, maybe that is also... response:	Tartaros Lapus, huh?
context: Dammit, they got me. Now I'm pissed!\A-Asagi?\Someone was hacking into my system. The Island Guard's network has been infected with a virus.\It's a powerful, military-grade virus.\Wait, isn't that pretty bad?\Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.\Senpai, maybe that is also...\Tartaros Lapus, huh? response:	Where the heck is Nagisa wandering around at a time like this!?
context: A-Asagi?\Someone was hacking into my system. The Island Guard's network has been infected with a virus.\It's a powerful, military-grade virus.\Wait, isn't that pretty bad?\Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.\Senpai, maybe that is also...\Tartaros Lapus, huh?\Where the heck is Nagisa wandering around at a time like this!? response:	Did you drag an unrelated civilian into this?
context: Someone was hacking into my system. The Island Guard's network has been infected with a virus.\It's a powerful, military-grade virus.\Wait, isn't that pretty bad?\Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.\Senpai, maybe that is also...\Tartaros Lapus, huh?\Where the heck is Nagisa wandering around at a time like this!?\Did you drag an unrelated civilian into this? response:	Takehito.
context: It's a powerful, military-grade virus.\Wait, isn't that pretty bad?\Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.\Senpai, maybe that is also...\Tartaros Lapus, huh?\Where the heck is Nagisa wandering around at a time like this!?\Did you drag an unrelated civilian into this?\Takehito. response:	This girl just got a fright after seeing the explosion and fainted.
context: Wait, isn't that pretty bad?\Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.\Senpai, maybe that is also...\Tartaros Lapus, huh?\Where the heck is Nagisa wandering around at a time like this!?\Did you drag an unrelated civilian into this?\Takehito.\This girl just got a fright after seeing the explosion and fainted. response:	I can't leave a cute girl like her lying around, can I?
context: Of course it's bad. Like we didn't have enough problems with the chain of command being thrown into chaos.\Senpai, maybe that is also...\Tartaros Lapus, huh?\Where the heck is Nagisa wandering around at a time like this!?\Did you drag an unrelated civilian into this?\Takehito.\This girl just got a fright after seeing the explosion and fainted.\I can't leave a cute girl like her lying around, can I? response:	She might get kidnapped by some shady people.
context: Senpai, maybe that is also...\Tartaros Lapus, huh?\Where the heck is Nagisa wandering around at a time like this!?\Did you drag an unrelated civilian into this?\Takehito.\This girl just got a fright after seeing the explosion and fainted.\I can't leave a cute girl like her lying around, can I?\She might get kidnapped by some shady people. response:	That way you put it, it sounds like you're saying that we're not shady people ourselves.
context: Tartaros Lapus, huh?\Where the heck is Nagisa wandering around at a time like this!?\Did you drag an unrelated civilian into this?\Takehito.\This girl just got a fright after seeing the explosion and fainted.\I can't leave a cute girl like her lying around, can I?\She might get kidnapped by some shady people.\That way you put it, it sounds like you're saying that we're not shady people ourselves. response:	Are you okay with this, Takehito?
context: Where the heck is Nagisa wandering around at a time like this!?\Did you drag an unrelated civilian into this?\Takehito.\This girl just got a fright after seeing the explosion and fainted.\I can't leave a cute girl like her lying around, can I?\She might get kidnapped by some shady people.\That way you put it, it sounds like you're saying that we're not shady people ourselves.\Are you okay with this, Takehito? response:	You are not exactly unrelated to this island, right?
context: Did you drag an unrelated civilian into this?\Takehito.\This girl just got a fright after seeing the explosion and fainted.\I can't leave a cute girl like her lying around, can I?\She might get kidnapped by some shady people.\That way you put it, it sounds like you're saying that we're not shady people ourselves.\Are you okay with this, Takehito?\You are not exactly unrelated to this island, right? response:	That is exactly why there are some things that I cannot forgive.
context: Takehito.\This girl just got a fright after seeing the explosion and fainted.\I can't leave a cute girl like her lying around, can I?\She might get kidnapped by some shady people.\That way you put it, it sounds like you're saying that we're not shady people ourselves.\Are you okay with this, Takehito?\You are not exactly unrelated to this island, right?\That is exactly why there are some things that I cannot forgive. response:	I see. I guess you're right.
context: This girl just got a fright after seeing the explosion and fainted.\I can't leave a cute girl like her lying around, can I?\She might get kidnapped by some shady people.\That way you put it, it sounds like you're saying that we're not shady people ourselves.\Are you okay with this, Takehito?\You are not exactly unrelated to this island, right?\That is exactly why there are some things that I cannot forgive.\I see. I guess you're right. response:	That's why I'm going to put an end to this.
context: I can't leave a cute girl like her lying around, can I?\She might get kidnapped by some shady people.\That way you put it, it sounds like you're saying that we're not shady people ourselves.\Are you okay with this, Takehito?\You are not exactly unrelated to this island, right?\That is exactly why there are some things that I cannot forgive.\I see. I guess you're right.\That's why I'm going to put an end to this. response:	Using the Roses of Tartarus.
context: She might get kidnapped by some shady people.\That way you put it, it sounds like you're saying that we're not shady people ourselves.\Are you okay with this, Takehito?\You are not exactly unrelated to this island, right?\That is exactly why there are some things that I cannot forgive.\I see. I guess you're right.\That's why I'm going to put an end to this.\Using the Roses of Tartarus. response:	Huh? What am I doing here?
context: That way you put it, it sounds like you're saying that we're not shady people ourselves.\Are you okay with this, Takehito?\You are not exactly unrelated to this island, right?\That is exactly why there are some things that I cannot forgive.\I see. I guess you're right.\That's why I'm going to put an end to this.\Using the Roses of Tartarus.\Huh? What am I doing here? response:	I'm so sorry! You didn't have to let me sleep on your lap!
context: Are you okay with this, Takehito?\You are not exactly unrelated to this island, right?\That is exactly why there are some things that I cannot forgive.\I see. I guess you're right.\That's why I'm going to put an end to this.\Using the Roses of Tartarus.\Huh? What am I doing here?\I'm so sorry! You didn't have to let me sleep on your lap! response:	Phone.
context: You are not exactly unrelated to this island, right?\That is exactly why there are some things that I cannot forgive.\I see. I guess you're right.\That's why I'm going to put an end to this.\Using the Roses of Tartarus.\Huh? What am I doing here?\I'm so sorry! You didn't have to let me sleep on your lap!\Phone. response:	It's ringing. Your phone.
context: That is exactly why there are some things that I cannot forgive.\I see. I guess you're right.\That's why I'm going to put an end to this.\Using the Roses of Tartarus.\Huh? What am I doing here?\I'm so sorry! You didn't have to let me sleep on your lap!\Phone.\It's ringing. Your phone. response:	Ah, you're right.
context: I see. I guess you're right.\That's why I'm going to put an end to this.\Using the Roses of Tartarus.\Huh? What am I doing here?\I'm so sorry! You didn't have to let me sleep on your lap!\Phone.\It's ringing. Your phone.\Ah, you're right. response:	Kojou-kun? Why is he calling me...
context: That's why I'm going to put an end to this.\Using the Roses of Tartarus.\Huh? What am I doing here?\I'm so sorry! You didn't have to let me sleep on your lap!\Phone.\It's ringing. Your phone.\Ah, you're right.\Kojou-kun? Why is he calling me... response:	That freaking Nagisa...
context: Using the Roses of Tartarus.\Huh? What am I doing here?\I'm so sorry! You didn't have to let me sleep on your lap!\Phone.\It's ringing. Your phone.\Ah, you're right.\Kojou-kun? Why is he calling me...\That freaking Nagisa... response:	The weather was so good that I guess I fell asleep.
context: Huh? What am I doing here?\I'm so sorry! You didn't have to let me sleep on your lap!\Phone.\It's ringing. Your phone.\Ah, you're right.\Kojou-kun? Why is he calling me...\That freaking Nagisa...\The weather was so good that I guess I fell asleep. response:	What the hell!?
context: I'm so sorry! You didn't have to let me sleep on your lap!\Phone.\It's ringing. Your phone.\Ah, you're right.\Kojou-kun? Why is he calling me...\That freaking Nagisa...\The weather was so good that I guess I fell asleep.\What the hell!? response:	I'm just glad she's okay.
context: Phone.\It's ringing. Your phone.\Ah, you're right.\Kojou-kun? Why is he calling me...\That freaking Nagisa...\The weather was so good that I guess I fell asleep.\What the hell!?\I'm just glad she's okay. response:	You're right.
context: It's ringing. Your phone.\Ah, you're right.\Kojou-kun? Why is he calling me...\That freaking Nagisa...\The weather was so good that I guess I fell asleep.\What the hell!?\I'm just glad she's okay.\You're right. response:	Still, everyone seems pretty calm.
context: Ah, you're right.\Kojou-kun? Why is he calling me...\That freaking Nagisa...\The weather was so good that I guess I fell asleep.\What the hell!?\I'm just glad she's okay.\You're right.\Still, everyone seems pretty calm. response:	People who live in the Special Magical District are used to disturbances of this level, after all.
context: Kojou-kun? Why is he calling me...\That freaking Nagisa...\The weather was so good that I guess I fell asleep.\What the hell!?\I'm just glad she's okay.\You're right.\Still, everyone seems pretty calm.\People who live in the Special Magical District are used to disturbances of this level, after all. response:	I just hope Asagi or Mogwai are able to find Senga before things get any worse.
context: That freaking Nagisa...\The weather was so good that I guess I fell asleep.\What the hell!?\I'm just glad she's okay.\You're right.\Still, everyone seems pretty calm.\People who live in the Special Magical District are used to disturbances of this level, after all.\I just hope Asagi or Mogwai are able to find Senga before things get any worse. response:	You're right.
context: The weather was so good that I guess I fell asleep.\What the hell!?\I'm just glad she's okay.\You're right.\Still, everyone seems pretty calm.\People who live in the Special Magical District are used to disturbances of this level, after all.\I just hope Asagi or Mogwai are able to find Senga before things get any worse.\You're right. response:	Sorry, Kojou-kun!
context: What the hell!?\I'm just glad she's okay.\You're right.\Still, everyone seems pretty calm.\People who live in the Special Magical District are used to disturbances of this level, after all.\I just hope Asagi or Mogwai are able to find Senga before things get any worse.\You're right.\Sorry, Kojou-kun! response:	Thanks for giving me a ride.
context: I'm just glad she's okay.\You're right.\Still, everyone seems pretty calm.\People who live in the Special Magical District are used to disturbances of this level, after all.\I just hope Asagi or Mogwai are able to find Senga before things get any worse.\You're right.\Sorry, Kojou-kun!\Thanks for giving me a ride. response:	Nagisa-chan!
context: You're right.\Still, everyone seems pretty calm.\People who live in the Special Magical District are used to disturbances of this level, after all.\I just hope Asagi or Mogwai are able to find Senga before things get any worse.\You're right.\Sorry, Kojou-kun!\Thanks for giving me a ride.\Nagisa-chan! response:	Hey, Nagisa. Who's that?
context: Still, everyone seems pretty calm.\People who live in the Special Magical District are used to disturbances of this level, after all.\I just hope Asagi or Mogwai are able to find Senga before things get any worse.\You're right.\Sorry, Kojou-kun!\Thanks for giving me a ride.\Nagisa-chan!\Hey, Nagisa. Who's that? response:	Umm... I met her in the park, and she gave me a ride here.
context: People who live in the Special Magical District are used to disturbances of this level, after all.\I just hope Asagi or Mogwai are able to find Senga before things get any worse.\You're right.\Sorry, Kojou-kun!\Thanks for giving me a ride.\Nagisa-chan!\Hey, Nagisa. Who's that?\Umm... I met her in the park, and she gave me a ride here. response:	So you're Nagisa-chan's brother?
context: I just hope Asagi or Mogwai are able to find Senga before things get any worse.\You're right.\Sorry, Kojou-kun!\Thanks for giving me a ride.\Nagisa-chan!\Hey, Nagisa. Who's that?\Umm... I met her in the park, and she gave me a ride here.\So you're Nagisa-chan's brother? response:	You can call me December.
context: You're right.\Sorry, Kojou-kun!\Thanks for giving me a ride.\Nagisa-chan!\Hey, Nagisa. Who's that?\Umm... I met her in the park, and she gave me a ride here.\So you're Nagisa-chan's brother?\You can call me December. response:	Nice to meet you.
context: Sorry, Kojou-kun!\Thanks for giving me a ride.\Nagisa-chan!\Hey, Nagisa. Who's that?\Umm... I met her in the park, and she gave me a ride here.\So you're Nagisa-chan's brother?\You can call me December.\Nice to meet you. response:	Senpai!?
context: Thanks for giving me a ride.\Nagisa-chan!\Hey, Nagisa. Who's that?\Umm... I met her in the park, and she gave me a ride here.\So you're Nagisa-chan's brother?\You can call me December.\Nice to meet you.\Senpai!? response:	Kojou-kun?
context: Nagisa-chan!\Hey, Nagisa. Who's that?\Umm... I met her in the park, and she gave me a ride here.\So you're Nagisa-chan's brother?\You can call me December.\Nice to meet you.\Senpai!?\Kojou-kun? response:	You're... Avrora...?
