context: If Crusch-sama's goal should be attained, response:	I'm sure it would suit your desires, Wilhelm-dono.
context: Know what the other person wants, and dangle it in front of'em.\And since all you do is want, that's where you're lacking.\Now, shall we go, everyone?\See ya later!\Bye-bye!\Damn it!\Subaru-kun, what's wrong?\Did something happen? response:	Nothing!
context: And since all you do is want, that's where you're lacking.\Now, shall we go, everyone?\See ya later!\Bye-bye!\Damn it!\Subaru-kun, what's wrong?\Did something happen?\Nothing! response:	Rem, how did it go?
context: Now, shall we go, everyone?\See ya later!\Bye-bye!\Damn it!\Subaru-kun, what's wrong?\Did something happen?\Nothing!\Rem, how did it go? response:	I reported the maneuvers by the Witch's Cult to the knights' station.
context: See ya later!\Bye-bye!\Damn it!\Subaru-kun, what's wrong?\Did something happen?\Nothing!\Rem, how did it go?\I reported the maneuvers by the Witch's Cult to the knights' station. response:	I gave them Roswaal-sama's name, but...
context: Bye-bye!\Damn it!\Subaru-kun, what's wrong?\Did something happen?\Nothing!\Rem, how did it go?\I reported the maneuvers by the Witch's Cult to the knights' station.\I gave them Roswaal-sama's name, but... response:	Not the response we wanted?
context: Damn it!\Subaru-kun, what's wrong?\Did something happen?\Nothing!\Rem, how did it go?\I reported the maneuvers by the Witch's Cult to the knights' station.\I gave them Roswaal-sama's name, but...\Not the response we wanted? response:	It seems the knights have received several such reports already.
context: Subaru-kun, what's wrong?\Did something happen?\Nothing!\Rem, how did it go?\I reported the maneuvers by the Witch's Cult to the knights' station.\I gave them Roswaal-sama's name, but...\Not the response we wanted?\It seems the knights have received several such reports already. response:	Since the Cult's background is unclear,
context: Did something happen?\Nothing!\Rem, how did it go?\I reported the maneuvers by the Witch's Cult to the knights' station.\I gave them Roswaal-sama's name, but...\Not the response we wanted?\It seems the knights have received several such reports already.\Since the Cult's background is unclear, response:	they said they receive countless unverifiable, anonymous tips.
context: Nothing!\Rem, how did it go?\I reported the maneuvers by the Witch's Cult to the knights' station.\I gave them Roswaal-sama's name, but...\Not the response we wanted?\It seems the knights have received several such reports already.\Since the Cult's background is unclear,\they said they receive countless unverifiable, anonymous tips. response:	If that's how the real cultists stay hidden,
context: Rem, how did it go?\I reported the maneuvers by the Witch's Cult to the knights' station.\I gave them Roswaal-sama's name, but...\Not the response we wanted?\It seems the knights have received several such reports already.\Since the Cult's background is unclear,\they said they receive countless unverifiable, anonymous tips.\If that's how the real cultists stay hidden, response:	it's no laughing matter.
context: I reported the maneuvers by the Witch's Cult to the knights' station.\I gave them Roswaal-sama's name, but...\Not the response we wanted?\It seems the knights have received several such reports already.\Since the Cult's background is unclear,\they said they receive countless unverifiable, anonymous tips.\If that's how the real cultists stay hidden,\it's no laughing matter. response:	If we can't scrape a military force together...
context: I gave them Roswaal-sama's name, but...\Not the response we wanted?\It seems the knights have received several such reports already.\Since the Cult's background is unclear,\they said they receive countless unverifiable, anonymous tips.\If that's how the real cultists stay hidden,\it's no laughing matter.\If we can't scrape a military force together... response:	What shall we do?
context: Not the response we wanted?\It seems the knights have received several such reports already.\Since the Cult's background is unclear,\they said they receive countless unverifiable, anonymous tips.\If that's how the real cultists stay hidden,\it's no laughing matter.\If we can't scrape a military force together...\What shall we do? response:	We'll go back to the mansion...
context: It seems the knights have received several such reports already.\Since the Cult's background is unclear,\they said they receive countless unverifiable, anonymous tips.\If that's how the real cultists stay hidden,\it's no laughing matter.\If we can't scrape a military force together...\What shall we do?\We'll go back to the mansion... response:	Go back and take Emilia and Ram away from there.
context: Since the Cult's background is unclear,\they said they receive countless unverifiable, anonymous tips.\If that's how the real cultists stay hidden,\it's no laughing matter.\If we can't scrape a military force together...\What shall we do?\We'll go back to the mansion...\Go back and take Emilia and Ram away from there. response:	To the capital or to Roswaal... Anywhere is fine.
context: they said they receive countless unverifiable, anonymous tips.\If that's how the real cultists stay hidden,\it's no laughing matter.\If we can't scrape a military force together...\What shall we do?\We'll go back to the mansion...\Go back and take Emilia and Ram away from there.\To the capital or to Roswaal... Anywhere is fine. response:	Where they are now is dangerous!
context: If that's how the real cultists stay hidden,\it's no laughing matter.\If we can't scrape a military force together...\What shall we do?\We'll go back to the mansion...\Go back and take Emilia and Ram away from there.\To the capital or to Roswaal... Anywhere is fine.\Where they are now is dangerous! response:	There's no time.
context: it's no laughing matter.\If we can't scrape a military force together...\What shall we do?\We'll go back to the mansion...\Go back and take Emilia and Ram away from there.\To the capital or to Roswaal... Anywhere is fine.\Where they are now is dangerous!\There's no time. response:	We should leave now.
context: If we can't scrape a military force together...\What shall we do?\We'll go back to the mansion...\Go back and take Emilia and Ram away from there.\To the capital or to Roswaal... Anywhere is fine.\Where they are now is dangerous!\There's no time.\We should leave now. response:	At this pace, we should reach the mansion by morning.
context: What shall we do?\We'll go back to the mansion...\Go back and take Emilia and Ram away from there.\To the capital or to Roswaal... Anywhere is fine.\Where they are now is dangerous!\There's no time.\We should leave now.\At this pace, we should reach the mansion by morning. response:	Then we'll have plenty of time to take Emilia and run from the Witch's Cult.
context: We'll go back to the mansion...\Go back and take Emilia and Ram away from there.\To the capital or to Roswaal... Anywhere is fine.\Where they are now is dangerous!\There's no time.\We should leave now.\At this pace, we should reach the mansion by morning.\Then we'll have plenty of time to take Emilia and run from the Witch's Cult. response:	The question is how to transport her...
context: Go back and take Emilia and Ram away from there.\To the capital or to Roswaal... Anywhere is fine.\Where they are now is dangerous!\There's no time.\We should leave now.\At this pace, we should reach the mansion by morning.\Then we'll have plenty of time to take Emilia and run from the Witch's Cult.\The question is how to transport her... response:	That's...
context: To the capital or to Roswaal... Anywhere is fine.\Where they are now is dangerous!\There's no time.\We should leave now.\At this pace, we should reach the mansion by morning.\Then we'll have plenty of time to take Emilia and run from the Witch's Cult.\The question is how to transport her...\That's... response:	From here to the Mathers domain?
context: Where they are now is dangerous!\There's no time.\We should leave now.\At this pace, we should reach the mansion by morning.\Then we'll have plenty of time to take Emilia and run from the Witch's Cult.\The question is how to transport her...\That's...\From here to the Mathers domain? response:	Yeah.
context: There's no time.\We should leave now.\At this pace, we should reach the mansion by morning.\Then we'll have plenty of time to take Emilia and run from the Witch's Cult.\The question is how to transport her...\That's...\From here to the Mathers domain?\Yeah. response:	It's already late. Isn't it too dangerous?
context: We should leave now.\At this pace, we should reach the mansion by morning.\Then we'll have plenty of time to take Emilia and run from the Witch's Cult.\The question is how to transport her...\That's...\From here to the Mathers domain?\Yeah.\It's already late. Isn't it too dangerous? response:	We were planning to camp here tonight.
context: At this pace, we should reach the mansion by morning.\Then we'll have plenty of time to take Emilia and run from the Witch's Cult.\The question is how to transport her...\That's...\From here to the Mathers domain?\Yeah.\It's already late. Isn't it too dangerous?\We were planning to camp here tonight. response:	Would you care to join us?
context: Then we'll have plenty of time to take Emilia and run from the Witch's Cult.\The question is how to transport her...\That's...\From here to the Mathers domain?\Yeah.\It's already late. Isn't it too dangerous?\We were planning to camp here tonight.\Would you care to join us? response:	You say that, Otto...
context: The question is how to transport her...\That's...\From here to the Mathers domain?\Yeah.\It's already late. Isn't it too dangerous?\We were planning to camp here tonight.\Would you care to join us?\You say that, Otto... response:	But I bet you just wanna get rid of some
context: That's...\From here to the Mathers domain?\Yeah.\It's already late. Isn't it too dangerous?\We were planning to camp here tonight.\Would you care to join us?\You say that, Otto...\But I bet you just wanna get rid of some response:	of the oil in storage that you bought out of season, right?
context: From here to the Mathers domain?\Yeah.\It's already late. Isn't it too dangerous?\We were planning to camp here tonight.\Would you care to join us?\You say that, Otto...\But I bet you just wanna get rid of some\of the oil in storage that you bought out of season, right? response:	That's not my intention at all!
context: Yeah.\It's already late. Isn't it too dangerous?\We were planning to camp here tonight.\Would you care to join us?\You say that, Otto...\But I bet you just wanna get rid of some\of the oil in storage that you bought out of season, right?\That's not my intention at all! response:	Though, it isn't as if I weren't hoping you could use a little oil...
context: It's already late. Isn't it too dangerous?\We were planning to camp here tonight.\Would you care to join us?\You say that, Otto...\But I bet you just wanna get rid of some\of the oil in storage that you bought out of season, right?\That's not my intention at all!\Though, it isn't as if I weren't hoping you could use a little oil... response:	What's this about oil?
context: We were planning to camp here tonight.\Would you care to join us?\You say that, Otto...\But I bet you just wanna get rid of some\of the oil in storage that you bought out of season, right?\That's not my intention at all!\Though, it isn't as if I weren't hoping you could use a little oil...\What's this about oil? response:	Oh, I just made a bit of a mistake.
context: Would you care to join us?\You say that, Otto...\But I bet you just wanna get rid of some\of the oil in storage that you bought out of season, right?\That's not my intention at all!\Though, it isn't as if I weren't hoping you could use a little oil...\What's this about oil?\Oh, I just made a bit of a mistake. response:	And now, I have a lot of oil that isn't worth much right now.
context: You say that, Otto...\But I bet you just wanna get rid of some\of the oil in storage that you bought out of season, right?\That's not my intention at all!\Though, it isn't as if I weren't hoping you could use a little oil...\What's this about oil?\Oh, I just made a bit of a mistake.\And now, I have a lot of oil that isn't worth much right now. response:	Even if we go to the capital, I don't know if I can sell it all off...
context: But I bet you just wanna get rid of some\of the oil in storage that you bought out of season, right?\That's not my intention at all!\Though, it isn't as if I weren't hoping you could use a little oil...\What's this about oil?\Oh, I just made a bit of a mistake.\And now, I have a lot of oil that isn't worth much right now.\Even if we go to the capital, I don't know if I can sell it all off... response:	And if I can't, I'm ruined!
context: of the oil in storage that you bought out of season, right?\That's not my intention at all!\Though, it isn't as if I weren't hoping you could use a little oil...\What's this about oil?\Oh, I just made a bit of a mistake.\And now, I have a lot of oil that isn't worth much right now.\Even if we go to the capital, I don't know if I can sell it all off...\And if I can't, I'm ruined! response:	Ruined...
context: That's not my intention at all!\Though, it isn't as if I weren't hoping you could use a little oil...\What's this about oil?\Oh, I just made a bit of a mistake.\And now, I have a lot of oil that isn't worth much right now.\Even if we go to the capital, I don't know if I can sell it all off...\And if I can't, I'm ruined!\Ruined... response:	Otto, I need to talk
context: Though, it isn't as if I weren't hoping you could use a little oil...\What's this about oil?\Oh, I just made a bit of a mistake.\And now, I have a lot of oil that isn't worth much right now.\Even if we go to the capital, I don't know if I can sell it all off...\And if I can't, I'm ruined!\Ruined...\Otto, I need to talk response:	I mean, ask for your help.
context: What's this about oil?\Oh, I just made a bit of a mistake.\And now, I have a lot of oil that isn't worth much right now.\Even if we go to the capital, I don't know if I can sell it all off...\And if I can't, I'm ruined!\Ruined...\Otto, I need to talk\I mean, ask for your help. response:	I'll buy all the oil in your carriage.
context: Oh, I just made a bit of a mistake.\And now, I have a lot of oil that isn't worth much right now.\Even if we go to the capital, I don't know if I can sell it all off...\And if I can't, I'm ruined!\Ruined...\Otto, I need to talk\I mean, ask for your help.\I'll buy all the oil in your carriage. response:	So in return, lend us transport.
context: And now, I have a lot of oil that isn't worth much right now.\Even if we go to the capital, I don't know if I can sell it all off...\And if I can't, I'm ruined!\Ruined...\Otto, I need to talk\I mean, ask for your help.\I'll buy all the oil in your carriage.\So in return, lend us transport. response:	All of the merchants and carriages here...
context: Even if we go to the capital, I don't know if I can sell it all off...\And if I can't, I'm ruined!\Ruined...\Otto, I need to talk\I mean, ask for your help.\I'll buy all the oil in your carriage.\So in return, lend us transport.\All of the merchants and carriages here... response:	Anyone who'll sell transportation for money, sell it to me!
context: And if I can't, I'm ruined!\Ruined...\Otto, I need to talk\I mean, ask for your help.\I'll buy all the oil in your carriage.\So in return, lend us transport.\All of the merchants and carriages here...\Anyone who'll sell transportation for money, sell it to me! response:	We're transporting people!
context: Ruined...\Otto, I need to talk\I mean, ask for your help.\I'll buy all the oil in your carriage.\So in return, lend us transport.\All of the merchants and carriages here...\Anyone who'll sell transportation for money, sell it to me!\We're transporting people! response:	People?! We don't want any part in human trafficking!
context: Otto, I need to talk\I mean, ask for your help.\I'll buy all the oil in your carriage.\So in return, lend us transport.\All of the merchants and carriages here...\Anyone who'll sell transportation for money, sell it to me!\We're transporting people!\People?! We don't want any part in human trafficking! response:	I'm not running that kind of side business...
context: I mean, ask for your help.\I'll buy all the oil in your carriage.\So in return, lend us transport.\All of the merchants and carriages here...\Anyone who'll sell transportation for money, sell it to me!\We're transporting people!\People?! We don't want any part in human trafficking!\I'm not running that kind of side business... response:	There's a village near the Mathers mansion.
context: I'll buy all the oil in your carriage.\So in return, lend us transport.\All of the merchants and carriages here...\Anyone who'll sell transportation for money, sell it to me!\We're transporting people!\People?! We don't want any part in human trafficking!\I'm not running that kind of side business...\There's a village near the Mathers mansion. response:	I want you to take its residents somewhere else!
context: So in return, lend us transport.\All of the merchants and carriages here...\Anyone who'll sell transportation for money, sell it to me!\We're transporting people!\People?! We don't want any part in human trafficking!\I'm not running that kind of side business...\There's a village near the Mathers mansion.\I want you to take its residents somewhere else! response:	We will, of course, thank you properly.
context: All of the merchants and carriages here...\Anyone who'll sell transportation for money, sell it to me!\We're transporting people!\People?! We don't want any part in human trafficking!\I'm not running that kind of side business...\There's a village near the Mathers mansion.\I want you to take its residents somewhere else!\We will, of course, thank you properly. response:	If we run through the night,
context: Anyone who'll sell transportation for money, sell it to me!\We're transporting people!\People?! We don't want any part in human trafficking!\I'm not running that kind of side business...\There's a village near the Mathers mansion.\I want you to take its residents somewhere else!\We will, of course, thank you properly.\If we run through the night, response:	we should enter the Mathers domain by morning.
context: We're transporting people!\People?! We don't want any part in human trafficking!\I'm not running that kind of side business...\There's a village near the Mathers mansion.\I want you to take its residents somewhere else!\We will, of course, thank you properly.\If we run through the night,\we should enter the Mathers domain by morning. response:	Sorry we can't take breaks.
context: People?! We don't want any part in human trafficking!\I'm not running that kind of side business...\There's a village near the Mathers mansion.\I want you to take its residents somewhere else!\We will, of course, thank you properly.\If we run through the night,\we should enter the Mathers domain by morning.\Sorry we can't take breaks. response:	No problem!
context: I'm not running that kind of side business...\There's a village near the Mathers mansion.\I want you to take its residents somewhere else!\We will, of course, thank you properly.\If we run through the night,\we should enter the Mathers domain by morning.\Sorry we can't take breaks.\No problem! response:	Getting rid of my excess stock and even earning transport fees...
context: There's a village near the Mathers mansion.\I want you to take its residents somewhere else!\We will, of course, thank you properly.\If we run through the night,\we should enter the Mathers domain by morning.\Sorry we can't take breaks.\No problem!\Getting rid of my excess stock and even earning transport fees... response:	I feel invincible!
context: I want you to take its residents somewhere else!\We will, of course, thank you properly.\If we run through the night,\we should enter the Mathers domain by morning.\Sorry we can't take breaks.\No problem!\Getting rid of my excess stock and even earning transport fees...\I feel invincible! response:	Subaru-kun, I'm sorry.
context: We will, of course, thank you properly.\If we run through the night,\we should enter the Mathers domain by morning.\Sorry we can't take breaks.\No problem!\Getting rid of my excess stock and even earning transport fees...\I feel invincible!\Subaru-kun, I'm sorry. response:	I would like to check the map to confirm the remaining distance.
context: If we run through the night,\we should enter the Mathers domain by morning.\Sorry we can't take breaks.\No problem!\Getting rid of my excess stock and even earning transport fees...\I feel invincible!\Subaru-kun, I'm sorry.\I would like to check the map to confirm the remaining distance. response:	Map?
context: we should enter the Mathers domain by morning.\Sorry we can't take breaks.\No problem!\Getting rid of my excess stock and even earning transport fees...\I feel invincible!\Subaru-kun, I'm sorry.\I would like to check the map to confirm the remaining distance.\Map? response:	It is in your bag.
context: Sorry we can't take breaks.\No problem!\Getting rid of my excess stock and even earning transport fees...\I feel invincible!\Subaru-kun, I'm sorry.\I would like to check the map to confirm the remaining distance.\Map?\It is in your bag. response:	Oh, this?
context: No problem!\Getting rid of my excess stock and even earning transport fees...\I feel invincible!\Subaru-kun, I'm sorry.\I would like to check the map to confirm the remaining distance.\Map?\It is in your bag.\Oh, this? response:	It's too dark to see anything, though...
context: Getting rid of my excess stock and even earning transport fees...\I feel invincible!\Subaru-kun, I'm sorry.\I would like to check the map to confirm the remaining distance.\Map?\It is in your bag.\Oh, this?\It's too dark to see anything, though... response:	Ah, I know.
context: I feel invincible!\Subaru-kun, I'm sorry.\I would like to check the map to confirm the remaining distance.\Map?\It is in your bag.\Oh, this?\It's too dark to see anything, though...\Ah, I know. response:	Subaru-kun, what is that?
context: Subaru-kun, I'm sorry.\I would like to check the map to confirm the remaining distance.\Map?\It is in your bag.\Oh, this?\It's too dark to see anything, though...\Ah, I know.\Subaru-kun, what is that? response:	A bit of lost technology.
context: I would like to check the map to confirm the remaining distance.\Map?\It is in your bag.\Oh, this?\It's too dark to see anything, though...\Ah, I know.\Subaru-kun, what is that?\A bit of lost technology. response:	I mean, it's future technology called a cell phone.
context: Map?\It is in your bag.\Oh, this?\It's too dark to see anything, though...\Ah, I know.\Subaru-kun, what is that?\A bit of lost technology.\I mean, it's future technology called a cell phone. response:	I guess it's a good thing it has some battery left, barely.
context: It is in your bag.\Oh, this?\It's too dark to see anything, though...\Ah, I know.\Subaru-kun, what is that?\A bit of lost technology.\I mean, it's future technology called a cell phone.\I guess it's a good thing it has some battery left, barely. response:	Here, look.
context: Oh, this?\It's too dark to see anything, though...\Ah, I know.\Subaru-kun, what is that?\A bit of lost technology.\I mean, it's future technology called a cell phone.\I guess it's a good thing it has some battery left, barely.\Here, look. response:	Natsuki-san, what is that?
context: It's too dark to see anything, though...\Ah, I know.\Subaru-kun, what is that?\A bit of lost technology.\I mean, it's future technology called a cell phone.\I guess it's a good thing it has some battery left, barely.\Here, look.\Natsuki-san, what is that? response:	Never seen a crystalight like that before.
context: Ah, I know.\Subaru-kun, what is that?\A bit of lost technology.\I mean, it's future technology called a cell phone.\I guess it's a good thing it has some battery left, barely.\Here, look.\Natsuki-san, what is that?\Never seen a crystalight like that before. response:	It's a secret tool the margrave gave me.
context: Subaru-kun, what is that?\A bit of lost technology.\I mean, it's future technology called a cell phone.\I guess it's a good thing it has some battery left, barely.\Here, look.\Natsuki-san, what is that?\Never seen a crystalight like that before.\It's a secret tool the margrave gave me. response:	Sorry, but you should probably forget you saw it...
context: A bit of lost technology.\I mean, it's future technology called a cell phone.\I guess it's a good thing it has some battery left, barely.\Here, look.\Natsuki-san, what is that?\Never seen a crystalight like that before.\It's a secret tool the margrave gave me.\Sorry, but you should probably forget you saw it... response:	Whoa, why does that sound like dark dealings that reek of nothing but money?
context: I mean, it's future technology called a cell phone.\I guess it's a good thing it has some battery left, barely.\Here, look.\Natsuki-san, what is that?\Never seen a crystalight like that before.\It's a secret tool the margrave gave me.\Sorry, but you should probably forget you saw it...\Whoa, why does that sound like dark dealings that reek of nothing but money? response:	Just a bit farther,
context: I guess it's a good thing it has some battery left, barely.\Here, look.\Natsuki-san, what is that?\Never seen a crystalight like that before.\It's a secret tool the margrave gave me.\Sorry, but you should probably forget you saw it...\Whoa, why does that sound like dark dealings that reek of nothing but money?\Just a bit farther, response:	and we should see Flugel's Tree.
context: Here, look.\Natsuki-san, what is that?\Never seen a crystalight like that before.\It's a secret tool the margrave gave me.\Sorry, but you should probably forget you saw it...\Whoa, why does that sound like dark dealings that reek of nothing but money?\Just a bit farther,\and we should see Flugel's Tree. response:	If we head northeast from there, the Mathers domain isn't far.
context: Natsuki-san, what is that?\Never seen a crystalight like that before.\It's a secret tool the margrave gave me.\Sorry, but you should probably forget you saw it...\Whoa, why does that sound like dark dealings that reek of nothing but money?\Just a bit farther,\and we should see Flugel's Tree.\If we head northeast from there, the Mathers domain isn't far. response:	Flugel's Tree?
context: Never seen a crystalight like that before.\It's a secret tool the margrave gave me.\Sorry, but you should probably forget you saw it...\Whoa, why does that sound like dark dealings that reek of nothing but money?\Just a bit farther,\and we should see Flugel's Tree.\If we head northeast from there, the Mathers domain isn't far.\Flugel's Tree? response:	A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.
context: It's a secret tool the margrave gave me.\Sorry, but you should probably forget you saw it...\Whoa, why does that sound like dark dealings that reek of nothing but money?\Just a bit farther,\and we should see Flugel's Tree.\If we head northeast from there, the Mathers domain isn't far.\Flugel's Tree?\A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds. response:	Legend has it that, centuries ago, a wise man named Flugel planted it.
context: Sorry, but you should probably forget you saw it...\Whoa, why does that sound like dark dealings that reek of nothing but money?\Just a bit farther,\and we should see Flugel's Tree.\If we head northeast from there, the Mathers domain isn't far.\Flugel's Tree?\A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.\Legend has it that, centuries ago, a wise man named Flugel planted it. response:	I see...
context: Whoa, why does that sound like dark dealings that reek of nothing but money?\Just a bit farther,\and we should see Flugel's Tree.\If we head northeast from there, the Mathers domain isn't far.\Flugel's Tree?\A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.\Legend has it that, centuries ago, a wise man named Flugel planted it.\I see... response:	I can't call that anything but amazing.
context: Just a bit farther,\and we should see Flugel's Tree.\If we head northeast from there, the Mathers domain isn't far.\Flugel's Tree?\A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.\Legend has it that, centuries ago, a wise man named Flugel planted it.\I see...\I can't call that anything but amazing. response:	Where'd the guy in the bandana go?
context: and we should see Flugel's Tree.\If we head northeast from there, the Mathers domain isn't far.\Flugel's Tree?\A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.\Legend has it that, centuries ago, a wise man named Flugel planted it.\I see...\I can't call that anything but amazing.\Where'd the guy in the bandana go? response:	He didn't get distracted by the tree and run off course, did he?
context: If we head northeast from there, the Mathers domain isn't far.\Flugel's Tree?\A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.\Legend has it that, centuries ago, a wise man named Flugel planted it.\I see...\I can't call that anything but amazing.\Where'd the guy in the bandana go?\He didn't get distracted by the tree and run off course, did he? response:	What's wrong, Natsuki-san?
context: Flugel's Tree?\A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.\Legend has it that, centuries ago, a wise man named Flugel planted it.\I see...\I can't call that anything but amazing.\Where'd the guy in the bandana go?\He didn't get distracted by the tree and run off course, did he?\What's wrong, Natsuki-san? response:	Where'd that buddy of yours go?
context: A huge tree that stands so tall in the Lifaus Highway, it seems to pierce the clouds.\Legend has it that, centuries ago, a wise man named Flugel planted it.\I see...\I can't call that anything but amazing.\Where'd the guy in the bandana go?\He didn't get distracted by the tree and run off course, did he?\What's wrong, Natsuki-san?\Where'd that buddy of yours go? response:	The older guy in the bandana,
context: Legend has it that, centuries ago, a wise man named Flugel planted it.\I see...\I can't call that anything but amazing.\Where'd the guy in the bandana go?\He didn't get distracted by the tree and run off course, did he?\What's wrong, Natsuki-san?\Where'd that buddy of yours go?\The older guy in the bandana, response:	riding on this side of us?
context: I see...\I can't call that anything but amazing.\Where'd the guy in the bandana go?\He didn't get distracted by the tree and run off course, did he?\What's wrong, Natsuki-san?\Where'd that buddy of yours go?\The older guy in the bandana,\riding on this side of us? response:	What are you talking about?
context: I can't call that anything but amazing.\Where'd the guy in the bandana go?\He didn't get distracted by the tree and run off course, did he?\What's wrong, Natsuki-san?\Where'd that buddy of yours go?\The older guy in the bandana,\riding on this side of us?\What are you talking about? response:	No one was riding on the opposite side from me.
context: Where'd the guy in the bandana go?\He didn't get distracted by the tree and run off course, did he?\What's wrong, Natsuki-san?\Where'd that buddy of yours go?\The older guy in the bandana,\riding on this side of us?\What are you talking about?\No one was riding on the opposite side from me. response:	Huh?
context: He didn't get distracted by the tree and run off course, did he?\What's wrong, Natsuki-san?\Where'd that buddy of yours go?\The older guy in the bandana,\riding on this side of us?\What are you talking about?\No one was riding on the opposite side from me.\Huh? response:	The Greed of a Pig
