context: Apology by Armed Detective Agency Member response:	Tanizaki Junichirou
context: Now, that's very generous.\We'll pay a visit to your Agency at a later time.\The Port Mafia will claim that seven billion.\Is that a declaration of war on the Armed Detective Agency?\Try it... if you dare.\You are an insignificant small-scale operation,\whereas we are this city's darkness made incarnate.\We have connections in this city's politics and economy at every level. response:	An agency with a dozen or so operatives
context: We'll pay a visit to your Agency at a later time.\The Port Mafia will claim that seven billion.\Is that a declaration of war on the Armed Detective Agency?\Try it... if you dare.\You are an insignificant small-scale operation,\whereas we are this city's darkness made incarnate.\We have connections in this city's politics and economy at every level.\An agency with a dozen or so operatives response:	will become ashes along with your entire office in less than three days' time.
context: The Port Mafia will claim that seven billion.\Is that a declaration of war on the Armed Detective Agency?\Try it... if you dare.\You are an insignificant small-scale operation,\whereas we are this city's darkness made incarnate.\We have connections in this city's politics and economy at every level.\An agency with a dozen or so operatives\will become ashes along with your entire office in less than three days' time. response:	No one has opposed us and lived.
context: Is that a declaration of war on the Armed Detective Agency?\Try it... if you dare.\You are an insignificant small-scale operation,\whereas we are this city's darkness made incarnate.\We have connections in this city's politics and economy at every level.\An agency with a dozen or so operatives\will become ashes along with your entire office in less than three days' time.\No one has opposed us and lived. response:	I know all that.
context: Try it... if you dare.\You are an insignificant small-scale operation,\whereas we are this city's darkness made incarnate.\We have connections in this city's politics and economy at every level.\An agency with a dozen or so operatives\will become ashes along with your entire office in less than three days' time.\No one has opposed us and lived.\I know all that. response:	Indeed.
context: You are an insignificant small-scale operation,\whereas we are this city's darkness made incarnate.\We have connections in this city's politics and economy at every level.\An agency with a dozen or so operatives\will become ashes along with your entire office in less than three days' time.\No one has opposed us and lived.\I know all that.\Indeed. response:	You know that better than anyone
context: whereas we are this city's darkness made incarnate.\We have connections in this city's politics and economy at every level.\An agency with a dozen or so operatives\will become ashes along with your entire office in less than three days' time.\No one has opposed us and lived.\I know all that.\Indeed.\You know that better than anyone response:	being an ex-Port Mafia member, Dazai-san.
context: We have connections in this city's politics and economy at every level.\An agency with a dozen or so operatives\will become ashes along with your entire office in less than three days' time.\No one has opposed us and lived.\I know all that.\Indeed.\You know that better than anyone\being an ex-Port Mafia member, Dazai-san. response:	I heard, brat.
context: An agency with a dozen or so operatives\will become ashes along with your entire office in less than three days' time.\No one has opposed us and lived.\I know all that.\Indeed.\You know that better than anyone\being an ex-Port Mafia member, Dazai-san.\I heard, brat. response:	There's a bounty on your head to the tune of seven billion on the black market.
context: will become ashes along with your entire office in less than three days' time.\No one has opposed us and lived.\I know all that.\Indeed.\You know that better than anyone\being an ex-Port Mafia member, Dazai-san.\I heard, brat.\There's a bounty on your head to the tune of seven billion on the black market. response:	Wh-Wh-What should I do?
context: No one has opposed us and lived.\I know all that.\Indeed.\You know that better than anyone\being an ex-Port Mafia member, Dazai-san.\I heard, brat.\There's a bounty on your head to the tune of seven billion on the black market.\Wh-Wh-What should I do? response:	Maybe the Port Mafia will come raid the Agency.
context: I know all that.\Indeed.\You know that better than anyone\being an ex-Port Mafia member, Dazai-san.\I heard, brat.\There's a bounty on your head to the tune of seven billion on the black market.\Wh-Wh-What should I do?\Maybe the Port Mafia will come raid the Agency. response:	But why me?
context: Indeed.\You know that better than anyone\being an ex-Port Mafia member, Dazai-san.\I heard, brat.\There's a bounty on your head to the tune of seven billion on the black market.\Wh-Wh-What should I do?\Maybe the Port Mafia will come raid the Agency.\But why me? response:	You caused this.
context: You know that better than anyone\being an ex-Port Mafia member, Dazai-san.\I heard, brat.\There's a bounty on your head to the tune of seven billion on the black market.\Wh-Wh-What should I do?\Maybe the Port Mafia will come raid the Agency.\But why me?\You caused this. response:	Think about what you can do.
context: being an ex-Port Mafia member, Dazai-san.\I heard, brat.\There's a bounty on your head to the tune of seven billion on the black market.\Wh-Wh-What should I do?\Maybe the Port Mafia will come raid the Agency.\But why me?\You caused this.\Think about what you can do. response:	What I can do?
context: I heard, brat.\There's a bounty on your head to the tune of seven billion on the black market.\Wh-Wh-What should I do?\Maybe the Port Mafia will come raid the Agency.\But why me?\You caused this.\Think about what you can do.\What I can do? response:	The Tragedy of the Fatalist.
context: There's a bounty on your head to the tune of seven billion on the black market.\Wh-Wh-What should I do?\Maybe the Port Mafia will come raid the Agency.\But why me?\You caused this.\Think about what you can do.\What I can do?\The Tragedy of the Fatalist. response:	Episode 4: The Tragedy of the Fatalist
