context: Qing Cang is so ridiculous. response:	He hasn't even won the war yet and he's already started to celebrate.
context: - Si Yin! - Seventeenth!\Let's go back to Kunlun Mountain.\What did you say?\Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor\and his soul has been scattered.\All right.\I understand.\Wait. response:	What orders do you have, Dijun?
context: Let's go back to Kunlun Mountain.\What did you say?\Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor\and his soul has been scattered.\All right.\I understand.\Wait.\What orders do you have, Dijun? response:	Regardless, Qing Cang has already been sealed.
context: What did you say?\Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor\and his soul has been scattered.\All right.\I understand.\Wait.\What orders do you have, Dijun?\Regardless, Qing Cang has already been sealed. response:	Go quickly to Grand Ziming Palace.
context: Mo Yuan used his spirit as a sacrifice to the Bell of the East Emperor\and his soul has been scattered.\All right.\I understand.\Wait.\What orders do you have, Dijun?\Regardless, Qing Cang has already been sealed.\Go quickly to Grand Ziming Palace. response:	Go sooner rather than later.
context: and his soul has been scattered.\All right.\I understand.\Wait.\What orders do you have, Dijun?\Regardless, Qing Cang has already been sealed.\Go quickly to Grand Ziming Palace.\Go sooner rather than later. response:	Yes.
context: All right.\I understand.\Wait.\What orders do you have, Dijun?\Regardless, Qing Cang has already been sealed.\Go quickly to Grand Ziming Palace.\Go sooner rather than later.\Yes. response:	Here, have some fruit.
context: I understand.\Wait.\What orders do you have, Dijun?\Regardless, Qing Cang has already been sealed.\Go quickly to Grand Ziming Palace.\Go sooner rather than later.\Yes.\Here, have some fruit. response:	Go away!
context: Wait.\What orders do you have, Dijun?\Regardless, Qing Cang has already been sealed.\Go quickly to Grand Ziming Palace.\Go sooner rather than later.\Yes.\Here, have some fruit.\Go away! response:	I was beaten half to death for you.
context: What orders do you have, Dijun?\Regardless, Qing Cang has already been sealed.\Go quickly to Grand Ziming Palace.\Go sooner rather than later.\Yes.\Here, have some fruit.\Go away!\I was beaten half to death for you. response:	I also went to Kunlun Mountain to steal the formation strategy for you.
context: Regardless, Qing Cang has already been sealed.\Go quickly to Grand Ziming Palace.\Go sooner rather than later.\Yes.\Here, have some fruit.\Go away!\I was beaten half to death for you.\I also went to Kunlun Mountain to steal the formation strategy for you. response:	Now that we have lost, it is just your father's destiny.
context: Go quickly to Grand Ziming Palace.\Go sooner rather than later.\Yes.\Here, have some fruit.\Go away!\I was beaten half to death for you.\I also went to Kunlun Mountain to steal the formation strategy for you.\Now that we have lost, it is just your father's destiny. response:	Why must you still treat me so?
context: Go sooner rather than later.\Yes.\Here, have some fruit.\Go away!\I was beaten half to death for you.\I also went to Kunlun Mountain to steal the formation strategy for you.\Now that we have lost, it is just your father's destiny.\Why must you still treat me so? response:	What does winning or losing have to do with me?
context: Yes.\Here, have some fruit.\Go away!\I was beaten half to death for you.\I also went to Kunlun Mountain to steal the formation strategy for you.\Now that we have lost, it is just your father's destiny.\Why must you still treat me so?\What does winning or losing have to do with me? response:	And what do the things you've done have to do with me?
context: Here, have some fruit.\Go away!\I was beaten half to death for you.\I also went to Kunlun Mountain to steal the formation strategy for you.\Now that we have lost, it is just your father's destiny.\Why must you still treat me so?\What does winning or losing have to do with me?\And what do the things you've done have to do with me? response:	How do they not?
context: Go away!\I was beaten half to death for you.\I also went to Kunlun Mountain to steal the formation strategy for you.\Now that we have lost, it is just your father's destiny.\Why must you still treat me so?\What does winning or losing have to do with me?\And what do the things you've done have to do with me?\How do they not? response:	Now that the Ghost Tribe has lost
context: I was beaten half to death for you.\I also went to Kunlun Mountain to steal the formation strategy for you.\Now that we have lost, it is just your father's destiny.\Why must you still treat me so?\What does winning or losing have to do with me?\And what do the things you've done have to do with me?\How do they not?\Now that the Ghost Tribe has lost response:	and Mo Yuan has consequently died
context: I also went to Kunlun Mountain to steal the formation strategy for you.\Now that we have lost, it is just your father's destiny.\Why must you still treat me so?\What does winning or losing have to do with me?\And what do the things you've done have to do with me?\How do they not?\Now that the Ghost Tribe has lost\and Mo Yuan has consequently died response:	I have become a sinner of Kunlun Mountain.
context: Now that we have lost, it is just your father's destiny.\Why must you still treat me so?\What does winning or losing have to do with me?\And what do the things you've done have to do with me?\How do they not?\Now that the Ghost Tribe has lost\and Mo Yuan has consequently died\I have become a sinner of Kunlun Mountain. response:	From now on, on heaven or on earth
context: Why must you still treat me so?\What does winning or losing have to do with me?\And what do the things you've done have to do with me?\How do they not?\Now that the Ghost Tribe has lost\and Mo Yuan has consequently died\I have become a sinner of Kunlun Mountain.\From now on, on heaven or on earth response:	I can only rely on you, Your Highness.
context: What does winning or losing have to do with me?\And what do the things you've done have to do with me?\How do they not?\Now that the Ghost Tribe has lost\and Mo Yuan has consequently died\I have become a sinner of Kunlun Mountain.\From now on, on heaven or on earth\I can only rely on you, Your Highness. response:	Do you know, Xuan Nu?
context: And what do the things you've done have to do with me?\How do they not?\Now that the Ghost Tribe has lost\and Mo Yuan has consequently died\I have become a sinner of Kunlun Mountain.\From now on, on heaven or on earth\I can only rely on you, Your Highness.\Do you know, Xuan Nu? response:	You've relied on the wrong person.
context: How do they not?\Now that the Ghost Tribe has lost\and Mo Yuan has consequently died\I have become a sinner of Kunlun Mountain.\From now on, on heaven or on earth\I can only rely on you, Your Highness.\Do you know, Xuan Nu?\You've relied on the wrong person. response:	I have no power or influence in the Ghost Tribe
context: Now that the Ghost Tribe has lost\and Mo Yuan has consequently died\I have become a sinner of Kunlun Mountain.\From now on, on heaven or on earth\I can only rely on you, Your Highness.\Do you know, Xuan Nu?\You've relied on the wrong person.\I have no power or influence in the Ghost Tribe response:	and I've always been antagonistic to Li Yuan.
context: and Mo Yuan has consequently died\I have become a sinner of Kunlun Mountain.\From now on, on heaven or on earth\I can only rely on you, Your Highness.\Do you know, Xuan Nu?\You've relied on the wrong person.\I have no power or influence in the Ghost Tribe\and I've always been antagonistic to Li Yuan. response:	Now that Father is dead
context: I have become a sinner of Kunlun Mountain.\From now on, on heaven or on earth\I can only rely on you, Your Highness.\Do you know, Xuan Nu?\You've relied on the wrong person.\I have no power or influence in the Ghost Tribe\and I've always been antagonistic to Li Yuan.\Now that Father is dead response:	Li Yuan will succeed the throne.
context: From now on, on heaven or on earth\I can only rely on you, Your Highness.\Do you know, Xuan Nu?\You've relied on the wrong person.\I have no power or influence in the Ghost Tribe\and I've always been antagonistic to Li Yuan.\Now that Father is dead\Li Yuan will succeed the throne. response:	Very soon, I will be dead.
context: I can only rely on you, Your Highness.\Do you know, Xuan Nu?\You've relied on the wrong person.\I have no power or influence in the Ghost Tribe\and I've always been antagonistic to Li Yuan.\Now that Father is dead\Li Yuan will succeed the throne.\Very soon, I will be dead. response:	You rely on me?
context: Do you know, Xuan Nu?\You've relied on the wrong person.\I have no power or influence in the Ghost Tribe\and I've always been antagonistic to Li Yuan.\Now that Father is dead\Li Yuan will succeed the throne.\Very soon, I will be dead.\You rely on me? response:	Then who am I to rely on?
context: You've relied on the wrong person.\I have no power or influence in the Ghost Tribe\and I've always been antagonistic to Li Yuan.\Now that Father is dead\Li Yuan will succeed the throne.\Very soon, I will be dead.\You rely on me?\Then who am I to rely on? response:	Second Prince.
context: I have no power or influence in the Ghost Tribe\and I've always been antagonistic to Li Yuan.\Now that Father is dead\Li Yuan will succeed the throne.\Very soon, I will be dead.\You rely on me?\Then who am I to rely on?\Second Prince. response:	What is it?
context: and I've always been antagonistic to Li Yuan.\Now that Father is dead\Li Yuan will succeed the throne.\Very soon, I will be dead.\You rely on me?\Then who am I to rely on?\Second Prince.\What is it? response:	Someone from Celestial Tribe has come.
context: Now that Father is dead\Li Yuan will succeed the throne.\Very soon, I will be dead.\You rely on me?\Then who am I to rely on?\Second Prince.\What is it?\Someone from Celestial Tribe has come. response:	- Send him in. - Yes.
context: Li Yuan will succeed the throne.\Very soon, I will be dead.\You rely on me?\Then who am I to rely on?\Second Prince.\What is it?\Someone from Celestial Tribe has come.\- Send him in. - Yes. response:	I am Star Lord Si Ming. Greetings, Your Highness.
context: Very soon, I will be dead.\You rely on me?\Then who am I to rely on?\Second Prince.\What is it?\Someone from Celestial Tribe has come.\- Send him in. - Yes.\I am Star Lord Si Ming. Greetings, Your Highness. response:	Hasn't my brother already handed over the document of surrender?
context: You rely on me?\Then who am I to rely on?\Second Prince.\What is it?\Someone from Celestial Tribe has come.\- Send him in. - Yes.\I am Star Lord Si Ming. Greetings, Your Highness.\Hasn't my brother already handed over the document of surrender? response:	What are you people from Celestial Tribe coming to see me for?
context: Then who am I to rely on?\Second Prince.\What is it?\Someone from Celestial Tribe has come.\- Send him in. - Yes.\I am Star Lord Si Ming. Greetings, Your Highness.\Hasn't my brother already handed over the document of surrender?\What are you people from Celestial Tribe coming to see me for? response:	I am here to help Your Highness take the position of Ghost Lord.
context: Second Prince.\What is it?\Someone from Celestial Tribe has come.\- Send him in. - Yes.\I am Star Lord Si Ming. Greetings, Your Highness.\Hasn't my brother already handed over the document of surrender?\What are you people from Celestial Tribe coming to see me for?\I am here to help Your Highness take the position of Ghost Lord. response:	The position of Ghost Lord?
context: What is it?\Someone from Celestial Tribe has come.\- Send him in. - Yes.\I am Star Lord Si Ming. Greetings, Your Highness.\Hasn't my brother already handed over the document of surrender?\What are you people from Celestial Tribe coming to see me for?\I am here to help Your Highness take the position of Ghost Lord.\The position of Ghost Lord? response:	I have absolutely no interest.
context: Someone from Celestial Tribe has come.\- Send him in. - Yes.\I am Star Lord Si Ming. Greetings, Your Highness.\Hasn't my brother already handed over the document of surrender?\What are you people from Celestial Tribe coming to see me for?\I am here to help Your Highness take the position of Ghost Lord.\The position of Ghost Lord?\I have absolutely no interest. response:	You can leave.
context: - Send him in. - Yes.\I am Star Lord Si Ming. Greetings, Your Highness.\Hasn't my brother already handed over the document of surrender?\What are you people from Celestial Tribe coming to see me for?\I am here to help Your Highness take the position of Ghost Lord.\The position of Ghost Lord?\I have absolutely no interest.\You can leave. response:	Your Highness, supposing that Eldest Prince succeeds the throne
context: I am Star Lord Si Ming. Greetings, Your Highness.\Hasn't my brother already handed over the document of surrender?\What are you people from Celestial Tribe coming to see me for?\I am here to help Your Highness take the position of Ghost Lord.\The position of Ghost Lord?\I have absolutely no interest.\You can leave.\Your Highness, supposing that Eldest Prince succeeds the throne response:	you will probably not live past tomorrow.
context: Hasn't my brother already handed over the document of surrender?\What are you people from Celestial Tribe coming to see me for?\I am here to help Your Highness take the position of Ghost Lord.\The position of Ghost Lord?\I have absolutely no interest.\You can leave.\Your Highness, supposing that Eldest Prince succeeds the throne\you will probably not live past tomorrow. response:	Besides, he and you have animosity over the death of your mother.
context: What are you people from Celestial Tribe coming to see me for?\I am here to help Your Highness take the position of Ghost Lord.\The position of Ghost Lord?\I have absolutely no interest.\You can leave.\Your Highness, supposing that Eldest Prince succeeds the throne\you will probably not live past tomorrow.\Besides, he and you have animosity over the death of your mother. response:	You have yet to take revenge. How could you possibly be resigned?
context: I am here to help Your Highness take the position of Ghost Lord.\The position of Ghost Lord?\I have absolutely no interest.\You can leave.\Your Highness, supposing that Eldest Prince succeeds the throne\you will probably not live past tomorrow.\Besides, he and you have animosity over the death of your mother.\You have yet to take revenge. How could you possibly be resigned? response:	How could Master...
context: The position of Ghost Lord?\I have absolutely no interest.\You can leave.\Your Highness, supposing that Eldest Prince succeeds the throne\you will probably not live past tomorrow.\Besides, he and you have animosity over the death of your mother.\You have yet to take revenge. How could you possibly be resigned?\How could Master... response:	Master...
context: I have absolutely no interest.\You can leave.\Your Highness, supposing that Eldest Prince succeeds the throne\you will probably not live past tomorrow.\Besides, he and you have animosity over the death of your mother.\You have yet to take revenge. How could you possibly be resigned?\How could Master...\Master... response:	Master!
context: You can leave.\Your Highness, supposing that Eldest Prince succeeds the throne\you will probably not live past tomorrow.\Besides, he and you have animosity over the death of your mother.\You have yet to take revenge. How could you possibly be resigned?\How could Master...\Master...\Master! response:	Master!
context: Your Highness, supposing that Eldest Prince succeeds the throne\you will probably not live past tomorrow.\Besides, he and you have animosity over the death of your mother.\You have yet to take revenge. How could you possibly be resigned?\How could Master...\Master...\Master!\Master! response:	Master!
context: you will probably not live past tomorrow.\Besides, he and you have animosity over the death of your mother.\You have yet to take revenge. How could you possibly be resigned?\How could Master...\Master...\Master!\Master!\Master! response:	Master.
context: Besides, he and you have animosity over the death of your mother.\You have yet to take revenge. How could you possibly be resigned?\How could Master...\Master...\Master!\Master!\Master!\Master. response:	Zhe Yan, when will Master wake up?
