context: I've gathered you all here for one reason. response:	At this point we shall now commence Operation High Tension Syndrome.
context: Explain? Don't tell me...\To God, huh?\So we were right?\Having so many normal students down like this is an unprecedented irregularity.\The Battlefront always made sure the NPCs were unaffected by their activities.\But this time it's different.\Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.\There's an entrance to a basement here? response:	Is this... the path to God?
context: To God, huh?\So we were right?\Having so many normal students down like this is an unprecedented irregularity.\The Battlefront always made sure the NPCs were unaffected by their activities.\But this time it's different.\Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.\There's an entrance to a basement here?\Is this... the path to God? response:	A password?
context: So we were right?\Having so many normal students down like this is an unprecedented irregularity.\The Battlefront always made sure the NPCs were unaffected by their activities.\But this time it's different.\Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.\There's an entrance to a basement here?\Is this... the path to God?\A password? response:	The security here is as tight as Guild.
context: Having so many normal students down like this is an unprecedented irregularity.\The Battlefront always made sure the NPCs were unaffected by their activities.\But this time it's different.\Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.\There's an entrance to a basement here?\Is this... the path to God?\A password?\The security here is as tight as Guild. response:	There's no doubt about it.
context: The Battlefront always made sure the NPCs were unaffected by their activities.\But this time it's different.\Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.\There's an entrance to a basement here?\Is this... the path to God?\A password?\The security here is as tight as Guild.\There's no doubt about it. response:	God awaits beyond that door.
context: But this time it's different.\Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.\There's an entrance to a basement here?\Is this... the path to God?\A password?\The security here is as tight as Guild.\There's no doubt about it.\God awaits beyond that door. response:	Charge!
context: Regardless of whether the operation was a success, we're dealing with the Battlefront's very objective here.\There's an entrance to a basement here?\Is this... the path to God?\A password?\The security here is as tight as Guild.\There's no doubt about it.\God awaits beyond that door.\Charge! response:	If you don't make it, we leave you behind!
context: There's an entrance to a basement here?\Is this... the path to God?\A password?\The security here is as tight as Guild.\There's no doubt about it.\God awaits beyond that door.\Charge!\If you don't make it, we leave you behind! response:	What is this place?
context: Is this... the path to God?\A password?\The security here is as tight as Guild.\There's no doubt about it.\God awaits beyond that door.\Charge!\If you don't make it, we leave you behind!\What is this place? response:	Beautiful.
context: A password?\The security here is as tight as Guild.\There's no doubt about it.\God awaits beyond that door.\Charge!\If you don't make it, we leave you behind!\What is this place?\Beautiful. response:	Cute.
context: The security here is as tight as Guild.\There's no doubt about it.\God awaits beyond that door.\Charge!\If you don't make it, we leave you behind!\What is this place?\Beautiful.\Cute. response:	This is...
context: There's no doubt about it.\God awaits beyond that door.\Charge!\If you don't make it, we leave you behind!\What is this place?\Beautiful.\Cute.\This is... response:	Hydroponic cultivation.
context: God awaits beyond that door.\Charge!\If you don't make it, we leave you behind!\What is this place?\Beautiful.\Cute.\This is...\Hydroponic cultivation. response:	Yurippe, I found this.
context: Charge!\If you don't make it, we leave you behind!\What is this place?\Beautiful.\Cute.\This is...\Hydroponic cultivation.\Yurippe, I found this. response:	Wha
context: If you don't make it, we leave you behind!\What is this place?\Beautiful.\Cute.\This is...\Hydroponic cultivation.\Yurippe, I found this.\Wha response:	Now then...
context: What is this place?\Beautiful.\Cute.\This is...\Hydroponic cultivation.\Yurippe, I found this.\Wha\Now then... response:	Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...
context: Beautiful.\Cute.\This is...\Hydroponic cultivation.\Yurippe, I found this.\Wha\Now then...\Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips... response:	that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...
context: Cute.\This is...\Hydroponic cultivation.\Yurippe, I found this.\Wha\Now then...\Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...\that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute... response:	How should I explain that to them?
context: This is...\Hydroponic cultivation.\Yurippe, I found this.\Wha\Now then...\Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...\that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...\How should I explain that to them? response:	What the hell?!
context: Hydroponic cultivation.\Yurippe, I found this.\Wha\Now then...\Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...\that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...\How should I explain that to them?\What the hell?! response:	Oh, you're all here.
context: Yurippe, I found this.\Wha\Now then...\Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...\that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...\How should I explain that to them?\What the hell?!\Oh, you're all here. response:	What was with the security out there?!
context: Wha\Now then...\Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...\that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...\How should I explain that to them?\What the hell?!\Oh, you're all here.\What was with the security out there?! response:	Security?
context: Now then...\Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...\that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...\How should I explain that to them?\What the hell?!\Oh, you're all here.\What was with the security out there?!\Security? response:	Man, we finally got in!
context: Now that I've suddenly left the student council behind in the middle of a meeting to check on these cute turnips...\that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...\How should I explain that to them?\What the hell?!\Oh, you're all here.\What was with the security out there?!\Security?\Man, we finally got in! response:	Who'd have thought the door would just open at the push of a button?
context: that I had been raising for the Gardening Club after they collapsed when I remembered about them after I heard the word cute...\How should I explain that to them?\What the hell?!\Oh, you're all here.\What was with the security out there?!\Security?\Man, we finally got in!\Who'd have thought the door would just open at the push of a button? response:	What?! What about the password?!
context: How should I explain that to them?\What the hell?!\Oh, you're all here.\What was with the security out there?!\Security?\Man, we finally got in!\Who'd have thought the door would just open at the push of a button?\What?! What about the password?! response:	Password?
context: What the hell?!\Oh, you're all here.\What was with the security out there?!\Security?\Man, we finally got in!\Who'd have thought the door would just open at the push of a button?\What?! What about the password?!\Password? response:	You were just dialing it on the keypad!
context: Oh, you're all here.\What was with the security out there?!\Security?\Man, we finally got in!\Who'd have thought the door would just open at the push of a button?\What?! What about the password?!\Password?\You were just dialing it on the keypad! response:	I was just calculating the remaining funds for the Gardening Club.
context: What was with the security out there?!\Security?\Man, we finally got in!\Who'd have thought the door would just open at the push of a button?\What?! What about the password?!\Password?\You were just dialing it on the keypad!\I was just calculating the remaining funds for the Gardening Club. response:	I - It was a calculator?
context: Security?\Man, we finally got in!\Who'd have thought the door would just open at the push of a button?\What?! What about the password?!\Password?\You were just dialing it on the keypad!\I was just calculating the remaining funds for the Gardening Club.\I - It was a calculator? response:	Starting right now, the Afterlife Battlefront...
context: Man, we finally got in!\Who'd have thought the door would just open at the push of a button?\What?! What about the password?!\Password?\You were just dialing it on the keypad!\I was just calculating the remaining funds for the Gardening Club.\I - It was a calculator?\Starting right now, the Afterlife Battlefront... response:	will fast for a week!!
context: Who'd have thought the door would just open at the push of a button?\What?! What about the password?!\Password?\You were just dialing it on the keypad!\I was just calculating the remaining funds for the Gardening Club.\I - It was a calculator?\Starting right now, the Afterlife Battlefront...\will fast for a week!! response:	No way!!
context: What?! What about the password?!\Password?\You were just dialing it on the keypad!\I was just calculating the remaining funds for the Gardening Club.\I - It was a calculator?\Starting right now, the Afterlife Battlefront...\will fast for a week!!\No way!! response:	I'm sorry, everyone...
context: Password?\You were just dialing it on the keypad!\I was just calculating the remaining funds for the Gardening Club.\I - It was a calculator?\Starting right now, the Afterlife Battlefront...\will fast for a week!!\No way!!\I'm sorry, everyone... response:	I've worked hard to get this far in memory of you, but...
context: You were just dialing it on the keypad!\I was just calculating the remaining funds for the Gardening Club.\I - It was a calculator?\Starting right now, the Afterlife Battlefront...\will fast for a week!!\No way!!\I'm sorry, everyone...\I've worked hard to get this far in memory of you, but... response:	This is...
context: I was just calculating the remaining funds for the Gardening Club.\I - It was a calculator?\Starting right now, the Afterlife Battlefront...\will fast for a week!!\No way!!\I'm sorry, everyone...\I've worked hard to get this far in memory of you, but...\This is... response:	my limit...
context: I - It was a calculator?\Starting right now, the Afterlife Battlefront...\will fast for a week!!\No way!!\I'm sorry, everyone...\I've worked hard to get this far in memory of you, but...\This is...\my limit... response:	The GirlDeMo members are all down.
context: Starting right now, the Afterlife Battlefront...\will fast for a week!!\No way!!\I'm sorry, everyone...\I've worked hard to get this far in memory of you, but...\This is...\my limit...\The GirlDeMo members are all down. response:	Well, it's not like they'll die.
context: will fast for a week!!\No way!!\I'm sorry, everyone...\I've worked hard to get this far in memory of you, but...\This is...\my limit...\The GirlDeMo members are all down.\Well, it's not like they'll die. response:	You do make the best villain after all, Yurippe - san.
context: No way!!\I'm sorry, everyone...\I've worked hard to get this far in memory of you, but...\This is...\my limit...\The GirlDeMo members are all down.\Well, it's not like they'll die.\You do make the best villain after all, Yurippe - san. response:	OP
context: I'm sorry, everyone...\I've worked hard to get this far in memory of you, but...\This is...\my limit...\The GirlDeMo members are all down.\Well, it's not like they'll die.\You do make the best villain after all, Yurippe - san.\OP response:	mezamete wa kurikaesu nemuri asa wa
context: I've worked hard to get this far in memory of you, but...\This is...\my limit...\The GirlDeMo members are all down.\Well, it's not like they'll die.\You do make the best villain after all, Yurippe - san.\OP\mezamete wa kurikaesu nemuri asa wa response:	eri no tai wo kitsuku shime
context: This is...\my limit...\The GirlDeMo members are all down.\Well, it's not like they'll die.\You do make the best villain after all, Yurippe - san.\OP\mezamete wa kurikaesu nemuri asa wa\eri no tai wo kitsuku shime response:	kyoushitsu no doa kuguru to
context: my limit...\The GirlDeMo members are all down.\Well, it's not like they'll die.\You do make the best villain after all, Yurippe - san.\OP\mezamete wa kurikaesu nemuri asa wa\eri no tai wo kitsuku shime\kyoushitsu no doa kuguru to response:	honno sukoshi mune wo hatte arukidaseru
context: The GirlDeMo members are all down.\Well, it's not like they'll die.\You do make the best villain after all, Yurippe - san.\OP\mezamete wa kurikaesu nemuri asa wa\eri no tai wo kitsuku shime\kyoushitsu no doa kuguru to\honno sukoshi mune wo hatte arukidaseru response:	sonna nichijou ni fukinukeru kaze
context: Well, it's not like they'll die.\You do make the best villain after all, Yurippe - san.\OP\mezamete wa kurikaesu nemuri asa wa\eri no tai wo kitsuku shime\kyoushitsu no doa kuguru to\honno sukoshi mune wo hatte arukidaseru\sonna nichijou ni fukinukeru kaze response:	kikoeta ki ga shita
context: You do make the best villain after all, Yurippe - san.\OP\mezamete wa kurikaesu nemuri asa wa\eri no tai wo kitsuku shime\kyoushitsu no doa kuguru to\honno sukoshi mune wo hatte arukidaseru\sonna nichijou ni fukinukeru kaze\kikoeta ki ga shita response:	kanjita ki ga shitanda
context: OP\mezamete wa kurikaesu nemuri asa wa\eri no tai wo kitsuku shime\kyoushitsu no doa kuguru to\honno sukoshi mune wo hatte arukidaseru\sonna nichijou ni fukinukeru kaze\kikoeta ki ga shita\kanjita ki ga shitanda response:	furuedasu ima kono mune de
context: mezamete wa kurikaesu nemuri asa wa\eri no tai wo kitsuku shime\kyoushitsu no doa kuguru to\honno sukoshi mune wo hatte arukidaseru\sonna nichijou ni fukinukeru kaze\kikoeta ki ga shita\kanjita ki ga shitanda\furuedasu ima kono mune de response:	mou kuru ki ga shita
context: eri no tai wo kitsuku shime\kyoushitsu no doa kuguru to\honno sukoshi mune wo hatte arukidaseru\sonna nichijou ni fukinukeru kaze\kikoeta ki ga shita\kanjita ki ga shitanda\furuedasu ima kono mune de\mou kuru ki ga shita response:	iku oku no hoshi ga kie satteku no wo
context: kyoushitsu no doa kuguru to\honno sukoshi mune wo hatte arukidaseru\sonna nichijou ni fukinukeru kaze\kikoeta ki ga shita\kanjita ki ga shitanda\furuedasu ima kono mune de\mou kuru ki ga shita\iku oku no hoshi ga kie satteku no wo response:	miokutta te wo futta yokatta ne to
context: honno sukoshi mune wo hatte arukidaseru\sonna nichijou ni fukinukeru kaze\kikoeta ki ga shita\kanjita ki ga shitanda\furuedasu ima kono mune de\mou kuru ki ga shita\iku oku no hoshi ga kie satteku no wo\miokutta te wo futta yokatta ne to response:	HO
context: sonna nichijou ni fukinukeru kaze\kikoeta ki ga shita\kanjita ki ga shitanda\furuedasu ima kono mune de\mou kuru ki ga shita\iku oku no hoshi ga kie satteku no wo\miokutta te wo futta yokatta ne to\HO response:	OO
context: kikoeta ki ga shita\kanjita ki ga shitanda\furuedasu ima kono mune de\mou kuru ki ga shita\iku oku no hoshi ga kie satteku no wo\miokutta te wo futta yokatta ne to\HO\OO response:	I open my eyes again, to a sleepy morning
context: kanjita ki ga shitanda\furuedasu ima kono mune de\mou kuru ki ga shita\iku oku no hoshi ga kie satteku no wo\miokutta te wo futta yokatta ne to\HO\OO\I open my eyes again, to a sleepy morning response:	I tighten the tie around my neck
context: furuedasu ima kono mune de\mou kuru ki ga shita\iku oku no hoshi ga kie satteku no wo\miokutta te wo futta yokatta ne to\HO\OO\I open my eyes again, to a sleepy morning\I tighten the tie around my neck response:	When I pass through the door of the classroom
context: mou kuru ki ga shita\iku oku no hoshi ga kie satteku no wo\miokutta te wo futta yokatta ne to\HO\OO\I open my eyes again, to a sleepy morning\I tighten the tie around my neck\When I pass through the door of the classroom response:	I puff my chest out with a little bit of pride
context: iku oku no hoshi ga kie satteku no wo\miokutta te wo futta yokatta ne to\HO\OO\I open my eyes again, to a sleepy morning\I tighten the tie around my neck\When I pass through the door of the classroom\I puff my chest out with a little bit of pride response:	A wind that blows past everyday life
context: miokutta te wo futta yokatta ne to\HO\OO\I open my eyes again, to a sleepy morning\I tighten the tie around my neck\When I pass through the door of the classroom\I puff my chest out with a little bit of pride\A wind that blows past everyday life response:	I thought I heard it
context: HO\OO\I open my eyes again, to a sleepy morning\I tighten the tie around my neck\When I pass through the door of the classroom\I puff my chest out with a little bit of pride\A wind that blows past everyday life\I thought I heard it response:	I thought I felt it
context: OO\I open my eyes again, to a sleepy morning\I tighten the tie around my neck\When I pass through the door of the classroom\I puff my chest out with a little bit of pride\A wind that blows past everyday life\I thought I heard it\I thought I felt it response:	It started to shake within my chest
context: I open my eyes again, to a sleepy morning\I tighten the tie around my neck\When I pass through the door of the classroom\I puff my chest out with a little bit of pride\A wind that blows past everyday life\I thought I heard it\I thought I felt it\It started to shake within my chest response:	I felt it would come now
context: I tighten the tie around my neck\When I pass through the door of the classroom\I puff my chest out with a little bit of pride\A wind that blows past everyday life\I thought I heard it\I thought I felt it\It started to shake within my chest\I felt it would come now response:	I watched countless stars as they vanished
context: When I pass through the door of the classroom\I puff my chest out with a little bit of pride\A wind that blows past everyday life\I thought I heard it\I thought I felt it\It started to shake within my chest\I felt it would come now\I watched countless stars as they vanished response:	I waved goodbye, I'm glad
context: I puff my chest out with a little bit of pride\A wind that blows past everyday life\I thought I heard it\I thought I felt it\It started to shake within my chest\I felt it would come now\I watched countless stars as they vanished\I waved goodbye, I'm glad response:	ED
context: A wind that blows past everyday life\I thought I heard it\I thought I felt it\It started to shake within my chest\I felt it would come now\I watched countless stars as they vanished\I waved goodbye, I'm glad\ED response:	itsumo hitori de aruiteta
context: I thought I heard it\I thought I felt it\It started to shake within my chest\I felt it would come now\I watched countless stars as they vanished\I waved goodbye, I'm glad\ED\itsumo hitori de aruiteta response:	furikaeru to minna wa tooku
context: I thought I felt it\It started to shake within my chest\I felt it would come now\I watched countless stars as they vanished\I waved goodbye, I'm glad\ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku response:	sore demo atashi wa aruita
context: It started to shake within my chest\I felt it would come now\I watched countless stars as they vanished\I waved goodbye, I'm glad\ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita response:	sore ga tsuyosa datta
context: I felt it would come now\I watched countless stars as they vanished\I waved goodbye, I'm glad\ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta response:	mou nani mo kowakunai
context: I watched countless stars as they vanished\I waved goodbye, I'm glad\ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai response:	sou tsubuyaitemiseru
context: I waved goodbye, I'm glad\ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru response:	itsuka hito wa hitori ni natte
context: ED\itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte response:	omoide no naka ni ikiteku dake
context: itsumo hitori de aruiteta\furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake response:	kodoku sae aishi waratterareru you ni
context: furikaeru to minna wa tooku\sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni response:	atashi wa tatakaunda
context: sore demo atashi wa aruita\sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda response:	namida nante misenainda
context: sore ga tsuyosa datta\mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda response:	HH
context: mou nani mo kowakunai\sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH response:	I've always walked alone
context: sou tsubuyaitemiseru\itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone response:	When I turn around, everyone's far behind
context: itsuka hito wa hitori ni natte\omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind response:	Even so, I kept walking
context: omoide no naka ni ikiteku dake\kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking response:	That was what strength was
context: kodoku sae aishi waratterareru you ni\atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was response:	I'm not afraid of anything anymore,
context: atashi wa tatakaunda\namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore, response:	I try to whisper to myself
context: namida nante misenainda\HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself response:	Everyone becomes alone someday
context: HH\I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday response:	They live on only in memories
context: I've always walked alone\When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories response:	So I can laugh with my heart, even in this loneliness
context: When I turn around, everyone's far behind\Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness response:	I will fight
context: Even so, I kept walking\That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight response:	I will show no tears
context: That was what strength was\I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears response:	TS
context: I'm not afraid of anything anymore,\I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS response:	Mazui presents
context: I try to whisper to myself\Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Mazui presents response:	Anti - Angel Operations Headquarters
context: Everyone becomes alone someday\They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Mazui presents\Anti - Angel Operations Headquarters response:	Academy Main Dining Hall Interior
context: They live on only in memories\So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Mazui presents\Anti - Angel Operations Headquarters\Academy Main Dining Hall Interior response:	Classroom Block B Classroom
context: So I can laugh with my heart, even in this loneliness\I will fight\I will show no tears\TS\Mazui presents\Anti - Angel Operations Headquarters\Academy Main Dining Hall Interior\Classroom Block B Classroom response:	Classroom Block B Classroom
context: I will fight\I will show no tears\TS\Mazui presents\Anti - Angel Operations Headquarters\Academy Main Dining Hall Interior\Classroom Block B Classroom\Classroom Block B Classroom response:	Classroom Block A Empty Classroom
context: I will show no tears\TS\Mazui presents\Anti - Angel Operations Headquarters\Academy Main Dining Hall Interior\Classroom Block B Classroom\Classroom Block B Classroom\Classroom Block A Empty Classroom response:	Academy Main Dining Hall Interior
context: TS\Mazui presents\Anti - Angel Operations Headquarters\Academy Main Dining Hall Interior\Classroom Block B Classroom\Classroom Block B Classroom\Classroom Block A Empty Classroom\Academy Main Dining Hall Interior response:	Grounds Gym Storage Room
context: Mazui presents\Anti - Angel Operations Headquarters\Academy Main Dining Hall Interior\Classroom Block B Classroom\Classroom Block B Classroom\Classroom Block A Empty Classroom\Academy Main Dining Hall Interior\Grounds Gym Storage Room response:	Grounds
context: Anti - Angel Operations Headquarters\Academy Main Dining Hall Interior\Classroom Block B Classroom\Classroom Block B Classroom\Classroom Block A Empty Classroom\Academy Main Dining Hall Interior\Grounds Gym Storage Room\Grounds response:	Relay
context: Academy Main Dining Hall Interior\Classroom Block B Classroom\Classroom Block B Classroom\Classroom Block A Empty Classroom\Academy Main Dining Hall Interior\Grounds Gym Storage Room\Grounds\Relay response:	Relay
context: Classroom Block B Classroom\Classroom Block B Classroom\Classroom Block A Empty Classroom\Academy Main Dining Hall Interior\Grounds Gym Storage Room\Grounds\Relay\Relay response:	Race
context: Classroom Block B Classroom\Classroom Block A Empty Classroom\Academy Main Dining Hall Interior\Grounds Gym Storage Room\Grounds\Relay\Relay\Race response:	Race
context: Classroom Block A Empty Classroom\Academy Main Dining Hall Interior\Grounds Gym Storage Room\Grounds\Relay\Relay\Race\Race response:	Pole
context: Academy Main Dining Hall Interior\Grounds Gym Storage Room\Grounds\Relay\Relay\Race\Race\Pole response:	Toppling
context: Grounds Gym Storage Room\Grounds\Relay\Relay\Race\Race\Pole\Toppling response:	Toppling
context: Grounds\Relay\Relay\Race\Race\Pole\Toppling\Toppling response:	Ball
context: Relay\Relay\Race\Race\Pole\Toppling\Toppling\Ball response:	Ball
context: Relay\Race\Race\Pole\Toppling\Toppling\Ball\Ball response:	Tossing
context: Race\Race\Pole\Toppling\Toppling\Ball\Ball\Tossing response:	Tossing
context: Race\Pole\Toppling\Toppling\Ball\Ball\Tossing\Tossing response:	Group
context: Pole\Toppling\Toppling\Ball\Ball\Tossing\Tossing\Group response:	Group
context: Toppling\Toppling\Ball\Ball\Tossing\Tossing\Group\Group response:	Gymnastics
context: Toppling\Ball\Ball\Tossing\Tossing\Group\Group\Gymnastics response:	Gymnastics
context: Ball\Ball\Tossing\Tossing\Group\Group\Gymnastics\Gymnastics response:	Bread Eating Race
context: Ball\Tossing\Tossing\Group\Group\Gymnastics\Gymnastics\Bread Eating Race response:	Bread Eating Race
context: Tossing\Tossing\Group\Group\Gymnastics\Gymnastics\Bread Eating Race\Bread Eating Race response:	Cheerleading
context: Tossing\Group\Group\Gymnastics\Gymnastics\Bread Eating Race\Bread Eating Race\Cheerleading response:	Competition
context: Group\Group\Gymnastics\Gymnastics\Bread Eating Race\Bread Eating Race\Cheerleading\Competition response:	Cheerleading Competition!
context: Group\Gymnastics\Gymnastics\Bread Eating Race\Bread Eating Race\Cheerleading\Competition\Cheerleading Competition! response:	Cheerleading Competition!
context: Gymnastics\Gymnastics\Bread Eating Race\Bread Eating Race\Cheerleading\Competition\Cheerleading Competition!\Cheerleading Competition! response:	Classroom Block A Student Council Room Front
context: Gymnastics\Bread Eating Race\Bread Eating Race\Cheerleading\Competition\Cheerleading Competition!\Cheerleading Competition!\Classroom Block A Student Council Room Front response:	Medical Building (Closed)
context: Bread Eating Race\Bread Eating Race\Cheerleading\Competition\Cheerleading Competition!\Cheerleading Competition!\Classroom Block A Student Council Room Front\Medical Building (Closed) response:	Medical Building Basement Restricted Area
context: Bread Eating Race\Cheerleading\Competition\Cheerleading Competition!\Cheerleading Competition!\Classroom Block A Student Council Room Front\Medical Building (Closed)\Medical Building Basement Restricted Area response:	Gardening Club
context: Cheerleading\Competition\Cheerleading Competition!\Cheerleading Competition!\Classroom Block A Student Council Room Front\Medical Building (Closed)\Medical Building Basement Restricted Area\Gardening Club response:	One week later
