context: And now for the final exercise! response:	Swing your arms out wide,
context: We are outnumbered. With this many, our situation is dire.\Yeah, I guess it would be.\In that case... There!\Now!\Rem, I don't know the way!\Straight ahead.\Once we cross the barrier, the battle will end.\Run toward the village bonfire! response:	Got it!
context: Yeah, I guess it would be.\In that case... There!\Now!\Rem, I don't know the way!\Straight ahead.\Once we cross the barrier, the battle will end.\Run toward the village bonfire!\Got it! response:	Rem, I see light!
context: In that case... There!\Now!\Rem, I don't know the way!\Straight ahead.\Once we cross the barrier, the battle will end.\Run toward the village bonfire!\Got it!\Rem, I see light! response:	We're almost to the barrier!
context: Now!\Rem, I don't know the way!\Straight ahead.\Once we cross the barrier, the battle will end.\Run toward the village bonfire!\Got it!\Rem, I see light!\We're almost to the barrier! response:	Rem?
context: Rem, I don't know the way!\Straight ahead.\Once we cross the barrier, the battle will end.\Run toward the village bonfire!\Got it!\Rem, I see light!\We're almost to the barrier!\Rem? response:	Damn it...
context: Straight ahead.\Once we cross the barrier, the battle will end.\Run toward the village bonfire!\Got it!\Rem, I see light!\We're almost to the barrier!\Rem?\Damn it... response:	Mabeast! Mabeast! Mabeast! Mabeast!
context: Once we cross the barrier, the battle will end.\Run toward the village bonfire!\Got it!\Rem, I see light!\We're almost to the barrier!\Rem?\Damn it...\Mabeast! Mabeast! Mabeast! Mabeast! response:	Witch!
context: Run toward the village bonfire!\Got it!\Rem, I see light!\We're almost to the barrier!\Rem?\Damn it...\Mabeast! Mabeast! Mabeast! Mabeast!\Witch! response:	Mabeast! Mabeast! Mabeast! Mabeast!
context: Got it!\Rem, I see light!\We're almost to the barrier!\Rem?\Damn it...\Mabeast! Mabeast! Mabeast! Mabeast!\Witch!\Mabeast! Mabeast! Mabeast! Mabeast! response:	She's a demon...
context: Rem, I see light!\We're almost to the barrier!\Rem?\Damn it...\Mabeast! Mabeast! Mabeast! Mabeast!\Witch!\Mabeast! Mabeast! Mabeast! Mabeast!\She's a demon... response:	Subaru-kun!
context: We're almost to the barrier!\Rem?\Damn it...\Mabeast! Mabeast! Mabeast! Mabeast!\Witch!\Mabeast! Mabeast! Mabeast! Mabeast!\She's a demon...\Subaru-kun! response:	Don't die...
context: Rem?\Damn it...\Mabeast! Mabeast! Mabeast! Mabeast!\Witch!\Mabeast! Mabeast! Mabeast! Mabeast!\She's a demon...\Subaru-kun!\Don't die... response:	Don't die! Don't die!
context: Damn it...\Mabeast! Mabeast! Mabeast! Mabeast!\Witch!\Mabeast! Mabeast! Mabeast! Mabeast!\She's a demon...\Subaru-kun!\Don't die...\Don't die! Don't die! response:	Don't die!
context: Mabeast! Mabeast! Mabeast! Mabeast!\Witch!\Mabeast! Mabeast! Mabeast! Mabeast!\She's a demon...\Subaru-kun!\Don't die...\Don't die! Don't die!\Don't die! response:	The Meaning of Courage
