context: My Mom and my sisters moved overseas because of Dad's job... response:	However, my first time living alone only lasted for a few days.
context: Who dumped whom?\Quit it! I'm saying we are not shacking up!\How is that different?\Yes, we are living together...\concerned about leaving Rikka on her own.\It's been almost a week now, and nothing of the sort is going on.\Of what sort?\Beat it, all of you! response:	How about it?
context: Quit it! I'm saying we are not shacking up!\How is that different?\Yes, we are living together...\concerned about leaving Rikka on her own.\It's been almost a week now, and nothing of the sort is going on.\Of what sort?\Beat it, all of you!\How about it? response:	Our contract remains unaltered.
context: How is that different?\Yes, we are living together...\concerned about leaving Rikka on her own.\It's been almost a week now, and nothing of the sort is going on.\Of what sort?\Beat it, all of you!\How about it?\Our contract remains unaltered. response:	In other words, we're not living together...
context: Yes, we are living together...\concerned about leaving Rikka on her own.\It's been almost a week now, and nothing of the sort is going on.\Of what sort?\Beat it, all of you!\How about it?\Our contract remains unaltered.\In other words, we're not living together... response:	It's a home share situation. You know!
context: concerned about leaving Rikka on her own.\It's been almost a week now, and nothing of the sort is going on.\Of what sort?\Beat it, all of you!\How about it?\Our contract remains unaltered.\In other words, we're not living together...\It's a home share situation. You know! response:	Ow!
context: It's been almost a week now, and nothing of the sort is going on.\Of what sort?\Beat it, all of you!\How about it?\Our contract remains unaltered.\In other words, we're not living together...\It's a home share situation. You know!\Ow! response:	Do you think that logic will fly by me?
context: Of what sort?\Beat it, all of you!\How about it?\Our contract remains unaltered.\In other words, we're not living together...\It's a home share situation. You know!\Ow!\Do you think that logic will fly by me? response:	Do you think I will permit that?
context: Beat it, all of you!\How about it?\Our contract remains unaltered.\In other words, we're not living together...\It's a home share situation. You know!\Ow!\Do you think that logic will fly by me?\Do you think I will permit that? response:	You are a boy!
context: How about it?\Our contract remains unaltered.\In other words, we're not living together...\It's a home share situation. You know!\Ow!\Do you think that logic will fly by me?\Do you think I will permit that?\You are a boy! response:	My magazine!
context: Our contract remains unaltered.\In other words, we're not living together...\It's a home share situation. You know!\Ow!\Do you think that logic will fly by me?\Do you think I will permit that?\You are a boy!\My magazine! response:	No matter what, you cannot live together.
context: In other words, we're not living together...\It's a home share situation. You know!\Ow!\Do you think that logic will fly by me?\Do you think I will permit that?\You are a boy!\My magazine!\No matter what, you cannot live together. response:	I will find her an apartment. If you have a problem with that...
context: It's a home share situation. You know!\Ow!\Do you think that logic will fly by me?\Do you think I will permit that?\You are a boy!\My magazine!\No matter what, you cannot live together.\I will find her an apartment. If you have a problem with that... response:	Italy?
context: Ow!\Do you think that logic will fly by me?\Do you think I will permit that?\You are a boy!\My magazine!\No matter what, you cannot live together.\I will find her an apartment. If you have a problem with that...\Italy? response:	The magical society! The Cardinal!
context: Do you think that logic will fly by me?\Do you think I will permit that?\You are a boy!\My magazine!\No matter what, you cannot live together.\I will find her an apartment. If you have a problem with that...\Italy?\The magical society! The Cardinal! response:	Am I to be imprisoned in such a place?
context: Do you think I will permit that?\You are a boy!\My magazine!\No matter what, you cannot live together.\I will find her an apartment. If you have a problem with that...\Italy?\The magical society! The Cardinal!\Am I to be imprisoned in such a place? response:	Italy is home to the occult!
context: You are a boy!\My magazine!\No matter what, you cannot live together.\I will find her an apartment. If you have a problem with that...\Italy?\The magical society! The Cardinal!\Am I to be imprisoned in such a place?\Italy is home to the occult! response:	The Vatican, Sixth Sense, I see dead people!
context: My magazine!\No matter what, you cannot live together.\I will find her an apartment. If you have a problem with that...\Italy?\The magical society! The Cardinal!\Am I to be imprisoned in such a place?\Italy is home to the occult!\The Vatican, Sixth Sense, I see dead people! response:	Home to the occult?
context: No matter what, you cannot live together.\I will find her an apartment. If you have a problem with that...\Italy?\The magical society! The Cardinal!\Am I to be imprisoned in such a place?\Italy is home to the occult!\The Vatican, Sixth Sense, I see dead people!\Home to the occult? response:	So, you want to go now?
context: I will find her an apartment. If you have a problem with that...\Italy?\The magical society! The Cardinal!\Am I to be imprisoned in such a place?\Italy is home to the occult!\The Vatican, Sixth Sense, I see dead people!\Home to the occult?\So, you want to go now? response:	Yes?
context: Italy?\The magical society! The Cardinal!\Am I to be imprisoned in such a place?\Italy is home to the occult!\The Vatican, Sixth Sense, I see dead people!\Home to the occult?\So, you want to go now?\Yes? response:	I'm home.
context: The magical society! The Cardinal!\Am I to be imprisoned in such a place?\Italy is home to the occult!\The Vatican, Sixth Sense, I see dead people!\Home to the occult?\So, you want to go now?\Yes?\I'm home. response:	Good evening.
context: Am I to be imprisoned in such a place?\Italy is home to the occult!\The Vatican, Sixth Sense, I see dead people!\Home to the occult?\So, you want to go now?\Yes?\I'm home.\Good evening. response:	Kuzuha, why are you here?
context: Italy is home to the occult!\The Vatican, Sixth Sense, I see dead people!\Home to the occult?\So, you want to go now?\Yes?\I'm home.\Good evening.\Kuzuha, why are you here? response:	I came home.
context: The Vatican, Sixth Sense, I see dead people!\Home to the occult?\So, you want to go now?\Yes?\I'm home.\Good evening.\Kuzuha, why are you here?\I came home. response:	Surely you were told I was coming back for the new school term.
context: Home to the occult?\So, you want to go now?\Yes?\I'm home.\Good evening.\Kuzuha, why are you here?\I came home.\Surely you were told I was coming back for the new school term. response:	I was told? By who?
context: So, you want to go now?\Yes?\I'm home.\Good evening.\Kuzuha, why are you here?\I came home.\Surely you were told I was coming back for the new school term.\I was told? By who? response:	By Mom.
context: Yes?\I'm home.\Good evening.\Kuzuha, why are you here?\I came home.\Surely you were told I was coming back for the new school term.\I was told? By who?\By Mom. response:	Oops, I forgot!
context: I'm home.\Good evening.\Kuzuha, why are you here?\I came home.\Surely you were told I was coming back for the new school term.\I was told? By who?\By Mom.\Oops, I forgot! response:	Rikka has been living here?
context: Good evening.\Kuzuha, why are you here?\I came home.\Surely you were told I was coming back for the new school term.\I was told? By who?\By Mom.\Oops, I forgot!\Rikka has been living here? response:	What's so bad about that?
context: Kuzuha, why are you here?\I came home.\Surely you were told I was coming back for the new school term.\I was told? By who?\By Mom.\Oops, I forgot!\Rikka has been living here?\What's so bad about that? response:	Huh?
context: I came home.\Surely you were told I was coming back for the new school term.\I was told? By who?\By Mom.\Oops, I forgot!\Rikka has been living here?\What's so bad about that?\Huh? response:	After all, she doesn't have her own place, right?
context: Surely you were told I was coming back for the new school term.\I was told? By who?\By Mom.\Oops, I forgot!\Rikka has been living here?\What's so bad about that?\Huh?\After all, she doesn't have her own place, right? response:	We have plenty of rooms here.
context: I was told? By who?\By Mom.\Oops, I forgot!\Rikka has been living here?\What's so bad about that?\Huh?\After all, she doesn't have her own place, right?\We have plenty of rooms here. response:	You're really sure?
context: By Mom.\Oops, I forgot!\Rikka has been living here?\What's so bad about that?\Huh?\After all, she doesn't have her own place, right?\We have plenty of rooms here.\You're really sure? response:	To be honest, I was also concerned about leaving Rikka on her own.
context: Oops, I forgot!\Rikka has been living here?\What's so bad about that?\Huh?\After all, she doesn't have her own place, right?\We have plenty of rooms here.\You're really sure?\To be honest, I was also concerned about leaving Rikka on her own. response:	If you would act as supervisor, it should be okay.
context: Rikka has been living here?\What's so bad about that?\Huh?\After all, she doesn't have her own place, right?\We have plenty of rooms here.\You're really sure?\To be honest, I was also concerned about leaving Rikka on her own.\If you would act as supervisor, it should be okay. response:	I'm sorry. Please let her stay here just a little longer.
context: What's so bad about that?\Huh?\After all, she doesn't have her own place, right?\We have plenty of rooms here.\You're really sure?\To be honest, I was also concerned about leaving Rikka on her own.\If you would act as supervisor, it should be okay.\I'm sorry. Please let her stay here just a little longer. response:	Sure.
context: Huh?\After all, she doesn't have her own place, right?\We have plenty of rooms here.\You're really sure?\To be honest, I was also concerned about leaving Rikka on her own.\If you would act as supervisor, it should be okay.\I'm sorry. Please let her stay here just a little longer.\Sure. response:	Understood. You can count on me.
context: After all, she doesn't have her own place, right?\We have plenty of rooms here.\You're really sure?\To be honest, I was also concerned about leaving Rikka on her own.\If you would act as supervisor, it should be okay.\I'm sorry. Please let her stay here just a little longer.\Sure.\Understood. You can count on me. response:	Hurry up and find your own place.
context: We have plenty of rooms here.\You're really sure?\To be honest, I was also concerned about leaving Rikka on her own.\If you would act as supervisor, it should be okay.\I'm sorry. Please let her stay here just a little longer.\Sure.\Understood. You can count on me.\Hurry up and find your own place. response:	And so, my life alone with Rikka came to an abrupt end...
context: You're really sure?\To be honest, I was also concerned about leaving Rikka on her own.\If you would act as supervisor, it should be okay.\I'm sorry. Please let her stay here just a little longer.\Sure.\Understood. You can count on me.\Hurry up and find your own place.\And so, my life alone with Rikka came to an abrupt end... response:	TOGASHI MAIL FOR NAKANISHI HERE
context: To be honest, I was also concerned about leaving Rikka on her own.\If you would act as supervisor, it should be okay.\I'm sorry. Please let her stay here just a little longer.\Sure.\Understood. You can count on me.\Hurry up and find your own place.\And so, my life alone with Rikka came to an abrupt end...\TOGASHI MAIL FOR NAKANISHI HERE response:	Yuta's notebook. I forgot to return it to him.
context: If you would act as supervisor, it should be okay.\I'm sorry. Please let her stay here just a little longer.\Sure.\Understood. You can count on me.\Hurry up and find your own place.\And so, my life alone with Rikka came to an abrupt end...\TOGASHI MAIL FOR NAKANISHI HERE\Yuta's notebook. I forgot to return it to him. response:	Rikka?
context: I'm sorry. Please let her stay here just a little longer.\Sure.\Understood. You can count on me.\Hurry up and find your own place.\And so, my life alone with Rikka came to an abrupt end...\TOGASHI MAIL FOR NAKANISHI HERE\Yuta's notebook. I forgot to return it to him.\Rikka? response:	Not again.
context: Sure.\Understood. You can count on me.\Hurry up and find your own place.\And so, my life alone with Rikka came to an abrupt end...\TOGASHI MAIL FOR NAKANISHI HERE\Yuta's notebook. I forgot to return it to him.\Rikka?\Not again. response:	What the-?
context: Understood. You can count on me.\Hurry up and find your own place.\And so, my life alone with Rikka came to an abrupt end...\TOGASHI MAIL FOR NAKANISHI HERE\Yuta's notebook. I forgot to return it to him.\Rikka?\Not again.\What the-? response:	Did someone new move in?
context: Hurry up and find your own place.\And so, my life alone with Rikka came to an abrupt end...\TOGASHI MAIL FOR NAKANISHI HERE\Yuta's notebook. I forgot to return it to him.\Rikka?\Not again.\What the-?\Did someone new move in? response:	She never was able to get her apartment back.
context: And so, my life alone with Rikka came to an abrupt end...\TOGASHI MAIL FOR NAKANISHI HERE\Yuta's notebook. I forgot to return it to him.\Rikka?\Not again.\What the-?\Did someone new move in?\She never was able to get her apartment back. response:	To Be Continued
