context: Whaaat? So lame! response:	Is that the end of Act 1?
context: You never said we'd have to fight something like this!\So anyway, that's the deal, more or less.\So I guess our victory isn't just a pipe dream.\Of course not! As if I was gunning for anything less from the start!\And I was able to nab some data on that young swordsman - our only red flag.\This was so incredible!\I mean, it's enough to make me drool!\The Tenorio Faction will have lost face with this failure... response:	And you've acquired this data without having to go after it yourself,
context: So anyway, that's the deal, more or less.\So I guess our victory isn't just a pipe dream.\Of course not! As if I was gunning for anything less from the start!\And I was able to nab some data on that young swordsman - our only red flag.\This was so incredible!\I mean, it's enough to make me drool!\The Tenorio Faction will have lost face with this failure...\And you've acquired this data without having to go after it yourself, response:	so it's killing two birds with one stone, eh?
context: So I guess our victory isn't just a pipe dream.\Of course not! As if I was gunning for anything less from the start!\And I was able to nab some data on that young swordsman - our only red flag.\This was so incredible!\I mean, it's enough to make me drool!\The Tenorio Faction will have lost face with this failure...\And you've acquired this data without having to go after it yourself,\so it's killing two birds with one stone, eh? response:	Now then, Seidoukan Academy and everyone in Tenorio,
context: Of course not! As if I was gunning for anything less from the start!\And I was able to nab some data on that young swordsman - our only red flag.\This was so incredible!\I mean, it's enough to make me drool!\The Tenorio Faction will have lost face with this failure...\And you've acquired this data without having to go after it yourself,\so it's killing two birds with one stone, eh?\Now then, Seidoukan Academy and everyone in Tenorio, response:	I thank you for exerting yourselves in so many ways for my sake!
context: And I was able to nab some data on that young swordsman - our only red flag.\This was so incredible!\I mean, it's enough to make me drool!\The Tenorio Faction will have lost face with this failure...\And you've acquired this data without having to go after it yourself,\so it's killing two birds with one stone, eh?\Now then, Seidoukan Academy and everyone in Tenorio,\I thank you for exerting yourselves in so many ways for my sake! response:	And now, the curtain will go up for the main attraction.
context: This was so incredible!\I mean, it's enough to make me drool!\The Tenorio Faction will have lost face with this failure...\And you've acquired this data without having to go after it yourself,\so it's killing two birds with one stone, eh?\Now then, Seidoukan Academy and everyone in Tenorio,\I thank you for exerting yourselves in so many ways for my sake!\And now, the curtain will go up for the main attraction. response:	Please stay with us till the very end!
context: I mean, it's enough to make me drool!\The Tenorio Faction will have lost face with this failure...\And you've acquired this data without having to go after it yourself,\so it's killing two birds with one stone, eh?\Now then, Seidoukan Academy and everyone in Tenorio,\I thank you for exerting yourselves in so many ways for my sake!\And now, the curtain will go up for the main attraction.\Please stay with us till the very end! response:	Oh, is that you, Sasamiya-san?
context: The Tenorio Faction will have lost face with this failure...\And you've acquired this data without having to go after it yourself,\so it's killing two birds with one stone, eh?\Now then, Seidoukan Academy and everyone in Tenorio,\I thank you for exerting yourselves in so many ways for my sake!\And now, the curtain will go up for the main attraction.\Please stay with us till the very end!\Oh, is that you, Sasamiya-san? response:	You surprised me.
context: And you've acquired this data without having to go after it yourself,\so it's killing two birds with one stone, eh?\Now then, Seidoukan Academy and everyone in Tenorio,\I thank you for exerting yourselves in so many ways for my sake!\And now, the curtain will go up for the main attraction.\Please stay with us till the very end!\Oh, is that you, Sasamiya-san?\You surprised me. response:	Toudou?
context: so it's killing two birds with one stone, eh?\Now then, Seidoukan Academy and everyone in Tenorio,\I thank you for exerting yourselves in so many ways for my sake!\And now, the curtain will go up for the main attraction.\Please stay with us till the very end!\Oh, is that you, Sasamiya-san?\You surprised me.\Toudou? response:	Yes?
context: Now then, Seidoukan Academy and everyone in Tenorio,\I thank you for exerting yourselves in so many ways for my sake!\And now, the curtain will go up for the main attraction.\Please stay with us till the very end!\Oh, is that you, Sasamiya-san?\You surprised me.\Toudou?\Yes? response:	I heard that you're fighting for your father's sake. Is that true?
context: I thank you for exerting yourselves in so many ways for my sake!\And now, the curtain will go up for the main attraction.\Please stay with us till the very end!\Oh, is that you, Sasamiya-san?\You surprised me.\Toudou?\Yes?\I heard that you're fighting for your father's sake. Is that true? response:	Well, yes, it is.
context: And now, the curtain will go up for the main attraction.\Please stay with us till the very end!\Oh, is that you, Sasamiya-san?\You surprised me.\Toudou?\Yes?\I heard that you're fighting for your father's sake. Is that true?\Well, yes, it is. response:	I see. That's admirable.
context: Please stay with us till the very end!\Oh, is that you, Sasamiya-san?\You surprised me.\Toudou?\Yes?\I heard that you're fighting for your father's sake. Is that true?\Well, yes, it is.\I see. That's admirable. response:	Really admirable.
context: Oh, is that you, Sasamiya-san?\You surprised me.\Toudou?\Yes?\I heard that you're fighting for your father's sake. Is that true?\Well, yes, it is.\I see. That's admirable.\Really admirable. response:	Actually, so am I. I'm fighting for my father.
context: You surprised me.\Toudou?\Yes?\I heard that you're fighting for your father's sake. Is that true?\Well, yes, it is.\I see. That's admirable.\Really admirable.\Actually, so am I. I'm fighting for my father. response:	Is that right?
context: Toudou?\Yes?\I heard that you're fighting for your father's sake. Is that true?\Well, yes, it is.\I see. That's admirable.\Really admirable.\Actually, so am I. I'm fighting for my father.\Is that right? response:	Which brings me to my proposal...
context: Yes?\I heard that you're fighting for your father's sake. Is that true?\Well, yes, it is.\I see. That's admirable.\Really admirable.\Actually, so am I. I'm fighting for my father.\Is that right?\Which brings me to my proposal... response:	P-Proposal?
context: I heard that you're fighting for your father's sake. Is that true?\Well, yes, it is.\I see. That's admirable.\Really admirable.\Actually, so am I. I'm fighting for my father.\Is that right?\Which brings me to my proposal...\P-Proposal? response:	Want to...
context: Well, yes, it is.\I see. That's admirable.\Really admirable.\Actually, so am I. I'm fighting for my father.\Is that right?\Which brings me to my proposal...\P-Proposal?\Want to... response:	team up with me?
context: I see. That's admirable.\Really admirable.\Actually, so am I. I'm fighting for my father.\Is that right?\Which brings me to my proposal...\P-Proposal?\Want to...\team up with me? response:	That's my Ayato!
context: Really admirable.\Actually, so am I. I'm fighting for my father.\Is that right?\Which brings me to my proposal...\P-Proposal?\Want to...\team up with me?\That's my Ayato! response:	Attaining the rank of 1 so soon after transferring in!
context: Actually, so am I. I'm fighting for my father.\Is that right?\Which brings me to my proposal...\P-Proposal?\Want to...\team up with me?\That's my Ayato!\Attaining the rank of 1 so soon after transferring in! response:	It's all according to plan.
context: Is that right?\Which brings me to my proposal...\P-Proposal?\Want to...\team up with me?\That's my Ayato!\Attaining the rank of 1 so soon after transferring in!\It's all according to plan. response:	Episode 8 - A Holiday for Two, Part 2
context: Which brings me to my proposal...\P-Proposal?\Want to...\team up with me?\That's my Ayato!\Attaining the rank of 1 so soon after transferring in!\It's all according to plan.\Episode 8 - A Holiday for Two, Part 2 response:	Now, if only Ms. Toudou and Ms. Sasamiya would team up for real,
context: P-Proposal?\Want to...\team up with me?\That's my Ayato!\Attaining the rank of 1 so soon after transferring in!\It's all according to plan.\Episode 8 - A Holiday for Two, Part 2\Now, if only Ms. Toudou and Ms. Sasamiya would team up for real, response:	life would be beautiful!
