context: Did Suna say something? response:	From: Yukika-chan Yamato-san, Thank you for your help yesterday. Thanks to you and Takeo-kun, I was able to invite Sunakawa-kun to the zoo. Thank you for listening to me.
context: though I couldn't talk to him at all...\Still, I have a lot of happy memories!\His world and mine overlapped.\I'm glad I told him how I felt!\That hurt.\Sorry.\I'm fragile.\I'm a weakling. response:	I'd die easily...
context: Still, I have a lot of happy memories!\His world and mine overlapped.\I'm glad I told him how I felt!\That hurt.\Sorry.\I'm fragile.\I'm a weakling.\I'd die easily... response:	My bad.
context: His world and mine overlapped.\I'm glad I told him how I felt!\That hurt.\Sorry.\I'm fragile.\I'm a weakling.\I'd die easily...\My bad. response:	I wanted to be like you, Takeo-kun.
context: I'm glad I told him how I felt!\That hurt.\Sorry.\I'm fragile.\I'm a weakling.\I'd die easily...\My bad.\I wanted to be like you, Takeo-kun. response:	Huh?
context: That hurt.\Sorry.\I'm fragile.\I'm a weakling.\I'd die easily...\My bad.\I wanted to be like you, Takeo-kun.\Huh? response:	He loves you, you know.
context: Sorry.\I'm fragile.\I'm a weakling.\I'd die easily...\My bad.\I wanted to be like you, Takeo-kun.\Huh?\He loves you, you know. response:	Huh?
context: I'm fragile.\I'm a weakling.\I'd die easily...\My bad.\I wanted to be like you, Takeo-kun.\Huh?\He loves you, you know.\Huh? response:	When he's with you, Sunakawa-kun laughs out loud.
context: I'm a weakling.\I'd die easily...\My bad.\I wanted to be like you, Takeo-kun.\Huh?\He loves you, you know.\Huh?\When he's with you, Sunakawa-kun laughs out loud. response:	I like how he laughs when he's with you the most.
context: I'd die easily...\My bad.\I wanted to be like you, Takeo-kun.\Huh?\He loves you, you know.\Huh?\When he's with you, Sunakawa-kun laughs out loud.\I like how he laughs when he's with you the most. response:	But I can't just jump into a river like you...
context: My bad.\I wanted to be like you, Takeo-kun.\Huh?\He loves you, you know.\Huh?\When he's with you, Sunakawa-kun laughs out loud.\I like how he laughs when he's with you the most.\But I can't just jump into a river like you... response:	I can't write letters like you, either.
context: I wanted to be like you, Takeo-kun.\Huh?\He loves you, you know.\Huh?\When he's with you, Sunakawa-kun laughs out loud.\I like how he laughs when he's with you the most.\But I can't just jump into a river like you...\I can't write letters like you, either. response:	I like you, too, Takeo-kun.
context: Huh?\He loves you, you know.\Huh?\When he's with you, Sunakawa-kun laughs out loud.\I like how he laughs when he's with you the most.\But I can't just jump into a river like you...\I can't write letters like you, either.\I like you, too, Takeo-kun. response:	Though in a completely different way from how I like Sunakawa-kun, of course.
context: He loves you, you know.\Huh?\When he's with you, Sunakawa-kun laughs out loud.\I like how he laughs when he's with you the most.\But I can't just jump into a river like you...\I can't write letters like you, either.\I like you, too, Takeo-kun.\Though in a completely different way from how I like Sunakawa-kun, of course. response:	Were you able to tell Suna everything you wanted to?
context: Huh?\When he's with you, Sunakawa-kun laughs out loud.\I like how he laughs when he's with you the most.\But I can't just jump into a river like you...\I can't write letters like you, either.\I like you, too, Takeo-kun.\Though in a completely different way from how I like Sunakawa-kun, of course.\Were you able to tell Suna everything you wanted to? response:	Yes.
context: When he's with you, Sunakawa-kun laughs out loud.\I like how he laughs when he's with you the most.\But I can't just jump into a river like you...\I can't write letters like you, either.\I like you, too, Takeo-kun.\Though in a completely different way from how I like Sunakawa-kun, of course.\Were you able to tell Suna everything you wanted to?\Yes. response:	I don't need anything in return, so please like me.
context: I like how he laughs when he's with you the most.\But I can't just jump into a river like you...\I can't write letters like you, either.\I like you, too, Takeo-kun.\Though in a completely different way from how I like Sunakawa-kun, of course.\Were you able to tell Suna everything you wanted to?\Yes.\I don't need anything in return, so please like me. response:	I told him everything.
context: But I can't just jump into a river like you...\I can't write letters like you, either.\I like you, too, Takeo-kun.\Though in a completely different way from how I like Sunakawa-kun, of course.\Were you able to tell Suna everything you wanted to?\Yes.\I don't need anything in return, so please like me.\I told him everything. response:	I've been telling him for the last ten years.
context: I can't write letters like you, either.\I like you, too, Takeo-kun.\Though in a completely different way from how I like Sunakawa-kun, of course.\Were you able to tell Suna everything you wanted to?\Yes.\I don't need anything in return, so please like me.\I told him everything.\I've been telling him for the last ten years. response:	I don't need anything in return,
context: I like you, too, Takeo-kun.\Though in a completely different way from how I like Sunakawa-kun, of course.\Were you able to tell Suna everything you wanted to?\Yes.\I don't need anything in return, so please like me.\I told him everything.\I've been telling him for the last ten years.\I don't need anything in return, response:	so I want him to like me.
context: Though in a completely different way from how I like Sunakawa-kun, of course.\Were you able to tell Suna everything you wanted to?\Yes.\I don't need anything in return, so please like me.\I told him everything.\I've been telling him for the last ten years.\I don't need anything in return,\so I want him to like me. response:	That's all.
context: Were you able to tell Suna everything you wanted to?\Yes.\I don't need anything in return, so please like me.\I told him everything.\I've been telling him for the last ten years.\I don't need anything in return,\so I want him to like me.\That's all. response:	But I guess that was the most difficult thing to ask.
context: Yes.\I don't need anything in return, so please like me.\I told him everything.\I've been telling him for the last ten years.\I don't need anything in return,\so I want him to like me.\That's all.\But I guess that was the most difficult thing to ask. response:	She's right.
context: I don't need anything in return, so please like me.\I told him everything.\I've been telling him for the last ten years.\I don't need anything in return,\so I want him to like me.\That's all.\But I guess that was the most difficult thing to ask.\She's right. response:	If someone you like returns the feeling, you don't need anything.
context: I told him everything.\I've been telling him for the last ten years.\I don't need anything in return,\so I want him to like me.\That's all.\But I guess that was the most difficult thing to ask.\She's right.\If someone you like returns the feeling, you don't need anything. response:	I want Sunakawa-kun to date a really nice girl,
context: I've been telling him for the last ten years.\I don't need anything in return,\so I want him to like me.\That's all.\But I guess that was the most difficult thing to ask.\She's right.\If someone you like returns the feeling, you don't need anything.\I want Sunakawa-kun to date a really nice girl, response:	who's really kind and cute, and likes Sunakawa-kun even more than I do!
context: I don't need anything in return,\so I want him to like me.\That's all.\But I guess that was the most difficult thing to ask.\She's right.\If someone you like returns the feeling, you don't need anything.\I want Sunakawa-kun to date a really nice girl,\who's really kind and cute, and likes Sunakawa-kun even more than I do! response:	I want Sunakawa-kun to like someone and to date that person!
context: so I want him to like me.\That's all.\But I guess that was the most difficult thing to ask.\She's right.\If someone you like returns the feeling, you don't need anything.\I want Sunakawa-kun to date a really nice girl,\who's really kind and cute, and likes Sunakawa-kun even more than I do!\I want Sunakawa-kun to like someone and to date that person! response:	Right.
context: That's all.\But I guess that was the most difficult thing to ask.\She's right.\If someone you like returns the feeling, you don't need anything.\I want Sunakawa-kun to date a really nice girl,\who's really kind and cute, and likes Sunakawa-kun even more than I do!\I want Sunakawa-kun to like someone and to date that person!\Right. response:	I'll walk home with Yukika-chan.
context: But I guess that was the most difficult thing to ask.\She's right.\If someone you like returns the feeling, you don't need anything.\I want Sunakawa-kun to date a really nice girl,\who's really kind and cute, and likes Sunakawa-kun even more than I do!\I want Sunakawa-kun to like someone and to date that person!\Right.\I'll walk home with Yukika-chan. response:	You had curry today?
context: She's right.\If someone you like returns the feeling, you don't need anything.\I want Sunakawa-kun to date a really nice girl,\who's really kind and cute, and likes Sunakawa-kun even more than I do!\I want Sunakawa-kun to like someone and to date that person!\Right.\I'll walk home with Yukika-chan.\You had curry today? response:	Yeah.
context: If someone you like returns the feeling, you don't need anything.\I want Sunakawa-kun to date a really nice girl,\who's really kind and cute, and likes Sunakawa-kun even more than I do!\I want Sunakawa-kun to like someone and to date that person!\Right.\I'll walk home with Yukika-chan.\You had curry today?\Yeah. response:	Me, too.
context: I want Sunakawa-kun to date a really nice girl,\who's really kind and cute, and likes Sunakawa-kun even more than I do!\I want Sunakawa-kun to like someone and to date that person!\Right.\I'll walk home with Yukika-chan.\You had curry today?\Yeah.\Me, too. response:	Huh.
context: who's really kind and cute, and likes Sunakawa-kun even more than I do!\I want Sunakawa-kun to like someone and to date that person!\Right.\I'll walk home with Yukika-chan.\You had curry today?\Yeah.\Me, too.\Huh. response:	When Amami-san...
context: I want Sunakawa-kun to like someone and to date that person!\Right.\I'll walk home with Yukika-chan.\You had curry today?\Yeah.\Me, too.\Huh.\When Amami-san... response:	I'm sorry I took it the wrong way at first.
context: Right.\I'll walk home with Yukika-chan.\You had curry today?\Yeah.\Me, too.\Huh.\When Amami-san...\I'm sorry I took it the wrong way at first. response:	When she apologized to you at the zoo,
context: I'll walk home with Yukika-chan.\You had curry today?\Yeah.\Me, too.\Huh.\When Amami-san...\I'm sorry I took it the wrong way at first.\When she apologized to you at the zoo, response:	I thought she was a nice person.
context: You had curry today?\Yeah.\Me, too.\Huh.\When Amami-san...\I'm sorry I took it the wrong way at first.\When she apologized to you at the zoo,\I thought she was a nice person. response:	I see.
context: Yeah.\Me, too.\Huh.\When Amami-san...\I'm sorry I took it the wrong way at first.\When she apologized to you at the zoo,\I thought she was a nice person.\I see. response:	I wonder why she apologized.
context: Me, too.\Huh.\When Amami-san...\I'm sorry I took it the wrong way at first.\When she apologized to you at the zoo,\I thought she was a nice person.\I see.\I wonder why she apologized. response:	I still don't get it
context: Huh.\When Amami-san...\I'm sorry I took it the wrong way at first.\When she apologized to you at the zoo,\I thought she was a nice person.\I see.\I wonder why she apologized.\I still don't get it response:	Suna, do you like me?
context: When Amami-san...\I'm sorry I took it the wrong way at first.\When she apologized to you at the zoo,\I thought she was a nice person.\I see.\I wonder why she apologized.\I still don't get it\Suna, do you like me? response:	Where'd that come from?
context: I'm sorry I took it the wrong way at first.\When she apologized to you at the zoo,\I thought she was a nice person.\I see.\I wonder why she apologized.\I still don't get it\Suna, do you like me?\Where'd that come from? response:	It's what Yukika-chan said.
context: When she apologized to you at the zoo,\I thought she was a nice person.\I see.\I wonder why she apologized.\I still don't get it\Suna, do you like me?\Where'd that come from?\It's what Yukika-chan said. response:	Does anyone not like you?
context: I thought she was a nice person.\I see.\I wonder why she apologized.\I still don't get it\Suna, do you like me?\Where'd that come from?\It's what Yukika-chan said.\Does anyone not like you? response:	Suna!
context: I see.\I wonder why she apologized.\I still don't get it\Suna, do you like me?\Where'd that come from?\It's what Yukika-chan said.\Does anyone not like you?\Suna! response:	I hope you find someone you like!
context: I wonder why she apologized.\I still don't get it\Suna, do you like me?\Where'd that come from?\It's what Yukika-chan said.\Does anyone not like you?\Suna!\I hope you find someone you like! response:	Well, I'm having a great enough time as is.
context: I still don't get it\Suna, do you like me?\Where'd that come from?\It's what Yukika-chan said.\Does anyone not like you?\Suna!\I hope you find someone you like!\Well, I'm having a great enough time as is. response:	Sometimes, you end up in tears after liking someone.
context: Suna, do you like me?\Where'd that come from?\It's what Yukika-chan said.\Does anyone not like you?\Suna!\I hope you find someone you like!\Well, I'm having a great enough time as is.\Sometimes, you end up in tears after liking someone. response:	The bird's name is the Bali myna. Amami Yukika
context: Where'd that come from?\It's what Yukika-chan said.\Does anyone not like you?\Suna!\I hope you find someone you like!\Well, I'm having a great enough time as is.\Sometimes, you end up in tears after liking someone.\The bird's name is the Bali myna. Amami Yukika response:	But liking someone is still a good thing.
context: It's what Yukika-chan said.\Does anyone not like you?\Suna!\I hope you find someone you like!\Well, I'm having a great enough time as is.\Sometimes, you end up in tears after liking someone.\The bird's name is the Bali myna. Amami Yukika\But liking someone is still a good thing. response:	My Spring Break
context: Does anyone not like you?\Suna!\I hope you find someone you like!\Well, I'm having a great enough time as is.\Sometimes, you end up in tears after liking someone.\The bird's name is the Bali myna. Amami Yukika\But liking someone is still a good thing.\My Spring Break response:	Next time: My Spring Break.
