context: There's so much I need to talk about. response:	About her.
context: Yep, you bet.\Because you care\about studying a lot, for some reason, right?\If it's something you care about,\it's something I care about.\I see.\So that's what it means to treat someone with care.\Which means... response:	I'm being cared about right now?
context: Because you care\about studying a lot, for some reason, right?\If it's something you care about,\it's something I care about.\I see.\So that's what it means to treat someone with care.\Which means...\I'm being cared about right now? response:	What is it? Are you done?
context: about studying a lot, for some reason, right?\If it's something you care about,\it's something I care about.\I see.\So that's what it means to treat someone with care.\Which means...\I'm being cared about right now?\What is it? Are you done? response:	A-Are you hungry?
context: If it's something you care about,\it's something I care about.\I see.\So that's what it means to treat someone with care.\Which means...\I'm being cared about right now?\What is it? Are you done?\A-Are you hungry? response:	Monja! Monja! Monja!
context: it's something I care about.\I see.\So that's what it means to treat someone with care.\Which means...\I'm being cared about right now?\What is it? Are you done?\A-Are you hungry?\Monja! Monja! Monja! response:	You must be really hungry if you stopped studying.
context: I see.\So that's what it means to treat someone with care.\Which means...\I'm being cared about right now?\What is it? Are you done?\A-Are you hungry?\Monja! Monja! Monja!\You must be really hungry if you stopped studying. response:	Oh. Well...
context: So that's what it means to treat someone with care.\Which means...\I'm being cared about right now?\What is it? Are you done?\A-Are you hungry?\Monja! Monja! Monja!\You must be really hungry if you stopped studying.\Oh. Well... response:	I wasn't getting any studying done.
context: Which means...\I'm being cared about right now?\What is it? Are you done?\A-Are you hungry?\Monja! Monja! Monja!\You must be really hungry if you stopped studying.\Oh. Well...\I wasn't getting any studying done. response:	Hmm?
context: I'm being cared about right now?\What is it? Are you done?\A-Are you hungry?\Monja! Monja! Monja!\You must be really hungry if you stopped studying.\Oh. Well...\I wasn't getting any studying done.\Hmm? response:	Plus, you look happy.
context: What is it? Are you done?\A-Are you hungry?\Monja! Monja! Monja!\You must be really hungry if you stopped studying.\Oh. Well...\I wasn't getting any studying done.\Hmm?\Plus, you look happy. response:	What?
context: A-Are you hungry?\Monja! Monja! Monja!\You must be really hungry if you stopped studying.\Oh. Well...\I wasn't getting any studying done.\Hmm?\Plus, you look happy.\What? response:	Huh?
context: Monja! Monja! Monja!\You must be really hungry if you stopped studying.\Oh. Well...\I wasn't getting any studying done.\Hmm?\Plus, you look happy.\What?\Huh? response:	My heart isn't pounding.
context: You must be really hungry if you stopped studying.\Oh. Well...\I wasn't getting any studying done.\Hmm?\Plus, you look happy.\What?\Huh?\My heart isn't pounding. response:	Huh?
context: Oh. Well...\I wasn't getting any studying done.\Hmm?\Plus, you look happy.\What?\Huh?\My heart isn't pounding.\Huh? response:	Why not?
context: I wasn't getting any studying done.\Hmm?\Plus, you look happy.\What?\Huh?\My heart isn't pounding.\Huh?\Why not? response:	So I've noticed that
context: Hmm?\Plus, you look happy.\What?\Huh?\My heart isn't pounding.\Huh?\Why not?\So I've noticed that response:	you don't make my heart flutter.
context: Plus, you look happy.\What?\Huh?\My heart isn't pounding.\Huh?\Why not?\So I've noticed that\you don't make my heart flutter. response:	Huh?
context: What?\Huh?\My heart isn't pounding.\Huh?\Why not?\So I've noticed that\you don't make my heart flutter.\Huh? response:	I wonder why.
context: Huh?\My heart isn't pounding.\Huh?\Why not?\So I've noticed that\you don't make my heart flutter.\Huh?\I wonder why. response:	My heart was jumping out of my chest before.
context: My heart isn't pounding.\Huh?\Why not?\So I've noticed that\you don't make my heart flutter.\Huh?\I wonder why.\My heart was jumping out of my chest before. response:	But I still love you.
context: Huh?\Why not?\So I've noticed that\you don't make my heart flutter.\Huh?\I wonder why.\My heart was jumping out of my chest before.\But I still love you. response:	Hey. Let's hurry up, Shizuku.
context: Why not?\So I've noticed that\you don't make my heart flutter.\Huh?\I wonder why.\My heart was jumping out of my chest before.\But I still love you.\Hey. Let's hurry up, Shizuku. response:	Huh?
context: So I've noticed that\you don't make my heart flutter.\Huh?\I wonder why.\My heart was jumping out of my chest before.\But I still love you.\Hey. Let's hurry up, Shizuku.\Huh? response:	Ooh, a rooster.
context: you don't make my heart flutter.\Huh?\I wonder why.\My heart was jumping out of my chest before.\But I still love you.\Hey. Let's hurry up, Shizuku.\Huh?\Ooh, a rooster. response:	Wait, are you a stray?
context: Huh?\I wonder why.\My heart was jumping out of my chest before.\But I still love you.\Hey. Let's hurry up, Shizuku.\Huh?\Ooh, a rooster.\Wait, are you a stray? response:	Well, you'll catch a cold if you stay out in the rain.
context: I wonder why.\My heart was jumping out of my chest before.\But I still love you.\Hey. Let's hurry up, Shizuku.\Huh?\Ooh, a rooster.\Wait, are you a stray?\Well, you'll catch a cold if you stay out in the rain. response:	Come in here.
context: My heart was jumping out of my chest before.\But I still love you.\Hey. Let's hurry up, Shizuku.\Huh?\Ooh, a rooster.\Wait, are you a stray?\Well, you'll catch a cold if you stay out in the rain.\Come in here. response:	You don't want to? I took a bath yesterday...
context: But I still love you.\Hey. Let's hurry up, Shizuku.\Huh?\Ooh, a rooster.\Wait, are you a stray?\Well, you'll catch a cold if you stay out in the rain.\Come in here.\You don't want to? I took a bath yesterday... response:	Next Episode
context: Hey. Let's hurry up, Shizuku.\Huh?\Ooh, a rooster.\Wait, are you a stray?\Well, you'll catch a cold if you stay out in the rain.\Come in here.\You don't want to? I took a bath yesterday...\Next Episode response:	Weird
context: Huh?\Ooh, a rooster.\Wait, are you a stray?\Well, you'll catch a cold if you stay out in the rain.\Come in here.\You don't want to? I took a bath yesterday...\Next Episode\Weird response:	Ow! Ow!
context: Ooh, a rooster.\Wait, are you a stray?\Well, you'll catch a cold if you stay out in the rain.\Come in here.\You don't want to? I took a bath yesterday...\Next Episode\Weird\Ow! Ow! response:	Watch the claws!
context: Wait, are you a stray?\Well, you'll catch a cold if you stay out in the rain.\Come in here.\You don't want to? I took a bath yesterday...\Next Episode\Weird\Ow! Ow!\Watch the claws! response:	That's a sensitive area!
