context: Coming all the way out here, it's no wonder it's cold. response:	We are pretty far from Clarines.
context: I would have tried to come up with a way for you to not be overworked.\It's not a problem you need to deal with by yourself, Shirayuki.\Even if it were, don't hide it again. Ever.\Yeah. Sorry, Zen.\Don't misunderstand, though.\Just because you're lying here like this\doesn't change the fact that we were all saved thanks to your hard work.\I didn't thank you properly. response:	I'm glad you were here, Shirayuki.
context: It's not a problem you need to deal with by yourself, Shirayuki.\Even if it were, don't hide it again. Ever.\Yeah. Sorry, Zen.\Don't misunderstand, though.\Just because you're lying here like this\doesn't change the fact that we were all saved thanks to your hard work.\I didn't thank you properly.\I'm glad you were here, Shirayuki. response:	For the soldiers...
context: Even if it were, don't hide it again. Ever.\Yeah. Sorry, Zen.\Don't misunderstand, though.\Just because you're lying here like this\doesn't change the fact that we were all saved thanks to your hard work.\I didn't thank you properly.\I'm glad you were here, Shirayuki.\For the soldiers... response:	And for me...
context: Yeah. Sorry, Zen.\Don't misunderstand, though.\Just because you're lying here like this\doesn't change the fact that we were all saved thanks to your hard work.\I didn't thank you properly.\I'm glad you were here, Shirayuki.\For the soldiers...\And for me... response:	This time, you were my driving force...
context: Don't misunderstand, though.\Just because you're lying here like this\doesn't change the fact that we were all saved thanks to your hard work.\I didn't thank you properly.\I'm glad you were here, Shirayuki.\For the soldiers...\And for me...\This time, you were my driving force... response:	To me, that's what you are, Zen.
context: Just because you're lying here like this\doesn't change the fact that we were all saved thanks to your hard work.\I didn't thank you properly.\I'm glad you were here, Shirayuki.\For the soldiers...\And for me...\This time, you were my driving force...\To me, that's what you are, Zen. response:	Ever since I met you, over and over...
context: doesn't change the fact that we were all saved thanks to your hard work.\I didn't thank you properly.\I'm glad you were here, Shirayuki.\For the soldiers...\And for me...\This time, you were my driving force...\To me, that's what you are, Zen.\Ever since I met you, over and over... response:	I'm counting on you to operate as usual from now on.
context: I didn't thank you properly.\I'm glad you were here, Shirayuki.\For the soldiers...\And for me...\This time, you were my driving force...\To me, that's what you are, Zen.\Ever since I met you, over and over...\I'm counting on you to operate as usual from now on. response:	Yes, sir!
context: I'm glad you were here, Shirayuki.\For the soldiers...\And for me...\This time, you were my driving force...\To me, that's what you are, Zen.\Ever since I met you, over and over...\I'm counting on you to operate as usual from now on.\Yes, sir! response:	Shirayuki, I'll write you letters!
context: For the soldiers...\And for me...\This time, you were my driving force...\To me, that's what you are, Zen.\Ever since I met you, over and over...\I'm counting on you to operate as usual from now on.\Yes, sir!\Shirayuki, I'll write you letters! response:	Thanks, I'll look forward to them.
context: And for me...\This time, you were my driving force...\To me, that's what you are, Zen.\Ever since I met you, over and over...\I'm counting on you to operate as usual from now on.\Yes, sir!\Shirayuki, I'll write you letters!\Thanks, I'll look forward to them. response:	Be careful! Thank you!
context: This time, you were my driving force...\To me, that's what you are, Zen.\Ever since I met you, over and over...\I'm counting on you to operate as usual from now on.\Yes, sir!\Shirayuki, I'll write you letters!\Thanks, I'll look forward to them.\Be careful! Thank you! response:	There is a lot that can be gained from being outside.
context: To me, that's what you are, Zen.\Ever since I met you, over and over...\I'm counting on you to operate as usual from now on.\Yes, sir!\Shirayuki, I'll write you letters!\Thanks, I'll look forward to them.\Be careful! Thank you!\There is a lot that can be gained from being outside. response:	This country we experience...
context: Ever since I met you, over and over...\I'm counting on you to operate as usual from now on.\Yes, sir!\Shirayuki, I'll write you letters!\Thanks, I'll look forward to them.\Be careful! Thank you!\There is a lot that can be gained from being outside.\This country we experience... response:	Lucky encounters with the people we meet...
context: I'm counting on you to operate as usual from now on.\Yes, sir!\Shirayuki, I'll write you letters!\Thanks, I'll look forward to them.\Be careful! Thank you!\There is a lot that can be gained from being outside.\This country we experience...\Lucky encounters with the people we meet... response:	And the feelings we come to know from them...
context: Yes, sir!\Shirayuki, I'll write you letters!\Thanks, I'll look forward to them.\Be careful! Thank you!\There is a lot that can be gained from being outside.\This country we experience...\Lucky encounters with the people we meet...\And the feelings we come to know from them... response:	They give us so many lights that never fade...
context: Shirayuki, I'll write you letters!\Thanks, I'll look forward to them.\Be careful! Thank you!\There is a lot that can be gained from being outside.\This country we experience...\Lucky encounters with the people we meet...\And the feelings we come to know from them...\They give us so many lights that never fade... response:	Hey, little brother.
context: Thanks, I'll look forward to them.\Be careful! Thank you!\There is a lot that can be gained from being outside.\This country we experience...\Lucky encounters with the people we meet...\And the feelings we come to know from them...\They give us so many lights that never fade...\Hey, little brother. response:	What's going on here?
context: Be careful! Thank you!\There is a lot that can be gained from being outside.\This country we experience...\Lucky encounters with the people we meet...\And the feelings we come to know from them...\They give us so many lights that never fade...\Hey, little brother.\What's going on here? response:	I cannot answer that.
context: There is a lot that can be gained from being outside.\This country we experience...\Lucky encounters with the people we meet...\And the feelings we come to know from them...\They give us so many lights that never fade...\Hey, little brother.\What's going on here?\I cannot answer that. response:	He's become a good-for-nothing prince.
context: This country we experience...\Lucky encounters with the people we meet...\And the feelings we come to know from them...\They give us so many lights that never fade...\Hey, little brother.\What's going on here?\I cannot answer that.\He's become a good-for-nothing prince. response:	Episode 6: The Back Full of Meaning
