context: I've been tall ever since I was young. response:	When we line up for morning assembly, I'm always at the end.
context: Yesterday, Tanaka-san seemed scared of me.\Suzuki-kun sure is a nice guy.\Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.\I-Is that so.\Yeah.\But...\Eh?!\It's probably because we're almost the same height, response:	Uuuh?!
context: Suzuki-kun sure is a nice guy.\Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.\I-Is that so.\Yeah.\But...\Eh?!\It's probably because we're almost the same height,\Uuuh?! response:	Fire!
context: Uh... she's just not comfortable around guys. It's not your fault, Suzuki-kun.\I-Is that so.\Yeah.\But...\Eh?!\It's probably because we're almost the same height,\Uuuh?!\Fire! response:	Ahh, of course.
context: I-Is that so.\Yeah.\But...\Eh?!\It's probably because we're almost the same height,\Uuuh?!\Fire!\Ahh, of course. response:	I see...
context: Yeah.\But...\Eh?!\It's probably because we're almost the same height,\Uuuh?!\Fire!\Ahh, of course.\I see... response:	So Tanaka-san doesn't hate me then.
context: But...\Eh?!\It's probably because we're almost the same height,\Uuuh?!\Fire!\Ahh, of course.\I see...\So Tanaka-san doesn't hate me then. response:	Yeah...
context: Eh?!\It's probably because we're almost the same height,\Uuuh?!\Fire!\Ahh, of course.\I see...\So Tanaka-san doesn't hate me then.\Yeah... response:	Huh?
context: It's probably because we're almost the same height,\Uuuh?!\Fire!\Ahh, of course.\I see...\So Tanaka-san doesn't hate me then.\Yeah...\Huh? response:	D-Don't tell me... you like Chiharu-chan?!
context: Uuuh?!\Fire!\Ahh, of course.\I see...\So Tanaka-san doesn't hate me then.\Yeah...\Huh?\D-Don't tell me... you like Chiharu-chan?! response:	N-No, what are you talking about?
context: Fire!\Ahh, of course.\I see...\So Tanaka-san doesn't hate me then.\Yeah...\Huh?\D-Don't tell me... you like Chiharu-chan?!\N-No, what are you talking about? response:	But your face...
context: Ahh, of course.\I see...\So Tanaka-san doesn't hate me then.\Yeah...\Huh?\D-Don't tell me... you like Chiharu-chan?!\N-No, what are you talking about?\But your face... response:	No, I'm just hot. Very hot.
context: I see...\So Tanaka-san doesn't hate me then.\Yeah...\Huh?\D-Don't tell me... you like Chiharu-chan?!\N-No, what are you talking about?\But your face...\No, I'm just hot. Very hot. response:	Well, I should get going.
context: So Tanaka-san doesn't hate me then.\Yeah...\Huh?\D-Don't tell me... you like Chiharu-chan?!\N-No, what are you talking about?\But your face...\No, I'm just hot. Very hot.\Well, I should get going. response:	Seriously, no.
context: Yeah...\Huh?\D-Don't tell me... you like Chiharu-chan?!\N-No, what are you talking about?\But your face...\No, I'm just hot. Very hot.\Well, I should get going.\Seriously, no. response:	What the hell?!
context: Huh?\D-Don't tell me... you like Chiharu-chan?!\N-No, what are you talking about?\But your face...\No, I'm just hot. Very hot.\Well, I should get going.\Seriously, no.\What the hell?! response:	He definitely likes her.
context: D-Don't tell me... you like Chiharu-chan?!\N-No, what are you talking about?\But your face...\No, I'm just hot. Very hot.\Well, I should get going.\Seriously, no.\What the hell?!\He definitely likes her. response:	That look totally gave it away.
context: N-No, what are you talking about?\But your face...\No, I'm just hot. Very hot.\Well, I should get going.\Seriously, no.\What the hell?!\He definitely likes her.\That look totally gave it away. response:	Hey, Oizumi.
context: But your face...\No, I'm just hot. Very hot.\Well, I should get going.\Seriously, no.\What the hell?!\He definitely likes her.\That look totally gave it away.\Hey, Oizumi. response:	You were smacking me just a minute ago. What are you so depressed for?
context: No, I'm just hot. Very hot.\Well, I should get going.\Seriously, no.\What the hell?!\He definitely likes her.\That look totally gave it away.\Hey, Oizumi.\You were smacking me just a minute ago. What are you so depressed for? response:	Sorry, just forget about what I said before.
context: Well, I should get going.\Seriously, no.\What the hell?!\He definitely likes her.\That look totally gave it away.\Hey, Oizumi.\You were smacking me just a minute ago. What are you so depressed for?\Sorry, just forget about what I said before. response:	What do you mean?
context: Seriously, no.\What the hell?!\He definitely likes her.\That look totally gave it away.\Hey, Oizumi.\You were smacking me just a minute ago. What are you so depressed for?\Sorry, just forget about what I said before.\What do you mean? response:	It really is depressing.
context: What the hell?!\He definitely likes her.\That look totally gave it away.\Hey, Oizumi.\You were smacking me just a minute ago. What are you so depressed for?\Sorry, just forget about what I said before.\What do you mean?\It really is depressing. response:	I normally pretend to not care,
context: He definitely likes her.\That look totally gave it away.\Hey, Oizumi.\You were smacking me just a minute ago. What are you so depressed for?\Sorry, just forget about what I said before.\What do you mean?\It really is depressing.\I normally pretend to not care, response:	You idiot!
context: That look totally gave it away.\Hey, Oizumi.\You were smacking me just a minute ago. What are you so depressed for?\Sorry, just forget about what I said before.\What do you mean?\It really is depressing.\I normally pretend to not care,\You idiot! response:	That hurt!
context: Hey, Oizumi.\You were smacking me just a minute ago. What are you so depressed for?\Sorry, just forget about what I said before.\What do you mean?\It really is depressing.\I normally pretend to not care,\You idiot!\That hurt! response:	That's payback for before.
context: You were smacking me just a minute ago. What are you so depressed for?\Sorry, just forget about what I said before.\What do you mean?\It really is depressing.\I normally pretend to not care,\You idiot!\That hurt!\That's payback for before. response:	I'm a girl!
context: Sorry, just forget about what I said before.\What do you mean?\It really is depressing.\I normally pretend to not care,\You idiot!\That hurt!\That's payback for before.\I'm a girl! response:	I'm not giving up on Chiharu-chan!
context: What do you mean?\It really is depressing.\I normally pretend to not care,\You idiot!\That hurt!\That's payback for before.\I'm a girl!\I'm not giving up on Chiharu-chan! response:	Tomorrow's another day.
context: It really is depressing.\I normally pretend to not care,\You idiot!\That hurt!\That's payback for before.\I'm a girl!\I'm not giving up on Chiharu-chan!\Tomorrow's another day. response:	Otani...?
context: I normally pretend to not care,\You idiot!\That hurt!\That's payback for before.\I'm a girl!\I'm not giving up on Chiharu-chan!\Tomorrow's another day.\Otani...? response:	If you get so depressed over stuff like this, no one will ever like you!
context: You idiot!\That hurt!\That's payback for before.\I'm a girl!\I'm not giving up on Chiharu-chan!\Tomorrow's another day.\Otani...?\If you get so depressed over stuff like this, no one will ever like you! response:	Those were my grandpa's last words.
context: That hurt!\That's payback for before.\I'm a girl!\I'm not giving up on Chiharu-chan!\Tomorrow's another day.\Otani...?\If you get so depressed over stuff like this, no one will ever like you!\Those were my grandpa's last words. response:	Liar!
context: That's payback for before.\I'm a girl!\I'm not giving up on Chiharu-chan!\Tomorrow's another day.\Otani...?\If you get so depressed over stuff like this, no one will ever like you!\Those were my grandpa's last words.\Liar! response:	I'm glad you're here, Koizumi.
context: I'm a girl!\I'm not giving up on Chiharu-chan!\Tomorrow's another day.\Otani...?\If you get so depressed over stuff like this, no one will ever like you!\Those were my grandpa's last words.\Liar!\I'm glad you're here, Koizumi. response:	If I'd been alone, who knows where I'd have to run off too and hide?
context: I'm not giving up on Chiharu-chan!\Tomorrow's another day.\Otani...?\If you get so depressed over stuff like this, no one will ever like you!\Those were my grandpa's last words.\Liar!\I'm glad you're here, Koizumi.\If I'd been alone, who knows where I'd have to run off too and hide? response:	Yeah.
context: Tomorrow's another day.\Otani...?\If you get so depressed over stuff like this, no one will ever like you!\Those were my grandpa's last words.\Liar!\I'm glad you're here, Koizumi.\If I'd been alone, who knows where I'd have to run off too and hide?\Yeah. response:	I'm going to keep trying, too.
context: Otani...?\If you get so depressed over stuff like this, no one will ever like you!\Those were my grandpa's last words.\Liar!\I'm glad you're here, Koizumi.\If I'd been alone, who knows where I'd have to run off too and hide?\Yeah.\I'm going to keep trying, too. response:	Right!
context: If you get so depressed over stuff like this, no one will ever like you!\Those were my grandpa's last words.\Liar!\I'm glad you're here, Koizumi.\If I'd been alone, who knows where I'd have to run off too and hide?\Yeah.\I'm going to keep trying, too.\Right! response:	Let's do our best!
context: Those were my grandpa's last words.\Liar!\I'm glad you're here, Koizumi.\If I'd been alone, who knows where I'd have to run off too and hide?\Yeah.\I'm going to keep trying, too.\Right!\Let's do our best! response:	The summer festival.
context: Liar!\I'm glad you're here, Koizumi.\If I'd been alone, who knows where I'd have to run off too and hide?\Yeah.\I'm going to keep trying, too.\Right!\Let's do our best!\The summer festival. response:	I invited Suzuki-kun.
context: I'm glad you're here, Koizumi.\If I'd been alone, who knows where I'd have to run off too and hide?\Yeah.\I'm going to keep trying, too.\Right!\Let's do our best!\The summer festival.\I invited Suzuki-kun. response:	Otani invited Chiharu-chan.
context: If I'd been alone, who knows where I'd have to run off too and hide?\Yeah.\I'm going to keep trying, too.\Right!\Let's do our best!\The summer festival.\I invited Suzuki-kun.\Otani invited Chiharu-chan. response:	So much for my sexy yukata seduction plan.
context: Yeah.\I'm going to keep trying, too.\Right!\Let's do our best!\The summer festival.\I invited Suzuki-kun.\Otani invited Chiharu-chan.\So much for my sexy yukata seduction plan. response:	It just doesn't look right on a tall woman like me.
context: I'm going to keep trying, too.\Right!\Let's do our best!\The summer festival.\I invited Suzuki-kun.\Otani invited Chiharu-chan.\So much for my sexy yukata seduction plan.\It just doesn't look right on a tall woman like me. response:	Otani!
context: Right!\Let's do our best!\The summer festival.\I invited Suzuki-kun.\Otani invited Chiharu-chan.\So much for my sexy yukata seduction plan.\It just doesn't look right on a tall woman like me.\Otani! response:	Chiharu-chan and the others aren't here yet?
context: Let's do our best!\The summer festival.\I invited Suzuki-kun.\Otani invited Chiharu-chan.\So much for my sexy yukata seduction plan.\It just doesn't look right on a tall woman like me.\Otani!\Chiharu-chan and the others aren't here yet? response:	The train was packed.
context: The summer festival.\I invited Suzuki-kun.\Otani invited Chiharu-chan.\So much for my sexy yukata seduction plan.\It just doesn't look right on a tall woman like me.\Otani!\Chiharu-chan and the others aren't here yet?\The train was packed. response:	Do you think that maybe they got lost?
context: I invited Suzuki-kun.\Otani invited Chiharu-chan.\So much for my sexy yukata seduction plan.\It just doesn't look right on a tall woman like me.\Otani!\Chiharu-chan and the others aren't here yet?\The train was packed.\Do you think that maybe they got lost? response:	What?
context: Otani invited Chiharu-chan.\So much for my sexy yukata seduction plan.\It just doesn't look right on a tall woman like me.\Otani!\Chiharu-chan and the others aren't here yet?\The train was packed.\Do you think that maybe they got lost?\What? response:	I didn't recognize you for a moment.
context: So much for my sexy yukata seduction plan.\It just doesn't look right on a tall woman like me.\Otani!\Chiharu-chan and the others aren't here yet?\The train was packed.\Do you think that maybe they got lost?\What?\I didn't recognize you for a moment. response:	Do I look weird?
context: It just doesn't look right on a tall woman like me.\Otani!\Chiharu-chan and the others aren't here yet?\The train was packed.\Do you think that maybe they got lost?\What?\I didn't recognize you for a moment.\Do I look weird? response:	It doesn't suit me at all, right?
context: Otani!\Chiharu-chan and the others aren't here yet?\The train was packed.\Do you think that maybe they got lost?\What?\I didn't recognize you for a moment.\Do I look weird?\It doesn't suit me at all, right? response:	Not really.
context: Chiharu-chan and the others aren't here yet?\The train was packed.\Do you think that maybe they got lost?\What?\I didn't recognize you for a moment.\Do I look weird?\It doesn't suit me at all, right?\Not really. response:	But you really went all out.
context: The train was packed.\Do you think that maybe they got lost?\What?\I didn't recognize you for a moment.\Do I look weird?\It doesn't suit me at all, right?\Not really.\But you really went all out. response:	Of course.
context: Do you think that maybe they got lost?\What?\I didn't recognize you for a moment.\Do I look weird?\It doesn't suit me at all, right?\Not really.\But you really went all out.\Of course. response:	Sorry, I was late.
context: What?\I didn't recognize you for a moment.\Do I look weird?\It doesn't suit me at all, right?\Not really.\But you really went all out.\Of course.\Sorry, I was late. response:	Oh, she's here, she's here.
context: I didn't recognize you for a moment.\Do I look weird?\It doesn't suit me at all, right?\Not really.\But you really went all out.\Of course.\Sorry, I was late.\Oh, she's here, she's here. response:	Risa-chan.
context: Do I look weird?\It doesn't suit me at all, right?\Not really.\But you really went all out.\Of course.\Sorry, I was late.\Oh, she's here, she's here.\Risa-chan. response:	Suzuki-kun is with me.
context: It doesn't suit me at all, right?\Not really.\But you really went all out.\Of course.\Sorry, I was late.\Oh, she's here, she's here.\Risa-chan.\Suzuki-kun is with me. response:	I bumped into him on my way here.
context: Not really.\But you really went all out.\Of course.\Sorry, I was late.\Oh, she's here, she's here.\Risa-chan.\Suzuki-kun is with me.\I bumped into him on my way here. response:	Oh ho...
context: But you really went all out.\Of course.\Sorry, I was late.\Oh, she's here, she's here.\Risa-chan.\Suzuki-kun is with me.\I bumped into him on my way here.\Oh ho... response:	To prevent her from getting bumped, he switched positions with her, huh?
context: Of course.\Sorry, I was late.\Oh, she's here, she's here.\Risa-chan.\Suzuki-kun is with me.\I bumped into him on my way here.\Oh ho...\To prevent her from getting bumped, he switched positions with her, huh? response:	It's clear... It's clear, but it's clearly upsetting.
context: Sorry, I was late.\Oh, she's here, she's here.\Risa-chan.\Suzuki-kun is with me.\I bumped into him on my way here.\Oh ho...\To prevent her from getting bumped, he switched positions with her, huh?\It's clear... It's clear, but it's clearly upsetting. response:	They look pretty good together.
context: Oh, she's here, she's here.\Risa-chan.\Suzuki-kun is with me.\I bumped into him on my way here.\Oh ho...\To prevent her from getting bumped, he switched positions with her, huh?\It's clear... It's clear, but it's clearly upsetting.\They look pretty good together. response:	They're like a couple who have just started going out.
context: Risa-chan.\Suzuki-kun is with me.\I bumped into him on my way here.\Oh ho...\To prevent her from getting bumped, he switched positions with her, huh?\It's clear... It's clear, but it's clearly upsetting.\They look pretty good together.\They're like a couple who have just started going out. response:	Koizumi?
context: Suzuki-kun is with me.\I bumped into him on my way here.\Oh ho...\To prevent her from getting bumped, he switched positions with her, huh?\It's clear... It's clear, but it's clearly upsetting.\They look pretty good together.\They're like a couple who have just started going out.\Koizumi? response:	It's fine.
context: I bumped into him on my way here.\Oh ho...\To prevent her from getting bumped, he switched positions with her, huh?\It's clear... It's clear, but it's clearly upsetting.\They look pretty good together.\They're like a couple who have just started going out.\Koizumi?\It's fine. response:	I'm fine now.
context: Oh ho...\To prevent her from getting bumped, he switched positions with her, huh?\It's clear... It's clear, but it's clearly upsetting.\They look pretty good together.\They're like a couple who have just started going out.\Koizumi?\It's fine.\I'm fine now. response:	I give up.
context: To prevent her from getting bumped, he switched positions with her, huh?\It's clear... It's clear, but it's clearly upsetting.\They look pretty good together.\They're like a couple who have just started going out.\Koizumi?\It's fine.\I'm fine now.\I give up. response:	I give up, too.
context: It's clear... It's clear, but it's clearly upsetting.\They look pretty good together.\They're like a couple who have just started going out.\Koizumi?\It's fine.\I'm fine now.\I give up.\I give up, too. response:	Really?
context: They look pretty good together.\They're like a couple who have just started going out.\Koizumi?\It's fine.\I'm fine now.\I give up.\I give up, too.\Really? response:	This feels like the ending of the comedy show.
context: They're like a couple who have just started going out.\Koizumi?\It's fine.\I'm fine now.\I give up.\I give up, too.\Really?\This feels like the ending of the comedy show. response:	Let's just leave them alone.
context: Koizumi?\It's fine.\I'm fine now.\I give up.\I give up, too.\Really?\This feels like the ending of the comedy show.\Let's just leave them alone. response:	Otani...?
context: It's fine.\I'm fine now.\I give up.\I give up, too.\Really?\This feels like the ending of the comedy show.\Let's just leave them alone.\Otani...? response:	Huh? Risa-chan? Otani-kun?
context: I'm fine now.\I give up.\I give up, too.\Really?\This feels like the ending of the comedy show.\Let's just leave them alone.\Otani...?\Huh? Risa-chan? Otani-kun? response:	Waah! It broke!
context: I give up.\I give up, too.\Really?\This feels like the ending of the comedy show.\Let's just leave them alone.\Otani...?\Huh? Risa-chan? Otani-kun?\Waah! It broke! response:	Let me give it a try!
context: I give up, too.\Really?\This feels like the ending of the comedy show.\Let's just leave them alone.\Otani...?\Huh? Risa-chan? Otani-kun?\Waah! It broke!\Let me give it a try! response:	Yeah! Nice!
context: Really?\This feels like the ending of the comedy show.\Let's just leave them alone.\Otani...?\Huh? Risa-chan? Otani-kun?\Waah! It broke!\Let me give it a try!\Yeah! Nice! response:	Hey Otani, next we'll
context: This feels like the ending of the comedy show.\Let's just leave them alone.\Otani...?\Huh? Risa-chan? Otani-kun?\Waah! It broke!\Let me give it a try!\Yeah! Nice!\Hey Otani, next we'll response:	H-Huh? Otani?
context: Let's just leave them alone.\Otani...?\Huh? Risa-chan? Otani-kun?\Waah! It broke!\Let me give it a try!\Yeah! Nice!\Hey Otani, next we'll\H-Huh? Otani? response:	Otani?
context: Otani...?\Huh? Risa-chan? Otani-kun?\Waah! It broke!\Let me give it a try!\Yeah! Nice!\Hey Otani, next we'll\H-Huh? Otani?\Otani? response:	I'm right here.
context: Huh? Risa-chan? Otani-kun?\Waah! It broke!\Let me give it a try!\Yeah! Nice!\Hey Otani, next we'll\H-Huh? Otani?\Otani?\I'm right here. response:	Oh, you scared me.
context: Waah! It broke!\Let me give it a try!\Yeah! Nice!\Hey Otani, next we'll\H-Huh? Otani?\Otani?\I'm right here.\Oh, you scared me. response:	You're so short. I thought you got lost in the crowd.
context: Let me give it a try!\Yeah! Nice!\Hey Otani, next we'll\H-Huh? Otani?\Otani?\I'm right here.\Oh, you scared me.\You're so short. I thought you got lost in the crowd. response:	You wanna fight?
context: Yeah! Nice!\Hey Otani, next we'll\H-Huh? Otani?\Otani?\I'm right here.\Oh, you scared me.\You're so short. I thought you got lost in the crowd.\You wanna fight? response:	Uh, sorry.
context: Hey Otani, next we'll\H-Huh? Otani?\Otani?\I'm right here.\Oh, you scared me.\You're so short. I thought you got lost in the crowd.\You wanna fight?\Uh, sorry. response:	How could you say that? That was pretty awful!
context: H-Huh? Otani?\Otani?\I'm right here.\Oh, you scared me.\You're so short. I thought you got lost in the crowd.\You wanna fight?\Uh, sorry.\How could you say that? That was pretty awful! response:	Let's go!
context: Otani?\I'm right here.\Oh, you scared me.\You're so short. I thought you got lost in the crowd.\You wanna fight?\Uh, sorry.\How could you say that? That was pretty awful!\Let's go! response:	Let's get some grilled cuttlefish.
context: I'm right here.\Oh, you scared me.\You're so short. I thought you got lost in the crowd.\You wanna fight?\Uh, sorry.\How could you say that? That was pretty awful!\Let's go!\Let's get some grilled cuttlefish. response:	Otani might be small,
context: Oh, you scared me.\You're so short. I thought you got lost in the crowd.\You wanna fight?\Uh, sorry.\How could you say that? That was pretty awful!\Let's go!\Let's get some grilled cuttlefish.\Otani might be small, response:	We may always be fighting, but our personalities kind of suit each other.
context: You're so short. I thought you got lost in the crowd.\You wanna fight?\Uh, sorry.\How could you say that? That was pretty awful!\Let's go!\Let's get some grilled cuttlefish.\Otani might be small,\We may always be fighting, but our personalities kind of suit each other. response:	And we both have height complexes, too.
context: You wanna fight?\Uh, sorry.\How could you say that? That was pretty awful!\Let's go!\Let's get some grilled cuttlefish.\Otani might be small,\We may always be fighting, but our personalities kind of suit each other.\And we both have height complexes, too. response:	I like you. Please go out with me.
context: Uh, sorry.\How could you say that? That was pretty awful!\Let's go!\Let's get some grilled cuttlefish.\Otani might be small,\We may always be fighting, but our personalities kind of suit each other.\And we both have height complexes, too.\I like you. Please go out with me. response:	Okay.
context: How could you say that? That was pretty awful!\Let's go!\Let's get some grilled cuttlefish.\Otani might be small,\We may always be fighting, but our personalities kind of suit each other.\And we both have height complexes, too.\I like you. Please go out with me.\Okay. response:	Not long after that, Chiharu-chan and Suzuki-kun became a couple.
context: Let's go!\Let's get some grilled cuttlefish.\Otani might be small,\We may always be fighting, but our personalities kind of suit each other.\And we both have height complexes, too.\I like you. Please go out with me.\Okay.\Not long after that, Chiharu-chan and Suzuki-kun became a couple. response:	Ahh! I feel better now!
context: Let's get some grilled cuttlefish.\Otani might be small,\We may always be fighting, but our personalities kind of suit each other.\And we both have height complexes, too.\I like you. Please go out with me.\Okay.\Not long after that, Chiharu-chan and Suzuki-kun became a couple.\Ahh! I feel better now! response:	That's good.
context: Otani might be small,\We may always be fighting, but our personalities kind of suit each other.\And we both have height complexes, too.\I like you. Please go out with me.\Okay.\Not long after that, Chiharu-chan and Suzuki-kun became a couple.\Ahh! I feel better now!\That's good. response:	You and Chiharu-chan looked pretty good together.
context: We may always be fighting, but our personalities kind of suit each other.\And we both have height complexes, too.\I like you. Please go out with me.\Okay.\Not long after that, Chiharu-chan and Suzuki-kun became a couple.\Ahh! I feel better now!\That's good.\You and Chiharu-chan looked pretty good together. response:	But you and Suzuki-kun didn't work out at all.
context: And we both have height complexes, too.\I like you. Please go out with me.\Okay.\Not long after that, Chiharu-chan and Suzuki-kun became a couple.\Ahh! I feel better now!\That's good.\You and Chiharu-chan looked pretty good together.\But you and Suzuki-kun didn't work out at all. response:	You...
context: I like you. Please go out with me.\Okay.\Not long after that, Chiharu-chan and Suzuki-kun became a couple.\Ahh! I feel better now!\That's good.\You and Chiharu-chan looked pretty good together.\But you and Suzuki-kun didn't work out at all.\You... response:	Well, it's fine.
context: Okay.\Not long after that, Chiharu-chan and Suzuki-kun became a couple.\Ahh! I feel better now!\That's good.\You and Chiharu-chan looked pretty good together.\But you and Suzuki-kun didn't work out at all.\You...\Well, it's fine. response:	I can find a girlfriend quickly enough if I want to.
context: Not long after that, Chiharu-chan and Suzuki-kun became a couple.\Ahh! I feel better now!\That's good.\You and Chiharu-chan looked pretty good together.\But you and Suzuki-kun didn't work out at all.\You...\Well, it's fine.\I can find a girlfriend quickly enough if I want to. response:	Oh is that so? I'd like to see that.
context: Ahh! I feel better now!\That's good.\You and Chiharu-chan looked pretty good together.\But you and Suzuki-kun didn't work out at all.\You...\Well, it's fine.\I can find a girlfriend quickly enough if I want to.\Oh is that so? I'd like to see that. response:	I challenge you!
context: That's good.\You and Chiharu-chan looked pretty good together.\But you and Suzuki-kun didn't work out at all.\You...\Well, it's fine.\I can find a girlfriend quickly enough if I want to.\Oh is that so? I'd like to see that.\I challenge you! response:	Let's see who can get someone faster!
context: You and Chiharu-chan looked pretty good together.\But you and Suzuki-kun didn't work out at all.\You...\Well, it's fine.\I can find a girlfriend quickly enough if I want to.\Oh is that so? I'd like to see that.\I challenge you!\Let's see who can get someone faster! response:	What'll I get if I win?
context: But you and Suzuki-kun didn't work out at all.\You...\Well, it's fine.\I can find a girlfriend quickly enough if I want to.\Oh is that so? I'd like to see that.\I challenge you!\Let's see who can get someone faster!\What'll I get if I win? response:	I'll buy you whatever game you want.
context: You...\Well, it's fine.\I can find a girlfriend quickly enough if I want to.\Oh is that so? I'd like to see that.\I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want. response:	But if I win, you'll buy me a new pair of basketball shoes.
context: Well, it's fine.\I can find a girlfriend quickly enough if I want to.\Oh is that so? I'd like to see that.\I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes. response:	Let's do it.
context: I can find a girlfriend quickly enough if I want to.\Oh is that so? I'd like to see that.\I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it. response:	I'm not going to lose!
context: Oh is that so? I'd like to see that.\I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it.\I'm not going to lose! response:	Huh?! An ex-girlfriend?!
context: I challenge you!\Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it.\I'm not going to lose!\Huh?! An ex-girlfriend?! response:	That's Otani's?!
context: Let's see who can get someone faster!\What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it.\I'm not going to lose!\Huh?! An ex-girlfriend?!\That's Otani's?! response:	You...!
context: What'll I get if I win?\I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it.\I'm not going to lose!\Huh?! An ex-girlfriend?!\That's Otani's?!\You...! response:	Lovely Complex Love Com.
context: I'll buy you whatever game you want.\But if I win, you'll buy me a new pair of basketball shoes.\Let's do it.\I'm not going to lose!\Huh?! An ex-girlfriend?!\That's Otani's?!\You...!\Lovely Complex Love Com. response:	Next: The Ex-Girlfriend Love Triangle?!
context: But if I win, you'll buy me a new pair of basketball shoes.\Let's do it.\I'm not going to lose!\Huh?! An ex-girlfriend?!\That's Otani's?!\You...!\Lovely Complex Love Com.\Next: The Ex-Girlfriend Love Triangle?! response:	The Ex-Girlfriend Love Triangle!?
context: Let's do it.\I'm not going to lose!\Huh?! An ex-girlfriend?!\That's Otani's?!\You...!\Lovely Complex Love Com.\Next: The Ex-Girlfriend Love Triangle?!\The Ex-Girlfriend Love Triangle!? response:	Be sure to watch!
