context: Damn it, Mob. response:	You could've let me know if you had other plans.
context: Come out, my ultimate creation...\Candy-chan!\You can wreak as much havoc as you'd like today!\We're getting out of here.\Don't bother with them, Mob!\Kageyama-kun, use all of your powers!\Just blow these guys away!\Stop! Don't fight back! response:	I'm an adult, so I'll deal with them!
context: Candy-chan!\You can wreak as much havoc as you'd like today!\We're getting out of here.\Don't bother with them, Mob!\Kageyama-kun, use all of your powers!\Just blow these guys away!\Stop! Don't fight back!\I'm an adult, so I'll deal with them! response:	Mob, there's no need for you to stoop to their level!
context: You can wreak as much havoc as you'd like today!\We're getting out of here.\Don't bother with them, Mob!\Kageyama-kun, use all of your powers!\Just blow these guys away!\Stop! Don't fight back!\I'm an adult, so I'll deal with them!\Mob, there's no need for you to stoop to their level! response:	Nii-san's the only one that stands a chance anymore!
context: We're getting out of here.\Don't bother with them, Mob!\Kageyama-kun, use all of your powers!\Just blow these guys away!\Stop! Don't fight back!\I'm an adult, so I'll deal with them!\Mob, there's no need for you to stoop to their level!\Nii-san's the only one that stands a chance anymore! response:	Ritsu... You're right. I have to defeat them...
context: Don't bother with them, Mob!\Kageyama-kun, use all of your powers!\Just blow these guys away!\Stop! Don't fight back!\I'm an adult, so I'll deal with them!\Mob, there's no need for you to stoop to their level!\Nii-san's the only one that stands a chance anymore!\Ritsu... You're right. I have to defeat them... response:	No! Don't! Don't fight back, Mob!
context: Kageyama-kun, use all of your powers!\Just blow these guys away!\Stop! Don't fight back!\I'm an adult, so I'll deal with them!\Mob, there's no need for you to stoop to their level!\Nii-san's the only one that stands a chance anymore!\Ritsu... You're right. I have to defeat them...\No! Don't! Don't fight back, Mob! response:	Ritsu's hurt...
context: Just blow these guys away!\Stop! Don't fight back!\I'm an adult, so I'll deal with them!\Mob, there's no need for you to stoop to their level!\Nii-san's the only one that stands a chance anymore!\Ritsu... You're right. I have to defeat them...\No! Don't! Don't fight back, Mob!\Ritsu's hurt... response:	We have to fight power with power!
context: Stop! Don't fight back!\I'm an adult, so I'll deal with them!\Mob, there's no need for you to stoop to their level!\Nii-san's the only one that stands a chance anymore!\Ritsu... You're right. I have to defeat them...\No! Don't! Don't fight back, Mob!\Ritsu's hurt...\We have to fight power with power! response:	At this rate, we're all going to die!
context: I'm an adult, so I'll deal with them!\Mob, there's no need for you to stoop to their level!\Nii-san's the only one that stands a chance anymore!\Ritsu... You're right. I have to defeat them...\No! Don't! Don't fight back, Mob!\Ritsu's hurt...\We have to fight power with power!\At this rate, we're all going to die! response:	We just need to run away!
context: Mob, there's no need for you to stoop to their level!\Nii-san's the only one that stands a chance anymore!\Ritsu... You're right. I have to defeat them...\No! Don't! Don't fight back, Mob!\Ritsu's hurt...\We have to fight power with power!\At this rate, we're all going to die!\We just need to run away! response:	There's no way for us to run while dealing with their fierce attacks!
context: Nii-san's the only one that stands a chance anymore!\Ritsu... You're right. I have to defeat them...\No! Don't! Don't fight back, Mob!\Ritsu's hurt...\We have to fight power with power!\At this rate, we're all going to die!\We just need to run away!\There's no way for us to run while dealing with their fierce attacks! response:	Come on! Use the powers you used back then!
context: Ritsu... You're right. I have to defeat them...\No! Don't! Don't fight back, Mob!\Ritsu's hurt...\We have to fight power with power!\At this rate, we're all going to die!\We just need to run away!\There's no way for us to run while dealing with their fierce attacks!\Come on! Use the powers you used back then! response:	Calm down!
context: No! Don't! Don't fight back, Mob!\Ritsu's hurt...\We have to fight power with power!\At this rate, we're all going to die!\We just need to run away!\There's no way for us to run while dealing with their fierce attacks!\Come on! Use the powers you used back then!\Calm down! response:	Don't go head-on with someone who has murderous intent, Mob!
context: Ritsu's hurt...\We have to fight power with power!\At this rate, we're all going to die!\We just need to run away!\There's no way for us to run while dealing with their fierce attacks!\Come on! Use the powers you used back then!\Calm down!\Don't go head-on with someone who has murderous intent, Mob! response:	All four of you are going to hell.
context: We have to fight power with power!\At this rate, we're all going to die!\We just need to run away!\There's no way for us to run while dealing with their fierce attacks!\Come on! Use the powers you used back then!\Calm down!\Don't go head-on with someone who has murderous intent, Mob!\All four of you are going to hell. response:	Ritsu... Hanazawa-kun... Master Reigen...
context: At this rate, we're all going to die!\We just need to run away!\There's no way for us to run while dealing with their fierce attacks!\Come on! Use the powers you used back then!\Calm down!\Don't go head-on with someone who has murderous intent, Mob!\All four of you are going to hell.\Ritsu... Hanazawa-kun... Master Reigen... response:	I can't let them all die.
context: We just need to run away!\There's no way for us to run while dealing with their fierce attacks!\Come on! Use the powers you used back then!\Calm down!\Don't go head-on with someone who has murderous intent, Mob!\All four of you are going to hell.\Ritsu... Hanazawa-kun... Master Reigen...\I can't let them all die. response:	I have no choice but to fight with all I've got.
context: There's no way for us to run while dealing with their fierce attacks!\Come on! Use the powers you used back then!\Calm down!\Don't go head-on with someone who has murderous intent, Mob!\All four of you are going to hell.\Ritsu... Hanazawa-kun... Master Reigen...\I can't let them all die.\I have no choice but to fight with all I've got. response:	If I can protect them, I don't care what happens to my opponents!
context: Come on! Use the powers you used back then!\Calm down!\Don't go head-on with someone who has murderous intent, Mob!\All four of you are going to hell.\Ritsu... Hanazawa-kun... Master Reigen...\I can't let them all die.\I have no choice but to fight with all I've got.\If I can protect them, I don't care what happens to my opponents! response:	Murderous Intent
context: Calm down!\Don't go head-on with someone who has murderous intent, Mob!\All four of you are going to hell.\Ritsu... Hanazawa-kun... Master Reigen...\I can't let them all die.\I have no choice but to fight with all I've got.\If I can protect them, I don't care what happens to my opponents!\Murderous Intent response:	Don't do it, Mob. You're the one who's going to suffer in the end.
context: Don't go head-on with someone who has murderous intent, Mob!\All four of you are going to hell.\Ritsu... Hanazawa-kun... Master Reigen...\I can't let them all die.\I have no choice but to fight with all I've got.\If I can protect them, I don't care what happens to my opponents!\Murderous Intent\Don't do it, Mob. You're the one who's going to suffer in the end. response:	When things go south, it's okay to run away!
context: All four of you are going to hell.\Ritsu... Hanazawa-kun... Master Reigen...\I can't let them all die.\I have no choice but to fight with all I've got.\If I can protect them, I don't care what happens to my opponents!\Murderous Intent\Don't do it, Mob. You're the one who's going to suffer in the end.\When things go south, it's okay to run away! response:	Master Leader
context: Ritsu... Hanazawa-kun... Master Reigen...\I can't let them all die.\I have no choice but to fight with all I've got.\If I can protect them, I don't care what happens to my opponents!\Murderous Intent\Don't do it, Mob. You're the one who's going to suffer in the end.\When things go south, it's okay to run away!\Master Leader response:	Spirits and Such Consulting Office
context: I can't let them all die.\I have no choice but to fight with all I've got.\If I can protect them, I don't care what happens to my opponents!\Murderous Intent\Don't do it, Mob. You're the one who's going to suffer in the end.\When things go south, it's okay to run away!\Master Leader\Spirits and Such Consulting Office response:	Excuse me.
context: I have no choice but to fight with all I've got.\If I can protect them, I don't care what happens to my opponents!\Murderous Intent\Don't do it, Mob. You're the one who's going to suffer in the end.\When things go south, it's okay to run away!\Master Leader\Spirits and Such Consulting Office\Excuse me. response:	I came here because I saw your sign.
context: If I can protect them, I don't care what happens to my opponents!\Murderous Intent\Don't do it, Mob. You're the one who's going to suffer in the end.\When things go south, it's okay to run away!\Master Leader\Spirits and Such Consulting Office\Excuse me.\I came here because I saw your sign. response:	Sure thing.
context: Murderous Intent\Don't do it, Mob. You're the one who's going to suffer in the end.\When things go south, it's okay to run away!\Master Leader\Spirits and Such Consulting Office\Excuse me.\I came here because I saw your sign.\Sure thing. response:	How may I help you?
context: Don't do it, Mob. You're the one who's going to suffer in the end.\When things go south, it's okay to run away!\Master Leader\Spirits and Such Consulting Office\Excuse me.\I came here because I saw your sign.\Sure thing.\How may I help you? response:	Er... Oh, it's just a kid.
context: When things go south, it's okay to run away!\Master Leader\Spirits and Such Consulting Office\Excuse me.\I came here because I saw your sign.\Sure thing.\How may I help you?\Er... Oh, it's just a kid. response:	What do you want, boy?
context: Master Leader\Spirits and Such Consulting Office\Excuse me.\I came here because I saw your sign.\Sure thing.\How may I help you?\Er... Oh, it's just a kid.\What do you want, boy? response:	Um, I'm an esper.
context: Spirits and Such Consulting Office\Excuse me.\I came here because I saw your sign.\Sure thing.\How may I help you?\Er... Oh, it's just a kid.\What do you want, boy?\Um, I'm an esper. response:	Wha?
context: Excuse me.\I came here because I saw your sign.\Sure thing.\How may I help you?\Er... Oh, it's just a kid.\What do you want, boy?\Um, I'm an esper.\Wha? response:	There are times when I can't control my powers very well,
context: I came here because I saw your sign.\Sure thing.\How may I help you?\Er... Oh, it's just a kid.\What do you want, boy?\Um, I'm an esper.\Wha?\There are times when I can't control my powers very well, response:	and it's scary.
context: Sure thing.\How may I help you?\Er... Oh, it's just a kid.\What do you want, boy?\Um, I'm an esper.\Wha?\There are times when I can't control my powers very well,\and it's scary. response:	Did someone tell you to come here and tell me that?
context: How may I help you?\Er... Oh, it's just a kid.\What do you want, boy?\Um, I'm an esper.\Wha?\There are times when I can't control my powers very well,\and it's scary.\Did someone tell you to come here and tell me that? response:	No. I haven't been able to talk to anyone about this.
context: Er... Oh, it's just a kid.\What do you want, boy?\Um, I'm an esper.\Wha?\There are times when I can't control my powers very well,\and it's scary.\Did someone tell you to come here and tell me that?\No. I haven't been able to talk to anyone about this. response:	I thought you might be the same as me...
context: What do you want, boy?\Um, I'm an esper.\Wha?\There are times when I can't control my powers very well,\and it's scary.\Did someone tell you to come here and tell me that?\No. I haven't been able to talk to anyone about this.\I thought you might be the same as me... response:	If I tried, I could see spirits, too.
context: Um, I'm an esper.\Wha?\There are times when I can't control my powers very well,\and it's scary.\Did someone tell you to come here and tell me that?\No. I haven't been able to talk to anyone about this.\I thought you might be the same as me...\If I tried, I could see spirits, too. response:	Well, come on in.
context: Wha?\There are times when I can't control my powers very well,\and it's scary.\Did someone tell you to come here and tell me that?\No. I haven't been able to talk to anyone about this.\I thought you might be the same as me...\If I tried, I could see spirits, too.\Well, come on in. response:	Okay.
context: There are times when I can't control my powers very well,\and it's scary.\Did someone tell you to come here and tell me that?\No. I haven't been able to talk to anyone about this.\I thought you might be the same as me...\If I tried, I could see spirits, too.\Well, come on in.\Okay. response:	I was troubled a lot when I was a kid, too.
context: and it's scary.\Did someone tell you to come here and tell me that?\No. I haven't been able to talk to anyone about this.\I thought you might be the same as me...\If I tried, I could see spirits, too.\Well, come on in.\Okay.\I was troubled a lot when I was a kid, too. response:	Listen. Just because you have psychic powers
context: Did someone tell you to come here and tell me that?\No. I haven't been able to talk to anyone about this.\I thought you might be the same as me...\If I tried, I could see spirits, too.\Well, come on in.\Okay.\I was troubled a lot when I was a kid, too.\Listen. Just because you have psychic powers response:	doesn't make you any less human.
context: No. I haven't been able to talk to anyone about this.\I thought you might be the same as me...\If I tried, I could see spirits, too.\Well, come on in.\Okay.\I was troubled a lot when I was a kid, too.\Listen. Just because you have psychic powers\doesn't make you any less human. response:	It's the same as people who are fast, people who are book smart,
context: I thought you might be the same as me...\If I tried, I could see spirits, too.\Well, come on in.\Okay.\I was troubled a lot when I was a kid, too.\Listen. Just because you have psychic powers\doesn't make you any less human.\It's the same as people who are fast, people who are book smart, response:	and people with strong body odor.
context: If I tried, I could see spirits, too.\Well, come on in.\Okay.\I was troubled a lot when I was a kid, too.\Listen. Just because you have psychic powers\doesn't make you any less human.\It's the same as people who are fast, people who are book smart,\and people with strong body odor. response:	Psychic powers are just another characteristic.
context: Well, come on in.\Okay.\I was troubled a lot when I was a kid, too.\Listen. Just because you have psychic powers\doesn't make you any less human.\It's the same as people who are fast, people who are book smart,\and people with strong body odor.\Psychic powers are just another characteristic. response:	You must embrace that as a part of yourself and continue to live positively.
context: Okay.\I was troubled a lot when I was a kid, too.\Listen. Just because you have psychic powers\doesn't make you any less human.\It's the same as people who are fast, people who are book smart,\and people with strong body odor.\Psychic powers are just another characteristic.\You must embrace that as a part of yourself and continue to live positively. response:	The truth behind one's charm is kindness.
context: I was troubled a lot when I was a kid, too.\Listen. Just because you have psychic powers\doesn't make you any less human.\It's the same as people who are fast, people who are book smart,\and people with strong body odor.\Psychic powers are just another characteristic.\You must embrace that as a part of yourself and continue to live positively.\The truth behind one's charm is kindness. response:	Become a good person. That is all.
context: Listen. Just because you have psychic powers\doesn't make you any less human.\It's the same as people who are fast, people who are book smart,\and people with strong body odor.\Psychic powers are just another characteristic.\You must embrace that as a part of yourself and continue to live positively.\The truth behind one's charm is kindness.\Become a good person. That is all. response:	May I come to talk to you again?
context: doesn't make you any less human.\It's the same as people who are fast, people who are book smart,\and people with strong body odor.\Psychic powers are just another characteristic.\You must embrace that as a part of yourself and continue to live positively.\The truth behind one's charm is kindness.\Become a good person. That is all.\May I come to talk to you again? response:	Yeah, I don't know about that. I'm pretty busy, you know?
context: It's the same as people who are fast, people who are book smart,\and people with strong body odor.\Psychic powers are just another characteristic.\You must embrace that as a part of yourself and continue to live positively.\The truth behind one's charm is kindness.\Become a good person. That is all.\May I come to talk to you again?\Yeah, I don't know about that. I'm pretty busy, you know? response:	Anyway, you should go home for tod Hot!
context: and people with strong body odor.\Psychic powers are just another characteristic.\You must embrace that as a part of yourself and continue to live positively.\The truth behind one's charm is kindness.\Become a good person. That is all.\May I come to talk to you again?\Yeah, I don't know about that. I'm pretty busy, you know?\Anyway, you should go home for tod Hot! response:	Hey, don't get bur
context: Psychic powers are just another characteristic.\You must embrace that as a part of yourself and continue to live positively.\The truth behind one's charm is kindness.\Become a good person. That is all.\May I come to talk to you again?\Yeah, I don't know about that. I'm pretty busy, you know?\Anyway, you should go home for tod Hot!\Hey, don't get bur response:	Hey... You said you could see ghosts, too, right?
context: You must embrace that as a part of yourself and continue to live positively.\The truth behind one's charm is kindness.\Become a good person. That is all.\May I come to talk to you again?\Yeah, I don't know about that. I'm pretty busy, you know?\Anyway, you should go home for tod Hot!\Hey, don't get bur\Hey... You said you could see ghosts, too, right? response:	Do you know how to exorcise them, too?
context: The truth behind one's charm is kindness.\Become a good person. That is all.\May I come to talk to you again?\Yeah, I don't know about that. I'm pretty busy, you know?\Anyway, you should go home for tod Hot!\Hey, don't get bur\Hey... You said you could see ghosts, too, right?\Do you know how to exorcise them, too? response:	All right. Come again tomorrow around the same time.
context: Become a good person. That is all.\May I come to talk to you again?\Yeah, I don't know about that. I'm pretty busy, you know?\Anyway, you should go home for tod Hot!\Hey, don't get bur\Hey... You said you could see ghosts, too, right?\Do you know how to exorcise them, too?\All right. Come again tomorrow around the same time. response:	What? Really?
context: May I come to talk to you again?\Yeah, I don't know about that. I'm pretty busy, you know?\Anyway, you should go home for tod Hot!\Hey, don't get bur\Hey... You said you could see ghosts, too, right?\Do you know how to exorcise them, too?\All right. Come again tomorrow around the same time.\What? Really? response:	I'll show you how to use your powers.
context: Yeah, I don't know about that. I'm pretty busy, you know?\Anyway, you should go home for tod Hot!\Hey, don't get bur\Hey... You said you could see ghosts, too, right?\Do you know how to exorcise them, too?\All right. Come again tomorrow around the same time.\What? Really?\I'll show you how to use your powers. response:	Master!
context: Anyway, you should go home for tod Hot!\Hey, don't get bur\Hey... You said you could see ghosts, too, right?\Do you know how to exorcise them, too?\All right. Come again tomorrow around the same time.\What? Really?\I'll show you how to use your powers.\Master! response:	Master...
context: Hey, don't get bur\Hey... You said you could see ghosts, too, right?\Do you know how to exorcise them, too?\All right. Come again tomorrow around the same time.\What? Really?\I'll show you how to use your powers.\Master!\Master... response:	Huh? Master...?
context: Hey... You said you could see ghosts, too, right?\Do you know how to exorcise them, too?\All right. Come again tomorrow around the same time.\What? Really?\I'll show you how to use your powers.\Master!\Master...\Huh? Master...? response:	Master!
context: Do you know how to exorcise them, too?\All right. Come again tomorrow around the same time.\What? Really?\I'll show you how to use your powers.\Master!\Master...\Huh? Master...?\Master! response:	Master!
context: All right. Come again tomorrow around the same time.\What? Really?\I'll show you how to use your powers.\Master!\Master...\Huh? Master...?\Master!\Master! response:	Please wake up, Master!
context: What? Really?\I'll show you how to use your powers.\Master!\Master...\Huh? Master...?\Master!\Master!\Please wake up, Master! response:	Mob and Reigen.
context: I'll show you how to use your powers.\Master!\Master...\Huh? Master...?\Master!\Master!\Please wake up, Master!\Mob and Reigen. response:	Mob and Reigen
context: Master!\Master...\Huh? Master...?\Master!\Master!\Please wake up, Master!\Mob and Reigen.\Mob and Reigen response:	Watching the finale in real time is an excellent decision.
