context: Interviews with Monster Girls response:	Demi-chans Want to Learn
context: Himari's?\Hmm...\I've been chewing Himari's arm since we were kids,\so it's hard to give it a score.\Something for when the mouth feels lonely, I guess?\Like gum?\Is that what it's like?\Yeah! That's it! response:	Huh? It really is?
context: Hmm...\I've been chewing Himari's arm since we were kids,\so it's hard to give it a score.\Something for when the mouth feels lonely, I guess?\Like gum?\Is that what it's like?\Yeah! That's it!\Huh? It really is? response:	Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum
context: I've been chewing Himari's arm since we were kids,\so it's hard to give it a score.\Something for when the mouth feels lonely, I guess?\Like gum?\Is that what it's like?\Yeah! That's it!\Huh? It really is?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum response:	Well, I guess I'm last.
context: so it's hard to give it a score.\Something for when the mouth feels lonely, I guess?\Like gum?\Is that what it's like?\Yeah! That's it!\Huh? It really is?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum\Well, I guess I'm last. response:	Here.
context: Something for when the mouth feels lonely, I guess?\Like gum?\Is that what it's like?\Yeah! That's it!\Huh? It really is?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum\Well, I guess I'm last.\Here. response:	It's hard...
context: Like gum?\Is that what it's like?\Yeah! That's it!\Huh? It really is?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum\Well, I guess I'm last.\Here.\It's hard... response:	It's thick.
context: Is that what it's like?\Yeah! That's it!\Huh? It really is?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum\Well, I guess I'm last.\Here.\It's hard...\It's thick. response:	I bet hair would get stuck in my teeth.
context: Yeah! That's it!\Huh? It really is?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum\Well, I guess I'm last.\Here.\It's hard...\It's thick.\I bet hair would get stuck in my teeth. response:	Don't ever say all that in public.
context: Huh? It really is?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum\Well, I guess I'm last.\Here.\It's hard...\It's thick.\I bet hair would get stuck in my teeth.\Don't ever say all that in public. response:	Well? What's my score?
context: Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum\Well, I guess I'm last.\Here.\It's hard...\It's thick.\I bet hair would get stuck in my teeth.\Don't ever say all that in public.\Well? What's my score? response:	You fail!
context: Well, I guess I'm last.\Here.\It's hard...\It's thick.\I bet hair would get stuck in my teeth.\Don't ever say all that in public.\Well? What's my score?\You fail! response:	Is this payback for earlier?
context: Here.\It's hard...\It's thick.\I bet hair would get stuck in my teeth.\Don't ever say all that in public.\Well? What's my score?\You fail!\Is this payback for earlier? response:	Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible
context: It's hard...\It's thick.\I bet hair would get stuck in my teeth.\Don't ever say all that in public.\Well? What's my score?\You fail!\Is this payback for earlier?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible response:	The winner is Yukki!
context: It's thick.\I bet hair would get stuck in my teeth.\Don't ever say all that in public.\Well? What's my score?\You fail!\Is this payback for earlier?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\The winner is Yukki! response:	Soft ice cream... Soft ice cream...
context: I bet hair would get stuck in my teeth.\Don't ever say all that in public.\Well? What's my score?\You fail!\Is this payback for earlier?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\The winner is Yukki!\Soft ice cream... Soft ice cream... response:	Come to think of it, some legends say that snow women seduce people.
context: Don't ever say all that in public.\Well? What's my score?\You fail!\Is this payback for earlier?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\The winner is Yukki!\Soft ice cream... Soft ice cream...\Come to think of it, some legends say that snow women seduce people. response:	Wow, it really does feel good!
context: Well? What's my score?\You fail!\Is this payback for earlier?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\The winner is Yukki!\Soft ice cream... Soft ice cream...\Come to think of it, some legends say that snow women seduce people.\Wow, it really does feel good! response:	Right?
context: You fail!\Is this payback for earlier?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\The winner is Yukki!\Soft ice cream... Soft ice cream...\Come to think of it, some legends say that snow women seduce people.\Wow, it really does feel good!\Right? response:	Maybe this is what they mean.
context: Is this payback for earlier?\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\The winner is Yukki!\Soft ice cream... Soft ice cream...\Come to think of it, some legends say that snow women seduce people.\Wow, it really does feel good!\Right?\Maybe this is what they mean. response:	By the way, you two...
context: Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\The winner is Yukki!\Soft ice cream... Soft ice cream...\Come to think of it, some legends say that snow women seduce people.\Wow, it really does feel good!\Right?\Maybe this is what they mean.\By the way, you two... response:	She isn't here,
context: The winner is Yukki!\Soft ice cream... Soft ice cream...\Come to think of it, some legends say that snow women seduce people.\Wow, it really does feel good!\Right?\Maybe this is what they mean.\By the way, you two...\She isn't here, response:	but do you ever want to chew on Satou-sensei?
context: Soft ice cream... Soft ice cream...\Come to think of it, some legends say that snow women seduce people.\Wow, it really does feel good!\Right?\Maybe this is what they mean.\By the way, you two...\She isn't here,\but do you ever want to chew on Satou-sensei? response:	Sakki?
context: Come to think of it, some legends say that snow women seduce people.\Wow, it really does feel good!\Right?\Maybe this is what they mean.\By the way, you two...\She isn't here,\but do you ever want to chew on Satou-sensei?\Sakki? response:	I just borrowed it from Yuki-chan for the nostalgia factor,
context: Wow, it really does feel good!\Right?\Maybe this is what they mean.\By the way, you two...\She isn't here,\but do you ever want to chew on Satou-sensei?\Sakki?\I just borrowed it from Yuki-chan for the nostalgia factor, response:	but now that I've started, I can't stop!
context: Right?\Maybe this is what they mean.\By the way, you two...\She isn't here,\but do you ever want to chew on Satou-sensei?\Sakki?\I just borrowed it from Yuki-chan for the nostalgia factor,\but now that I've started, I can't stop! response:	Hmm... No, I've never wanted to chew on her in particular.
context: Maybe this is what they mean.\By the way, you two...\She isn't here,\but do you ever want to chew on Satou-sensei?\Sakki?\I just borrowed it from Yuki-chan for the nostalgia factor,\but now that I've started, I can't stop!\Hmm... No, I've never wanted to chew on her in particular. response:	She's normal.
context: By the way, you two...\She isn't here,\but do you ever want to chew on Satou-sensei?\Sakki?\I just borrowed it from Yuki-chan for the nostalgia factor,\but now that I've started, I can't stop!\Hmm... No, I've never wanted to chew on her in particular.\She's normal. response:	I see.
context: She isn't here,\but do you ever want to chew on Satou-sensei?\Sakki?\I just borrowed it from Yuki-chan for the nostalgia factor,\but now that I've started, I can't stop!\Hmm... No, I've never wanted to chew on her in particular.\She's normal.\I see. response:	Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible
context: but do you ever want to chew on Satou-sensei?\Sakki?\I just borrowed it from Yuki-chan for the nostalgia factor,\but now that I've started, I can't stop!\Hmm... No, I've never wanted to chew on her in particular.\She's normal.\I see.\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible response:	Tenderloin, ice cream, gum...
context: Sakki?\I just borrowed it from Yuki-chan for the nostalgia factor,\but now that I've started, I can't stop!\Hmm... No, I've never wanted to chew on her in particular.\She's normal.\I see.\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Tenderloin, ice cream, gum... response:	If you can compare it to food,
context: I just borrowed it from Yuki-chan for the nostalgia factor,\but now that I've started, I can't stop!\Hmm... No, I've never wanted to chew on her in particular.\She's normal.\I see.\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Tenderloin, ice cream, gum...\If you can compare it to food, response:	maybe sucking blood is really based on eating meals.
context: but now that I've started, I can't stop!\Hmm... No, I've never wanted to chew on her in particular.\She's normal.\I see.\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Tenderloin, ice cream, gum...\If you can compare it to food,\maybe sucking blood is really based on eating meals. response:	But Hikari always says it's an act that has sexual nuances.
context: Hmm... No, I've never wanted to chew on her in particular.\She's normal.\I see.\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Tenderloin, ice cream, gum...\If you can compare it to food,\maybe sucking blood is really based on eating meals.\But Hikari always says it's an act that has sexual nuances. response:	So it would seem natural for her to be drawn to a succubus
context: She's normal.\I see.\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Tenderloin, ice cream, gum...\If you can compare it to food,\maybe sucking blood is really based on eating meals.\But Hikari always says it's an act that has sexual nuances.\So it would seem natural for her to be drawn to a succubus response:	that has an aphrodisiac effect.
context: I see.\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Tenderloin, ice cream, gum...\If you can compare it to food,\maybe sucking blood is really based on eating meals.\But Hikari always says it's an act that has sexual nuances.\So it would seem natural for her to be drawn to a succubus\that has an aphrodisiac effect. response:	Actually, maybe if Hikari touched her directly,
context: Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Tenderloin, ice cream, gum...\If you can compare it to food,\maybe sucking blood is really based on eating meals.\But Hikari always says it's an act that has sexual nuances.\So it would seem natural for her to be drawn to a succubus\that has an aphrodisiac effect.\Actually, maybe if Hikari touched her directly, response:	then it would affect her...
context: Tenderloin, ice cream, gum...\If you can compare it to food,\maybe sucking blood is really based on eating meals.\But Hikari always says it's an act that has sexual nuances.\So it would seem natural for her to be drawn to a succubus\that has an aphrodisiac effect.\Actually, maybe if Hikari touched her directly,\then it would affect her... response:	Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible
context: If you can compare it to food,\maybe sucking blood is really based on eating meals.\But Hikari always says it's an act that has sexual nuances.\So it would seem natural for her to be drawn to a succubus\that has an aphrodisiac effect.\Actually, maybe if Hikari touched her directly,\then it would affect her...\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible response:	Sucking blood.
context: maybe sucking blood is really based on eating meals.\But Hikari always says it's an act that has sexual nuances.\So it would seem natural for her to be drawn to a succubus\that has an aphrodisiac effect.\Actually, maybe if Hikari touched her directly,\then it would affect her...\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Sucking blood. response:	Appetite.
context: But Hikari always says it's an act that has sexual nuances.\So it would seem natural for her to be drawn to a succubus\that has an aphrodisiac effect.\Actually, maybe if Hikari touched her directly,\then it would affect her...\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Sucking blood.\Appetite. response:	Sexual desire.
context: So it would seem natural for her to be drawn to a succubus\that has an aphrodisiac effect.\Actually, maybe if Hikari touched her directly,\then it would affect her...\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Sucking blood.\Appetite.\Sexual desire. response:	Aphrodisiac.
context: that has an aphrodisiac effect.\Actually, maybe if Hikari touched her directly,\then it would affect her...\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Sucking blood.\Appetite.\Sexual desire.\Aphrodisiac. response:	Succubus.
context: Actually, maybe if Hikari touched her directly,\then it would affect her...\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Sucking blood.\Appetite.\Sexual desire.\Aphrodisiac.\Succubus. response:	Thinking about it logically...
context: then it would affect her...\Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Sucking blood.\Appetite.\Sexual desire.\Aphrodisiac.\Succubus.\Thinking about it logically... response:	It seems like Satou-sensei would taste the best...
context: Macchi: 65, Tenderloin Yukki: 93, Soft Ice Cream Himari: Priceless, Gum Sensei: Fail, Inedible\Sucking blood.\Appetite.\Sexual desire.\Aphrodisiac.\Succubus.\Thinking about it logically...\It seems like Satou-sensei would taste the best... response:	Satou-sensei would...
context: Sucking blood.\Appetite.\Sexual desire.\Aphrodisiac.\Succubus.\Thinking about it logically...\It seems like Satou-sensei would taste the best...\Satou-sensei would... response:	What does that mean?
context: Appetite.\Sexual desire.\Aphrodisiac.\Succubus.\Thinking about it logically...\It seems like Satou-sensei would taste the best...\Satou-sensei would...\What does that mean? response:	Huh?
context: Sexual desire.\Aphrodisiac.\Succubus.\Thinking about it logically...\It seems like Satou-sensei would taste the best...\Satou-sensei would...\What does that mean?\Huh? response:	I don't think saying a woman would taste good is right!
context: Aphrodisiac.\Succubus.\Thinking about it logically...\It seems like Satou-sensei would taste the best...\Satou-sensei would...\What does that mean?\Huh?\I don't think saying a woman would taste good is right! response:	Shameless!
context: Succubus.\Thinking about it logically...\It seems like Satou-sensei would taste the best...\Satou-sensei would...\What does that mean?\Huh?\I don't think saying a woman would taste good is right!\Shameless! response:	Takahashi-sensei, is Satou-sensei your...
context: Thinking about it logically...\It seems like Satou-sensei would taste the best...\Satou-sensei would...\What does that mean?\Huh?\I don't think saying a woman would taste good is right!\Shameless!\Takahashi-sensei, is Satou-sensei your... response:	No! I meant from a vampire's perspective!
context: It seems like Satou-sensei would taste the best...\Satou-sensei would...\What does that mean?\Huh?\I don't think saying a woman would taste good is right!\Shameless!\Takahashi-sensei, is Satou-sensei your...\No! I meant from a vampire's perspective! response:	What kind of educator does that make you?
context: Satou-sensei would...\What does that mean?\Huh?\I don't think saying a woman would taste good is right!\Shameless!\Takahashi-sensei, is Satou-sensei your...\No! I meant from a vampire's perspective!\What kind of educator does that make you? response:	Yeah! Yeah!
context: What does that mean?\Huh?\I don't think saying a woman would taste good is right!\Shameless!\Takahashi-sensei, is Satou-sensei your...\No! I meant from a vampire's perspective!\What kind of educator does that make you?\Yeah! Yeah! response:	T-Takahashi-sensei...
context: Huh?\I don't think saying a woman would taste good is right!\Shameless!\Takahashi-sensei, is Satou-sensei your...\No! I meant from a vampire's perspective!\What kind of educator does that make you?\Yeah! Yeah!\T-Takahashi-sensei... response:	I'm disappointed in you!
context: I don't think saying a woman would taste good is right!\Shameless!\Takahashi-sensei, is Satou-sensei your...\No! I meant from a vampire's perspective!\What kind of educator does that make you?\Yeah! Yeah!\T-Takahashi-sensei...\I'm disappointed in you! response:	Sensei, you perv!
context: Shameless!\Takahashi-sensei, is Satou-sensei your...\No! I meant from a vampire's perspective!\What kind of educator does that make you?\Yeah! Yeah!\T-Takahashi-sensei...\I'm disappointed in you!\Sensei, you perv! response:	Takahashi-sensei!
context: Takahashi-sensei, is Satou-sensei your...\No! I meant from a vampire's perspective!\What kind of educator does that make you?\Yeah! Yeah!\T-Takahashi-sensei...\I'm disappointed in you!\Sensei, you perv!\Takahashi-sensei! response:	Perv! Perv! Perv!
context: No! I meant from a vampire's perspective!\What kind of educator does that make you?\Yeah! Yeah!\T-Takahashi-sensei...\I'm disappointed in you!\Sensei, you perv!\Takahashi-sensei!\Perv! Perv! Perv! response:	No matter what the case,
context: What kind of educator does that make you?\Yeah! Yeah!\T-Takahashi-sensei...\I'm disappointed in you!\Sensei, you perv!\Takahashi-sensei!\Perv! Perv! Perv!\No matter what the case, response:	Sensei...
context: Yeah! Yeah!\T-Takahashi-sensei...\I'm disappointed in you!\Sensei, you perv!\Takahashi-sensei!\Perv! Perv! Perv!\No matter what the case,\Sensei... response:	saying a woman would taste good is wrong.
context: T-Takahashi-sensei...\I'm disappointed in you!\Sensei, you perv!\Takahashi-sensei!\Perv! Perv! Perv!\No matter what the case,\Sensei...\saying a woman would taste good is wrong. response:	You don't have to jump on me that much!
context: I'm disappointed in you!\Sensei, you perv!\Takahashi-sensei!\Perv! Perv! Perv!\No matter what the case,\Sensei...\saying a woman would taste good is wrong.\You don't have to jump on me that much! response:	Year 1 Proficiency Test
context: Sensei, you perv!\Takahashi-sensei!\Perv! Perv! Perv!\No matter what the case,\Sensei...\saying a woman would taste good is wrong.\You don't have to jump on me that much!\Year 1 Proficiency Test response:	With these results, there shouldn't be a problem.
context: Takahashi-sensei!\Perv! Perv! Perv!\No matter what the case,\Sensei...\saying a woman would taste good is wrong.\You don't have to jump on me that much!\Year 1 Proficiency Test\With these results, there shouldn't be a problem. response:	You did well. Good job.
context: Perv! Perv! Perv!\No matter what the case,\Sensei...\saying a woman would taste good is wrong.\You don't have to jump on me that much!\Year 1 Proficiency Test\With these results, there shouldn't be a problem.\You did well. Good job. response:	It really is nice to be praised!
context: No matter what the case,\Sensei...\saying a woman would taste good is wrong.\You don't have to jump on me that much!\Year 1 Proficiency Test\With these results, there shouldn't be a problem.\You did well. Good job.\It really is nice to be praised! response:	Yay! Yay! Yay!
context: Sensei...\saying a woman would taste good is wrong.\You don't have to jump on me that much!\Year 1 Proficiency Test\With these results, there shouldn't be a problem.\You did well. Good job.\It really is nice to be praised!\Yay! Yay! Yay! response:	Then you should have tried harder, to begin with.
context: saying a woman would taste good is wrong.\You don't have to jump on me that much!\Year 1 Proficiency Test\With these results, there shouldn't be a problem.\You did well. Good job.\It really is nice to be praised!\Yay! Yay! Yay!\Then you should have tried harder, to begin with. response:	Proficiency Test Top 30
context: You don't have to jump on me that much!\Year 1 Proficiency Test\With these results, there shouldn't be a problem.\You did well. Good job.\It really is nice to be praised!\Yay! Yay! Yay!\Then you should have tried harder, to begin with.\Proficiency Test Top 30 response:	They post our proficiency test results, too?
context: Year 1 Proficiency Test\With these results, there shouldn't be a problem.\You did well. Good job.\It really is nice to be praised!\Yay! Yay! Yay!\Then you should have tried harder, to begin with.\Proficiency Test Top 30\They post our proficiency test results, too? response:	27th: Kusakabe Yuki
context: With these results, there shouldn't be a problem.\You did well. Good job.\It really is nice to be praised!\Yay! Yay! Yay!\Then you should have tried harder, to begin with.\Proficiency Test Top 30\They post our proficiency test results, too?\27th: Kusakabe Yuki response:	Yukki made the list!
context: You did well. Good job.\It really is nice to be praised!\Yay! Yay! Yay!\Then you should have tried harder, to begin with.\Proficiency Test Top 30\They post our proficiency test results, too?\27th: Kusakabe Yuki\Yukki made the list! response:	3rd: Takanashi Himari
context: It really is nice to be praised!\Yay! Yay! Yay!\Then you should have tried harder, to begin with.\Proficiency Test Top 30\They post our proficiency test results, too?\27th: Kusakabe Yuki\Yukki made the list!\3rd: Takanashi Himari response:	Himari dropped a rank...
context: Yay! Yay! Yay!\Then you should have tried harder, to begin with.\Proficiency Test Top 30\They post our proficiency test results, too?\27th: Kusakabe Yuki\Yukki made the list!\3rd: Takanashi Himari\Himari dropped a rank... response:	How frustrating!
context: Then you should have tried harder, to begin with.\Proficiency Test Top 30\They post our proficiency test results, too?\27th: Kusakabe Yuki\Yukki made the list!\3rd: Takanashi Himari\Himari dropped a rank...\How frustrating! response:	Try harder, Himari...
context: Proficiency Test Top 30\They post our proficiency test results, too?\27th: Kusakabe Yuki\Yukki made the list!\3rd: Takanashi Himari\Himari dropped a rank...\How frustrating!\Try harder, Himari... response:	Okay, who's the scoundrel who beat Himari?
context: They post our proficiency test results, too?\27th: Kusakabe Yuki\Yukki made the list!\3rd: Takanashi Himari\Himari dropped a rank...\How frustrating!\Try harder, Himari...\Okay, who's the scoundrel who beat Himari? response:	Roar, roar!
context: 27th: Kusakabe Yuki\Yukki made the list!\3rd: Takanashi Himari\Himari dropped a rank...\How frustrating!\Try harder, Himari...\Okay, who's the scoundrel who beat Himari?\Roar, roar! response:	Huh?
context: Yukki made the list!\3rd: Takanashi Himari\Himari dropped a rank...\How frustrating!\Try harder, Himari...\Okay, who's the scoundrel who beat Himari?\Roar, roar!\Huh? response:	Morning, Hikari.
context: 3rd: Takanashi Himari\Himari dropped a rank...\How frustrating!\Try harder, Himari...\Okay, who's the scoundrel who beat Himari?\Roar, roar!\Huh?\Morning, Hikari. response:	Oh, the proficiency test rankings are up.
context: Himari dropped a rank...\How frustrating!\Try harder, Himari...\Okay, who's the scoundrel who beat Himari?\Roar, roar!\Huh?\Morning, Hikari.\Oh, the proficiency test rankings are up. response:	They are.
context: How frustrating!\Try harder, Himari...\Okay, who's the scoundrel who beat Himari?\Roar, roar!\Huh?\Morning, Hikari.\Oh, the proficiency test rankings are up.\They are. response:	What's wrong, Hikari?
context: Try harder, Himari...\Okay, who's the scoundrel who beat Himari?\Roar, roar!\Huh?\Morning, Hikari.\Oh, the proficiency test rankings are up.\They are.\What's wrong, Hikari? response:	Hikari-chan?
context: Okay, who's the scoundrel who beat Himari?\Roar, roar!\Huh?\Morning, Hikari.\Oh, the proficiency test rankings are up.\They are.\What's wrong, Hikari?\Hikari-chan? response:	You're awful, Macchi...
context: Roar, roar!\Huh?\Morning, Hikari.\Oh, the proficiency test rankings are up.\They are.\What's wrong, Hikari?\Hikari-chan?\You're awful, Macchi... response:	I thought you were joking!
context: Huh?\Morning, Hikari.\Oh, the proficiency test rankings are up.\They are.\What's wrong, Hikari?\Hikari-chan?\You're awful, Macchi...\I thought you were joking! response:	Huh?
context: Morning, Hikari.\Oh, the proficiency test rankings are up.\They are.\What's wrong, Hikari?\Hikari-chan?\You're awful, Macchi...\I thought you were joking!\Huh? response:	1st: Machi Kyouko
context: Oh, the proficiency test rankings are up.\They are.\What's wrong, Hikari?\Hikari-chan?\You're awful, Macchi...\I thought you were joking!\Huh?\1st: Machi Kyouko response:	Huh?!
context: They are.\What's wrong, Hikari?\Hikari-chan?\You're awful, Macchi...\I thought you were joking!\Huh?\1st: Machi Kyouko\Huh?! response:	Next Time Demi-chans Want to Try
context: What's wrong, Hikari?\Hikari-chan?\You're awful, Macchi...\I thought you were joking!\Huh?\1st: Machi Kyouko\Huh?!\Next Time Demi-chans Want to Try response:	Demi-chans Want to Try.
