context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: She added in the nourishing elixir from High God Zhe Yan.\It's used for improving one's health.\How did he know that I added in the nourishing elixir?\I see.\High God is very thoughtful.\Your Highness need not be so polite.\After all, Ye Hua is my future husband.\I also hope that he can fully recover soon. response:	Speaking of which, that reminds me of your wedding.
context: It's used for improving one's health.\How did he know that I added in the nourishing elixir?\I see.\High God is very thoughtful.\Your Highness need not be so polite.\After all, Ye Hua is my future husband.\I also hope that he can fully recover soon.\Speaking of which, that reminds me of your wedding. response:	High God has been to the Nine Heavens twice already.
context: How did he know that I added in the nourishing elixir?\I see.\High God is very thoughtful.\Your Highness need not be so polite.\After all, Ye Hua is my future husband.\I also hope that he can fully recover soon.\Speaking of which, that reminds me of your wedding.\High God has been to the Nine Heavens twice already. response:	Now that you don't seem to be leaving anytime soon
context: I see.\High God is very thoughtful.\Your Highness need not be so polite.\After all, Ye Hua is my future husband.\I also hope that he can fully recover soon.\Speaking of which, that reminds me of your wedding.\High God has been to the Nine Heavens twice already.\Now that you don't seem to be leaving anytime soon response:	why don't we move the wedding date forward and have it done soon?
context: High God is very thoughtful.\Your Highness need not be so polite.\After all, Ye Hua is my future husband.\I also hope that he can fully recover soon.\Speaking of which, that reminds me of your wedding.\High God has been to the Nine Heavens twice already.\Now that you don't seem to be leaving anytime soon\why don't we move the wedding date forward and have it done soon? response:	First of all, that would comply with the Celestial Tribe's tradition.
context: Your Highness need not be so polite.\After all, Ye Hua is my future husband.\I also hope that he can fully recover soon.\Speaking of which, that reminds me of your wedding.\High God has been to the Nine Heavens twice already.\Now that you don't seem to be leaving anytime soon\why don't we move the wedding date forward and have it done soon?\First of all, that would comply with the Celestial Tribe's tradition. response:	Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.
context: After all, Ye Hua is my future husband.\I also hope that he can fully recover soon.\Speaking of which, that reminds me of your wedding.\High God has been to the Nine Heavens twice already.\Now that you don't seem to be leaving anytime soon\why don't we move the wedding date forward and have it done soon?\First of all, that would comply with the Celestial Tribe's tradition.\Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father. response:	What do you think about that, High God?
context: I also hope that he can fully recover soon.\Speaking of which, that reminds me of your wedding.\High God has been to the Nine Heavens twice already.\Now that you don't seem to be leaving anytime soon\why don't we move the wedding date forward and have it done soon?\First of all, that would comply with the Celestial Tribe's tradition.\Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.\What do you think about that, High God? response:	Although I'm Qing Qiu's Queen, my parents are still alive.
context: Speaking of which, that reminds me of your wedding.\High God has been to the Nine Heavens twice already.\Now that you don't seem to be leaving anytime soon\why don't we move the wedding date forward and have it done soon?\First of all, that would comply with the Celestial Tribe's tradition.\Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.\What do you think about that, High God?\Although I'm Qing Qiu's Queen, my parents are still alive. response:	I have to ask them about my marriage.
context: High God has been to the Nine Heavens twice already.\Now that you don't seem to be leaving anytime soon\why don't we move the wedding date forward and have it done soon?\First of all, that would comply with the Celestial Tribe's tradition.\Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.\What do you think about that, High God?\Although I'm Qing Qiu's Queen, my parents are still alive.\I have to ask them about my marriage. response:	Good!
context: Now that you don't seem to be leaving anytime soon\why don't we move the wedding date forward and have it done soon?\First of all, that would comply with the Celestial Tribe's tradition.\Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.\What do you think about that, High God?\Although I'm Qing Qiu's Queen, my parents are still alive.\I have to ask them about my marriage.\Good! response:	I'll speak to the Heavenly Lord
context: why don't we move the wedding date forward and have it done soon?\First of all, that would comply with the Celestial Tribe's tradition.\Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.\What do you think about that, High God?\Although I'm Qing Qiu's Queen, my parents are still alive.\I have to ask them about my marriage.\Good!\I'll speak to the Heavenly Lord response:	to prepare for the wedding in advance.
context: First of all, that would comply with the Celestial Tribe's tradition.\Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.\What do you think about that, High God?\Although I'm Qing Qiu's Queen, my parents are still alive.\I have to ask them about my marriage.\Good!\I'll speak to the Heavenly Lord\to prepare for the wedding in advance. response:	After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe
context: Secondly, this will fulfill the wish of the Heavenly Lord and Ye Hua's father.\What do you think about that, High God?\Although I'm Qing Qiu's Queen, my parents are still alive.\I have to ask them about my marriage.\Good!\I'll speak to the Heavenly Lord\to prepare for the wedding in advance.\After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe response:	is one important occasion that is not to be taken lightly.
context: What do you think about that, High God?\Although I'm Qing Qiu's Queen, my parents are still alive.\I have to ask them about my marriage.\Good!\I'll speak to the Heavenly Lord\to prepare for the wedding in advance.\After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe\is one important occasion that is not to be taken lightly. response:	Grandmother, A-Li likes you!
context: Although I'm Qing Qiu's Queen, my parents are still alive.\I have to ask them about my marriage.\Good!\I'll speak to the Heavenly Lord\to prepare for the wedding in advance.\After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe\is one important occasion that is not to be taken lightly.\Grandmother, A-Li likes you! response:	You mean that you don't usually like me?
context: I have to ask them about my marriage.\Good!\I'll speak to the Heavenly Lord\to prepare for the wedding in advance.\After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe\is one important occasion that is not to be taken lightly.\Grandmother, A-Li likes you!\You mean that you don't usually like me? response:	I do but I like you the most today.
context: Good!\I'll speak to the Heavenly Lord\to prepare for the wedding in advance.\After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe\is one important occasion that is not to be taken lightly.\Grandmother, A-Li likes you!\You mean that you don't usually like me?\I do but I like you the most today. response:	I've been looking forward to their wedding.
context: I'll speak to the Heavenly Lord\to prepare for the wedding in advance.\After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe\is one important occasion that is not to be taken lightly.\Grandmother, A-Li likes you!\You mean that you don't usually like me?\I do but I like you the most today.\I've been looking forward to their wedding. response:	Then A-Li can have a reason to visit Mother.
context: to prepare for the wedding in advance.\After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe\is one important occasion that is not to be taken lightly.\Grandmother, A-Li likes you!\You mean that you don't usually like me?\I do but I like you the most today.\I've been looking forward to their wedding.\Then A-Li can have a reason to visit Mother. response:	If they don't get married you can't visit your mother?
context: After all, the marriage between the Celestial Tribe and Qing Qiu's Fox Tribe\is one important occasion that is not to be taken lightly.\Grandmother, A-Li likes you!\You mean that you don't usually like me?\I do but I like you the most today.\I've been looking forward to their wedding.\Then A-Li can have a reason to visit Mother.\If they don't get married you can't visit your mother? response:	If they don't get married
context: is one important occasion that is not to be taken lightly.\Grandmother, A-Li likes you!\You mean that you don't usually like me?\I do but I like you the most today.\I've been looking forward to their wedding.\Then A-Li can have a reason to visit Mother.\If they don't get married you can't visit your mother?\If they don't get married response:	Mother will have to worry about the Celestial Tribe's regulations.
context: Grandmother, A-Li likes you!\You mean that you don't usually like me?\I do but I like you the most today.\I've been looking forward to their wedding.\Then A-Li can have a reason to visit Mother.\If they don't get married you can't visit your mother?\If they don't get married\Mother will have to worry about the Celestial Tribe's regulations. response:	She has to sneak in here to visit Father.
context: You mean that you don't usually like me?\I do but I like you the most today.\I've been looking forward to their wedding.\Then A-Li can have a reason to visit Mother.\If they don't get married you can't visit your mother?\If they don't get married\Mother will have to worry about the Celestial Tribe's regulations.\She has to sneak in here to visit Father. response:	Last time, she snuck into Father's room late at night.
context: I do but I like you the most today.\I've been looking forward to their wedding.\Then A-Li can have a reason to visit Mother.\If they don't get married you can't visit your mother?\If they don't get married\Mother will have to worry about the Celestial Tribe's regulations.\She has to sneak in here to visit Father.\Last time, she snuck into Father's room late at night. response:	If she has to do that every time, it will be really hard for me to find her.
context: I've been looking forward to their wedding.\Then A-Li can have a reason to visit Mother.\If they don't get married you can't visit your mother?\If they don't get married\Mother will have to worry about the Celestial Tribe's regulations.\She has to sneak in here to visit Father.\Last time, she snuck into Father's room late at night.\If she has to do that every time, it will be really hard for me to find her. response:	Ye Hua, why are you always so quiet?
context: Then A-Li can have a reason to visit Mother.\If they don't get married you can't visit your mother?\If they don't get married\Mother will have to worry about the Celestial Tribe's regulations.\She has to sneak in here to visit Father.\Last time, she snuck into Father's room late at night.\If she has to do that every time, it will be really hard for me to find her.\Ye Hua, why are you always so quiet? response:	As Mother said, this is indeed an important occasion
context: If they don't get married you can't visit your mother?\If they don't get married\Mother will have to worry about the Celestial Tribe's regulations.\She has to sneak in here to visit Father.\Last time, she snuck into Father's room late at night.\If she has to do that every time, it will be really hard for me to find her.\Ye Hua, why are you always so quiet?\As Mother said, this is indeed an important occasion response:	for both the Celestial Tribe and Qing Qiu.
context: If they don't get married\Mother will have to worry about the Celestial Tribe's regulations.\She has to sneak in here to visit Father.\Last time, she snuck into Father's room late at night.\If she has to do that every time, it will be really hard for me to find her.\Ye Hua, why are you always so quiet?\As Mother said, this is indeed an important occasion\for both the Celestial Tribe and Qing Qiu. response:	The Heavenly Lord will have to discuss it with the Fox King.
context: Mother will have to worry about the Celestial Tribe's regulations.\She has to sneak in here to visit Father.\Last time, she snuck into Father's room late at night.\If she has to do that every time, it will be really hard for me to find her.\Ye Hua, why are you always so quiet?\As Mother said, this is indeed an important occasion\for both the Celestial Tribe and Qing Qiu.\The Heavenly Lord will have to discuss it with the Fox King. response:	It can't be rushed.
context: She has to sneak in here to visit Father.\Last time, she snuck into Father's room late at night.\If she has to do that every time, it will be really hard for me to find her.\Ye Hua, why are you always so quiet?\As Mother said, this is indeed an important occasion\for both the Celestial Tribe and Qing Qiu.\The Heavenly Lord will have to discuss it with the Fox King.\It can't be rushed. response:	It's good that you're aware of that.
context: Last time, she snuck into Father's room late at night.\If she has to do that every time, it will be really hard for me to find her.\Ye Hua, why are you always so quiet?\As Mother said, this is indeed an important occasion\for both the Celestial Tribe and Qing Qiu.\The Heavenly Lord will have to discuss it with the Fox King.\It can't be rushed.\It's good that you're aware of that. response:	I won't keep the Crown Prince from handling official affairs now.
context: If she has to do that every time, it will be really hard for me to find her.\Ye Hua, why are you always so quiet?\As Mother said, this is indeed an important occasion\for both the Celestial Tribe and Qing Qiu.\The Heavenly Lord will have to discuss it with the Fox King.\It can't be rushed.\It's good that you're aware of that.\I won't keep the Crown Prince from handling official affairs now. response:	I'll take my leave.
context: Ye Hua, why are you always so quiet?\As Mother said, this is indeed an important occasion\for both the Celestial Tribe and Qing Qiu.\The Heavenly Lord will have to discuss it with the Fox King.\It can't be rushed.\It's good that you're aware of that.\I won't keep the Crown Prince from handling official affairs now.\I'll take my leave. response:	Take care, Grandmother.
context: As Mother said, this is indeed an important occasion\for both the Celestial Tribe and Qing Qiu.\The Heavenly Lord will have to discuss it with the Fox King.\It can't be rushed.\It's good that you're aware of that.\I won't keep the Crown Prince from handling official affairs now.\I'll take my leave.\Take care, Grandmother. response:	Go and read.
context: for both the Celestial Tribe and Qing Qiu.\The Heavenly Lord will have to discuss it with the Fox King.\It can't be rushed.\It's good that you're aware of that.\I won't keep the Crown Prince from handling official affairs now.\I'll take my leave.\Take care, Grandmother.\Go and read. response:	How did you know that I added a nourishing elixir to your tea?
context: The Heavenly Lord will have to discuss it with the Fox King.\It can't be rushed.\It's good that you're aware of that.\I won't keep the Crown Prince from handling official affairs now.\I'll take my leave.\Take care, Grandmother.\Go and read.\How did you know that I added a nourishing elixir to your tea? response:	Even my mother knew that there was something fishy with the tea.
context: It can't be rushed.\It's good that you're aware of that.\I won't keep the Crown Prince from handling official affairs now.\I'll take my leave.\Take care, Grandmother.\Go and read.\How did you know that I added a nourishing elixir to your tea?\Even my mother knew that there was something fishy with the tea. response:	If I didn't, wouldn't that make me seem incompetent?
context: It's good that you're aware of that.\I won't keep the Crown Prince from handling official affairs now.\I'll take my leave.\Take care, Grandmother.\Go and read.\How did you know that I added a nourishing elixir to your tea?\Even my mother knew that there was something fishy with the tea.\If I didn't, wouldn't that make me seem incompetent? response:	Consort Le Xu came here for that?
context: I won't keep the Crown Prince from handling official affairs now.\I'll take my leave.\Take care, Grandmother.\Go and read.\How did you know that I added a nourishing elixir to your tea?\Even my mother knew that there was something fishy with the tea.\If I didn't, wouldn't that make me seem incompetent?\Consort Le Xu came here for that? response:	I was wondering why she rushed here in such a panic.
context: I'll take my leave.\Take care, Grandmother.\Go and read.\How did you know that I added a nourishing elixir to your tea?\Even my mother knew that there was something fishy with the tea.\If I didn't, wouldn't that make me seem incompetent?\Consort Le Xu came here for that?\I was wondering why she rushed here in such a panic. response:	There are so many regulations in the Celestial Tribe.
context: Take care, Grandmother.\Go and read.\How did you know that I added a nourishing elixir to your tea?\Even my mother knew that there was something fishy with the tea.\If I didn't, wouldn't that make me seem incompetent?\Consort Le Xu came here for that?\I was wondering why she rushed here in such a panic.\There are so many regulations in the Celestial Tribe. response:	They think too much.
context: Go and read.\How did you know that I added a nourishing elixir to your tea?\Even my mother knew that there was something fishy with the tea.\If I didn't, wouldn't that make me seem incompetent?\Consort Le Xu came here for that?\I was wondering why she rushed here in such a panic.\There are so many regulations in the Celestial Tribe.\They think too much. response:	Why are you looking at me like that?
context: How did you know that I added a nourishing elixir to your tea?\Even my mother knew that there was something fishy with the tea.\If I didn't, wouldn't that make me seem incompetent?\Consort Le Xu came here for that?\I was wondering why she rushed here in such a panic.\There are so many regulations in the Celestial Tribe.\They think too much.\Why are you looking at me like that? response:	It's nothing.
context: Even my mother knew that there was something fishy with the tea.\If I didn't, wouldn't that make me seem incompetent?\Consort Le Xu came here for that?\I was wondering why she rushed here in such a panic.\There are so many regulations in the Celestial Tribe.\They think too much.\Why are you looking at me like that?\It's nothing. response:	I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.
context: If I didn't, wouldn't that make me seem incompetent?\Consort Le Xu came here for that?\I was wondering why she rushed here in such a panic.\There are so many regulations in the Celestial Tribe.\They think too much.\Why are you looking at me like that?\It's nothing.\I just think that my trip to Yingzhou of the Eastern Sea was worthwhile. response:	You now speak to me so much more cheerfully.
context: Consort Le Xu came here for that?\I was wondering why she rushed here in such a panic.\There are so many regulations in the Celestial Tribe.\They think too much.\Why are you looking at me like that?\It's nothing.\I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.\You now speak to me so much more cheerfully. response:	I was like this when I was younger.
context: I was wondering why she rushed here in such a panic.\There are so many regulations in the Celestial Tribe.\They think too much.\Why are you looking at me like that?\It's nothing.\I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.\You now speak to me so much more cheerfully.\I was like this when I was younger. response:	It's just that after 140,000 years
context: There are so many regulations in the Celestial Tribe.\They think too much.\Why are you looking at me like that?\It's nothing.\I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.\You now speak to me so much more cheerfully.\I was like this when I was younger.\It's just that after 140,000 years response:	with everyone in the realms addressing me as Auntie
context: They think too much.\Why are you looking at me like that?\It's nothing.\I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.\You now speak to me so much more cheerfully.\I was like this when I was younger.\It's just that after 140,000 years\with everyone in the realms addressing me as Auntie response:	I wouldn't dare speak too casually.
context: Why are you looking at me like that?\It's nothing.\I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.\You now speak to me so much more cheerfully.\I was like this when I was younger.\It's just that after 140,000 years\with everyone in the realms addressing me as Auntie\I wouldn't dare speak too casually. response:	What are you going to prepare for our wedding?
context: It's nothing.\I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.\You now speak to me so much more cheerfully.\I was like this when I was younger.\It's just that after 140,000 years\with everyone in the realms addressing me as Auntie\I wouldn't dare speak too casually.\What are you going to prepare for our wedding? response:	This is an important occasion.
context: I just think that my trip to Yingzhou of the Eastern Sea was worthwhile.\You now speak to me so much more cheerfully.\I was like this when I was younger.\It's just that after 140,000 years\with everyone in the realms addressing me as Auntie\I wouldn't dare speak too casually.\What are you going to prepare for our wedding?\This is an important occasion. response:	We must discuss it carefully.
context: You now speak to me so much more cheerfully.\I was like this when I was younger.\It's just that after 140,000 years\with everyone in the realms addressing me as Auntie\I wouldn't dare speak too casually.\What are you going to prepare for our wedding?\This is an important occasion.\We must discuss it carefully. response:	Lord Dong Hua just returned recently.
context: I was like this when I was younger.\It's just that after 140,000 years\with everyone in the realms addressing me as Auntie\I wouldn't dare speak too casually.\What are you going to prepare for our wedding?\This is an important occasion.\We must discuss it carefully.\Lord Dong Hua just returned recently. response:	He has much to discuss with the Heavenly Lord.
context: It's just that after 140,000 years\with everyone in the realms addressing me as Auntie\I wouldn't dare speak too casually.\What are you going to prepare for our wedding?\This is an important occasion.\We must discuss it carefully.\Lord Dong Hua just returned recently.\He has much to discuss with the Heavenly Lord. response:	Once the Heavenly Lord has some time to himself in a few days
context: with everyone in the realms addressing me as Auntie\I wouldn't dare speak too casually.\What are you going to prepare for our wedding?\This is an important occasion.\We must discuss it carefully.\Lord Dong Hua just returned recently.\He has much to discuss with the Heavenly Lord.\Once the Heavenly Lord has some time to himself in a few days response:	I'll report to him about holding the wedding.
context: I wouldn't dare speak too casually.\What are you going to prepare for our wedding?\This is an important occasion.\We must discuss it carefully.\Lord Dong Hua just returned recently.\He has much to discuss with the Heavenly Lord.\Once the Heavenly Lord has some time to himself in a few days\I'll report to him about holding the wedding. response:	Who knows how long I will have to wait for Mister Bottled Up to make a move.
context: What are you going to prepare for our wedding?\This is an important occasion.\We must discuss it carefully.\Lord Dong Hua just returned recently.\He has much to discuss with the Heavenly Lord.\Once the Heavenly Lord has some time to himself in a few days\I'll report to him about holding the wedding.\Who knows how long I will have to wait for Mister Bottled Up to make a move. response:	I'd better bring this up to my brothers
context: This is an important occasion.\We must discuss it carefully.\Lord Dong Hua just returned recently.\He has much to discuss with the Heavenly Lord.\Once the Heavenly Lord has some time to himself in a few days\I'll report to him about holding the wedding.\Who knows how long I will have to wait for Mister Bottled Up to make a move.\I'd better bring this up to my brothers response:	so they can talk to Mother and Father about it.
context: We must discuss it carefully.\Lord Dong Hua just returned recently.\He has much to discuss with the Heavenly Lord.\Once the Heavenly Lord has some time to himself in a few days\I'll report to him about holding the wedding.\Who knows how long I will have to wait for Mister Bottled Up to make a move.\I'd better bring this up to my brothers\so they can talk to Mother and Father about it. response:	That should save him some trouble when he approaches them.
context: Lord Dong Hua just returned recently.\He has much to discuss with the Heavenly Lord.\Once the Heavenly Lord has some time to himself in a few days\I'll report to him about holding the wedding.\Who knows how long I will have to wait for Mister Bottled Up to make a move.\I'd better bring this up to my brothers\so they can talk to Mother and Father about it.\That should save him some trouble when he approaches them. response:	- Your Highness! - Your Highness!
context: He has much to discuss with the Heavenly Lord.\Once the Heavenly Lord has some time to himself in a few days\I'll report to him about holding the wedding.\Who knows how long I will have to wait for Mister Bottled Up to make a move.\I'd better bring this up to my brothers\so they can talk to Mother and Father about it.\That should save him some trouble when he approaches them.\- Your Highness! - Your Highness! response:	What are you doing?
context: Once the Heavenly Lord has some time to himself in a few days\I'll report to him about holding the wedding.\Who knows how long I will have to wait for Mister Bottled Up to make a move.\I'd better bring this up to my brothers\so they can talk to Mother and Father about it.\That should save him some trouble when he approaches them.\- Your Highness! - Your Highness!\What are you doing? response:	Are you preparing for Little Prince's birthday?
context: I'll report to him about holding the wedding.\Who knows how long I will have to wait for Mister Bottled Up to make a move.\I'd better bring this up to my brothers\so they can talk to Mother and Father about it.\That should save him some trouble when he approaches them.\- Your Highness! - Your Highness!\What are you doing?\Are you preparing for Little Prince's birthday? response:	The Crown Prince doesn't like bright red colors.
context: Who knows how long I will have to wait for Mister Bottled Up to make a move.\I'd better bring this up to my brothers\so they can talk to Mother and Father about it.\That should save him some trouble when he approaches them.\- Your Highness! - Your Highness!\What are you doing?\Are you preparing for Little Prince's birthday?\The Crown Prince doesn't like bright red colors. response:	Change them.
context: I'd better bring this up to my brothers\so they can talk to Mother and Father about it.\That should save him some trouble when he approaches them.\- Your Highness! - Your Highness!\What are you doing?\Are you preparing for Little Prince's birthday?\The Crown Prince doesn't like bright red colors.\Change them. response:	The Crown Prince gave the orders himself.
context: so they can talk to Mother and Father about it.\That should save him some trouble when he approaches them.\- Your Highness! - Your Highness!\What are you doing?\Are you preparing for Little Prince's birthday?\The Crown Prince doesn't like bright red colors.\Change them.\The Crown Prince gave the orders himself. response:	The high god of Qing Qiu is soon to be married into the palace
context: That should save him some trouble when he approaches them.\- Your Highness! - Your Highness!\What are you doing?\Are you preparing for Little Prince's birthday?\The Crown Prince doesn't like bright red colors.\Change them.\The Crown Prince gave the orders himself.\The high god of Qing Qiu is soon to be married into the palace response:	and we are to prepare for it.
context: - Your Highness! - Your Highness!\What are you doing?\Are you preparing for Little Prince's birthday?\The Crown Prince doesn't like bright red colors.\Change them.\The Crown Prince gave the orders himself.\The high god of Qing Qiu is soon to be married into the palace\and we are to prepare for it. response:	That is true.
context: What are you doing?\Are you preparing for Little Prince's birthday?\The Crown Prince doesn't like bright red colors.\Change them.\The Crown Prince gave the orders himself.\The high god of Qing Qiu is soon to be married into the palace\and we are to prepare for it.\That is true. response:	After all, she is the high god of Qing Qiu and the legal consort.
context: Are you preparing for Little Prince's birthday?\The Crown Prince doesn't like bright red colors.\Change them.\The Crown Prince gave the orders himself.\The high god of Qing Qiu is soon to be married into the palace\and we are to prepare for it.\That is true.\After all, she is the high god of Qing Qiu and the legal consort. response:	Everything must be well prepared.
context: The Crown Prince doesn't like bright red colors.\Change them.\The Crown Prince gave the orders himself.\The high god of Qing Qiu is soon to be married into the palace\and we are to prepare for it.\That is true.\After all, she is the high god of Qing Qiu and the legal consort.\Everything must be well prepared. response:	I'll have to discuss the rites of marrying the legal consort
context: Change them.\The Crown Prince gave the orders himself.\The high god of Qing Qiu is soon to be married into the palace\and we are to prepare for it.\That is true.\After all, she is the high god of Qing Qiu and the legal consort.\Everything must be well prepared.\I'll have to discuss the rites of marrying the legal consort response:	with Consort Le Xu and the Crown Prince when I return to the palace.
context: The Crown Prince gave the orders himself.\The high god of Qing Qiu is soon to be married into the palace\and we are to prepare for it.\That is true.\After all, she is the high god of Qing Qiu and the legal consort.\Everything must be well prepared.\I'll have to discuss the rites of marrying the legal consort\with Consort Le Xu and the Crown Prince when I return to the palace. response:	Get going.
context: The high god of Qing Qiu is soon to be married into the palace\and we are to prepare for it.\That is true.\After all, she is the high god of Qing Qiu and the legal consort.\Everything must be well prepared.\I'll have to discuss the rites of marrying the legal consort\with Consort Le Xu and the Crown Prince when I return to the palace.\Get going. response:	Yes!
context: and we are to prepare for it.\That is true.\After all, she is the high god of Qing Qiu and the legal consort.\Everything must be well prepared.\I'll have to discuss the rites of marrying the legal consort\with Consort Le Xu and the Crown Prince when I return to the palace.\Get going.\Yes! response:	Your Highness, when you married into Xiwu Palace
context: That is true.\After all, she is the high god of Qing Qiu and the legal consort.\Everything must be well prepared.\I'll have to discuss the rites of marrying the legal consort\with Consort Le Xu and the Crown Prince when I return to the palace.\Get going.\Yes!\Your Highness, when you married into Xiwu Palace response:	there wasn't any wedding ritual at all.
context: After all, she is the high god of Qing Qiu and the legal consort.\Everything must be well prepared.\I'll have to discuss the rites of marrying the legal consort\with Consort Le Xu and the Crown Prince when I return to the palace.\Get going.\Yes!\Your Highness, when you married into Xiwu Palace\there wasn't any wedding ritual at all. response:	It was even... even worse than when you were the Heavenly Lord's concubine.
context: Everything must be well prepared.\I'll have to discuss the rites of marrying the legal consort\with Consort Le Xu and the Crown Prince when I return to the palace.\Get going.\Yes!\Your Highness, when you married into Xiwu Palace\there wasn't any wedding ritual at all.\It was even... even worse than when you were the Heavenly Lord's concubine. response:	Everyone knows I have loved Ye Hua since I was young.
context: I'll have to discuss the rites of marrying the legal consort\with Consort Le Xu and the Crown Prince when I return to the palace.\Get going.\Yes!\Your Highness, when you married into Xiwu Palace\there wasn't any wedding ritual at all.\It was even... even worse than when you were the Heavenly Lord's concubine.\Everyone knows I have loved Ye Hua since I was young. response:	There is no telling who will be the future mistress of Xiwu Palace.
context: with Consort Le Xu and the Crown Prince when I return to the palace.\Get going.\Yes!\Your Highness, when you married into Xiwu Palace\there wasn't any wedding ritual at all.\It was even... even worse than when you were the Heavenly Lord's concubine.\Everyone knows I have loved Ye Hua since I was young.\There is no telling who will be the future mistress of Xiwu Palace. response:	Yes, Your Highness!
context: Get going.\Yes!\Your Highness, when you married into Xiwu Palace\there wasn't any wedding ritual at all.\It was even... even worse than when you were the Heavenly Lord's concubine.\Everyone knows I have loved Ye Hua since I was young.\There is no telling who will be the future mistress of Xiwu Palace.\Yes, Your Highness! response:	Ye Hua.
context: Yes!\Your Highness, when you married into Xiwu Palace\there wasn't any wedding ritual at all.\It was even... even worse than when you were the Heavenly Lord's concubine.\Everyone knows I have loved Ye Hua since I was young.\There is no telling who will be the future mistress of Xiwu Palace.\Yes, Your Highness!\Ye Hua. response:	You've decided to hold the wedding?
context: Your Highness, when you married into Xiwu Palace\there wasn't any wedding ritual at all.\It was even... even worse than when you were the Heavenly Lord's concubine.\Everyone knows I have loved Ye Hua since I was young.\There is no telling who will be the future mistress of Xiwu Palace.\Yes, Your Highness!\Ye Hua.\You've decided to hold the wedding? response:	Let's discuss the betrothal gifts and welcoming ceremony rituals.
context: there wasn't any wedding ritual at all.\It was even... even worse than when you were the Heavenly Lord's concubine.\Everyone knows I have loved Ye Hua since I was young.\There is no telling who will be the future mistress of Xiwu Palace.\Yes, Your Highness!\Ye Hua.\You've decided to hold the wedding?\Let's discuss the betrothal gifts and welcoming ceremony rituals. response:	- This is an important occasion. - Yes.
context: It was even... even worse than when you were the Heavenly Lord's concubine.\Everyone knows I have loved Ye Hua since I was young.\There is no telling who will be the future mistress of Xiwu Palace.\Yes, Your Highness!\Ye Hua.\You've decided to hold the wedding?\Let's discuss the betrothal gifts and welcoming ceremony rituals.\- This is an important occasion. - Yes. response:	Father, don't rejoice too soon.
context: Everyone knows I have loved Ye Hua since I was young.\There is no telling who will be the future mistress of Xiwu Palace.\Yes, Your Highness!\Ye Hua.\You've decided to hold the wedding?\Let's discuss the betrothal gifts and welcoming ceremony rituals.\- This is an important occasion. - Yes.\Father, don't rejoice too soon. response:	Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.
context: There is no telling who will be the future mistress of Xiwu Palace.\Yes, Your Highness!\Ye Hua.\You've decided to hold the wedding?\Let's discuss the betrothal gifts and welcoming ceremony rituals.\- This is an important occasion. - Yes.\Father, don't rejoice too soon.\Ye Hua still needs to withstand a heavenly trial in the Mortal Realm. response:	Why?
context: Yes, Your Highness!\Ye Hua.\You've decided to hold the wedding?\Let's discuss the betrothal gifts and welcoming ceremony rituals.\- This is an important occasion. - Yes.\Father, don't rejoice too soon.\Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.\Why? response:	Yingzhou of the Eastern Sea's four mythical beasts
context: Ye Hua.\You've decided to hold the wedding?\Let's discuss the betrothal gifts and welcoming ceremony rituals.\- This is an important occasion. - Yes.\Father, don't rejoice too soon.\Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.\Why?\Yingzhou of the Eastern Sea's four mythical beasts response:	inherited half of the Heavenly Father's powers.
context: You've decided to hold the wedding?\Let's discuss the betrothal gifts and welcoming ceremony rituals.\- This is an important occasion. - Yes.\Father, don't rejoice too soon.\Ye Hua still needs to withstand a heavenly trial in the Mortal Realm.\Why?\Yingzhou of the Eastern Sea's four mythical beasts\inherited half of the Heavenly Father's powers. response:	However, Ye Hua had them slayed.
