context: but there is only desolation under an autumn sunset. response:	Swift waters parted by the jagged rocks
context: Two wins for Mizusawa!\Not President Mashima...\Okay! Three wins for Mizusawa!\Not Porky...\They're so dependable that it makes me sick!\Sorry...\I can't be the hero.\I'm acting like a loser, response:	but right now, I just want one card!
context: Not President Mashima...\Okay! Three wins for Mizusawa!\Not Porky...\They're so dependable that it makes me sick!\Sorry...\I can't be the hero.\I'm acting like a loser,\but right now, I just want one card! response:	One card!
context: Okay! Three wins for Mizusawa!\Not Porky...\They're so dependable that it makes me sick!\Sorry...\I can't be the hero.\I'm acting like a loser,\but right now, I just want one card!\One card! response:	One card!
context: Not Porky...\They're so dependable that it makes me sick!\Sorry...\I can't be the hero.\I'm acting like a loser,\but right now, I just want one card!\One card!\One card! response:	Tsukuba X - O Nawano (13 card differential)
context: They're so dependable that it makes me sick!\Sorry...\I can't be the hero.\I'm acting like a loser,\but right now, I just want one card!\One card!\One card!\Tsukuba X - O Nawano (13 card differential) response:	Thank you very much.
context: Sorry...\I can't be the hero.\I'm acting like a loser,\but right now, I just want one card!\One card!\One card!\Tsukuba X - O Nawano (13 card differential)\Thank you very much. response:	Komano X - O Suda (2 card differential)
context: I can't be the hero.\I'm acting like a loser,\but right now, I just want one card!\One card!\One card!\Tsukuba X - O Nawano (13 card differential)\Thank you very much.\Komano X - O Suda (2 card differential) response:	Thank you very much.
context: I'm acting like a loser,\but right now, I just want one card!\One card!\One card!\Tsukuba X - O Nawano (13 card differential)\Thank you very much.\Komano X - O Suda (2 card differential)\Thank you very much. response:	You were so close, Desktomu-kun!
context: but right now, I just want one card!\One card!\One card!\Tsukuba X - O Nawano (13 card differential)\Thank you very much.\Komano X - O Suda (2 card differential)\Thank you very much.\You were so close, Desktomu-kun! response:	I almost caught up.
context: One card!\One card!\Tsukuba X - O Nawano (13 card differential)\Thank you very much.\Komano X - O Suda (2 card differential)\Thank you very much.\You were so close, Desktomu-kun!\I almost caught up. response:	You did a good job against a Class B opponent.
context: One card!\Tsukuba X - O Nawano (13 card differential)\Thank you very much.\Komano X - O Suda (2 card differential)\Thank you very much.\You were so close, Desktomu-kun!\I almost caught up.\You did a good job against a Class B opponent. response:	You were so cool, lady!
context: Tsukuba X - O Nawano (13 card differential)\Thank you very much.\Komano X - O Suda (2 card differential)\Thank you very much.\You were so close, Desktomu-kun!\I almost caught up.\You did a good job against a Class B opponent.\You were so cool, lady! response:	You're pretty and strong!
context: Thank you very much.\Komano X - O Suda (2 card differential)\Thank you very much.\You were so close, Desktomu-kun!\I almost caught up.\You did a good job against a Class B opponent.\You were so cool, lady!\You're pretty and strong! response:	Really strong!
context: Komano X - O Suda (2 card differential)\Thank you very much.\You were so close, Desktomu-kun!\I almost caught up.\You did a good job against a Class B opponent.\You were so cool, lady!\You're pretty and strong!\Really strong! response:	Awesome! Awesome!
context: Thank you very much.\You were so close, Desktomu-kun!\I almost caught up.\You did a good job against a Class B opponent.\You were so cool, lady!\You're pretty and strong!\Really strong!\Awesome! Awesome! response:	Th-Thank you...
context: You were so close, Desktomu-kun!\I almost caught up.\You did a good job against a Class B opponent.\You were so cool, lady!\You're pretty and strong!\Really strong!\Awesome! Awesome!\Th-Thank you... response:	But Big Bro will catch up in no time!
context: I almost caught up.\You did a good job against a Class B opponent.\You were so cool, lady!\You're pretty and strong!\Really strong!\Awesome! Awesome!\Th-Thank you...\But Big Bro will catch up in no time! response:	We only played with wooden cards at home,
context: You did a good job against a Class B opponent.\You were so cool, lady!\You're pretty and strong!\Really strong!\Awesome! Awesome!\Th-Thank you...\But Big Bro will catch up in no time!\We only played with wooden cards at home, response:	but we'll start practicing with the paper cards you use!
context: You were so cool, lady!\You're pretty and strong!\Really strong!\Awesome! Awesome!\Th-Thank you...\But Big Bro will catch up in no time!\We only played with wooden cards at home,\but we'll start practicing with the paper cards you use! response:	Big Bro will get better then!
context: You're pretty and strong!\Really strong!\Awesome! Awesome!\Th-Thank you...\But Big Bro will catch up in no time!\We only played with wooden cards at home,\but we'll start practicing with the paper cards you use!\Big Bro will get better then! response:	Big Bro's super awesome!
context: Really strong!\Awesome! Awesome!\Th-Thank you...\But Big Bro will catch up in no time!\We only played with wooden cards at home,\but we'll start practicing with the paper cards you use!\Big Bro will get better then!\Big Bro's super awesome! response:	Then you should all come to the Shiranami Society next week!
context: Awesome! Awesome!\Th-Thank you...\But Big Bro will catch up in no time!\We only played with wooden cards at home,\but we'll start practicing with the paper cards you use!\Big Bro will get better then!\Big Bro's super awesome!\Then you should all come to the Shiranami Society next week! response:	Shiranami Society?
context: Th-Thank you...\But Big Bro will catch up in no time!\We only played with wooden cards at home,\but we'll start practicing with the paper cards you use!\Big Bro will get better then!\Big Bro's super awesome!\Then you should all come to the Shiranami Society next week!\Shiranami Society? response:	Hey! That's no fair!
context: But Big Bro will catch up in no time!\We only played with wooden cards at home,\but we'll start practicing with the paper cards you use!\Big Bro will get better then!\Big Bro's super awesome!\Then you should all come to the Shiranami Society next week!\Shiranami Society?\Hey! That's no fair! response:	I got us some new members, Dr. Harada!
context: We only played with wooden cards at home,\but we'll start practicing with the paper cards you use!\Big Bro will get better then!\Big Bro's super awesome!\Then you should all come to the Shiranami Society next week!\Shiranami Society?\Hey! That's no fair!\I got us some new members, Dr. Harada! response:	It's been a long time.
context: but we'll start practicing with the paper cards you use!\Big Bro will get better then!\Big Bro's super awesome!\Then you should all come to the Shiranami Society next week!\Shiranami Society?\Hey! That's no fair!\I got us some new members, Dr. Harada!\It's been a long time. response:	Yes, that's right.
context: Big Bro will get better then!\Big Bro's super awesome!\Then you should all come to the Shiranami Society next week!\Shiranami Society?\Hey! That's no fair!\I got us some new members, Dr. Harada!\It's been a long time.\Yes, that's right. response:	I'm looking forward to it, Mr. Ise.
context: Big Bro's super awesome!\Then you should all come to the Shiranami Society next week!\Shiranami Society?\Hey! That's no fair!\I got us some new members, Dr. Harada!\It's been a long time.\Yes, that's right.\I'm looking forward to it, Mr. Ise. response:	I'll get you registered.
context: Then you should all come to the Shiranami Society next week!\Shiranami Society?\Hey! That's no fair!\I got us some new members, Dr. Harada!\It's been a long time.\Yes, that's right.\I'm looking forward to it, Mr. Ise.\I'll get you registered. response:	I can't wait to watch the tournament this year.
context: Shiranami Society?\Hey! That's no fair!\I got us some new members, Dr. Harada!\It's been a long time.\Yes, that's right.\I'm looking forward to it, Mr. Ise.\I'll get you registered.\I can't wait to watch the tournament this year. response:	You'll probably dominate the individual bracket though.
context: Hey! That's no fair!\I got us some new members, Dr. Harada!\It's been a long time.\Yes, that's right.\I'm looking forward to it, Mr. Ise.\I'll get you registered.\I can't wait to watch the tournament this year.\You'll probably dominate the individual bracket though. response:	I still have much to improve.
context: I got us some new members, Dr. Harada!\It's been a long time.\Yes, that's right.\I'm looking forward to it, Mr. Ise.\I'll get you registered.\I can't wait to watch the tournament this year.\You'll probably dominate the individual bracket though.\I still have much to improve. response:	If you need a practice partner, drop by the Myojo Society.
context: It's been a long time.\Yes, that's right.\I'm looking forward to it, Mr. Ise.\I'll get you registered.\I can't wait to watch the tournament this year.\You'll probably dominate the individual bracket though.\I still have much to improve.\If you need a practice partner, drop by the Myojo Society. response:	Thank you very much.
context: Yes, that's right.\I'm looking forward to it, Mr. Ise.\I'll get you registered.\I can't wait to watch the tournament this year.\You'll probably dominate the individual bracket though.\I still have much to improve.\If you need a practice partner, drop by the Myojo Society.\Thank you very much. response:	Oh, there's one more thing to look forward to.
context: I'm looking forward to it, Mr. Ise.\I'll get you registered.\I can't wait to watch the tournament this year.\You'll probably dominate the individual bracket though.\I still have much to improve.\If you need a practice partner, drop by the Myojo Society.\Thank you very much.\Oh, there's one more thing to look forward to. response:	The grandson of Eternal Master Wataya is coming from Fukui
context: I'll get you registered.\I can't wait to watch the tournament this year.\You'll probably dominate the individual bracket though.\I still have much to improve.\If you need a practice partner, drop by the Myojo Society.\Thank you very much.\Oh, there's one more thing to look forward to.\The grandson of Eternal Master Wataya is coming from Fukui response:	to participate in the individual bracket.
context: I can't wait to watch the tournament this year.\You'll probably dominate the individual bracket though.\I still have much to improve.\If you need a practice partner, drop by the Myojo Society.\Thank you very much.\Oh, there's one more thing to look forward to.\The grandson of Eternal Master Wataya is coming from Fukui\to participate in the individual bracket. response:	Everybody's been talking about it.
context: You'll probably dominate the individual bracket though.\I still have much to improve.\If you need a practice partner, drop by the Myojo Society.\Thank you very much.\Oh, there's one more thing to look forward to.\The grandson of Eternal Master Wataya is coming from Fukui\to participate in the individual bracket.\Everybody's been talking about it. response:	How many years has it been since he's played in an official match?
context: I still have much to improve.\If you need a practice partner, drop by the Myojo Society.\Thank you very much.\Oh, there's one more thing to look forward to.\The grandson of Eternal Master Wataya is coming from Fukui\to participate in the individual bracket.\Everybody's been talking about it.\How many years has it been since he's played in an official match? response:	Even I can't wait.
context: If you need a practice partner, drop by the Myojo Society.\Thank you very much.\Oh, there's one more thing to look forward to.\The grandson of Eternal Master Wataya is coming from Fukui\to participate in the individual bracket.\Everybody's been talking about it.\How many years has it been since he's played in an official match?\Even I can't wait. response:	Arata?
