context: The Infinity Clock is in our hands. response:	The amplitude limiter is almost finished.
context: Trade with Gray-sama, Gajeel!\Forget about it!\My divination told me these pairings are the best this time.\Then let Juvia trade places with Fried-san!\It's the same thing...\Come to think of it, it's been a while since we've been apart, Natsu.\That's right! If push comes to shove, I can't fly!\So you're a survivor from one of those destroyed churches? response:	Due to circumstances, I was given shelter after that, too,
context: Forget about it!\My divination told me these pairings are the best this time.\Then let Juvia trade places with Fried-san!\It's the same thing...\Come to think of it, it's been a while since we've been apart, Natsu.\That's right! If push comes to shove, I can't fly!\So you're a survivor from one of those destroyed churches?\Due to circumstances, I was given shelter after that, too, response:	but sadly was found and now I'm here.
context: My divination told me these pairings are the best this time.\Then let Juvia trade places with Fried-san!\It's the same thing...\Come to think of it, it's been a while since we've been apart, Natsu.\That's right! If push comes to shove, I can't fly!\So you're a survivor from one of those destroyed churches?\Due to circumstances, I was given shelter after that, too,\but sadly was found and now I'm here. response:	Why are you imprisoned after being saved from the church?
context: Then let Juvia trade places with Fried-san!\It's the same thing...\Come to think of it, it's been a while since we've been apart, Natsu.\That's right! If push comes to shove, I can't fly!\So you're a survivor from one of those destroyed churches?\Due to circumstances, I was given shelter after that, too,\but sadly was found and now I'm here.\Why are you imprisoned after being saved from the church? response:	I was targeted
context: It's the same thing...\Come to think of it, it's been a while since we've been apart, Natsu.\That's right! If push comes to shove, I can't fly!\So you're a survivor from one of those destroyed churches?\Due to circumstances, I was given shelter after that, too,\but sadly was found and now I'm here.\Why are you imprisoned after being saved from the church?\I was targeted response:	just for being a curate.
context: Come to think of it, it's been a while since we've been apart, Natsu.\That's right! If push comes to shove, I can't fly!\So you're a survivor from one of those destroyed churches?\Due to circumstances, I was given shelter after that, too,\but sadly was found and now I'm here.\Why are you imprisoned after being saved from the church?\I was targeted\just for being a curate. response:	And because I didn't wish to tell
context: That's right! If push comes to shove, I can't fly!\So you're a survivor from one of those destroyed churches?\Due to circumstances, I was given shelter after that, too,\but sadly was found and now I'm here.\Why are you imprisoned after being saved from the church?\I was targeted\just for being a curate.\And because I didn't wish to tell response:	Cardinal Rapowant what he wanted to know.
context: So you're a survivor from one of those destroyed churches?\Due to circumstances, I was given shelter after that, too,\but sadly was found and now I'm here.\Why are you imprisoned after being saved from the church?\I was targeted\just for being a curate.\And because I didn't wish to tell\Cardinal Rapowant what he wanted to know. response:	What do you mean?
context: Due to circumstances, I was given shelter after that, too,\but sadly was found and now I'm here.\Why are you imprisoned after being saved from the church?\I was targeted\just for being a curate.\And because I didn't wish to tell\Cardinal Rapowant what he wanted to know.\What do you mean? response:	Traitor... We meet at last.
context: but sadly was found and now I'm here.\Why are you imprisoned after being saved from the church?\I was targeted\just for being a curate.\And because I didn't wish to tell\Cardinal Rapowant what he wanted to know.\What do you mean?\Traitor... We meet at last. response:	Your Holiness!
context: Why are you imprisoned after being saved from the church?\I was targeted\just for being a curate.\And because I didn't wish to tell\Cardinal Rapowant what he wanted to know.\What do you mean?\Traitor... We meet at last.\Your Holiness! response:	You will tell me the names of Neville's disciples.
context: I was targeted\just for being a curate.\And because I didn't wish to tell\Cardinal Rapowant what he wanted to know.\What do you mean?\Traitor... We meet at last.\Your Holiness!\You will tell me the names of Neville's disciples. response:	Observe carefully, Coco.
context: just for being a curate.\And because I didn't wish to tell\Cardinal Rapowant what he wanted to know.\What do you mean?\Traitor... We meet at last.\Your Holiness!\You will tell me the names of Neville's disciples.\Observe carefully, Coco. response:	See what happens to those who oppose Zentopia... no, me...
context: And because I didn't wish to tell\Cardinal Rapowant what he wanted to know.\What do you mean?\Traitor... We meet at last.\Your Holiness!\You will tell me the names of Neville's disciples.\Observe carefully, Coco.\See what happens to those who oppose Zentopia... no, me... response:	Cana's divinations are usually right on.
context: Cardinal Rapowant what he wanted to know.\What do you mean?\Traitor... We meet at last.\Your Holiness!\You will tell me the names of Neville's disciples.\Observe carefully, Coco.\See what happens to those who oppose Zentopia... no, me...\Cana's divinations are usually right on. response:	It's like she hits the bullseye.
context: What do you mean?\Traitor... We meet at last.\Your Holiness!\You will tell me the names of Neville's disciples.\Observe carefully, Coco.\See what happens to those who oppose Zentopia... no, me...\Cana's divinations are usually right on.\It's like she hits the bullseye. response:	Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?
context: Traitor... We meet at last.\Your Holiness!\You will tell me the names of Neville's disciples.\Observe carefully, Coco.\See what happens to those who oppose Zentopia... no, me...\Cana's divinations are usually right on.\It's like she hits the bullseye.\Natsu, if you're in charge of the brawn, I'm in charge of the brains, right? response:	Wait a second! My in charge aside, you're in charge of the brains, Happy?!
context: Your Holiness!\You will tell me the names of Neville's disciples.\Observe carefully, Coco.\See what happens to those who oppose Zentopia... no, me...\Cana's divinations are usually right on.\It's like she hits the bullseye.\Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?\Wait a second! My in charge aside, you're in charge of the brains, Happy?! response:	Well, there's nobody else it could be, right?
context: You will tell me the names of Neville's disciples.\Observe carefully, Coco.\See what happens to those who oppose Zentopia... no, me...\Cana's divinations are usually right on.\It's like she hits the bullseye.\Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?\Wait a second! My in charge aside, you're in charge of the brains, Happy?!\Well, there's nobody else it could be, right? response:	I'd say it could be anybody else but you!
context: Observe carefully, Coco.\See what happens to those who oppose Zentopia... no, me...\Cana's divinations are usually right on.\It's like she hits the bullseye.\Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?\Wait a second! My in charge aside, you're in charge of the brains, Happy?!\Well, there's nobody else it could be, right?\I'd say it could be anybody else but you! response:	Th-That's rude! Alright, then what am I in charge of?!
context: See what happens to those who oppose Zentopia... no, me...\Cana's divinations are usually right on.\It's like she hits the bullseye.\Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?\Wait a second! My in charge aside, you're in charge of the brains, Happy?!\Well, there's nobody else it could be, right?\I'd say it could be anybody else but you!\Th-That's rude! Alright, then what am I in charge of?! response:	Well, the most reasonable thing is you in charge of being a mascot.
context: Cana's divinations are usually right on.\It's like she hits the bullseye.\Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?\Wait a second! My in charge aside, you're in charge of the brains, Happy?!\Well, there's nobody else it could be, right?\I'd say it could be anybody else but you!\Th-That's rude! Alright, then what am I in charge of?!\Well, the most reasonable thing is you in charge of being a mascot. response:	Next time: Battle Discord!
context: It's like she hits the bullseye.\Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?\Wait a second! My in charge aside, you're in charge of the brains, Happy?!\Well, there's nobody else it could be, right?\I'd say it could be anybody else but you!\Th-That's rude! Alright, then what am I in charge of?!\Well, the most reasonable thing is you in charge of being a mascot.\Next time: Battle Discord! response:	In charge of being a mascot? Not bad!
context: Natsu, if you're in charge of the brawn, I'm in charge of the brains, right?\Wait a second! My in charge aside, you're in charge of the brains, Happy?!\Well, there's nobody else it could be, right?\I'd say it could be anybody else but you!\Th-That's rude! Alright, then what am I in charge of?!\Well, the most reasonable thing is you in charge of being a mascot.\Next time: Battle Discord!\In charge of being a mascot? Not bad! response:	You're really being positive about it!
context: Wait a second! My in charge aside, you're in charge of the brains, Happy?!\Well, there's nobody else it could be, right?\I'd say it could be anybody else but you!\Th-That's rude! Alright, then what am I in charge of?!\Well, the most reasonable thing is you in charge of being a mascot.\Next time: Battle Discord!\In charge of being a mascot? Not bad!\You're really being positive about it! response:	Actually, I'm not really cut out for being in charge of the brains.
