context: Episode 4 Umaru and Her Rival response:	Umaru-chan? What's the matter?
context: Wh-What?\We have an academics test today!\I, Sylphyn, will be number one!\Huh? R-Right...\Sylphyn is always like that.\I heard she enters all sorts of competitions.\I'm sure she just wants attention.\I don't think that's the case. response:	I am number one!
context: We have an academics test today!\I, Sylphyn, will be number one!\Huh? R-Right...\Sylphyn is always like that.\I heard she enters all sorts of competitions.\I'm sure she just wants attention.\I don't think that's the case.\I am number one! response:	Next Time
context: I, Sylphyn, will be number one!\Huh? R-Right...\Sylphyn is always like that.\I heard she enters all sorts of competitions.\I'm sure she just wants attention.\I don't think that's the case.\I am number one!\Next Time response:	Episode 5 Umaru and Summer Vacation
context: Huh? R-Right...\Sylphyn is always like that.\I heard she enters all sorts of competitions.\I'm sure she just wants attention.\I don't think that's the case.\I am number one!\Next Time\Episode 5 Umaru and Summer Vacation response:	Now, let us compete in the
context: Sylphyn is always like that.\I heard she enters all sorts of competitions.\I'm sure she just wants attention.\I don't think that's the case.\I am number one!\Next Time\Episode 5 Umaru and Summer Vacation\Now, let us compete in the response:	fifteen seconds of the preview, UMR-san!
context: I heard she enters all sorts of competitions.\I'm sure she just wants attention.\I don't think that's the case.\I am number one!\Next Time\Episode 5 Umaru and Summer Vacation\Now, let us compete in the\fifteen seconds of the preview, UMR-san! response:	You're asking for a bit much, TSF-san...
context: I'm sure she just wants attention.\I don't think that's the case.\I am number one!\Next Time\Episode 5 Umaru and Summer Vacation\Now, let us compete in the\fifteen seconds of the preview, UMR-san!\You're asking for a bit much, TSF-san... response:	Wait, we already have less than ten seconds!
context: I don't think that's the case.\I am number one!\Next Time\Episode 5 Umaru and Summer Vacation\Now, let us compete in the\fifteen seconds of the preview, UMR-san!\You're asking for a bit much, TSF-san...\Wait, we already have less than ten seconds! response:	Then let us compete again in the next episode!
context: I am number one!\Next Time\Episode 5 Umaru and Summer Vacation\Now, let us compete in the\fifteen seconds of the preview, UMR-san!\You're asking for a bit much, TSF-san...\Wait, we already have less than ten seconds!\Then let us compete again in the next episode! response:	Wow.
context: Next Time\Episode 5 Umaru and Summer Vacation\Now, let us compete in the\fifteen seconds of the preview, UMR-san!\You're asking for a bit much, TSF-san...\Wait, we already have less than ten seconds!\Then let us compete again in the next episode!\Wow. response:	That actually turned into a proper preview.
