context: I have to get some proper rest. response:	Don't disturb me again.
context: Mother, don't be so nervous.\I already feel much better these days.\After I overcome this last obstacle I might be totally cured.\Die Yong...\Die Yong!\Yong'er...\This is...\Emissary, didn't you say that the final treatment is the most crucial one? response:	Look at this. What are we to do now?
context: I already feel much better these days.\After I overcome this last obstacle I might be totally cured.\Die Yong...\Die Yong!\Yong'er...\This is...\Emissary, didn't you say that the final treatment is the most crucial one?\Look at this. What are we to do now? response:	Don't worry.
context: After I overcome this last obstacle I might be totally cured.\Die Yong...\Die Yong!\Yong'er...\This is...\Emissary, didn't you say that the final treatment is the most crucial one?\Look at this. What are we to do now?\Don't worry. response:	High God Zhe Yan already reminded me of this possible reaction.
context: Die Yong...\Die Yong!\Yong'er...\This is...\Emissary, didn't you say that the final treatment is the most crucial one?\Look at this. What are we to do now?\Don't worry.\High God Zhe Yan already reminded me of this possible reaction. response:	This is because the prince has been ill for hundreds of years
context: Die Yong!\Yong'er...\This is...\Emissary, didn't you say that the final treatment is the most crucial one?\Look at this. What are we to do now?\Don't worry.\High God Zhe Yan already reminded me of this possible reaction.\This is because the prince has been ill for hundreds of years response:	so his body became very frail.
context: Yong'er...\This is...\Emissary, didn't you say that the final treatment is the most crucial one?\Look at this. What are we to do now?\Don't worry.\High God Zhe Yan already reminded me of this possible reaction.\This is because the prince has been ill for hundreds of years\so his body became very frail. response:	He can't withstand such a strong elixir.
context: This is...\Emissary, didn't you say that the final treatment is the most crucial one?\Look at this. What are we to do now?\Don't worry.\High God Zhe Yan already reminded me of this possible reaction.\This is because the prince has been ill for hundreds of years\so his body became very frail.\He can't withstand such a strong elixir. response:	It's normal that he passed out.
context: Emissary, didn't you say that the final treatment is the most crucial one?\Look at this. What are we to do now?\Don't worry.\High God Zhe Yan already reminded me of this possible reaction.\This is because the prince has been ill for hundreds of years\so his body became very frail.\He can't withstand such a strong elixir.\It's normal that he passed out. response:	Mother, don't worry.
context: Look at this. What are we to do now?\Don't worry.\High God Zhe Yan already reminded me of this possible reaction.\This is because the prince has been ill for hundreds of years\so his body became very frail.\He can't withstand such a strong elixir.\It's normal that he passed out.\Mother, don't worry. response:	High God Zhe Yan is renown in the four seas for his medical skills.
context: Don't worry.\High God Zhe Yan already reminded me of this possible reaction.\This is because the prince has been ill for hundreds of years\so his body became very frail.\He can't withstand such a strong elixir.\It's normal that he passed out.\Mother, don't worry.\High God Zhe Yan is renown in the four seas for his medical skills. response:	Die Yong will wake up in no time.
context: High God Zhe Yan already reminded me of this possible reaction.\This is because the prince has been ill for hundreds of years\so his body became very frail.\He can't withstand such a strong elixir.\It's normal that he passed out.\Mother, don't worry.\High God Zhe Yan is renown in the four seas for his medical skills.\Die Yong will wake up in no time. response:	Why are you out here alone staring like that?
context: This is because the prince has been ill for hundreds of years\so his body became very frail.\He can't withstand such a strong elixir.\It's normal that he passed out.\Mother, don't worry.\High God Zhe Yan is renown in the four seas for his medical skills.\Die Yong will wake up in no time.\Why are you out here alone staring like that? response:	I'm scared.
context: so his body became very frail.\He can't withstand such a strong elixir.\It's normal that he passed out.\Mother, don't worry.\High God Zhe Yan is renown in the four seas for his medical skills.\Die Yong will wake up in no time.\Why are you out here alone staring like that?\I'm scared. response:	You're scared?
context: He can't withstand such a strong elixir.\It's normal that he passed out.\Mother, don't worry.\High God Zhe Yan is renown in the four seas for his medical skills.\Die Yong will wake up in no time.\Why are you out here alone staring like that?\I'm scared.\You're scared? response:	Of what?
context: It's normal that he passed out.\Mother, don't worry.\High God Zhe Yan is renown in the four seas for his medical skills.\Die Yong will wake up in no time.\Why are you out here alone staring like that?\I'm scared.\You're scared?\Of what? response:	I'm scared that it might all be for nothing.
context: Mother, don't worry.\High God Zhe Yan is renown in the four seas for his medical skills.\Die Yong will wake up in no time.\Why are you out here alone staring like that?\I'm scared.\You're scared?\Of what?\I'm scared that it might all be for nothing. response:	I'm scared that Master won't return.
context: High God Zhe Yan is renown in the four seas for his medical skills.\Die Yong will wake up in no time.\Why are you out here alone staring like that?\I'm scared.\You're scared?\Of what?\I'm scared that it might all be for nothing.\I'm scared that Master won't return. response:	Ever since you disappeared with Master
context: Die Yong will wake up in no time.\Why are you out here alone staring like that?\I'm scared.\You're scared?\Of what?\I'm scared that it might all be for nothing.\I'm scared that Master won't return.\Ever since you disappeared with Master response:	I've been searching for you. For 70,000 years.
context: Why are you out here alone staring like that?\I'm scared.\You're scared?\Of what?\I'm scared that it might all be for nothing.\I'm scared that Master won't return.\Ever since you disappeared with Master\I've been searching for you. For 70,000 years. response:	Not once have I stopped searching for you.
context: I'm scared.\You're scared?\Of what?\I'm scared that it might all be for nothing.\I'm scared that Master won't return.\Ever since you disappeared with Master\I've been searching for you. For 70,000 years.\Not once have I stopped searching for you. response:	Seventeenth, listen.
context: You're scared?\Of what?\I'm scared that it might all be for nothing.\I'm scared that Master won't return.\Ever since you disappeared with Master\I've been searching for you. For 70,000 years.\Not once have I stopped searching for you.\Seventeenth, listen. response:	It's already my biggest blessing to have met you in West Sea.
context: Of what?\I'm scared that it might all be for nothing.\I'm scared that Master won't return.\Ever since you disappeared with Master\I've been searching for you. For 70,000 years.\Not once have I stopped searching for you.\Seventeenth, listen.\It's already my biggest blessing to have met you in West Sea. response:	As for Master, he's finally going to take over Kunlun Mountain again
context: I'm scared that it might all be for nothing.\I'm scared that Master won't return.\Ever since you disappeared with Master\I've been searching for you. For 70,000 years.\Not once have I stopped searching for you.\Seventeenth, listen.\It's already my biggest blessing to have met you in West Sea.\As for Master, he's finally going to take over Kunlun Mountain again response:	to be worshiped by all the deities.
context: I'm scared that Master won't return.\Ever since you disappeared with Master\I've been searching for you. For 70,000 years.\Not once have I stopped searching for you.\Seventeenth, listen.\It's already my biggest blessing to have met you in West Sea.\As for Master, he's finally going to take over Kunlun Mountain again\to be worshiped by all the deities. response:	Zi Lan, you already followed her all the way here.
context: Ever since you disappeared with Master\I've been searching for you. For 70,000 years.\Not once have I stopped searching for you.\Seventeenth, listen.\It's already my biggest blessing to have met you in West Sea.\As for Master, he's finally going to take over Kunlun Mountain again\to be worshiped by all the deities.\Zi Lan, you already followed her all the way here. response:	Now that she's safe and sound you should stop following her.
context: I've been searching for you. For 70,000 years.\Not once have I stopped searching for you.\Seventeenth, listen.\It's already my biggest blessing to have met you in West Sea.\As for Master, he's finally going to take over Kunlun Mountain again\to be worshiped by all the deities.\Zi Lan, you already followed her all the way here.\Now that she's safe and sound you should stop following her. response:	I'm one step away from the Ghost Realm.
context: Not once have I stopped searching for you.\Seventeenth, listen.\It's already my biggest blessing to have met you in West Sea.\As for Master, he's finally going to take over Kunlun Mountain again\to be worshiped by all the deities.\Zi Lan, you already followed her all the way here.\Now that she's safe and sound you should stop following her.\I'm one step away from the Ghost Realm. response:	We're still on the celestial grounds.
context: Seventeenth, listen.\It's already my biggest blessing to have met you in West Sea.\As for Master, he's finally going to take over Kunlun Mountain again\to be worshiped by all the deities.\Zi Lan, you already followed her all the way here.\Now that she's safe and sound you should stop following her.\I'm one step away from the Ghost Realm.\We're still on the celestial grounds. response:	Don't take another step forward.
context: It's already my biggest blessing to have met you in West Sea.\As for Master, he's finally going to take over Kunlun Mountain again\to be worshiped by all the deities.\Zi Lan, you already followed her all the way here.\Now that she's safe and sound you should stop following her.\I'm one step away from the Ghost Realm.\We're still on the celestial grounds.\Don't take another step forward. response:	Don't...
context: As for Master, he's finally going to take over Kunlun Mountain again\to be worshiped by all the deities.\Zi Lan, you already followed her all the way here.\Now that she's safe and sound you should stop following her.\I'm one step away from the Ghost Realm.\We're still on the celestial grounds.\Don't take another step forward.\Don't... response:	Don't go any further.
context: to be worshiped by all the deities.\Zi Lan, you already followed her all the way here.\Now that she's safe and sound you should stop following her.\I'm one step away from the Ghost Realm.\We're still on the celestial grounds.\Don't take another step forward.\Don't...\Don't go any further. response:	Second Senior.
context: Zi Lan, you already followed her all the way here.\Now that she's safe and sound you should stop following her.\I'm one step away from the Ghost Realm.\We're still on the celestial grounds.\Don't take another step forward.\Don't...\Don't go any further.\Second Senior. response:	Zi Lan?
context: Now that she's safe and sound you should stop following her.\I'm one step away from the Ghost Realm.\We're still on the celestial grounds.\Don't take another step forward.\Don't...\Don't go any further.\Second Senior.\Zi Lan? response:	Brat! You finally returned.
context: I'm one step away from the Ghost Realm.\We're still on the celestial grounds.\Don't take another step forward.\Don't...\Don't go any further.\Second Senior.\Zi Lan?\Brat! You finally returned. response:	I'm a few days late.
context: We're still on the celestial grounds.\Don't take another step forward.\Don't...\Don't go any further.\Second Senior.\Zi Lan?\Brat! You finally returned.\I'm a few days late. response:	By the way, you tricked me into feeding your red-crowned crane
context: Don't take another step forward.\Don't...\Don't go any further.\Second Senior.\Zi Lan?\Brat! You finally returned.\I'm a few days late.\By the way, you tricked me into feeding your red-crowned crane response:	while you went searching for Seventeenth in the Mortal Realm alone.
context: Don't...\Don't go any further.\Second Senior.\Zi Lan?\Brat! You finally returned.\I'm a few days late.\By the way, you tricked me into feeding your red-crowned crane\while you went searching for Seventeenth in the Mortal Realm alone. response:	Where's Seventeenth?
context: Don't go any further.\Second Senior.\Zi Lan?\Brat! You finally returned.\I'm a few days late.\By the way, you tricked me into feeding your red-crowned crane\while you went searching for Seventeenth in the Mortal Realm alone.\Where's Seventeenth? response:	I didn't find him.
context: Second Senior.\Zi Lan?\Brat! You finally returned.\I'm a few days late.\By the way, you tricked me into feeding your red-crowned crane\while you went searching for Seventeenth in the Mortal Realm alone.\Where's Seventeenth?\I didn't find him. response:	If I had, would I return like this?
context: Zi Lan?\Brat! You finally returned.\I'm a few days late.\By the way, you tricked me into feeding your red-crowned crane\while you went searching for Seventeenth in the Mortal Realm alone.\Where's Seventeenth?\I didn't find him.\If I had, would I return like this? response:	I'd surely make a fuss about it and inform all realms.
context: Brat! You finally returned.\I'm a few days late.\By the way, you tricked me into feeding your red-crowned crane\while you went searching for Seventeenth in the Mortal Realm alone.\Where's Seventeenth?\I didn't find him.\If I had, would I return like this?\I'd surely make a fuss about it and inform all realms. response:	Second Senior, on the way back here I heard that Qing Qiu has announced
context: I'm a few days late.\By the way, you tricked me into feeding your red-crowned crane\while you went searching for Seventeenth in the Mortal Realm alone.\Where's Seventeenth?\I didn't find him.\If I had, would I return like this?\I'd surely make a fuss about it and inform all realms.\Second Senior, on the way back here I heard that Qing Qiu has announced response:	the coming of age of Bai Feng Jiu.
context: By the way, you tricked me into feeding your red-crowned crane\while you went searching for Seventeenth in the Mortal Realm alone.\Where's Seventeenth?\I didn't find him.\If I had, would I return like this?\I'd surely make a fuss about it and inform all realms.\Second Senior, on the way back here I heard that Qing Qiu has announced\the coming of age of Bai Feng Jiu. response:	They are seeking marriage proposals.
context: while you went searching for Seventeenth in the Mortal Realm alone.\Where's Seventeenth?\I didn't find him.\If I had, would I return like this?\I'd surely make a fuss about it and inform all realms.\Second Senior, on the way back here I heard that Qing Qiu has announced\the coming of age of Bai Feng Jiu.\They are seeking marriage proposals. response:	Qing Qiu's Bai Feng Jiu?
context: Where's Seventeenth?\I didn't find him.\If I had, would I return like this?\I'd surely make a fuss about it and inform all realms.\Second Senior, on the way back here I heard that Qing Qiu has announced\the coming of age of Bai Feng Jiu.\They are seeking marriage proposals.\Qing Qiu's Bai Feng Jiu? response:	Her aunt is the future Heavenly Empress.
context: I didn't find him.\If I had, would I return like this?\I'd surely make a fuss about it and inform all realms.\Second Senior, on the way back here I heard that Qing Qiu has announced\the coming of age of Bai Feng Jiu.\They are seeking marriage proposals.\Qing Qiu's Bai Feng Jiu?\Her aunt is the future Heavenly Empress. response:	Who would dare marry her?
context: If I had, would I return like this?\I'd surely make a fuss about it and inform all realms.\Second Senior, on the way back here I heard that Qing Qiu has announced\the coming of age of Bai Feng Jiu.\They are seeking marriage proposals.\Qing Qiu's Bai Feng Jiu?\Her aunt is the future Heavenly Empress.\Who would dare marry her? response:	Even if you dare she might not want to marry you.
context: I'd surely make a fuss about it and inform all realms.\Second Senior, on the way back here I heard that Qing Qiu has announced\the coming of age of Bai Feng Jiu.\They are seeking marriage proposals.\Qing Qiu's Bai Feng Jiu?\Her aunt is the future Heavenly Empress.\Who would dare marry her?\Even if you dare she might not want to marry you. response:	Why don't you marry her then?
context: Second Senior, on the way back here I heard that Qing Qiu has announced\the coming of age of Bai Feng Jiu.\They are seeking marriage proposals.\Qing Qiu's Bai Feng Jiu?\Her aunt is the future Heavenly Empress.\Who would dare marry her?\Even if you dare she might not want to marry you.\Why don't you marry her then? response:	I wouldn't dare...
context: the coming of age of Bai Feng Jiu.\They are seeking marriage proposals.\Qing Qiu's Bai Feng Jiu?\Her aunt is the future Heavenly Empress.\Who would dare marry her?\Even if you dare she might not want to marry you.\Why don't you marry her then?\I wouldn't dare... response:	Second Senior, sweep the floor quickly.
context: They are seeking marriage proposals.\Qing Qiu's Bai Feng Jiu?\Her aunt is the future Heavenly Empress.\Who would dare marry her?\Even if you dare she might not want to marry you.\Why don't you marry her then?\I wouldn't dare...\Second Senior, sweep the floor quickly. response:	I'll go tidy things up.
context: Qing Qiu's Bai Feng Jiu?\Her aunt is the future Heavenly Empress.\Who would dare marry her?\Even if you dare she might not want to marry you.\Why don't you marry her then?\I wouldn't dare...\Second Senior, sweep the floor quickly.\I'll go tidy things up. response:	Brother Li Jing.
context: Her aunt is the future Heavenly Empress.\Who would dare marry her?\Even if you dare she might not want to marry you.\Why don't you marry her then?\I wouldn't dare...\Second Senior, sweep the floor quickly.\I'll go tidy things up.\Brother Li Jing. response:	As a princess I don't need my lifetime's cultivation.
context: Who would dare marry her?\Even if you dare she might not want to marry you.\Why don't you marry her then?\I wouldn't dare...\Second Senior, sweep the floor quickly.\I'll go tidy things up.\Brother Li Jing.\As a princess I don't need my lifetime's cultivation. response:	However, you're the Ghost Lord.
context: Even if you dare she might not want to marry you.\Why don't you marry her then?\I wouldn't dare...\Second Senior, sweep the floor quickly.\I'll go tidy things up.\Brother Li Jing.\As a princess I don't need my lifetime's cultivation.\However, you're the Ghost Lord. response:	You need to protect your people.
context: Why don't you marry her then?\I wouldn't dare...\Second Senior, sweep the floor quickly.\I'll go tidy things up.\Brother Li Jing.\As a princess I don't need my lifetime's cultivation.\However, you're the Ghost Lord.\You need to protect your people. response:	This child is after all your flesh and blood.
context: I wouldn't dare...\Second Senior, sweep the floor quickly.\I'll go tidy things up.\Brother Li Jing.\As a princess I don't need my lifetime's cultivation.\However, you're the Ghost Lord.\You need to protect your people.\This child is after all your flesh and blood. response:	Since the Crown Prince gave us the divine fungal grass
context: Second Senior, sweep the floor quickly.\I'll go tidy things up.\Brother Li Jing.\As a princess I don't need my lifetime's cultivation.\However, you're the Ghost Lord.\You need to protect your people.\This child is after all your flesh and blood.\Since the Crown Prince gave us the divine fungal grass response:	I'll try to use my life's energy to see if I can revive him.
context: I'll go tidy things up.\Brother Li Jing.\As a princess I don't need my lifetime's cultivation.\However, you're the Ghost Lord.\You need to protect your people.\This child is after all your flesh and blood.\Since the Crown Prince gave us the divine fungal grass\I'll try to use my life's energy to see if I can revive him. response:	Yan Zhi.
context: Brother Li Jing.\As a princess I don't need my lifetime's cultivation.\However, you're the Ghost Lord.\You need to protect your people.\This child is after all your flesh and blood.\Since the Crown Prince gave us the divine fungal grass\I'll try to use my life's energy to see if I can revive him.\Yan Zhi. response:	Transferring energy can only be done by the Celestial Tribe.
context: As a princess I don't need my lifetime's cultivation.\However, you're the Ghost Lord.\You need to protect your people.\This child is after all your flesh and blood.\Since the Crown Prince gave us the divine fungal grass\I'll try to use my life's energy to see if I can revive him.\Yan Zhi.\Transferring energy can only be done by the Celestial Tribe. response:	If you go against the divine rules do you know what the consequences are?
context: However, you're the Ghost Lord.\You need to protect your people.\This child is after all your flesh and blood.\Since the Crown Prince gave us the divine fungal grass\I'll try to use my life's energy to see if I can revive him.\Yan Zhi.\Transferring energy can only be done by the Celestial Tribe.\If you go against the divine rules do you know what the consequences are? response:	This is your only child.
context: You need to protect your people.\This child is after all your flesh and blood.\Since the Crown Prince gave us the divine fungal grass\I'll try to use my life's energy to see if I can revive him.\Yan Zhi.\Transferring energy can only be done by the Celestial Tribe.\If you go against the divine rules do you know what the consequences are?\This is your only child. response:	He's also my nephew.
context: This child is after all your flesh and blood.\Since the Crown Prince gave us the divine fungal grass\I'll try to use my life's energy to see if I can revive him.\Yan Zhi.\Transferring energy can only be done by the Celestial Tribe.\If you go against the divine rules do you know what the consequences are?\This is your only child.\He's also my nephew. response:	How could I not even give it a try?
context: Since the Crown Prince gave us the divine fungal grass\I'll try to use my life's energy to see if I can revive him.\Yan Zhi.\Transferring energy can only be done by the Celestial Tribe.\If you go against the divine rules do you know what the consequences are?\This is your only child.\He's also my nephew.\How could I not even give it a try? response:	Brother Li Jing, trust me.
context: I'll try to use my life's energy to see if I can revive him.\Yan Zhi.\Transferring energy can only be done by the Celestial Tribe.\If you go against the divine rules do you know what the consequences are?\This is your only child.\He's also my nephew.\How could I not even give it a try?\Brother Li Jing, trust me. response:	I will revive him.
context: Yan Zhi.\Transferring energy can only be done by the Celestial Tribe.\If you go against the divine rules do you know what the consequences are?\This is your only child.\He's also my nephew.\How could I not even give it a try?\Brother Li Jing, trust me.\I will revive him. response:	My Lord, someone from Qing Qiu is here to see you.
context: Transferring energy can only be done by the Celestial Tribe.\If you go against the divine rules do you know what the consequences are?\This is your only child.\He's also my nephew.\How could I not even give it a try?\Brother Li Jing, trust me.\I will revive him.\My Lord, someone from Qing Qiu is here to see you. response:	Qing Qiu?
context: If you go against the divine rules do you know what the consequences are?\This is your only child.\He's also my nephew.\How could I not even give it a try?\Brother Li Jing, trust me.\I will revive him.\My Lord, someone from Qing Qiu is here to see you.\Qing Qiu? response:	Is it a woman?
context: This is your only child.\He's also my nephew.\How could I not even give it a try?\Brother Li Jing, trust me.\I will revive him.\My Lord, someone from Qing Qiu is here to see you.\Qing Qiu?\Is it a woman? response:	My Lord, it's a man.
context: He's also my nephew.\How could I not even give it a try?\Brother Li Jing, trust me.\I will revive him.\My Lord, someone from Qing Qiu is here to see you.\Qing Qiu?\Is it a woman?\My Lord, it's a man. response:	A man?
context: How could I not even give it a try?\Brother Li Jing, trust me.\I will revive him.\My Lord, someone from Qing Qiu is here to see you.\Qing Qiu?\Is it a woman?\My Lord, it's a man.\A man? response:	- Let him in. - Yes.
context: Brother Li Jing, trust me.\I will revive him.\My Lord, someone from Qing Qiu is here to see you.\Qing Qiu?\Is it a woman?\My Lord, it's a man.\A man?\- Let him in. - Yes. response:	Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.
context: I will revive him.\My Lord, someone from Qing Qiu is here to see you.\Qing Qiu?\Is it a woman?\My Lord, it's a man.\A man?\- Let him in. - Yes.\Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord. response:	I wonder why your auntie sent you here?
context: My Lord, someone from Qing Qiu is here to see you.\Qing Qiu?\Is it a woman?\My Lord, it's a man.\A man?\- Let him in. - Yes.\Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.\I wonder why your auntie sent you here? response:	My auntie didn't send me.
context: Qing Qiu?\Is it a woman?\My Lord, it's a man.\A man?\- Let him in. - Yes.\Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.\I wonder why your auntie sent you here?\My auntie didn't send me. response:	It's High God Zhe Yan.
context: Is it a woman?\My Lord, it's a man.\A man?\- Let him in. - Yes.\Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.\I wonder why your auntie sent you here?\My auntie didn't send me.\It's High God Zhe Yan. response:	High God Zhe Yan?
context: My Lord, it's a man.\A man?\- Let him in. - Yes.\Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.\I wonder why your auntie sent you here?\My auntie didn't send me.\It's High God Zhe Yan.\High God Zhe Yan? response:	I've long heard of his name, but not yet the honor of meeting him.
context: A man?\- Let him in. - Yes.\Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.\I wonder why your auntie sent you here?\My auntie didn't send me.\It's High God Zhe Yan.\High God Zhe Yan?\I've long heard of his name, but not yet the honor of meeting him. response:	I wonder what message he has for me?
context: - Let him in. - Yes.\Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.\I wonder why your auntie sent you here?\My auntie didn't send me.\It's High God Zhe Yan.\High God Zhe Yan?\I've long heard of his name, but not yet the honor of meeting him.\I wonder what message he has for me? response:	High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea
context: Queen Bai Qian of Qing Qiu's minor deity Mi Gu greets the Ghost Lord.\I wonder why your auntie sent you here?\My auntie didn't send me.\It's High God Zhe Yan.\High God Zhe Yan?\I've long heard of his name, but not yet the honor of meeting him.\I wonder what message he has for me?\High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea response:	you should repay his kindness.
context: I wonder why your auntie sent you here?\My auntie didn't send me.\It's High God Zhe Yan.\High God Zhe Yan?\I've long heard of his name, but not yet the honor of meeting him.\I wonder what message he has for me?\High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea\you should repay his kindness. response:	Repay him?
context: My auntie didn't send me.\It's High God Zhe Yan.\High God Zhe Yan?\I've long heard of his name, but not yet the honor of meeting him.\I wonder what message he has for me?\High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea\you should repay his kindness.\Repay him? response:	Exactly. Repay his favor.
context: It's High God Zhe Yan.\High God Zhe Yan?\I've long heard of his name, but not yet the honor of meeting him.\I wonder what message he has for me?\High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea\you should repay his kindness.\Repay him?\Exactly. Repay his favor. response:	Zhe Yan was right.
context: High God Zhe Yan?\I've long heard of his name, but not yet the honor of meeting him.\I wonder what message he has for me?\High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea\you should repay his kindness.\Repay him?\Exactly. Repay his favor.\Zhe Yan was right. response:	This eldest prince couldn't withstand the power of the elixir.
context: I've long heard of his name, but not yet the honor of meeting him.\I wonder what message he has for me?\High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea\you should repay his kindness.\Repay him?\Exactly. Repay his favor.\Zhe Yan was right.\This eldest prince couldn't withstand the power of the elixir. response:	This won't do.
context: I wonder what message he has for me?\High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea\you should repay his kindness.\Repay him?\Exactly. Repay his favor.\Zhe Yan was right.\This eldest prince couldn't withstand the power of the elixir.\This won't do. response:	I have to head back to the woods to ask that old phoenix
context: High God said that since Lord Ye Hua saved you in Yingzhou of the Eastern Sea\you should repay his kindness.\Repay him?\Exactly. Repay his favor.\Zhe Yan was right.\This eldest prince couldn't withstand the power of the elixir.\This won't do.\I have to head back to the woods to ask that old phoenix response:	how to bring that Die Yong out of coma again.
context: you should repay his kindness.\Repay him?\Exactly. Repay his favor.\Zhe Yan was right.\This eldest prince couldn't withstand the power of the elixir.\This won't do.\I have to head back to the woods to ask that old phoenix\how to bring that Die Yong out of coma again. response:	Emissary, someone who claims to be from Qing Qiu asked to see you.
context: Repay him?\Exactly. Repay his favor.\Zhe Yan was right.\This eldest prince couldn't withstand the power of the elixir.\This won't do.\I have to head back to the woods to ask that old phoenix\how to bring that Die Yong out of coma again.\Emissary, someone who claims to be from Qing Qiu asked to see you. response:	Qing Qiu?
context: Exactly. Repay his favor.\Zhe Yan was right.\This eldest prince couldn't withstand the power of the elixir.\This won't do.\I have to head back to the woods to ask that old phoenix\how to bring that Die Yong out of coma again.\Emissary, someone who claims to be from Qing Qiu asked to see you.\Qing Qiu? response:	Auntie!
context: Zhe Yan was right.\This eldest prince couldn't withstand the power of the elixir.\This won't do.\I have to head back to the woods to ask that old phoenix\how to bring that Die Yong out of coma again.\Emissary, someone who claims to be from Qing Qiu asked to see you.\Qing Qiu?\Auntie! response:	Mi Gu?
context: This eldest prince couldn't withstand the power of the elixir.\This won't do.\I have to head back to the woods to ask that old phoenix\how to bring that Die Yong out of coma again.\Emissary, someone who claims to be from Qing Qiu asked to see you.\Qing Qiu?\Auntie!\Mi Gu? response:	What are you doing here?
context: This won't do.\I have to head back to the woods to ask that old phoenix\how to bring that Die Yong out of coma again.\Emissary, someone who claims to be from Qing Qiu asked to see you.\Qing Qiu?\Auntie!\Mi Gu?\What are you doing here? response:	I'm here to deliver this to you.
context: I have to head back to the woods to ask that old phoenix\how to bring that Die Yong out of coma again.\Emissary, someone who claims to be from Qing Qiu asked to see you.\Qing Qiu?\Auntie!\Mi Gu?\What are you doing here?\I'm here to deliver this to you. response:	Soul jade?
context: how to bring that Die Yong out of coma again.\Emissary, someone who claims to be from Qing Qiu asked to see you.\Qing Qiu?\Auntie!\Mi Gu?\What are you doing here?\I'm here to deliver this to you.\Soul jade? response:	Why would you have it?
context: Emissary, someone who claims to be from Qing Qiu asked to see you.\Qing Qiu?\Auntie!\Mi Gu?\What are you doing here?\I'm here to deliver this to you.\Soul jade?\Why would you have it? response:	A few days ago High God Zhe Yan came to see me.
context: Qing Qiu?\Auntie!\Mi Gu?\What are you doing here?\I'm here to deliver this to you.\Soul jade?\Why would you have it?\A few days ago High God Zhe Yan came to see me. response:	He sent me to the Ghost Realm's Grand Ziming Palace
context: Auntie!\Mi Gu?\What are you doing here?\I'm here to deliver this to you.\Soul jade?\Why would you have it?\A few days ago High God Zhe Yan came to see me.\He sent me to the Ghost Realm's Grand Ziming Palace response:	to ask the Ghost Lord for this soul jade.
context: Mi Gu?\What are you doing here?\I'm here to deliver this to you.\Soul jade?\Why would you have it?\A few days ago High God Zhe Yan came to see me.\He sent me to the Ghost Realm's Grand Ziming Palace\to ask the Ghost Lord for this soul jade. response:	Zhe Yan?
context: What are you doing here?\I'm here to deliver this to you.\Soul jade?\Why would you have it?\A few days ago High God Zhe Yan came to see me.\He sent me to the Ghost Realm's Grand Ziming Palace\to ask the Ghost Lord for this soul jade.\Zhe Yan? response:	Why would Zhe Yan send you to the Ghost Realm to retrieve this for me?
context: I'm here to deliver this to you.\Soul jade?\Why would you have it?\A few days ago High God Zhe Yan came to see me.\He sent me to the Ghost Realm's Grand Ziming Palace\to ask the Ghost Lord for this soul jade.\Zhe Yan?\Why would Zhe Yan send you to the Ghost Realm to retrieve this for me? response:	How did he know that Li Jing would hand it over to you to bring to West Sea?
context: Soul jade?\Why would you have it?\A few days ago High God Zhe Yan came to see me.\He sent me to the Ghost Realm's Grand Ziming Palace\to ask the Ghost Lord for this soul jade.\Zhe Yan?\Why would Zhe Yan send you to the Ghost Realm to retrieve this for me?\How did he know that Li Jing would hand it over to you to bring to West Sea? response:	High God only said that you have nothing to worry about.
context: Why would you have it?\A few days ago High God Zhe Yan came to see me.\He sent me to the Ghost Realm's Grand Ziming Palace\to ask the Ghost Lord for this soul jade.\Zhe Yan?\Why would Zhe Yan send you to the Ghost Realm to retrieve this for me?\How did he know that Li Jing would hand it over to you to bring to West Sea?\High God only said that you have nothing to worry about. response:	He knows that you dislike owing favors
context: A few days ago High God Zhe Yan came to see me.\He sent me to the Ghost Realm's Grand Ziming Palace\to ask the Ghost Lord for this soul jade.\Zhe Yan?\Why would Zhe Yan send you to the Ghost Realm to retrieve this for me?\How did he know that Li Jing would hand it over to you to bring to West Sea?\High God only said that you have nothing to worry about.\He knows that you dislike owing favors response:	so this soul jade isn't given to you as a favor.
context: He sent me to the Ghost Realm's Grand Ziming Palace\to ask the Ghost Lord for this soul jade.\Zhe Yan?\Why would Zhe Yan send you to the Ghost Realm to retrieve this for me?\How did he know that Li Jing would hand it over to you to bring to West Sea?\High God only said that you have nothing to worry about.\He knows that you dislike owing favors\so this soul jade isn't given to you as a favor. response:	A few days ago, the Ghost Lord was rescued by the Crown Prince.
